'tamo'	t a m o
ingobernabilidad	i n ɡ o b e ɾ n a b i l i d a d
ingobernable	i n ɡ o b e ɾ n a b l e
ingrata	i n ɡ ɾ a t a
ingratamente	i n ɡ ɾ a t a m e n t e
ingratas	i n ɡ ɾ a t a s
ingratitud	i n ɡ ɾ a t i t u d
ingrato	i n ɡ ɾ a t o
ingratos	i n ɡ ɾ a t o s
ingravidez	i n ɡ ɾ a b i d e θ
ingrediente	i n ɡ ɾ e d j e n t e
ingresada	i n ɡ ɾ e s a d a
ingresadas	i n ɡ ɾ e s a d a s
ingresado	i n ɡ ɾ e s a d o
ingresados	i n ɡ ɾ e s a d o s
ingresante	i n ɡ ɾ e s a n t e
ingresar	i n ɡ ɾ e s a ɾ
ingreso	i n ɡ ɾ e s o
ingresos	i n ɡ ɾ e s o s
ingrid	i n ɡ ɾ i d
ingrido	i n ɡ ɾ i d o
ingrio	i n ɡ ɾ j o
ingrir	i n ɡ ɾ i ɾ
ingrirse	i n ɡ ɾ i ɾ s e
ingrávida	i n ɡ ɾ a b i d a
ingrávidas	i n ɡ ɾ a b i d a s
ingrávido	i n ɡ ɾ a b i d o
ingrávidos	i n ɡ ɾ a b i d o s
inguanzo	i n ɡ w a n θ o
inguinal	i n ɡ i n a l
ingurgitación	i n ɡ u ɾ x i t a θ j o n
ingurgitar	i n ɡ u ɾ x i t a ɾ
ingénito	i n x e n i t o
inhabilitación	i n a b i l i t a θ j o n
inhabilitamiento	i n a b i l i t a m j e n t o
inhabitual	i n a b i t w a l
inhalación	i n a l a θ j o n
inhibición	i n i b i θ j o n
inhibida	i n i b i d a
inhibidas	i n i b i d a s
inhibido	i n i b i d o
inhibidor	i n i b i d o ɾ
inhibidora	i n i b i d o ɾ a
inhibidos	i n i b i d o s
inhibina	i n i b i n a
inhibir	i n i b i ɾ
inhomogeneidad	i n o m o x e n e i d a d
inhumación	i n u m a θ j o n
inhumatorio	i n u m a t o ɾ j o
inhábil	i n a b i l
inicia	i n i θ j a
iniciación	i n i θ j a θ j o n
iniciada	i n i θ j a d a
iniciadas	i n i θ j a d a s
iniciado	i n i θ j a d o
iniciadora	i n i θ j a d o ɾ a
iniciadores	i n i θ j a d o ɾ e s
iniciados	i n i θ j a d o s
inicial	i n i θ j a l
inicialas	i n i θ j a l a s
inicializa	i n i θ j a l i θ a
inicializada	i n i θ j a l i θ a d a
inicializadas	i n i θ j a l i θ a d a s
inicializado	i n i θ j a l i θ a d o
inicializador	i n i θ j a l i θ a d o ɾ
inicializados	i n i θ j a l i θ a d o s
inicializamos	i n i θ j a l i θ a m o s
inicializando	i n i θ j a l i θ a n d o
inicializar	i n i θ j a l i θ a ɾ
inicializara	i n i θ j a l i θ a ɾ a
inicializaras	i n i θ j a l i θ a ɾ a s
inicializareis	i n i θ j a l i θ a ɾ e i s
inicializaremos	i n i θ j a l i θ a ɾ e m o s
inicializares	i n i θ j a l i θ a ɾ e s
inicializará	i n i θ j a l i θ a ɾ a
inicializarás	i n i θ j a l i θ a ɾ a s
inicializaríamos	i n i θ j a l i θ a ɾ i a m o s
inicializas	i n i θ j a l i θ a s
inicializaste	i n i θ j a l i θ a s t e
inicializo	i n i θ j a l i θ o
inicializáramos	i n i θ j a l i θ a ɾ a m o s
inicialmente	i n i θ j a l m e n t e
inicialo	i n i θ j a l o
iniciamos	i n i θ j a m o s
iniciando	i n i θ j a n d o
iniciante	i n i θ j a n t e
iniciar	i n i θ j a ɾ
iniciara	i n i θ j a ɾ a
iniciaras	i n i θ j a ɾ a s
iniciareis	i n i θ j a ɾ e i s
iniciaremos	i n i θ j a ɾ e m o s
iniciares	i n i θ j a ɾ e s
iniciará	i n i θ j a ɾ a
iniciarás	i n i θ j a ɾ a s
iniciaríamos	i n i θ j a ɾ i a m o s
inicias	i n i θ j a s
iniciaste	i n i θ j a s t e
iniciativa	i n i θ j a t i b a
iniciativas	i n i θ j a t i b a s
iniciativo	i n i θ j a t i b o
iniciativos	i n i θ j a t i b o s
inicie	i n i θ j e
iniciemos	i n i θ j e m o s
inicies	i n i θ j e s
inicio	i n i θ j o
inicios	i n i θ j o s
iniciáramos	i n i θ j a ɾ a m o s
iniciático	i n i θ j a t i k o
inicié	i n i θ j e
inicua	i n i k w a
inicuo	i n i k w o
inigualable	i n i ɡ w a l a b l e
inigualablemente	i n i ɡ w a l a b l e m e n t e
inigualables	i n i ɡ w a l a b l e s
inimputabilidad	i n i m p u t a b i l i d a d
inimputable	i n i m p u t a b l e
inimputables	i n i m p u t a b l e s
ininteligencia	i n i n t e l i x e n θ j a
ininteligente	i n i n t e l i x e n t e
ininteligentemente	i n i n t e l i x e n t e m e n t e
ininteligibilidad	i n i n t e l i x i b i l i d a d
inintencional	i n i n t e n θ j o n a l
injeniería	i n x e n j e ɾ i a
injerida	i n x e ɾ i d a
injeridas	i n x e ɾ i d a s
injerido	i n x e ɾ i d o
injeridos	i n x e ɾ i d o s
injerir	i n x e ɾ i ɾ
injuria	i n x u ɾ j a
injuriador	i n x u ɾ j a d o ɾ
injuriar	i n x u ɾ j a ɾ
injurioso	i n x u ɾ j o s o
injusticia	i n x u s t i θ j a
inmaculista	i m m a k u l i s t a
inmarcesible	i m m a ɾ θ e s i b l e
inmarcesibles	i m m a ɾ θ e s i b l e s
inmaterial	i m m a t e ɾ j a l
inmaterialidad	i m m a t e ɾ j a l i d a d
inmatriculada	i m m a t ɾ i k u l a d a
inmatriculadas	i m m a t ɾ i k u l a d a s
inmatriculado	i m m a t ɾ i k u l a d o
inmatriculados	i m m a t ɾ i k u l a d o s
inmatricular	i m m a t ɾ i k u l a ɾ
inmediación	i m m e d j a θ j o n
inmediatamente	i m m e d j a t a m e n t e
inmediatamismo	i m m e d j a t a m i s m o
inmediatez	i m m e d j a t e θ
inmediato	i m m e d j a t o
inmemoriales	i m m e m o ɾ j a l e s
inmerecida	i m m e ɾ e θ i d a
inmerecidas	i m m e ɾ e θ i d a s
inmerecido	i m m e ɾ e θ i d o
inmerecidos	i m m e ɾ e θ i d o s
inmergir	i m m e ɾ x i ɾ
inmersión	i m m e ɾ s j o n
inmigración	i m m i ɡ ɾ a θ j o n
inmigrada	i m m i ɡ ɾ a d a
inmigradas	i m m i ɡ ɾ a d a s
inmigrado	i m m i ɡ ɾ a d o
inmigrados	i m m i ɡ ɾ a d o s
inmigrante	i m m i ɡ ɾ a n t e
inmigrar	i m m i ɡ ɾ a ɾ
inmigratorio	i m m i ɡ ɾ a t o ɾ j o
inmiscuida	i m m i s k w i d a
inmiscuidas	i m m i s k w i d a s
inmiscuido	i m m i s k w i d o
inmiscuidos	i m m i s k w i d o s
inmiscuirse	i m m i s k w i ɾ s e
inmisiones	i m m i s j o n e s
inmisión	i m m i s j o n
inmoble	i m m o b l e
inmortalizador	i m m o ɾ t a l i θ a d o ɾ
inmotivado	i m m o t i b a d o
inmovible	i m m o b i b l e
inmovilismo	i m m o b i l i s m o
inmovilización	i m m o b i l i θ a θ j o n
inmovilizador	i m m o b i l i θ a d o ɾ
inmueble	i m m w e b l e
inmunitaria	i m m u n i t a ɾ j a
inmunitarias	i m m u n i t a ɾ j a s
inmunitario	i m m u n i t a ɾ j o
inmunitarios	i m m u n i t a ɾ j o s
inmunización	i m m u n i θ a θ j o n
inmunoalérgica	i m m u n o a l e ɾ x i k a
inmunoalérgicas	i m m u n o a l e ɾ x i k a s
inmunoalérgico	i m m u n o a l e ɾ x i k o
inmunoalérgicos	i m m u n o a l e ɾ x i k o s
inmunocomplejo	i m m u n o k o m p l e x o
inmunocomprometida	i m m u n o k o m p ɾ o m e t i d a
inmunocomprometidas	i m m u n o k o m p ɾ o m e t i d a s
inmunocomprometido	i m m u n o k o m p ɾ o m e t i d o
inmunocomprometidos	i m m u n o k o m p ɾ o m e t i d o s
inmunodeficiencia	i m m u n o d e f i θ j e n θ j a
inmunodepresión	i m m u n o d e p ɾ e s j o n
inmunodeprimido	i m m u n o d e p ɾ i m i d o
inmunoensayo	i m m u n o e n s a ʝ o
inmunofenotípica	i m m u n o f e n o t i p i k a
inmunofenotípicas	i m m u n o f e n o t i p i k a s
inmunofenotípicos	i m m u n o f e n o t i p i k o s
inmunogenicidad	i m m u n o x e n i θ i d a d
inmunogenética	i m m u n o x e n e t i k a
inmunoglobulina	i m m u n o ɡ l o b u l i n a
inmunogénico	i m m u n o x e n i k o
inmunohistoquímica	i m m u n o i s t o k i m i k a
inmunohistoquímicas	i m m u n o i s t o k i m i k a s
inmunohistoquímico	i m m u n o i s t o k i m i k o
inmunohistoquímicos	i m m u n o i s t o k i m i k o s
inmunológica	i m m u n o l o x i k a
inmunológicas	i m m u n o l o x i k a s
inmunológico	i m m u n o l o x i k o
inmunológicos	i m m u n o l o x i k o s
inmunorreactiva	i m m u n o r e a ɡ t i b a
inmunorreactivas	i m m u n o r e a ɡ t i b a s
inmunorreactivo	i m m u n o r e a ɡ t i b o
inmunorreactivos	i m m u n o r e a ɡ t i b o s
inmunosupresión	i m m u n o s u p ɾ e s j o n
inmunosuprimida	i m m u n o s u p ɾ i m i d a
inmunosuprimidas	i m m u n o s u p ɾ i m i d a s
inmunosuprimido	i m m u n o s u p ɾ i m i d o
inmunosuprimidos	i m m u n o s u p ɾ i m i d o s
inmunosuprimir	i m m u n o s u p ɾ i m i ɾ
inmunoterapia	i m m u n o t e ɾ a p j a
inmunotransferencia	i m m u n o t ɾ a n s f e ɾ e n θ j a
inmunógeno	i m m u n o x e n o
inmunógenos	i m m u n o x e n o s
inmunóloga	i m m u n o l o ɡ a
inmunólogo	i m m u n o l o ɡ o
innatamente	i n n a t a m e n t e
innavegable	i n n a b e ɡ a b l e
innecesario	i n n e θ e s a ɾ j o
innegable	i n n e ɡ a b l e
innegables	i n n e ɡ a b l e s
inning	i n i n
innombrable	i n n o m b ɾ a b l e
innovación	i n n o b a θ j o n
innovativo	i n n o b a t i b o
inobediente	i n o b e d j e n t e
inobjetable	i n o b x e t a b l e
inocencia	i n o θ e n θ j a
inocencio	i n o θ e n θ j o
inocua	i n o k w a
inocuas	i n o k w a s
inocuidad	i n o k w i d a d
inocuidades	i n o k w i d a d e s
inoculación	i n o k u l a θ j o n
inocuo	i n o k w o
inocuos	i n o k w o s
inodo	i n o d o
inolora	i n o l o ɾ a
inoloras	i n o l o ɾ a s
inoloro	i n o l o ɾ o
inoloros	i n o l o ɾ o s
inoperable	i n o p e ɾ a b l e
inoperativo	i n o p e ɾ a t i b o
inopia	i n o p j a
inoponibilidad	i n o p o n i b i l i d a d
inorgánica	i n o ɾ ɡ a n i k a
inorgánicas	i n o ɾ ɡ a n i k a s
inorgánico	i n o ɾ ɡ a n i k o
inorgánicos	i n o ɾ ɡ a n i k o s
inotrópica	i n o t ɾ o p i k a
inotrópicas	i n o t ɾ o p i k a s
inotrópico	i n o t ɾ o p i k o
inotrópicos	i n o t ɾ o p i k o s
inoxidable	i n o ɡ s i d a b l e
input	i m p u t
inquieta	i n k j e t a
inquietada	i n k j e t a d a
inquietadas	i n k j e t a d a s
inquietado	i n k j e t a d o
inquietados	i n k j e t a d o s
inquietante	i n k j e t a n t e
inquietantes	i n k j e t a n t e s
inquietar	i n k j e t a ɾ
inquietas	i n k j e t a s
inquieto	i n k j e t o
inquietos	i n k j e t o s
inquietud	i n k j e t u d
inquilinaje	i n k i l i n a x e
inquilinato	i n k i l i n a t o
inquiramos	i n k i ɾ a m o s
inquirida	i n k i ɾ i d a
inquiridas	i n k i ɾ i d a s
inquirido	i n k i ɾ i d o
inquiridos	i n k i ɾ i d o s
inquirimos	i n k i ɾ i m o s
inquirir	i n k i ɾ i ɾ
inquiriremos	i n k i ɾ i ɾ e m o s
inquirirá	i n k i ɾ i ɾ a
inquirirás	i n k i ɾ i ɾ a s
inquiriríamos	i n k i ɾ i ɾ i a m o s
inquiriste	i n k i ɾ i s t e
inquiríamos	i n k i ɾ i a m o s
inquisición	i n k i s i θ j o n
insaciable	i n s a θ j a b l e
insaciables	i n s a θ j a b l e s
insaculación	i n s a k u l a θ j o n
insaculada	i n s a k u l a d a
insaculadas	i n s a k u l a d a s
insaculado	i n s a k u l a d o
insacular	i n s a k u l a ɾ
insania	i n s a n j a
insaturable	i n s a t u ɾ a b l e
insaturables	i n s a t u ɾ a b l e s
inscripción	i n s k ɾ i b θ j o n
inscripta	i n s k ɾ i b t a
inscriptas	i n s k ɾ i b t a s
inscripto	i n s k ɾ i b t o
inscriptos	i n s k ɾ i b t o s
inscripturada	i n s k ɾ i b t u ɾ a d a
inscripturadas	i n s k ɾ i b t u ɾ a d a s
inscripturado	i n s k ɾ i b t u ɾ a d o
insectario	i n s e ɡ t a ɾ j o
insectillo	i n s e ɡ t i ʎ o
insecto	i n s e ɡ t o
insectívora	i n s e ɡ t i b o ɾ a
insectívoras	i n s e ɡ t i b o ɾ a s
insectívoro	i n s e ɡ t i b o ɾ o
insectívoros	i n s e ɡ t i b o ɾ o s
insegura	i n s e ɡ u ɾ a
inseguras	i n s e ɡ u ɾ a s
inseguridad	i n s e ɡ u ɾ i d a d
inseguro	i n s e ɡ u ɾ o
inseguros	i n s e ɡ u ɾ o s
inseminación	i n s e m i n a θ j o n
inseminada	i n s e m i n a d a
inseminadas	i n s e m i n a d a s
inseminado	i n s e m i n a d o
inseminados	i n s e m i n a d o s
inseminar	i n s e m i n a ɾ
inserción	i n s e ɾ θ j o n
inserir	i n s e ɾ i ɾ
insesgado	i n s e s ɡ a d o
inshalá	i n ʃ a l a
insidiada	i n s i d j a d a
insidiadas	i n s i d j a d a s
insidiado	i n s i d j a d o
insidiados	i n s i d j a d o s
insidioso	i n s i d j o s o
insiforia	i n s i f o ɾ j a
insignes	i n s i ɡ n e s
insignia	i n s i ɡ n j a
insignificancia	i n s i ɡ n i f i k a n θ j a
insignificante	i n s i ɡ n i f i k a n t e
insignificantes	i n s i ɡ n i f i k a n t e s
insingable	i n s i n ɡ a b l e
insinuación	i n s i n w a θ j o n
insinuada	i n s i n w a d a
insinuadas	i n s i n w a d a s
insinuado	i n s i n w a d o
insinuados	i n s i n w a d o s
insinuar	i n s i n w a ɾ
insipientes	i n s i p j e n t e s
insistencia	i n s i s t e n θ j a
insociabilidad	i n s o θ j a b i l i d a d
insociable	i n s o θ j a b l e
insolación	i n s o l a θ j o n
insolencia	i n s o l e n θ j a
insolvencia	i n s o l b e n θ j a
insomnio	i n s o m n j o
insonorización	i n s o n o ɾ i θ a θ j o n
insonorizar	i n s o n o ɾ i θ a ɾ
insoria	i n s o ɾ j a
insoslayable	i n s o s l a ʝ a b l e
insospechadamente	i n s o s p e t͡ʃ a d a m e n t e
insostenibilidad	i n s o s t e n i b i l i d a d
inspeccionada	i n s p e ɡ θ j o n a d a
inspeccionadas	i n s p e ɡ θ j o n a d a s
inspeccionado	i n s p e ɡ θ j o n a d o
inspeccionados	i n s p e ɡ θ j o n a d o s
inspeccionar	i n s p e ɡ θ j o n a ɾ
inspección	i n s p e ɡ θ j o n
inspectivo	i n s p e ɡ t i b o
inspector	i n s p e ɡ t o ɾ
inspectora	i n s p e ɡ t o ɾ a
inspectoras	i n s p e ɡ t o ɾ a s
inspectores	i n s p e ɡ t o ɾ e s
inspectoría	i n s p e ɡ t o ɾ i a
inspiracional	i n s p i ɾ a θ j o n a l
inspiración	i n s p i ɾ a θ j o n
inspiratorio	i n s p i ɾ a t o ɾ j o
instabilidad	i n s t a b i l i d a d
instagram	i n s t a ɡ ɾ a m
instalación	i n s t a l a θ j o n
instancia	i n s t a n θ j a
instanciar	i n s t a n θ j a ɾ
instancias	i n s t a n θ j a s
instantaneidad	i n s t a n t a n e i d a d
instauración	i n s t a u ɾ a θ j o n
instaurada	i n s t a u ɾ a d a
instauradas	i n s t a u ɾ a d a s
instaurado	i n s t a u ɾ a d o
instaurador	i n s t a u ɾ a d o ɾ
instauradora	i n s t a u ɾ a d o ɾ a
instaurados	i n s t a u ɾ a d o s
instaurar	i n s t a u ɾ a ɾ
instiga	i n s t i ɡ a
instigación	i n s t i ɡ a θ j o n
instigada	i n s t i ɡ a d a
instigadas	i n s t i ɡ a d a s
instigado	i n s t i ɡ a d o
instigador	i n s t i ɡ a d o ɾ
instigados	i n s t i ɡ a d o s
instigamos	i n s t i ɡ a m o s
instigando	i n s t i ɡ a n d o
instigar	i n s t i ɡ a ɾ
instigara	i n s t i ɡ a ɾ a
instigaras	i n s t i ɡ a ɾ a s
instigareis	i n s t i ɡ a ɾ e i s
instigaremos	i n s t i ɡ a ɾ e m o s
instigares	i n s t i ɡ a ɾ e s
instigará	i n s t i ɡ a ɾ a
instigarás	i n s t i ɡ a ɾ a s
instigaríamos	i n s t i ɡ a ɾ i a m o s
instigas	i n s t i ɡ a s
instigaste	i n s t i ɡ a s t e
instigue	i n s t i ɡ e
instiguemos	i n s t i ɡ e m o s
instigues	i n s t i ɡ e s
instigáramos	i n s t i ɡ a ɾ a m o s
instilación	i n s t i l a θ j o n
instilar	i n s t i l a ɾ
institucional	i n s t i t u θ j o n a l
institucionalidad	i n s t i t u θ j o n a l i d a d
institucionalización	i n s t i t u θ j o n a l i θ a θ j o n
institucionalizada	i n s t i t u θ j o n a l i θ a d a
institucionalizadas	i n s t i t u θ j o n a l i θ a d a s
institucionalizado	i n s t i t u θ j o n a l i θ a d o
institucionalizados	i n s t i t u θ j o n a l i θ a d o s
institucionalizar	i n s t i t u θ j o n a l i θ a ɾ
institución	i n s t i t u θ j o n
instituida	i n s t i t w i d a
instituidas	i n s t i t w i d a s
instituido	i n s t i t w i d o
instituidos	i n s t i t w i d o s
instituir	i n s t i t w i ɾ
instituirme	i n s t i t w i ɾ m e
instituirte	i n s t i t w i ɾ t e
instituiré	i n s t i t w i ɾ e
institutor	i n s t i t u t o ɾ
instituyás	i n s t i t u ʝ a s
instrucción	i n s t ɾ u ɡ θ j o n
instructivo	i n s t ɾ u ɡ t i b o
instructor	i n s t ɾ u ɡ t o ɾ
instructora	i n s t ɾ u ɡ t o ɾ a
instruida	i n s t ɾ w i d a
instruidas	i n s t ɾ w i d a s
instruido	i n s t ɾ w i d o
instruidos	i n s t ɾ w i d o s
instruir	i n s t ɾ u i ɾ
instruiremos	i n s t ɾ w i ɾ e m o s
instruirá	i n s t ɾ w i ɾ a
instruirás	i n s t ɾ w i ɾ a s
instruiría	i n s t ɾ w i ɾ i a
instruiríamos	i n s t ɾ w i ɾ i a m o s
instruirías	i n s t ɾ w i ɾ i a s
instrumentalidad	i n s t ɾ u m e n t a l i d a d
instrumentalización	i n s t ɾ u m e n t a l i θ a θ j o n
instrumentalizada	i n s t ɾ u m e n t a l i θ a d a
instrumentalizadas	i n s t ɾ u m e n t a l i θ a d a s
instrumentalizados	i n s t ɾ u m e n t a l i θ a d o s
instruí	i n s t ɾ w i
instruía	i n s t ɾ w i a
instruíamos	i n s t ɾ w i a m o s
instruías	i n s t ɾ w i a s
instruís	i n s t ɾ w i s
instántaneo	i n s t a n t a n e o
insubordinación	i n s u b o ɾ d i n a θ j o n
insubstancial	i n s u b s t a n θ j a l
insuceso	i n s u θ e s o
insuficiencia	i n s u f i θ j e n θ j a
insuficiente	i n s u f i θ j e n t e
insuficientes	i n s u f i θ j e n t e s
insuflación	i n s u f l a θ j o n
insularidad	i n s u l a ɾ i d a d
insulinoma	i n s u l i n o m a
insultantemente	i n s u l t a n t e m e n t e
insultareis	i n s u l t a ɾ e i s
insultés	i n s u l t e s
insulínico	i n s u l i n i k o
insumir	i n s u m i ɾ
insumo	i n s u m o
insurgencia	i n s u ɾ x e n θ j a
insurgente	i n s u ɾ x e n t e
insurgentes	i n s u ɾ x e n t e s
insurgida	i n s u ɾ x i d a
insurgidas	i n s u ɾ x i d a s
insurgido	i n s u ɾ x i d o
insurgidos	i n s u ɾ x i d o s
insurgir	i n s u ɾ x i ɾ
insurreccionada	i n s u r e ɡ θ j o n a d a
insurreccionadas	i n s u r e ɡ θ j o n a d a s
insurreccionado	i n s u r e ɡ θ j o n a d o
insurreccionados	i n s u r e ɡ θ j o n a d o s
insurreccional	i n s u r e ɡ θ j o n a l
insurreccionalismo	i n s u r e ɡ θ j o n a l i s m o
insurreccionalista	i n s u r e ɡ θ j o n a l i s t a
insurreccionar	i n s u r e ɡ θ j o n a ɾ
insurrecciones	i n s u r e ɡ θ j o n e s
insurrección	i n s u r e ɡ θ j o n
insurrecta	i n s u r e ɡ t a
insurrectas	i n s u r e ɡ t a s
insurrecto	i n s u r e ɡ t o
insurrectos	i n s u r e ɡ t o s
insustancial	i n s u s t a n θ j a l
insustancialidad	i n s u s t a n θ j a l i d a d
insólitamente	i n s o l i t a m e n t e
intacta	i n t a ɡ t a
intactas	i n t a ɡ t a s
intacto	i n t a ɡ t o
intactos	i n t a ɡ t o s
intear	i n t e a ɾ
integración	i n t e ɡ ɾ a θ j o n
integrada	i n t e ɡ ɾ a d a
integradas	i n t e ɡ ɾ a d a s
integrado	i n t e ɡ ɾ a d o
integrador	i n t e ɡ ɾ a d o ɾ
integradora	i n t e ɡ ɾ a d o ɾ a
integradoras	i n t e ɡ ɾ a d o ɾ a s
integradores	i n t e ɡ ɾ a d o ɾ e s
integrados	i n t e ɡ ɾ a d o s
integral	i n t e ɡ ɾ a l
integrales	i n t e ɡ ɾ a l e s
integralidad	i n t e ɡ ɾ a l i d a d
integralismo	i n t e ɡ ɾ a l i s m o
integralista	i n t e ɡ ɾ a l i s t a
integralmente	i n t e ɡ ɾ a l m e n t e
integrante	i n t e ɡ ɾ a n t e
integrar	i n t e ɡ ɾ a ɾ
integras	i n t e ɡ ɾ a s
integrasa	i n t e ɡ ɾ a s a
integridad	i n t e ɡ ɾ i d a d
integrismo	i n t e ɡ ɾ i s m o
integrista	i n t e ɡ ɾ i s t a
integrísima	i n t e ɡ ɾ i s i m a
integrísimas	i n t e ɡ ɾ i s i m a s
integrísimo	i n t e ɡ ɾ i s i m o
integrísimos	i n t e ɡ ɾ i s i m o s
integumentario	i n t e ɡ u m e n t a ɾ j o
integumento	i n t e ɡ u m e n t o
integérrimo	i n t e x e r i m o
intelecto	i n t e l e ɡ t o
intelectual	i n t e l e ɡ t w a l
intelectualidad	i n t e l e ɡ t w a l i d a d
intelectualismo	i n t e l e ɡ t w a l i s m o
intelectualización	i n t e l e ɡ t w a l i θ a θ j o n
inteligencia	i n t e l i x e n θ j a
inteligentísimo	i n t e l i x e n t i s i m o
inteligibilidad	i n t e l i x i b i l i d a d
intemperancia	i n t e m p e ɾ a n θ j a
intemperie	i n t e m p e ɾ j e
intemperies	i n t e m p e ɾ j e s
intempesta	i n t e m p e s t a
intemporalidad	i n t e m p o ɾ a l i d a d
intencionado	i n t e n θ j o n a d o
intencional	i n t e n θ j o n a l
intencionalidad	i n t e n θ j o n a l i d a d
intencionalmente	i n t e n θ j o n a l m e n t e
intencionar	i n t e n θ j o n a ɾ
intenciones	i n t e n θ j o n e s
intención	i n t e n θ j o n
intendencia	i n t e n d e n θ j a
intender	i n t e n d e ɾ
intensificación	i n t e n s i f i k a θ j o n
intensificador	i n t e n s i f i k a d o ɾ
intensivista	i n t e n s i b i s t a
interaccionada	i n t e ɾ a ɡ θ j o n a d a
interaccionadas	i n t e ɾ a ɡ θ j o n a d a s
interaccionado	i n t e ɾ a ɡ θ j o n a d o
interaccionados	i n t e ɾ a ɡ θ j o n a d o s
interaccional	i n t e ɾ a ɡ θ j o n a l
interaccionar	i n t e ɾ a ɡ θ j o n a ɾ
