'day	d a j
korapsiyon	k o ɾ a p s i o n
korapsyon	k o ɾ a p s j o n
kordero	k o ɾ d e ɾ o
kordiyon	k o ɾ d i o n
korea	k o ɾ e a
koreana	k o ɾ e a n a
koreano	k o ɾ e a n o
koredor	k o ɾ e d o ɾ
koreksiyonal	k o ɾ e k s i o n a l
koreksyonal	k o ɾ e k s j o n a l
koreo	k o ɾ e o
koreograpiya	k o ɾ e o ɡ ɾ a p i a
koreya	k o ɾ e a
koreyana	k o ɾ e a n a
koreyano	k o ɾ e a n o
korido	k o ɾ i d o
koridor	k o ɾ i d o ɾ
korinto	k o ɾ i n t o
korista	k o ɾ i s t a
korkor	k o ɾ k o ɾ
korner	k o ɾ n e ɾ
korni	k o ɾ n i
kornik	k o ɾ n i k
koro	k o ɾ o
korola	k o ɾ o l a
korona	k o ɾ o n a
koronadal	k o ɾ o n a d a l
koronahan	k o ɾ o n a h a n
koronel	k o ɾ o n e l
korporal	k o ɾ p o ɾ a l
korporasyon	k o ɾ p o ɾ a s j o n
korse	k o ɾ s e
kort	k o ɾ t
korte	k o ɾ t e
kortesiya	k o ɾ t e s i a
kortina	k o ɾ t i n a
kortosirkuwito	k o ɾ t o s i ɾ k u i t o
kortso	k o ɾ t s o
korupsiyon	k o ɾ u p s i o n
korupsyon	k o ɾ u p s j o n
korupto	k o ɾ u p t o
koryente	k o ɾ j e n t e
koryentehin	k o ɾ j e n t e h i n
koryentihin	k o ɾ j e n t i h i n
kosta	k o s t a
kostado	k o s t a d o
kostal	k o s t a l
kostitusyon	k o s t i t u s j o n
kostumer	k o s t u m e ɾ
kostura	k o s t u ɾ a
kota	k o t a
kotamaya	k o t a m a j a
koteho	k o t e h o
kotilyon	k o t i l j o n
koton	k o t o n
kotong	k o t o ŋ
kotonya	k o t o n j a
kotse	k o t s e
kotsinilyo	k o t s i n i l j o
kotso	k o t s o
kover	k o b e ɾ
koyo	k o j o
koyote	k o j o t e
kramer	k ɾ e j m e ɾ
krapsman	k ɾ a p s m a n
krayola	k ɾ a j o l a
kreasyon	k ɾ e a s j o n
kreatibidad	k ɾ e a t i b i d a d
kredensiyal	k ɾ e d e n s i a l
kredibilidad	k ɾ e d i b i l i d a d
krema	k ɾ e m a
kremasyon	k ɾ e m a s j o n
krematoryo	k ɾ e m a t o ɾ j o
kresente	k ɾ e s e n t e
kresyente	k ɾ e s j e n t e
kreyasyon	k ɾ e a s j o n
kreyatibidad	k ɾ e a t i b i d a d
kreyon	k ɾ e o n
kriket	k ɾ i k e t
krimen	k ɾ i m e n
kriminal	k ɾ i m i n a l
kriminalidad	k ɾ i m i n a l i d a d
kriminolohiya	k ɾ i m i n o l o h i a
krimson	k ɾ i m s o n
kring	k ɾ i ŋ
krisantemo	k ɾ i s a n t e m o
krisis	k ɾ i s i s
krisma	k ɾ i s m a
krismas	k ɾ i s m a s
kristal	k ɾ i s t a l
kristiyanismo	k ɾ i s t i a n i s m o
kristiyano	k ɾ i s t i a n o
kristo	k ɾ i s t o
kritikal	k ɾ i t i k a l
kritiko	k ɾ i t i k o
kritisismo	k ɾ i t i s i s m o
kroasya	k ɾ o a s j a
krokis	k ɾ o k i s
krokodilo	k ɾ o k o d i l o
krokodilyo	k ɾ o k o d i l j o
kromatiko	k ɾ o m a t i k o
kromatina	k ɾ o m a t i n a
kromosoma	k ɾ o m o s o m a
kromospera	k ɾ o m o s p e ɾ a
kroni	k ɾ o n i
kroniismo	k ɾ o n i i s m o
kroniyismo	k ɾ o n i j i s m o
kronolohiya	k ɾ o n o l o h i a
kropek	k ɾ o p e k
krudo	k ɾ u d o
krukat	k ɾ u k a t
krukis	k ɾ u k i s
krus	k ɾ u s
krusipiho	k ɾ u s i p i h o
ksp	k e j ʔ e s p i
kua	k u a
kuaresma	k u a ɾ e s m a
kuba	k u b a
kubakob	k u b a k o b
kubaw	k u b a w
kubeta	k u b e t a
kubierta	k u b j e ɾ t a
kubiko	k u b i k o
kubil	k u b i l
kubiyerta	k u b i e ɾ t a
kubkob	k u b k o b
kubli	k u b l i
kubngulo	k u b ŋ u l o
kubnugin	k u b n u ɡ i n
kubo	k u b o
kubra	k u b ɾ a
kubrador	k u b ɾ a d o ɾ
kubrekama	k u b ɾ e k a m a
kubtangkas	k u b t a ŋ k a s
kubyerta	k u b j e ɾ t a
kubyertos	k u b j e ɾ t o s
kuda	k u d a ʔ
kudeta	k u d e t a
kudkod	k u d k o d
kudkurin	k u d k u ɾ i n
kudlit	k u d l i t
kudlong	k u d l o ŋ
kudyapi	k u d j a p i ʔ
kugita	k u ɡ i t a ʔ
kugon	k u ɡ o n
kuha	k u h a
kuhala	k u h a l a ʔ
kuhanan	k u h a n a n
kuhaw	k u h a w
kuhila	k u h i l a ʔ
kuhol	k u h o l
kukaratsa	k u k a ɾ a t s a
kuki	k u k i
kukis	k u k i s
kuko	k u k o
kukote	k u k o t e
kukudkurin	k u k u d k u ɾ i n
kukuha	k u k u h a
kukunan	k u k u n a n
kukupas	k u k u p a s
kukutsarahin	k u k u t s a ɾ a h i n
kukuyuli	k u k u j u l i ʔ
kula	k u l a
kulabo	k u l a b o ʔ
kulago	k u l a ɡ o
kulakling	k u l a k l i ŋ
kulaknit	k u l a k n i t
kulalaying	k u l a l a j i ŋ
kulam	k u l a m
kulambo	k u l a m b o ʔ
kulang	k u l a ŋ
kulangot	k u l a ŋ o t
kulani	k u l a n i ʔ
kulanto	k u l a n t o
kulantro	k u l a n t ɾ o
kulap	k u l a p
kulapnit	k u l a p n i t
kulapo	k u l a p o
kulas	k u l a s
kulase	k u l a s e
kulasi	k u l a s i
kulasim	k u l a s i m
kulasisi	k u l a s i s i
kulat	k u l a t
kulata	k u l a t a
kulatahin	k u l a t a h i n
kulatain	k u l a t a ʔ i n
kulatkulat	k u l a t k u l a t
kulaw	k u l a w
kulawin	k u l a w i n
kulawo	k u l a w o ʔ
kulay	k u l a j
kulaybulog	k u l a j b u l o ɡ
kulayin	k u l a j i n
kulaylawas	k u l a j l a w a s
kulayo	k u l a j o
kulayputol	k u l a j p u t o l
kulaysukat	k u l a j s u k a t
kulaysukatan	k u l a j s u k a t a n
kulelat	k u l e l a t
kulig	k u l i ɡ
kuliglig	k u l i ɡ l i ɡ
kulilipaw	k u l i l i p a w
kulilis	k u l i l i s
kulimba	k u l i m b a ʔ
kulimbat	k u l i m b a t
kulimlim	k u l i m l i m
kulinarya	k u l i n a ɾ j a
kulintang	k u l i n t a ŋ
kuliplor	k u l i p l o ɾ
kulis	k u l i s
kulisap	k u l i s a p
kulisaw	k u l i s a w
kulit	k u l i t
kuliti	k u l i t i ʔ
kulitis	k u l i t i s
kulo	k u l o
kulob	k u l o b
kulog	k u l o ɡ
kulong	k u l o ŋ
kulorete	k u l o ɾ e t e
kulos	k u l o s
kulot	k u l o t
kulots	k u l o t s
kulpuralis	k u l p u ɾ a l i s
kulson	k u l s o n
kulto	k u l t o
kultura	k u l t u ɾ a
kulubong	k u l u b o ŋ
kulubot	k u l u b o t
kulugo	k u l u ɡ o
kulumpol	k u l u m p o l
kulungan	k u l u ŋ a n
kulungkulong	k u l u ŋ k u l o ŋ
kulunoy	k u l u n o j
kuluntoy	k u l u n t o j
kulurete	k u l u ɾ e t e
kulutkulutan	k u l u t k u l u t a n
kulyarin	k u l j a ɾ i n
kulyawan	k u l j a w a n
kumabig	k u m a b i ɡ
kumadrona	k u m a d ɾ o n a
kumagat	k u m a ɡ a t
kumahog	k u m a h o ɡ
kumain	k u m a ʔ i n
kumakabig	k u m a k a b i ɡ
kumakagat	k u m a k a ɡ a t
kumakain	k u m a k a ʔ i n
kumalat	k u m a l a t
kumampi	k u m a m p i
kumanan	k u m a n a n
kumander	k u m a n d e ɾ
kumandidato	k u m a n d i d a t o
kumanta	k u m a n t a
kumapal	k u m a p a l
kumapit	k u m a p i t
kumare	k u m a ɾ e
kumaripas	k u m a ɾ i p a s
kumatawan	k u m a t a w a n
kumayod	k u m a j o d
kumbaga	k u m b a ɡ a
kumbensiyon	k u m b e n s i o n
kumbensiyonal	k u m b e n s i o n a l
kumbensyon	k u m b e n s j o n
kumbento	k u m b e n t o
kumbenyente	k u m b e n j e n t e
kumbida	k u m b i d a
kumbinasyon	k u m b i n a s j o n
kumbinsi	k u m b i n s i
kumbinsido	k u m b i n s i d o
kumbinsihin	k u m b i n s i h i n
kumbinyente	k u m b i n j e n t e
kumbo	k u m b o ʔ
kumboy	k u m b o j
kumbulsiyon	k u m b u l s i o n
kumbulsyon	k u m b u l s j o n
kumedya	k u m e d j a
kumedyahan	k u m e d j a h a n
kumedyante	k u m e d j a n t e
kumento	k u m e n t o
kumidlat	k u m i d l a t
kumidya	k u m i d j a
kumiko	k u m i k o
kuminoy	k u m i n o j
kumintab	k u m i n t a b
kumintang	k u m i n t a ŋ
kumirya	k u m i ɾ j a
kumislot	k u m i s l o t
kumisyon	k u m i s j o n
kumita	k u m i t a
kumitil	k u m i t i l
kumonsulta	k u m o n s u l t a
kumot	k u m o t
kumpanya	k u m p a n j a
kumpare	k u m p a ɾ e
kumpas	k u m p a s
kumpay	k u m p a j
kumpederasyon	k u m p e d e ɾ a s j o n
kumpensasyon	k u m p e n s a s j o n
kumpeti	k u m p e t i
kumpetisyon	k u m p e t i s j o n
kumpidante	k u m p i d a n t e
kumpidensiyal	k u m p i d e n s i a l
kumpidensyal	k u m p i d e n s j a l
kumpigurasyon	k u m p i ɡ u ɾ a s j o n
kumpil	k u m p i l
kumpilma	k u m p i l m a
kumpirma	k u m p i ɾ m a
kumpirmado	k u m p i ɾ m a d o
kumpirmasyon	k u m p i ɾ m a s j o n
kumpisal	k u m p i s a l
kumpisalan	k u m p i s a l a n
kumpiska	k u m p i s k a
kumpites	k u m p i t e s
kumpitis	k u m p i t i s
kumpitiw	k u m p i t i w
kumpiyansa	k u m p i a n s a
kumpleanyo	k u m p l e a n j o
kumpleanyos	k u m p l e a n j o s
kumpleto	k u m p l e t o
kumplianyo	k u m p l i a n j o
kumplikado	k u m p l i k a d o
kumplikasyon	k u m p l i k a s j o n
kumpol	k u m p o l
kumporme	k u m p o ɾ m e
kumportable	k u m p o ɾ t a b l e
kumprehensibo	k u m p ɾ e h e n s i b o
kumprehensiyon	k u m p ɾ e h e n s i o n
kumprehensyon	k u m p ɾ e h e n s j o n
kumprensibo	k u m p ɾ e n s i b o
kumpronta	k u m p ɾ o n t a
kumprontasyon	k u m p ɾ o n t a s j o n
kumpulan	k u m p u l a n
kumpuni	k u m p u n i
kumpurmi	k u m p u ɾ m i
kumpusyanismo	k u m p u s j a n i s m o
kumpyansa	k u m p j a n s a
kumuha	k u m u h a
kumukuha	k u m u k u h a
kumukulo	k u m u k u l o ʔ
kumukupas	k u m u k u p a s
kumulang	k u m u l a ŋ
kumulatibo	k u m u l a t i b o
kumulimlim	k u m u l i m l i m
kumulo	k u m u l o ʔ
kumulog	k u m u l o ɡ
kumunismo	k u m u n i s m o
kumunista	k u m u n i s t a
kumunoy	k u m u n o j
kumunsulta	k u m u n s u l t a
kumunyon	k u m u n j o n
kumupas	k u m u p a s
kumurason	k u m u ɾ a s o n
kumusta	k u m u s t a
kumutan	k u m u t a n
kumuyakoy	k u m u j a k o j
kun	k u n
kunan	k u n a n
kunat	k u n a t
kundangan	k u n d a ŋ a n
kundena	k u n d e n a
kundi	k u n d i ʔ
kundiman	k u n d i m a n
kundol	k u n d o l
kuneho	k u n e h o
kuneksiyon	k u n e k s i o n
kuneksyon	k u n e k s j o n
kung	k u ŋ
kungyari	k u ŋ j a ɾ e ʔ
kuniko	k u n i k o
kunin	k u n i n
kuno	k u n o
kunot	k u n o t
kunsi	k u n s i ʔ
kunsiderasyon	k u n s i d e ɾ a s j o n
kunsilba	k u n s i l b a
kunsinti	k u n s i n t i
kunsintidor	k u n s i n t i d o ɾ
kunsintidora	k u n s i n t i d o ɾ a
kunsintihin	k u n s i n t i h i n
kunsirto	k u n s i ɾ t o
kunsulta	k u n s u l t a
kunsumido	k u n s u m i d o
kunsumisyon	k u n s u m i s j o n
kunsumo	k u n s u m o
kuntador	k u n t a d o ɾ
kunteksto	k u n t e k s t o
kuntento	k u n t e n t o
kuntodo	k u n t o d o
kuntsaba	k u n t s a b a
kuntsabahan	k u n t s a b a h a n
kunuwari	k u n u a ɾ i ʔ
kunwa	k u n w a ʔ
kunwari	k u n w a ɾ e ʔ
kunyari	k u n j a ɾ e ʔ
kunyas	k u n j a s
kupad	k u p a d
kupal	k u p a l
kupang	k u p a ŋ
kupas	k u p a s
kupete	k u p e t e
kupi	k u p i
kupido	k u p i d o
kuping	k u p i ŋ
kupit	k u p i t
kupiti	k u p i t i
kupo	k u p o
kupon	k u p o n
kupong	k u p o ŋ
kupya	k u p j a
kura	k u ɾ a
kurag	k u ɾ a ɡ
kurakot	k u ɾ a k o t
kural	k u ɾ a l
kuramos	k u ɾ a m o s
kuran	k u ɾ a n
kurap	k u ɾ a p
kurapsiyon	k u ɾ a p s i o n
kurapsyon	k u ɾ a p s j o n
kurarap	k u ɾ a ɾ a p
kurason	k u ɾ a s o n
kurasunin	k u ɾ a s u n i n
kuratsa	k u ɾ a t s a
kurba	k u ɾ b a
kurbada	k u ɾ b a d a
kurbata	k u ɾ b a t a
kurdiyon	k u ɾ d i o n
kurdyon	k u ɾ d j o n
kurikan	k u ɾ i k a n
kurikong	k u ɾ i k o ŋ
kurikulum	k u ɾ i k u l u m
kuripot	k u ɾ i p o t
kurisma	k u ɾ i s m a
kurita	k u ɾ i t a
kurkor	k u ɾ k o ɾ
kuro	k u ɾ o ʔ
kuroda	k u ɾ o d a
kurokawa	k u ɾ o k a w a
kuros	k u ɾ o s
kurot	k u ɾ o t
kurse	k u ɾ s e
kursilista	k u ɾ s i l i s t a
kursilyista	k u ɾ s i l j i s t a
kursilyo	k u ɾ s i l j o
kurso	k u ɾ s o
kursonada	k u ɾ s o n a d a
kursunada	k u ɾ s u n a d a
kurtina	k u ɾ t i n a
kurukya	k u ɾ u k j a ʔ
kurus	k u ɾ u s
kurya	k u ɾ j a
kuryente	k u ɾ j e n t e
kuryentihin	k u ɾ j e n t i h i n
kuryosidad	k u ɾ j o s i d a d
kuryusidad	k u ɾ j u s i d a d
kusa	k u s a ʔ
kusi	k u s i
kusilba	k u s i l b a
kusim	k u s i m
kusin	k u s i n
kusina	k u s i n a
kusinera	k u s i n e ɾ a
kusinero	k u s i n e ɾ o
kusing	k u s i ŋ
kusinilya	k u s i n i l j a
kuskos	k u s k o s
kuskusin	k u s k u s i n
kusog	k u s o ɡ
kusot	k u s o t
kustable	k u s t a b l e
kustabularyo	k u s t a b u l a ɾ j o
kustal	k u s t a l
kustodiya	k u s t o d i a
kustodya	k u s t o d j a
kustomer	k u s t o m e ɾ
kustura	k u s t u ɾ a
kuta	k u t a
kutab	k u t a b
kutad	k u t a d
kutamaya	k u t a m a j a
kutba	k u t b a
kuteho	k u t e h o
kutikuti	k u t i k u t i
kutiltil	k u t i l t i l
kuting	k u t i ŋ
kutingting	k u t i ŋ t i ŋ
kutingtingin	k u t i ŋ t i ŋ i n
kutipaw	k u t i p a w
kutipyo	k u t i p j o
kutis	k u t i s
kutitap	k u t i t a p
kutiyam	k u t i a m
kutkot	k u t k o t
kuto	k u t o
kutob	k u t o b
kutog	k u t o ɡ
kuton	k u t o n
kutong	k o t o ŋ
kutos	k u t o s
kutsaba	k u t s a b a
kutsabahan	k u t s a b a h a n
kutsada	k u t s a d a
kutsara	k u t s a ɾ a
kutsarahin	k u t s a ɾ a h i n
kutsarain	k u t s a ɾ a ʔ i n
kutsarita	k u t s a ɾ i t a
kutsaritahin	k u t s a ɾ i t a h i n
kutsaron	k u t s a ɾ o n
kutsay	k u t s a j
kutsero	k u t s e ɾ o
kutsilyo	k u t s i l j o
kutsina	k u t s i n a
kutsinilyo	k u t s i n i l j o
kutsino	k u t s i n o
kutsinta	k u t s i n t a ʔ
kutson	k u t s o n
kutsukutso	k u t s u k u t s o
kutya	k u t j a ʔ
kutyam	k u t j a m
kutyara	k u t j a ɾ a
kutyog	k u t j o ɡ
kuwa	k u a
kuwaderno	k u a d e ɾ n o
kuwadra	k u a d ɾ a
kuwadrado	k u a d ɾ a d o
kuwadrilatero	k u a d ɾ i l a t e ɾ o
kuwadrilya	k u a d ɾ i l j a
kuwadrilyon	k u a d ɾ i l j o n
kuwadro	k u a d ɾ o
kuwadrupedo	k u a d ɾ u p e d o
kuwago	k u a ɡ o
kuwaho	k u a h o
kuwait	k u e j t
kuwak	k u a k
kuwaki	k u a k i ʔ
kuwako	k u a k o
kuwala	k u a l a
kuwalidad	k u a l i d a d
kuwalipikasyon	k u a l i p i k a s j o n
kuwalta	k u a l t a
kuwan	k u a n
kuwapaw	k u a p a w
kuwarantena	k u a ɾ a n t e n a
kuwarenta	k u a ɾ e n t a
kuwarentahin	k u a ɾ e n t a h i n
kuwarentena	k u a ɾ e n t e n a
kuwarentenas	k u a ɾ e n t e n a s
kuwaresma	k u a ɾ e s m a
kuwarso	k u a ɾ s o
kuwarta	k u a ɾ t a
kuwartel	k u a ɾ t e l
kuwarteto	k u a ɾ t e t o
kuwarto	k u a ɾ t o
kuwasya	k u a s j a
kuwatro	k u a t ɾ o
kuwatsoy	k u a t s o j
kuweba	k u e b a
kuwekong	k u e k o ŋ
kuwela	k u e l a
kuwelyo	k u e l j o
kuwenta	k u e n t a
kuwento	k u e n t o
kuwerbo	k u e ɾ b o
kuwerdas	k u e ɾ d a s
kuwestiyon	k u e s t i o n
kuwestiyonable	k u e s t i o n a b l e
kuwestiyoner	k u e s t i o n e ɾ
kuwestiyoneyr	k u e s t i o n e j ɾ
kuwidaw	k u i d a w
kuwintas	k u i n t a s
kuwit	k u i t
kuwiter	k u i t e ɾ
kuwitib	k u i t i b
kuwitis	k u i t i s
kuwoin	k u o j n
kuwoyn	k u o j n
kuya	k u j a
kuyad	k u j a d
kuyakoy	k u j a k o j
kuyang	k u j a ŋ
kuyaw	k u j a w
kuyo	k u j o
kuyog	k u j o ɡ
kuyom	k u j o m
kuys	k u j s
kuyugin	k u j u ɡ i n
kuyukot	k u j u k o t
kuyumad	k u j u m a d
kuyumos	k u j u m o s
kuyumpit	k u j u m p i t
kwaderno	k w a d e ɾ n o
kwadra	k w a d ɾ a
kwago	k w a ɡ o
kwaki	k w a k i ʔ
kwalipikasyon	k w a l i p i k a s j o n
kwalta	k w a l t a
kwarentahin	k w a ɾ e n t a h i n
kwarta	k w a ɾ t a
kwatro	k w a t ɾ o
kweba	k w e b a
kwekkwek	k w e k k w e k
kwekong	k w e k o ŋ
kwela	k w e l a
kwenta	k w e n t a
kwento	k w e n t o
kwestyonable	k w e s t j o n a b l e
kwestyoner	k w e s t j o n e ɾ
kwestyoneyr	k w e s t j o n e j ɾ
kwintas	k w i n t a s
kwitis	k w i t i s
kwok	k w o k
kyoko	k j o k o
kyu	k j u
kyusi	k j u s i
kyut	k j u t
kyutikel	k j u t i k e l
kyutiks	k j u t i k s
l	l
la	l a
laab	l a ʔ a b
laak	l a ʔ a k
laan	l a ʔ a n
laang	l a ʔ a ŋ
laas	l a ʔ a s
laba	l a b a
lababo	l a b a b o
labada	l a b a d a
labadora	l a b a d o ɾ a
labag	l a b a ɡ
labaha	l a b a h a
labahan	l a b a h a n
labahin	l a b a h i n
labahita	l a b a h i t a
labak	l a b a k
labakara	l a b a k a ɾ a
laban	l a b a n
labanan	l a b a n a n
labanawansikin	l a b a n a w a n s i k i n
labandera	l a b a n d e ɾ a
labanderiya	l a b a n d e ɾ i a
labandero	l a b a n d e ɾ o
labanos	l a b a n o s
labas	l a b a s
labasan	l a b a s a n
labaskaphay	l a b a s k a p h a j
labastida	l a b a s t i d a
labatiba	l a b a t i b a
labaw	l a b a w
labawliknayan	l a b a w l i k n a j a n
labawsugnayan	l a b a w s u ɡ n a j a n
laberinto	l a b e ɾ i n t o
labern	l a b e ɾ n
labhan	l a b h a n
labhasa	l a b h a s a ʔ
labi	l a b i
labihan	l a b i h a n
labimpito	l a b i m p i t o
labindalawa	l a b i n d a l a w a
labing	l a b i ŋ
labingwalo	l a b i ŋ w a l o
labinlima	l a b i n l i m a
labinsiyam	l a b i n s i a m
labintador	l a b i n t a d o ɾ
labintatlo	l a b i n t a t l o
labis	l a b i s
labiw	l a b i w
lablab	l a b l a b
lablayp	l a b l a j p
labnaw	l a b n a w
labnot	l a b n o t
labo	l a b o ʔ
labok	l a b o k
labon	l a b o n
labong	l a b o ŋ
laboratoryo	l a b o ɾ a t o ɾ j o
labot	l a b o t
laboy	l a b o j
labsan	l a b s a n
labso	l a b s o ʔ
labtik	l a b t i k
labulabo	l a b u l a b o
labuyo	l a b u j o ʔ
labyu	l a b j u
lacambra	l a k a m b ɾ a
lacandola	l a k a n d o l a
lacanilao	l a k a n i l a w
lacap	l a k a p
lacbay	l a k b a j
lacerna	l a s e ɾ n a
lacsamana	l a k s a m a n a
lacson	l a k s o n
lacub	l a k u b
ladaw	l a d a w
lader	l a d e ɾ
ladinaso	l a d i n a s o
ladlad	l a d l a d
ladrilyo	l a d ɾ i l j o
ladya	l a d j a
laga	l a ɡ a ʔ
lagabag	l a ɡ a b a ɡ
lagablab	l a ɡ a b l a b
lagabog	l a ɡ a b o ɡ
lagak	l a ɡ a k
lagaklak	l a ɡ a k l a k
lagalag	l a ɡ a l a ɡ
lagan	l a ɡ a n
laganap	l a ɡ a n a p
laganapan	l a ɡ a n a p a n
laganas	l a ɡ a n a s
lagang	l a ɡ a ŋ
lagangilang	l a ɡ a ŋ i l a ŋ
lagap	l a ɡ a p
lagapak	l a ɡ a p a k
lagare	l a ɡ a ɾ e ʔ
lagari	l a ɡ a ɾ e ʔ
lagas	l a ɡ a s
lagasaw	l a ɡ a s a w
lagaslas	l a ɡ a s l a s
lagawe	l a ɡ a w e
lagay	l a ɡ a j
lagayan	l a ɡ a j a n
lagaylay	l a ɡ a j l a j
lagda	l a ɡ d a ʔ
lagdaan	l a ɡ d a ʔ a n
lagdamen	l a ɡ d a m e n
lagdameo	l a ɡ d a m e o
lagets	l a ɡ e t s
lagi	l a ɡ e
lagibas	l a ɡ i b a s
lagiin	l a ɡ i ʔ i n
lagikway	l a ɡ i k w a j
lagim	l a ɡ i m
laginit	l a ɡ i n i t
lagis	l a ɡ i s
lagislis	l a ɡ i s l i s
lagitik	l a ɡ i t i k
lagitlit	l a ɡ i t l i t
lagkit	l a ɡ k i t
laglag	l a ɡ l a ɡ
lagmak	l a ɡ m a k
lagman	l a ɡ m a n
lagmay	l a ɡ m a j
lagnat	l a ɡ n a t
lagnatin	l a ɡ n a t i n
lago	l a ɡ o
lagod	l a ɡ o d
lagok	l a ɡ o k
lagom	l a ɡ o m
lagong	l a ɡ o ŋ
lagonoy	l a ɡ o n o j
lagos	l a ɡ o s
lagot	l a ɡ o t
lagpak	l a ɡ p a k
lagpas	l a ɡ p a s
lagsang	l a ɡ s a ŋ
lagumba	l a ɡ u m b a
lagumlalangin	l a ɡ u m l a l a ŋ i n
laguna	l a ɡ u n a
lagunda	l a ɡ u n d a
lagunday	l a ɡ u n d a j
lagundi	l a ɡ u n d i ʔ
lagusan	l a ɡ u s a n
laguslos	l a ɡ u s l o s
lagutok	l a ɡ u t o k
laguyo	l a ɡ u j o ʔ
lagwa	l a ɡ w a
lagwas	l a ɡ w a s
lagwat	l a ɡ w a t
lagwerta	l a ɡ w e ɾ t a
lagyan	l a ɡ j a n
lagyo	l a ɡ j o ʔ
laha	l a h a
lahad	l a h a d
lahar	l a h a ɾ
lahat	l a h a t
lahi	l a h i ʔ
lahid	l a h i d
laho	l a h o
lahok	l a h o k
lahoy	l a h o j
lain	l a ʔ i n
laing	l a ʔ i ŋ
lait	l a ʔ i t
laitin	l a ʔ i t i n
laiw	l a ʔ i w
laiwan	l a ʔ i w a n
laka	l a k a
lakad	l a k a d
lakambini	l a k a m b i n i
lakan	l a k a n
lakandiwa	l a k a n d i w a ʔ
lakansugo	l a k a n s u ɡ o ʔ
lakas	l a k a s
lakatan	l a k a t a n
lakaya	l a k a j a
lakbay	l a k b a j
lakdang	l a k d a ŋ
lakdaw	l a k d a w
lakdawkaphay	l a k d a w k a p h a j
lakdawyugto	l a k d a w j u ɡ t o ʔ
laker	l a k e ɾ
laket	l a k e t
lakha	l a k h a ʔ
lakhan	l a k h a n
laki	l a k e
lakihan	l a k i h a n
lakip	l a k i p
lakit	l a k i t
laklak	l a k l a k
lako	l a k o
lakompake	l a k o m p a k e
lakre	l a k ɾ e
laksa	l a k s a
laksamana	l a k s a m a n a
laksante	l a k s a n t e
laksatiba	l a k s a t i b a
laktaw	l a k t a w
laktosa	l a k t o s a
lakwatsa	l a k w a t s a
lakwatsera	l a k w a t s e ɾ a
lakwatsero	l a k w a t s e ɾ o
lala	l a l a
lalab	l a l a b
lalaban	l a l a b a n
lalabas	l a l a b a s
lalabhan	l a l a b h a n
lalad	l a l a d
lalagukan	l a l a ɡ u k a n
lalagyan	l a l a ɡ j a n
lalake	l a l a k e
lalaki	l a l a k e
lalakinin	l a l a k i n i n
lalaksot	l a l a k s o t
lalamunan	l a l a m u n a n
lalan	l a l a n
lalang	l a l a ŋ
lalanghutan	l a l a ŋ h u t a n
lalao	l a l a ʔ o
lalawigan	l a l a w i ɡ a n
lalawiganin	l a l a w i ɡ a n i n
lalay	l a l a j
lalayan	l a l a j a n
lali	l a l i ʔ
lalik	l a l i k
lalim	l a l i m
lalin	l a l i n
lalo	l a l o ʔ
laluan	l a l u ʔ a n
lam	l a m
lamad	l a m a d
laman	l a m a n
lamang	l a m a ŋ
lamanilao	l a m a n i l a w
lamas	l a m a s
lamasin	l a m a s i n
lamat	l a m a t
lamay	l a m a j
lamba	l a m b a
lambak	l a m b a k
lambal	l a m b a l
lambana	l a m b a n a ʔ
lambang	l a m b a ŋ
lambanog	l a m b a n o ɡ
lambat	l a m b a t
lambayog	l a m b a j o ɡ
lambi	l a m b i ʔ
lambing	l a m b i ŋ
lambit	l a m b i t
lambitin	l a m b i t i n
lambo	l a m b o
lambot	l a m b o t
lambutsi	l a m b u t s i
lambutsing	l a m b u t s i ŋ
lambutsingan	l a m b u t s i ŋ a n
lamesa	l a m e s a
lamesita	l a m e s i t a
lamgam	l a m ɡ a m
lamig	l a m e ɡ
lamira	l a m i ɾ a ʔ
lamita	l a m i t a
lamitan	l a m i t a n
lamlam	l a m l a m
lamo	l a m o ʔ
lamod	l a m o d
lamog	l a m o ɡ
lamok	l a m o k
lamon	l a m o n
lamos	l a m o s
lampa	l a m p a
lampara	l a m p a ɾ a
lampas	l a m p a s
lampaso	l a m p a s o
lampik	l a m p i k
lampin	l a m p i n
lampong	l a m p o ŋ
lamtang	l a m t a ŋ
lamudyo	l a m u d j o ʔ
lamuga	l a m u ɡ a ʔ
lamukos	l a m u k o s
lamut	l a m u t
lamuymoy	l a m u j m o j
lamya	l a m j a ʔ
lamyerda	l a m j e ɾ d a
lana	l a n a
lanab	l a n a b
lanao	l a n a w
lanap	l a n a p
lanaw	l a n a w
lanay	l a n a j
lancelot	l a n s e l o t
landa	l a n d a
landak	l a n d a k
landang	l a n d a ŋ
landas	l a n d a s
landi	l a n d i ʔ
landicho	l a n d i t s o
landit	l a n d i t
landrito	l a n d ɾ i t o
lang	l a ŋ
langal	l a ŋ a l
langaray	l a ŋ a ɾ a j
langasngas	l a ŋ a s ŋ a s
langaw	l a ŋ a w
langawin	l a ŋ a w i n
langayak	l a ŋ a j a k
langgam	l a ŋ ɡ a m
langgas	l a ŋ ɡ a s
langgonisa	l a ŋ ɡ o n i s a
langgotse	l a ŋ ɡ o t s e
langhap	l a ŋ h a p
langhapan	l a ŋ h a p a n
langib	l a ŋ i b
langiden	l a ŋ i d e n
langil	l a ŋ i l
