aachen	aː χ ə n
heldenhafteste	h ɛ l d ɛ n a f t ɛ s t ə
heldenhaftestem	h ɛ l d ɛ n a f t ɛ s t ə m
heldenhaftesten	h ɛ l d ɛ n a f t ɛ s t ə n
heldenhaftester	h ɛ l d ɛ n a f t ɛ s t ɐ
heldenhaftestes	h ɛ l d ɛ n a f t ɛ s t ə s
heldenmütig	h ɛ l d ɛ n m yː t ɪ ç
heldenmütige	h ɛ l d ɛ n m yː t ɪ g ə
heldenmütigem	h ɛ l d ɛ n m yː t ɪ g ə m
heldenmütigen	h ɛ l d ɛ n m yː t ɪ g ə n
heldenmütiger	h ɛ l d ɛ n m yː t ɪ g ɐ
heldenmütiges	h ɛ l d ɛ n m yː t ɪ g ə s
heldenstück	h ɛ l d ɛ n s t ʏ k
heldentat	h ɛ l d ɛ n t a t
heldentugenden	h ɛ l d ɛ n t uː g ɛ n d ə n
heldentum	h ɛ l d n t uː m
heldentums	h ɛ l d ɛ n t ʊ m s
heldin	h ɛ l d ɪ n
heldinnen	h ɛ l d ɪ n n ə n
heldisch	h ɛ l d ɪ ʃ
heldische	h ɛ l d ɪ ʃ ə
heldischem	h ɛ l d ɪ ʃ ə m
heldischen	h ɛ l d ɪ ʃ ə n
heldischer	h ɛ l d ɪ ʃ ɐ
heldisches	h ɛ l d ɪ ʃ ə s
helds	h ɛ l t s
helen	h eː l ə n
helene	h eː l ə n ə
helenes	h eː l ə n ə s
helfe	h ɛ l f ə
helfen	h ɛ l f n
helfend	h ɛ l f ɛ n t
helfende	h ɛ l f ɛ n d ə
helfendem	h ɛ l f ɛ n d ə m
helfenden	h ɛ l f ɛ n d ə n
helfender	h ɛ l f ɛ n d ɐ
helfendes	h ɛ l f ɛ n d ə s
helfer	h ɛ l f ɐ
helferin	h ɛ l f ɐ ɪ n
helferinnen	h ɛ l f eː ʁ ɪ n n ə n
helferinnenbrief	h ɛ l f eː ʁ ɪ n n ɛ n b ʁ iː f
helfern	h ɛ l f ɛ ʁ n
helfers	h ɛ l f ɛ ʁ s
helfershelfer	h ɛ l f ɛ ʁ s ɛ l f ɐ
helft	h ɛ l f t
helga	h ɛ l g a
helgas	h ɛ l g a s
helgoland	h ɛ l g oː l a n t
helikopter	h eː l ɪ k ɔ p t ɐ
helikoptern	h eː l iː k ɔ p t ɛ ʁ n
helikopters	h eː l iː k ɔ p t ɛ ʁ s
hell	h ɛ l
hellbeige	h ɛ l l b ə ɪ g ə
hellblau	h ɛ l l b l a oː
hellblaue	h ɛ l l b l a oː ə
hellblauem	h ɛ l l b l a oː ə m
hellblauen	h ɛ l l b l a oː ə n
hellblauer	h ɛ l l b l a oː ɐ
hellblaues	h ɛ l l b l a oː ə s
hellblond	h ɛ l l b l ɔ n t
hellblonde	h ɛ l l b l ɔ n d ə
hellblondem	h ɛ l l b l ɔ n d ə m
hellblonden	h ɛ l l b l ɔ n d ə n
hellblonder	h ɛ l l b l ɔ n d ɐ
hellblondes	h ɛ l l b l ɔ n d ə s
helle	h ɛ l l ə
hellem	h ɛ l l ə m
hellen	h ɛ l l ə n
hellend	h ɛ l l ɛ n t
hellende	h ɛ l l ɛ n d ə
hellendem	h ɛ l l ɛ n d ə m
hellenden	h ɛ l l ɛ n d ə n
hellender	h ɛ l l ɛ n d ɐ
hellendes	h ɛ l l ɛ n d ə s
hellene	h ɛ l eː n ə
hellenen	h ɛ l l ə n ə n
hellenisch	h ɛ l l eː n ɪ ʃ
hellenische	h ɛ l l eː n ɪ ʃ ə
hellenischem	h ɛ l l eː n ɪ ʃ ə m
hellenischen	h ɛ l l eː n ɪ ʃ ə n
hellenischer	h ɛ l l eː n ɪ ʃ ɐ
hellenisches	h ɛ l l eː n ɪ ʃ ə s
hellenisierung	h ɛ l l ə n ɪ s iː ɐ ʊ ŋ
hellenismus	h ɛ l l ə n ɪ s m ʊ s
hellenistisch	h ɛ l l eː n ɪ s t ɪ ʃ
hellenistische	h ɛ l l eː n ɪ s t ɪ ʃ ə
hellenistischem	h ɛ l l eː n ɪ s t ɪ ʃ ə m
hellenistischen	h ɛ l l eː n ɪ s t ɪ ʃ ə n
hellenistischer	h ɛ l l eː n ɪ s t ɪ ʃ ɐ
hellenistisches	h ɛ l l eː n ɪ s t ɪ ʃ ə s
heller	h ɛ l ɐ
hellere	h ɛ l l ɐ ə
hellerem	h ɛ l l ɐ ə m
helleren	h ɛ l l ɐ ə n
hellerer	h ɛ l l ɐ ɐ
helleres	h ɛ l l ɐ ə s
helles	h ɛ l l ə s
hellgelb	h ɛ l l g ɛ l p
hellgelbe	h ɛ l l g ɛ l b ə
hellgelbem	h ɛ l l g ɛ l b ə m
hellgelben	h ɛ l l g ɛ l b ə n
hellgelber	h ɛ l l g ɛ l b ɐ
hellgelbes	h ɛ l l g ɛ l b ə s
hellgrau	h ɛ l l g ʁ a oː
hellgraue	h ɛ l l g ʁ a oː ə
hellgrauem	h ɛ l l g ʁ a oː ə m
hellgrauen	h ɛ l l g ʁ a oː ə n
hellgrauer	h ɛ l l g ʁ a oː ɐ
hellgraues	h ɛ l l g ʁ a oː ə s
hellgrüner	h ɛ l l g ʁ yː n ɐ
hellgrünere	h ɛ l l g ʁ yː n ɐ ə
hellgrünerem	h ɛ l l g ʁ yː n ɐ ə m
hellgrüneren	h ɛ l l g ʁ yː n ɐ ə n
hellgrünerer	h ɛ l l g ʁ yː n ɐ ɐ
hellgrüneres	h ɛ l l g ʁ yː n ɐ ə s
hellhäutig	h ɛ l l ɔ ɔʏ̯ t ɪ ç
hellhäutige	h ɛ l l ɔ ɔʏ̯ t ɪ g ə
hellhäutigem	h ɛ l l ɔ ɔʏ̯ t ɪ g ə m
hellhäutigen	h ɛ l l ɔ ɔʏ̯ t ɪ g ə n
hellhäutiger	h ɛ l l ɔ ɔʏ̯ t ɪ g ɐ
hellhäutiges	h ɛ l l ɔ ɔʏ̯ t ɪ g ə s
hellhörig	h ɛ l l ɔʏ̯ ʁ ɪ ç
hellhörige	h ɛ l l ɔʏ̯ ʁ ɪ g ə
hellhörigem	h ɛ l l ɔʏ̯ ʁ ɪ g ə m
hellhörigen	h ɛ l l ɔʏ̯ ʁ ɪ g ə n
hellhöriger	h ɛ l l ɔʏ̯ ʁ ɪ g ɐ
hellhöriges	h ɛ l l ɔʏ̯ ʁ ɪ g ə s
helligkeit	h ɛ l ɪ ç k aɪ̯ t
helligkeitseinstellung	h ɛ l l ɪ k k a eː t z a eː n s t ɛ l l ʊ ŋ
helligkeitssteuerung	h ɛ l l ɪ k k a eː t z s t ɔ ɔʏ̯ ɐ ʊ ŋ
helligkeitswerte	h ɛ l l ɪ k k a eː t s v ɛ ʁ t ə
helling	h eː l l ɪ ŋ
helllicht	h ɛ l l l ɪ ç t
helllichte	h ɛ l l l ɪ ç t ə
helllichtem	h ɛ l l l ɪ ç t ə m
helllichten	h ɛ l l l ɪ ç t ə n
helllichter	h ɛ l l l ɪ ç t ɐ
helllichtes	h ɛ l l l ɪ ç t ə s
hellrot	h ɛ l l ʁ oː t
hellrote	h ɛ l l ʁ oː t ə
hellrotem	h ɛ l l ʁ oː t ə m
hellroten	h ɛ l l ʁ oː t ə n
hellroter	h ɛ l l ʁ oː t ɐ
hellrotes	h ɛ l l ʁ oː t ə s
hellseher	h ɛ l l z eː ɐ
hellseherei	h ɛ l l z eː ɐ a eː
hellsehereien	h ɛ l l z eː ɐ ə iː ə n
hellseherin	h ɛ l l z eː ɐ ɪ n
hellseherinnen	h ɛ l l z eː eː ʁ ɪ n n ə n
hellseherisch	h ɛ l l z eː eː ʁ ɪ ʃ
hellseherische	h ɛ l l z eː eː ʁ ɪ ʃ ə
hellseherischem	h ɛ l l z eː eː ʁ ɪ ʃ ə m
hellseherischen	h ɛ l l z eː eː ʁ ɪ ʃ ə n
hellseherischer	h ɛ l l z eː eː ʁ ɪ ʃ ɐ
hellseherisches	h ɛ l l z eː eː ʁ ɪ ʃ ə s
hellsehern	h ɛ l l z eː ɛ ʁ n
hellsehers	h ɛ l l z eː ɛ ʁ s
hellsichtig	h ɛ l l z ɪ ç t ɪ ç
hellsichtige	h ɛ l l z ɪ ç t ɪ g ə
hellsichtigem	h ɛ l l z ɪ ç t ɪ g ə m
hellsichtigen	h ɛ l l z ɪ ç t ɪ g ə n
hellsichtiger	h ɛ l l z ɪ ç t ɪ g ɐ
hellsichtigere	h ɛ l l z ɪ ç t ɪ g ɐ ə
hellsichtigerem	h ɛ l l z ɪ ç t ɪ g ɐ ə m
hellsichtigeren	h ɛ l l z ɪ ç t ɪ g ɐ ə n
hellsichtigerer	h ɛ l l z ɪ ç t ɪ g ɐ ɐ
hellsichtigeres	h ɛ l l z ɪ ç t ɪ g ɐ ə s
hellsichtiges	h ɛ l l z ɪ ç t ɪ g ə s
hellsichtigkeit	h ɛ l l z ɪ ç t ɪ k k ə iː t
hellsichtigste	h ɛ l l z ɪ ç t ɪ g s t ə
hellsichtigstem	h ɛ l l z ɪ ç t ɪ g s t ə m
hellsichtigsten	h ɛ l l z ɪ ç t ɪ g s t ə n
hellsichtigster	h ɛ l l z ɪ ç t ɪ g s t ɐ
hellsichtigstes	h ɛ l l z ɪ ç t ɪ g s t ə s
hellst	h ɛ l l s t
hellste	h ɛ l l s t ə
hellstem	h ɛ l l s t ə m
hellsten	h ɛ l l s t ə n
hellster	h ɛ l l s t ɐ
hellstes	h ɛ l l s t ə s
hellt	h ɛ l l t
hellte	h ɛ l l t ə
hellten	h ɛ l l t ə n
helltest	h ɛ l l t ɛ s t
helltet	h ɛ l l t ə t
helltönend	h ɛ l l t ɔʏ̯ n ɛ n t
helltönende	h ɛ l l t ɔʏ̯ n ɛ n d ə
helltönendem	h ɛ l l t ɔʏ̯ n ɛ n d ə m
helltönenden	h ɛ l l t ɔʏ̯ n ɛ n d ə n
helltönender	h ɛ l l t ɔʏ̯ n ɛ n d ɐ
helltönendes	h ɛ l l t ɔʏ̯ n ɛ n d ə s
hellwach	h ɛ l l v a x
hellwache	h ɛ l l v a x ə
hellwachem	h ɛ l l v a x ə m
hellwachen	h ɛ l l v a x ə n
hellwacher	h ɛ l l v a x ɐ
hellwaches	h ɛ l l v a x ə s
helm	h ɛ l m
helme	h ɛ l m ə
helmen	h ɛ l m ə n
helms	h ɛ l m s
helmut	h ɛ l m uː t
helmuts	h ɛ l m ʊ t s
helot	h eː l oː t
heloten	h eː l oː t ə n
helsinki	h ɛ l z ɪ ŋ k iː
helvetisch	h ɛ l v eː t ɪ ʃ
helvetische	h ɛ l v eː t ɪ ʃ ə
helvetischem	h ɛ l v eː t ɪ ʃ ə m
helvetischen	h ɛ l v eː t ɪ ʃ ə n
helvetischer	h ɛ l v eː t ɪ ʃ ɐ
helvetisches	h ɛ l v eː t ɪ ʃ ə s
helvetismen	h ɛ l v eː t ɪ s m ə n
helvetismus	h ɛ l v ə t ɪ s m ʊ s
hemd	h ɛ m t
hemdblusen	h ɛ m d b l uː z ə n
hemden	h ɛ m d n
hemdenstoff	h ɛ m d ɛ n s t ɔ f f
hemdknopf	h ɛ m t k n ɔ p͡f
hemdknopfs	h ɛ m t k n ɔ p͡f s
hemdknöpfen	h ɛ m t k n œ p͡f ə n
hemds	h ɛ m t s
hemdsärmel	h ɛ m t z ɛ ʁ m eː l
hemdsärmelig	h ɛ m t z ɛ ʁ m eː l ɪ ç
hemdsärmelige	h ɛ m t z ɛ ʁ m eː l ɪ g ə
hemdsärmeligem	h ɛ m t z ɛ ʁ m eː l ɪ g ə m
hemdsärmeligen	h ɛ m t z ɛ ʁ m eː l ɪ g ə n
hemdsärmeliger	h ɛ m t z ɛ ʁ m eː l ɪ g ɐ
hemdsärmeliges	h ɛ m t z ɛ ʁ m eː l ɪ g ə s
hemdsärmeln	h ɛ m t z ɛ ʁ m ɛ l n
hemdsärmlig	h ɛ m t z ɛ ʁ m l ɪ ç
hemdsärmlige	h ɛ m t z ɛ ʁ m l ɪ g ə
hemdsärmligem	h ɛ m t z ɛ ʁ m l ɪ g ə m
hemdsärmligen	h ɛ m t z ɛ ʁ m l ɪ g ə n
hemdsärmliger	h ɛ m t z ɛ ʁ m l ɪ g ɐ
hemdsärmliges	h ɛ m t z ɛ ʁ m l ɪ g ə s
hemingway	h eː m ɪ ŋ v a eː
hemingways	h eː m ɪ ŋ v a eː s
hemme	h ɛ m m ə
hemmen	h ɛ m m ə n
hemmend	h ɛ m m ɛ n t
hemmende	h ɛ m m ɛ n d ə
hemmendem	h ɛ m m ɛ n d ə m
hemmenden	h ɛ m m ɛ n d ə n
hemmender	h ɛ m m ɛ n d ɐ
hemmendes	h ɛ m m ɛ n d ə s
hemmnis	h ɛ m m n ɪ s
hemmnisse	h ɛ m m n ɪ s z ə
hemmnissen	h ɛ m m n ɪ s z ə n
hemmschuh	h ɛ m m ʃ uː
hemmst	h ɛ m m s t
hemmt	h ɛ m m t
hemmte	h ɛ m m t ə
hemmten	h ɛ m m t ə n
hemmtest	h ɛ m m t ɛ s t
hemmtet	h ɛ m m t ə t
hemmung	h ɛ m m ʊ ŋ
hemmungen	h ɛ m m ʊ ŋ ə n
hemmungslos	h ɛ m m ʊ ŋ s l oː s
hemmungslose	h ɛ m m ʊ ŋ s l oː s ə
hemmungslosem	h ɛ m m ʊ ŋ s l oː s ə m
hemmungslosen	h ɛ m m ʊ ŋ s l oː s ə n
hemmungsloser	h ɛ m m ʊ ŋ s l oː s ɐ
hemmungslosere	h ɛ m m ʊ ŋ s l oː s ɐ ə
hemmungsloserem	h ɛ m m ʊ ŋ s l oː s ɐ ə m
hemmungsloseren	h ɛ m m ʊ ŋ s l oː s ɐ ə n
hemmungsloserer	h ɛ m m ʊ ŋ s l oː s ɐ ɐ
hemmungsloseres	h ɛ m m ʊ ŋ s l oː s ɐ ə s
hemmungsloses	h ɛ m m ʊ ŋ s l oː s ə s
hemmungsloseste	h ɛ m m ʊ ŋ s l oː z ɛ s t ə
hemmungslosestem	h ɛ m m ʊ ŋ s l oː z ɛ s t ə m
hemmungslosesten	h ɛ m m ʊ ŋ s l oː z ɛ s t ə n
hemmungslosester	h ɛ m m ʊ ŋ s l oː z ɛ s t ɐ
hemmungslosestes	h ɛ m m ʊ ŋ s l oː z ɛ s t ə s
hengst	h ɛ ŋ s t
hengste	h ɛ ŋ s t ə
hengsten	h ɛ ŋ s t ə n
hengstes	h ɛ ŋ s t ə s
henkel	h ɛ ŋ k eː l
henkeln	h ɛ ŋ k ɛ l n
henkels	h ɛ ŋ k ɛ l s
henker	h ɛ ŋ k ɐ
henkern	h ɛ ŋ k ɛ ʁ n
henkers	h ɛ ŋ k ɛ ʁ s
henkersmahlzeit	h ɛ ŋ k ɛ ʁ s m a l t s ə iː t
henne	h ɛ n ə
hennen	h ɛ n n ə n
henning	h ɛ n n ɪ ŋ
hennings	h ɛ n n ɪ ŋ s
henry	h ɛ n ʁ yː
henrys	h ɛ n ʁ yː s
her	h eː ɐ
herab	h ɛ ʁ a p
herabdrücke	h ɛ ʁ a p d ʁ ʏ k ə
herabdrücken	h ɛ ʁ a p d ʁ ʏ k ə n
herabdrückend	h ɛ ʁ a p d ʁ ʏ k ɛ n t
herabdrückende	h ɛ ʁ a p d ʁ ʏ k ɛ n d ə
herabdrückendem	h ɛ ʁ a p d ʁ ʏ k ɛ n d ə m
herabdrückenden	h ɛ ʁ a p d ʁ ʏ k ɛ n d ə n
herabdrückender	h ɛ ʁ a p d ʁ ʏ k ɛ n d ɐ
herabdrückendes	h ɛ ʁ a p d ʁ ʏ k ɛ n d ə s
herabdrückst	h ɛ ʁ a p d ʁ ʏ k s t
herabdrückt	h ɛ ʁ a p d ʁ ʏ k t
herabdrückte	h ɛ ʁ a p d ʁ ʏ k t ə
herabdrückten	h ɛ ʁ a p d ʁ ʏ k t ə n
herabdrücktest	h ɛ ʁ a p d ʁ ʏ k t ɛ s t
herabdrücktet	h ɛ ʁ a p d ʁ ʏ k t ə t
herabfahre	h ɛ ʁ a p͡f a ʁ ə
herabfahren	h ɛ ʁ a p͡f a ʁ ə n
herabfahrend	h ɛ ʁ a p͡f a ʁ ɛ n t
herabfahrende	h ɛ ʁ a p͡f a ʁ ɛ n d ə
herabfahrendem	h ɛ ʁ a p͡f a ʁ ɛ n d ə m
herabfahrenden	h ɛ ʁ a p͡f a ʁ ɛ n d ə n
herabfahrender	h ɛ ʁ a p͡f a ʁ ɛ n d ɐ
herabfahrendes	h ɛ ʁ a p͡f a ʁ ɛ n d ə s
herabfahrt	h ɛ ʁ a p͡f a ʁ t
herabgedrückt	h ɛ ʁ a p g ə d ʁ ʏ k t
herabgedrückte	h ɛ ʁ a p g ə d ʁ ʏ k t ə
herabgedrücktem	h ɛ ʁ a p g ə d ʁ ʏ k t ə m
herabgedrückten	h ɛ ʁ a p g ə d ʁ ʏ k t ə n
herabgedrückter	h ɛ ʁ a p g ə d ʁ ʏ k t ɐ
herabgedrücktes	h ɛ ʁ a p g ə d ʁ ʏ k t ə s
herabgefallen	h ɛ ʁ a p g ə f a l l ə n
herabgefallene	h ɛ ʁ a p g ə f a l l ə n ə
herabgefallenem	h ɛ ʁ a p g ə f a l l ə n ə m
herabgefallenen	h ɛ ʁ a p g ə f a l l ə n ə n
herabgefallener	h ɛ ʁ a p g ə f a l l ə n ɐ
herabgefallenes	h ɛ ʁ a p g ə f a l l ə n ə s
herabgelassen	h ɛ ʁ a p g ə l a s z ə n
herabgelassene	h ɛ ʁ a p g ə l a s z ə n ə
herabgelassenem	h ɛ ʁ a p g ə l a s z ə n ə m
herabgelassenen	h ɛ ʁ a p g ə l a s z ə n ə n
herabgelassener	h ɛ ʁ a p g ə l a s z ə n ɐ
herabgelassenes	h ɛ ʁ a p g ə l a s z ə n ə s
herabgelaufen	h ɛ ʁ a p g ə l a oː f ə n
herabgeschüttet	h ɛ ʁ a p g ə ʃ ʏ t ə t
herabgeschüttete	h ɛ ʁ a p g ə ʃ ʏ t ə t ə
herabgeschüttetem	h ɛ ʁ a p g ə ʃ ʏ t ə t ə m
herabgeschütteten	h ɛ ʁ a p g ə ʃ ʏ t ə t ə n
herabgeschütteter	h ɛ ʁ a p g ə ʃ ʏ t ə t ɐ
herabgeschüttetes	h ɛ ʁ a p g ə ʃ ʏ t ə t ə s
herabgesehen	h ɛ ʁ a p g ə z eː ə n
herabgesetzt	h ɛ ʁ a p g ə z ɛ t s t
herabgesetzte	h ɛ ʁ a p g ə z ɛ t s t ə
herabgesetztem	h ɛ ʁ a p g ə z ɛ t s t ə m
herabgesetzten	h ɛ ʁ a p g ə z ɛ t s t ə n
herabgesetzter	h ɛ ʁ a p g ə z ɛ t s t ɐ
herabgesetztes	h ɛ ʁ a p g ə z ɛ t s t ə s
herabgesprungen	h ɛ ʁ a p g ə ʃ p ʁ ʊ ŋ ə n
herabgestiegen	h ɛ ʁ a p g ə ʃ t iː g ə n
herabgestiegene	h ɛ ʁ a p g ə ʃ t iː g ə n ə
herabgestiegenem	h ɛ ʁ a p g ə ʃ t iː g ə n ə m
herabgestiegenen	h ɛ ʁ a p g ə ʃ t iː g ə n ə n
herabgestiegener	h ɛ ʁ a p g ə ʃ t iː g ə n ɐ
herabgestiegenes	h ɛ ʁ a p g ə ʃ t iː g ə n ə s
herabgesunken	h ɛ ʁ a p g ə z ʊ ŋ k ə n
herabgesunkene	h ɛ ʁ a p g ə z ʊ ŋ k ə n ə
herabgesunkenem	h ɛ ʁ a p g ə z ʊ ŋ k ə n ə m
herabgesunkenen	h ɛ ʁ a p g ə z ʊ ŋ k ə n ə n
herabgesunkener	h ɛ ʁ a p g ə z ʊ ŋ k ə n ɐ
herabgesunkenes	h ɛ ʁ a p g ə z ʊ ŋ k ə n ə s
herabgewirtschaftet	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t
herabgewirtschaftete	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t ə
herabgewirtschaftetem	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t ə m
herabgewirtschafteten	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t ə n
herabgewirtschafteter	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t ɐ
herabgewirtschaftetes	h ɛ ʁ a p g ə v ɪ ʁ t s t s h a f t ə t ə s
herabgezogene	h ɛ ʁ a p g ə t s oː g ə n ə
herablasse	h ɛ ʁ a p l a s z ə
herablassen	h ɛ ʁ a p l a s z ə n
herablassend	h ɛ ʁ a p l a s z ɛ n t
herablassende	h ɛ ʁ a p l a s z ɛ n d ə
herablassendem	h ɛ ʁ a p l a s z ɛ n d ə m
herablassenden	h ɛ ʁ a p l a s z ɛ n d ə n
herablassender	h ɛ ʁ a p l a s z ɛ n d ɐ
herablassendes	h ɛ ʁ a p l a s z ɛ n d ə s
herablasst	h ɛ ʁ a p l a s s t
herablassung	h ɛ ʁ a p l a s z ʊ ŋ
herabrinnst	h ɛ ʁ a p ʁ ɪ n n s t
herabrinnt	h ɛ ʁ a p ʁ ɪ n n t
herabsacke	h ɛ ʁ a p z a k ə
herabsacken	h ɛ ʁ a p z a k ə n
herabsackst	h ɛ ʁ a p z a k s t
herabsackt	h ɛ ʁ a p z a k t
herabsackte	h ɛ ʁ a p z a k t ə
herabsackten	h ɛ ʁ a p z a k t ə n
herabsacktest	h ɛ ʁ a p z a k t ɛ s t
herabsacktet	h ɛ ʁ a p z a k t ə t
herabsehe	h ɛ ʁ a p z eː ə
herabsehen	h ɛ ʁ a p z eː ə n
herabsehend	h ɛ ʁ a p z eː ɛ n t
herabsehende	h ɛ ʁ a p z eː ɛ n d ə
herabsehendem	h ɛ ʁ a p z eː ɛ n d ə m
herabsehenden	h ɛ ʁ a p z eː ɛ n d ə n
herabsehender	h ɛ ʁ a p z eː ɛ n d ɐ
herabsehendes	h ɛ ʁ a p z eː ɛ n d ə s
herabseht	h ɛ ʁ a p z eː t
herabsetze	h ɛ ʁ a p z ɛ t s ə
herabsetzen	h ɛ ʁ a p z ɛ t s ə n
herabsetzend	h ɛ ʁ a p z ɛ t s ɛ n t
herabsetzende	h ɛ ʁ a p z ɛ t s ɛ n d ə
herabsetzendem	h ɛ ʁ a p z ɛ t s ɛ n d ə m
herabsetzenden	h ɛ ʁ a p z ɛ t s ɛ n d ə n
herabsetzender	h ɛ ʁ a p z ɛ t s ɛ n d ɐ
herabsetzendes	h ɛ ʁ a p z ɛ t s ɛ n d ə s
herabsetzest	h ɛ ʁ a p z ɛ t s ɛ s t
herabsetzt	h ɛ ʁ a p z ɛ t s t
herabsetzte	h ɛ ʁ a p z ɛ t s t ə
herabsetzten	h ɛ ʁ a p z ɛ t s t ə n
herabsetztest	h ɛ ʁ a p z ɛ t s t ɛ s t
herabsetztet	h ɛ ʁ a p z ɛ t s t ə t
herabsetzung	h ɛ ʁ a p z ɛ t s ʊ ŋ
herabsetzungen	h ɛ ʁ a p z ɛ t s ʊ ŋ ə n
herabsteige	h ɛ ʁ a p ʃ t ə ɪ g ə
herabsteigen	h ɛ ʁ a p ʃ t ə ɪ g ə n
herabsteigend	h ɛ ʁ a p ʃ t a eː g ɛ n t
herabsteigende	h ɛ ʁ a p ʃ t a eː g ɛ n d ə
herabsteigendem	h ɛ ʁ a p ʃ t a eː g ɛ n d ə m
herabsteigenden	h ɛ ʁ a p ʃ t a eː g ɛ n d ə n
herabsteigender	h ɛ ʁ a p ʃ t a eː g ɛ n d ɐ
herabsteigendes	h ɛ ʁ a p ʃ t a eː g ɛ n d ə s
herabsteigst	h ɛ ʁ a p ʃ t a eː k s t
herabsteigt	h ɛ ʁ a p ʃ t a eː k t
herabstieg	h ɛ ʁ a p ʃ t iː k
herabstiegen	h ɛ ʁ a p ʃ t iː g ə n
herabstiegst	h ɛ ʁ a p ʃ t iː k s t
herabstiegt	h ɛ ʁ a p ʃ t iː k t
herabstufung	h ɛ ʁ a p ʃ t uː f ʊ ŋ
herabstürze	h ɛ ʁ a p ʃ t ʏ ʁ t s ə
herabstürzen	h ɛ ʁ a p ʃ t ʏ ʁ t s ə n
herabstürzend	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n t
herabstürzende	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n d ə
herabstürzendem	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n d ə m
herabstürzenden	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n d ə n
herabstürzender	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n d ɐ
herabstürzendes	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ n d ə s
herabstürzest	h ɛ ʁ a p ʃ t ʏ ʁ t s ɛ s t
herabstürzt	h ɛ ʁ a p ʃ t ʏ ʁ t s t
herabstürzte	h ɛ ʁ a p ʃ t ʏ ʁ t s t ə
herabstürzten	h ɛ ʁ a p ʃ t ʏ ʁ t s t ə n
herabstürztest	h ɛ ʁ a p ʃ t ʏ ʁ t s t ɛ s t
herabstürztet	h ɛ ʁ a p ʃ t ʏ ʁ t s t ə t
herabtreibe	h ɛ ʁ a p t ʁ a eː b ə
herabtreiben	h ɛ ʁ a p t ʁ a eː b ə n
herabtreibend	h ɛ ʁ a p t ʁ a eː b ɛ n t
herabtreibende	h ɛ ʁ a p t ʁ a eː b ɛ n d ə
herabtreibendem	h ɛ ʁ a p t ʁ a eː b ɛ n d ə m
herabtreibenden	h ɛ ʁ a p t ʁ a eː b ɛ n d ə n
herabtreibender	h ɛ ʁ a p t ʁ a eː b ɛ n d ɐ
herabtreibendes	h ɛ ʁ a p t ʁ a eː b ɛ n d ə s
herabtreibst	h ɛ ʁ a p t ʁ a eː p s t
herabtreibt	h ɛ ʁ a p t ʁ a eː p t
herabzusetzen	h ɛ ʁ a p t s uː z ɛ t s ə n
herabzusetzend	h ɛ ʁ a p t s uː z ɛ t s ɛ n t
herabzusetzende	h ɛ ʁ a p t s uː z ɛ t s ɛ n d ə
herabzusetzendem	h ɛ ʁ a p t s uː z ɛ t s ɛ n d ə m
herabzusetzenden	h ɛ ʁ a p t s uː z ɛ t s ɛ n d ə n
herabzusetzender	h ɛ ʁ a p t s uː z ɛ t s ɛ n d ɐ
herabzusetzendes	h ɛ ʁ a p t s uː z ɛ t s ɛ n d ə s
herakles	h eː ɐ ʔ a k l ə s
heran	h ɛ ʁ a n
heranbrachte	h ɛ ʁ a n b ʁ a x t ə
heranbrachten	h ɛ ʁ a n b ʁ a x t ə n
heranbrachtest	h ɛ ʁ a n b ʁ a x t ɛ s t
heranbrachtet	h ɛ ʁ a n b ʁ a x t ə t
heranbringe	h ɛ ʁ a n b ʁ ɪ ŋ ə
heranbringen	h ɛ ʁ a n b ʁ ɪ ŋ ə n
heranbringend	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n t
heranbringende	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n d ə
heranbringendem	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n d ə m
heranbringenden	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n d ə n
heranbringender	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n d ɐ
heranbringendes	h ɛ ʁ a n b ʁ ɪ ŋ ɛ n d ə s
heranbringst	h ɛ ʁ a n b ʁ ɪ ŋ s t
heranbringt	h ɛ ʁ a n b ʁ ɪ ŋ t
herandonnern	h ɛ ʁ a n d ɔ n n ɛ ʁ n
herandonnernd	h ɛ ʁ a n d ɔ n n ɛ ʁ n t
herandonnernde	h ɛ ʁ a n d ɔ n n ɛ ʁ n d ə
herandonnerndem	h ɛ ʁ a n d ɔ n n ɛ ʁ n d ə m
herandonnernden	h ɛ ʁ a n d ɔ n n ɛ ʁ n d ə n
herandonnernder	h ɛ ʁ a n d ɔ n n ɛ ʁ n d ɐ
