'n	m
netzmagens	n ɛ t͡s m aː ɡ n̩ s
netzmägen	n ɛ t͡s m ɛː ɡ n̩
netzneutralität	n ɛ t͡s n ɔ ɪ̯ t ʁ a l i t ɛː t
netzwerk	n ɛ t͡s v ɛ ʁ k
netzwerkeffekt	n ɛ t s v ɛ ʁ k ʔ ɛ f ɛ k t
netzwerkverbindung	n ɛ t͜s v ɛ r k f ɛ ɐ̯ b ɪ n d ʊ ŋ
neuauflage	n ɔ ɪ a ʊ f l aː ɡ ə
neubaugebiet	n ɔ ɪ̯ b a ʊ̯ ɡ ə b iː t
neubrandenburg	n ɔ ɪ̯ b ʁ a n d n̩ b ʊ ʁ k
neubulach	n ɔ ɪ̯ b uː l a x
neuburg	n ɔ ɪ̯ b ʊ ʁ k
neudruck	n ɔ ɪ d ʁ ʊ k
neueinsteiger	n ɔ ɪ̯ ʔ a ɪ̯ n ʃ t a ɪ̯ ɡ ɐ
neuenbürg	n ɔ ɪ̯ ə n b ʏ ʁ k
neuengland	n ɔ ʏ ɛ ŋ l a n t
neuenglisch	n ɔ ɪ̯ ʔ ɛ ŋ l ɪ ʃ
neuenstadt	n ɔ ɪ̯ ə n ʃ t a t
neuenstein	n ɔ ɪ̯ ə n ʃ t a ɪ̯ n
neuerung	n ɔ ɪ̯ ə ʁ ʊ ŋ
neuerungen	n ɔ ɪ̯ ə ʁ ʊ ŋ ə n
neuffen	n ɔ ɪ̯ f n̩
neufundland	n ɔ ʏ̯ f ʊ n t l a n t
neufünfland	n ɔ ʏ̯ f ʏ n f l a n t
neugewürz	n ɔ ʏ̯ ɡ ə v ʏ r t͡s
neugier	n ɔ ʏ̯ ɡ iː ɐ̯
neugierde	n ɔ ʏ̯ ɡ iː ɐ̯ d ə
neuhausen	n ɔ ɪ̯ h a ʊ̯ z n̩
neuhausens	n ɔ ɪ̯ h a ʊ̯ z ə n s
neuheidentum	n ɔ ɪ̯ h a ɪ̯ d n̩ t uː m
neuhochdeutsch	n ɔ ʏ̯ h oː x d ɔ ʏ̯ t͡ʃ
neuhoffnung	n ɔ ʏ̯ h ɔ f n ʊ ŋ
neuirisch	n ɔ ʏ̯ iː ʁ ɪ ʃ
neujahr	n ɔ ʏ̯ j aː ɐ̯
neujahrstag	n ɔ ɪ̯ j aː ɐ̯ s t aː k
neujahrsvorsatz	n ɔ ɪ̯ j aː ɐ̯ s f oː ɐ̯ z a t͡s
neujahrsvorsatzes	n ɔ ɪ̯ j aː ɐ̯ s f oː ɐ̯ z a t͡s ə s
neujahrsvorsätze	n ɔ ɪ̯ j aː ɐ̯ s f oː ɐ̯ z ɛ t͡s ə
neukaledonien	n ɔ ɪ̯ k a l ə d oː n i ə n
neukölln	n ɔ ɪ̯ k œ l n
neuland	n ɔ ɪ̯ l a n t
neulatein	n ɔ ɪ̯ l a t a ɪ̯ n
neuleiningen	n ɔ ʏ̯ l a ɪ̯ n ɪ ŋ ə n
neuleiningens	n ɔ ʏ̯ l a ɪ̯ n ɪ ŋ ə n s
neuling	n ɔ ɪ̯ l ɪ ŋ
neulinge	n ɔ ɪ̯ l ɪ ŋ ə
neulings	n ɔ ɪ̯ l ɪ ŋ s
neumarkt	n ɔ ɪ̯ m a ʁ k t
neumond	n ɔ ɪ̯ m oː n t
neumünster	n ɔ ɪ̯ m ʏ n s t ɐ
neumünsteraner	n ɔ ɪ̯ m ʏ n s t ə r aː n ə r
neumünsteraners	n ɔ ɪ̯ m ʏ n s t ə r aː n ə r s
neunauge	n ɔ ʏ̯ n a ʊ̯ ɡ ə
neuneck	n ɔ ɪ̯ n ɛ k
neunecke	n ɔ ɪ̯ n ɛ k ə
neuneckes	n ɔ ɪ̯ n ɛ k ə s
neunecks	n ɔ ɪ̯ n ɛ k s
neuner	n ɔ ʏ̯ n ɐ
neuners	n ɔ ʏ̯ n ɐ s
neunflächner	n ɔ ɪ̯ n f l ɛ ç n ɐ
neunflächners	n ɔ ɪ̯ n f l ɛ ç n ɐ s
neuniederländisch	n ɔ ɪ̯ n iː d ɐ l ɛ n d ɪ ʃ
neunkirchen	n ɔ ɪ̯ n k ɪ ʁ ç n̩
neunorwegisch	n ɔ ɪ̯ n ɔ ʁ v eː ɡ ɪ ʃ
neuntausendstel	n ɔ ʏ̯ n t a ʊ z n̩ t͡s t ɮ̩
neuntel	n ɔ ʏ̯ n t ə l
neuntels	n ɔ ʏ̯ n t ə l s
neununddreißig	n ɔ ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç
neununddreißigstel	n ɔ ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l
neununddreißigstels	n ɔ ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l s
neunundvierzig	n ɔ ɪ̯ n ʊ n t f ɪ ʁ t͡s ɪ ç
neunundvierzigjährige	n ɔ ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ə
neunundvierzigjähriger	n ɔ ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ɐ
neunundvierzigstel	n ɔ ɪ̯ n ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l
neunundvierzigstels	n ɔ ɪ̯ n ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l s
neunundzwanzig	n ɔ ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç
neunundzwanzigstel	n ɔ ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç s t ə l
neunundzwanzigstels	n ɔ ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç s t ə l s
neunzehn	n ɔ ɪ̯ n t͡s eː n
neunzehneck	n ɔ ɪ̯ n t͡s eː n ɛ k
neunzehnecke	n ɔ ɪ̯ n t͡s eː n ɛ k ə
neunzehneckes	n ɔ ɪ̯ n t͡s eː n ɛ k ə s
neunzehnecks	n ɔ ɪ̯ n t͡s eː n ɛ k s
neunzehntel	n ɔ ɪ̯ n t͡s eː n t ə l
neunzehntels	n ɔ ɪ̯ n t͡s eː n t ə l s
neunzigtausendstel	n ɔ ʏ̯ n s ɪ ç t a ʊ z n̩ t͡s t ɮ̩
neuorientierung	n ɔ ʏ̯ o ʁ i ɛ n t iː ʁ ʊ ŋ
neurobiologie	n ɔ ɪ̯ ʁ o b i o l o ɡ iː
neurodermitis	n ɔ ɪ̯ ʁ o d ɛ ʁ m iː t ɪ s
neurologie	n ɔ ɪ̯̯ ʁ o l o ɡ iː
neurologin	n ɔ ɪ̯̯ ʁ o l o ɡ ɪ n
neuron	n ɔ ɪ̯ ʁ ɔ n
neurose	n ɔ ɪ̯ ʁ oː z ə
neuruppin	n ɔ ɪ̯ ʁ ʊ p iː n
neuschnee	n ɔ ɪ̯ ʃ n eː
neuschottland	n ɔ ɪ ʃ ɔ t l a n t
neuschöpfung	n ɔ ɪ̯ ʃ œ p͡f ʊ ŋ
neuseeland	n ɔ ʏ̯ z eː l a n t
neuseeländer	n ɔ ɪ z eː l ɛ n d ɐ
neuseeländerin	n ɔ ɪ z eː l ɛ n d ɐ ʁ ɪ n
neusilber	n ɔ ɪ̯ z ɪ l b ɐ
neusprech	n ɔ ɪ̯ ʃ p ʁ ɛ ç
neusprechs	n ɔ ɪ̯ ʃ p ʁ ɛ ç s
neuss	n ɔ ɪ̯ s
neustadt	n ɔ ɪ̯ ʃ t a t
neustart	n ɔ ɪ̯ ʃ t a ʁ t
neutralität	n ɔ ɪ̯ t ʁ a l i t ɛː t
neutralteilchen	n ɔ ɪ̯ t ʁ aː l t a ɪ̯ l ɕ ə n
neutrino	n ɔ ɪ̯ t ʁ iː n o
neutron	n ɔ ʏ̯ t ʁ ɔ n
neutronen	n ɔ ʏ̯ t ʁ oː n ə n
neutronenstern	n ɔ ɪ̯ t ʁ oː n ə n ʃ t ɛ ʁ n
neutronenüberschuss	n ɔ ɪ̯ t ʁ oː n ə n yː b ɐ ʃ ʊ s
neutronenüberschuß	n ɔ ɪ̯ t ʁ oː n ə n yː b ɐ ʃ ʊ s
neutrum	n eː ʊ t r ʊ m
neutsch	n ɔ ɪ t͡ʃ
neuwagen	n ɔ ʏ̯ v aː ɡ ə n
neuwagenhändler	n ɔ ʏ̯ v aː ɡ ə n̩ h ɛ n d l ɐ
neuwagenhändlerin	n ɔ ʏ̯ v aː ɡ ə n h ɛ n d l ə ʁ ɪ n
neuwied	n ɔ ɪ̯ v iː t
neuzeit	n ɔ ɪ̯ t s a ɪ̯ t
neuzugang	n ɔ ɪ̯ t͡s uː ɡ a ŋ
nevada	n e v aː d a
newcomer	n j uː k a m ɐ
newtonmeter	n j uː t n̩ m eː t ɐ
niacin	n i̯ a t͡s iː n
niagarafälle	n i a ɡ aː r a f ɛ l ə
nibelungenlied	n iː b ə l ʊ ŋ ə n l iː t
nicaragua	n i k a ʁ aː ɡ u a
nicaraguaner	n i k a ʁ aˑ ɡ u aː n ɐ
nicaraguanerin	n i k a ʁ a ɡ u aː n ɐ ʁ ɪ n
nichtchrist	n ɪ ç t k ʁ ɪ s t
nichte	n ɪ ç t ə
nichtigkeit	n ɪ ç t ɪ ç k a ɪ̯ t
nichtkonformität	n ɪ ç t k ɔ n f ɔ ʁ m i t ɛː t
nichtmuttersprachler	n ɪ ç t m ʊ t ɐ ʃ p ʁ aː x l ɐ
nichtmuttersprachlerin	n ɪ ç t m ʊ t ɐ ʃ p ʁ aː x l ə ʁ ɪ n
nichtmuttersprachlerinnen	n ɪ ç t m ʊ t ɐ ʃ p ʁ aː x l ə ʁ ɪ n ə n
nichtmuttersprachlern	n ɪ ç t m ʊ t ɐ ʃ p ʁ aː x l ɐ n
nichtmuttersprachlers	n ɪ ç t m ʊ t ɐ ʃ p ʁ aː x l ɐ s
nichtraucher	n ɪ ç t ʁ a ʊ̯ x ɐ
nichtraucherin	n ɪ ç t ʁ a ʊ̯ x ə ʁ ɪ n
nichtraucherinnen	n ɪ ç t ʁ a ʊ̯ x ə ʁ ɪ n ə n
nichtregierungsorganisation	n ɪ ç t ʁ e ɡ iː ʁ ʊ ŋ s ɔ ʁ ɡ a n i z a t͡s i̯ oː n
nichtschwimmer	n ɪ ç t ʃ v ɪ m ɐ
nichtschwimmerin	n ɪ ç t ʃ v ɪ m ə ʁ ɪ n
nichtsein	n ɪ ç t z a ɪ̯ n
nichtsnutz	n ɪ ç t͡s n ʊ t͡s
nichtstun	n ɪ ç t͡s t uː n
nichtstuns	n ɪ ç t͡s t uː n s
nichttänzer	n ɪ ç t t ɛ n t͡s ɐ
nichttänzerin	n ɪ ç t t ɛ n t͡s ə ʁ ɪ n
nichtverfügbarkeit	n ɪ ç t f ɛ ɐ̯ f yː k b aː ɐ̯ k a ɪ̯ t
nickel	n ɪ k ə l
nickeligkeit	n ɪ k ə l ɪ ç k a ɪ̯ t
nicker	n ɪ k ɐ
nickhaut	n ɪ k h a ʊ̯ t
nickligkeit	n ɪ k l ɪ ç k a ɪ̯ t
nickname	n ɪ k n aː m ə
nicola	n iː k o l a
nicole	n i k ɔ l
niebuhr	n iː b uː r
niederbayern	n iː d ɐ b a ɪ̯ ɐ n
niederbrennen	n iː d ɐ b ʁ ɛ n ə n
niederdeutsch	n iː d ɐ d ɔ ɪ̯ t͡ʃ
niederdeutsche	n iː d ɐ d ɔ ɪ̯ t͡ʃ ə
niederdeutschen	n iː d ɐ d ɔ ɪ̯ t͡ʃ ə n
niederdeutschs	n iː d ɐ d ɔ ɪ̯ t͡ʃ s
niederdruck	n iː d ɐ d r ʊ k
niedergang	n iː d ɐ ɡ a ŋ
niedergeschlagenheit	n iː d ə ʁ ɡ ə ʃ l aː ɡ ə n h a ɪ̯ t
niederlage	n iː d ɐ l aː ɡ ə
niederlande	n iː d ɐ l a n d ə
niederlassung	n iː d ɐ l a s ʊ ŋ
niederlassungen	n iː d ɐ l a s ʊ ŋ ə n
niederlassungsfreiheit	n iː d ɐ l a s ʊ ŋ s f ʁ a ɪ̯ h a ɪ̯ t
niederlausitz	n iː d ɐ l a ʊ̯ z ɪ t͡s
niederländerin	n iː d ɐ l ɛ n d ɐ ʁ ɪ n
niederländisch	n iː d ɐ l ɛ n d ɪ ʃ
niedermetzeln	n iː d ɐ m ɛ t͡s l̩ n
niederrad	n iː d ɐ ʁ aː t
niederreißer	n iː d ɐ ʁ a ɪ̯ s ɐ
niederreißers	n iː d ɐ ʁ a ɪ̯ s ɐ s
niedersachse	n iː d ɐ z a k s ə
niedersachsen	n iː d ɐ z a k s ə n
niederschlag	n iː d ɐ ʃ l aː k
niederschlagen	n iː d ə ʁ ʃ l aː ɡ ə n
niederschrift	n iː d ɐ ʃ ʁ ɪ f t
niederstossen	n iː d ə ʁ ʃ t oː s ə n
niederstoßen	n iː d ə ʁ ʃ t oː s ə n
niedersächsisch	n iː d ɐ z ɛ k s ɪ ʃ
niederung	n iː d ə ʁ ʊ ŋ
niederwild	n iː d ə r v ɪ l t
niednagel	n iː t n aː ɡ ə l
niedrigwasser	n iː d ʁ ɪ ç v a s ɐ
niehoff	n iː h ɔ f
niemegk	n iː m ɛ k
nienborg	n iː n b ɔ ʁ k
nienburg	n iː n b ʊ ʁ k
niere	n iː ʁ ə
nierenbecken	n iː ʁ ə n b ɛ k n̩
nierenstein	n iː ʁ ə n ʃ t a ɪ n
nierentisch	n iː ʁ ə n t ɪ ʃ
nierstein	n iː ɐ̯ ʃ t a ɪ̯ n
nierstück	n iː ʁ ʃ t ʏ k
niesen	n iː s ə n
niesky	n iː s k i
nieswurz	n iː s v ʊ ʁ t͡s
nieswurzen	n iː s v ʊ ʁ t͡s ə n
niet	n iː t
niete	n iː t ə
nieten	n iː t n̩
nietenhose	n iː t n̩ h oː z ə
niethose	n iː t h oː z ə
nietzsche	n iː t͡ʃ ə
nigeria	n i ɡ eː ʁ i a
nigger	n ɪ ɡ ɐ
niggerin	n ɪ ɡ ɐ ʁ ɪ n
niggerinnen	n ɪ ɡ ɐ ʁ ɪ n ə n
nihilartikel	n iː h iː l aː ɐ̯ t ɪ k l̩
nihilist	n i h i l ɪ s t
nikab	n i k aː p
nike	n a ɪ̯ k
nikola	n iː k o l a
nikolas	n iː k o l a s
nikolaus	n iː k o l a ʊ̯ s
nikolauses	n ɪ k o l a ʊ̯ z ə s
nil	n iː l
nille	n ɪ l ə
nilpferd	n iː l p͡f eː ɐ̯ t
nils	n iː l s
nimmersatt	n ɪ m ɐ z a t
nimmerwiedersehen	n ɪ m ɐ v iː d ɐ z eː n
nimptsch	n ɪ m p t ʃ
nimwegen	n ɪ m v eː ɡ ə n
niob	n i oː p
niobe	n iː o b e
nippel	n ɪ p l̩
nippes	n ɪ p s
niqab	n i k aː p
nisbe	n ɪ s b ə
niss	n ɪ s
nisse	n ɪ s ə
nitrat	n i t ʁ aː t
niveau	n i v oː
nix	n ɪ k s
nixe	n ɪ k s ə
nizza	n ɪ t s aː
nizäa	n i t͡s ɛː aː
njet	n j ɛ t
nock	n ɔ k
nocke	n ɔ k ə
nocken	n ɔ k n̩
nockenwelle	n ɔ k n̩ v ɛ l ə
nofretete	n o f ʁ e t eː t ə
nokia	n oː k i̯ a
nomenklatur	n o m ɛ n k l a t uː ɐ̯
nominalphrase	n o m i n aː l f ʁ aː z ə
nominalwert	n o m i n aː l v eː r t
nominativ	n oː m i n a t iː f
nonan	n o n aː n
nonillion	n o n ɪ l i̯ oː n
nonkonformität	n ɔ n k ɔ n f ɔ ʁ m i t ɛː t
nonne	n ɔ n ə
nonnenfalter	n ɔ n ə n f a l t ɐ
nonnweiler	n ɔ n v a ɪ̯ l ɐ
nonnweilers	n ɔ n v a ɪ̯ l ɐ s
nonplusultra	n oː n p l ʊ s ʔ ʊ l t ʁ a
noob	n uː p
noosphäre	n o o s f ɛː ʁ ə
noppe	n ɔ p ə
norbert	n ɔ ʁ b ɛ ʁ t
nord	n ɔ ʁ t
nordafrika	n ɔ ʁ t ʔ a f ʁ i k a
nordafrikanerin	n ɔ ʁ t ʔ a f ʁ i k aː n ə ʁ ɪ n
nordafrikas	n ɔ ʁ t ʔ a f ʁ i k a s
nordamerika	n ɔ r t a m eː r i k a
nordamerikaner	n ɔ ʁ t ʔ a m eː ʁ i k aː n ɐ
norddeutschland	n ɔ ʁ t d ɔ ʏ̯ t ʃ l a n t
norden	n ɔ r d ə n
nordeuropa	n ɔ ʁ t ɔ ɪ ʁ oː p a
nordfrankreich	n ɔ ʁ t f ʁ a ŋ k ʁ a ɪ̯ ç
nordfriesland	n ɔ ʁ t f ʁ iː s l a n t
nordhalbkugel	n ɔ ʁ t h a l p k uː ɡ l̩
nordhausen	n ɔ ʁ t h a ʊ̯ z n̩
nordhausens	n ɔ ʁ t h a ʊ̯ z ə n s
nordhorn	n ɔ ʁ t h ɔ ʁ n
nordire	n ɔ ʁ t ʔ iː ʁ ə
nordirland	n ɔ ʁ t ʔ ɪ ʁ l a n t
nordküste	n ɔ ʁ t k ʏ s t ə
nordlicht	n ɔ ʁ t l ɪ ç t
nordmann	n ɔ ʁ t m a n
nordmanntanne	n ɔ ʁ t m a n t a n ə
nordmauer	n ɔ ʁ t m a ʊ̯ ɐ
nordmazedonien	n ɔ ʁ t m a t͡s ə d oː n i̯ ə n
nordpol	n ɔ ʁ t p oː l
nordsachsen	n ɔ ʁ t z a k s n̩
nordseegarnele	ɡ a n eː l ə
nordseite	n ɔ ʁ t z a ɪ̯ t ə
nordvietnam	n ɔ ʁ t v i̯ ɛ t n a m
nordwest	n ɔ ʁ t v ɛ s t
nordwind	n ɔ ʁ t v ɪ n t
normalgewicht	n ɔ ʁ m aː l ɡ ə v ɪ ç t
normalgewichte	n ɔ ʁ m aː l ɡ ə v ɪ ç t ə
normalgewichten	n ɔ ʁ m aː l ɡ ə v ɪ ç t n̩
normalgewichtes	n ɔ ʁ m aː l ɡ ə v ɪ ç t ə s
normalgewichts	n ɔ ʁ m aː l ɡ ə v ɪ ç t͡s
normalität	n ɔ ʁ m a l i t ɛː t
normalnull	n ɔ r m aː l n ʊ l
normalo	n ɔ ʁ m aː l o
normalteiler	n ɔ ʁ m aː l t a i̯ l ɐ
normaluhr	n ɔ ʁ m aː l ʔ uː ɐ̯
normandie	n ɔ ʁ m a n d iː
normanne	n ɔ ʁ m a n ə
norne	n ɔ r n ə
northeim	n ɔ ʁ t h a ɪ̯ m
norwegen	n ɔ r v eː ɡ ə n
norweger	n ɔ ʁ v eː ɡ ə ʁ
norwegerin	n ɔ ʁ v eː ɡ ə ʁ ɪ n
nosode	n o z oː d ə
nosologie	n o z o l o ɡ iː
nossen	n ɔ s n̩
nostrifizierung	n ɔ s t ʁ i f i t͡s iː ʁ ʊ ŋ
not	n oː t
notar	n o t aː ɐ̯
notation	n o t a t s j oː n
notaufnahme	n oː t a ʊ̯ f n aː m ə
notausgang	n oː t ʔ a ʊ̯ s ɡ a ŋ
notbehelf	n oː t b ə h ɛ l f
notbeleuchtung	n oː t b ə l ɔ ɪ̯ ç t ʊ ŋ
notburga	n oː t b ʊ ʁ ɡ ɐ
notdienst	n oː t d iː n s t
notdurft	n oː t d ʊ ʁ f t
note	n oː t ə
noten	n oː t n̩
notenbank	n oː t n̩ b a ŋ k
notenblatt	n oː t n̩ b l a t
notenblättchen	n oː t n̩ b l ɛ t ç n̩
notenblättchens	n oː t ə n b l ɛ t ç ə n s
notenhals	n oː t n̩ h a l s
notenkopf	n oː t n̩ k ɔ p͡f
notenschlüssel	n oː t n̩ ʃ l ʏ s l̩
notenschrift	n oː t n̩ ʃ ʁ ɪ f t
notenständer	n oː t n̩ ʃ t ɛ n d ɐ
notenständers	n oː t n̩ ʃ t ɛ n d ɐ s
notenwert	n oː t n̩ v eː ɐ̯ t
notfall	n oː t f a l
notfalles	n oː t f a l ə s
notfallkoffer	n oː t f a l k ɔ f ɐ
notfalls	n oː t f a l s
nothelfer	n oː t h ɛ l f ɐ
nothilfe	n oː t h ɪ l f ə
notierung	n o t iː ʁ ʊ ŋ
notierungssprung	n o t iː ʁ ʊ ŋ s ʃ p ʁ ʊ ŋ
notiz	n o t iː t s
notizbuch	n o t iː t s b uː χ
notizen	n o t iː t s n̩
notizheft	n o t iː t͡s h ɛ f t
notizhefte	n o t iː t͡s h ɛ f t ə
notizheftes	n o t iː t͡s h ɛ f t ə s
notizhefts	n o t iː t͡s h ɛ f t͡s
notlage	n oː t l aː ɡ ə
notlösung	n oː t l øː z ʊ ŋ
notration	n oː t ʁ a t s j oː n
notstand	n oː t ʃ t a n t
nottaufe	n oː t t a ʊ̯ f ə
nottuln	n ɔ t ə l n
notverordnung	n oː t f ɛ ɐ̯ ʔ ɔ ʁ d n ʊ ŋ
notverordnungen	n oː t f ɛ ɐ̯ ʔ ɔ ʁ d n ʊ ŋ ə n
notwehr	n oː t v eː ɐ̯
notwendigkeit	n oː t v ɛ n d ɪ ç k a ɪ̯ t
nougat	n uː ɡ a t
nougatcreme	n uː ɡ a t k ʁ eː m
nougatcremes	n uː ɡ a t k ʁ eː m s
noumenon	n o ʔ uː m ɛ n ɔ n
novak	n oː v a k
november	n o f ɛ m b ɐ
novene	n o v eː n ə
noviziat	n o v i t͡s i̯ aː t
novum	n oː v ʊ m
nowak	n oː v a k
nowgorod	n ɔ f ɡ o ʁ ɔ t
nowosibirsk	n o v o z i b ɪ ʁ s k
nudel	n uː d ə l
nudelholz	n uː d l̩ h ɔ l t s
nudeln	n uː d l̩ n
nudelsieb	n uː d l̩ s iː p
nudelwalker	n uː d l̩ v a l k ɐ
nukleinsäure	n u k l e iː n z ɔ ɪ̯ ʁ ə
nukleinsäuren	n u k l e iː n z ɔ ɪ̯ ʁ ə n
nukleotid	n uː k l e o t iː t
nukleus	n uː k l e ʊ s
nullableitung	n ʊ l ʔ a p l a ɪ̯ t ʊ ŋ
nullartikel	n ʊ l ʔ a ʁ t iː k l̩
nullaussage	n ʊ l a ʊ̯ s z aː ɡ ə
nulldiät	n ʊ l d i ɛː t
nullenergiehaus	n ʊ l ʔ e n ɛ ʁ ɡ iː h a ʊ̯ s
nuller	n ʊ l ɐ
nullerjahre	n ʊ l ɐ j aː ʁ ə
nullhypothese	n ʊ l h y p o t eː z ə
nulllösung	n ʊ l l øː z ʊ ŋ
nullmeilenstein	n ʊ l m a ɪ̯ l ə n ʃ t a ɪ̯ n
nullmeilensteine	n ʊ l m a ɪ̯ l ə n ʃ t a ɪ̯ n ə
nullmeilensteines	n ʊ l m a ɪ̯ l ə n ʃ t a ɪ̯ n ə s
nullmeilensteins	n ʊ l m a ɪ̯ l ə n ʃ t a ɪ̯ n s
nullmenge	n ʊ l m ɛ ŋ ə
nullmeridian	n ʊ l m e ʁ i d i̯ aː n
nullrunde	n ʊ l ʁ ʊ n d ə
nullstelle	n ʊ l ʃ t ɛ l ə
nullstellen	n ʊ l ʃ t ɛ l ə n
nullsummenspiel	n ʊ l z ʊ m ə n ʃ p iː l
nullvektor	n ʊ l v ɛ k t oː ɐ̯
nulpe	n ʊ l p ə
numero	n uː m e ʁ o
numerus	n uː m ə ʁ ʊ s
numidien	n u m iː d i ə n
nummer	n ʊ m ɐ
nummerierung	n ʊ m ə ʁ iː ʁ ʊ ŋ
nummerntafel	n ʊ m ɐ n t aː f l̩
nuntiatur	n ʊ n t͡s i̯ a t uː ɐ̯
nuntius	n ʊ n t͡s i̯ ʊ s
nurdachhaus	n uː ɐ̯ d a x h a ʊ̯ s
nuss	n ʊ s
nussbaum	n ʊ s b a ʊ̯ m
nussfrucht	n ʊ s f ʁ ʊ x t
nusskern	n ʊ s k ɛ ʁ n
nusskerne	n ʊ s k ɛ ʁ n ə
nusskernes	n ʊ s k ɛ ʁ n ə s
nusskerns	n ʊ s k ɛ ʁ n s
nussknacker	n ʊ s k n a k ɐ
nussknackers	n ʊ s k n a k ɐ s
nut	n uː t
nuten	n uː t n̩
nutte	n ʊ t ə
nuttensohn	n ʊ t ə n z oː n
nutzenmaximierung	n ʊ t͡s n̩ m a k s i m iː ʁ ʊ ŋ
nutzenmaximierungen	n ʊ t͡s n̩ m a k s i m iː ʁ ʊ ŋ ə n
nutzenminimierung	n ʊ t͡s n̩ m i n i m iː ʁ ʊ ŋ
nutzenminimierungen	n ʊ t͡s n̩ m i n i m iː ʁ ʊ ŋ ə n
nutzlosigkeit	n ʊ t s l oː z ɪ ç k a ɪ̯ t
nutztier	n ʊ t s t iː ɐ̯
nutztiere	n ʊ t s t iː ʁ ə
nutzung	n ʊ t s ʊ ŋ
nußloch	n ʊ s l ɔ x
nylon	n a ɪ̯ l ɔ n
nächte	n ɛ ç t ə
nächtigung	n ɛ ç t ɪ ɡ ʊ ŋ
nägel	n eː ɡ l̩
nägelchen	n eː ɡ ə l ç ə n
nähe	n eː ə
näher	n ɛː ə r
näherinnen	n ɛː ə ʁ ɪ n ə n
nähfaden	n ɛː f aː d n̩
nähgarn	n ɛː ɡ a r n
nähmaschine	n ɛː m a ʃ iː n ə
nährmedium	n ɛː ɐ̯ m eː d i̯ ʊ m
nährmutter	n ɛː ɐ̯ m ʊ t ɐ
nährmütter	n ɛː ɐ̯ m ʏ t ɐ
nährmüttern	n ɛː ɐ̯ m ʏ t ɐ n
nährsalz	n ɛː ɐ̯ z a l t͡s
nährstoff	n eː ɐ̯ ʃ t ɔ f
nährwert	n eː ɐ̯ v eː ɐ̯ t
nährwertinformation	n ɛː ɐ̯ v eː ɐ̯ t ʔ ɪ n f ɔ ʁ m a t s j oː n
nährwertinformationen	n ɛː ɐ̯ v eː ɐ̯ t ʔ ɪ n f ɔ ʁ m a t s j oː n ə n
nähte	n eː t ə
nämlichkeit	n ɛː m l ɪ ç k a ɪ̯ t
nänie	n eː n i̯ ə
näscher	n ɛ ʃ ɐ
nécessaires	n ɛ s ɛ s eː ɐ̯ s
nörgelei	n œ ʁ ɡ ə l a ɪ̯
nörgler	n œ ʁ ɡ l ɐ
nötigen	n øː t ɪ ɡ ə n
nötigung	n øː t ɪ ɡ ʊ ŋ
nüchternheit	n ʏ ç t ɐ n h a ɪ̯ t
nürnberg	n ʏ ɐ̯ n b ɛ ɐ̯ k
nürnberger	n ʏ ʁ n b ɛ ʁ ɡ ɐ
nürtingen	n ʏ ʁ t ɪ ŋ ə n
nürtingens	n ʏ ʁ t ɪ ŋ ə n s
nüsschen	n ʏ s ç ə n
nüsse	n ʏ s ə
nüster	n yː s t ɐ
nüstern	n ʏ s t ɐ n
nützlichkeit	n ʏ t s l ɪ ç k a ɪ̯ t
nützlichkeiten	n ʏ t s l ɪ ç k a ɪ̯ t n̩
o	ʔ oː
ob	oː b eː
op	o p eː
oase	o aː z ə
obacht	oː b a x t
obdach	ɔ p d a χ
obdachlose	ɔ p d a χ l oː z ə
obdachlosenzeitung	ɔ p d a x l oː z n̩ t͡s a ɪ̯ t ʊ ŋ
obduktion	ɔ p d ʊ k t s j oː n
obelisk	o b ə l ɪ s k
ober	oː b ɐ
oberallgäu	oː b ɐ ʔ a l ɡ ɔ ɪ̯
oberarm	oː b ɐ ʔ a ʁ m
oberbayern	oː b ɐ b a ɪ̯ ɐ n
oberbürgermeister	oː b ɐ b ʏ ʁ ɡ ɐ m a ɪ̯ s t ɐ
oberdeutsch	oː b ɐ d ɔ ɪ̯ t͡ʃ
oberdeutsche	oː b ɐ d ɔ ɪ̯ t͡ʃ ə
oberdeutschen	oː b ɐ d ɔ ɪ̯ t͡ʃ ə n
oberdeutschs	oː b ɐ d ɔ ɪ̯ t͡ʃ s
oberfläche	oː b ə r f l ɛ ç ə
oberflächlichkeit	oː b ɐ f l ɛ ç l ɪ ç k a ɪ̯ t
obergeschoss	oː b ɐ ɡ ə ʃ oː s
obergeschoß	oː b ɐ ɡ ə ʃ o s
obergewand	oː b ɐ ɡ ə v a n t
oberhand	oː b ɐ h a n t
