'n	m
kaiser	k a ɪ̯ z ə r
kaiserbrötchen	k a ɪ̯ z ɐ b ʁ øː t ç ə n
kaiserin	k a ɪ̯ z ə ʁ ɪ n
kaiserinnen	k a ɪ̯ z ə ʁ ɪ n ə n
kaiserinwitwe	k a ɪ̯ z ə ʁ ɪ n v ɪ t v ə
kaiserinwitwen	k a ɪ̯ z ə ʁ ɪ n v ɪ t v ə n
kaiserlich	k a ɪ̯ z ɐ l ɪ ç
kaiserreich	k a͜i z ɐ r a͜i ç
kaisers	k a ɪ̯ z ɐ s
kaiserschmarrn	k a ɪ̯ z ɐ ʃ m a ʁ n
kaiserschnitt	k a ɪ̯ z ɐ ʃ n ɪ t
kaiserschote	k a ɪ̯ z ɐ ʃ oː t ə
kaisersemmel	k a ɪ̯ s ɐ s ɛ m l̩
kaiserslautern	k a ɪ̯ z ə r s l a ʊ̯ t ə r n
kaiserslauterns	k a ɪ z ɐ s l a ʊ t ɐ n s
kaiserthum	k a ɪ̯ z ɐ t uː m
kaisertreu	k a ɪ̯ z ɐ t ʁ ɔ ɪ̯
kaisertum	k a ɪ̯ z ɐ t uː m
kaisertums	k a ɪ̯ z ɐ t uː m s
kaisertümer	k a ɪ̯ z ɐ t yː m ɐ
kaiserwetter	k a ɪ̯ z ə r v ɛ t ə r
kajak	k aː j a k
kajal	k a j aː l
kajetan	k aː j e t aː n
kajetans	k aː j e t aː n s
kajolen	k a j oː l ə n
kakao	k a k a ʊ̯
kakerlake	k a k ɐ l aː k ə
kaki	k aː k i
kakifarben	k aː k i f a ʁ b ə n
kakis	k aː k i s
kakophonisch	k a k o f oː n ɪ ʃ
kaktee	k a k t eː ə
kakteen	k a k t eː ə n
kaktus	k a k t ʊ s
kalabrisch	k a l aː b ʁ ɪ ʃ
kalamität	k a l a m i t ɛː t
kalaschnikow	k a l a ʃ n i k ɔ f
kalauer	k aː l a ʊ̯ ɐ
kalbe	k a l b ə
kalbfleisch	k a l p f l a ɪ̯ ʃ
kalbin	k a l b ɪ n
kalbsbraten	k a l p s b ʁ aː t n̩
kalbsfilet	k a l p s f ɪ l e
kalbshaxe	k a l p s h a k s ə
kalbshaxen	k a l p s h a k s n̩
kalbskeule	k a l p s k ɔ ɪ̯ l ə
kalbskotelett	k a l p s k ɔ t l ɛ t
kalbsleber	k a l p s l eː b ɐ
kalbsleberwurst	k a l p s l eː b ɐ v ʊ ʁ s t
kalbsmedaillon	k a l p s m e d a l j õː
kalbsmedaillons	k a l p s m e d a l j õː s
kaldaunen	k a l d a ʊ̯ n ə n
kaleb	k a l eː b
kaledonier	k a l e d oː n i̯ ɐ
kalendermonate	k a l ɛ n d ɐ m oː n a t ə
kalendermonaten	k a l ɛ n d ɐ m oː n a t n̩
kalendermonates	k a l ɛ n d ɐ m oː n a t ə s
kalendermonats	k a l ɛ n d ɐ m oː n a t s
kalendertäglich	k a l ɛ n d ɐ t ɛː ɡ l ɪ ç
kalesche	k a l ɛ ʃ ə
kalette	k a l ɛ t ə
kaletten	k a l ɛ t ə n
kaliber	k a l iː b ɐ
kalibrieren	k a l i b ʁ iː ʁ ə n
kalifat	k a l i f aː t
kalifornien	k a l i f ɔ r n i̯ ə n
kalifornier	k a l i f ɔ ʁ n i̯ ɐ
kalifornierin	k a l i f ɔ ʁ n i̯ ə ʁ ɪ n
kalifornisch	k a l i f ɔ ʁ n ɪ ʃ
kalihaltig	k aː l i h a l t ɪ k
kaliko	k a l i k o
kaliningrad	k a l iː n iː n ɡ ʁ aː t
kalium	k aː l i̯ ʊ m
kalke	k a l k ə
kalken	k a l k n̩
kalkend	k a l k ə n t
kalkhaltig	k a l k h a l t ɪ k
kalkstein	k a l k ʃ t a ɪ̯ n
kalkt	k a l k t
kalkte	k a l k t ə
kalkten	k a l k t ə n
kalkulation	k a l k u l a t s j oː n
kalkulatorisch	k a l k u l a t oː ʁ ɪ ʃ
kalkulieren	k a l k u l iː ʁ ə n
kalkweiß	k a l k v a ɪ̯ s
kalle	k a l ə
kalligraphie	k a l i ɡ ʁ a f iː
kalligraphisch	k a l i ɡ ʁ aː f ɪ ʃ
kalmus	k a l m ʊ s
kalorienarm	k a l o ʁ iː ə n ʔ a ʁ m
kalorienbewusst	k a l o ʁ iː ə n b ə v ʊ s t
kalorienbombe	k a l o ʁ iː ə n b ɔ m b ə
kalorienbomben	k a l o ʁ iː ə n b ɔ m b m̩̩
kalorienreich	k a l o ʁ iː ə n ʁ a ɪ̯ ç
kaltgemäßigt	k a l t ɡ ə m eː s ɪ ç t
kaltmiete	k a l t m iː t ə
kaltschnäuzig	k a l t ʃ n ɔ ʏ̯ t͡s ɪ ç
kaltzeit	k a l t t͡s a ɪ̯ t
kalzium	k a l t s i̯ ʊ m
kalziumhaltig	k a l t͡s i̯ ʊ m h a l t ɪ ç
kalziums	k a l t s i̯ ʊ m s
kambodschaner	k a m b ɔ d ʒ aː n ɐ
kambodschanerin	k a m b ɔ d ʒ aː n ɐ ʁ ɪ n
kambodschanisch	k a m b ɔ d ʒ aː n ɪ ʃ
kambrium	k a m b ʁ i ʊ m
kamel	k a m eː l
kamele	k a m eː l ə
kamelie	k a m eː l i̯ ə
kamelle	k a m ɛ l ə
kameltreiber	k a m eː l t ʁ a ɪ̯ b ɐ
kamenz	k aː m ɛ n t͡s
kamenz'	k aː m ɛ n t͡s
kamenzerin	k aː m ɛ n t͡s ə ʁ ɪ n
kamerad	k a m ə ʁ aː t
kameradin	k a m ə ʁ aː d ɪ n
kameradschaft	k a m ə ʁ aː t ʃ a f t
kameradschaftlich	k a m ə ʁ aː t ʃ a f t l ɪ ç
kameradschaftlichkeit	k a m ə ʁ aː t ʃ a f t l ɪ ç k a ɪ̯ t
kamerafrau	k a m ə ʁ a f ʁ a ʊ̯
kameramann	k a m ə ʁ a m a n
kameras	k a m ə r a s
kamerascheu	k a m ə ʁ a ʃ ɔ ɪ̯
kameraüberwacht	k a m ə ʁ a ʔ yː b ɐ v a χ t
kameruner	k a m ə ʁ uː n ɐ
kamikaze	k a m i k aː t s ə
kamillenblüte	k a m ɪ l ə n b l yː t ə
kamillentee	k a m ɪ l ə n t eː
kaminbock	k a m iː n b ɔ k
kaminholz	k a m iː n h ɔ l t͡s
kaminholze	k a m iː n h ɔ l t͡s ə
kaminholzes	k a m iː n h ɔ l t͡s ə s
kaminhölzer	k a m iː n h œ l t͡s ɐ
kaminhölzern	k a m iː n h œ l t͡s ɐ n
kaminsims	k a m iː n z ɪ m s
kaminzimmer	k a m iː n t͡s ɪ m ɐ
kammer	k a m ɐ
kammerdiener	k a m ɐ d iː n ɐ
kammerherr	k a m ɐ h ɛ ʁ
kammerherren	k a m ɐ h ɛ ʁ ə n
kammerjäger	k a m ɐ j ɛː ɡ ɐ
kammermädchen	k a m ə r m ɛː t ç ə n
kammerorchester	k a m ɐ ʔ ɔ ʁ k ɛ s t ɐ
kammerspiel	k a m ɐ ʃ p iː l
kammerton	k a m ɐ t oː n
kammratte	k a m ʁ a t ə
kamp	k a m p
kampagne	k a m p a n j ə
kampanerin	k a m p aː n ə ʁ ɪ n
kampf	k a m f
kampfbegriff	k a m p͡f b ə ɡ ʁ ɪ f
kampfer	k a m f ə r
kampfeslustig	k a m p f ə s l ʊ s t ɪ ç
kampfflugzeug	k a m p͡f f l uː k t͡s ɔ ɪ̯ k
kampfgeist	k a m f ɡ a ɪ̯ s t
kampfgenosse	k a m f ɡ ə n ɔ s ə
kampfhund	k a m p͡f h ʊ n t
kampfjet	k a m f d ʒ ɛ t
kampflos	k a m p f l oː s
kampflustig	k a m p f l ʊ s t ɪ k
kampfläufer	k a m f l ɔ ɪ̯ f ɐ
kampfmittel	k a m p͡f m ɪ t l̩
kampfradler	k a m p͡f ʁ aː d l ɐ
kampfrichter	k a m p f ʁ ɪ ç t ɐ
kampfrichterin	k a m p f ʁ ɪ ç t ə ʁ ɪ n
kampfverband	k a m f f ɛ ɐ̯ b a n t
kamt	k aː m t
kanacke	k a n a k ə
kanadier	k a n aː d i̯ ɐ
kanadierin	k a n aː d i ɐ ʁ ɪ n
kanaille	k a n a l j ə
kanak	k a n a k
kanake	k a n a k ə
kanal	k a n aː l
kanaldeckel	k a n aː l d ɛ k l̩
kanalratte	k a n aː l ʁ a t ə
kanalreinigung	k a n aː l ʁ a ɪ̯ n ɪ ɡ ʊ ŋ
kanapee	k a n a p eː
kanarisch	k a n aː ʁ ɪ ʃ
kandare	k a n d aː ʁ ə
kandelaber	k a n d ə l aː b ɐ
kandidat	k a n d i d aː t
kandidatin	k a n d i d aː t ɪ n
kandidieren	k a n d i d iː ʁ ə n
kandidierende	k a n d i d iː ʁ ə n d ə
kandis	k a n d ɪ s
kandiszucker	k a n d ɪ s t͡s ʊ k ɐ
kaneel	k a n eː l
kanevassen	k a n ə v a s n̩
kanin	k a n iː n
kaninchen	k a n iː n ç ə n
kaninchendraht	k a n iː n ç ə n d ʁ aː t
kaninchendrahtzaun	k a n iː n ç ə n d ʁ aː t t s a ʊ̯ n
kaninchenjagd	k a n iː n ç ə n j aː k t
kannibale	k a n i b aː l ə
kanns	k a n s
kanon	k aː n ɔ n
kanonenboot	k a n oː n ə n b oː t
kanonenboote	k a n oː n ə n b oː t ə
kanonenbootes	k a n oː n ə n b oː t ə s
kanonenboots	k a n oː n ə n b oː t s
kanonenfutter	k a n oː n ə n f ʊ t ɐ
kanonenkugel	k a n oː n ə n k uː ɡ l̩
kanoniker	k a n oː n ɪ k ɐ
kanonisch	k a n oː n ɪ ʃ
kantate	k a n t aː t ə
kanten	k a n t n̩
kantianisch	k a n t i̯ aː n ɪ ʃ
kantig	k a n t ɪ k
kantineur	k a n t i n øː ɐ̯
kantonesisch	k a n t o n eː z ɪ ʃ
kantoniert	k a n t o n iː ɐ̯ t
kantonsregierung	k a n t oː n s ʁ e ɡ iː ʁ ʊ ŋ
kantor	k a n t oː r
kantönligeist	k a n t øː n l ɪ ɡ a ɪ̯ ʃ t
kanu	k a n uː
kanute	k a n uː t ə
kanzel	k a n t͡s l̩
kanzellieren	k a n t s ɛ l iː r ə n
kanzeln	k a n t͡s l̩ n
kanzerogenität	k a n t͡s ə ʁ o ɡ eː n i t ɛː t
kanzler	k a n s l ə ʁ
kanzleramt	k a n t͡s l ɐ ʔ a m t
kanzlerbonus	k a n t͡s l ɐ b oː n ʊ s
kanzlerin	k a n t s l ə ʁ ɪ n
kanzlerinnen	k a n t s l ə ʁ ɪ n ə n
kanzlermehrheit	k a n t͡s l ɐ m eː ɐ̯ h a ɪ̯ t
kanzlist	k a n t͡s l ɪ s t
kanäle	k a n ɛː l ə
kanüle	k a n yː l ə
kaolin	k a o l iː n
kapaun	k a p a ʊ̯ n
kapazitiv	k a p a t͡s i t iː f
kapazität	k a p a t͡s i t ɛː t
kapazunder	k a p a t͡s ʊ n d ɐ
kapellan	k a p ɛ l aː n
kapellmeister	k a p ɛ l m a ɪ̯ s t ɐ
kaperbrief	k aː p ɐ b ʁ iː f
kaperbriefe	k aː p ɐ b ʁ iː f ə
kaperbriefes	k aː p ɐ b ʁ iː f ə s
kaperbriefs	k aː p ɐ b ʁ iː f s
kapern	k aː p ɐ n
kapital	k a p i t aː l
kapitalanlage	k a p i t aː l ʔ a n l aː ɡ ə
kapitalanlagegesellschaft	k a p i t a l ʔ a n l aː ɡ ə ɡ ə z ɛ l ʃ a f t
kapitalflucht	k a p i t aː l f l ʊ x t
kapitalgeber	k a p i t a l ɡ eː b ɐ
kapitalisierung	k a p i t a l i z iː ʁ ʊ ŋ
kapitalisierungszins	k a p i t a l i z iː ʁ ʊ ŋ s t͡s ɪ n s
kapitalismus	k a p i t a l ɪ s m ʊ s
kapitalist	k a p i t a l ɪ s t
kapitalistisch	k a p i t a l ɪ s t ɪ ʃ
kapitalkräftig	k a p i t aː l k ʁ ɛ f t ɪ ç
kapitalmarkt	k a p i t aː l m a ʁ k t
kapitalstruktur	k a p i t aː l ʃ t ʁ ʊ k t uː ɐ̯
kapitalverbrechen	k a p i t aː l f ɛ ɐ̯ b ʁ ɛ ç n̩
kapitalversicherung	k a p i t aː l f ɛ ɐ̯ z ɪ ç ə ʁ ʊ ŋ
kapitalverwaltungsgesellschaft	k a p i t aː l f ɛ ɐ̯ v a l t ʊ ŋ s ɡ ə z ɛ l ʃ a f t
kapitel	k a p iː t ə l
kapitelhaus	k a p ɪ t l̩ h a ʊ̯ s
kapitell	k a p i t ɛ l
kapitol	k a p i t oː l
kapitulantentum	k a p i t u l a n t ə n t uː m
kapitulieren	k a p i t u l iː ʁ ə n
kapitälchen	k a p i t ɛː l ç ə n
kapitän	k a p i t ɛː n
kapitänin	k a p i t ɛː n ɪ n
kapitänsbinde	k a p i t ɛː n s b ɪ n d ə
kapodaster	k a p o d a s t ɐ
kapodasters	k a p o d a s t ɐ s
kapores	k a p oː ʁ ə s
kappa	k a p a
kappadokien	k a p a d oː k i ə n
kappen	k a p m̩
kappes	k a p ə s
kappsäge	k a p z ɛː ɡ ə
kaprizieren	k a p ʁ i t͡s iː ʁ ə n
kaprizierer	k a p ʁ i t͡s iː ʁ ɐ
kapriziös	k a p ʁ i t͡s i̯ øː s
kapsel	k a p s l̩
kapstadt	k aː p ʃ t a t
kaputt	k a p ʊ t
kaputte	k a p ʊ t ə
kaputtgehen	k a p ʊ t ɡ eː ə n
kapuze	k a p uː t͡s ə
kapuzenförmig	k a p uː t͡s n̩ f œ ʁ m ɪ ç
kapuzenpullover	k a p uː t͡s n̩ p ʊ l oː v ɐ
kapuziner	k a p u t͡s iː n ɐ
kapuzinerklöster	k a p u t͡s iː n ɐ k l øː s t ɐ
kapuzinerkressengewächs	k a p u t͡s iː n ɐ k ʁ ɛ s ə n ɡ ə v ɛ k s
kapuzinermönch	k a p u t͡s iː n ɐ m œ n ç
kapuzinermönche	k a p u t͡s iː n ɐ m œ n ç ə
kapuzinermönchen	k a p u t͡s iː n ɐ m œ n ç n̩
kapuzinermönches	k a p u t͡s iː n ɐ m œ n ç ə s
kapuzinermönchs	k a p u t͡s iː n ɐ m œ n ç s
kapverdisch	k a p v ɛ ʁ d ɪ ʃ
kar	k aː r
karabach	k a r a b a x
karabiner	k a ʁ a b iː n ɐ
karabinerhaken	k a ʁ a b iː n ɐ h aː k ə n
karabinerverschluss	k a ʁ a b iː n ɐ f ɛ ɐ̯ ʃ l ʊ s
karabinerverschluß	k a ʁ a b iː n ɐ f ɛ ɐ̯ ʃ l ʊ s
karacho	k a r a x o
karacke	k a ʁ a k ə
karambolage	k a ʁ a m b o l aː ʒ ə
karamell	k a ʁ a m ɛ l
karamellfarben	k a ʁ a m ɛ l f a ʁ b n̩
karamellisieren	k a ʁ a m ɛ l i z iː ʁ ə n
karaoke	k a ʁ a oː k ə
karat	k a ʁ aː t
karate	k a ʁ a t eː
karatschi	k a ʁ aː t ʃ i
karausche	k a ʁ a ʊ̯ ʃ ə
karawanserei	k a ʁ a v a n z ə ʁ a ɪ̯
karbatsche	k a r b aː t͡ʃ ə
karbonade	k a ʁ b o n aː d ə
karbunkel	k a r b ʊ ŋ k ə l
kardamom	k a ʁ d a m oː m
kardinalfisch	k a ʁ d i n aː l f ɪ ʃ
kardinalfische	k a ʁ d i n aː l f ɪ ʃ ə
kardinalfisches	k a ʁ d i n aː l f ɪ ʃ ə s
kardinalfischs	k a ʁ d i n aː l f ɪ ʃ s
kardinaltugend	k a ʁ d i n aː l t uː ɡ n̩ t
kardiogramm	k a ʁ d i̯ o ɡ ʁ a m
kardiologe	k a ʁ d i̯ o l oː ɡ ə
kardiologen	k a ʁ d i̯ o l oː ɡ ə n
kardiologin	k a ʁ d i̯ o l oː ɡ ɪ n
kardiologinnen	k a ʁ d i̯ o l oː ɡ ɪ n ə n
kardiovaskulär	k a ʁ d i̯ o v a s k u l ɛː ɐ̯
karelien	k a ʁ eː l i̯ ə n
karenz	k a ʁ ɛ n t͡s
karer	k aː ʁ ə ʁ
karerin	k aː ʁ ə ʁ ɪ n
karfiol	k a ʁ f i̯ oː l
karfreitag	k aː ɐ̯ f r a i t aː k
karfunkel	k a r f ʊ ŋ k ə l
kargen	k a ʁ ɡ n̩
karibik	k a ʁ iː b ɪ k
karien	k aː ʁ i̯ ə n
karies	k a ʁ i̯ ɛ s
kariespräventiv	k a ʁ i̯ ɛ s p ʁ ɛ v ɛ n t iː f
karikatur	k a ʁ i k a t uː ɐ̯
karikaturartig	k a ʁ ɪ k a t uː ɐ̯ ʔ a ʁ t ɪ ç
karikaturist	k a ʁ i k a t u ʁ ɪ s t
karikaturisten	k a ʁ i k a t u ʁ ɪ s t n̩
karikaturistin	k a ʁ i k a t u ʁ ɪ s t ɪ n
karikaturistisch	k a ʁ i k a t u ʁ ɪ s t ɪ ʃ
karin	k aː ʁ iː n
kariogen	k a ʁ i̯ o ɡ eː n
karitativ	k a ʁ i t a t iː f
kariös	k a ʁ i̯ øː s
karl	k a r l
karlistisch	k a ʁ l ɪ s t ɪ ʃ
karlsbad	k a ʁ l s b aː t
karlsbader	k a ʁ l s b aː d ɐ
karlsbaders	k a ʁ l s b aː d ɐ s
karlsbads	k a ʁ l s b aː t s
karlshafener	k a ʁ l s h aː f n̩ ɐ
karlshafeners	k a ʁ l s h aː f n̩ ɐ s
karlshorst	k a ʁ l s h ɔ ʁ s t
karlsruhe	k a ɐ̯ l s ʁ uː ə
karlsruhes	k a ɐ̯ l s ʁ uː ə s
karlstadt	k a ʁ l ʃ t a t
karlstadts	k a ʁ l ʃ t a t s
karma	k a ɐ̯ m a
karminativ	k a ʁ m i n a t iː f
karmisch	k a ʁ m ɪ ʃ
karner	k a ʁ n ɐ
karneval	k a ʁ n ə v a l
karnickel	k a ʁ n ɪ k ə l
karnies	k a ʁ n iː s
karo	k aː ʁ o
karoacht	k aː ʁ o a x t
karoachten	k aː ʁ o a x t ə n
karoass	k aː ʁ o ʔ a s
karokönig	k aː ʁ o k øː n ɪ k
karokönige	k aː ʁ o k øː n ɪ ɡ ə
karoköniges	k aː ʁ o k øː n ɪ ɡ ə s
karokönigs	k aː ʁ o k øː n ɪ k s
karolinger	k aː ʁ o l ɪ ŋ ɐ
karolingisch	k aː ʁ o l ɪ ŋ ɪ ʃ
karoneun	k aː ʁ o n ɔ ʏ̯ n
karoneunen	k aː ʁ o n ɔ ʏ̯ n ə n
karosieben	k aː ʁ o z iː b m̩
karosiebenen	k aː ʁ o z iː b ə n ə n
karotte	k a r ɔ t ə
karottensaft	k a ʁ ɔ t n̩ z a f t
karottensalat	k a ʁ ɔ t ə n z a l aː t
karozehn	k aː ʁ o t͡s eː n
karozehnen	k aː ʁ o t͡s eː n ə n
karpaten	k a r p aː t ə n
karpatisch	k a ʁ p aː t ɪ ʃ
karpfen	k a r p f ə n
karpfenteich	k a ʁ p f n̩ t a ɪ̯ ç
karre	k a ʁ ə
karren	k a r ə n
karriere	k a r i̯ eː r ə
karriereende	k a ʁ i̯ eː ʁ ə ʔ ɛ n d ə
karrieregeil	k a r i̯ eː r ə ɡ a ɪ̯ l
karriol	k a r j oː l
karriole	k a r j oː l ə
karriolen	k a r j oː l ə n
karsamstag	k aː ʁ z a m s t a x
karst	k a ʁ s t
karsten	k a r s t ə n
karte	k a r t ə
kartei	k a ʁ t a ɪ̯
karteileiche	k a ʁ t a ɪ̯ l a ɪ̯ ç ə
kartell	k a ʁ t ɛ l
kartenspiel	k a ʁ t n̩ ʃ p iː l
kartesianismus	k a ʁ t e z i̯ a n ɪ s m ʊ s
karthago	k a ʁ t aː ɡ oː
kartoffelbrei	k a ʁ t ɔ f ə l b ʁ a ɪ̯
kartoffelchip	k a ʁ t ɔ f ə l t ʃ ɪ p
kartoffeldeutscher	k a ʁ t ɔ f l̩ d ɔ ɪ̯ t͡ʃ ɐ
kartoffelfresser	k a ʁ t ɔ f l̩ f ʁ ɛ s ɐ
kartoffelig	k a ʁ t ɔ f ə l ɪ k
kartoffelpuffer	k a ʁ t ɔ f l̩ p ʊ f ɐ
kartoffelpüree	k a ʁ t ɔ f l̩ p y ʁ eː
kartoffelsack	k a r t ɔ f l̩ z a k
kartoffelsalat	k a ʁ t ɔ f ə l z a l aː t
kartoffelschale	k a r t ɔ f l̩ ʃ aː l ə
kartoffelstampfer	k a ʁ t ɔ f l̩ ʃ t a m p f ɐ
kartoffelstock	k a ʁ t ɔ f l̩ ʃ t ɔ k
kartoffelsuppe	k a ʁ t ɔ f l̩ z ʊ p ə
kartograf	k a ʁ t o ɡ ʁ aː f
kartografin	k a ʁ t o ɡ ʁ aː f ɪ n
karton	k a r t oː n
kartonage	k a ʁ t o n aː ʒ ə
kartonieren	k a ʁ t ɔ n iː ʁ ə n
kartusche	k a ʁ t ʊ ʃ ə
kartätsche	k a r t ɛː t͡ʃ ə
kartöffelchen	k a ʁ t œ f ə l ç ə n
kartönchen	k a ʁ t œ ŋ ç ə n
karwatsche	k ä r v äː t͡ʃ ə
karwoche	k aː ɐ̯ v ɔ x ə
karyokinese	k a ʁ y o k i n eː z ə
karyokinesen	k a ʁ y o k i n eː z ə n
karyopse	k a ʁ y̆ ɔ p s ə
karyotyp	k a ʁ y o t yː p
karzer	k a ʁ t͡s ɐ
kas	k aː s
kasachin	k a z a χ ɪ n
kasachisch	k a z a χ ɪ ʃ
kaschmir	k a ʃ m i ɐ̯
kaschmirtal	k a ʃ m iː ɐ̯ t aː l
kaserne	k a z ɛ ɐ̯ n ə
kasernieren	k a z ɛ ʁ n iː ʁ ə n
kashmiri	k a ʃ m iː ʁ i
kasimir	k aː z i m i ɐ̯
kasino	k a z iː n o
kasperl	k a s p ɐ l
kasperltheater	k a s p ɐ l t e aː t ɐ
kaspischen	k a s p ɪ ʃ n̩
kassabon	k a s a b̥ oː n
kassazettel	k a s a t͡s ɛ t l̩
kassel	k a s ə l
kasseler	k a s ə l ɐ
kasselers	k a s ə l ɐ s
kassels	k a s ə l s
kassenbeleg	k a s n̩ b ə l eː k
kassenbuch	k a s n̩ b uː x
kassenschlager	k a s n̩ ʃ l aː ɡ ɐ
kassenwart	k a s ə n v a ʁ t
kasserolle	k a s ə ʁ ɔ l ə
kassiber	k a s iː b ɐ
kassieren	k a s iː ʁ ə n
kassierer	k a s iː ʁ ɐ
kast	k a s t
kastanie	k a s t aː n i̯ ə
kastanienbaum	k a s t aː n i̯ ə n b a ʊ̯ m
kastanienbraun	k a s t aː n i̯ ə n b ʁ a ʊ̯ n
kastanienfarbig	k a s t aː n i̯ ə n f a ʁ b ɪ ç
kastanienholz	k a s t aː n i̯ ə n h ɔ l t͜s
kaste	k a s t ə
kasteien	k a s t a ɪ̯ ə n
kastell	k a s t ɛ l
kasten	k a s t n̩
kastenförmig	k a s t n̩ f œ ʁ m ɪ ç
kasterl	k a s t ɐ l
kastrat	k a s t ʁ aː t
kastration	k a s t ʁ a t͡s i̯ oː n
kastrationskomplex	k a s t ʁ a t͡s i̯ oː n s k ɔ m p l ɛ k s
kastrationsängste	k a s t ʁ a t͡s i̯ oː n s ɛ ŋ s t ə
kastrationsängsten	k a s t ʁ a t͡s i̯ oː n s ɛ ŋ s t n̩
kastrieren	k a s t ʁ iː ʁ ə n
kasuar	k a z u̯ aː ɐ̯
kasuare	k a z u̯ aː ʁ ə
kasuars	k a z u̯ aː ʁ s
kasuistik	k a z u ɪ s t ɪ k
kasuistisch	k a z u̯ ɪ s t ɪ ʃ
kasus	k aː z uː s
kaszettel	k aː s t͡s ɛ t l̩
katafalk	k a t a f a l k
katakana	k a t a k aː n a
katakombe	k a t a k ɔ m b ə
katalane	k a t a l aː n ə
katalepsie	k a t a l ɛ p s iː
katalogisieren	k a t a l o ɡ i z iː ʁ ə n
katalonien	k a t a l oː n i̯ ə n
katalysator	k a t a l y z aː t o ɐ̯
katalysatoraktivität	k a t a l y z aː t oː ɐ̯ ʔ a k t i v i t ɛː t
katalyse	k a t a l yː z ə
katalysieren	k a t a l y z iː ʁ ə n
katalytisch	k a t a l yː t ɪ ʃ
katapultieren	k a t a p ʊ l t iː ʁ ə n
katar	k a t aː ɐ̯
katarer	k a t aː r ə r
katarisch	k a t aː ʁ ɪ ʃ
katastrophal	k a t a s t ʁ o f aː l
katatonie	k a t a t o n iː
katatonisch	k a t a t oː n ɪ ʃ
kate	k aː t ə
katechese	k a t ɛ ç eː z ə
kategorisch	k a t e ɡ oː ʁ ɪ ʃ
katenativ	k a t e n a t iː f
katerfrühstück	k aː t ə r f r yː ʃ t ʏ k
katers	k aː t ɐ s
katerstimmung	k aː t ɐ ʃ t ɪ m ʊ ŋ
katharinenpflaume	k a t a r iː n ə n p͡f l a ʊ̯ m ə
katharisch	k a t aː ʁ ɪ ʃ
katharsis	k a t a ʁ z ɪ s
katheder	k a t eː d ə r
katheter	k a t eː t ɐ
kathodenstrahl	k a t oː d n̩ ʃ t ʁ aː l
kathole	k a t oː l ə
katholik	k a t o l iː k
kattunen	k a t uː n ə n
katzelmacher	k a t͡s l̩ m a x ɐ
katzenartig	k a t͡s n̩ ʔ aː ɐ̯ t ɪ k
katzenartiger	k a t͡s n̩ ʔ aː ɐ̯ t ɪ ɡ ɐ
katzenauge	k a t͡s n̩ ʔ a ʊ̯ ɡ ə
katzenelnbogen	k a t͡s n̩ ʔ ɛ l n b oː ɡ n̩
katzenfreund	k a t͡s n̩ f ʁ ɔ ɪ̯ n t
katzenfreundlich	k a t s ə n f ʁ ɔ ʏ̯ n t l ɪ ç
katzenfutter	k a t͡s ə n f ʊ t ə r
katzengold	k a t͡s n̩ ɡ ɔ l t
katzenhaie	k a t͡s ə n h a ɪ̯ ə
katzenhaies	k a t͡s ə n h a ɪ̯ ə s
katzenhais	k a t͡s ə n h a ɪ̯ s
katzenhalter	k a t͡s n̩ h a l t ɐ
katzenrasse	k a t͡s n̩ ʁ a s ə
katzensprung	k a t͡s n̩ ʃ p ʁ ʊ ŋ
katzentisch	k a t͡s n̩ t ɪ ʃ
katzentür	k a t s ə n t yː ɐ̯
kaudal	k a ʊ̯ d aː l
kaudinisch	k a ʊ̯ d iː n ɪ ʃ
kauen	k a ʊ̯ ə n
kauern	k a ʊ̯ ɐ n
kauf	k a ʊ̯ f
kaufbeuren	k a ʊ̯ f b ɔ ɪ̯ ʁ ə n
kaufen	k a ʊ̯ f n̩
kaufens	k a ʊ̯ f n̩ s
kaufhäuser	k a ʊ̯ f h ɔ ɪ̯ z ɐ
kaufkräftig	k a ʊ̯ f k ʁ ɛ f t ɪ k
kaufmann	k a ʊ̯ f m a n
kaufmannssprache	k a ʊ̯ f m a n s ʃ p ʁ aː x ə
kaufpreissammlung	k a ʊ̯ f p ʁ a ɪ̯ s z a m l ʊ ŋ
kaufsorder	k a ʊ̯ f s ʔ ɔ ʁ d ɐ
kaufsucht	k a ʊ̯ f z ʊ x t
kaufsüchtig	k a ʊ̯ f z ʏ ç t ɪ ç
kaufweise	k a ʊ̯ f v a ɪ̯ z ə
kaugummi	k a ʊ̯ ɡ ʊ m i
kaukasisch	k a ʊ̯ k aː z ɪ ʃ
kaule	k a ʊ̯ l ə
kaulquappe	k a u l k v a p ə
kaum	k a ʊ̯ m
kauri	k a ʊ̯ ʁ i
kausalität	k a ʊ̯ z a l i t ɛː t
kausalsatz	k a ʊ̯ z aː l z a t͡s
kausch	k a ʊ̯ ʃ
kautelarjuristisch	k a ʊ t e l aː ɐ̯ j u ʁ ɪ s t ɪ ʃ
kaution	k a ʊ̯ t͡s i̯ oː n
kautschuk	k a ʊ̯ t͡ʃ ʊ k
kauz	k a ʊ̯ t͡s
kauzig	k a ʊ̯ t͡s ɪ k
kavalier	k a v a l iː ɐ̯
kavaliersdelikt	k a v a l iː ɐ̯ s d e l ɪ k t
kaventsmann	k a v ɛ n t͡s m a n
kaviarlöffel	k aː v i̯ a ʁ l œ f l̩
