'ch	χ
gaches	ɡ a χ ɛ s
gad	ɡ aː d
gadael	ɡ a d a i̯ l
gadair	ɡ a d a i̯ r
gadarn	ɡ a d a r n
gadawed	ɡ a d a u̯ ɛ d
gadawodd	ɡ a d a u̯ ɔ ð
gadd	ɡ aː ð
gadeiriau	ɡ a d e i̯ r j a i̯
gadeirio	ɡ a d e ɪ̯ r j ɔ
gadoliniwm	ɡ a d ɔ l ɪ n j ʊ m
gae	ɡ a i̯
gaeaf	ɡ e i̯ a
gaeafa	ɡ e i̯ a v a
gaeafgwsg	ɡ e i̯ a v ɡ ʊ s ɡ
gaeafgysgu	ɡ e i̯ a v ɡ ə s ɡ i
gaeafu	ɡ e i̯ a v i
gaed	ɡ a i̯ d
gael	ɡ a i̯ l
gaeredin	ɡ a i̯ r eː d ɪ n
gaerfyrddin	ɡ e i̯ r f ə r ð ɪ n
gaeth	ɡ a i̯ θ
gaethoch	ɡ e i̯ θ ɔ χ
gaethon	ɡ e i̯ θ ɔ n
gaf	ɡ aː v
gafael	ɡ a v a i̯ l
gafas	ɡ a v a s
gaffai	ɡ a f a i̯
gaffed	ɡ a f ɛ d
gaffel	ɡ a f ɛ l
gaffent	ɡ a f ɛ n t
gaffer	ɡ a f ɛ r
gaffi	ɡ a f i
gafl	ɡ a v a l
gafodd	ɡ a v ɔ ð
gafr	ɡ a v a r
gafrewig	ɡ a v r ɛ w ɪ ɡ
gain	ɡ a i̯ n
gaing	ɡ a i̯ ŋ
gaint	ɡ a i̯ n t
gair	ɡ a i̯ r
gais	ɡ a i̯ s
gait	ɡ a i̯ t
gal	ɡ a l
gala	ɡ a l a
galan	ɡ a l a n
galanas	ɡ a l a n a s
galanastra	ɡ a l a n a s d r a
galar	ɡ a l a r
galargan	ɡ a l a r ɡ a n
galargerdd	ɡ a l a r ɡ ɛ r ð
galarnad	ɡ a l a r n a d
galaru	ɡ a l a r i
galed	ɡ a l ɛ d
galedu	ɡ a l eː d i
galenigion	ɡ a l ɛ n ɪ ɡ j ɔ n
galennig	ɡ a l ɛ n ɪ ɡ
galeted	ɡ a l ɛ t ɛ d
galfanaidd	ɡ a l v a n a i̯ ð
galfanig	ɡ a l v a n ɪ ɡ
gali	ɡ a l i
galiwm	ɡ a l j ʊ m
gall	ɡ a ɬ
galla	ɡ a ɬ a
gallaf	ɡ a ɬ a v
gallai	ɡ a ɬ a i̯
gallan	ɡ a ɬ a n
gallant	ɡ a ɬ a n t
gallasen	ɡ a ɬ a s ɛ n
galled	ɡ a ɬ ɛ d
gallem	ɡ a ɬ ɛ m
gallen	ɡ a ɬ ɛ n
gallent	ɡ a ɬ ɛ n t
galler	ɡ a ɬ ɛ r
galli	ɡ a ɬ i
gallio	ɡ a ɬ j ɔ
gallo	ɡ a ɬ ɔ
gallsen	ɡ a ɬ s ɛ n
gallu	ɡ a ɬ i
galluog	ɡ a ɬ i ɔ ɡ
galluogi	ɡ a ɬ i oː ɡ i
galon	ɡ a l ɔ n
galw	ɡ a l u
galwad	ɡ a l w a d
galwedigaeth	ɡ a l w ɛ d iː ɡ a i̯ θ
galwedigaethau	ɡ a l w ɛ d ɪ ɡ e i̯ θ a i̯
galwedigaethol	ɡ a l w ɛ d ɪ ɡ e i̯ θ ɔ l
galwes	ɡ a l w ɛ s
galwiff	ɡ a l w ɪ f
galwo	ɡ a l w ɔ
galwyn	ɡ a l ʊ i̯ n
gambodia	ɡ a m b ɔ d j a
gambodiad	ɡ a m b ɔ d j a d
gambodiaid	ɡ a m b ɔ d j a i̯ d
gambodiaidd	ɡ a m b ɔ d j a i̯ ð
gamdreiglo	ɡ a m d r e i̯ ɡ l ɔ
gamerŵn	ɡ a m ɛ r uː n
gamlas	ɡ a m l a s
gampfa	ɡ a m p v a
gan	ɡ a n
gana	ɡ a n a
ganada	ɡ a n a d a
ganadaidd	ɡ a n a d a i̯ ð
ganadiad	ɡ a n a d j a d
ganadiaid	ɡ a n a d j a i̯ d
ganai	ɡ a n a i̯
ganddi	ɡ a n ð i
ganddo	ɡ a n ð ɔ
ganddoch	ɡ a n ð ɔ χ
ganddon	ɡ a n ð ɔ n
ganddyn	ɡ a n ð ɪ n
ganddynt	ɡ a n ð ɪ n t
ganen	ɡ a n ɛ n
ganer	ɡ a n ɛ r
ganes	ɡ a n ɛ s
ganfod	ɡ a n v ɔ d
ganfyddadwy	ɡ a n v ə ð a d ʊ i̯
gangen	ɡ a ŋ ɛ n
ganghennog	ɡ a ŋ h ɛ n ɔ ɡ
gani	ɡ a n i
ganit	ɡ a n ɪ t
ganlyniad	ɡ a n l ə n j a d
ganlyniadau	ɡ a n l ə n j a d a i̯
gano	ɡ a n ɔ
ganol	ɡ a n ɔ l
ganolbarth	ɡ a n ɔ l b a r θ
ganolbarthau	ɡ a n ɔ l b a r θ a i̯
ganolradd	ɡ a n ɔ l r a ð
gansai	ɡ a n s a i̯
gantorion	ɡ a n t ɔ r j ɔ n
ganu	ɡ a n i
ganwr	ɡ a n ʊ r
ganwyr	ɡ a n ʊ i̯ r
gapel	ɡ a p ɛ l
gar	ɡ a r
gara	ɡ a r a
garafán	ɡ a r a v a n
garai	ɡ a r a i̯
garais	ɡ a r a i̯ s
garan	ɡ a r a n
garanod	ɡ a r a n ɔ d
garant	ɡ a r a n t
garawys	ɡ a r a u i̯ s
garbon	ɡ a r b ɔ n
garchar	ɡ a r χ a r
garcharu	ɡ a r χ a r i
gardd	ɡ a r ð
garddio	ɡ a r ð j ɔ
garddu	ɡ a r ð i
garddwr	ɡ a r ð ʊ r
gardinal	ɡ a r d ɪ n a l
gardinaliaid	ɡ a r d ɪ n a l j a i̯ d
garedig	ɡ a r eː d ɪ ɡ
garej	ɡ a r ɛ d ʒ
garejys	ɡ a r ɛ d͡ʒ ɪ z
garem	ɡ a r ɛ m
garen	ɡ a r ɛ n
garent	ɡ a r ɛ n t
garer	ɡ a r ɛ r
gares	ɡ a r ɛ s
garest	ɡ a r ɛ s t
garet	ɡ a r ɛ t
gari	ɡ a r i
gariad	ɡ a r j a d
garit	ɡ a r ɪ t
garlleg	ɡ a r ɬ ɛ ɡ
garmon	ɡ a r m ɔ n
garnau	ɡ a r n a i̯
garo	ɡ a r ɔ
garreg	ɡ a r ɛ ɡ
garth	ɡ a r θ
garthen	ɡ a r θ ɛ n
gartre	ɡ a r t r ɛ
gartref	ɡ a r t r ɛ
garu	ɡ a r i
garw	ɡ a r u
garwhau	ɡ a r w h a i̯
garwr	ɡ a r ʊ r
gas	ɡ aː s
gasglu	ɡ a s ɡ l i
gast	ɡ a s d
gastell	ɡ a s d ɛ ɬ
gastrig	ɡ a s t r ɪ ɡ
gath	ɡ aː θ
gathod	ɡ a θ ɔ d
gatholig	ɡ a θ oː l ɪ ɡ
gato	ɡ a t ɔ
gaul	ɡ a i̯ l
gawl	ɡ a u̯ l
gawn	ɡ a u̯ n
gawod	ɡ a u̯ ɔ d
gaws	ɡ a u̯ s
gedy	ɡ eː d i
gefail	ɡ eː v a i̯ l
gefeilles	ɡ ɛ v e i̯ ɬ ɛ s
gefel	ɡ eː v ɛ l
gefell	ɡ eː v ɛ ɬ
geffyl	ɡ ɛ f ɪ l
gefn	ɡ eː v ɛ n
gefnau	ɡ ɛ v n a i̯
gefnfor	ɡ eː v ɛ n v ɔ r
gefnogi	ɡ ɛ v n ɔ ɡ i
gegin	ɡ eː ɡ ɪ n
gei	ɡ e i̯
geidwadol	ɡ e i̯ d w a d ɔ l
geifr	ɡ e i̯ v r
geilw	ɡ e i̯ l u
geilwad	ɡ e i̯ l w a d
geingio	ɡ e i̯ ŋ j ɔ
geir	ɡ e i̯ r
geirda	ɡ e i̯ r d a
geirfa	ɡ e i̯ r v a
geiriadur	ɡ e i̯ r j a d ɪ r
geiriadurwr	ɡ e i̯ r j a d iː r ʊ r
geiriadurwyr	ɡ e i̯ r j a d ɪ r w ɪ r
geirian	ɡ e i̯ r j a n
geiriau	ɡ e i̯ r j a i̯
geiriog	ɡ e i̯ r j ɔ ɡ
geiriogrwydd	ɡ e i̯ r j ɔ ɡ r ʊ i̯ ð
geisio	ɡ e i̯ s j ɔ
geisiodd	ɡ e i̯ s j ɔ ð
geith	ɡ e i̯ θ
gelai	ɡ eː l a i̯
gelen	ɡ eː l ɛ n
gelet	ɡ eː l ɛ t
gell	ɡ ɛ ɬ
gellgi	ɡ ɛ ɬ ɡ iː
gellgwn	ɡ ɛ ɬ ɡ uː n
gelli	ɡ ɛ ɬ i
gellid	ɡ ɛ ɬ i d
gellir	ɡ ɛ ɬ i r
gellyg	ɡ ɛ ɬ ɪ ɡ
gellygen	ɡ ɛ ɬ ə ɡ ɛ n
gelyn	ɡ eː l ɪ n
gelynion	ɡ ɛ l ə n j ɔ n
gemau	ɡ eː m a i̯
gemeg	ɡ ɛ m ɛ ɡ
gemog	ɡ ɛ m ɔ ɡ
gemwaith	ɡ ɛ m w a i̯ θ
gen	ɡ ɛ n
genau	ɡ eː n a i̯
genedigaeth	ɡ ɛ n ɛ d iː ɡ a i̯ θ
genedigaethau	ɡ ɛ n ɛ d ɪ ɡ e i̯ θ a i̯
genedlaethol	ɡ ɛ n ɛ d l e i̯ θ ɔ l
genesis	ɡ ɛ n ɛ s ɪ s
geneth	ɡ eː n ɛ θ
genethig	ɡ ɛ n eː θ ɪ ɡ
genfa	ɡ ɛ n v a
genhinen	ɡ ɛ n h iː n ɛ n
geni	ɡ eː n i
genidol	ɡ ɛ n iː d ɔ l
gennod	ɡ ɛ n ɔ d
gennych	ɡ ɛ n ɪ χ
gennyf	ɡ ɛ n ɪ v
gennym	ɡ ɛ n ɪ m
gennyn	ɡ ɛ n ɪ n
gennyt	ɡ ɛ n ɪ t
genwair	ɡ ɛ n w a i̯ r
genweiriau	ɡ ɛ n w e i̯ r j a i̯
genws	ɡ eː n ʊ s
genyn	ɡ eː n ɪ n
genynnol	ɡ ɛ n ə n ɔ l
ger	ɡ ɛ r
gerais	ɡ eː r a i̯ s
gerbron	ɡ ɛ r b r ɔ n
gerdded	ɡ ɛ r ð ɛ d
gerddi	ɡ ɛ r ð i
gerddoriaeth	ɡ ɛ r ð ɔ r j a i̯ θ
gerflun	ɡ ɛ r v l ɪ n
geri	ɡ eː r ɪ
gerir	ɡ eː r ɪ r
gerllaw	ɡ ɛ r ɬ a u̯
germaniwm	ɡ ɛ r m a n j ʊ m
gerrig	ɡ ɛ r ɪ ɡ
ges	ɡ eː s
gest	ɡ ɛ s t
gestyll	ɡ ɛ s d ɪ ɬ
gesyd	ɡ ɛ s ɪ d
geuberllys	ɡ e i̯ b ɛ r ɬ ɪ s
geudeb	ɡ e i̯ d ɛ b
geudy	ɡ e i̯ d i
gewai	ɡ ɛ u̯ a i̯
ghana	ɡ a n a
gildio	ɡ ɪ l d j ɔ
gilydd	ɡ iː l ɪ ð
gimbill	ɡ ɪ m b ɪ ɬ
gin	ɡ ɪ n
gini	ɡ ɪ n i
ginio	ɡ ɪ n j ɔ
gist	ɡ ɪ s d
giw	ɡ ɪ u̯
giwba	ɡ ɪ u̯ b a
giât	ɡ j aː t
gladdu	ɡ l a ð i
glain	ɡ l a i̯ n
glais	ɡ l a i̯ s
glamoraidd	ɡ l a m ɔ r a i̯ ð
glan	ɡ l a n
glanach	ɡ l a n a χ
glanaf	ɡ l a n a
glander	ɡ l a n d ɛ r
glaned	ɡ l a n ɛ d
glanfa	ɡ l a n v a
glanhau	ɡ l a n h a i̯
glanio	ɡ l a n j ɔ
glanweithder	ɡ l a n w e i̯ θ d ɛ r
glas	ɡ l aː s
glasach	ɡ l a s a χ
glasaf	ɡ l a s a v
glased	ɡ l a s ɛ d
glasglwyf	ɡ l a s ɡ l u i̯ v
glasgoch	ɡ l a s ɡ ɔ χ
glasiaid	ɡ l a s j a d
glaslanc	ɡ l a s l a ŋ k
glasog	ɡ l a s ɔ ɡ
glasrew	ɡ l a s r ɛ u̯
glastwr	ɡ l a s d ʊ r
glastwraidd	ɡ l a s d uː r a i̯ ð
glastwreiddio	ɡ l a s t ʊ r e i̞ ð j ɔ
glastwrllyd	ɡ l a s d ʊ r ɬ ɪ d
glasu	ɡ l a s i
glaswellt	ɡ l a s w ɛ ɬ d
glaswst	ɡ l a s ʊ s d
glaswyn	ɡ l a s w ɪ n
glasys	ɡ l a s ɪ s
glaw	ɡ l a u̯
glawio	ɡ l a u̯ j ɔ
glawog	ɡ l a u̯ ɔ ɡ
glefyd	ɡ l eː v ɪ d
gleifion	ɡ l e i̯ v j ɔ n
gleiniau	ɡ l e i̯ n j a i̯
gleiniog	ɡ l e i̯ n j ɔ ɡ
gleisiad	ɡ l e i̯ s j a d
gleision	ɡ l e i̯ s j ɔ n
glendid	ɡ l ɛ n d ɪ d
glesni	ɡ l ɛ s n i
gleuad	ɡ l e i̯ a d
glew	ɡ l eː u̯
glewder	ɡ l ɛ u̯ d ɛ r
glin	ɡ l iː n
glo	ɡ l oː
gloan	ɡ l oː a n
gloch	ɡ l oː χ
gloes	ɡ l oː s
gloi	ɡ l ɔ i̯
glosen	ɡ l ɔ s ɛ n
gloset	ɡ l ɔ s ɛ t
gloyw	ɡ l ɔ i̯ u
gloywder	ɡ l ɔ i̯ u d e r
gloywedd	ɡ l ɔ i̯ w ɛ ð
gloywi	ɡ l ɔ i̯ w i
glud	ɡ l iː d
gludiad	ɡ l ɪ d j a d
gludio	ɡ l ɪ d j ɔ
gludiog	ɡ l ɪ d j ɔ ɡ
glust	ɡ l ɪ s t
glustdlws	ɡ l ɪ s d l ʊ s
glwb	ɡ l ʊ b
glwten	ɡ l uː t ɛ n
glwth	ɡ l uː θ
glwyfo	ɡ l ʊ i̯ v ɔ
glybiau	ɡ l ə b j a i̯
glyfar	ɡ l ə v a r
glyn	ɡ l ɪ n
glynebwy	ɡ l ɪ n ɛ b u i̯
glynol	ɡ l ə n ɔ l
glynu	ɡ l ə n i
glyserig	ɡ l ɪ s eː r ɪ ɡ
glythineb	ɡ l ə θ iː n ɛ b
glyw	ɡ l ɪ u̯
glywaist	ɡ l ə u̯ a i̯ s t
glywed	ɡ l ə u̯ ɛ d
glàs	ɡ l a s
glân	ɡ l aː n
glêr	ɡ l eː r
glöyn	ɡ l oː ɪ n
glŷn	ɡ l iː n
gna	ɡ n aː
gnau	ɡ n a i̯
gnawn	ɡ n a u̯ n
gne	ɡ n e
gnei	ɡ n e i̯
gneuen	ɡ n e i̯ ɛ n
gnoi	ɡ n ɔ i̯
gnwd	ɡ n uː d
go	ɡ oː
gobaith	ɡ oː b a i θ
gobeithio	ɡ ɔ b e i̯ θ j ɔ
gobeithiol	ɡ ɔ b e i̯ θ j ɔ l
gobennydd	ɡ ɔ b ɛ n ɪ ð
goblygu	ɡ ɔ b l ə ɡ i
gobr	ɡ ɔ b r
goch	ɡ oː χ
gochel	ɡ oː χ ɛ l
gochelgarwch	ɡ ɔ χ ɛ l ɡ a r ʊ χ
gochelrwydd	ɡ ɔ χ ɛ l r ʊ i̯ ð
gochlas	ɡ ɔ χ l a s
godais	ɡ oː d a i̯ s
godaist	ɡ oː d a i̯ s d
goddaith	ɡ ɔ ð a i̯ θ
goddef	ɡ oː ð ɛ
goddrych	ɡ ɔ ð r ɪ χ
goddrychol	ɡ ɔ ð r ə χ ɔ l
godi	ɡ oː d i
godinebus	ɡ ɔ d ɪ n eː b ɪ s
godoch	ɡ oː d ɔ χ
gododd	ɡ oː d ɔ ð
godon	ɡ oː d ɔ n
godre	ɡ ɔ d r ɛ
godro	ɡ ɔ d r ɔ
gody	ɡ oː d i
goed	ɡ oː d
goeg	ɡ ɔ i̯ ɡ
goer	ɡ ɔ i̯ r
goes	ɡ oː s
gof	ɡ oː v
gofal	ɡ oː v a l
gofalgar	ɡ ɔ v a l ɡ a r
gofalus	ɡ ɔ v a l ɪ s
gofetel	ɡ ɔ v ɛ t ɛ l
gofid	ɡ oː v ɪ d
gofio	ɡ ɔ v j ɔ
goflew	ɡ ɔ v l ɛ u̯
gofod	ɡ oː v ɔ d
gofodoldeb	ɡ ɔ v ɔ d ɔ l d ɛ b
gofodwr	ɡ ɔ v oː d ʊ r
gofyn	ɡ oː v ɪ n
gofyniad	ɡ ɔ v ə n j a d
gofynnod	ɡ ɔ v ə n ɔ d
gofynnol	ɡ ɔ v ə n ɔ l
gog	ɡ ɔ ɡ
gogan	ɡ oː ɡ a n
goganllyd	ɡ ɔ ɡ a n ɬ ɪ d
goganu	ɡ ɔ ɡ a n i
goganus	ɡ ɔ ɡ a n ɪ s
goginiais	ɡ ɔ ɡ ɪ n j a i̯ s
goginiaist	ɡ ɔ ɡ ɪ n j a i̯ s d
goginio	ɡ ɔ ɡ ɪ n j ɔ
goginioch	ɡ ɔ ɡ ɪ n j ɔ χ
goginiodd	ɡ ɔ ɡ ɪ n j ɔ ð
goginion	ɡ ɔ ɡ ɪ n j ɔ n
goglais	ɡ ɔ ɡ l a i̯ s
gogledd	ɡ ɔ ɡ l ɛ ð
gogleddol	ɡ ɔ ɡ l eː ð ɔ l
gogleisio	ɡ ɔ ɡ l e i̯ s j ɔ
gogor	ɡ oː ɡ ɔ r
gogr	ɡ oː ɡ ɔ r
gogru	ɡ ɔ ɡ r i
gogryn	ɡ ɔ ɡ r ɪ n
gogrynu	ɡ ɔ ɡ r ə n i
gogs	ɡ ɔ ɡ z
gogwyddo	ɡ ɔ ɡ w ɪ ð ɔ
gogyddesau	ɡ ɔ ɡ ə ð ɛ s a i̯
gohebiaeth	ɡ ɔ h ɛ b j a i̯ θ
gohirio	ɡ ɔ h ɪ r j ɔ
golau	ɡ oː l a i̯
golchanaidd	ɡ ɔ l χ a n a i̯ ð
golchi	ɡ ɔ l χ i
goleddf	ɡ oː l ɛ ð v
goleddfu	ɡ ɔ l ɛ ð v i
goleuad	ɡ ɔ l e i̯ a d
goleuadau	ɡ ɔ l e i̯ a d a i̯
goleudai	ɡ ɔ l e i̯ d a i̯
goleudy	ɡ ɔ l e i̯ d i
goleuedig	ɡ ɔ l e i̯ eː d ɪ ɡ
goleuedigaeth	ə r ɔ l e i̯ ɛ d ɪ ɡ a i̯ θ
goleuedigrwydd	ɡ ɔ l e i̯ ɛ d ɪ ɡ r ʊ i̯ ð
goleuni	ɡ ɔ l e i̯ n i
goleuo	ɡ ɔ l e i̯ ɔ
golfan	ɡ ɔ l v a n
golfanaidd	ɡ ɔ l v a n a i̯ ð
golfanod	ɡ ɔ l v a n ɔ d
golff	ɡ ɔ l f
goll	ɡ oː ɬ
golli	ɡ ɔ ɬ i
golombia	ɡ ɔ l ɔ m b j a
golomen	ɡ ɔ l ɔ m ɛ n
golosg	ɡ oː l ɔ s ɡ
goludog	ɡ ɔ l iː d ɔ ɡ
golwg	ɡ oː l ʊ ɡ
golwr	ɡ oː l ʊ r
golygfa	ɡ ɔ l ə ɡ v a
golygfeydd	ɡ ɔ l ə ɡ v e i̯ ð
golygu	ɡ ɔ l ə ɡ i
golygus	ɡ ɔ l ə ɡ ɪ s
gomiwnyddol	ɡ ɔ m j ʊ n ə ð ɔ l
gonest	ɡ oː n ɛ s d
gooer	ɡ oː ɔ i̯ r
gor	ɡ ɔ r
gorasgellu	ɡ ɔ r a s ɡ ɛ ɬ i
gorau	ɡ oː r a i̯
gorbryder	ɡ ɔ r b r ə d ɛ r
gorchaifn	ɡ ɔ r χ a i̯ v n
gorchaw	ɡ ɔ r χ a u̯
gorchfygiad	ɡ ɔ r χ v ə ɡ j a d
gorchfygol	ɡ ɔ r χ v ə ɡ ɔ l
gorchfygu	ɡ ɔ r χ v ə ɡ i
gorchfygwr	ɡ ɔ r χ v ə ɡ ʊ r
gorchmynnol	ɡ ɔ r χ m ə n ɔ l
gorchuddio	ɡ ɔ r χ ɪ ð j ɔ
gorchymyn	ɡ ɔ r χ ə m ɪ n
gordd	ɡ ɔ r ð
gordderch	ɡ ɔ r ð ɛ r χ
gordderchadon	ɡ ɔ r ð ɛ r χ a d ɔ n
gorddirlawn	ɡ ɔ r ð ɪ r l a u̯ n
gorddirlawnder	ɡ ɔ r ð ɪ r l a u̯ n d ɛ r
gordew	ɡ ɔ r d ɛ u̯
gordewdra	ɡ ɔ r d ɛ u̯ d r a
gordreiglo	ɡ ɔ r d r e i̯ ɡ l ɔ
gordrwythedig	ɡ ɔ r d r ʊ i̯ θ eː d ɪ ɡ
gordrwythiad	ɡ ɔ r d r ʊ i̯ θ j a d
gorea	ɡ ɔ r eː a
goreiriog	ɡ ɔ r e i̯ r j ɔ ɡ
gorfaith	ɡ ɔ r v a i̯ θ
gorfanadl	ɡ ɔ r v a n a d l
gorff	ɡ ɔ r f
gorffen	ɡ ɔ r f ɛ n
gorffennaf	ɡ ɔ r f ɛ n a
gorffennol	ɡ ɔ r f ɛ n ɔ l
gorffwyll	ɡ ɔ r f ʊ i̯ ɬ
gorffwylledd	ɡ ɔ r f ʊ i̯ ɬ ɛ ð
gorffwylltra	ɡ ɔ r f ʊ i̯ ɬ d r a
gorflin	ɡ ɔ r l ɪ n
gorflinder	ɡ ɔ r v l ɪ n d ɛ r
gorflino	ɡ ɔ r v l iː n ɔ
gorfod	ɡ ɔ f ɔ
gorfodaeth	ɡ ɔ r v oː d a i̯ θ
gorfodog	ɡ ɔ r v oː d ɔ ɡ
gorfodol	ɡ ɔ r v oː d ɔ l
gorfodtref	ɡ ɔ r v ɔ t r ɛ v
gorfotref	ɡ ɔ r v ɔ t r ɛ v
gorfywiog	ɡ ɔ r v ɪ u̯ j ɔ ɡ
gorgyffwrdd	ɡ ɔ r ɡ ə f ʊ r ð
gorgyhyrog	ɡ ɔ r ɡ ə h ə r ɔ ɡ
gorgynildeb	ɡ ɔ r ɡ ə n ɪ l d ɛ b
goriad	ɡ ɔ r j a d
gorlifaf	ɡ ɔ r l iː v a v
gorlifo	ɡ ɔ r l iː v ɔ
gorllewin	ɡ ɔ r ɬ ɛ u̯ ɪ n
gorllewinol	ɡ ɔ r ɬ ɛ u̯ iː n ɔ l
gormes	ɡ ɔ r m ɛ s
gormod	ɡ ɔ r m ɔ d
gormodiaith	ɡ ɔ r m ɔ d j a i̯ θ
gorn	ɡ ɔ r n
gornest	ɡ ɔ r n ɛ s d
gornestau	ɡ ɔ r n ɛ s d a i̯
gornestu	ɡ ɔ r n ɛ s d i
gornestwr	ɡ ɔ r n ɛ s d ʊ r
gornestwyr	ɡ ɔ r n ɛ s d w ɪ r
goroer	ɡ ɔ r ɔ i̯ r
goronafeirws	ɡ ɔ r oː n a v e i̯ r ʊ s
goror	ɡ oː r ɔ r
gorsaf	ɡ ɔ r s a v
gorsedd	ɡ ɔ r s ɛ ð
gorseddau	ɡ ɔ r s eː ð a i̯
gorthaw	ɡ ɔ r θ a u̯
gortho	ɡ ɔ r θ ɔ
gorthrymder	ɡ ɔ r θ r ə m d ɛ r
gorwedd	ɡ ɔ r w ɛ ð
gorweiddiog	ɡ ɔ r w e i̯ ð j ɔ ɡ
gorwel	ɡ ɔ r w ɛ l
gorwydd	ɡ oː r ʊ i̯ ð
gorymdaith	ɡ ɔ r ə m d a i̯ θ
gorymddaith	ɡ ɔ r ə m ð a i̯ θ
gorymdeithio	ɡ ɔ r ə m d e i̯ θ j ɔ
goryrru	ɡ ɔ r ə r i
gosber	ɡ ɔ s b ɛ r
gosgeiddig	ɡ ɔ s ɡ e i̯ ð ɪ ɡ
gosod	ɡ ɔ s ɔ d
gosodedig	ɡ ɔ s ɔ d eː d ɪ ɡ
gosodiad	ɡ ɔ s oː d j a d
gosodol	ɡ ɔ s oː d ɔ l
gosodwr	ɡ ɔ s oː d ʊ r
gosteg	ɡ ɔ s d ɛ ɡ
gostwng	ɡ ɔ s d ʊ ŋ
gostyngaidd	ɡ ɔ s d ə ŋ a i̯ ð
gosyn	ɡ ɔ s ɪ n
got	ɡ ɔ t
gowboi	ɡ o u̯ b ɔ i̯
gowbois	ɡ o u̯ b ɔ i̯ z
grac	ɡ r a k
gradd	ɡ r aː ð
graddiad	ɡ r a ð j a d
graddio	ɡ r a ð j ɔ
graddol	ɡ r a ð ɔ l
graddoldeb	ɡ r a ð ɔ l d ɛ b
graddolder	ɡ r a ð ɔ l d ɛ r
graddoliad	ɡ r a ð ɔ l j a d
gradell	ɡ r a d ɛ ɬ
graean	ɡ r e i̯ a n
graeanu	ɡ r e ɨ̯ a n i
graenus	ɡ r e ɨ̯ n ɪ s
graff	ɡ r a f
gramadeg	ɡ r a m a d ɛ ɡ
gran	ɡ r a n
graslon	ɡ r a s l ɔ n
grasol	ɡ r a s ɔ l
grasus	ɡ r a s ɪ s
grau	ɡ r a i̯
grawn	ɡ r a u̯ n
grawnwin	ɡ r a u̯ n w ɪ n
grawys	ɡ r a u i̯ s
gre	ɡ r eː
greda	ɡ r eː d a
gredi	ɡ r eː d i
gredo	ɡ r eː d ɔ
gref	ɡ r eː v
grefi	ɡ r eː v i
grenada	ɡ r ɛ n a d a
gres	ɡ r eː s
greto	ɡ r ɛ t ɔ
grid	ɡ r i d
gril	ɡ r ɪ l
griliau	ɡ r ɪ l j a i̯
grilio	ɡ r ɪ l j ɔ
gris	ɡ r iː s
grisiau	ɡ r iː ʃ ɛ
grist	ɡ r ɪ s t
gro	ɡ r oː
groatia	ɡ r ɔ a t j a
groeg	ɡ r ɔ i̯ ɡ
groes	ɡ r oː s
groeso	ɡ r ɔ i̯ s ɔ
grog	ɡ r oː ɡ
gronell	ɡ r oː n ɛ ɬ
gronellau	ɡ r ɔ n ɛ ɬ a i̯
gronyn	ɡ r oː n ɪ n
gronynnog	ɡ r ɔ n ə n ɔ ɡ
grudd	ɡ r iː ð
gruffudd	ɡ r ɪ f ɪ ð
grug	ɡ r iː ɡ
gruga	ɡ r iː ɡ a
grugen	ɡ r iː ɡ ɛ n
grugle	ɡ r ɪ ɡ l ɛ
grugo	ɡ r iː ɡ ɔ
grugog	ɡ r iː ɡ ɔ ɡ
grugos	ɡ r iː ɡ ɔ s
grugyn	ɡ r iː ɡ ɪ n
grut	ɡ r ɪ t
grutgen	ɡ r ɪ t ɡ ɛ n
grwban	ɡ r uː b a n
grwpiau	ɡ r ʊ p j a i̯
grwth	ɡ r uː θ
grwys	ɡ r ʊ ɪ̯ s
gryf	ɡ r iː v
grym	ɡ r ɪ m
grymus	ɡ r ə m ɪ s
grys	ɡ r iː s
grât	ɡ r aː t
grêt	ɡ r eː t
grôt	ɡ r oː t
grŵp	ɡ r uː p
gu	ɡ iː
gusan	ɡ ɪ s a n
gusanau	ɡ ɪ s a n a i̯
gusanu	ɡ ɪ s a n i
gut	ɡ ɪ t
guto	ɡ ɪ t ɔ
gwach	ɡ w aː χ
gwacsaw	ɡ w a k s a u̯
gwacter	ɡ w a k t ɛ r
gwactod	ɡ w a k t ɔ d
gwacáu	ɡ w a k a i̯
gwadal	ɡ w a d a l
gwadd	ɡ w aː ð
gwadden	ɡ w a ð ɛ n
gwaddod	ɡ w a ð ɔ d
gwaddodi	ɡ w a ð oː d i
gwaddodiad	ɡ w a ð ɔ d j a d
gwaddodlyd	ɡ w a ð ɔ d l ɪ d
gwaddodol	ɡ w a ð oː d ɔ l
gwadiad	ɡ w a d j a d
gwadn	ɡ w a d a n
gwadu	ɡ w a d i
gwae	ɡ w a i̯
gwaed	ɡ w a i̯ d
gwaedd	ɡ w a i̯ ð
gwaedded	ɡ w e i̯ ð ɛ d
gwaedu	ɡ w e i̯ d i
gwael	ɡ w a i̯ l
gwaell	ɡ w a i̯ ɬ
gwaelod	ɡ w e i̯ l ɔ d
gwaered	ɡ w e i̯ r ɛ d
gwaeth	ɡ w a i̯ θ
gwaetha	ɡ w e i̯ θ a
gwaethaf	ɡ w e i̯ θ a
gwag	ɡ w aː ɡ
gwagedd	ɡ w a ɡ ɛ ð
gwagen	ɡ w a ɡ ɛ n
