aba	a b a
magnetizovať	m a ɡ ɲ e c i z ɔ v a c
magnetizácia	m a ɡ n e t i z aː t͡s i a
magor	m a ɡ ɔ r
magora	m a ɡ ɔ r a
magori	m a ɡ ɔ r i
magál	m a ɡ aː l
magľajz	m a ɡ ʎ a j s
magľajzu	m a ɡ ʎ a j z u
maháraštra	m a ɦ aː r a ʃ t r a
mahút	m a ɦ uː t
maine	m e j n
maj	m a j
majchrák	m a j x r aː k
majdan	m a j d a n
majer	m a j e r
majerčík	m a j e r t͡ʃ iː k
majme	m a j m e
majonéza	m a j ɔ n eː z a
majoroš	m a j ɔ r ɔ ʃ
majster	m a j s t e r
majstre	m a j s t r e
majte	m a j c e
majtán	m a j t aː n
maják	m a j aː k
majú	m a j uː
mak	m a k
makiš	m a k i ʃ
maklér	m a k l eː r
makový	m a k ɔ v iː
makula	m a k u l a
mal	m a l
mala	m a l a
malachiáš	m a ɫ a x i aː ʃ
malachovský	m a l a x ɔ v s k iː
malajec	m a ɫ a j ɛ t͡s
malajzia	m a l a j z i a
malajálamčina	m a l a j aː l a m t͡ʃ i n a
malajčina	m a ɫ a j t͡ʃ i n a
malec	m a ʎ e t͡s
malej	m a ʎ e j
mali	m a ʎ i
maliar	m a ʎ ɪ̯ a r
maliara	m a ʎ ɪ̯ a r a
maliarka	m a ʎ ɪ̯ a r k a
maliarmi	m a ʎ ɪ̯ a r m i
maliarsky	m a ʎ ɪ̯ a r s k i
maliarstvo	m a ʎ ɪ̯ a r s t v ɔ
malina	m a ʎ i n a
malinový	m a ʎ i n ɔ v iː
maliňák	m a ʎ i ɲ aː k
malko	m a l k ɔ
malo	m a l ɔ
malom	m a l ɔ m
malou	m a l ɔ v
malpa	m a l p a
malta	m a l t a
malte	m a l c e
maltou	m a l t ɔ v
maltu	m a l t u
malty	m a l c i
maltčina	m a l t͡ʃː i n a
malvér	m a ɫ v ɛː r
malvína	m a l v iː n a
malá	m a l aː
malé	m a l eː
malému	m a l eː m u
malí	m a ʎ iː
malík	m a ʎ iː k
malú	m a l uː
malý	m a l iː
malček	m a l t͡ʃ e k
malčovský	m a l t͡ʃ ɔ v s k iː
mama	m a m a
mamo	m a m ɔ
mamojka	m a m ɔ j k a
managua	m a n a ɡ u a
manažment	m a n a ʒ m ɛ n t
manažmentmi	m a n a ʒ m e n t m i
manažmentu	m a n a ʒ m e n t u
manažmenty	m a n a ʒ m e n t i
manažér	m a n a ʒ eː r
mandarínka	m a n d a r iː n k a
mandarínkovník	m a n d a r iː n k ɔ v ɲ iː k
mandinec	m a n ɟ i ɲ e t͡s
mangán	m a ŋ ɡ aː n
manila	m a ɲ i l a
manitoba	m a ɲ i t ɔ b a
manko	m a n k ɔ
mantinel	m a n t i n ɛ ɫ
manáma	m a n aː m a
mančina	m a n t͡ʃ i n a
manžel	m a n ʒ e l
manželiek	m a n ʒ e ʎ ɪ̯ e k
manželka	m a n ʒ e l k a
manželke	m a n ʒ e l k e
manželôčka	m a n ʒ e l u̯ ɔ t͡ʃ k a
manželôčky	m a n ʒ e l u̯ ɔ t͡ʃ k i
manželôčok	m a n ʒ e l u̯ ɔ t͡ʃ ɔ k
mapa	m a p a
mapový	m a p ɔ v iː
maputo	m a p u t ɔ
marcel	m a r t͡s e l
marcela	m a r t͡s e l a
marcinech	m a r t͡s i ɲ e x
marcinko	m a r t͡s i n k ɔ
marcový	m a r t͡s ɔ v iː
marec	m a r e t͡s
marecký	m a r e t͡s k iː
marek	m a r e k
marena	m a r e n a
mareš	m a r e ʃ
margaréta	m a r ɡ a r eː t a
margarétka	m a r ɡ a r eː t k a
margita	m a r ɡ i t a
marhanský	m a r ɦ a n s k iː
marhuľa	m a r ɦ u ʎ a
mariak	m a r ɪ̯ a k
marianna	m a r i a n a
marika	m a r i k a
marián	m a r i aː n
mariánko	m a r i aː n k ɔ
markech	m a r k e x
markovic	m a r k ɔ v i t͡s
markoš	m a r k ɔ ʃ
marmeláda	m a r m e l aː d a
marmor	m a r m ɔ r
maro	m a r ɔ
maroko	m a r ɔ k ɔ
maron	m a r ɔ n
maroš	m a r ɔ ʃ
maroško	m a r ɔ ʃ k ɔ
marshallčina	m a r z ɦ a lː t͡ʃ i n a
marta	m a r t a
martin	m a r t i n
martina	m a r t i n a
martinides	m a r t i n i d e s
martinkových	m a r c i n k ɔ v iː x
martinkovýchová	m a r c i n k ɔ v iː x ɔ v aː
martinovič	m a r c i n ɔ v i t͡ʃ
martinusík	m a r c i n u s iː k
martinát	m a r c i n aː t
martvoň	m a r t v ɔ ɲ
marušinec	m a r u ʃ i ɲ e t͡s
marxizmu	m a r k s i z m u
marxizmus	m a r k s i z m u s
maryland	m e r i ʎ e n t
marína	m a r iː n a
maród	m a r ɔː t
marônek	m a r u̯ ɔ ɲ e k
maseru	m a s e r u
masielka	m a s ɪ̯ e l k a
masielko	m a s ɪ̯ e l k ɔ
maskot	m a s k ɔ t
masliak	m a s ʎ ɪ̯ a k
maslo	m a s l ɔ
maslový	m a s l ɔ v iː
masný	m a s n iː
massachusetts	m e s e t͡ʃ uː s e t͡s
masti	m a s c i
mastiach	m a s c ɪ̯ a x
mastiam	m a s c ɪ̯ a m
mastihuba	m a s c i ɦ u b a
mastiľák	m a s c i ʎ aː k
masturbovať	m a s t u r b ɔ v a c
masturbácia	m a s t u r b aː t͡s i a
mastí	m a s c iː
masár	m a s aː r
masť	m a s c
masťami	m a s c a m i
masťou	m a s c ɔ v
mat	m a t
mateides	m a t e i d e s
matej	m a c e j
matejka	m a c e j k a
matejko	m a c e j k ɔ
matejovie	m a c e j ɔ v ɪ̯ e
matejovič	m a c e j ɔ v i t͡ʃ
matejíček	m a c e j iː t͡ʃ e k
matematik	m a t e m a t i k
matematika	m a t ɛ m a t i k a
matematička	m a t ɛ m a t i t͡ʃ k a
mater	m a c ɛ r
matere	m a c e r e
materi	m a c e r i
materinský	m a c e r i n s k iː
maternica	m a c e r ɲ i t͡s a
materou	m a c e r ɔ v
materský	m a c e r s k iː
mati	m a c i
matica	m a c i t͡s a
matiek	m a c ɪ̯ e k
matika	m a t i k a
matilda	m a t i l d a
matis	m a c i s
matka	m a t k a
matkin	m a t k i n
matlo	m a t l ɔ
matoušek	m a t ɔ u ʃ e k
matový	m a t ɔ v iː
matrac	m a t r a t͡s
matracový	m a t r a t͡s ɔ v iː
matrioška	m a t r i ɔ ʃ k a
matronymikum	m a t r ɔ n i m i k u m
matula	m a t u l a
matus	m a t u s
matušek	m a t u ʃ e k
matuška	m a t u ʃ k a
matušovic	m a t u ʃ ɔ v i t͡s
matušovič	m a t u ʃ ɔ v i t͡ʃ
matušík	m a t u ʃ iː k
matúš	m a t uː ʃ
mauritánia	m a v r i t aː n i a
mauritánsky	m a u r i t aː n s k i
maximilián	m a k s i m i l i aː n
mazáč	m a z aː t͡ʃ
mazúch	m a z uː x
mačací	m a t͡ʃ a t͡s iː
mačejovský	m a t͡ʃ e j ɔ v s k iː
maček	m a t͡ʃ e k
mačica	m a t͡ʃ i t͡s a
mačiek	m a t͡ʃ ɪ̯ e k
mačička	m a t͡ʃ i t͡ʃ k a
mačka	m a t͡ʃ k a
mačkami	m a t͡ʃ k a m i
mačke	m a t͡ʃ k e
mačkou	m a t͡ʃ k ɔ v
mačková	m a t͡ʃ k ɔ v aː
mačku	m a t͡ʃ k u
mačky	m a t͡ʃ k i
mačkách	m a t͡ʃ k aː x
mačkám	m a t͡ʃ k aː m
mačo	m a t͡ʃ ɔ
mačuga	m a t͡ʃ u ɡ a
mačutek	m a t͡ʃ u c e k
maďar	m a ɟ a r
maďara	m a ɟ a r a
maďarič	m a ɟ a r i t͡ʃ
maďarka	m a ɟ a r k a
maďarsko	m a ɟ a r s k ɔ
maďarský	m a ɟ a r s k iː
maďarčina	m a ɟ a r t͡ʃ i n a
maľar	m a ʎ a r
maňka	m a ɲ k a
maňuška	m a ɲ u ʃ k a
maňák	m a ɲ aː k
mašek	m a ʃ e k
mašina	m a ʃ i n a
maškrta	m a ʃ k r̩ t a
mašlej	m a ʃ ʎ e j
maštaľ	m a ʃ t a ʎ
mať	m a c
maťaš	m a c a ʃ
maťo	m a c ɔ
maťuga	m a c u ɡ a
meander	m e a n d e r
mech	m e x
mechanizácia	m e x a n i z aː t͡s i a
mechúr	m e x uː r
med	m e t
meda	m e d a
medard	m ɛ d a r d
mede	m e ɟ e
medi	m e ɟ i
medina	m e ɟ i n a
mediácia	m e d i aː t͡s i a
medián	m e d i aː n
mediánový	m e ɟ i aː n ɔ v iː
medo	m e d ɔ
medom	m e d ɔ m
medovina	m e d ɔ v i n a
medový	m e d ɔ v iː
medu	m e d u
medvecký	m e d v e t͡s k iː
medvede	m e d v e ɟ e
medvedi	m e d v e ɟ i
medvedica	m e d v e ɟ i t͡s a
medvedice	m e d v e ɟ i t͡s e
medveď	m e d v e c
medveďa	m e d v e ɟ a
medveďom	m e d v e ɟ ɔ m
medvieďa	m e d v ɪ̯ e ɟ a
medvieďatko	m e d v ɪ̯ e ɟ a t k ɔ
medviď	m e d v i c
medzi	m ɛ d͡z i
medzinárodný	m e d͡z i n aː r ɔ d n iː
medúza	m e d uː z a
medňanský	m e d ɲ a n s k iː
meitnerium	m a i̯ t n ɛ r ɪ j ʊ m
meitnérium	m a i̯ t n ɛ r ɪ j ʊ m
mekáč	m e k aː t͡ʃ
mekáča	m e k aː t͡ʃ a
mekáče	m e k aː t͡ʃ e
melbourne	m e l b ø r n
meleg	m e ʎ e k
melicherík	m e ʎ i x e r iː k
meliš	m e ʎ i ʃ
melko	m e l k ɔ
melánia	m e l aː n i a
melódia	m ɛ ɫ ɔː d i a
melúch	m e l uː x
mena	m e n a
menami	m e n a m i
menda	m e n d a
mendelevium	m ɛ n d ɛ l ɛ v ɪ j ʊ m
mendelévium	m ɛ n d ɛ l ɛ v ɪ j ʊ m
mene	m e ɲ e
menej	m e ɲ e j
meniny	m e ɲ i n i
meniť	m e ɲ i c
meno	m e n ɔ
menom	m e n ɔ m
menou	m e n ɔ v
menovec	m e n ɔ v e t͡s
menovkyne	m e n ɔ v k i ɲ e
menovkyňa	m e n ɔ v k i ɲ a
menovkýň	m e n ɔ v k iː ɲ
mentalita	m e n t a ʎ i t a
mentel	m e n c e l
mentálny	m e n t aː l n i
menu	m e n u
meny	m e n i
mená	m e n aː
menách	m e n aː x
menám	m e n aː m
menšina	m e n ʃ i n a
menštruácia	m e n ʃ t r u aː t͡s i a
menší	m e n ʃ iː
menšík	m e n ʃ iː k
meranie	m ɛ r a ɲ i̯ ɛ
mereš	m e r e ʃ
mergeš	m e r ɡ e ʃ
merkúr	m e r k uː r
merta	m e r t a
mertan	m e r t a n
mesačník	m e s a t͡ʃ ɲ iː k
mesačný	m e s a t͡ʃ n iː
mesiac	m ɛ s i̯ a t͡s
mesiačik	m ɛ s i̯ a t͡ʃ i k
mestečko	m e s c e t͡ʃ k ɔ
mesto	m e s t ɔ
mestský	m e s k iː
mestách	m e s t aː x
mesík	m e s iː k
metajazyk	m e t a j a z i k
metamorfóza	m ɛ t a m ɔ r f ɔː z a
meteorit	m e t e ɔ r i t
meteorológia	m e t e ɔ r ɔ l ɔː ɡ i a
meter	m e c e r
metla	m e t l a
metlobal	m e t l ɔ b a l
metlobalový	m e t l ɔ b a l ɔ v iː
metro	m e t r ɔ
mexicky	m e k s i t͡s k i
mexický	m e k s i t͡s k iː
mexiko	m e k s i k ɔ
mezej	m e z e j
mezopotámia	m ɛ z ɔ p ɔ t aː m i a
meč	m e t͡ʃ
meča	m e t͡ʃ a
mečom	m e t͡ʃ ɔ m
mečový	m e t͡ʃ ɔ v iː
meď	m e c
meďou	m e ɟ ɔ v
meľko	m e ʎ k ɔ
mešita	m ɛ ʃ i t a
meštiansky	m e ʃ c ɪ̯ a n s k i
mešťan	m e ʃ c a n
mešťana	m e ʃ c a n a
mešťania	m e ʃ c a ɲ ɪ̯ a
mi	m i
miami	m a j a m i
miartuš	m ɪ̯ a r t u ʃ
mias	m i̯ a s
miazga	m ɪ̯ a z ɡ a
miazgový	m ɪ̯ a z ɡ ɔ v iː
miazma	m i a z m a
michaela	m i x a e l a
michal	m i x a l
michalanský	m i x a l a n s k iː
michalco	m i x a l t͡s ɔ
michalides	m i x a l i d e s
michalka	m i x a l k a
michalov	m i x a l ɔ v
michalovce	m i x a l ɔ v t͡s e
michalák	m i x a l aː k
micheáš	m i x ɛ aː ʃ
michigan	m i ʃ i ɡ e n
michna	m i x n a
michút	m i x uː t
mien	m ɪ̯ e n
miene	m ɪ̯ e ɲ e
mier	m ɪ̯ e r
miere	m ɪ̯ e r e
mieri	m ɪ̯ e r i
mierom	m ɪ̯ e r ɔ m
mierou	m ɪ̯ e r ɔ v
mieru	m ɪ̯ e r u
miery	m ɪ̯ e r i
miest	m i̯ e s t
miestenka	m ɪ̯ e s c e n k a
miestnosť	m ɪ̯ e s t n ɔ s c
miesto	m i̯ ɛ s t ɔ
miezd	m i̯ e s t
mieč	m ɪ̯ e t͡ʃ
mieň	m ɪ̯ e ɲ
mieňa	m ɪ̯ e ɲ a
miešačka	m ɪ̯ e ʃ a t͡ʃ k a
mieška	m ɪ̯ e ʃ k a
mieškom	m ɪ̯ e ʃ k ɔ m
miešku	m ɪ̯ e ʃ k u
miešok	m ɪ̯ e ʃ ɔ k
migo	m i ɡ ɔ
mih	m i x
mihalnica	m i ɦ a l ɲ i t͡s a
mihmi	m i ɦ m i
mihok	m i ɦ ɔ k
mihom	m i ɦ ɔ m
mihu	m i ɦ u
mihy	m i ɦ i
mihál	m i ɦ aː l
mihálek	m i ɦ aː ʎ e k
mihálik	m i ɦ aː ʎ i k
miker	m i k e r
mikes	m i k e s
mikeš	m i k e ʃ
mikloš	m i k l ɔ ʃ
mikláš	m i k l aː ʃ
miko	m i k ɔ
mikolaj	m i k ɔ l a j
mikovčák	m i k ɔ v t͡ʃ aː k
mikrobus	m i k r ɔ b u s
mikrometer	m i k r ɔ m e c e r
mikrosekunda	m i k r ɔ s e k u n d a
mikroskop	m i k r ɔ s k ɔ p
mikroskopový	m i k r ɔ s k ɔ p ɔ v iː
mikula	m i k u l a
mikulec	m i k u ʎ e t͡s
mikuláš	m i k u ɫ aː ʃ
mikulášových	m i k u l aː ʃ ɔ v iː x
mikulík	m i k u ʎ iː k
mikuš	m i k u ʃ
mikušovič	m i k u ʃ ɔ v i t͡ʃ
milada	m i l a d a
milan	m i ɫ a n
milanmi	m i l a n m i
milena	m i ʎ e n a
milenca	m i ʎ e n t͡s a
milenec	m i ʎ e ɲ e t͡s
milenecký	m i ʎ e ɲ e t͡s k iː
miliarda	m i l i a r d a
miliardtý	m i l i a r tː iː
milica	m i l i t͡s a
mililiter	m i l i l i t e r
mililitrový	m i ʎ i ʎ i t r ɔ v iː
milión	m i ʎ i ɔː n
miliónty	m i ʎ i ɔː n t i
milko	m i l k ɔ
milo	m i l ɔ
miloslav	m i ɫ ɔ s ɫ a u̯
miloslava	m i l ɔ s l a v a
milosť	m i l ɔ s c
milota	m i l ɔ t a
milovať	m i l ɔ v a c
miloš	m i ɫ ɔ ʃ
milénium	m i l eː n i u m
milôt	m i l u̯ ɔ t
milý	m i l iː
milčo	m i l t͡ʃ ɔ
mimo	m i m ɔ
mimoriadny	m i m ɔ r ɪ̯ a d n i
minarovjech	m i n a r ɔ v j e x
minca	m i n t͡s a
mincovňa	m i n t͡s ɔ v ɲ a
mineralógia	m i n e r a l ɔː ɡ i a
minka	m i n k a
minko	m i n k ɔ
minnesota	m i n ɲ e s ɔ t a
mintál	m i n t aː l
minuloročný	m i n u l ɔ r ɔ t͡ʃ n iː
minár	m i n aː r
minárik	m i n aː r i k
mináč	m i n aː t͡ʃ
minúta	m i n uː t a
minčič	m i n t͡ʃ i t͡ʃ
mirga	m i r ɡ a
miriam	m i r i a m
miriama	m i r i a m a
miro	m i r ɔ
miroslav	m i r ɔ s ɫ a u̯
miroslava	m i r ɔ s l a v a
mislovič	m i s l ɔ v i t͡ʃ
mississippi	m i s i s i p i
missouri	m i s u r i
mistrík	m i s t r iː k
mitas	m i t a s
mitka	m i t k a
mitochondria	m i t ɔ x ɔ n d r i a
mitra	m i t r a
mitro	m i t r ɔ
mitúch	m i t uː x
mičaň	m i t͡ʃ a ɲ
miček	m i t͡ʃ e k
mičian	m i t͡ʃ ɪ̯ a n
mičkovic	m i t͡ʃ k ɔ v i t͡s
mičátek	m i t͡ʃ aː c e k
mičúch	m i t͡ʃ uː x
miľo	m i ʎ ɔ
mišanko	m i ʃ a n k ɔ
mišeje	m i ʃ e j e
mišiak	m i ʃ ɪ̯ a k
miškech	m i ʃ k e x
miškovec	m i ʃ k ɔ v ɛ t͡s
miškovič	m i ʃ k ɔ v i t͡ʃ
mišovic	m i ʃ ɔ v i t͡s
mišovie	m i ʃ ɔ v ɪ̯ e
mištička	m i ʃ c i t͡ʃ k a
mišung	m i ʃ u n k
mišút	m i ʃ uː t
mižigar	m i ʒ i ɡ a r
mjanmarsko	m j a n m a r s k ɔ
mlacek	m l a t͡s e k
mladosť	m l a d ɔ s c
mladoň	m l a d ɔ ɲ
mladoženích	m l a d ɔ ʒ e ɲ iː x
mladoženísi	m l a d ɔ ʒ e ɲ iː s i
mladucha	m l a d u x a
mladá	m ɫ a d aː
mladý	m l a d iː
mlaka	m l a k a
mlatec	m l a c e t͡s
mledzivo	m l ɛ d͡z i v ɔ
mliekar	m ʎ ɪ̯ e k a r
mlieko	m l i̯ ɛ k ɔ
mliečko	m l i̯ ɛ t͡ʃ k ɔ
mliečny	m ʎ ɪ̯ e t͡ʃ n i
mlyn	m l i n
mlynár	m l i n aː r
mlz	m l̩ s
mládež	m l aː ɟ e ʃ
mláka	m l aː k a
mláto	m l aː t ɔ
mláčka	m l aː t͡ʃ k a
mláďa	m ɫ aː ɟ a
mláďat	m l aː ɟ a t
mláďatami	m l aː ɟ a t a m i
mláďatko	m ɫ aː ɟ a t k ɔ
mláďatá	m l aː ɟ a t aː
mláďatám	m l aː ɟ a t aː m
mlč	m l̩ t͡ʃ
mlčanie	m l̩ t͡ʃ a ɲ ɪ̯ e
mnoho	m n ɔ ɦ ɔ
mnohouholník	m n ɔ ɦ ɔ u ɦ ɔ l ɲ iː k
mnou	m n ɔ v
množina	m n ɔ ʒ i n a
mních	m ɲ iː x
mníchov	m ɲ iː x ɔ u̯
mníšik	m ɲ iː ʃ i k
moder	m ɔ ɟ e r
modernejší	m ɔ ɟ e r ɲ e j ʃ iː
moderný	m ɔ d e r n iː
modlivka	m ɔ d ʎ i v k a
modrejší	m ɔ d r e j ʃ iː
modrák	m ɔ d r aː k
modráky	m ɔ d r aː k i
modrý	m ɔ d r iː
mohyla	m ɔ ɦ i l a
moja	m ɔ j a
mojmír	m ɔ j m iː r
mojš	m ɔ j ʃ
mojžíš	m ɔ j ʒ iː ʃ
mokoš	m ɔ k ɔ ʃ
mokrina	m ɔ k r i n a
mokrinka	m ɔ k r i n k a
mokroš	m ɔ k r ɔ ʃ
mokrí	m ɔ k r iː
mokrý	m ɔ k r iː
moldavsko	m ɔ l d a v s k ɔ
moldavčan	m ɔ l d a v t͡ʃ a n
moldavčanka	m ɔ l d a v t͡ʃ a n k a
molej	m ɔ ʎ e j
molia	m ɔ ʎ ɪ̯ a
molie	m ɔ ʎ ɪ̯ e
moliu	m ɔ ʎ ɪ̯ u
molnár	m ɔ l n aː r
molybdén	m ɔ l i b d ɛː n
molí	m ɔ ʎ iː
molích	m ɔ ʎ iː x
molím	m ɔ ʎ iː m
molčan	m ɔ l t͡ʃ a n
momentu	m ɔ m e n t u
monako	m ɔ n a k ɔ
monarcha	m ɔ n a r x a
monarchia	m ɔ n a r x i a
mongolsko	m ɔ n ɡ ɔ l s k ɔ
monika	m ɔ n i k a
monoftongizačný	m ɔ n ɔ f t ɔ n ɡ i z a t͡ʃ n iː
monoftongizácia	m ɔ n ɔ f t ɔ n ɡ i z aː t͡s i a
monoteistický	m ɔ n ɔ t ɛ i s t i t͡s k iː
monoteizmus	m ɔ n ɔ t e i z m u s
montana	m ɔ n t a n a
montevideo	m ɔ n c e v i ɟ e ɔ
montreal	m ɔ n t r e a l
mops	m ɔ p s
mora	m ɔ r a
morava	m ɔ r a v a
morave	m ɔ r a v ɛ
moravec	m ɔ r a v e t͡s
moravou	m ɔ r a v ɔ v
moravský	m ɔ r a u̯ s k iː
moravu	m ɔ r a v u
moravy	m ɔ r a v i
morbidita	m ɔ r b i d i t a
more	m ɔ r e
morfeus	m ɔ r f ɛ u s
moriak	m ɔ r ɪ̯ a k
morka	m ɔ r k a
morský	m ɔ r s k iː
morálka	m ɔ r aː l k a
moréna	m ɔ r eː n a
morča	m ɔ r t͡ʃ a
morčací	m ɔ r t͡ʃ a t͡s iː
mosadz	m ɔ s a t͡s
moskva	m ɔ s k v a
moskóvium	m ɔ s k ɔː v ɪ j ʊ m
mosný	m ɔ s n iː
mosor	m ɔ s ɔ r
most	m ɔ s t
mostnica	m ɔ s t ɲ i t͡s a
mostík	m ɔ s c iː k
motaj	m ɔ t a j
motocykel	m ɔ t ɔ t͡s i k e l
motocykla	m ɔ t ɔ t͡s i k l a
motocykli	m ɔ t ɔ t͡s i k ʎ i
motocyklový	m ɔ t ɔ t͡s i k l ɔ v iː
motocyklík	m ɔ t ɔ t͡s i k ʎ iː k
motocyklíka	m ɔ t ɔ t͡s i k ʎ iː k a
motorka	m ɔ t ɔ r k a
motorkár	m ɔ t ɔ r k aː r
motorkárka	m ɔ t ɔ r k aː r k a
motovidlo	m ɔ t ɔ v i d l ɔ
motto	m ɔ tː ɔ
motúz	m ɔ t uː s
motúza	m ɔ t uː z a
motýlí	m ɔ t iː ʎ iː
motýľ	m ɔ t iː ʎ
mozaika	m ɔ z a j k a
mozambik	m ɔ z a m b i k
mozgový	m ɔ z ɡ ɔ v iː
mozog	m ɔ z ɔ k
mozola	m ɔ z ɔ l a
mozole	m ɔ z ɔ ʎ e
mozoli	m ɔ z ɔ ʎ i
mozoček	m ɔ z ɔ t͡ʃ e k
mozoľ	m ɔ z ɔ ʎ
mozoľa	m ɔ z ɔ ʎ a
mozoľom	m ɔ z ɔ ʎ ɔ m
mozoľu	m ɔ z ɔ ʎ u
močiar	m ɔ t͡ʃ ɪ̯ a r
močiť	m ɔ t͡ʃ i c
močový	m ɔ t͡ʃ ɔ v iː
moľ	m ɔ ʎ
moľa	m ɔ ʎ a
moľom	m ɔ ʎ ɔ m
moľou	m ɔ ʎ ɔ v
moňok	m ɔ ɲ ɔ k
moška	m ɔ ʃ k a
moško	m ɔ ʃ k ɔ
mošna	m ɔ ʃ n a
možno	m ɔ ʒ n ɔ
možnosť	m ɔ ʒ n ɔ s c
možný	m ɔ ʒ n iː
mrakodrap	m r a k ɔ d r a p
mrav	m r a v
mravec	m r a v e t͡s
mravčí	m r a v t͡ʃ iː
mraze	m r a z e
mrazivo	m r a z i v ɔ
mrazmi	m r a z m i
mrazu	m r a z u
mrena	m r e n a
mrenica	m r e ɲ i t͡s a
mrenka	m r e n k a
mrkiev	m r̩ k ɪ̯ e v
mrkva	m r̩ k v a
mrkve	m r̩ k v e
mrkvička	m r̩ k v i t͡ʃ k a
mrkvou	m r̩ k v ɔ v
mrkvu	m r̩ k v u
mrkvy	m r̩ k v i
mrlí	m r̩ l iː
mrnka	m r̩ n k a
mrož	m r ɔ ʃ
mrva	m r̩ v a
mrzla	m r̩ z l a
mrznúť	m r̩ z n uː c
mrzol	m r̩ z ɔ l
mrzák	m r̩ z aː k
mráz	m r aː s
mráčik	m r aː t͡ʃ i k
mrľa	m r̩ ʎ a
mu	m u
mucha	m u x a
muchami	m u x a m i
muche	m u x ɛ
mucholapka	m u x ɔ l a p k a
muchotrávka	m u x ɔ t r aː v k a
muchou	m u x ɔ v
muchu	m u x u
muchy	m u x i
muchách	m u x aː x
muchám	m u x aː m
mudrc	m u d r̩ t͡s
mudrcký	m u d r̩ t͡s k iː
mudrík	m u d r iː k
muezín	m u e z iː n
muflón	m u v l ɔː n
mufti	m u f t i
muka	m u k a
mumifikovať	m u m i f i k ɔ v a c
munka	m u n k a
munícia	m u n iː t͡s i a
muranka	m u r a n k a
murgaš	m u r ɡ a ʃ
murár	m u r aː r
muráň	m u r aː ɲ
murín	m u r iː n
musieť	m u s ɪ̯ e c
musil	m u s i l
mučenie	m u t͡ʃ e ɲ ɪ̯ e
mučiteľ	m u t͡ʃ i c e ʎ
mučiteľka	m u t͡ʃ i c e ʎ k a
mučiť	m u t͡ʃ i c
mučka	m u t͡ʃ k a
muľ	m u ʎ
mušiek	m u ʃ ɪ̯ e k
muška	m u ʃ k a
muške	m u ʃ k e
mušku	m u ʃ k u
mušky	m u ʃ k i
muškám	m u ʃ k aː m
muší	m u ʃ iː
muž	m u ʃ
muži	m ʊ ʒ ɪ
mužnosť	m u ʒ n ɔ s c
mužský	m u ʃ s k iː
my	m i
mydielko	m i ɟ ɪ̯ e l k ɔ
mydlina	m i d ʎ i n a
mydlinka	m i d ʎ i n k a
mydlo	m i d ɫ ɔ
mydlár	m i d l aː r
mykologička	m i k ɔ l ɔ ɡ i t͡ʃ k a
mykológ	m i k ɔ l ɔː k
mykológia	m i k ɔ l ɔː ɡ i a
mykóza	m i k ɔː z a
myseľ	m i s e ʎ
myslieť	m i s ʎ ɪ̯ e c
mytológia	m i t ɔ l ɔː ɡ i a
myš	m i ʃ
myšiu	m i ʃ i̯ u
myšlienka	m i ʃ ʎ ɪ̯ e n k a
myšlienkový	m i ʃ ʎ ɪ̯ e n k ɔ v iː
myší	m i ʃ iː
mzda	m z d a
má	m aː
mác	m aː t͡s
mácsai	m aː t͡s s a i
máj	m aː j
májový	m aː j ɔ v iː
málek	m aː ʎ e k
málo	m aː l ɔ
málp	m aː l p
mám	m aː m
máme	m aː m e
már	m aː r
márach	m aː r a x
máram	m aː r a m
márami	m aː r a m i
mária	m aː r i a
mário	m aː r i ɔ
márna	m aː r n a
márne	m aː r n e
márnejší	m aː r ɲ e j ʃ iː
márni	m aː r n i
márnica	m aː r ɲ i t͡s a
márnici	m aː r ɲ i t͡s i
márnicou	m aː r ɲ i t͡s ɔ v
márnicu	m aː r ɲ i t͡s u
márničný	m aː r ɲ i t͡ʃ n iː
márnomyseľný	m aː r n ɔ m i s e ʎ n iː
márny	m aː r n i
máry	m aː r i
máte	m aː c e
mátoha	m aː t ɔ ɦ a
mázik	m aː z i k
máčaj	m aː t͡ʃ a j
máš	m aː ʃ
mäkká	m æ kː aː
mäkké	m æ kː eː
mäkkí	m æ kː iː
mäkkú	m æ kː uː
mäkký	m e k iː
mäkkýš	m æ kː iː ʃ
mäkkýší	m æ kː iː ʃ iː
mäkčene	m æ k t͡ʃ e ɲ e
mäkčeň	m æ k t͡ʃ e ɲ
mäkčeňa	m æ k t͡ʃ e ɲ a
mäsa	m æ s a
mäsami	m æ s a m i
mäse	m æ s e
mäsiar	m æ s ɪ̯ a r
mäsiarka	m æ s ɪ̯ a r k a
mäsko	m æ s k ɔ
mäso	m æ s ɔ
mäsom	m æ s ɔ m
mäsový	m æ s ɔ v iː
mäsožravec	m æ s ɔ ʒ r a v e t͡s
mäsožravý	m æ s ɔ ʒ r a v iː
mäsu	m æ s u
mäsá	m æ s aː
mäsách	m æ s aː x
mäsám	m æ s aː m
mät	m æ t
mäta	m æ t a
mäte	m æ c ɛ
méd	m eː t
méta	m eː t a
móda	m ɔː d a
móder	m ɔː ɟ e r
módny	m ɔː d n i
móric	m ɔː r i t͡s
môcť	m u̯ ɔ t͡s c
môj	m u̯ ɔ j
múch	m uː x
múcska	m uː t͡ʃ k a
múdra	m uː d r a
múdri	m uː d r i
múdrosť	m uː d r ɔ s c
múdru	m uː d r u
múdry	m uː d r i
múka	m uː k a
múr	m uː r
