a	ɐ
maravilhosamente	m ɐ ɾ ɐ v i ʎ ɔ z ɐ m ẽ t ʃ i
maravilhosas	m ɐ ɾ ɐ v i ʎ ɔ z ɐ s
maravilhoso	m ɐ ɾ ɐ v i ʎ o z u
maravilhosos	m ɐ ɾ ɐ v i ʎ o z u s
marazzi	m ɐ ɾ ɐ z z i
marba	m ɐ ʁ b ɐ
marc	m ɐ ɹ k
marca	m ɐ ɹ k ɐ
marcada	m ɐ ɹ k ɐ d ɐ
marcadamente	m ɐ ɹ k ɐ d ɐ m ẽ t ʃ i
marcadas	m ɐ ɹ k ɐ d ɐ s
marcado	m ɐ ɹ k ɐ d u
marcador	m ɐ ɹ k ɐ d o ɹ
marcadores	m ɐ ɹ k ɐ d o ɾ i s
marcados	m ɐ ɹ k ɐ d u s
marcam	m ɐ ɹ k ɐ̃w̃
marcamos	m ɐ ɹ k ɐ̃ m u s
marcando	m ɐ ɹ k ɐ̃ d u
marcante	m ɐ ɹ k ɐ̃ t ʃ i
marcantes	m ɐ ɹ k ɐ̃ t ʃ i s
marcantonio	m ɐ ɹ k ɐ̃ t o n i u
marcantônio	m ɐ ɹ k ɐ̃ t o n i u
marcapasso	m ɐ ɹ k ɐ p ɐ s u
marcar	m ɐ ɹ k ɐ ɹ
marcara	m ɐ ɹ k ɐ ɾ ɐ
marcaram	m ɐ ɹ k ɐ ɾ ɐ̃w̃
marcarem	m ɐ ɹ k ɐ ɾ ẽj̃
marcaria	m ɐ ɹ k ɐ ɾ i ɐ
marcará	m ɐ ɹ k ɐ ɾ ɐ
marcas	m ɐ ɹ k ɐ s
marcasse	m ɐ ɹ k ɐ s i
marcava	m ɐ ɹ k ɐ v ɐ
marcavam	m ɐ ɹ k ɐ v ɐ̃w̃
marcação	m ɐ ɹ k ɐ s ɐ̃w̃
marcações	m ɐ ɹ k ɐ s õj̃ s
marceau	m ɐ ɹ s e ɐw
marcel	m ɐ ɹ s ɛw
marcela	m ɐ ɹ s ɛ l ɐ
marcelina	m ɐ ɹ s e l ĩ n ɐ
marcelinho	m ɐ ɹ s e l ĩ ɲ u
marcelino	m ɐ ɹ s e l ĩ n u
marcella	m ɐ ɹ s ɛw l ɐ
marcello	m ɐ ɹ s ɛw l u
marcelo	m ɐ ɹ s ɛ l u
marcenaria	m ɐ ɹ s e n ɐ ɾ i ɐ
marceneiro	m ɐ ɹ s e n ej ɾ u
marceneiros	m ɐ ɹ s e n ej ɾ u s
marcenilo	m ɐ ɹ s e n i l u
march	m ɐ ɹ ʃ
marcha	m ɐ ɹ ʃ ɐ
marchador	m ɐ ɹ ʃ ɐ d o ɹ
marchais	m ɐ ɹ ʃ ɐj s
marcham	m ɐ ɹ ʃ ɐ̃w̃
marchand	m ɐ ɹ ʃ ɐ̃ d ʒ
marchando	m ɐ ɹ ʃ ɐ̃ d u
marchands	m ɐ ɹ ʃ ɐ̃ d ʒ s
marchar	m ɐ ɹ ʃ ɐ ɹ
marchará	m ɐ ɹ ʃ ɐ ɾ ɐ
marchas	m ɐ ɹ ʃ ɐ s
marchegiani	m ɐ ɹ ʃ e ʒ i ɐ n i
marchetti	m ɐ ɹ ʃ e t ʃ t ʃ i
marchi	m ɐ ɹ ʃ i
marchigiana	m ɐ ɹ ʃ i ʒ i ɐ̃ n ɐ
marchinha	m ɐ ɹ ʃ ĩ ɲ ɐ
marchinhas	m ɐ ɹ ʃ ĩ ɲ ɐ s
marchione	m ɐ ɹ ʃ i õ n i
marché	m ɐ ɹ ʃ ɛ
marcia	m ɐ ɹ s i ɐ
marciais	m ɐ ɹ s i ɐj s
marcial	m ɐ ɹ s i ɐw
marciana	m ɐ ɹ s i ɐ̃ n ɐ
marciano	m ɐ ɹ s i ɐ̃ n u
marcianos	m ɐ ɹ s i ɐ̃ n u s
marcinho	m ɐ ɹ s ĩ ɲ u
marcio	m ɐ ɹ s i u
marco	m ɐ ɹ k u
marcolan	m ɐ ɹ k o l ɐ̃
marcolino	m ɐ ɹ k o l ĩ n u
marcomano	m ɐ ɹ k o m ɐ̃ n u
marcondes	m ɐ ɹ k õ d ʒ i s
marcone	m ɐ ɹ k õ n i
marconi	m ɐ ɹ k o n i
marcos	m ɐ ɹ k u s
marcou	m ɐ ɹ k ow
marcuense	m ɐ ɹ k u ẽ s i
marcus	m ɐ ɹ k uj s
marcá	m ɐ ɹ k ɐ
marcão	m ɐ ɹ k ɐ̃w̃
marcílio	m ɐ ɹ s i l i u
mardi	m ɐ ʁ d ʒ i
mardoqueu	m ɐ ɹ d o k e w
mare	m ɐ ɾ i
mareado	m ɐ ɾ e ɐ d u
marechal	m ɐ ɾ e ʃ ɐw
marechiaro	m ɐ ɾ e ʃ i ɐ ɾ u
marejar	m ɐ ɾ e ʒ ɐ
maremoto	m ɐ ɾ e m o t u
mares	m ɐ ɾ i s
maresia	m ɐ ɾ e z i ɐ
maresias	m ɐ ɾ e z i ɐ s
marfar	m ɐ ɹ f ɐ
marfim	m ɐ ɹ f ĩ
marfinense	m ɐ ɹ f i n ẽ s i
marga	m ɐ ɹ ɡ ɐ
margar	m ɐ ɹ ɡ ɐ
margaret	m ɐ ʁ ɡ ɐ ɾ e t ʃ
margareth	m ɐ ʁ ɡ ɐ ɾ e t ʃ
margarida	m ɐ ʁ ɡ ɐ ɾ i d ɐ
margaridas	m ɐ ʁ ɡ ɐ ɾ i d ɐ s
margarina	m ɐ ʁ ɡ ɐ ɾ ĩ n ɐ
margarinas	m ɐ ʁ ɡ ɐ ɾ ĩ n ɐ s
margarita	m ɐ ʁ ɡ ɐ ɾ i t ɐ
margaritas	m ɐ ʁ ɡ ɐ ɾ i t ɐ s
margeia	m ɐ ʁ ʒ ej ɐ
margem	m ɐ ʁ ʒ ẽj̃
margens	m ɐ ʁ ʒ ẽ s
margherita	m ɐ ʁ ɡ e ɾ i t ɐ
margiela	m ɐ ʁ ʒ i ɛ l ɐ
marginais	m ɐ ʁ ʒ ĩ n ɐj s
marginal	m ɐ ʁ ʒ ĩ n ɐw
marginalidade	m ɐ ʁ ʒ ĩ n ɐ l i d ɐ d ʒ i
marginalizada	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ d ɐ
marginalizadas	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ d ɐ s
marginalizado	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ d u
marginalizados	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ d u s
marginalizar	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ ɹ
marginalização	m ɐ ʁ ʒ ĩ n ɐ l i z ɐ s ɐ̃w̃
marginalmente	m ɐ ɹ ʒ i n ɐ w m ẽ t i
margolis	m ɐ ʁ ɡ o l i j s
margot	m ɐ ʁ ɡ o t ʃ
margrave	m ɐ ɹ ɡ ɾ ɐ v i
margret	m ɐ ʁ ɡ ɾ e t ʃ
marguerita	m ɐ ʁ ɡ e ɾ i t ɐ
marguerite	m ɐ ʁ ɡ e ɾ i t ʃ i
margão	m ɐ ɹ ɡ ɐ̃ ɐ̃w̃
mari	m ɐ ɾ i
maria	m ɐ ɾ i ɐ
mariaca	m ɐ ɾ i ɐ k ɐ
mariachi	m ɐ ɾ i ɐ ʃ i
mariachis	m ɐ ɾ i ɐ ʃ i j s
marialva	m ɐ ɾ i ɐw v ɐ
marian	m ɐ ɾ i ɐ̃
mariana	m ɐ ɾ i ɐ̃ n ɐ
mariane	m ɐ ɾ i ɐ̃ n i
mariangela	m ɐ ɾ i ɐ̃ ʒ ɛ l ɐ
mariani	m ɐ ɾ i ɐ n i
marianinha	m ɐ ɾ i ɐ n i ɲ ɐ
marianna	m ɐ ɾ i ɐ̃ n ɐ
marianne	m ɐ ɾ i ɐ̃ n i
mariano	m ɐ ɾ i ɐ̃ n u
mariante	m ɐ ɾ i ɐ̃ t ʃ i
marias	m ɐ ɾ i ɐ s
maribel	m ɐ ɾ i b ɛw
maribondo	m ɐ ɾ i b õ d o
marica	m ɐ ɾ i k ɐ
maricas	m ɐ ɾ i k ɐ s
maricato	m ɐ ɾ i k ɐ t u
maricona	m ɐ ɾ i k o n ɐ
maricá	m ɐ ɾ i k ɐ
marido	m ɐ ɾ i d u
maridos	m ɐ ɾ i d u s
maridão	m ɐ ɾ i d ɐ̃w̃
marie	m ɐ ɾ i
mariel	m ɐ ɾ i ɛw
marieta	m ɐ ɾ i e t ɐ
marietta	m ɐ ɾ i e t ʃ t ɐ
marighella	m ɐ ɾ i ɡ ɛw l ɐ
marigo	m ɐ ɾ i ɡ u
marijuana	m ɐ ɾ i ʒ u ɐ n ɐ
marijô	m ɐ ɾ i ʒ o
mariko	m ɐ ɾ i k u
marilda	m ɐ ɾ iw d ɐ
marilena	m ɐ ɾ i l ẽ n ɐ
marilene	m ɐ ɾ i l e n i
marilia	m ɐ ɾ i l i ɐ
marilu	m ɐ ɾ i l u
marilyn	m ɐ ɾ iw i n
marilândia	m ɐ ɾ i l ɐ̃ d i ɐ
marimba	m ɐ ɾ ĩ b ɐ
marimbau	m ɐ ɾ ĩ b ɐ w
marimbondo	m ɐ ɾ ĩ b õ d o
marin	m ɐ ɾ ĩ
marina	m ɐ ɾ ĩ n ɐ
marinalva	m ɐ ɾ ĩ n ɐw v ɐ
marinar	m ɐ ɾ i n ɐ
marinara	m ɐ ɾ ĩ n ɐ ɾ ɐ
marinas	m ɐ ɾ ĩ n ɐ s
marine	m ɐ ɾ ĩ n i
marinella	m ɐ ɾ ĩ n ɛw l ɐ
marines	m ɐ ɾ ĩ n i s
marinetti	m ɐ ɾ ĩ n e t ʃ t ʃ i
maringá	m ɐ ɾ ĩ ɡ ɐ
marinha	m ɐ ɾ ĩ ɲ ɐ
marinhas	m ɐ ɾ ĩ ɲ ɐ s
marinheira	m ɐ ɾ i ɲ e ɾ ɾ ɐ
marinheiro	m ɐ ɾ ĩ ɲ ej ɾ u
marinheiros	m ɐ ɾ ĩ ɲ ej ɾ u s
marinho	m ɐ ɾ ĩ ɲ u
marinhos	m ɐ ɾ ĩ ɲ u s
marini	m ɐ ɾ ĩ n i
marino	m ɐ ɾ ĩ n u
marins	m ɐ ɾ ĩ s
marinópolis	m ɐ ɾ i n o p o l i s
mario	m ɐ ɾ i u
marion	m ɐ ɾ i õ
marioneta	m ɐ ɾ i o n e t ɐ
marionete	m ɐ ɾ i o n e t ʃ i
marionetes	m ɐ ɾ i o n e t ʃ i s
marionetista	m ɐ ɾ i o n e t i s t ɐ
mariposa	m ɐ ɾ i p ɔ z ɐ
mariposas	m ɐ ɾ i p ɔ z ɐ s
mariposista	m ɐ ɾ i p o z i s t ɐ
mariquice	m ɐ ɾ i k i s e
mariquinha	m ɐ ɾ i k i ɲ ɐ
maris	m ɐ ɾ i j s
marisa	m ɐ ɾ i z ɐ
marisco	m ɐ ɾ i s k u
mariscos	m ɐ ɾ i s k u s
marise	m ɐ ɾ i z i
marisma	m ɐ ɾ i z m ɐ
marisol	m ɐ ɾ i z ɔ w
marisqueira	m ɐ ɾ i s k e ɾ ɾ ɐ
marista	m ɐ ɾ i s t ɐ
maristela	m ɐ ɾ i s t ɛ l ɐ
maritaca	m ɐ ɾ i t ɐ k ɐ
maritacaca	m ɐ ɾ i t ɐ k ɐ k ɐ
marital	m ɐ ɾ i t ɐw
marius	m ɐ ɾ iw s
mariutti	m ɐ ɾ iw t ʃ t ʃ i
marivaldo	m ɐ ɾ i v ɐw d u
mariz	m ɐ ɾ i j s
mariza	m ɐ ɾ i z ɐ
mariá	m ɐ ɾ i ɐ
mariápolis	m ɐ ɾ i ɐ p o l i s
mariângela	m ɐ ɾ i ɐ̃ ʒ ɛ l ɐ
marjorie	m ɐ ʁ ʒ o ɾ i
mark	m ɐ ɹ k
marka	m ɐ ɹ k ɐ
markarian	m ɐ ɹ k ɐ ɾ i ɐ̃
marker	m ɐ ɹ k e ɹ
market	m ɐ ɹ k e t ʃ
marketing	m ɐ ɹ k e t ʃ ĩ ɡ
markets	m ɐ ɹ k e t ʃ s
marks	m ɐ ɹ k s
markshop	m ɐ ɹ k ʃ o p
marksman	m ɐ ɹ k z m ɐ̃
markun	m ɐ ɹ k ũ
markus	m ɐ ɹ k uj s
marlboro	m ɐ ɹ w b o ɾ u
marlene	m ɐ ɹ l e n i
marley	m ɐ ɹ l e i
marli	m ɐ ɹ l i
marlim	m ɐ ɹ l ĩ
marlon	m ɐ ɹ l õ
marlowe	m ɐ ɹ l ow i
marluce	m ɐ ɹ l u s i
marly	m ɐ ɹ w i
marlúcia	m ɐ ɹ l u s i ɐ
marma	m ɐ ɹ m ɐ
marmanjo	m ɐ ʁ m ɐ̃ ʒ u
marmanjos	m ɐ ʁ m ɐ̃ ʒ u s
marmanjão	m ɐ ɹ m ɐ̃ ʒ ɐ̃ ɐ̃w̃
marmelada	m ɐ ʁ m e l ɐ d ɐ
marmelo	m ɐ ʁ m ɛ l u
marmelópolis	m ɐ ɹ m e l o p o l i s
marmita	m ɐ ʁ m i t ɐ
marmitas	m ɐ ʁ m i t ɐ s
marmitex	m ɐ ɹ m i t e k s
marmo	m ɐ ʁ m u
marmota	m ɐ ɹ m o t ɐ
marne	m ɐ ʁ n i
marnotagem	m ɐ ɹ n o t ɐ ʒ ẽ s
marnoteiro	m ɐ ɹ n o t e ɾ ɾ u
marnoto	m ɐ ɹ n o t u
marocas	m ɐ ɾ o k ɐ s
marola	m ɐ ɾ o l ɐ
maromba	m ɐ ɾ õ b ɐ
maroneze	m ɐ ɾ o n e z i
maroni	m ɐ ɾ o n i
maronita	m ɐ ɾ o n i t ɐ
marota	m ɐ ɾ o t ɐ
maroto	m ɐ ɾ o t u
marouço	m ɐ ɾ o s o
marplan	m ɐ ɹ p l ɐ̃
marque	m ɐ ɹ k i
marquei	m ɐ ɹ k ej
marques	m ɐ ɹ k i s
marquesa	m ɐ ɹ k e z ɐ
marquesado	m ɐ ɹ k e z ɐ d u
marquesas	m ɐ ɹ k e z ɐ s
marqueteiro	m ɐ ɹ k e t e ɾ ɾ u
marqueteiros	m ɐ ɹ k e t ej ɾ u s
marquez	m ɐ ɹ k ej s
marquezelli	m ɐ ɹ k e z ew l i
marquinha	m ɐ ɹ k ĩ ɲ ɐ
marquinho	m ɐ ɹ k ĩ ɲ u
marquinhos	m ɐ ɹ k ĩ ɲ u s
marquise	m ɐ ɹ k j z i
marquises	m ɐ ɹ k j z i s
marquês	m ɐ ɹ k u e s
marra	m ɐ ʁ ɐ
marracho	m ɐ ʁ ɐ ʃ o
marrakech	m ɐ ʁ ɐ k e ʃ
marrakesh	m ɐ ʁ ɐ k e ʃ
marrana	m ɐ ʁ ɐ n ɐ
marrano	m ɐ ʁ ɐ n o
marraquexe	m ɐ ʁ ɐ k e ʃ e
marrar	m ɐ ʁ ɐ
marre	m ɐ ʁ e
marreca	m ɐ ʁ e k ɐ
marreco	m ɐ ʁ e k u
marrenta	m ɐ ʁ ẽ t ɐ
marrento	m ɐ ʁ ẽ t o
marreta	m ɐ ʁ e t ɐ
marretada	m ɐ ʁ e t ɐ d ɐ
marretar	m ɐ ʁ e t ɐ
marrete	m ɐ ʁ e t e
marreteiro	m ɐ ʁ e t ej ɾ u
marretinha	m ɐ ʁ e t i ɲ ɐ
marretão	m ɐ ʁ e t ɐ̃ ɐ̃w̃
marrey	m ɐ ʁ e i
marriage	m ɐ ʁ i ɐ ʒ i
marriot	m ɐ ʁ i o t ʃ
marriott	m ɐ ʁ i o t ʃ t ʃ
marroaz	m ɐ ʁ o ɐ ɾ s
marrocos	m ɐ ʁ o k u s
marrom	m ɐ ʁ õ
marron	m ɐ ʁ õ
marrona	m ɐ ʁ o n ɐ
marrons	m ɐ ʁ õ s
marronzinhos	m ɐ ʁ õ z ĩ ɲ u s
marroquina	m ɐ ʁ o k ĩ n ɐ
marroquino	m ɐ ʁ o k ĩ n u
marroquinos	m ɐ ʁ o k ĩ n u s
marruá	m ɐ ʁ u ɐ
marrã	m ɐ ʁ ɐ̃
marrão	m ɐ ʁ ɐ̃ ɐ̃w̃
marrãos	m ɐ ʁ ɐ̃ ɐ̃w̃ s
mars	m ɐ ɹ s
marsalis	m ɐ ɹ s ɐ l i j s
marseille	m ɐ ɹ s ej w l i
marselha	m ɐ ɹ s e ʎ ɐ
marselhês	m ɐ ɹ s e ʎ e ɾ s
marshall	m ɐ ɹ ʃ ɐw w
marshallês	m ɐ ɹ ʃ ɐ l e ɾ s
marshmallow	m ɐ ɹ ʃ i m e l o
marsiglia	m ɐ ɹ s i ɡ l i ɐ
marsupial	m ɐ ɹ s u p i ɐ w
marsuíno	m ɐ ɹ s u ĩ n u
marsúpio	m ɐ ɹ s u p i u
mart	m ɐ ɹ t ʃ
marta	m ɐ ɹ t ɐ
marte	m ɐ ɹ t i
martelada	m ɐ ɹ t e l ɐ d ɐ
marteladas	m ɐ ɹ t e l ɐ d ɐ s
martelando	m ɐ ɹ t e l ɐ̃ d u
martelar	m ɐ ɹ t e l ɐ ɹ
martelo	m ɐ ɹ t ɛ l u
martelos	m ɐ ɹ t e l u s
martha	m ɐ ɹ t ɐ
marthas	m ɐ ɹ t ɐ s
martim	m ɐ ɹ t ʃ ĩ
martin	m ɐ ɹ t ʃ ĩ
martina	m ɐ ɹ t ʃ ĩ n ɐ
martine	m ɐ ɹ t ʃ ĩ n i
martinelli	m ɐ ɹ t ʃ ĩ n ew l i
martines	m ɐ ɹ t ʃ ĩ n i s
martinez	m ɐ ɹ t ʃ ĩ n ej s
martinho	m ɐ ɹ t ʃ ĩ ɲ u
martini	m ɐ ɹ t ʃ ĩ n i
martiniano	m ɐ ɹ t ʃ ĩ n i ɐ̃ n u
martinica	m ɐ ɹ t ʃ ĩ n i k ɐ
martinis	m ɐ ɹ t ʃ ĩ n i j s
martino	m ɐ ɹ t ʃ ĩ n u
martins	m ɐ ɹ t ʃ ĩ s
martinsville	m ɐ ɹ t ʃ ĩ z v iw l i
martinópolis	m ɐ ɹ t i n o p o l i s
martirizar	m ɐ ɹ t ʃ i ɾ i z ɐ ɹ
martirológio	m ɐ ɹ t i ɾ o l o ʒ i u
martius	m ɐ ɹ t ʃ iw s
martolotti	m ɐ ɹ t o l o t ʃ t ʃ i
marton	m ɐ ɹ t õ
marty	m ɐ ɹ t ʃ i
martí	m ɐ ɹ t ʃ i
martín	m ɐ ɹ t ʃ ĩ
martínez	m ɐ ɹ t ʃ i n e s
martírio	m ɐ ɹ t ʃ i ɾ i u
maruca	m ɐ ɾ u k ɐ
marufo	m ɐ ɾ u f o
maruim	m ɐ ɾ u ĩ
marujo	m ɐ ɾ u ʒ u
marulho	m ɐ ɾ u ʎ o
maruí	m ɐ ɾ u i
marva	m ɐ ʁ v ɐ
marvel	m ɐ ʁ v ɛw
marvila	m ɐ ɹ v i l ɐ
marvin	m ɐ ʁ v ĩ
marvão	m ɐ ɹ v ɐ̃ ɐ̃w̃
marwick	m ɐ ɹ w i k k
marx	m ɐ ɹ k s
marxiano	m ɐ ɹ k s i ɐ̃ n u
marxismo	m ɐ ɹ ʃ i z m u
marxista	m ɐ ɹ ʃ i s t ɐ
marxistas	m ɐ ɹ ʃ i s t ɐ s
mary	m ɐ ɹ i
maryland	m ɐ ɹ i l ɐ̃ d ʒ
marylin	m ɐ ɹ i l ĩ
marzagão	m ɐ ʁ z ɐ ɡ ɐ̃w̃
marzanasco	m ɐ ʁ z ɐ n ɐ s k u
marzel	m ɐ ʁ z ɛw
marzinho	m ɐ ɹ z ĩ ɲ u
marzipã	m ɐ ɹ z i p ɐ̃
marzipãs	m ɐ ɹ z i p ɐ̃ s
marzito	m ɐ ɾ z i t o
marzo	m ɐ ʁ z u
mará	m ɐ ɾ ɐ
marão	m ɐ ɾ ɐ̃w̃
marçal	m ɐ ɹ s ɐw
marçano	m ɐ ɹ s ɐ̃ n u
março	m ɐ ɹ s u
maré	m ɐ ɾ ɛ
marés	m ɐ ɾ ɛ s
maría	m ɐ ɾ i ɐ
marília	m ɐ ɾ i l i ɐ
marítima	m ɐ ɾ i t ʃ ĩ m ɐ
marítimas	m ɐ ɾ i t ʃ ĩ m ɐ s
marítimo	m ɐ ɾ i t ʃ ĩ m u
marítimos	m ɐ ɾ i t ʃ ĩ m u s
mas	m ɐj s
masagão	m ɐ z ɐ ɡ ɐ̃w̃
masakayan	m ɐ z ɐ k ɐj ɐ̃
masano	m ɐ z ɐ̃ n u
mascar	m ɐ s k ɐ ɹ
mascara	m ɐ s k ɐ ɾ ɐ
mascarada	m ɐ s k ɐ ɾ ɐ d ɐ
mascarado	m ɐ s k ɐ ɾ ɐ d u
mascarados	m ɐ s k ɐ ɾ ɐ d u s
mascarar	m ɐ s k ɐ ɾ ɐ ɹ
mascarenhas	m ɐ s k ɐ ɾ ẽ ɲ ɐ s
mascaro	m ɐ s k ɐ ɾ u
mascarpone	m ɐ s k ɐ ɹ p õ n i
mascará	m ɐ s k ɐ ɾ ɐ
mascarão	m ɐ s k ɐ ɾ ɐ̃ ɐ̃w̃
mascate	m ɐ s k ɐ t ʃ i
mascatear	m ɐ s k ɐ t e ɐ
mascavado	m ɐ s k ɐ v ɐ d o
mascavar	m ɐ s k ɐ v ɐ
mascavo	m ɐ s k ɐ v u
maschio	m ɐ s ʃ i u
masci	m ɐ s i
mascos	m ɐ s k u s
mascote	m ɐ s k o t ʃ i
masculina	m ɐ s k u l ĩ n ɐ
masculinas	m ɐ s k u l ĩ n ɐ s
masculinidade	m ɐ s k u l ĩ n i d ɐ d ʒ i
masculinismo	m ɐ s k u l i n i z m o
masculinizar	m ɐ s k u l i n i z ɐ
masculinização	m ɐ s k u l i n i z ɐ s ɐ̃ ɐ̃w̃
masculino	m ɐ s k u l ĩ n u
masculinos	m ɐ s k u l ĩ n u s
mashburn	m ɐ ʃ b u ʁ n
masi	m ɐ z i
masina	m ɐ z ĩ n ɐ
masini	m ɐ z ĩ n i
mask	m ɐ s k
masmorra	m ɐ z m o ʁ ɐ
mason	m ɐ z õ
masoquismo	m ɐ z o k j z m u
masoquista	m ɐ z o k j s t ɐ
masp	m ɐ s p
massa	m ɐ s ɐ
massaccesi	m ɐ s ɐ k s e z i
massachusetts	m ɐ s ɐ ʃ u z e t ʃ t ʃ s
massachussets	m ɐ s ɐ ʃ u s e t ʃ s
massacra	m ɐ s ɐ k ɾ ɐ
massacrada	m ɐ s ɐ k ɾ ɐ d ɐ
massacrado	m ɐ s ɐ k ɾ ɐ d u
massacrados	m ɐ s ɐ k ɾ ɐ d u s
massacrante	m ɐ s ɐ k ɾ ɐ̃ t ʃ i
massacrar	m ɐ s ɐ k ɾ ɐ ɹ
massacraram	m ɐ s ɐ k ɾ ɐ ɾ ɐ̃w̃
massacre	m ɐ s ɐ k ɾ i
massacrem	m ɐ s ɐ k ɾ ẽ s
massacres	m ɐ s ɐ k ɾ i s
massacrou	m ɐ s ɐ k ɾ ow
massafera	m ɐ s ɐ f e ɾ ɐ
massagear	m ɐ s ɐ ʒ e ɐ ɹ
massagem	m ɐ s ɐ ʒ ẽj̃
massagens	m ɐ s ɐ ʒ ẽ s
massagista	m ɐ s ɐ ʒ i s t ɐ
massagistas	m ɐ s ɐ ʒ i s t ɐ s
massaini	m ɐ s ɐ ĩ n i
massajar	m ɐ s ɐ ʒ ɐ
massajem	m ɐ s ɐ ʒ ẽ s
massala	m ɐ s ɐ l ɐ
massante	m ɐ s ɐ̃ t e
massao	m ɐ s ɐw
massaranduba	m ɐ s ɐ ɾ ɐ̃ d u b ɐ
massarelos	m ɐ s ɐ ɾ e l o s
massari	m ɐ s ɐ ɾ i
massaro	m ɐ s ɐ ɾ u
massas	m ɐ s ɐ s
masse	m ɐ s e
massi	m ɐ s i
massieu	m ɐ s i ew
massificar	m ɐ s i f i k ɐ ɹ
massificação	m ɐ s i f i k ɐ s ɐ̃w̃
massimo	m ɐ s ĩ m u
massine	m ɐ s ĩ n i
massinha	m ɐ s i ɲ ɐ
massini	m ɐ s ĩ n i
massiva	m ɐ s i v ɐ
massivo	m ɐ s i v u
masson	m ɐ s õ
massudo	m ɐ s u d o
mastectomia	m ɐ s t e k t o m i ɐ
master	m ɐ s t e ɹ
mastercard	m ɐ s t e ɹ k ɐ ʁ d ʒ
masterizar	m ɐ s t e ɾ i z ɐ
masters	m ɐ s t e ɹ s
masterson	m ɐ s t e ɹ s õ
mastigar	m ɐ s t ʃ i ɡ ɐ ɹ
mastigação	m ɐ s t i ɡ ɐ s ɐ̃ ɐ̃w̃
mastim	m ɐ s t ĩ
masto	m ɐ s t o
mastodonte	m ɐ s t o d õ t e
mastografia	m ɐ s t o ɡ ɾ ɐ f i ɐ
mastozoológico	m ɐ s t o z o o l o ʒ i k o
mastreação	m ɐ s t ɾ e ɐ s ɐ̃ ɐ̃w̃
mastrillo	m ɐ s t ɾ iw l u
mastro	m ɐ s t ɾ u
mastrocinque	m ɐ s t ɾ o s ĩ k i
mastroianni	m ɐ s t ɾ oj ɐ̃ n i
mastros	m ɐ s t ɾ u s
masturba	m ɐ s t u ʁ b ɐ
masturbada	m ɐ s t u ɹ b ɐ d ɐ
masturbador	m ɐ s t u ɹ b ɐ d o ɹ
masturbar	m ɐ s t u ʁ b ɐ ɹ
masturbação	m ɐ s t u ʁ b ɐ s ɐ̃w̃
mata	m ɐ t ɐ
matabelelândia	m ɐ t ɐ b e l e l ɐ̃ d i ɐ
matabichar	m ɐ t ɐ b i ʃ ɐ
mataco	m ɐ t ɐ k o
matada	m ɐ t ɐ d ɐ
matado	m ɐ t ɐ d u
matadoiro	m ɐ t ɐ d o ɾ ɾ o
matador	m ɐ t ɐ d o ɹ
matadora	m ɐ t ɐ d o ɾ ɐ
matadores	m ɐ t ɐ d o ɾ i s
matadouro	m ɐ t ɐ d ow ɾ u
matagais	m ɐ t ɐ ɡ ɐ ɾ s
matagal	m ɐ t ɐ ɡ ɐw
matais	m ɐ t ɐ ɾ s
matalon	m ɐ t ɐ l õ
matam	m ɐ t ɐ̃w̃
matamatá	m ɐ t ɐ m ɐ t ɐ
matamos	m ɐ t ɐ m o s
matando	m ɐ t ɐ̃ d u
matança	m ɐ t ɐ̃ s ɐ
matanças	m ɐ t ɐ̃ s ɐ s
matanó	m ɐ t ɐ n ɔ
matar	m ɐ t ɐ ɹ
matara	m ɐ t ɐ ɾ ɐ
mataram	m ɐ t ɐ ɾ ɐ̃w̃
matarazzo	m ɐ t ɐ ɾ ɐ z z u
matarem	m ɐ t ɐ ɾ ẽj̃
mataria	m ɐ t ɐ ɾ i ɐ
matarrese	m ɐ t ɐ ʁ e z i
matarruano	m ɐ t ɐ ʁ u ɐ n o
matará	m ɐ t ɐ ɾ ɐ
matarás	m ɐ t ɐ ɾ ɐ s
matas	m ɐ t ɐ s
matasse	m ɐ t ɐ s i
matava	m ɐ t ɐ v ɐ
matavam	m ɐ t ɐ v ɐ̃w̃
match	m ɐ t ʃ ʃ
matcha	m ɐ t ɐ
matchá	m ɐ t ɐ
mate	m ɐ t ʃ i
matear	m ɐ t e ɐ
matei	m ɐ t ej
matem	m ɐ t ẽj̃
matematicamente	m ɐ t e m ɐ t ʃ i k ɐ m ẽ t ʃ i
matematizar	m ɐ t e m ɐ t i z ɐ
matemática	m ɐ t e m ɐ t ʃ i k ɐ
matemáticas	m ɐ t e m ɐ t ʃ i k ɐ s
matemático	m ɐ t e m ɐ t ʃ i k u
matemáticos	m ɐ t e m ɐ t ʃ i k u s
mateo	m ɐ t e u
mateologia	m ɐ t e o l o ʒ i ɐ
mater	m ɐ t e ɹ
matera	m ɐ t e ɾ ɐ
materiais	m ɐ t e ɾ i ɐj s
material	m ɐ t e ɾ i ɐw
materialidade	m ɐ t e ɾ i ɐ l i d ɐ d ʒ i
materialismo	m ɐ t e ɾ i ɐ l i z m u
materialista	m ɐ t e ɾ i ɐ l i s t ɐ
