muy	m u ʝ
brandenburg	b ɾ a n d e m b u ɾ g
bride	b ɾ i d e
budd	b u d d
buelna	b we l n a
buenamente	b we n a m e n t e
buin	b wi n
burrell	b u r e ʎ
calu	k a l u
camadas	k a m a d a s
camarasa	k a m a ɾ a s a
camejo	k a m e x o
camiroaga	k a m i ɾ o a g a
canary	k a n a ɾ i
carré	k a r e
cavero	k a b e ɾ o
cecile	θ e θ i l e
ceibo	θ ei b o
cerrato	θ e r a t o
cerritos	θ e r i t o s
chayote	t͡ʃ a ʝ o t e
cherie	t͡ʃ e ɾ ʝ e
chesapeake	t͡ʃ e s a p e a k e
clar	k l a ɾ
clever	k l e b e ɾ
cocula	k o k u l a
cocuy	k o k u ʝ
comentadores	k o m e n t a d o ɾ e s
cometio	k o m e t ʝ o
compartirigual	k o m p a ɾ t i ɾ i g wa l
conscripción	k o n s k ɾ i p θ ʝ o n
conscripto	k o n s k ɾ i p t o
contás	k o n t a s
cordobes	k o ɾ d o b e s
cornualles	k o ɾ n wa ʎ e s
corpoelec	k o ɾ p o e l e k
cortala	k o ɾ t a l a
cosplayer	k o s p l a ʝ e ɾ
cosío	k o s i o
coti	k o t i
craigslist	k ɾ ai g s l i s t
crayones	k ɾ a ʝ o n e s
creep	k ɾ e e p
crispin	k ɾ i s p i n
crunchyroll	k ɾ u ɲ t͡ʃ i ɾ o ʎ
cuitláhuac	k wi t l a wa k
cuqui	k u k i
dairy	d ai ɾ i
danes	d a n e s
danish	d a n i s
decilo	d e θ i l o
defenders	d e f e n d e ɾ s
depor	d e p o ɾ
dept	d e p t
desacelerar	d e s a θ e l e ɾ a ɾ
descontrolados	d e s k o n t ɾ o l a d o s
desmilitarización	d e s m i l i t a ɾ i θ a θ ʝ o n
despu	d e s p u
deutschland	d eu t͡ʃ l a n d
dich	d i t͡ʃ
dien	d ʝ e n
dinner	d i n n e ɾ
diplomatura	d i p l o m a t u ɾ a
dize	d i θ e
doctors	d o k t o ɾ s
dread	d ɾ e a d
drunk	d ɾ u n k
dumb	d u m b
dungeons	d u n x e o n s
dunham	d u n a m
ecuacion	e k wa θ ʝ o n
editorialista	e d i t o ɾ ʝ a l i s t a
ejea	e x e a
emputa	e m p u t a
encefalopatía	e n θ e f a l o p a t i a
enoc	e n o k
enterito	e n t e ɾ i t o
envíale	e m b i a l e
estai	e s t ai
estr	e s t ɾ
estructuralismo	e s t ɾ u k t u ɾ a l i s m o
estudi	e s t u d i
euler	eu l e ɾ
exist	e k s i s t
expansionismo	e k s p a n s ʝ o n i s m o
exposure	e k s p o s u ɾ e
extorsionadores	e k s t o ɾ s ʝ o n a d o ɾ e s
fabien	f a b ʝ e n
facua	f a k wa
fala	f a l a
falk	f a l k
fano	f a n o
farber	f a ɾ b e ɾ
farley	f a ɾ l e ʝ
felton	f e l t o n
figo	f i g o
firefly	f i ɾ e f l i
fitosanitarios	f i t o s a n i t a ɾ ʝ o s
flaites	f l ai t e s
fotomontaje	f o t o m o n t a x e
frederik	f ɾ e d e ɾ i k
furry	f u r i
galactica	g a l a k t i k a
gangbang	g a n g b a n g
garavito	g a ɾ a b i t o
garín	g a ɾ i n
geishas	x ei s a s
geller	x e ʎ e ɾ
geneva	x e n e b a
geral	x e ɾ a l
gita	x i t a
gleason	g l e a s o n
goals	g o a l s
goldie	g o l d ʝ e
golpecito	g o l p e θ i t o
gos	g o s
gramatica	g ɾ a m a t i k a
gremialistas	g ɾ e m ʝ a l i s t a s
guadalupana	g wa d a l u p a n a
guasave	g wa s a b e
guayaquileño	g wa ʝ a k i l e ɲ o
gum	g u m
hayao	a ʝ a o
hayashi	a ʝ a s i
hechado	e t͡ʃ a d o
heraclio	e ɾ a k l ʝ o
hinchable	i ɲ t͡ʃ a b l e
hizó	i θ o
hsu	s u
huergo	we ɾ g o
huichol	wi t͡ʃ o l
hungry	u n g ɾ i
hurst	u ɾ s t
hutu	u t u
idiosincracia	i d ʝ o s i n k ɾ a θ ʝ a
ids	i d s
igualitos	i g wa l i t o s
imelda	i m e l d a
imm	i m m
inch	i ɲ t͡ʃ
incorporated	i n k o ɾ p o ɾ a t e d
infraganti	i m f ɾ a g a n t i
insert	i n s e ɾ t
inutilizable	i n u t i l i θ a b l e
invernalia	i m b e ɾ n a l ʝ a
ista	i s t a
ithaca	i t a k a
janos	x a n o s
jardim	x a ɾ d i m
jauretche	x au ɾ e t͡ʃ e
jimmie	x i m m ʝ e
josue	x o s we
játiva	x a t i b a
jérôme	x e ɾ o m e
karité	k a ɾ i t e
karts	k a ɾ t s
kieren	k ʝ e ɾ e n
kiribati	k i ɾ i b a t i
kite	k i t e
koji	k o x i
kristoff	k ɾ i s t o f
kínder	k i n d e ɾ
lash	l a s
lav	l a b
laval	l a b a l
lawton	l au t o n
learned	l e a ɾ n e d
leloir	l e l oi ɾ
liars	l ʝ a ɾ s
linyera	l i ɲ ʝ e ɾ a
lk	l k
lousteau	l ou s t e au
luqueño	l u k e ɲ o
maclean	m a k l e a n
macon	m a k o n
madrecita	m a d ɾ e θ i t a
magicos	m a x i k o s
maha	m a a
majin	m a x i n
makers	m a k e ɾ s
malasaña	m a l a s a ɲ a
malito	m a l i t o
malleco	m a ʎ e k o
mamertos	m a m e ɾ t o s
mansour	m a n s ou ɾ
mantenia	m a n t e n ʝ a
maqueda	m a k e d a
maravedís	m a ɾ a b e d i s
marlo	m a ɾ l o
marne	m a ɾ n e
matheson	m a t e s o n
matienzo	m a t ʝ e n θ o
maître	m ai t ɾ e
mey	m e ʝ
mierdero	m ʝ e ɾ d e ɾ o
mileto	m i l e t o
minimal	m i n i m a l
minimalistas	m i n i m a l i s t a s
mishima	m i s i m a
misoprostol	m i s o p ɾ o s t o l
mist	m i s t
miu	m ʝ u
modest	m o d e s t
mongola	m o n g o l a
montague	m o n t a g e
monterroso	m o n t e r o s o
mú	m u
nae	n a e
naguanagua	n a g wa n a g wa
navalcarnero	n a b a l k a ɾ n e ɾ o
necrofilia	n e k ɾ o f i l ʝ a
negacionismo	n e g a θ ʝ o n i s m o
neuman	n eu m a n
neutrófilos	n eu t ɾ o f i l o s
nikolay	n i k o l a ʝ
nucleótidos	n u k l e o t i d o s
nuesta	n we s t a
nugent	n u x e n t
oberá	o b e ɾ a
ocn	o k n
ondulante	o n d u l a n t e
operations	o p e ɾ a t ʝ o n s
orsay	o ɾ s a ʝ
osu	o s u
ouro	ou ɾ o
paley	p a l e ʝ
parasitos	p a ɾ a s i t o s
patterns	p a t e ɾ n s
pavlovich	p a b l o b i t͡ʃ
peacock	p e a k o k
peder	p e d e ɾ
pesao	p e s a o
pescadito	p e s k a d i t o
petroquímico	p e t ɾ o k i m i k o
pineal	p i n e a l
piquito	p i k i t o
pitbulls	p i t b u ʎ s
pitcheo	p i t͡ʃ e o
pms	p e m e s
poke	p o k e
polifacética	p o l i f a θ e t i k a
polina	p o l i n a
porton	p o ɾ t o n
posi	p o s i
prairie	p ɾ ai ɾ ʝ e
preguntita	p ɾ e g u n t i t a
prejuiciosa	p ɾ e x wi θ ʝ o s a
programme	p ɾ o g ɾ a m m e
prontito	p ɾ o n t i t o
psicologos	p s i k o l o g o s
punjabi	p u n x a b i
puntuable	p u n t wa b l e
puntuacion	p u n t wa θ ʝ o n
putiza	p u t i θ a
quedense	k e d e n s e
rac	r a k
radamel	r a d a m e l
radiotelevisión	r a d ʝ o t e l e b i s ʝ o n
rahim	r ai m
randi	r a n d i
ransomware	r a n s o m wa ɾ e
readers	r e a d e ɾ s
recicladores	r e θ i k l a d o ɾ e s
redonditos	r e d o n d i t o s
reevaluar	r e e b a l wa ɾ
regino	r e x i n o
reuter	r eu t e ɾ
reñaca	r e ɲ a k a
ribagorza	r i b a g o ɾ θ a
rigoberta	r i g o b e ɾ t a
rok	r o k
rolland	r o ʎ a n d
rompecorazones	r o m p e k o ɾ a θ o n e s
rookie	r o o k ʝ e
rovers	r o b e ɾ s
rti	ɾ t i
rude	r u d e
runway	r u n wa ʝ
ryzen	r i θ e n
réflex	r e f l e k s
sabas	s a b a s
sacale	s a k a l e
sacred	s a k ɾ e d
sanctorum	s a n k t o ɾ u m
sardá	s a ɾ d a
sarín	s a ɾ i n
scholar	s t͡ʃ o l a ɾ
sebastiana	s e b a s t ʝ a n a
semidioses	s e m i d ʝ o s e s
sender	s e n d e ɾ
shades	s a d e s
shelter	s e l t e ɾ
shia	s ʝ a
sian	s ʝ a n
silesia	s i l e s ʝ a
simil	s i m i l
simultaneamente	s i m u l t a n e a m e n t e
smartmatic	s m a ɾ t m a t i k
sobreseído	s o b ɾ e s ei d o
sociópata	s o θ ʝ o p a t a
sokolov	s o k o l o b
spartak	s p a ɾ t a k
spero	s p e ɾ o
stans	s t a n s
stepan	s t e p a n
striker	s t ɾ i k e ɾ
subcampeonato	s u b k a m p e o n a t o
superdotados	s u p e ɾ d o t a d o s
suteba	s u t e b a
tachira	t a t͡ʃ i ɾ a
tactica	t a k t i k a
talves	t a l b e s
tatuarse	t a t wa ɾ s e
tba	t b a
telonero	t e l o n e ɾ o
terrae	t e r a e
tintin	t i n t i n
tirant	t i ɾ a n t
todabia	t o d a b ʝ a
toefl	t o e f l
toilette	t oi l e t t e
tonio	t o n ʝ o
tontita	t o n t i t a
tradition	t ɾ a d i t ʝ o n
transnistria	t ɾ a n s n i s t ɾ ʝ a
troglodita	t ɾ o g l o d i t a
tule	t u l e
uhf	u f
unita	u n i t a
unu	u n u
ureta	u ɾ e t a
ventrales	b e n t ɾ a l e s
veranito	b e ɾ a n i t o
viejecita	b ʝ e x e θ i t a
vik	b i k
villarrobledo	b i ʎ a r o b l e d o
villaseca	b i ʎ a s e k a
vincennes	b i n θ e n n e s
visítanos	b i s i t a n o s
vitale	b i t a l e
viterbo	b i t e ɾ b o
vittoria	b i t t o ɾ ʝ a
vuh	b u
vy	b i
wald	wa l d
wealth	we a l t
weba	we b a
wechat	we t͡ʃ a t
whitehall	wi t e a ʎ
xian	k s ʝ a n
yakovlev	ʝ a k o b l e b
yergue	ʝ e ɾ g e
ysi	i s i
yura	ʝ u ɾ a
yépez	ʝ e p e θ
zaz	θ a θ
zuliana	θ u l ʝ a n a
érika	e ɾ i k a
études	e t u d e s
abdón	a b d o n
abya	a b ʝ a
ach	a t͡ʃ
actuo	a k t wo
adal	a d a l
adecco	a d e k k o
adnan	a d n a n
advisory	a d b i s o ɾ i
afd	a f d
agena	a x e n a
agramonte	a g ɾ a m o n t e
alatriste	a l a t ɾ i s t e
aleix	a l ei k s
andresito	a n d ɾ e s i t o
antonini	a n t o n i n i
apoquindo	a p o k i n d o
aravena	a ɾ a b e n a
archivística	a ɾ t͡ʃ i b i s t i k a
arizmendi	a ɾ i θ m e n d i
armor	a ɾ m o ɾ
arrechos	a r e t͡ʃ o s
artilleria	a ɾ t i ʎ e ɾ ʝ a
atucha	a t u t͡ʃ a
autoconciencia	au t o k o n θ ʝ e n θ ʝ a
autoengaño	au t o e n g a ɲ o
autre	au t ɾ e
awada	a wa d a
badger	b a d x e ɾ
bafta	b a f t a
bajitos	b a x i t o s
belalcázar	b e l a l k a θ a ɾ
benin	b e n i n
bere	b e ɾ e
bidet	b i d e t
bilderberg	b i l d e ɾ b e ɾ g
billon	b i ʎ o n
bistro	b i s t ɾ o
bizarre	b i θ a r e
blackstone	b l a k s t o n e
blend	b l e n d
boicots	b oi k o t s
bollitos	b o ʎ i t o s
bombita	b o m b i t a
boomers	b o o m e ɾ s
borromeo	b o r o m e o
boxeadora	b o k s e a d o ɾ a
brc	b ɾ k
bresson	b ɾ e s o n
britos	b ɾ i t o s
brunei	b ɾ u n ei
cabronazo	k a b ɾ o n a θ o
cado	k a d o
cagandose	k a g a n d o s e
callense	k a ʎ e n s e
cambur	k a m b u ɾ
caquita	k a k i t a
carito	k a ɾ i t o
carmencita	k a ɾ m e n θ i t a
carpet	k a ɾ p e t
catán	k a t a n
cedillo	θ e d i ʎ o
celio	θ e l ʝ o
chae	t͡ʃ a e
chapelle	t͡ʃ a p e ʎ e
cheat	t͡ʃ e a t
chiesa	t͡ʃ ʝ e s a
chingao	t͡ʃ i n g a o
chloé	t͡ʃ l o e
chup	t͡ʃ u p
cientificas	θ ʝ e n t i f i k a s
cinnamon	θ i n n a m o n
claudel	k l au d e l
clusters	k l u s t e ɾ s
colibríes	k o l i b ɾ i e s
comal	k o m a l
comunicate	k o m u n i k a t e
corderito	k o ɾ d e ɾ i t o
corrigan	k o r i g a n
cousins	k ou s i n s
crichton	k ɾ i t͡ʃ t o n
cumpleañera	k u m p l e a ɲ e ɾ a
cus	k u s
côte	k o t e
dalek	d a l e k
danton	d a n t o n
daro	d a ɾ o
davao	d a b a o
demonización	d e m o n i θ a θ ʝ o n
desestabilizador	d e s e s t a b i l i θ a d o ɾ
diab	d ʝ a b
doroteo	d o ɾ o t e o
dotor	d o t o ɾ
dreamworks	d ɾ e a m wo ɾ k s
duvalier	d u b a l ʝ e ɾ
ean	e a n
edic	e d i k
ejercerse	e x e ɾ θ e ɾ s e
encabronado	e n k a b ɾ o n a d o
enfants	e m f a n t s
entreguerras	e n t ɾ e g e r a s
env	e m b
escapismo	e s k a p i s m o
espinel	e s p i n e l
estandares	e s t a n d a ɾ e s
estilismo	e s t i l i s m o
ests	e s t s
etno	e t n o
evaluation	e b a l wa t ʝ o n
excellent	e k s θ e ʎ e n t
exodo	e k s o d o
fabri	f a b ɾ i
farhad	f a ɾ a d
farkas	f a ɾ k a s
faría	f a ɾ i a
feli	f e l i
ferdinando	f e ɾ d i n a n d o
figueiredo	f i g ei ɾ e d o
finley	f i n l e ʝ
flames	f l a m e s
focalización	f o k a l i θ a θ ʝ o n
formation	f o ɾ m a t ʝ o n
fortes	f o ɾ t e s
fuad	f wa d
fukuoka	f u k wo k a
fungicidas	f u n x i θ i d a s
gaines	g ai n e s
gamal	g a m a l
garcho	g a ɾ t͡ʃ o
garissa	g a ɾ i s a
garnett	g a ɾ n e t
garrahan	g a r a a n
gerda	x e ɾ d a
ghazi	g a θ i
ghoul	g ou l
gils	x i l s
giorno	x ʝ o ɾ n o
gironella	x i ɾ o n e ʎ a
glitch	g l i t͡ʃ
gordiano	g o ɾ d ʝ a n o
govierno	g o b ʝ e ɾ n o
graeme	g ɾ a e m e
graff	g ɾ a f
habil	a b i l
haji	a x i
hernandarias	e ɾ n a n d a ɾ ʝ a s
hidrante	i d ɾ a n t e
highlander	i g l a n d e ɾ
hoa	o a
holaa	o l a a
huajuapan	wa x wa p a n
huamantla	wa m a n t l a
huesitos	we s i t o s
hummel	u m m e l
hungria	u n g ɾ ʝ a
hétero	e t e ɾ o
iis	i i s
ilegalizado	i l e g a l i θ a d o
ille	i ʎ e
ilustracion	i l u s t ɾ a θ ʝ o n
imitacion	i m i t a θ ʝ o n
impo	i m p o
inadi	i n a d i
inger	i n x e ɾ
ingmar	i n g m a ɾ
inmolarse	i m m o l a ɾ s e
inmunológica	i m m u n o l o x i k a
innsbruck	i n n s b ɾ u k
interferón	i n t e ɾ f e ɾ o n
interregional	i n t e r e x ʝ o n a l
intr	i n t ɾ
ipl	i p l
irian	i ɾ ʝ a n
irrestricta	i r e s t ɾ i k t a
isabelita	i s a b e l i t a
iveco	i b e k o
izumi	i θ u m i
jaivas	x ai b a s
jakub	x a k u b
jalapeño	x a l a p e ɲ o
japos	x a p o s
jauregui	x au ɾ e g i
jeanine	x e a n i n e
jeter	x e t e ɾ
johor	x o o ɾ
jons	x o n s
jourdan	x ou ɾ d a n
jugás	x u g a s
juntillas	x u n t i ʎ a s
kalashnikov	k a l a s n i k o b
kampala	k a m p a l a
kasparov	k a s p a ɾ o b
kenzo	k e n θ o
kichwa	k i t͡ʃ wa
kilates	k i l a t e s
kilian	k i l ʝ a n
kimchi	k i m t͡ʃ i
knockout	k n o k k ou t
koldo	k o l d o
konoha	k o n o a
kowalski	k o wa l s k i
kul	k u l
laferte	l a f e ɾ t e
languedoc	l a n g e d o k
lanuza	l a n u θ a
larache	l a ɾ a t͡ʃ e
larisa	l a ɾ i s a
lautrec	l au t ɾ e k
lavoe	l a b o e
lesmes	l e s m e s
levitar	l e b i t a ɾ
lez	l e θ
llamá	ʎ a m a
llevais	ʎ e b ai s
lorito	l o ɾ i t o
luang	l wa n g
luli	l u l i
madrazos	m a d ɾ a θ o s
mahou	m a ou
maloney	m a l o n e ʝ
mandolina	m a n d o l i n a
maracuyá	m a ɾ a k u ʝ a
marias	m a ɾ ʝ a s
maritima	m a ɾ i t i m a
maximilian	m a k s i m i l ʝ a n
meister	m ei s t e ɾ
menezes	m e n e θ e s
meridian	m e ɾ i d ʝ a n
merval	m e ɾ b a l
messier	m e s ʝ e ɾ
metroid	m e t ɾ oi d
mogo	m o g o
mogolicos	m o g o l i k o s
molano	m o l a n o
monzó	m o n θ o
muralistas	m u ɾ a l i s t a s
murrieta	m u r ʝ e t a
muscat	m u s k a t
món	m o n
nadies	n a d ʝ e s
nag	n a g
nakajima	n a k a x i m a
nataly	n a t a l i
ner	n e ɾ
nii	n i i
nika	n i k a
noch	n o t͡ʃ
nocion	n o θ ʝ o n
noodles	n o o d l e s
notícias	n o t i θ ʝ a s
nuova	n wo b a
nélida	n e l i d a
obstructiva	o b s t ɾ u k t i b a
oja	o x a
oldman	o l d m a n
oligopolios	o l i g o p o l ʝ o s
ondo	o n d o
otomíes	o t o m i e s
otranto	o t ɾ a n t o
oxímoron	o k s i m o ɾ o n
pagaria	p a g a ɾ ʝ a
palazuelos	p a l a θ we l o s
pangea	p a n x e a
paquistaníes	p a k i s t a n i e s
paracaidas	p a ɾ a k ai d a s
parqueadero	p a ɾ k e a d e ɾ o
patan	p a t a n
periscope	p e ɾ i s k o p e
permea	p e ɾ m e a
pewdiepie	p eu d ʝ e p ʝ e
piaf	p ʝ a f
pirado	p i ɾ a d o
pisagua	p i s a g wa
pivot	p i b o t
pobrecillo	p o b ɾ e θ i ʎ o
poesias	p o e s ʝ a s
pogba	p o g b a
polaris	p o l a ɾ i s
politburó	p o l i t b u ɾ o
ponciano	p o n θ ʝ a n o
pondran	p o n d ɾ a n
porfis	p o ɾ f i s
postmoderna	p o s t m o d e ɾ n a
preguntandome	p ɾ e g u n t a n d o m e
prestacion	p ɾ e s t a θ ʝ o n
prevention	p ɾ e b e n t ʝ o n
prin	p ɾ i n
prob	p ɾ o b
prost	p ɾ o s t
psicoanalítico	p s i k o a n a l i t i k o
píxel	p i k s e l
queno	k e n o
queque	k e k e
quiteña	k i t e ɲ a
raccoon	r a k k o o n
ralston	r a l s t o n
rau	r au
razonabilidad	r a θ o n a b i l i d a d
recorde	r e k o ɾ d e
reeleccion	r e e l e k θ ʝ o n
refinanciar	r e f i n a n θ ʝ a ɾ
refran	r e f ɾ a n
regimenes	r e x i m e n e s
reginaldo	r e x i n a l d o
relation	r e l a t ʝ o n
relativizar	r e l a t i b i θ a ɾ
rendi	r e n d i
respóndeme	r e s p o n d e m e
reu	r eu
rines	r i n e s
riordan	r ʝ o ɾ d a n
rishi	r i s i
rocamora	r o k a m o ɾ a
rooms	r o o m s
rosero	r o s e ɾ o
rossy	r o s i
sacco	s a k k o
salsita	s a l s i t a
sandberg	s a n d b e ɾ g
sander	s a n d e ɾ
seb	s e b
selection	s e l e k t ʝ o n
sentiria	s e n t i ɾ ʝ a
settings	s e t i n g s
shabat	s a b a t
sher	s e ɾ
sich	s i t͡ʃ
siero	s ʝ e ɾ o
sigh	s i g
sinusal	s i n u s a l
skoda	s k o d a
skopje	s k o p x e
sobrevoló	s o b ɾ e b o l o
sociopolíticas	s o θ ʝ o p o l i t i k a s
soil	s oi l
spec	s p e k
specific	s p e θ i f i k
srpska	s ɾ p s k a
stegen	s t e x e n
strategies	s t ɾ a t e x ʝ e s
subtexto	s u b t e k s t o
sucumbíos	s u k u m b i o s
suits	s wi t s
superheroína	s u p e ɾ e ɾ oi n a
suroriental	s u ɾ o ɾ ʝ e n t a l
sutter	s u t t e ɾ
sáinz	s ai n θ
tacvba	t a k b b a
tada	t a d a
talamanca	t a l a m a n k a
tanja	t a n x a
tarahumaras	t a ɾ au m a ɾ a s
telemedicina	t e l e m e d i θ i n a
tercermundistas	t e ɾ θ e ɾ m u n d i s t a s
terracería	t e r a θ e ɾ i a
tide	t i d e
tiff	t i f
tilcara	t i l k a ɾ a
titere	t i t e ɾ e
towards	t o wa ɾ d s
traditional	t ɾ a d i t ʝ o n a l
tragaperras	t ɾ a g a p e r a s
traité	t ɾ ai t e
transmedia	t ɾ a n s m e d ʝ a
trasnacional	t ɾ a s n a θ ʝ o n a l
triatletas	t ɾ ʝ a t l e t a s
triunfalismo	t ɾ ʝ u m f a l i s m o
tucci	t u k θ i
turistica	t u ɾ i s t i k a
tírate	t i ɾ a t e
ubeda	u b e d a
uda	u d a
ug	u g
ukraine	u k ɾ ai n e
uníos	u n i o s
vasitos	b a s i t o s
vernet	b e ɾ n e t
viceministros	b i θ e m i n i s t ɾ o s
vicuñas	b i k u ɲ a s
videito	b i d ei t o
villada	b i ʎ a d a
viriato	b i ɾ ʝ a t o
volaris	b o l a ɾ i s
vukovar	b u k o b a ɾ
vérselas	b e ɾ s e l a s
warnes	wa ɾ n e s
waterhouse	wa t e ɾ ou s e
welt	we l t
wicca	wi k k a
wizards	wi θ a ɾ d s
xlix	k s l i k s
yacuiba	ʝ a k wi b a
yamazaki	ʝ a m a θ a k i
yano	ʝ a n o
yare	ʝ a ɾ e
yoyo	ʝ o ʝ o
yui	ʝ wi
zapatas	θ a p a t a s
zegers	θ e x e ɾ s
zulueta	θ u l we t a
zumárraga	θ u m a r a g a
ábalos	a b a l o s
abm	a b m
abou	a b ou
abris	a b ɾ i s
abul	a b u l
adil	a d i l
adquisicion	a d k i s i θ ʝ o n
aduanales	a d wa n a l e s
agadir	a g a d i ɾ
agata	a g a t a
agonia	a g o n ʝ a
airpods	ai ɾ p o d s
aita	ai t a
alarcos	a l a ɾ k o s
albumes	a l b u m e s
albéniz	a l b e n i θ
alchemist	a l t͡ʃ e m i s t
aldrin	a l d ɾ i n
aleksander	a l e k s a n d e ɾ
alphabet	a l f a b e t
amalfi	a m a l f i
amiotrófica	a m ʝ o t ɾ o f i k a
anais	a n ai s
anar	a n a ɾ
anel	a n e l
angeli	a n x e l i
apologética	a p o l o x e t i k a
arsat	a ɾ s a t
astray	a s t ɾ a ʝ
augsburgo	au g s b u ɾ g o
aurinegro	au ɾ i n e g ɾ o
auspiciadores	au s p i θ ʝ a d o ɾ e s
aveo	a b e o
añez	a ɲ e θ
babosadas	b a b o s a d a s
bandana	b a n d a n a
bands	b a n d s
barcelonista	b a ɾ θ e l o n i s t a
bertrán	b e ɾ t ɾ a n
bibliografia	b i b l ʝ o g ɾ a f ʝ a
bil	b i l
biométrica	b ʝ o m e t ɾ i k a
biz	b i θ
blaugrana	b l au g ɾ a n a
blica	b l i k a
boccaccio	b o k k a k θ ʝ o
bojack	b o x a k
boyero	b o ʝ e ɾ o
brienne	b ɾ ʝ e n n e
cadenita	k a d e n i t a
cahiers	k a ʝ e ɾ s
calcaterra	k a l k a t e r a
calido	k a l i d o
callum	k a ʎ u m
campari	k a m p a ɾ i
canchita	k a ɲ t͡ʃ i t a
capac	k a p a k
capello	k a p e ʎ o
carney	k a ɾ n e ʝ
carora	k a ɾ o ɾ a
casanello	k a s a n e ʎ o
castellani	k a s t e ʎ a n i
caster	k a s t e ɾ
castrillón	k a s t ɾ i ʎ o n
catrina	k a t ɾ i n a
caucus	k au k u s
centralmente	θ e n t ɾ a l m e n t e
cerf	θ e ɾ f
chair	t͡ʃ ai ɾ
chihuahuense	t͡ʃ i wa we n s e
chimalhuacán	t͡ʃ i m a l wa k a n
chirino	t͡ʃ i ɾ i n o
cim	θ i m
classics	k l a s i k s
clorinda	k l o ɾ i n d a
closer	k l o s e ɾ
coapa	k o a p a
cojes	k o x e s
concordantes	k o n k o ɾ d a n t e s
contraloria	k o n t ɾ a l o ɾ ʝ a
contínuamente	k o n t i n wa m e n t e
copeland	k o p e l a n d
copropiedad	k o p ɾ o p ʝ e d a d
cops	k o p s
coromoto	k o ɾ o m o t o
corozal	k o ɾ o θ a l
coulter	k ou l t e ɾ
cremita	k ɾ e m i t a
crest	k ɾ e s t
crews	k ɾ eu s
cries	k ɾ ʝ e s
cripto	k ɾ i p t o
criss	k ɾ i s
curricula	k u r i k u l a
córtex	k o ɾ t e k s
dachau	d a t͡ʃ au
daemon	d a e m o n
dandome	d a n d o m e
darien	d a ɾ ʝ e n
daya	d a ʝ a
deer	d e e ɾ
deezer	d e e θ e ɾ
defendia	d e f e n d ʝ a
dhs	d e s
diogo	d ʝ o g o
dive	d i b e
diversity	d i b e ɾ s i t i
doss	d o s
drogba	d ɾ o g b a
durero	d u ɾ e ɾ o
déme	d e m e
ebc	e b k
ebenezer	e b e n e θ e ɾ
ega	e g a
emb	e m b
embotellamientos	e m b o t e ʎ a m ʝ e n t o s
enap	e n a p
ensima	e n s i m a
epoc	e p o k
equipaciones	e k i p a θ ʝ o n e s
ert	e ɾ t
escaner	e s k a n e ɾ
espírito	e s p i ɾ i t o
esquís	e s k i s
essay	e s a ʝ
eugen	eu x e n
evasion	e b a s ʝ o n
evelio	e b e l ʝ o
everardo	e b e ɾ a ɾ d o
excma	e k s k m a
exhibition	e k s i b i t ʝ o n
exije	e k s i x e
exministros	e k s m i n i s t ɾ o s
fabiano	f a b ʝ a n o
faca	f a k a
failure	f ai l u ɾ e
fedra	f e d ɾ a
fingers	f i n x e ɾ s
fixed	f i k s e d
focaliza	f o k a l i θ a
forzadamente	f o ɾ θ a d a m e n t e
fourth	f ou ɾ t
frs	f ɾ e s
fuistes	f wi s t e s
funko	f u n k o
gab	g a b
galen	g a l e n
galíndez	g a l i n d e θ
gero	x e ɾ o
gestual	x e s t wa l
geta	x e t a
gilligan	x i ʎ i g a n
ginza	x i n θ a
gokú	g o k u
golding	g o l d i n g
graficar	g ɾ a f i k a ɾ
grandísimos	g ɾ a n d i s i m o s
grax	g ɾ a k s
gritarlo	g ɾ i t a ɾ l o
gruñendo	g ɾ u ɲ e n d o
guaido	g wai d o
guantanamo	g wa n t a n a m o
guayama	g wa ʝ a m a
guizhou	g i θ ou
générale	x e n e ɾ a l e
haig	ai g
halcon	a l k o n
handle	a n d l e
hangout	a n g ou t
haroldo	a ɾ o l d o
hatchback	a t͡ʃ b a k
haus	au s
hellín	e ʎ i n
herat	e ɾ a t
highlands	i g l a n d s
historicista	i s t o ɾ i θ i s t a
hobart	o b a ɾ t
hoop	o o p
huevitos	we b i t o s
humeantes	u m e a n t e s
hutch	u t͡ʃ
iess	ʝ e s
immigration	i m m i g ɾ a t ʝ o n
incredible	i n k ɾ e d i b l e
indus	i n d u s
infantilismo	i m f a n t i l i s m o
intelligent	i n t e ʎ i x e n t
intracelular	i n t ɾ a θ e l u l a ɾ
ipiales	i p ʝ a l e s
ipo	i p o
ishii	i s i i
iy	i ʝ
jerónimos	x e ɾ o n i m o s
jugársela	x u g a ɾ s e l a
kamen	k a m e n
kandinsky	k a n d i n s k i
krebs	k ɾ e b s
kárate	k a ɾ a t e
laburantes	l a b u ɾ a n t e s
lacandona	l a k a n d o n a
leida	l ei d a
lips	l i p s
lizana	l i θ a n a
llamalo	ʎ a m a l o
lobbys	l o b b i s
logs	l o g s
lévi	l e b i
macarra	m a k a r a
macgregor	m a k g ɾ e g o ɾ
maj	m a x
manzo	m a n θ o
maquinitas	m a k i n i t a s
marianna	m a ɾ ʝ a n n a
maricruz	m a ɾ i k ɾ u θ
matlab	m a t l a b
mavericks	m a b e ɾ i k s
mayotte	m a ʝ o t t e
mcmahon	m k m a o n
megaproyectos	m e g a p ɾ o ʝ e k t o s
mejico	m e x i k o
menendez	m e n e n d e θ
merc	m e ɾ k
