حتى	ħ a t aː
سدرة	s a d a r a
سقي	s a q i j j
سلول	s a l uː l
سمعناه	s a m a ʕ n aː h
سنعلن	s a n ʕ a l a n
شانا	ʃ aː n aː
شخصت	ʃ a x sˤ a t
شقيقين	ʃ a q iː q iː n
شقين	ʃ a q iː n
شمله	ʃ a m l a h
صافرات	sˤ aː f i r aː t
صحتنا	sˤ a ħ t a n aː
صدت	sˤ a d a t a
صدقك	sˤ a d q a k a
صفته	sˤ a f t a h
ضائعا	dˤ aː ʔ i ʕ a n
ضارا	dˤ aː r aː
ضاري	dˤ aː r i j j
طبيعه	tˤ a b iː ʕ a h
طفولية	tˤ a f uː l i j j a
طوروا	tˤ a w r a w aː
طولية	tˤ a w l i j j a
ظنهم	ðˤ a n h a m
عجيبا	ʕ a d͡ʒ iː b a n
عديل	ʕ a d iː l
عرابة	ʕ a r aː b a
عريب	ʕ a r iː b
عقباه	ʕ a q b aː h
عمودا	ʕ a m uː d aː
عناوينها	ʕ a n aː w iː n h aː
عندة	ʕ a n d a
عنواني	ʕ a n a w aː n i j j
غدي	ɣ a d i j j
غوا	ɣ a w aː
فأتاه	f a ʔ t aː h
فأخذه	f a ʔ x a ð a h
فاختار	f aː x t aː r
فاضلا	f aː dˤ i l a n
فبذلك	f a b ð a l a k
فرساي	f a r s aː j
فروض	f a r uː dˤ
فروعه	f a r uː ʕ a h
فريقان	f a r iː q aː n
فكرى	f a k r aː
فليكر	f a l iː k a r
قاذف	q aː ð a f a
قاهرة	q aː h i r a
قلصت	q a l a sˤ a t
قويت	q a w iː t
كثيفا	k a θ iː f aː
كريمي	k a r iː m i j j
كوربين	k oː r b iː n
كولبي	k uː l a b i j j
كومو	k uː m uː
كيفان	k iː f aː n
كينا	k iː n aː
لازلو	l aː z a l uː
لاستدعاء	l aː s t i d ʕ aː ʔ
لايحب	l aː j a ħ a b a
لتيار	l i t j aː r
لخلل	l a x l a l
لداء	l a d aː ʔ
لعنت	l a ʕ a n t
لقص	l a q a sˤ a
للآراء	l a l ʔ aː r aː ʔ
للتجنيد	l a l t a d͡ʒ n iː d
للتحريض	l a l t a ħ r iː dˤ
للجناح	l a l d͡ʒ a n aː ħ
للطرد	l a l tˤ a r a d
للظلام	l a l ðˤ a l aː m
للقدر	l a l q a d a r
للمطر	l a l m a tˤ a r
للنخبة	l a l a n x a b a
لهجرة	l a h d͡ʒ a r a
لوالديك	l a w aː l d iː k
لوبين	l uː b iː n
لودي	l a w d i j j
ليسوع	l a j s uː ʕ
مابوتو	m aː b uː t uː
ماجاء	m aː d͡ʒ aː ʔ
مادتي	m aː d i t i j j
ماشيين	m aː ʃ i j iː n
متعاطف	m u t a ʕ aː tˤ i f
متعاونين	m u t a ʕ aː w a n iː n
متنفس	m u t a n a f f i s
محاكي	m a ħ aː k i j j
مخزوم	m a x z uː m
مراعي	m a r aː ʕ i j j
مربكة	m a r b a k a
مرساة	m a r s aː h
مستغربين	m u s t a ɣ r a b iː n
مسحه	m a s ħ a h
مسيرتك	m u s iː r t a k
مطلقي	m a tˤ l a q i j j
معركتهم	m u ʕ r a k t a h a m
معيبة	m a ʕ iː b a
مقاومه	m a q aː w a m a h
مكاي	m a k aː j
مكدسة	m a k d a s a
مكعبة	m a k ʕ a b a
ملغم	m a l ɣ a m
ملين	m a l iː n
مملوكا	m a m l uː k aː
منعدم	m u n ʕ a d d a m
نتغير	n a t ɣ iː r
نشبه	n a ʃ b a h
نظيرا	n a ðˤ iː r aː
نعسان	n a ʕ s aː n
نماء	n a m aː ʔ
نميري	n a m iː r i j j
نها	n a h aː
نوعيا	n a w ʕ i j j aː
نوعيه	n a w ʕ iː h
هالبلد	h aː l b a l a d
هسه	h a s a h a
هنرى	h a n r aː
هيلو	h a j l uː
وأبوك	w a ʔ b uː k
وأحاسيس	w a ʔ ħ aː s iː s
وأرحل	w a ʔ r a ħ a l a
واجبك	w aː d͡ʒ i b i k
وافدة	w aː f i d a
والأمومة	w aː l ʔ a m uː m a
والاتجاهات	w aː l aː t i d͡ʒ aː h aː t
والتابعة	w aː l t aː b i ʕ a
والجوز	w aː l d͡ʒ uː z
والضياع	w aː l dˤ i j aː ʕ
والمفقودين	w a l m a f q uː d iː n
وامتيازات	w aː m i t j aː z aː t
وبراءة	w a b r aː ʔ a
وبرمجة	w a b r a m d͡ʒ a
وتجعلك	w a t d͡ʒ a ʕ l a k
وتمشي	w a t a m ʃ i j j
وجداني	w a d͡ʒ d aː n i j j
وجزاك	w a d͡ʒ z aː k
وحزام	w a ħ z aː m
وحمامات	w a ħ m aː m aː t
وخريطة	w a x r iː tˤ a
ودوما	w a d uː m aː
ورخيصة	w a r x iː sˤ a
ورضي	w a r dˤ i j j
ورضيت	w a r dˤ iː t
وشريط	w a ʃ r iː tˤ
وشعبان	w a ʃ ʕ a b aː n
وشعبة	w a ʃ ʕ a b a
وشهرة	w a ʃ h a r a
وطمأنينة	w a tˤ m a ʔ n iː n a
وطور	w a tˤ uː r
وغابت	w a ɣ aː b i t
وغيرة	w a ɣ iː r a
وفروعها	w a f r uː ʕ a h aː
وفريدة	w a f r iː d a
وقراها	w a q r aː h aː
وقصائد	w a q sˤ aː ʔ i d
ولاقت	w a l aː q i t
وليدة	w a l iː d a
وماجد	w a m aː d͡ʒ i d
ومجاني	w a m d͡ʒ aː n i j j
ومخاطر	w a m x aː tˤ i r
ومنحهم	w a m a n ħ a h a m
وموسكو	w a m uː s k uː
ونؤمن	w a n ʔ u m a n
ونائبة	w a n aː ʔ i b a
ونمضي	w a n a m dˤ i j j
وهادئة	w a h aː d i ʔ a
وواجب	w a w aː d͡ʒ i b
ووضعته	w a w dˤ a ʕ t a h
ووضعتها	w a w dˤ a ʕ t e h aː
ويوقع	w a j uː q a ʕ
يأمرنا	j a ʔ m a r n aː
ياقوم	j aː q uː m
يبيح	j a b iː ħ
يشنون	j a ʃ n uː n
يضحى	j a dˤ ħ aː
يطالبه	j a tˤ aː l a b a h
يعزي	j a ʕ z i j j
يعن	j a ʕ a n a
يعيشونها	j a ʕ iː ʃ uː n h aː
يفند	j a f a n d
يلاحقون	j a l aː ħ a q uː n
يلح	j a l a ħ a
يلوذ	j a l uː ð
يمي	j a m i j j
يني	j a n i j j
hit	h i t
must	m u s t
observer	o b s e r v e r
simple	s i m p l e
store	s t o r e
آى	ʔ aː
أبخرة	ʔ a b x a r a
أبراهيم	ʔ a b r aː h iː m
أبصرت	ʔ a b sˤ a r a t
أبلغه	ʔ a b l a ɣ a h a
أتأكد	ʔ a t ʔ a k k a d a
أتلفت	ʔ a t l a f t
أخبروه	ʔ a x b a r uː h
أدريانا	ʔ a d r i j aː n aː
أذلك	ʔ a ð l a k a
أرجوحة	ʔ a r d͡ʒ uː ħ a
أعشار	ʔ a ʕ ʃ aː r
أغا	ʔ a ɣ aː
أفقه	ʔ a f q a h a
أكتفيت	ʔ a k t a f iː t
أكتون	ʔ a k t uː n
أناقش	ʔ a n aː q i ʃ
أنجزته	ʔ a n d͡ʒ a z t a h
أنوثة	ʔ a n uː θ a
أهميه	ʔ a h m iː h
أوكار	ʔ uː k aː r
إبداعك	ʔ i b d aː ʕ i k
إثنا	ʔ i θ n aː
إدوين	ʔ i d w iː n
إرهابا	ʔ i r h aː b aː
إستدعاء	ʔ i s t i d ʕ aː ʔ
إشترك	ʔ i ʃ t a r a k
إلهامي	ʔ i l h aː m i j j
إنشاد	ʔ i n ʃ aː d
ابرة	i b r a
ابغى	i b ɣ aː
اذهبي	i ð h a b i j j
ارنا	i r n aː
ارني	i r n i j j
استباقية	i s t i b aː q i j j a
استفزازي	i s t i f z aː z i j j
استنفار	i s t i n f aː r
اسره	i s r a h a
اسطورية	i s tˤ uː r i j j a
اسكندرية	i s k a n d a r i j j a
اعتصامات	i ʕ t i sˤ aː m aː t
افتحه	i f t a ħ a h a
افسد	i f s a d d a
افهمك	i f h a m a k a
اقتناع	i q t i n aː ʕ
اقنع	i q n a ʕ a
الأساسات	a l ʔ a s aː s aː t
الأضخم	a l ʔ a dˤ x a m a
الأليف	a l ʔ a l iː f
الأمريكيه	a l ʔ a m r iː k iː h
الأناني	a l ʔ a n aː n i j j
الإحماء	a l ʔ i ħ m aː ʔ
الإشتباك	a l ʔ i ʃ t i b aː k
الإشراق	a l ʔ i ʃ r aː q
الإعاقات	a l ʔ i ʕ aː q aː t
الإعياء	a l ʔ i ʕ j aː ʔ
الإنخراط	a l ʔ i n x i r aː tˤ
الالام	a l aː l aː m
الانتر	a l aː n t a r a
البتول	a l b a t uː l
البيزنطيين	a l b iː z a n tˤ i j iː n
التطلع	i l t a tˤ l a ʕ a
الجامايكي	a l d͡ʒ aː m aː j k i j j
الجثتين	a l d͡ʒ a θ t iː n
الجونة	a l d͡ʒ uː n a
الحرمة	a l ħ a r a m a
الحميرية	a l ħ a m iː r i j j a
الخمسية	a l x a m s i j j a
الخنساء	a l x i n s aː ʔ
الدفيئة	a d d a f iː ʔ a
الديباج	a d d iː b aː d͡ʒ
الراسخ	a r r aː s i x
الرحاب	a r r i ħ aː b
الروتيني	a r r uː t iː n i j j
الساتر	a s s aː t i r
السعيده	a s s a ʕ iː d a h
السيب	a s s iː b
الشجاعية	a ʃ ʃ i d͡ʒ aː ʕ i j j a
الشراري	a ʃ ʃ i r aː r i j j
الصحيين	a sˤ sˤ a ħ j iː n
الصعيدي	a sˤ sˤ a ʕ iː d i j j
الصينيه	a sˤ sˤ iː n iː h
الضاحك	a dˤ dˤ aː ħ i k
العائلتين	a l ʕ aː ʔ i l t iː n
العتق	a l ʕ a t a q a
العزوبية	a l ʕ a z uː b i j j a
الغالى	a l ɣ aː l aː
الفخارية	a l f i x aː r i j j a
الفخراني	a l f i x r aː n i j j
الفضلاء	a l f i dˤ l aː ʔ
الفطار	a l f i tˤ aː r
الفلتر	a l f a l t a r
الكافى	a l k aː f aː
اللباقة	a l l i b aː q a
الليجا	a l l iː d͡ʒ aː
الماسية	a l m aː s i j j a
المبهر	a l m a b h a r
المثيرين	a l m a θ iː r iː n
المجند	a l m a d͡ʒ a n d
المخزية	a l m a x z i j j a
المخفر	a l m a x f a r
المستجدة	a l m u s t a d͡ʒ d a
المسعود	a l m a s ʕ uː d
المشبوه	a l m a ʃ b uː h
المشجعون	a l m a ʃ d͡ʒ a ʕ uː n
المشغلين	a l m a ʃ ɣ a l iː n
المصيف	a l m a sˤ iː f
المطابع	a l m i tˤ aː b i ʕ
المطبوخة	a l m a tˤ b uː x a
المعملية	a l m a ʕ m a l i j j a
المفلحون	a l m a f l a ħ uː n
الممزوج	a l m a m z uː d͡ʒ
المنتزة	a l m a n t a z a
المنعش	a l m a n ʕ a ʃ a
المهتمون	a l m a h t a m uː n
الموطأ	a l m a w tˤ a ʔ a
النذر	a n n a ð a r a
النقى	a n n a q aː
الهابطة	a l h aː b i tˤ a
الولع	a l w a l a ʕ a
اليعسوب	a l j a ʕ s uː b
انسانه	i n s aː n a h a
باحترافية	b aː ħ t i r aː f i j j a
بارقة	b aː r i q a
باعد	b aː ʕ i d
بالأحجار	b i l ʔ a ħ d͡ʒ aː r
بالسباحة	b i s s i b aː ħ a
بالعمارة	b i l ʕ i m aː r a
بتحدي	b i t a ħ d i j j
بتصعيد	b i t a sˤ ʕ iː d
بتصميمه	b i t a sˤ m iː m a h
بثانوية	b a θ aː n a w i j j a
بحكمته	b a ħ k a m t a h
بحلها	b a ħ l a h aː
بخلايا	b a x l aː j aː
بخليط	b a x l iː tˤ
بخيط	b a x iː tˤ
بسلطنة	b a s a l tˤ a n a
بعدت	b a ʕ d a t
بعصبية	b a ʕ sˤ a b i j j a
بعلامات	b a ʕ l aː m aː t
بفض	b a f a dˤ a
بكتيرية	b a k t iː r i j j a
بلاتيني	b a l aː t iː n i j j
بمقطع	b a m a q tˤ a ʕ
بنوبات	b a n uː b aː t
بوالديه	b a w aː l d iː h
بورغوس	b uː r ɣ uː s
تاكا	t aː k aː
تترأس	t a t a r ʔ a s a
تحض	t a ħ a dˤ dˤ a
تحملهم	t a ħ a m l a h a m a
تختاري	t a x t aː r i j j
تدعها	t a d a ʕ h aː
تدعيه	t a d ʕ iː h
تزورها	t a z w a r h aː
تزويده	t a z w iː d a h
تسقي	t a s q i j j
تشامبرز	t a ʃ aː m b a r z
تشامبرلين	t a ʃ aː m b a r l iː n
تشخيصها	t a ʃ x iː sˤ h aː
تصبحي	t a sˤ b a ħ i j j
تعرق	t a ʕ a r r a q a
تفكيكها	t a f k iː k h aː
تقاليدهم	t a q aː l iː d a h a m
تلاحظون	t a l aː ħ a ðˤ uː n
تنصر	t a n a sˤ sˤ a r a
تنيك	t a n iː k
تهريبه	t a h r iː b a h
تهون	t a h a w w a n a
ثنية	θ a n i j j a
ثون	θ a w n
جرداء	d͡ʒ a r d aː ʔ
جملا	d͡ʒ a m l a n
جهلة	d͡ʒ a h l a
جوفاء	d͡ʒ uː f aː ʔ
حابس	ħ aː b i s
حجبها	ħ a d͡ʒ b a h aː
حررها	ħ a r r a h aː
حضورنا	ħ a dˤ uː r n aː
حفاوة	ħ a f aː w a
خدمي	x a d a m i j j
دارنا	d aː r n aː
دافني	d aː f i n i j j
دايتون	d aː j t uː n
رائف	r aː ʔ i f
رابي	r aː b i j j
راسين	r aː s iː n
رثة	r a θ θ a
رصف	r a sˤ a f a
رعاياها	r a ʕ aː j aː h aː
رمانة	r a m aː n a
زا	z aː
زاباتا	z aː b aː t aː
ساعدوه	s aː ʕ d uː h
سانتي	s aː n t i j j
سبايا	s a b aː j aː
سبعينات	s a b ʕ iː n aː t
سيخسر	s iː x s a r
سيق	s a j j a q a
شتت	ʃ a t t a t a
شطيرة	ʃ a tˤ iː r a
شعراوي	ʃ a ʕ r aː w i j j
شفهيا	ʃ a f h i j j aː
شهيل	ʃ a h iː l
صائبا	sˤ aː ʔ i b aː
صاحبته	sˤ aː ħ i b t a h
صبرى	sˤ a b r aː
صديقان	sˤ a d iː q aː n
صوبي	sˤ a w b i j j
ضحيه	dˤ a ħ iː h
طازجا	tˤ aː z a d͡ʒ aː
طبيعتي	tˤ a b iː ʕ t i j j
طفولي	tˤ a f uː l i j j
عاتقي	ʕ aː t i q i j j
عاطلا	ʕ aː tˤ i l a n
عباسي	ʕ a b aː s i j j
عشقا	ʕ a ʃ q a n
عليين	ʕ a l j iː n
عملين	ʕ a m l iː n
عهدهم	ʕ a h d a h a m
غالون	ɣ aː l uː n
غلافه	ɣ a l aː f a h
فأخرج	f a ʔ x a r a d͡ʒ
فأنتي	f a ʔ a n t i j j
فالأفضل	f aː l ʔ a f dˤ a l
فانيلا	f aː n iː l aː
فذ	f a ð ð a
فرحته	f a r a ħ t a h
فرديناند	f a r d iː n aː n d
فصلين	f a sˤ l iː n
فعرف	f a ʕ r a f
فكلا	f a k l a n
فيروسي	f iː r uː s i j j
فيظهر	f a j ðˤ a h a r
كاستل	k aː s t a l a
كاميرتي	k aː m iː r t i j j
كانيدا	k aː n iː d aː
كاونتي	k aː w a n t i j j
كدروع	k a d r uː ʕ
كدي	k a d i j j
كفيه	k a f iː h
كنس	k a n a s a
كهربي	k a h r a b i j j
كوقود	k uː q uː d
كيرين	k iː r iː n
كيلسي	k iː l s i j j
كيندي	k iː n d i j j
كينو	k iː n uː
كينياتا	k iː n i j aː t aː
لإتخاذ	l i ʔ i t x aː ð
لاحول	l aː ħ uː l
لاف	l aː f a
لبابا	l a b aː b aː
لبقيت	l a b q iː t
لبنت	l a b a n t
لبيئة	l a b iː ʔ a
لجنازة	l a d͡ʒ n aː z a
لحوض	l a ħ w a dˤ a
لعلمك	l a ʕ l a m a k
لقائها	l a q aː ʔ i h aː
لقارة	l a q aː r a
لكارثة	l a k aː r i θ a
للتدقيق	l a l t a d q iː q
للتقويم	l a l t a q w iː m
للفرع	l a l f a r a ʕ
للمطاعم	l a l m a tˤ aː ʕ i m
لماذ	l a m aː ð
لمطعم	l a m tˤ a ʕ a m
لمنتج	l a m a n t a d͡ʒ
لينقذ	l a j n a q a ð a
ماريانو	m aː r j aː n uː
مبالية	m a b aː l i j j a
متعاونا	m u t a ʕ aː w a n aː
محاورة	m a ħ aː w a r a
محيا	m a ħ j aː
مرمية	m a r a m i j j a
مسابقه	m u s aː b a q a h
مصرفا	m a sˤ r a f a n
معالجه	m u ʕ aː l a d͡ʒ a h
معجبيها	m a ʕ d͡ʒ a b iː h aː
معدتي	m a ʕ d a t i j j
ملكيه	m a l k iː h
ملموسا	m a l m uː s aː
منتجاتك	m u n t a d͡ʒ aː t i k
منفذة	m a n f a ð a
مهمتي	m a h m a t i j j
مهندسون	m a h a n d a s uː n
مهولة	m a h w a l a
موشن	m a w ʃ a n
ميغاوات	m iː ɣ aː w aː t
مينداناو	m iː n d aː n aː w
نابا	n aː b aː
ناجين	n aː d͡ʒ iː n
ناهض	n aː h a dˤ a
نباتا	n a b aː t aː
نخبره	n a x b a r a h
نرقص	n a r q a sˤ a
نسجت	n a s a d͡ʒ a t
نلمس	n a l a m s
هؤولاء	h u ʔ uː l aː ʔ
هوساوي	h uː s aː w i j j
هيرلي	h a j r a l i j j
هيرميس	h a j r a m iː s
وأرواح	w a ʔ r a w aː ħ
وأضيف	w a ʔ dˤ iː f
وأموت	w a ʔ m uː t
وأولياء	w a ʔ uː l i j aː ʔ
واجباتها	w aː d͡ʒ i b aː t e h aː
واظن	w aː ðˤ i n
واقوم	w aː q uː m
والأئمة	w aː l ʔ a ʔ i m a
والاختفاء	w aː l aː x t i f aː ʔ
والتبغ	w aː l t a b a ɣ a
والطير	w aː l tˤ iː r
والفيتامينات	w a l f iː t aː m iː n aː t
والمفروض	w a l m a f r uː dˤ
والوجوه	w aː l uː d͡ʒ uː h
والوصف	w aː l uː sˤ a f
وانسحاب	w aː n i s ħ aː b
وبئس	w a b ʔ i s
وبطرق	w a b tˤ a r a q
وتختم	w a t a x t a m
وتخفيضات	w a t x a f iː dˤ aː t
وتداعياته	w a t d aː ʕ i j j aː t e
وتصيب	w a t sˤ iː b
وتطل	w a t tˤ a l a
وتطوره	w a t tˤ uː r a h
وتغيب	w a t ɣ iː b
وتكليف	w a t k a l iː f
وتوقيف	w a t uː q iː f
وجيب	w a d͡ʒ iː b
وحقيبة	w a ħ q iː b a
ودراستها	w a d r aː s t e h aː
وذكي	w a ð a k i j j
ورائحته	w a r aː ʔ i ħ t a h
ورثه	w a r θ a h
وردني	w a r d a n i j j
وزينة	w a z iː n a
وسقف	w a s q a f
وشره	w a ʃ r a h
وشكره	w a ʃ k a r a h
وشهود	w a ʃ h uː d
وعزيز	w a ʕ z iː z
وفرحة	w a f r a ħ a
وفضلت	w a f dˤ a l t
وقواعدها	w a q w aː ʕ i d e h aː
وكاميرات	w a k aː m iː r aː t
وكلت	w a k l a t
ولعدة	w a l ʕ a d a
ولواء	w a l a w aː ʔ
ومباريات	w a m b aː r i j j aː t
ومثلهم	w a m θ a l h a m
ومحبيه	w a m ħ a b iː h
ومدخل	w a m d a x a l
ومساحتها	w a m s aː ħ t e h aː
ومضت	w a m dˤ a t
ومعاذ	w a m ʕ aː ð
ومنعها	w a m a n ʕ a h aː
ونزوح	w a n z uː ħ
ونصوص	w a n sˤ uː sˤ
ونما	w a n a m aː
ووضعهم	w a w dˤ a ʕ h a m
ويرأس	w a j r a ʔ a s
ويكتشف	w iː k t a ʃ a f
ويند	w a j n a d
يأتيكم	j a ʔ t iː k a m
يبرئ	j a b r i ʔ
يتحلل	j a t ħ a l l a l
يتعاقد	j a t ʕ aː q i d
يجتهد	j a d͡ʒ t a h a d
يحبذ	j a ħ b a ð a
يحبوني	j a ħ b uː n i j j
يخفيها	j a x f iː h aː
يديعوت	j a d iː ʕ uː t
يرفضه	j a r f a dˤ a h
يريحني	j a r iː ħ a n i j j
يسرح	j a s r a ħ
يصطفون	j a sˤ tˤ a f uː n
يعذبون	j a ʕ ð a b uː n
يعظ	j a ʕ a ðˤ a
يعقبها	j a ʕ q a b h aː
يغطيه	j a ɣ tˤ iː h
يلتزمون	j a l t a z m uː n
ينتسبون	j a n t a s b uː n
يندمج	j a n d a m a d͡ʒ
ينفذها	j a n f a ð h aː
api	a p i
discussion	d i s k u s s j o n
durante	d u r a n t e
evil	e v i l
files	f i l e s
gun	ɡ u n
interior	i n t e r j o r
iron	i r o n
lake	l a k e
memory	m e m o r i
per	p e r
stand	s t a n d
went	w e n t
wi	w i
أتتك	ʔ a t t a k a
أتعاب	ʔ a t ʕ aː b
أجدر	ʔ a d͡ʒ d a r a
أحمدو	ʔ a ħ m a d uː
أذنيك	ʔ a ð n iː k
أشواط	ʔ a ʃ w aː tˤ
أطرف	ʔ a tˤ r a f a
أفاتار	ʔ a f aː t aː r
أكتافهم	ʔ a k t aː f a h a m
أميرات	ʔ a m iː r aː t
أنتظار	ʔ a n t i ðˤ aː r
أنصاري	ʔ a n sˤ aː r i j j
أويس	ʔ a w iː s
إجلال	ʔ i d͡ʒ l aː l
إخوانا	ʔ i x w aː n aː
إدنا	ʔ i d n aː
إرادتي	ʔ i r aː d i t i j j
إستيعاب	ʔ i s t iː ʕ aː b
إغواء	ʔ i ɣ w aː ʔ
اجابتك	i d͡ʒ aː b t a k a
اخترتك	i x t a r t a k a
اشكالية	i ʃ k aː l i j j a
اصناف	i sˤ n aː f a
اضافيه	i dˤ aː f iː h
اطباق	i tˤ tˤ i b aː q
اعشق	i ʕ ʃ a q q a
اعصاب	i ʕ sˤ aː b a
اقتصاديون	i q t i sˤ aː d i j uː n
اقذف	i q ð a f a
الأرضين	a l ʔ a r dˤ iː n
الأسلاف	a l ʔ a s l aː f
الأضداد	a l ʔ a dˤ d aː d
الأطلاق	a l ʔ a tˤ l aː q
الأقران	a l ʔ a q r aː n
الإحتجاج	a l ʔ i ħ t i d͡ʒ aː d͡ʒ
الإحساء	a l ʔ i ħ s aː ʔ
الإدماج	a l ʔ i d m aː d͡ʒ
الإسفنج	a l ʔ i s f a n d͡ʒ
الابتسامات	a l i b t i s aː m aː t
الاقوياء	a l aː q u j aː ʔ
البريكي	a l b a r iː k i j j
البواخر	a l b a w aː x i r
البوفيه	a l b uː f iː h
البيج	a l b iː d͡ʒ
التدافع	i l t i d aː f i ʕ
التشبع	a t t a ʃ b a ʕ a
التصليح	a t t a sˤ l iː ħ
التهمه	i l t a h m a h a
الحمق	a l ħ a m a q a
الخائنة	a l x aː ʔ i n a
الخريطيات	a l x a r iː tˤ i j j aː t
الدحيل	a d d a ħ iː l
الدويلة	a d d a w iː l a
الراصد	a r r aː sˤ i d
الرمة	a r r a m a
الريحاني	a r r iː ħ aː n i j j
السنغالي	a s s i n ɣ aː l i j j
السونار	a s s uː n aː r
السيخ	a s s iː x
الشريحه	a ʃ ʃ a r iː ħ a h
الطاغي	a tˤ tˤ aː ɣ i j j
الطيبي	a tˤ tˤ iː b i j j
العاشقة	a l ʕ aː ʃ i q a
العاكس	a l ʕ aː k i s
العزب	a l ʕ a z a b a
العفنة	a l ʕ a f n a
الفسطاط	a l f i s tˤ aː tˤ
القابعة	a l q aː b i ʕ a
القعقاع	a l q i ʕ q aː ʕ
الكئيبة	a l k a ʔ iː b a
الكونتيسة	a l k uː n t iː s a
الكونغ	a l k uː n ɣ
اللذات	a l l a ð aː t
اللفافة	a l l i f aː f a
المتهالك	a l m i t h aː l i k
المجعد	a l m a d͡ʒ ʕ a d
المرآب	a l m a r ʔ aː b
المزين	a l m a z iː n
المستلم	a l m u s t a l a m
المعزين	a l m a ʕ z iː n
الملتزمين	a l m u l t a z m iː n
المنبهات	a l m a n b a h aː t
المنحوتة	a l m a n ħ uː t a
الهائج	a l h aː ʔ i d͡ʒ
الهجرات	a l h a d͡ʒ a r aː t
الهدهد	a l h a d h a d a
الهوبيت	a l h uː b iː t
الوصيفة	a l w a sˤ iː f a
الوميض	a l w a m iː dˤ
الويكي	a l w iː k i j j
اليونسيف	a l j uː n s iː f
ايزي	iː z i j j
بأدائها	b a ʔ d aː ʔ i h aː
باحتراف	b aː ħ t i r aː f
بافالو	b aː f aː l uː
