km	k a ɛ m
disaster	d i z a s t e
discour	d i s k u ʁ
disposes	d i s p o z
dissemblables	d i s ɑ̃ b l a b l
doyon	d w a j ɔ̃
drachmes	d ʁ a k m
dragan	d ʁ a ɡ ɑ̃
dragonne	d ʁ a ɡ ɔ n
drees	d ʁ i
dunoyer	d y n w a j e
dutertre	d y t ɛ ʁ t ʁ
débarasse	d e b a ʁ a s
débours	d e b u ʁ
déclencherait	d e k l ɑ̃ ʃ ə ʁ ɛ
décodex	d e k ɔ d ɛ k s
décrocheurs	d e k ʁ ɔ ʃ œ ʁ
décru	d e k ʁ y
déculottée	d e k y l ɔ t e
déhancher	d e ɑ̃ ʃ e
démultiplication	d e m y l t i p l i k a s j ɔ̃
dépendons	d e p ɑ̃ d ɔ̃
déplaçons	d e p l a s ɔ̃
déportées	d e p ɔ ʁ t e
dépravés	d e p ʁ a v e
désaffectés	d e z a f ɛ k t e
edd	ɛ d
edel	e d ɛ l
effritement	e f ʁ i t m ɑ̃
egger	ɛ ɡ e
ekaterinbourg	e k a t ʁ ɛ̃ b u ʁ
eldin	ɛ l d ɛ̃
elzéar	ɛ l z e a ʁ
enfilent	ɑ̃ f i l
enrobées	ɑ̃ ʁ ɔ b e
ensuivra	ɑ̃ s ɥ i v ʁ a
entachées	ɑ̃ t a ʃ e
entremetteur	ɑ̃ t ʁ ə m ɛ t œ ʁ
entresol	ɑ̃ t ʁ ə s ɔ l
epine	ɛ p i n
epson	ɛ p s ɔ̃
eurl	œ ʁ l
evêques	ə v ɛ k
explicit	ɛ k s p l i s i
fagnes	f a ɲ
fansub	f ɑ̃ s y b
fastueuses	f a s t ɥ ø z
fatigants	f a t i ɡ ɑ̃
fauchées	f o ʃ e
fayot	f a j o
fdsea	ɛ f d e ɛ s e a
feutrés	f ø t ʁ e
fictivement	f i k t i v m ɑ̃
finisseur	f i n i s œ ʁ
finney	f i n ɛ
flagelle	f l a ʒ ɛ l
flandrin	f l ɑ̃ d ʁ ɛ̃
floristique	f l ɔ ʁ i s t i k
floué	f l u e
fonceur	f ɔ̃ s œ ʁ
foxtrot	f ɔ k s t ʁ o
fragilisent	f ʁ a ʒ i l i z
fragmenter	f ʁ a ɡ m ɑ̃ t e
fraternelles	f ʁ a t ɛ ʁ n ɛ l
fraterniser	f ʁ a t ɛ ʁ n i z e
frisco	f ʁ i s k o
fronsac	f ʁ ɔ̃ s a k
fruste	f ʁ y s t
fsi	ɛ f s i
fue	f y
fuzz	f y z
gabart	ɡ a b a ʁ
gabby	ɡ a b i
gafam	ɡ a f a m
galliera	ɡ a l j ə ʁ a
gambling	ɡ ɑ̃ b l i ŋ
gameloft	ɡ a m l ɔ f t
gauvreau	ɡ o v ʁ o
gervinho	ʒ ɛ ʁ v i n o
giglio	ʒ i ɡ l j o
gilligan	ʒ i l i ɡ ɑ̃
glaire	ɡ l ɛ ʁ
glorifient	ɡ l ɔ ʁ i f i
goon	ɡ u n
gov	ɡ ɔ v
governance	ɡ ɔ v ɛ ʁ n ɑ̃ s
guillard	ɡ i j a ʁ
guin	ɡ ɛ̃
guingampais	ɡ ɛ̃ ɡ ɑ̃ p ɛ
guinéennes	ɡ i n e ɛ n
guitton	ɡ i t ɔ̃
gurney	ɡ y ʁ n ɛ
gwendal	ɡ w ɛ̃ d a l
géolocaliser	ʒ e ɔ l ɔ k a l i z e
hades	a d
haig	ɛ ɡ
hajime	a ʒ i m
hamidou	a m i d u
hannigan	a n i ɡ ɑ̃
harmonisées	a ʁ m ɔ n i z e
hassani	a s a n i
haw	a w
helsing	ɛ l s i ŋ
herculanum	ɛ ʁ k y l a n ɔ m
hiberner	i b ɛ ʁ n e
hilde	i l d
hittites	i t i t
hominidés	ɔ m i n i d e
homogénéiser	ɔ m ɔ ʒ e n e i z e
hydrothérapie	i d ʁ ɔ t e ʁ a p i
hyperboles	i p ɛ ʁ b ɔ l
hématite	e m a t i t
héritant	e ʁ i t ɑ̃
impatientent	ɛ̃ p a s j ɑ̃ t
inadéquates	i n a d e k a t
incitée	ɛ̃ s i t e
inclusives	ɛ̃ k l y z i v
incunables	ɛ̃ k y n a b l
indélicats	ɛ̃ d e l i k a
ingérés	ɛ̃ ʒ e ʁ e
innu	i n y
insiders	ɛ̃ s i d e
inspiratrice	ɛ̃ s p i ʁ a t ʁ i s
institua	ɛ̃ s t i t ɥ a
institutes	ɛ̃ s t i t y t
intercom	ɛ̃ t ɛ ʁ k ɔ m
intramuros	ɛ̃ t ʁ a m y ʁ o
intégra	ɛ̃ t e ɡ ʁ a
intériorisation	ɛ̃ t e ʁ j ɔ ʁ i z a s j ɔ̃
intérioriser	ɛ̃ t e ʁ j ɔ ʁ i z e
invitaient	ɛ̃ v i t ɛ
ioi	j w a
ires	i ʁ
ishii	i ʃ i
jaimie	ʒ ɛ m i
jaw	ʒ a w
karajan	k a ʁ a ʒ ɑ̃
karsten	k a ʁ s t ɛ n
kha	k a
koller	k ɔ l e
labellisées	l a b e l i z e
ladd	l a d
lae	l e
lafuma	l a f y m a
lak	l a k
lancinant	l ɑ̃ s i n ɑ̃
lata	l a t a
latter	l a t e
lauer	l o e
lazer	l a z e
leoni	l e ɔ n i
libertad	l i b ɛ ʁ t a d
lisi	l i z i
lithographe	l i t ɔ ɡ ʁ a f
lloret	l ɔ ʁ ɛ
lobotomie	l ɔ b ɔ t ɔ m i
lobé	l ɔ b e
loisible	l w a z i b l
loom	l u m
louet	l w ɛ
lové	l ɔ v e
lusaka	l y z a k a
luttez	l y t e
lâchées	l a ʃ e
légiféré	l e ʒ i f e ʁ e
léproserie	l e p ʁ o z ʁ i
macaronis	m a k a ʁ ɔ n i
machinistes	m a ʃ i n i s t
malabry	m a l a b ʁ i
maltese	m a l t e z
mamou	m a m u
mandibulaire	m ɑ̃ d i b y l ɛ ʁ
mandingue	m ɑ̃ d ɛ̃ ɡ
mandrier	m ɑ̃ d ʁ i j e
manutentionnaire	m a n y t ɑ̃ s j ɔ n ɛ ʁ
marey	m a ʁ ɛ
margie	m a ʁ ʒ i
maristes	m a ʁ i s t
marrent	m a ʁ
marsault	m a ʁ s o
marsouin	m a ʁ s w ɛ̃
masochistes	m a z ɔ ʃ i s t
matraqué	m a t ʁ a k e
mayne	m ɛ n
mcf	ɛ m s e ɛ f
mcintosh	m s ɛ̃ t ɔ ʃ
mckinnon	m k i n ɔ̃
mda	ɛ m d a
microélectronique	m i k ʁ ɔ e l ɛ k t ʁ ɔ n i k
miribel	m i ʁ i b ɛ l
mixant	m i k s ɑ̃
mna	m n a
monographique	m ɔ n ɔ ɡ ʁ a f i k
monophasé	m ɔ n ɔ f a z e
montagnardes	m ɔ̃ t a ɲ a ʁ d
montrose	m ɔ̃ t ʁ o z
morena	m ɔ ʁ ə n a
mortis	m ɔ ʁ t i
mosellan	m o z ɛ l ɑ̃
motet	m ɔ t ɛ
motivera	m ɔ t i v ə ʁ a
moudjahid	m u d ʒ a i d
mouzon	m u z ɔ̃
multilingues	m y l t i l ɛ̃ ɡ
mumuse	m y m y z
murer	m y ʁ e
mutineries	m y t i n ʁ i
nairo	n ɛ ʁ o
nardi	n a ʁ d i
natchez	n a t ʃ e
nazaréen	n a z a ʁ e ɛ̃
nerve	n ɛ ʁ v
nesta	n ɛ s t a
neutral	n ø t ʁ a l
nika	n i k a
nourir	n u ʁ i ʁ
négocia	n e ɡ ɔ s j a
néocolonialisme	n e ɔ k ɔ l ɔ n j a l i s m
obey	ɔ b ɛ
objectiver	ɔ b ʒ ɛ k t i v e
oblitération	ɔ b l i t e ʁ a s j ɔ̃
obtiendras	ɔ p t j ɛ̃ d ʁ a
olbia	ɔ l b j a
oliv	ɔ l i v
opal	ɔ p a l
oppriment	ɔ p ʁ i m
optimisées	ɔ p t i m i z e
orgasmique	ɔ ʁ ɡ a s m i k
ornans	ɔ ʁ n ɑ̃
outiller	u t i j e
outres	u t ʁ
pagé	p a ʒ e
pallium	p a l j ɔ m
palomino	p a l ɔ m i n o
parachève	p a ʁ a ʃ ɛ v
paragon	p a ʁ a ɡ ɔ̃
pati	p a t i
pato	p a t o
pecho	p ɛ ʃ o
pedretti	p ə d ʁ ɛ t i
pelleter	p ɛ l t e
pends	p ɑ̃
percuteur	p ɛ ʁ k y t œ ʁ
perou	p ə ʁ u
peuplant	p œ p l ɑ̃
peus	p ø
peyrefitte	p ɛ ʁ f i t
phénoménales	f e n ɔ m e n a l
pigmentaires	p i ɡ m ɑ̃ t ɛ ʁ
pipés	p i p e
pistolero	p i s t ɔ l ə ʁ o
pistonné	p i s t ɔ n e
pitres	p i t ʁ
piègent	p j ɛ ʒ
planquée	p l ɑ̃ k e
pointera	p w ɛ̃ t ə ʁ a
poltergeist	p ɔ l t ɛ ʁ ʒ ɛ s t
polychromie	p ɔ l i k ʁ ɔ m i
polythéisme	p ɔ l i t e i s m
popov	p ɔ p ɔ v
portalis	p ɔ ʁ t a l i
presbytérienne	p ʁ ɛ s b i t e ʁ j ɛ n
presenté	p ʁ ə z ɑ̃ t e
prolos	p ʁ ɔ l o
prophétesse	p ʁ ɔ f e t ɛ s
prédisaient	p ʁ e d i z ɛ
préfabriquées	p ʁ e f a b ʁ i k e
ptêtre	p t ɛ t ʁ
publièrent	p y b l i j ɛ ʁ
pulvérisés	p y l v e ʁ i z e
pyrolyse	p i ʁ ɔ l i z
questeurs	k ɛ s t œ ʁ
racisées	ʁ a s i z e
rbo	ʁ b o
recaser	ʁ ə k a z e
recompter	ʁ ə k ɔ̃ t e
recupere	ʁ ə k y p ɛ ʁ
refroidisseur	ʁ ə f ʁ w a d i s œ ʁ
registration	ʁ ə ʒ i s t ʁ a s j ɔ̃
rejoindrez	ʁ ə ʒ w ɛ̃ d ʁ e
relancera	ʁ ə l ɑ̃ s ə ʁ a
remains	ʁ ə m ɛ̃
renou	ʁ ə n u
repression	ʁ ə p ʁ e s j ɔ̃
retouchés	ʁ ə t u ʃ e
rino	ʁ i n o
ronflant	ʁ ɔ̃ f l ɑ̃
rossetti	ʁ ɔ s ɛ t i
rq	ɛ ʁ k y
ruinant	ʁ ɥ i n ɑ̃
rupestre	ʁ y p ɛ s t ʁ
réfréner	ʁ e f ʁ e n e
régalés	ʁ e ɡ a l e
sabo	s a b o
sabordé	s a b ɔ ʁ d e
safar	s a f a ʁ
sagem	s a ʒ ɛ m
salary	s a l a ʁ i
santamaria	s ɑ̃ t a m a ʁ j a
saoulant	s u l ɑ̃
sautée	s o t e
scarpe	s k a ʁ p
schwarzenberg	ʃ v a ʁ z ɛ̃ b ɛ ʁ ɡ
scic	s i k
scotcher	s k ɔ t ʃ e
scuf	s k y f
scéne	s e n
secouez	s ə k w e
segond	s e ɡ ɔ̃
selva	s ɛ l v a
serves	s ɛ ʁ v
shimizu	ʃ i m i z y
sidoine	s i d w a n
signifiants	s i ɲ i f j ɑ̃
signifiée	s i ɲ i f j e
signore	s i ɲ ɔ ʁ
singing	s ɛ̃ ʒ i ŋ
sinjar	s ɛ̃ ʒ a ʁ
skylar	s k i l a ʁ
smala	s m a l a
sobieski	s ɔ b j ɛ s k i
soustrayant	s u s t ʁ ɛ j ɑ̃
spear	s p i ʁ
spit	s p i
sprache	s p ʁ a ʃ
spéléo	s p e l e o
starship	s t a ʁ ʃ i p
stc	ɛ s t e s e
structurantes	s t ʁ y k t y ʁ ɑ̃ t
subséquemment	s y b s e k a m ɑ̃
subtilisé	s y p t i l i z e
sudo	s y d o
supersoniques	s y p ɛ ʁ s ɔ n i k
symbiote	s ɛ̃ b j ɔ t
séquenceur	s e k ɑ̃ s œ ʁ
tabassage	t a b a s a ʒ
takahata	t a k a a t a
talal	t a l a l
taulard	t o l a ʁ
taza	t a z a
telltale	t ɛ l t a l
teu	t ø
tifosi	t i f o z i
tifs	t i f
tilman	t i l m ɑ̃
tirlemont	t i ʁ l ə m ɔ̃
todorov	t ɔ d ɔ ʁ ɔ v
transféra	t ʁ ɑ̃ s f e ʁ a
transposable	t ʁ ɑ̃ s p o z a b l
trending	t ʁ ɑ̃ d i ŋ
trials	t ʁ i j a l
trices	t ʁ i s
trichet	t ʁ i ʃ ɛ
tringler	t ʁ ɛ̃ ɡ l e
tropicana	t ʁ ɔ p i k a n a
trottier	t ʁ ɔ t j e
três	t ʁ ɛ
tène	t ɛ n
udine	y d i n
undercover	œ̃ d ɛ ʁ k ɔ v e
uriage	y ʁ j a ʒ
uriné	y ʁ i n e
vaclav	v a k l a v
vainc	v ɛ̃
valera	v a l ə ʁ a
vallarta	v a l a ʁ t a
vallee	v a l i
vardar	v a ʁ d a ʁ
vasques	v a s k
veit	v ɛ
vendraient	v ɑ̃ d ʁ ɛ
verbiage	v ɛ ʁ b j a ʒ
vernant	v ɛ ʁ n ɑ̃
vialatte	v j a l a t
vicinal	v i s i n a l
vidéoconférence	v i d e ɔ k ɔ̃ f e ʁ ɑ̃ s
viejo	v j e ʒ o
vines	v i n
vld	v e ɛ l d e
vocalique	v ɔ k a l i k
volcano	v ɔ l k a n o
voyagistes	v w a j a ʒ i s t
védique	v e d i k
véganes	v e ɡ a n
vézère	v e z ɛ ʁ
watchers	w a t ʃ e
webinaire	w ɛ b i n ɛ ʁ
werke	w ɛ ʁ k
wesson	w ɛ s ɔ̃
wexler	w ɛ k s l e
yachting	j a k t i ŋ
yad	j a d
yas	j a
youssoupha	j u s u f a
zambèze	z ɑ̃ b ɛ z
zinzins	z ɛ̃ z ɛ̃
zircon	z i ʁ k ɔ̃
zon	z ɔ̃
écarteur	e k a ʁ t œ ʁ
échelonnée	e ʃ l ɔ n e
échoir	e ʃ w a ʁ
élancées	e l ɑ̃ s e
éthyle	e t i l
étiquetées	e t i k ə t e
évaporent	e v a p ɔ ʁ
abra	a b ʁ a
acceuillir	a k s œ j i ʁ
accurso	a k y ʁ s o
achoura	a ʃ u ʁ a
adami	a d a m i
adaptables	a d a p t a b l
adaptes	a d a p t
adjudications	a d ʒ y d i k a s j ɔ̃
admiratifs	a d m i ʁ a t i f
adrenaline	a d ʁ ə n a l i n
advice	a d v i s
aeroflot	ɛ ʁ ɔ f l o
affrétés	a f ʁ e t e
afrikaans	a f ʁ i k a ɑ̃
ahrar	a ʁ a ʁ
akashi	a k a ʃ i
alambiquée	a l ɑ̃ b i k e
alarmée	a l a ʁ m e
alexey	a l ɛ k s ɛ
allobroges	a l ɔ b ʁ ɔ ʒ
alou	a l u
alya	a l j a
amado	a m a d o
amazonien	a m a z ɔ n j ɛ̃
amici	a m i s i
anesthésiques	a n ɛ s t e z i k
animeront	a n i m ə ʁ ɔ̃
annihilé	a n i i l e
annoncions	a n ɔ̃ s j ɔ̃
anthères	ɑ̃ t ɛ ʁ
anticonformiste	ɑ̃ t i k ɔ̃ f ɔ ʁ m i s t
antiviral	ɑ̃ t i v i ʁ a l
apg	a p e ɡ e
apologistes	a p ɔ l ɔ ʒ i s t
apparaitra	a p a ʁ ɛ t ʁ a
apporteraient	a p ɔ ʁ t ə ʁ ɛ
arbalètes	a ʁ b a l ɛ t
aro	a ʁ o
arrangerai	a ʁ ɑ̃ ʒ ə ʁ e
arrosages	a ʁ o z a ʒ
artes	a ʁ t
asha	a ʃ a
assouplissant	a s u p l i s ɑ̃
athabasca	a t a b a s k a
aton	a t ɔ̃
atténués	a t e n ɥ e
autosatisfaction	o t o z a t i s f a k s j ɔ̃
avenirs	a v n i ʁ
aywaille	ɛ w a j
azay	a z ɛ
bacri	b a k ʁ i
badawi	b a d a w i
baraqué	b a ʁ a k e
barbé	b a ʁ b e
baudrillard	b o d ʁ i j a ʁ
bavaroises	b a v a ʁ w a z
beal	b i l
beckenbauer	b ɛ k ɛ̃ b o e
bellerive	b ɛ l ʁ i v
benda	b ɛ̃ d a
bergmann	b ɛ ʁ ɡ m a n
bericht	b ɛ ʁ i k t
beulin	b ø l ɛ̃
biochimiste	b j ɔ ʃ i m i s t
blan	b l ɑ̃
blaney	b l a n ɛ
blend	b l ɑ̃
bmp	b e ɛ m p e
bog	b ɔ ɡ
bonifie	b ɔ n i f i
borderlands	b ɔ ʁ d ɛ ʁ l ɑ̃
boucar	b u k a ʁ
boutoir	b u t w a ʁ
boyce	b ɔ j s
brach	b ʁ a ʃ
brancardiers	b ʁ ɑ̃ k a ʁ d j e
bronn	b ʁ ɔ n
brunchs	b ʁ œ̃ ʃ
bul	b y l
burj	b y ʁ ʒ
béla	b e l a
béluga	b e l y ɡ a
calanque	k a l ɑ̃ k
cancérologue	k ɑ̃ s e ʁ ɔ l ɔ ɡ
canna	k a n a
capitalism	k a p i t a l i s m
caritatifs	k a ʁ i t a t i f
caroll	k a ʁ ɔ l
casale	k a z a l
cassia	k a s j a
catins	k a t ɛ̃
cement	s ə m ɑ̃
certificate	s ɛ ʁ t i f i k a t
cgp	s e ʒ e p e
chamberland	ʃ ɑ̃ b ɛ ʁ l ɑ̃
chambray	ʃ ɑ̃ b ʁ ɛ
chasing	ʃ a z i ŋ
chasselas	ʃ a s ə l a
chauprade	ʃ o p ʁ a d
chiendent	ʃ j ɛ̃ d
chignons	ʃ i ɲ ɔ̃
chorégraphié	ʃ ɔ ʁ e ɡ ʁ a f j e
cinétiques	s i n e t i k
ckoi	k w a
clam	k l a m
clearwater	k l i ʁ w a t e
clébard	k l e b a ʁ
cmd	s e ɛ m d e
codant	k ɔ d ɑ̃
coffe	k ɔ f
colorent	k ɔ l ɔ ʁ
coléreux	k ɔ l e ʁ ø
comanches	k ɔ m ɑ̃ ʃ
comer	k ɔ m e
comparaissent	k ɔ̃ p a ʁ ɛ s
conditionnant	k ɔ̃ d i s j ɔ n ɑ̃
conquistadors	k ɔ̃ k i s t a d ɔ ʁ
contemplent	k ɔ̃ t ɑ̃ p l
coquillettes	k ɔ k i j ɛ t
corrosifs	k ɔ ʁ o z i f
corticale	k ɔ ʁ t i k a l
courlande	k u ʁ l ɑ̃ d
courues	k u ʁ y
craindrait	k ʁ ɛ̃ d ʁ ɛ
crunchyroll	k ʁ œ̃ ʃ i ʁ ɔ l
créatinine	k ʁ e a t i n i n
culminer	k y l m i n e
curistes	k y ʁ i s t
cusco	k y s k o
célébra	s e l e b ʁ a
dalmas	d a l m a
dalo	d a l o
darya	d a ʁ j a
daumas	d o m a
decrit	d ə k ʁ i
delpy	d ɛ l p i
desservira	d e s ɛ ʁ v i ʁ a
dfb	d e ɛ f b e
digger	d i ɡ e
dirigeront	d i ʁ i ʒ ə ʁ ɔ̃
dish	d i ʃ
distillant	d i s t i j ɑ̃
diversifiant	d i v ɛ ʁ s i f j ɑ̃
diététicienne	d j e t e t i s j ɛ n
dormance	d ɔ ʁ m ɑ̃ s
dormantes	d ɔ ʁ m ɑ̃ t
doublez	d u b l e
doucouré	d u k u ʁ e
droïdes	d ʁ ɔ i d
débloquent	d e b l ɔ k
dédouanement	d e d w a n m ɑ̃
déglingue	d e ɡ l ɛ̃ ɡ
démembrés	d e m ɑ̃ b ʁ e
désertions	d e z ɛ ʁ s j ɔ̃
désisté	d e z i s t e
détruisons	d e t ʁ ɥ i z ɔ̃
dévalorise	d e v a l ɔ ʁ i z
dévergondée	d e v ɛ ʁ ɡ ɔ̃ d e
déversée	d e v ɛ ʁ s e
ecc	ɛ k s
edgy	ɛ d ʒ i
einaudi	ɛ n o d i
emport	ɑ̃ p ɔ ʁ
empress	ɑ̃ p ʁ ɛ s
emprisonnements	ɑ̃ p ʁ i z ɔ n m ɑ̃
encombrantes	ɑ̃ k ɔ̃ b ʁ ɑ̃ t
encéphale	ɑ̃ s e f a l
endive	ɑ̃ d i v
endocrinologue	ɑ̃ d ɔ k ʁ i n ɔ l ɔ ɡ
endormais	ɑ̃ d ɔ ʁ m ɛ
enm	ɑ̃ m
enroulant	ɑ̃ ʁ u l ɑ̃
espana	ɛ s p a n a
eternité	ə t ɛ ʁ n i t e
ethnologiques	ɛ t n ɔ l ɔ ʒ i k
exacerbées	ɛ ɡ z a s ɛ ʁ b e
expedia	ɛ k s p e d j a
exploratoires	ɛ k s p l ɔ ʁ a t w a ʁ
exprés	ɛ k s p ʁ e
fabrica	f a b ʁ i k a
faciliteront	f a s i l i t ə ʁ ɔ̃
fanas	f a n a
fastidieuses	f a s t i d j ø z
fatoumata	f a t u m a t a
fenouillet	f ə n u j ɛ
fernandel	f ɛ ʁ n ɑ̃ d ɛ l
fertiliser	f ɛ ʁ t i l i z e
feuerbach	f ø ʁ b a ʃ
fibrome	f i b ʁ ɔ m
fichées	f i ʃ e
fid	f i d
filiations	f i l j a s j ɔ̃
filés	f i l e
finlandaises	f ɛ̃ l ɑ̃ d ɛ z
fions	f j ɔ̃
fir	f i ʁ
flambent	f l ɑ̃ b
flouté	f l u t e
flunch	f l œ̃ ʃ
focales	f ɔ k a l
fordham	f ɔ ʁ d a m
foursquare	f u ʁ s k a ʁ
fretin	f ʁ ə t ɛ̃
frick	f ʁ i k
frontera	f ʁ ɔ̃ t ə ʁ a
fujiwara	f y ʒ i w a ʁ a
fustigeant	f y s t i ʒ ɑ̃
fuzzy	f y z i
fè	f ɛ
féconds	f e k ɔ̃
gaché	ɡ a ʃ e
gardin	ɡ a ʁ d ɛ̃
gassama	ɡ a s a m a
gaudium	ɡ o d j ɔ m
gaves	ɡ a v
georget	ʒ ɔ ʁ ʒ ɛ
gfc	ʒ e ɛ f s e
gibran	ʒ i b ʁ ɑ̃
gites	ʒ i t
gnocchi	ɲ ɔ k i
godart	ɡ ɔ d a ʁ
gojira	ɡ ɔ ʒ i ʁ a
gouverna	ɡ u v ɛ ʁ n a
graisseuses	ɡ ʁ ɛ s ø z
grandin	ɡ ʁ ɑ̃ d ɛ̃
grandissez	ɡ ʁ ɑ̃ d i s e
granuleuse	ɡ ʁ a n y l ø z
granulé	ɡ ʁ a n y l e
graziano	ɡ ʁ a z j a n o
grignoté	ɡ ʁ i ɲ ɔ t e
grimpante	ɡ ʁ ɛ̃ p ɑ̃ t
grindelwald	ɡ ʁ ɛ̃ d ə l w a l d
grouillent	ɡ ʁ u j
guimauves	ɡ i m o v
gués	ɡ e
gynécologiques	ʒ i n e k ɔ l ɔ ʒ i k
haber	a b e
hagar	a ɡ a ʁ
hagiographique	a ʒ j ɔ ɡ ʁ a f i k
hameçonnage	a m s ɔ n a ʒ
hann	a n
harcelant	a ʁ s ə l ɑ̃
harrisson	a ʁ i s ɔ̃
hater	a t e
hellène	ɛ l ɛ n
helléniste	ɛ l e n i s t
heyer	ɛ j e
holala	ɔ l a l a
holl	ɔ l
hotspot	ɔ t s p o
humberto	œ̃ b ɛ ʁ t o
huningue	y n ɛ̃ ɡ
huon	ɥ ɔ̃
hydroponique	i d ʁ ɔ p ɔ n i k
hyeon	j ɔ̃
hyperglycémie	i p ɛ ʁ ɡ l i s e m i
hégémoniques	e ʒ e m ɔ n i k
illettrée	i l ɛ t ʁ e
illogiques	i l ɔ ʒ i k
impliques	ɛ̃ p l i k
improvement	ɛ̃ p ʁ ɔ v m ɑ̃
improvisateur	ɛ̃ p ʁ ɔ v i z a t œ ʁ
impulsée	ɛ̃ p y l s e
incartade	ɛ̃ k a ʁ t a d
incorporelles	ɛ̃ k ɔ ʁ p ɔ ʁ ɛ l
indemnise	ɛ̃ d ɛ m n i z
inductance	ɛ̃ d y k t ɑ̃ s
infondé	ɛ̃ f ɔ̃ d e
intercommunautaires	ɛ̃ t ɛ ʁ k ɔ m y n o t ɛ ʁ
interracial	ɛ̃ t e ʁ a s j a l
intégrable	ɛ̃ t e ɡ ʁ a b l
ischia	i s k j a
ishikawa	i ʃ i k a w a
isigny	i z i ɲ i
ivanhoé	i v a n ɔ e
iwo	i w o
jalisco	ʒ a l i s k o
jep	ʒ ɛ p
jespere	ʒ ɛ s p ɛ ʁ
jima	ʒ i m a
joggeuse	ʒ ɔ ɡ ø z
joignons	ʒ w a ɲ ɔ̃
josias	ʒ o z j a
juliers	ʒ y l j e
kagan	k a ɡ ɑ̃
kagawa	k a ɡ a w a
kaolack	k a ɔ l a k
keren	k ɛ ʁ ɛ n
khal	k a l
khao	k a o
khoury	k u ʁ i
kidnappées	k i d n a p e
kirin	k i ʁ ɛ̃
kline	k l i n
kultur	k y l t y ʁ
kuro	k y ʁ o
kwa	k w a
kératine	k e ʁ a t i n
lajeunesse	l a ʒ œ n ɛ s
lancerons	l ɑ̃ s ə ʁ ɔ̃
langagière	l ɑ̃ ɡ a ʒ j ɛ ʁ
layon	l ɛ j ɔ̃
lebeuf	l ə b œ f
legay	l e ɡ ɛ
legislatives	l e ʒ i s l a t i v
lennie	l ɛ n i
lettone	l ɛ t ɔ n
levan	l ə v ɑ̃
liao	l j a o
liera	l i ʁ a
lighting	l a j t i ŋ
limbique	l ɛ̃ b i k
linas	l i n a
lof	l ɔ f
lorain	l ɔ ʁ ɛ̃
lse	ɛ l s
luba	l y b a
luzenac	l y z n a k
lymphomes	l ɛ̃ f ɔ m
léningrad	l e n ɛ̃ ɡ ʁ a d
malatesta	m a l a t ɛ s t a
mallettes	m a l ɛ t
managua	m a n a ɡ a
mangemorts	m ɑ̃ ʒ m ɔ ʁ
maniérisme	m a n j e ʁ i s m
manoel	m a n ɔ ɛ l
manticore	m ɑ̃ t i k ɔ ʁ
marianna	m a ʁ j a n a
matching	m a t ʃ i ŋ
matricielle	m a t ʁ i s j ɛ l
matéo	m a t e o
maylis	m ɛ l i
mazars	m a z a ʁ
mesquines	m ɛ s k i n
microbiologiste	m i k ʁ ɔ b j ɔ l ɔ ʒ i s t
mineiro	m i n ɛ ʁ o
mizuno	m i z y n o
mobilisons	m ɔ b i l i z ɔ̃
mobs	m ɔ b
moissonneuses	m w a s ɔ n ø z
mondadori	m ɔ̃ d a d ɔ ʁ i
monobloc	m ɔ n ɔ b l ɔ k
multidisciplinaires	m y l t i d i s i p l i n ɛ ʁ
mégapole	m e ɡ a p ɔ l
nadar	n a d a ʁ
nadu	n a d y
nafissatou	n a f i s a t u
nanomètres	n a n ɔ m ɛ t ʁ
narguilé	n a ʁ ɡ i l e
neva	n ə v a
nichon	n i ʃ ɔ̃
nikolaj	n i k ɔ l a ʒ
nit	n i
nomenclatures	n ɔ m ɑ̃ k l a t y ʁ
nona	n ɔ n a
nont	n ɔ̃
normalise	n ɔ ʁ m a l i z
nouba	n u b a
novum	n ɔ v ɔ m
nuisant	n ɥ i z ɑ̃
nuri	n y ʁ i
négligente	n e ɡ l i ʒ ɑ̃ t
oat	o a
oberlin	ɔ b ɛ ʁ l ɛ̃
oddo	ɔ d o
odell	ɔ d ɛ l
oestrogènes	ɔ ɛ s t ʁ ɔ ʒ ɛ n
offensants	ɔ f ɑ̃ s ɑ̃
olt	ɔ l t
olympienne	ɔ l ɛ̃ p j ɛ n
ondo	ɔ̃ d o
ornithologues	ɔ ʁ n i t ɔ l ɔ ɡ
ospina	ɔ s p i n a
otra	ɔ t ʁ a
oufs	u f
outillé	u t i j e
ovationné	ɔ v a s j ɔ n e
oxygéné	ɔ k s i ʒ e n e
palabre	p a l a b ʁ
pancras	p ɑ̃ k ʁ a
paranormale	p a ʁ a n ɔ ʁ m a l
parménide	p a ʁ m e n i d
paroissien	p a ʁ w a s j ɛ̃
parrainés	p a ʁ ɛ n e
pata	p a t a
patric	p a t ʁ i k
pavarotti	p a v a ʁ ɔ t i
pave	p a v
pedo	p e d o
peignoirs	p ɛ ɲ w a ʁ
pelo	p ə l o
pelvis	p ɛ l v i
pemberton	p ɑ̃ b ɛ ʁ t ɔ̃
penda	p ɑ̃ d a
performeur	p ɛ ʁ f ɔ ʁ m œ ʁ
pharisien	f a ʁ i z j ɛ̃
physicienne	f i z i s j ɛ n
pialat	p j a l a
pica	p i k a
pindare	p ɛ̃ d a ʁ
pinsons	p ɛ̃ s ɔ̃
pissant	p i s ɑ̃
plagiats	p l a ʒ j a
platinium	p l a t i n j ɔ m
