اس	ə s
چلیے	t͡ʃ ə l ɪ j eː
چم	t͡ʃ ə m
چھوڑدیا	t͡ʃʰ oː ɽ d̪ ɪ j ɑː
چھینی	t͡ʃʰ iː n iː
ڈک	ɖ ə k
ڈیموکریسی	ɖ ɛː m oː k ɾ iː s iː
کرتب	k ə ɾ t̪ ə b
کلہاڑی	k ə l ɦ ɑː ɽ iː
کمنٹ	k ə m ə n ʈ
کمک	k ə m ə k
کھالوں	kʰ ɑː l õː
کیاجارہاہے	k ɪ j ɑː d͡ʒ ɑː ɾ ɦ ɑː ɦ eː
کینیڈی	k ɛː n eː ɖ iː
ھا	ɑː
ہیش	ɦ eː ʃ
ہیگل	ɦ eː ɡ ə l
ہےتو	ɦ eː t̪ oː
یہودا	j ə ɦ uː d̪ ɑː
off	ɔ f
اسٹروک	ə s ʈ ɾ oː k
امنگ	ə m ə ŋ ɡ
اند	ə n d̪
اندور	ə n d̪ uː ɾ
اڑتا	ə ɽ t̪ ɑː
بدزبانی	b ə d̪ z b ɑː n iː
برقیات	b ə ɾ q ɪ j ɑː t̪
بروہی	b ə ɾ ʋ ə ɦ iː
تختے	t̪ ə x t̪ eː
جلاؤ	d͡ʒ ə l ɑː oː
جکڑا	d͡ʒ ə k ɽ ɑː
دالان	d̪ ɑː l ɑː n
رجنی	ɾ ə d͡ʒ n iː
سمیتی	s ə m iː t̪ iː
سوت	s uː t̪
شرمین	ʃ ə ɾ m iː n
شندور	ʃ ə n d̪ uː ɾ
شیعیت	ʃ ɛː ɪ j ə t̪
صاع	s ɑː
عالمانہ	ɑː l m ɑː n ɑ
عجلت	ə d͡ʒ l ə t̪
عود	uː d̪
غائبانہ	ɣ ɑː ɪ b ɑː n ɑ
فاکس	f ɑː k ɪ s
فرو	f ə ɾ oː
فریش	f ə ɾ iː ʃ
فیڈر	f eː ɖ ə ɾ
قریظہ	q ə ɾ iː z ɑ
كريم	k ə ɾ iː m
لائل	l ɑː ɪ l
لیگا	l eː ɡ ɑː
ماہواری	m ɑː ɦ ʋ ɑː ɾ iː
مجسموں	m ə d͡ʒ s ə m õː
مدن	m ə d̪ ə n
مصریوں	m ə s ɾ ɪ j õː
مکتوبات	m ə k t̪ uː b ɑː t̪
نجاشی	n ə d͡ʒ ɑː ʃ iː
ندرت	n ə d̪ ɾ ə t̪
ٹائمنگ	ʈ ɑː ɪ m ə ŋ ɡ
ٹکٹس	ʈ ə k ʈ ə s
پرسنز	p ə ɾ s ə n z
پوٹاشیم	p oː ʈ ɑː ʃ iː m
پڑگئی	p ə ɽ ɡ ə iː
پیٹرن	p eː ʈ ɾ ə n
چننے	t͡ʃ ə n n eː
چومنے	t͡ʃ uː m n eː
ڈن	ɖ ə n
کراسنگ	k ə ɾ ɑː s ə ŋ ɡ
کردیاتھا	k ə ɾ d̪ ɪ j ɑː t̪ʰ ɑː
کلبوں	k ə l b õː
کوڑی	k oː ɽ iː
کیماڑی	k ɛː m ɑː ɽ iː
ہاروے	ɦ ɑː ɾ ʋ eː
ہرات	ɦ ə ɾ ɑː t̪
di	d̪ iː
end	ɛ n d̪
king	k ɪ ŋ
mr	m ə ɾ
per	p ɛ ɾ
sub	s ʊ b
آئرش	ɑː ɪ ɾ ɪ ʃ
آئو	ɑː uː
آبادیاتی	ɑː b ɑː d̪ ɪ j ɑː t̪ iː
آبدیدہ	ɑː b d̪ iː d̪ ɑ
آریوں	ɑː ɾ ɪ j õː
آڑے	ɑː ɽ eː
آیہ	ɑː j ɑ
احتسابی	ɪ ɦ t̪ ɪ s ɑː b iː
احمدیت	ə ɦ m ə d̪ ɪ j ə t̪
احمدیوں	ə ɦ m ə d̪ ɪ j õː
اخی	ə x iː
ادھ	ə d̪ʱ
ادی	ə d̪ iː
ازالے	ɪ z ɑː l eː
اعتقادات	ɪ t̪ t̪ ɪ q ɑː d̪ ɑː t̪
اعلا	ə ʔ l ɑː
النظر	ə l n ə z ə ɾ
الیکٹریکل	ə l iː k ʈ ɾ eː k ə l
امتناع	ɪ m t̪ ɪ n ɑː
انعم	ə n ə m
اٹ	ə ʈ
اٹھاون	ə ʈʰ ɑː ʋ ə n
اہرام	ə ɦ ɾ ɑː m
ایڈن	eː ɖ ə n
ایگزیکٹ	iː ɡ z eː k ə ʈ
بانیوں	b ɑː n ɪ j õː
بجانا	b ə d͡ʒ ɑː n ɑː
بجز	b ə d͡ʒ z
برسبین	b ə ɾ ə s b iː n
برکاتہم	b ə ɾ k ɑː t̪ ə ɦ ə m
بلاگرز	b ə l ɑː ɡ ə ɾ z
بنوائیں	b ə n ʋ ɑː ẽː
بواسیر	b ə ʋ ɑː s iː ɾ
بورا	b uː ɾ ɑː
بٹلر	b ə ʈ l ə ɾ
بھاگوت	bʱ ɑː ɡ uː t̪
بھي	bʱ iː
بھٹائی	bʱ ə ʈ ɑː iː
بھیگ	bʱ eː ɡ
بیزاری	b eː z ɑː ɾ iː
بیف	b eː f
بیگمات	b eː ɡ m ɑː t̪
تاریں	t̪ ɑː ɾ ẽː
تبادلوں	t̪ ə b ɑː d̪ ə l õː
تحصیلوں	t̪ ə ɦ s iː l õː
تختوں	t̪ ə x t̪ õː
تسمیہ	t̪ ə s m ɪ j ɑ
تقدیس	t̪ ə q d̪ iː s
تنا	t̪ ə n ɑː
تواسے	t̪ ə ʋ ɑː s eː
تولے	t̪ ɔː l eː
توڑی	t̪ oː ɽ iː
تھاجس	t̪ʰ ɑː d͡ʒ ɪ s
تھرو	t̪ʰ ə ɾ oː
جاٹ	d͡ʒ ɑː ʈ
جرگے	d͡ʒ ə ɾ ɡ eː
جوڑتی	d͡ʒ uː ɽ t̪ iː
جھڑ	d͡ʒʱ ə ɽ
حاشیے	ɦ ɑː ʃ ɪ j eː
حاکموں	ɦ ɑː k ə m õː
حبیبہ	ɦ ə b iː b ɑ
حریری	ɦ ə ɾ iː ɾ iː
حقانیت	ɦ ə q ɑː n ɪ j ə t̪
حمائت	ɦ ə m ɑː ɪ t̪
خائف	x ɑː ɪ f
خرچی	x ə ɾ t͡ʃ iː
خشوع	x ə ʃ uː
خیام	x ə j j ɑː m
دنگ	d̪ ə ŋ ɡ
دوائیاں	d̪ ə ʋ ɑː ɪ j ɑ̃ː
دگنی	d̪ ə ɡ n iː
دھوتے	d̪ʱ uː t̪ eː
دیانتدار	d̪ ə j ɑː n t̪ ɪ d̪ ɑː ɾ
دیپالپور	d̪ eː p ɑː l p uː ɾ
ذلک	z ə l ə k
رائن	ɾ ɑː ɪ n
رجمنٹ	ɾ ə d͡ʒ m ə n ʈ
رسا	ɾ ə s ɑː
رومنی	ɾ uː m n iː
روٹس	ɾ oː ʈ ə s
روٹین	ɾ oː ʈ iː n
روڑے	ɾ oː ɽ eː
ریئل	ɾ ɛː ɪ l
ریکٹر	ɾ eː k ʈ ə ɾ
سفرنامہ	s ə f ə ɾ n ɑː m ɑ
سلیکٹر	s ə l iː k ʈ ə ɾ
سمیرا	s ə m iː ɾ ɑː
سنبل	s ə m b ə l
سنسرشپ	s ə n s ə ɾ ɪ ʃ p
سنگھا	s ə ŋ ɡʱ ɑː
سکڑ	s ə k ə ɽ
سگالی	s ə ɡ ɑː l iː
سہارنپور	s ə ɦ ɑː ɾ ə n p uː ɾ
شئے	ʃ ə eː
شاگردی	ʃ ɑː ɡ ə ɾ d̪ iː
ششماہی	ʃ ɪ ʃ m ɑː ɦ iː
شفائی	ʃ ə f ɑː iː
شہنشاہوں	ʃ ə ɦ ə n ʃ ɑː ɦ õː
شہود	ʃ ə ɦ uː d̪
صحتمند	s ə ɦ t̪ ə m ə n d̪
صلاۃ	s ə l ɑː t̪
صوم	s uː m
ضرورتیں	z ə ɾ ʋ ə ɾ ə t̪ ẽː
طرہ	t̪ ə ɾ ɑ
عاشقی	ɑː ʃ ɪ q iː
عبدالحفیظ	ɪ b d̪ ɑː l ɦ ə f iː z
عزی	ə z iː
فریج	f ə ɾ iː d͡ʒ
فلائنگ	f ə l ɑː ɪ ŋ ɡ
فلیکس	f ə l iː k ə s
فیڈ	f eː ɖ
قوال	q ə ʋ ɑː l
كل	k ə l
لاسٹ	l ɑː s ɪ ʈ
لاشریک	l ɑː ʃ ɾ iː k
لباب	l ə b ɑː b
لپٹا	l ə p ʈ ɑː
لپٹے	l ə p ʈ eː
لگادیا	l ə ɡ ɑː d̪ ɪ j ɑː
لگانی	l ə ɡ ɑː n iː
مارخور	m ɑː ɾ x uː ɾ
متحارب	m ʊ t̪ ə ɦ ɑː ɾ ɪ b
مصلی	m ə s l iː
ملیح	m ə l iː ɦ
منرو	m ə n ɾ oː
منوا	m ə n ʋ ɑː
منوانے	m ə n ʋ ɑː n eː
موٹاپے	m oː ʈ ɑː p eː
مگ	m ə ɡ
مہری	m ə ɦ ɾ iː
مہوش	m ə ɦ uː ʃ
میراتھن	m iː ɾ ɑː t̪ʰ ə n
میرین	m iː ɾ iː n
نازش	n ɑː z ɪ ʃ
نب	n ə b
نظمی	n ə z m iː
نمود	n ə m uː d̪
نوازنے	n ə ʋ ɑː z n eː
وہابیت	ʋ ə ɦ ɑː b ɪ j ə t̪
ٹپک	ʈ ə p ə k
ٹکٹیں	ʈ ə k ʈ ẽː
ٹھہرانے	ʈʰ ə ɦ ɾ ɑː n eː
ٹیشن	ʈ eː ʃ ə n
ٹیچنگ	ʈ iː t͡ʃ ə ŋ ɡ
پاکی	p ɑː k iː
پذیرائی	p ə z iː ɾ ɑː iː
پرسی	p ə ɾ s iː
پرپابندی	p ə ɾ p ɑː b ə n d̪ iː
پرکھنے	p ə ɾ kʰ n eː
پریانکا	p ə ɾ j ɑː n k ɑː
پوٹھوہار	p oː ʈʰ oː ɦ ɑː ɾ
پٹڑی	p ə ʈ ɽ iː
پہنائے	p ə ɦ n ɑː eː
پیانگ	p j ɑː ŋ ɡ
چائنیز	t͡ʃ ɑː ɪ n iː z
چارجنگ	t͡ʃ ɑː ɾ d͡ʒ ə ŋ ɡ
چارلی	t͡ʃ ɑː ɾ l iː
چاغی	t͡ʃ ɑː ɣ iː
چالیں	t͡ʃ ɑː l ẽː
چولہا	t͡ʃ uː l ɦ ɑː
چوٹیں	t͡ʃ uː ʈ ẽː
چيز	t͡ʃ iː z
چھائے	t͡ʃʰ ɑː eː
چھوڑتی	t͡ʃʰ oː ɽ t̪ iː
ڈائرکٹر	ɖ ɑː ɪ ɾ k ə ʈ ə ɾ
کاجواب	k ɑː d͡ʒ ʋ ɑː b
کاندھے	k ɑː n d̪ʱ eː
کراتا	k ə ɾ ɑː t̪ ɑː
کرش	k ə ɾ ɪ ʃ
کرلوں	k ə ɾ l õː
کريں	k ə ɾ ĩː
کرگئیں	k ə ɾ ɡ ə ẽː
کرہی	k ə ɾ ɦ iː
کشت	k ə ʃ t̪
کلیر	k ə l iː ɾ
کٹاؤ	k ə ʈ ɑː oː
کٹنگ	k ə ʈ ə ŋ ɡ
کینسل	k ɛː n s ə l
گارڈین	ɡ ɑː ɾ ɖ iː n
گالوں	ɡ ɑː l õː
گراہم	ɡ ə ɾ ɑː ɦ ə m
گریڈیشن	ɡ ə ɾ eː ɖ eː ʃ ə n
گوبر	ɡ oː b ə ɾ
گودا	ɡ oː d̪ ɑː
گھما	ɡʱ ə m ɑː
گیلن	ɡ eː l ə n
ہان	ɦ ɑː n
ہبہ	ɦ ə b b ɑ
ہرجانے	ɦ ə ɾ d͡ʒ ɑː n eː
ہواتھا	ɦ ə ʋ ɑː t̪ʰ ɑː
ہٹاؤ	ɦ ə ʈ ɑː oː
ہٹائے	ɦ ə ʈ ɑː eː
ہیل	ɦ ɛː l
ہیلمٹ	ɦ ɛː l m ə ʈ
یسین	j ə s iː n
آبادمیں	ɑː b ɑː d̪ ə m ẽː
آسائش	ɑː s ɑː ɪ ʃ
آسٹریلیائی	ɑː s ʈ ɾ eː l ɪ j ɑː iː
اسمائے	ɪ s m ɑː eː
اشارات	ɪ ʃ ɑː ɾ ɑː t̪
افریقن	ə f ɾ iː q ə n
التماس	ɪ l t̪ ɪ m ɑː s
اندیشی	ə n d̪ eː ʃ iː
انفرا	ə n f ə ɾ ɑː
بدبودار	b ə d̪ b uː d̪ ɑː ɾ
بصیر	b ə s iː ɾ
بلخ	b ə l x
بنادیں	b ə n ɑː d̪ ẽː
بٹا	b ə ʈ ɑː
بگڑا	b ə ɡ ɽ ɑː
بھیگی	bʱ eː ɡ iː
بہانا	b ə ɦ ɑː n ɑː
بیڈمنٹن	b eː ɖ m ə n ʈ ə n
تخریج	t̪ ə x ɾ iː d͡ʒ
تینتیس	t̪ ɛː n t̪ iː s
جھولے	d͡ʒʱ uː l eː
دریائی	d̪ ə ɾ j ɑː iː
دکنی	d̪ ə k n iː
دھل	d̪ʱ ə l
دھمکا	d̪ʱ ə m k ɑː
دیکھایا	d̪ eː kʰ ɑː j ɑː
رضي	ɾ ə z iː
روئیے	ɾ oː ɪ j eː
سائمن	s ɑː ɪ m ə n
سختیاں	s ə x t̪ ɪ j ɑ̃ː
سدھارتھ	s ə d̪ʱ ɑː ɾ t̪ʰ
سمگل	s ə m ɡ ə l
سناٹے	s ə n ɑː ʈ eː
سٹ	s ə ʈ
سکنے	s ə k n eː
سیارچے	s ɪ j ɑː ɾ t͡ʃ eː
عرفانی	ə ɾ f ɑː n iː
عریاں	ə ɾ ɪ j ɑ̃ː
عیدین	ɛː d̪ iː n
فائق	f ɑː ɪ q
فلکی	f ə l k iː
فیوچر	f j uː t͡ʃ ə ɾ
قطبی	q ə t̪ b iː
لوٹیں	l oː ʈ ẽː
لوپ	l oː p
متعلقین	m ʊ t̪ ə ə l l ə q iː n
مدیحہ	m ə d̪ iː ɦ ɑ
مدین	m ə d̪ iː n
مسحور	m ə s ɦ uː ɾ
میلسی	m eː l s iː
ناچنے	n ɑː t͡ʃ n eː
نجاست	n ə d͡ʒ ɑː s t̪
نہین	n ə ɦ iː n
ومسلم	ʋ ə m s ə l ə m
پشتوں	p ə ʃ t̪ õː
پلنے	p ə l n eː
پنکچر	p ə ŋ k t͡ʃ ə ɾ
پيش	p eː ʃ
پٹھے	p ə ʈʰ eː
پیسیفک	p ɛː s iː f ə k
چراغاں	t͡ʃ ə ɾ ɑː ɣ ɑ̃ː
ڈبلن	ɖ ə b l ə n
ڈسکس	ɖ ə s k ə s
کاجول	k ɑː d͡ʒ uː l
کالام	k ɑː l ɑː m
کامی	k ɑː m iː
کایا	k ɑː j ɑː
کرتوت	k ə ɾ t̪ uː t̪
کرلیاہے	k ə ɾ l ɪ j ɑː ɦ eː
کلاسوں	k ə l ɑː s õː
کناں	k ə n ɑ̃ː
کوکسی	k oː k s iː
گائیکی	ɡ ɑː iː k iː
گزیں	ɡ ʊ z ẽː
گھبرائے	ɡʱ ə b ɾ ɑː eː
ہیٹی	ɦ eː ʈ iː
یونانیوں	j uː n ɑː n ɪ j õː
یونگ	j uː ŋ ɡ
sindh	s ɪ n d̪
آجانے	ɑː d͡ʒ ɑː n eː
اسلیے	ə s l ɪ j eː
اشتہاروں	ɪ ʃ t̪ ɪ ɦ ɑː ɾ õː
افقی	ə f q iː
الجھی	ə l d͡ʒʱ iː
الذين	ə l z iː n
العصر	ə l ə s ə ɾ
الفلاح	ɪ l f ɪ l ɑː ɦ
اکتساب	ɪ k t̪ ɪ s ɑː b
بانجھ	b ɑː n d͡ʒʱ
بخشتی	b ə x ʃ t̪ iː
براء	b ə ɾ ɑː
بریڈفورڈ	b ə ɾ eː ɖ f oː ɾ ɖ
بسانے	b ə s ɑː n eː
بست	b ə s t̪
بنایاجائے	b ə n ɑː j ɑː d͡ʒ ɑː eː
جراحی	d͡ʒ ə ɾ ɑː ɦ iː
جمانے	d͡ʒ ə m ɑː n eː
حمیرا	ɦ ə m iː ɾ ɑː
حوالدار	ɦ ə ʋ ɑː l d̪ ɑː ɾ
خداکی	x ə d̪ ɑː k iː
دھوتی	d̪ʱ uː t̪ iː
رازق	ɾ ɑː z ɪ q
زمرد	z ə m ɾ ə d̪
زیرک	z ɛː ɾ ə k
سائی	s ɑː iː
سامری	s ɑː m ɾ iː
سانچہ	s ɑ̃ː t͡ʃ ɑ
سنچریوں	s ə n t͡ʃ ə ɾ ɪ j õː
سٹیفن	s ə ʈ iː f ə n
سہو	s ə ɦ uː
عبدہ	ə b d̪ ɑ
غایت	ɣ ɑː j ə t̪
فقہائے	f ə q ɦ ɑː eː
فہمیوں	f ə ɦ m ɪ j õː
فیر	f ɛː ɾ
قرین	q ə ɾ iː n
كرتے	k ə ɾ t̪ eː
لانچنگ	l ɑ̃ː t͡ʃ ə ŋ ɡ
لٹکانے	l ə ʈ k ɑː n eː
لکڑیوں	l ə k ɽ ɪ j õː
مافوق	m ɑː f uː q
مسکرایا	m ʊ s k ə ɾ ɑː j ɑː
مصعب	m ə s ə b
میرپورخاص	m iː ɾ p uː ɾ x ɑː s
ناردرن	n ɑː ɾ d̪ ə ɾ ə n
نعیمی	n ə iː m iː
نفیسہ	n ə f iː s ɑ
نه	n ə
وظیفے	ʋ ə z iː f eː
ونڈو	ʋ ə n ɖ oː
ونی	ʋ ə n iː
ویکی	ʋ eː k iː
ٹوری	ʈ uː ɾ iː
ٹھگوں	ʈʰ ə ɡ õː
پرکام	p ə ɾ k ɑː m
پرہے	p ə ɾ ɦ eː
پھلکا	pʰ ə l k ɑː
پہنتی	p ə ɦ ə n t̪ iː
پیامبر	p j ɑː m b ə ɾ
چرواہے	t͡ʃ ə ɾ ʋ ɑː ɦ eː
چورن	t͡ʃ uː ɾ ə n
چونتیس	t͡ʃ ɔː n t̪ iː s
چکھا	t͡ʃ ə kʰ ɑː
چھوٹو	t͡ʃʰ oː ʈ oː
ڈائریکٹوریٹ	ɖ ɑː ɪ ɾ eː k ʈ oː ɾ eː ʈ
کرنےکے	k ə ɾ n eː k eː
کنز	k ə n z
کوہی	k oː ɦ iː
کچ	k ə t͡ʃ
کھودنے	kʰ oː d̪ n eː
کےایک	k eː ɑː j ə k
گنوں	ɡ ə n õː
گٹکا	ɡ ə ʈ k ɑː
گھاٹی	ɡʱ ɑː ʈ iː
ہڑتالوں	ɦ ə ɽ t̪ ɑː l õː
یل	j ə l
bad	b ɑː d̪
آجانا	ɑː d͡ʒ ɑː n ɑː
آفرینی	ɑː f ɾ iː n iː
ابتر	ə b t̪ ə ɾ
ابے	ə b eː
اداریہ	ɪ d̪ ɑː ɾ ɪ j ɑ
ارنا	ə ɾ n ɑː
استعارے	ɪ s t̪ ɪ ɑː ɾ eː
اعترافی	ɪ t̪ ɪ ɾ ɑː f iː
افتادہ	ɪ f t̪ ɑː d̪ ɑ
الحمید	ə l ɦ ə m iː d̪
انجیلی	ə n d͡ʒ iː l iː
انو	ə n uː
انک	ə ŋ k
اپڈیٹ	ə p ɖ eː ʈ
ایبولا	iː b uː l ɑː
باقیوں	b ɑː q ɪ j õː
باہری	b ɑː ɦ ɾ iː
براں	b ə ɾ ɑ̃ː
بولٹن	b uː l ʈ ə n
بٹے	b ə ʈ eː
بھرکم	bʱ ə ɾ k ə m
تراشے	t̪ ə ɾ ɑː ʃ eː
تریاق	t̪ ə ɾ j ɑː q
تهی	t̪ ə h iː
جرمنوں	d͡ʒ ə ɾ m ə n õː
جنبش	d͡ʒ ə m b ɪ ʃ
حرا	ɦ ə ɾ ɑː
حنبلی	ɦ ə m b ə l iː
درا	d̪ ə ɾ ɑː
دلیرانہ	d̪ ə l iː ɾ ɑː n ɑ
دنیاکی	d̪ ə n j ɑː k iː
رخسانہ	ɾ ə x s ɑː n ɑ
رمیز	ɾ ə m iː z
ریگن	ɾ eː ɡ ə n
زارا	z ɑː ɾ ɑː
زعفرانی	z ə f ɾ ɑː n iː
سرداری	s ə ɾ d̪ ɑː ɾ iː
سفلی	s ə f l iː
سلیس	s ə l iː s
سلیکٹ	s ə l iː k ə ʈ
سگی	s ə ɡ iː
شریعہ	ʃ ə ɾ iː ɑ
شنبہ	ʃ ə m b ɑ
شٹ	ʃ ə ʈ
شکیب	ʃ ə k iː b
صحتیابی	s ə ɦ t̪ ɪ j ɑː b iː
صفہ	s ə f ɑ
ضمانتیں	z ə m ɑː n ə t̪ ẽː
غر	ɣ ə ɾ
غزوات	ɣ ə z ʋ ɑː t̪
قلوب	q ə l uː b
قیمے	q ɛː m eː
كام	k ɑː m
لاوا	l ɑː ʋ ɑː
لذیذ	l ə z iː z
لڑانے	l ə ɽ ɑː n eː
لڑتی	l ə ɽ t̪ iː
لگوائے	l ə ɡ ʋ ɑː eː
مارکیٹوں	m ɑː ɾ k eː ʈ õː
مانگوں	m ɑː ŋ ɡ õː
مجرمین	m ə d͡ʒ ɾ ə m iː n
مستحسن	m ʊ s t̪ ə ɦ s ə n
مطہر	m ə t̪ ɦ ə ɾ
مٹیاری	m ə ʈ j ɑː ɾ iː
میساچوسٹس	m iː s ɑː t͡ʃ uː s ʈ ə s
نائٹروجن	n ɑː ɪ ʈ ɾ oː d͡ʒ ə n
نامدار	n ɑː m ɪ d̪ ɑː ɾ
نتن	n ə t̪ ə n
نقاط	n ə q q ɑː t̪
نقول	n ə q uː l
نیچر	n iː t͡ʃ ə ɾ
وسوسے	ʋ ə s uː s eː
پانڈیا	p ɑː n ɖ ɪ j ɑː
پریوں	p ə ɾ ɪ j õː
پوچھئے	p oː t͡ʃʰ eː
چندی	t͡ʃ ə n d̪ iː
چولستان	t͡ʃ uː l ɪ s t̪ ɑː n
ڈیک	ɖ eː k
کاخیال	k ɑː x j ɑː l
کارانہ	k ɑː ɾ ɑː n ɑ
کاسٹنگ	k ɑː s ʈ ə ŋ ɡ
کافور	k ɑː f uː ɾ
کثیف	k ə s iː f
کرانی	k ə ɾ ɑː n iː
کساد	k ə s ɑː d̪
کنوں	k ə n õː
کورے	k oː ɾ eː
کونین	k oː n iː n
کھجوریں	kʰ ə d͡ʒ uː ɾ ẽː
کیڈ	k eː ɖ
کےبارے	k eː b ɑː ɾ eː
گنگوہی	ɡ ə ŋ ɡ oː ɦ iː
گوئیاں	ɡ oː ɪ j ɑ̃ː
گھرکی	ɡʱ ə ɾ k iː
گھڑے	ɡʱ ə ɽ eː
ہائبرڈ	ɦ ɑː ɪ b ə ɾ ɖ
ہلدی	ɦ ə l d̪ iː
error	ɛ ɾ oː ɾ
iii	iː iː
ur	uː ɾ
اجرام	ɪ d͡ʒ ɾ ɑː m
اسکالرز	ɪ s k ɑː l ə ɾ z
اقلیتیں	ə q l ɪ j ə t̪ ẽː
امیری	ə m iː ɾ iː
انصرام	ɪ n s ɪ ɾ ɑː m
انڈہ	ə n ɖ ɑː
ایش	eː ʃ
ایپی	iː p iː
ایکسیڈنٹ	iː k s eː ɖ ə n ʈ
باڑہ	b ɑː ɽ ɑ
بھانپ	bʱ ɑ̃ː p
بھڑکانے	bʱ ə ɽ k ɑː n eː
بھگانے	bʱ ə ɡ ɑː n eː
بیکن	b eː k ə n
تالیفات	t̪ ɑː l iː f ɑː t̪
تحصیلدار	t̪ ə ɦ s iː l d̪ ɑː ɾ
جنرلز	d͡ʒ ə n ɾ ə l z
جوزی	d͡ʒ uː z iː
جولیا	d͡ʒ uː l ɪ j ɑː
حصین	ɦ ə s iː n
حقیقتیں	ɦ ə q iː q ə t̪ ẽː
حیلہ	ɦ ɛː l ɑ
خمسہ	x ə m s ɑ
دراندازی	d̪ ə ɾ ɑː n d̪ ɑː z iː
دفنا	d̪ ə f n ɑː
ذاتوں	z ɑː t̪ õː
رم	ɾ ə m
روئیں	ɾ oː ẽː
سنور	s ə n ʋ ə ɾ
سونو	s uː n oː
سہنا	s ə ɦ n ɑː
شالیمار	ʃ ɑː l iː m ɑː ɾ
شرد	ʃ ə ɾ d̪
صفین	s ə f iː n
طلاب	t̪ ə l ɑː b
طوسی	t̪ uː s iː
غربا	ɣ ə ɾ b ɑː
فرمادیا	f ə ɾ m ɑː d̪ ɪ j ɑː
قیصرانی	q ɛː s ɾ ɑː n iː
كرے	k ə ɾ eː
لائبریریوں	l ɑː ɪ b ɾ iː ɾ ɪ j õː
لائبیریا	l ɑː ɪ b iː ɾ ɪ j ɑː
لافانی	l ɑː f ɑː n iː
لوتھر	l oː t̪ʰ ə ɾ
مرلی	m ə ɾ l iː
معبودوں	m ə b uː d̪ õː
مفعول	m ə f uː l
منگولیا	m ə ŋ ɡ uː l ɪ j ɑː
مہروں	m ə ɦ ɾ õː
نادانستہ	n ɑː d̪ ɑː n ɪ s t̪ ɑ
واوڈا	ʋ ɑː ʋ ɖ ɑː
وسیب	ʋ ə s iː b
ولادی	ʋ ə l ɑː d̪ iː
ٹف	ʈ ə f
پاٹل	p ɑː ʈ ə l
پرکھا	p ə ɾ kʰ ɑː
پش	p ə ʃ
پنڈتوں	p ə n ɖ ə t̪ õː
پولیٹکل	p oː l eː ʈ k ə l
پکارنے	p ə k ɑː ɾ n eː
پکڑتی	p ə k ɽ ə t̪ iː
پھلے	pʰ ə l eː
چرچل	t͡ʃ ə ɾ t͡ʃ ə l
چھڑانا	t͡ʃʰ ə ɽ ɑː n ɑː
ڈیموکریٹ	ɖ ɛː m oː k ɾ eː ʈ
ڈیڈی	ɖ eː ɖ iː
کرنیکا	k ə ɾ n iː k ɑː
کماتا	k ə m ɑː t̪ ɑː
کمانی	k ə m ɑː n iː
کھچ	kʰ ə t͡ʃ
کھڑ	kʰ ə ɽ
گراس	ɡ ə ɾ ɑː s
گنجی	ɡ ə n d͡ʒ iː
گنوانے	ɡ ə n ʋ ɑː n eː
گھمسان	ɡʱ ə m s ɑː n
گیااور	ɡ ə j ɑː ʋ ə ɾ
ہجویری	ɦ ə d͡ʒ ʋ eː ɾ iː
ہپ	ɦ ə p
ہیروں	ɦ ɛː ɾ õː
یارخان	j ɑː ɾ x ɑː n
every	ɛ v ə ɾ iː
آجا	ɑː d͡ʒ ɑː
آجاؤ	ɑː d͡ʒ ɑː oː
آسکے	ɑː s k eː
افغانیوں	ə f ɣ ɑː n ɪ j õː
اڑائیں	ə ɽ ɑː ẽː
اکی	ə k iː
اگانے	ə ɡ ɑː n eː
بانٹا	b ɑ̃ː ʈ ɑː
بلد	b ə l d̪
بنوائے	b ə n ʋ ɑː eː
بیم	b eː m
تجلیات	t̪ ə d͡ʒ l ɪ j ɑː t̪
تطبیق	t̪ ə t̪ b iː q
تکون	t̪ ə k uː n
جونئیر	d͡ʒ uː n ə iː ɾ
جگری	d͡ʒ ə ɡ ɾ iː
جھنڈوں	d͡ʒʱ ə n ɖ õː
حاسد	ɦ ɑː s ɪ d̪
حریم	ɦ ə ɾ iː m
حزن	ɦ ə z ə n
دکھنے	d̪ ə kʰ n eː
دیانند	d̪ ə j ɑː n ə n d̪
رقمطراز	ɾ ə q m ə t̪ ɾ ɑː z
رومانٹک	ɾ oː m ɑː n ʈ ə k
زاہدہ	z ɑː ɦ ɪ d̪ ɑ
سجاول	s ə d͡ʒ ɑː ʋ ə l
سماعتوں	s ə m ɑː ə t̪ õː
سٹڈیز	s ə ʈ ɖ eː z
صولت	s uː l ə t̪
طوطی	t̪ uː t̪ iː
عیار	ɪ j ɑː ɾ
غنڈے	ɣ ə n ɖ eː
غیرے	ɣ ɛː ɾ eː
قزاقوں	q ə z ɑː q õː
لارہے	l ɑː ɾ ɦ eː
لاو	l ɑː ʋ
مقررین	m ə q ɾ ə ɾ iː n
ملاؤں	m ə l ɑː õː
نشینوں	n ə ʃ iː n õː
نمبردار	n ə m b ə ɾ d̪ ɑː ɾ
والٹ	ʋ ɑː l ɪ ʈ
وجوب	ʋ ə d͡ʒ uː b
ٹویوٹا	ʈ oː j oː ʈ ɑː
ٹکرائے	ʈ ə k ɾ ɑː eː
ٹکرایا	ʈ ə k ɾ ɑː j ɑː
پلیجو	p ə l iː d͡ʒ oː
چاچے	t͡ʃ ɑː t͡ʃ eː
