να	n a
προηγούμενοσ	p ɾ o i ɣ u m e n o s
προκύψουν	p ɾ o c i p s u n
προσδοκιών	p ɾ o z ð o c o n
προστατευτικό	p ɾ o s t a t e f t i k o
προσφάτωσ	p ɾ o s f a t o s
προσωπικο	p ɾ o s o p i k o
προσωπικότητά	p ɾ o s o p i k o t i t a
προτιμότερο	p ɾ o t i m o t e ɾ o
προωθείται	p ɾ o o θ i t e
πρόωρο	p ɾ o o ɾ o
πτερύγια	p t e ɾ i ʝ a
πυροσβέστησ	p i ɾ o z v e s t i s
ράμα	ɾ a m a
ρίγανη	ɾ i ɣ a n i
ρόσι	ɾ o s i
ρύπανσησ	ɾ i p a n s i s
σαγκάη	s a ŋ ɡ a i
σαφήνεια	s a f i n i a
σβήσεισ	z v i s i s
σινγκ	s i ŋ ɡ
σκέτοσ	s c e t o s
σκληρήσ	s k l i ɾ i s
σκληρούσ	s k l i ɾ u s
σκοτωσε	s k o t o s e
σοβαρών	s o v a ɾ o n
σολωμόσ	s o l o m o s
σοσ	s o s
σπουδαιότητα	s p u ð e o t i t a
σσσ	s
σταθεροποίηση	s t a θ e ɾ o p i i s i
σταματάνε	s t a m a t a n e
στεγνό	s t e ɣ n o
στεκόταν	s t e k o t a n
στηθεί	s t i θ i
στοιχίζει	s t i ç i z i
στουρνάρασ	s t u ɾ n a ɾ a s
στρέμμα	s t ɾ e m a
συλλογικήσ	s i l o ʝ i c i s
συμβολισμό	s i ɱ v o l i z m o
συναντήσεων	s i n a n d i s e o n
συναυλίασ	s i n a v l i a s
συνδεδεμένεσ	s i n ð e ð e m e n e s
συνιστώσα	s i n i s t o s a
συντονίζει	s i n d o n i z i
συνύπαρξη	s i n i p a ɾ k s i
σφραγίδεσ	s f ɾ a ʝ i ð e s
σόνια	s o ɲ a
σόφια	s o f ç a
σύστασησ	s i s t a s i s
τάσεων	t a s e o n
τάφοι	t a f i
τακούνι	t a k u n i
ταξίδευε	t a k s i ð e v e
ταχυδρόμοσ	t a ç i ð ɾ o m o s
τζην	d͡z i n
τοίχων	t i x o n
τολμούν	t o l m u n
τοξότεσ	t o k s o t e s
τοποθετήσεισ	t o p o θ e t i s i s
τριανταφύλλου	t ɾ i a n d a f i l u
τριημέρου	t ɾ i i m e ɾ u
τροφοδοσίασ	t ɾ o f o ð o s i a s
τρυφερότητα	t ɾ i f e ɾ o t i t a
τσόντεσ	t͡s o n d e s
υπερωρίεσ	i p e ɾ o ɾ i e s
υπουργική	i p u ɾ ʝ i c i
υποχρεωτικό	i p o x ɾ e o t i k o
φανταστικόσ	f a n d a s t i k o s
φθάσουμε	f θ a s u m e
φιλελεύθερο	f i l e l e f θ e ɾ o
φιντέλ	f i n d e l
φοβαμαι	f o v a m e
φορολογικά	f o ɾ o l o ʝ i k a
φούρνου	f u ɾ n u
φυλάνε	f i l a n e
φωνάζουμε	f o n a z u m e
χαιρέτησε	ç e ɾ e t i s e
χαρ	x a ɾ
χειροποίητο	ç i ɾ o p i i t o
χιονοδρομικό	ç o n o ð ɾ o m i k o
χιουζ	ç u z
χρειαζομαι	x ɾ i a z o m e
χρειαστούμε	x ɾ i a s t u m e
χωματερή	x o m a t e ɾ i
χωρίσουν	x o ɾ i s u n
ψευδείσ	p s e v ð i s
ψηφιστεί	p s i f i s t i
ψύξησ	p s i k s i s
ωραιοκάστρου	o ɾ e o k a s t ɾ u
όσβαλντ	o z v a l d
ότο	o t o
ὡσ	h o s
army	a ɾ m i
cars	k a ɾ s
cash	k a ʃ
chanel	t͡ʃ a n e l
goldman	ɡ o l d m a n
ipod	i p o d
larry	l a r i
mitsubishi	m i t͡s u b i ʃ i
self	s ɛ l f
she	ʃ e
six	s i k s
var	v a ɾ
victor	v i k t o ɾ
vincent	v i n s e n t
άμαξα	a m a k s a
άμεσοσ	a m e s o s
άρπαξαν	a ɾ p a k s a n
άρτεμισ	a ɾ t e m i s
άφθονα	a f θ o n a
έγκυρο	e ŋ ɟ i ɾ o
ένοπλοι	e n o p l i
έντυπη	e n d i p i
έτρεχαν	e t ɾ e x a n
αίτησησ	e t i s i s
αγάπησεσ	a ɣ a p i s e s
αγνό	a ɣ n o
αγροτικόσ	a ɣ ɾ o t i k o s
αδένεσ	a ð e n e s
αδιάβροχο	a ð i̯ a v ɾ o x o
ακατάλληλη	a k a t a l i l i
ακορντεόν	a k o ɾ d e o n
ακροδεξιάσ	a k ɾ o ð e k s ç a s
αλγόριθμο	a l ɣ o ɾ i θ m o
αλλεργική	a l e ɾ ʝ i c i
αμεσα	a m e s a
ανάβουν	a n a v u n
ανάκτορα	a n a k t o ɾ a
ανάληψησ	a n a l i p s i s
ανάπηροσ	a n a p i ɾ o s
ανέβεισ	a n e v i s
ανίκανη	a n i k a n i
αναγκη	a n a ŋ ɟ i
αναμνηστική	a n a m n i s t i c i
αναπηρικό	a n a p i ɾ i k o
ανεξάρτητουσ	a n e k s a ɾ t i t u s
αντίστοιχουσ	a n d i s t i x u s
ανταλλάξουμε	a n d a l a k s u m e
αντικατάστασησ	a n d i k a t a s t a s i s
αντικαταστάτησ	a n d i k a t a s t a t i s
αντιπαραθέσεισ	a n d i p a ɾ a θ e s i s
αντρέι	a n d ɾ e i̯
αξιόλογα	a k s i o l o ɣ a
απαλλαγεί	a p a l a ʝ i
αποκλειστικέσ	a p o k l i s t i c e s
απολυθεί	a p o l i θ i
απορριφθεί	a p o ɾ i f θ i
αποσκοπεί	a p o s k o p i
αποσύρεται	a p o s i ɾ e t e
αποτυπώματα	a p o t i p o m a t a
αποφύγω	a p o f i ɣ o
αρχιτεκτονικά	a ɾ ç i t e k t o n i k a
αρωματικό	a ɾ o m a t i k o
ατομο	a t o m o
αυστηρέσ	a f s t i ɾ e s
αυτόματοσ	a f t o m a t o s
βάτραχοσ	v a t ɾ a x o s
βάψιμο	v a p s i m o
βαδίζει	v a ð i z i
βαθύτατα	v a θ i t a t a
βαθύτερο	v a θ i t e ɾ o
βαρδινογιάννη	v a ɾ ð i n o ʝ a n i
βαρετά	v a ɾ e t a
βασικα	v a s i k a
βγάζοντασ	v ɣ a z o n d a s
βγήκεσ	v ʝ i c e s
βετεράνοσ	v e t e ɾ a n o s
γέμισαν	ʝ e m i s a n
γαλάκτωμα	ɣ a l a k t o m a
γερμανια	ʝ e ɾ m a ɲ a
γκι	ɟ i
γκόμενοσ	ɡ o m e n o s
γλείψιμο	ɣ l i p s i m o
γραμματείσ	ɣ ɾ a m a t i s
γραπτών	ɣ ɾ a p t o n
γυρεύει	ʝ i ɾ e v i
γωνίασ	ɣ o n i a s
δίκαιοι	ð i c e i
διαγραφεί	ð i̯ a ɣ ɾ a f i
διαγωνισμοσ	ð i̯ a ɣ o n i z m o s
διαμένουν	ð i̯ a m e n u n
διατάξει	ð i̯ a t a k s i
διαφορετικού	ð i̯ a f o ɾ e t i k u
διπλώματοσ	ð i p l o m a t o s
δωματίων	ð o m a t i o n
εγωισμόσ	e ɣ o i z m o s
εθνικότητα	e θ n i k o t i t a
εθνοσ	e θ n o s
εισβάλει	i z v a l i
εκτελέστηκαν	e k t e l e s t i k a n
εκτύπωσησ	e k t i p o s i s
ελέγχετε	e l e ŋ ç e t e
ελπιδα	e l p i ð a
ελύτησ	e l i t i s
ενεργού	e n e ɾ ɣ u
ενισχυθεί	e n i s ç i θ i
εντάλματα	e n d a l m a t a
εντοπίσαμε	e n d o p i s a m e
εξεγέρσεισ	e k s e ʝ e ɾ s i s
εξετάσω	e k s e t a s o
εξωτικό	e k s o t i k o
επέλαση	e p e l a s i
επίγεια	e p i ʝ i a
επεξεργαστήσ	e p e k s e ɾ ɣ a s t i s
επιβαίνοντεσ	e p i v e n o n d e s
επιτραπέζιο	e p i t ɾ a p e z i o
εργοτέλη	e ɾ ɣ o t e l i
εσχάτη	e s x a t i
ευαίσθητεσ	e v e s θ i t e s
ευλογημένοσ	e v l o ʝ i m e n o s
εφαρμοστούν	e f a ɾ m o s t u n
εφαρμόζοντασ	e f a ɾ m o z o n d a s
εφτασε	e f t a s e
ζέτα	z e t a
ηγετικό	i ʝ e t i k o
ηλικια	i l i c a
ημερησίωσ	i m e ɾ i s i o s
ηπατίτιδα	i p a t i t i ð a
ηρώδειο	i ɾ o ð i o
θεματικά	θ e m a t i k a
θραύση	θ ɾ a f s i
θόδωροσ	θ o ð o ɾ o s
ιατρικόσ	i a t ɾ i k o s
ιδίων	i ð i o n
ικανοποιητικά	i k a n o p i i t i k a
ισχυρισμοί	i s ç i ɾ i z m i
ιωαννιτών	i o a n i t o n
κάνουνε	k a n u n e
κάτοικο	k a t i k o
κέρατο	c e ɾ a t o
καλλιεργούν	k a ʎ e ɾ ɣ u n
καλλιτεχνικού	k a l i t e x n i k u
καλώντασ	k a l o n d a s
καραγκιόζη	k a ɾ a ŋ ɟ o z i
καρτών	k a ɾ t o n
κατάπιε	k a t a p ç e
κατασκηνώσεισ	k a t a s c i n o s i s
κατηγορήσει	k a t i ɣ o ɾ i s i
κατσέλη	k a t͡s e l i
κινητέσ	c i n i t e s
κλαίγοντασ	k l e ɣ o n d a s
κοινοποίηση	c i n o p i i s i
κολάν	k o l a n
κολλαγόνο	k o l a ɣ o n o
κολλητό	k o l i t o
κουνάει	k u n a i
κουπί	k u p i
κρίκετ	k ɾ i c e t
κρίσταλ	k ɾ i s t a l
κυριακάτικη	c i ɾ i a k a t i c i
κωμωδίασ	k o m o ð i a s
λαγό	l a ɣ o
λειτουργόσ	l i t u ɾ ɣ o s
λογιστική	l o ʝ i s t i c i
λουτρακίου	l u t ɾ a c i u
μάξιμοσ	m a k s i m o s
μάρτυσ	m a ɾ t i s
μίλαγε	m i l a ʝ e
μακρήσ	m a k ɾ i s
μακρύτερα	m a k ɾ i t e ɾ a
μελ	m e l
μετανιώσει	m e t a ɲ o s i
μικρα	m i k ɾ a
μικτό	m i k t o
μπίζνεσ	b i z n e s
μπερδεύεισ	b e ɾ ð e v i s
μπλόκα	b l o k a
μυκηνών	m i c i n o n
μύτεσ	m i t e s
νίξον	n i k s o n
νατρίου	n a t ɾ i u
ναύαρχο	n a v a ɾ x o
νεανίδων	n e a n i ð o n
νιού	ɲ u
νοείται	n o i t e
νορμάλ	n o ɾ m a l
νουβέλα	n u v e l a
νόρμα	n o ɾ m a
ξεμείνει	k s e m i n i
οικίασ	i c i a s
οικογενειακήσ	i k o ʝ e n i a c i s
ομιλεί	o m i l i
ομοφυλοφιλία	o m o f i l o f i l i a
οργανωτική	o ɾ ɣ a n o t i c i
ορφέασ	o ɾ f e a s
πάργα	p a ɾ ɣ a
παίχτη	p e x t i
παθητική	p a θ i t i c i
παιδαγωγόσ	p e ð a ɣ o ɣ o s
παραγγείλουμε	p a ɾ a ŋ ɟ i l u m e
παραδόθηκαν	p a ɾ a ð o θ i k a n
παραμονέσ	p a ɾ a m o n e s
παρουσίασησ	p a ɾ u s i a s i s
πατάμε	p a t a m e
πατέντα	p a t e n d a
πατινάζ	p a t i n a z
πελέ	p e l e
περίμετρο	p e ɾ i m e t ɾ o
περιπολίεσ	p e ɾ i p o l i e s
περιφερειακόσ	p e ɾ i f e ɾ i a k o s
πιλότου	p i l o t u
πληγώσει	p l i ɣ o s i
πνευμόνων	p n e v m o n o n
πολιτικο	p o l i t i k o
πονγκ	p o ŋ ɡ
πορεια	p o ɾ i a
ποσειδώνασ	p o s i ð o n a s
πουλάμε	p u l a m e
προμηθευτέσ	p ɾ o m i θ e f t e s
προσκυνητέσ	p ɾ o s c i n i t e s
πρωτοπορία	p ɾ o t o p o ɾ i a
πρόξενοσ	p ɾ o k s e n o s
πρόχειρα	p ɾ o ç i ɾ a
πυθμένα	p i θ m e n a
πόιντ	p o i̯ d
ρίχνοντασ	ɾ i x n o n d a s
ριζοσπάστη	ɾ i z o s p a s t i
ρόμαν	ɾ o m a n
ρόμπι	ɾ o b i
ρόνι	ɾ o n i
ρώσικη	ɾ o s i c i
σέβη	s e v i
σαβ	s a v
σαλόνια	s a l o ɲ a
σηκώνουν	s i k o n u n
σηκώσεισ	s i k o s i s
σημίτησ	s i m i t i s
σπέτσεσ	s p e t͡s e s
σπόρο	s p o ɾ o
στά	s t a
στέγεσ	s t e ʝ e s
στατιστικών	s t a t i s t i k o n
σταφίδεσ	s t a f i ð e s
στενούσ	s t e n u s
στοέσ	s t o e s
συγχωρεί	s i ŋ x o ɾ i
συμβατικό	s i ɱ v a t i k o
συμβολικό	s i ɱ v o l i k o
συμπληρώνουν	s i m b l i ɾ o n u n
συνάδελφό	s i n a ð e l f o
συνθέτεσ	s i n θ e t e s
συνομοσπονδίασ	s i n o m o s p o n ð i a s
συντηρητικό	s i n d i ɾ i t i k o
σχάρα	s x a ɾ a
σωματικέσ	s o m a t i c e s
σύνθετα	s i n θ e t a
σώσετε	s o s e t e
τάνια	t a ɲ a
τακτικόσ	t a k t i k o s
ταμπέλεσ	t a b e l e s
ταξιδέψουν	t a k s i ð e p s u n
ταξινόμησησ	t a k s i n o m i s i s
τιποτε	t i p o t e
τουριστικήσ	t u ɾ i s t i c i s
τρέξτε	t ɾ e k s t e
τρέχα	t ɾ e x a
τραγουδάσ	t ɾ a ɣ u ð a s
τριγώνου	t ɾ i ɣ o n u
τριετή	t ɾ i e t i
τυφλοί	t i f l i
τυχερούσ	t i ç e ɾ u s
τόσον	t o s o n
υπάρχουσα	i p a ɾ x u s a
υπερασπιστούν	i p e ɾ a s p i s t u n
υπότιτλουσ	i p o t i t l u s
φίλιππο	f i l i p o
φιλελευθερισμού	f i l e l e f θ e ɾ i z m u
φορτίων	f o ɾ t i o n
φροντίσουμε	f ɾ o n d i s u m e
φωτισμόσ	f o t i z m o s
φόνουσ	f o n u s
χάλκινα	x a l c i n a
χάρβεϊ	x a ɾ v e i̯
χαλάσεισ	x a l a s i s
χαλαρώνει	x a l a ɾ o n i
χιλσ	ç i l s
χιμένεθ	ç i m e n e θ
χιροσίμα	ç i ɾ o s i m a
χρηματικά	x ɾ i m a t i k a
χρηματική	x ɾ i m a t i c i
χρονικήσ	x ɾ o n i c i s
ψητά	p s i t a
ωδή	o ð i
ωριμάσει	o ɾ i m a s i
ύποπτη	i p o p t i
airport	e ɾ p o ɾ t
antonio	a n t o n j o
café	k a f e
disco	d i s k o
five	f i v e
jamie	d͡ʒ a m i
jesus	d͡ʒ e s u s
mazda	m a z d a
seven	s e v e n
solo	s o l o
tab	t a b
urban	u ɾ b a n
virtual	v i ɾ t u a l
word	w o ɾ d
έτρεξαν	e t ɾ e k s a n
ίδρυσή	i ð ɾ i s i
αγών	a ɣ o n
αδέσποτων	a ð e s p o t o n
αθωώθηκε	a θ o o θ i c e
αισθανόταν	e s θ a n o t a n
ακαδημαϊκά	a k a ð i m a i k a
αμφότεροι	a ɱ f o t e ɾ i
ανάγλυφο	a n a ɣ l i f o
αναγράφονται	a n a ɣ ɾ a f o n d e
αναζητεί	a n a z i t i
αναλυτικέσ	a n a l i t i c e s
αναπτυσσόμενεσ	a n a p t i s o m e n e s
αναστέλλει	a n a s t e l i
αναταράξεισ	a n a t a ɾ a k s i s
ανταγωνιστικό	a n d a ɣ o n i s t i k o
ανταγωνιστικότητασ	a n d a ɣ o n i s t i k o t i t a s
αντιμετωπίζοντασ	a n d i m e t o p i z o n d a s
αντιπρόσωπο	a n d i p ɾ o s o p o
ανύψωση	a n i p s o s i
ανώτατα	a n o t a t a
απέλαση	a p e l a s i
απαγάγει	a p a ɣ a ʝ i
αποτελέσματά	a p o t e l e z m a t a
αποτελεσματικέσ	a p o t e l e z m a t i c e s
απότομεσ	a p o t o m e s
αργεντινόσ	a ɾ ʝ e n d i n o s
αργύρη	a ɾ ʝ i ɾ i
αρμόδιο	a ɾ m o ð i o
αχμέτ	a x m e t
βαλβίδεσ	v a l v i ð e s
βαλει	v a l i
βαρκελώνησ	v a ɾ c e l o n i s
βερν	v e ɾ n
βιασμόσ	v i a z m o s
βοτανικό	v o t a n i k o
βουλγαρική	v u l ɣ a ɾ i c i
βουλιαγμένη	v u ʎ a ɣ m e n i
βρετανίδα	v ɾ e t a n i ð a
βρετανικά	v ɾ e t a n i k a
βόρειοσ	v o ɾ i o s
γέλασε	ʝ e l a s e
γέρο	ʝ e ɾ o
γαλαξίεσ	ɣ a l a k s i e s
γειτονικό	ʝ i t o n i k o
γενικη	ʝ e n i c i
γενικοί	ʝ e n i c i
γεννήτριεσ	ʝ e n i t ɾ i e s
γινονται	ʝ i n o n d e
γλυκα	ɣ l i k a
γλυκούλησ	ɣ l i k u l i s
γνώμεσ	ɣ n o m e s
γράψαμε	ɣ ɾ a p s a m e
δίδυμοσ	ð i ð i m o s
δανεισμόσ	ð a n i z m o s
δαντέλα	ð a n d e l a
δαυίδ	ð a v i ð
δηκο	ð i k o
διέψευσε	ð i e p s e f s e
διαβήτησ	ð i̯ a v i t i s
διαδρομών	ð i̯ a ð ɾ o m o n
διακρίθηκε	ð i̯ a k ɾ i θ i c e
διακόπτει	ð i̯ a k o p t i
διαπιστώνει	ð i̯ a p i s t o n i
διαπραγματευτεί	ð i̯ a p ɾ a ɣ m a t e f t i
διασφαλίσει	ð i̯ a s f a l i s i
διατελέσει	ð i̯ a t e l e s i
διατροφική	ð i̯ a t ɾ o f i c i
δικαιολογήσει	ð i c e o l o ʝ i s i
δοκιμαστικό	ð o c i m a s t i k o
δουβλίνο	ð u v l i n o
δούλοσ	ð u l o s
δούνε	ð u n e
δραση	ð ɾ a s i
δόμηση	ð o m i s i
εαυτόν	e a f t o n
ειδίκευση	i ð i c e f s i
εικασία	i k a s i a
ειπώθηκε	i p o θ i c e
εκτέλεσαν	e k t e l e s a n
εκτελεστήσ	e k t e l e s t i s
εκφοβισμό	e k f o v i z m o
ελαιολάδου	e l e o l a ð u
ελαιώνα	e l e o n a
ελληνισμό	e l i n i z m o
εμπλοκήσ	e m b l o c i s
ενσωματωμένη	e n s o m a t o m e n i
εξοικονόμηση	e k s i k o n o m i s i
επήλθε	e p i l θ e
επακόλουθο	e p a k o l u θ o
επεκτάθηκε	e p e k t a θ i c e
επισκέφθηκαν	e p i s c e f θ i k a n
επιτεύχθηκε	e p i t e f x θ i c e
επιτρέπεισ	e p i t ɾ e p i s
επιτρέψετε	e p i t ɾ e p s e t e
επιτρόπου	e p i t ɾ o p u
επιχειρησιακό	e p i ç i ɾ i s i a k o
εργοτάξιο	e ɾ ɣ o t a k s i o
ευκολο	e f k o l o
εχε	e ç e
ηγεμονία	i ʝ e m o n i a
ηλιόλουστη	i ʎ o l u s t i
θαυμαστή	θ a v m a s t i
θερμόμετρο	θ e ɾ m o m e t ɾ o
θηλαστικά	θ i l a s t i k a
θρύλουσ	θ ɾ i l u s
θυμώνεισ	θ i m o n i s
θύμιζε	θ i m i z e
ιατρό	i a t ɾ o
ιμπραήμ	i m b ɾ a i m
ισοζύγιο	i s o z i ʝ i o
καγιάκ	k a ʝ a k
καθαρίζουμε	k a θ a ɾ i z u m e
καλαμπάκα	k a l a b a k a
κατέθεσαν	k a t e θ e s a n
καταδικάστηκαν	k a t a ð i k a s t i k a n
καταδικασμένοι	k a t a ð i k a z m e n i
καταιγίδασ	k a t e ʝ i ð a s
κατακτώντασ	k a t a k t o n d a s
καταστραφούν	k a t a s t ɾ a f u n
κατεβάζει	k a t e v a z i
κατεχόμενη	k a t e x o m e n i
καυτέσ	k a f t e s
καύσωνα	k a f s o n a
κεραμική	c e ɾ a m i c i
κεφαλήν	c e f a l i n
κική	c i c i
κινήθηκαν	c i n i θ i k a n
κινούμενη	c i n u m e n i
κλ	k l
κλήσεων	k l i s e o n
κλασικόσ	k l a s i k o s
κολλημένο	k o l i m e n o
κομματι	k o m a t i
κοπάδια	k o p a ð ʝ a
κορώνα	k o ɾ o n a
κριμαίασ	k ɾ i m e a s
κρύβεσαι	k ɾ i v e s e
κυριακίδησ	c i ɾ i a c i ð i s
κυριαρχήσει	c i ɾ i a ɾ ç i s i
λάρα	l a ɾ a
λάφυρα	l a f i ɾ a
λεγόμενεσ	l e ɣ o m e n e s
λογοτεχνική	l o ɣ o t e x n i c i
μάρω	m a ɾ o
μάστορασ	m a s t o ɾ a s
μέριλιν	m e ɾ i l i n
μίλλερ	m i l e ɾ
μαλώνουν	m a l o n u n
μαρίκα	m a ɾ i k a
μαρκόπουλο	m a ɾ k o p u l o
μεγάρων	m e ɣ a ɾ o n
μεγέθυνση	m e ʝ e θ i n s i
μελαχρινή	m e l a x ɾ i n i
μεραρχίασ	m e ɾ a ɾ ç i a s
μετακόμιση	m e t a k o m i s i
μεταφορική	m e t a f o ɾ i c i
μεταφυσική	m e t a f i s i c i
μετονομασία	m e t o n o m a s i a
μηνάσ	m i n a s
μηνιαίο	m i ɲ e o
μιλ	m i l
μιμείται	m i m i t e
μισθού	m i s θ u
μοναδικοί	m o n a ð i c i
μοναξιάσ	m o n a k s ç a s
μονοθέσιο	m o n o θ e s i o
μοσ	m o s
μοσχάτου	m o s x a t u
μπάι	b a i
μπερντ	b e ɾ d
μπεστ	b e s t
μυ	m i
μυστικότητα	m i s t i k o t i t a
νάνο	n a n o
νάπολη	n a p o l i
ναζιστικήσ	n a z i s t i c i s
ναμ	n a m
νια	ɲ a
νικηφόρα	n i c i f o ɾ a
νομών	n o m o n
ντυθεί	d i θ i
ξωτικά	k s o t i k a
ξύπνησεσ	k s i p n i s e s
οίνου	i n u
οβάλ	o v a l
οδηγοσ	o ð i ɣ o s
ονομάσει	o n o m a s i
ονομαστεί	o n o m a s t i
οργανώνουν	o ɾ ɣ a n o n u n
οριζόντιεσ	o ɾ i z o n d i e s
οριστε	o ɾ i s t e
ορού	o ɾ u
ορυκτό	o ɾ i k t o
πάθουν	p a θ u n
πέταλα	p e t a l a
πίνδου	p i n ð u
παθήσεων	p a θ i s e o n
παραδοσιακοί	p a ɾ a ð o s i a c i
παραδόσεων	p a ɾ a ð o s e o n
παρατίθενται	p a ɾ a t i θ e n d e
παρθένου	p a ɾ θ e n u
περάματοσ	p e ɾ a m a t o s
περιβαλλοντικά	p e ɾ i v a l o n d i k a
περισσότεροσ	p e ɾ i s o t e ɾ o s
περιστατικών	p e ɾ i s t a t i k o n
περπατούσε	p e ɾ p a t u s e
πικρό	p i k ɾ o
πινγκ	p i ŋ ɡ
