the	t e
maximização	m a k s i m i z a s ɐ̃ w̃
medicado	m e d͡ʒ i k a d o
mitchel	m i t͡ʃ ɛ w
mitologias	m i t o l o ʒ i a s
moines	m o j n e s
monstra	m õ s t ɾ a
morel	m o ɾ ɛ w
mortandade	m o ɻ t ɐ̃ d a d͡ʒ i
morten	m o ɻ t ẽ j̃
mostar	m o s t a
muhammed	m u ɐ̃ m e d͡ʒ
multiplicados	m u w t͡ʃ i p l i k a d o s
multiplicou	m u w t͡ʃ i p l i k o
mundaú	m ũ d a u
naturales	n a t u ɾ a l e s
neurocientista	n e w ɾ o s i ẽ t͡ʃ i s t a
nit	n i t͡ʃ
noelle	n o ɛ l e
noriega	n o ɾ i ɛ ɡ a
notasse	n o t a s e
ocasiona	o k a z i o n a
ofertados	o f e ɻ t a d u s
ohtake	o t e j k e
oleoduto	o l e o d u t o
orientá	o ɾ i ẽ t a
ouvires	o v i ɾ e s
pajeú	p a ʒ e u
papilas	p a p i l a s
paralímpica	p a ɾ a l ĩ p i k a
peregrinações	p e ɾ e ɡ ɾ i n a s õ j̃ s
perfurada	p e ɻ f u ɾ a d ɐ
pescados	p e s k a d o s
pesquisava	p e s k i z a v a
petrônio	p e t ɾ o n i o
pioneers	p i o n e e ɻ s
piva	p i v a
pleiteia	p l e j t ɛ j a
plum	p l ũ
poluídas	p o l u i d a s
posteriori	p o s t e ɾ i o ɾ i
prensagem	p ɾ ẽ s a ʒ ẽ j̃
pretor	p ɾ e t o ɻ
problematiza	p ɾ o b l e m a t͡ʃ i z a
programáticas	p ɾ o ɡ ɾ a m a t͡ʃ i k a s
protetoras	p ɾ o t e t o ɾ a s
proveitosa	p ɾ o v e j t ɔ z a
providos	p ɾ o v i d o s
prudence	p ɾ u d ẽ s e
prudentópolis	p ɾ u d ẽ t ɔ p o l i s
radha	ʁ a d a
radiantes	ʁ a d͡ʒ i ɐ̃ t e s
realocação	ʁ e a l o k a s ɐ̃ w̃
reaprender	ʁ e a p ɾ ẽ d e
rebelaram	ʁ e b e l a ɾ ɐ̃ w̃
rebelou	ʁ e b e l o
receosos	ʁ e s e o z o s
recordava	ʁ e k o ɻ d a v ɐ
recrutam	ʁ e k ɾ u t ɐ̃ w̃
recuam	ʁ e k u ɐ̃ w̃
recíprocas	ʁ e s i p ɾ o k a s
reda	ʁ e d a
refer	ʁ e f e
reformadores	ʁ e f o ɻ m a d o ɾ i s
refugiou	ʁ e f u ʒ i o
reguladas	ʁ e ɡ u l a d a s
reiki	ʁ e j k i
reiniciou	ʁ e j n i s i o
rendi	ʁ ẽ d͡ʒ i
renunciasse	ʁ e n ũ s i a s e
responderão	ʁ e s p õ d e ɾ ɐ̃ w̃
revistados	ʁ e v i s t a d o s
ricco	ʁ i k o
riograndense	ʁ i o ɡ ɾ ɐ̃ d ẽ s e
rises	ʁ i z e s
sabotando	s a b o t ɐ̃ d o
saffron	s a f ɾ õ
saori	s a o ɾ i
saudado	s a w d a d o
sedas	s e d a s
sedeada	s e d e a d a
seladas	s e l a d a s
semper	s ẽ p e
seti	s e t͡ʃ i
sexistas	s e k s i s t a s
silenciamento	s i l ẽ s i a m ẽ t o
sintetizada	s ĩ t e t͡ʃ i z a d a
skrillex	i s k ɾ i l ɛ k s
skunk	i s k ũ k e
skyline	i s k i l i n e
sociáveis	s o s i a v e j s
soledad	s o l e d a d͡ʒ
somava	s o m a v a
sopranos	s o p ɾ ɐ n o s
soterrado	s o t e ʁ a d o
spade	i s p a d e
standby	i s t ɐ̃ d͡ʒ i b i
stations	i s t a t͡ʃ i õ s
stronda	i s t ɾ õ d a
submissas	s u b i m i s a s
sufocá	s u f o k a
superestimado	s u p e ɾ e s t͡ʃ i m a d o
surtei	s u ɻ t e j
surubim	s u ɾ u b ĩ
tabitha	t a b i t a
tatto	t a t o
tememos	t e m e m o s
teores	t e ɔ ɾ e s
terracota	t e ʁ a k ɔ t a
tetracampeão	t ɛ t ɾ a k ɐ̃ p e ɐ̃ w̃
tingido	t͡ʃ ĩ ʒ i d o
tirarão	t͡ʃ i ɾ a ɾ ɐ̃ w̃
torah	t o ɾ a
torceram	t o ɻ s e ɾ ɐ̃ w̃
transas	t ɾ ɐ̃ z a s
transatlântica	t ɾ ɐ̃ z a t l ɐ̃ t͡ʃ i k a
trisha	t ɾ i ʃ a
trácia	t ɾ a s i a
tí	t͡ʃ i
unicorn	u n i k ɔ ɻ n
unisul	u n i z u w
ustra	u s t ɾ a
valdomiro	v a w d o m i ɾ o
varrida	v a ʁ i d a
vencimentos	v ẽ s i m ẽ t o s
vergueiro	v e ɻ ɡ e j ɾ u
verte	v ɛ ɻ t͡ʃ i
viajará	v i a ʒ a ɾ a
vigílias	v i ʒ i l i a s
vinícolas	v i n i k o l a s
violaria	v i o l a ɾ i a
vocalistas	v o k a l i s t a s
wanderson	w ɐ̃ d e ɻ s õ
websérie	w e b i s ɛ ɾ i
weis	w e j s
wins	w ĩ s
wyler	w a j l e ɻ
yusuke	j u z u k e
zigue	z i ɡ e
abastecendo	a b a s t e s ẽ d o
abduzido	a b d u z i d o
abrigaram	a b ɾ i ɡ a ɾ ɐ̃ w̃
acampado	a k ɐ̃ p a d o
accionista	a k s i o n i s t a
acessarem	a s e s a ɾ ẽ j̃
acidentada	a s i d ẽ t a d a
actualizada	a k t u a l i z a d a
adaptadores	a d a p i t a d o ɾ e s
adentrando	a d ẽ t ɾ ɐ̃ d o
adequa	a d ɛ k w a
adorados	a d o ɾ a d o s
agarrava	a ɡ a ʁ a v a
albina	a w b i n a
aleister	a l e j s t e
alínea	a l i n e a
amiguinhas	a m i ɡ i ɲ a s
amira	a m i ɾ a
andreza	ɐ̃ d ɾ e z a
ansiedades	ɐ̃ s i e d a d e s
anticoagulantes	ɐ̃ t͡ʃ i k o a ɡ u l ɐ̃ t e s
anule	a n u l e
anus	a n u j s
apelado	a p e l a d o
apelamos	a p e l ɐ m o s
apimentada	a p i m ẽ t a d a
aproximados	a p ɾ o k s i m a d o s
apócrifos	a p ɔ k ɾ i f o s
arme	a ɻ m i
arrebento	a ʁ e b ẽ t o
arrepia	a ʁ e p i a
ashoka	a ʃ ɔ k a
aspiram	a s p i ɾ ɐ̃ w̃
assombrados	a s õ b ɾ a d o s
assustaram	a s u s t a ɾ ɐ̃ w̃
atencao	a t ẽ k a w
atingiria	a t͡ʃ ĩ ʒ i ɾ i a
atropelei	a t ɾ o p e l e j
automotores	a w t o m o t o ɾ e s
avancini	a v ɐ̃ s i n i
baa	b a a
bachelor	b a ʃ e l o ɻ
badia	b a d͡ʒ i a
balanceado	b a l ɐ̃ s e a d o
barbeiros	b a ɻ b e j ɾ u s
bardi	b a ɻ d͡ʒ i
batalhadora	b a t a ʎ a d o ɾ a
beldades	b e w d a d e s
belem	b ɛ l ẽ j̃
biff	b i f
bison	b i z õ
bloods	b l u d͡ʒ i s
boinas	b o j n a s
bower	b o w e ɻ
brites	b ɾ i t e s
bruscos	b ɾ u s k o s
bulas	b u l a s
bumblebee	b ũ b l e b e e
bx	b e k s
cabritos	k a b ɾ i t o s
candidataram	k ɐ̃ d͡ʒ i d a t a ɾ ɐ̃ w̃
cantados	k ɐ̃ t a d o s
caputo	k a p u t o
carbonizados	k a ɻ b o n i z a d u s
categorizada	k a t e ɡ o ɾ i z a d a
cdt	s e d e t e
cea	s e a
celebrate	s e l e b ɾ a t e
cessem	s ɛ s ẽ j̃
chevette	ʃ e v ɛ t e
chihiro	ʃ i i ɾ o
chul	ʃ u w
chupo	ʃ u p o
churrascão	ʃ u ʁ a s k ɐ̃ w̃
circulem	s i ɻ k u l ẽ j̃
clubinho	k l u b i ɲ o
cobraram	k o b ɾ a ɾ ɐ̃ w̃
coleguinha	k o l e ɡ i ɲ a
colidindo	k o l i d͡ʒ ĩ d o
concentrarem	k õ s ẽ t ɾ a ɾ ẽ j̃
concorrerá	k õ k o ʁ e ɾ a
concursado	k õ k u ɻ s a d u
condicionando	k õ d͡ʒ i s i o n ɐ̃ d o
confidenciou	k õ f i d ẽ s i o
confirmarem	k õ f i ɻ m a ɾ ẽ j̃
conformada	k õ f o ɻ m a d ɐ
consolidam	k õ s o l i d ɐ̃ w̃
consolidaram	k õ s o l i d a ɾ ɐ̃ w̃
constavam	k õ s t a v ɐ̃ w̃
contabilistas	k õ t a b i l i s t a s
contemplam	k õ t ẽ p l ɐ̃ w̃
controvertida	k õ t ɾ o v e ɻ t͡ʃ i d ɐ
coprodução	k o p ɾ o d u s ɐ̃ w̃
cravada	k ɾ a v a d a
credita	k ɾ e d͡ʒ i t a
cultivou	k u w t͡ʃ i v o
có	k ɔ
decapitada	d e k a p i t a d a
decepcionando	d e s e p i s i o n ɐ̃ d o
decline	d e k l i n e
deletados	d e l e t a d o s
denunciei	d e n ũ s i e j
deparado	d e p a ɾ a d o
desagregação	d e z a ɡ ɾ e ɡ a s ɐ̃ w̃
desarrollo	d e z a ʁ ɔ l o
desclassificada	d e s k l a s i f i k a d a
desiludidos	d e z i l u d͡ʒ i d o s
desinvestimento	d e z ĩ v e s t͡ʃ i m ẽ t o
desmotivado	d e z m o t͡ʃ i v a d o
despojada	d e s p o ʒ a d a
dimensionais	d͡ʒ i m ẽ s i o n a j s
diminuta	d͡ʒ i m i n u t a
discípula	d͡ʒ i s i p u l a
distinguindo	d͡ʒ i s t͡ʃ ĩ ɡ ĩ d o
distorcidos	d͡ʒ i s t o ɻ s i d u s
divorciando	d͡ʒ i v o ɻ s i ɐ̃ d u
donaghy	d o n a ɡ i
doncaster	d õ k a s t e
doritos	d o ɾ i t o s
dram	d ɾ ɐ̃ w̃
dubladora	d u b l a d o ɾ a
eloy	e l o j
emef	e m ɛ f
encobre	ĩ k ɔ b ɾ e
encontrares	ĩ k õ t ɾ a ɾ e s
encorajamos	ĩ k o ɾ a ʒ ɐ m o s
ensolarados	ĩ s o l a ɾ a d o s
envelhecida	ĩ v e ʎ e s i d a
enxurradas	ĩ ʃ u ʁ a d a s
esbanja	e z b ɐ̃ ʒ a
estereotipados	e s t e ɾ e o t͡ʃ i p a d o s
estipulada	e s t͡ʃ i p u l a d a
estrangulado	e s t ɾ ɐ̃ ɡ u l a d o
estupida	e s t u p i d a
exijam	e z i ʒ ɐ̃ w̃
experimentada	e s p e ɾ i m ẽ t a d a
expulsam	e s p u w s ɐ̃ w̃
expus	e s p u j s
falanges	f a l ɐ̃ ʒ e s
falece	f a l ɛ s e
falindo	f a l ĩ d o
fatma	f a t͡ʃ i m a
fedida	f e d͡ʒ i d a
feud	f e w d͡ʒ
feudais	f e w d a j s
filtrados	f i w t ɾ a d o s
fisiculturismo	f i z i k u w t u ɾ i z m o
flea	f l e a
florian	f l o ɾ i ɐ̃
fluminenses	f l u m i n ẽ s e s
fraternidades	f ɾ a t e ɻ n i d a d͡ʒ i s
frutinhas	f ɾ u t͡ʃ i ɲ a s
fundidas	f ũ d͡ʒ i d a s
furadas	f u ɾ a d a s
furious	f u ɾ i o s
galen	ɡ a l ẽ j̃
ganesha	ɡ a n e ʃ a
garda	ɡ a ɻ d ɐ
generico	ʒ e n e ɾ i k o
geografias	ʒ e o ɡ ɾ a f i a s
ghul	ɡ u w
glúteos	ɡ l u t e o s
granitos	ɡ ɾ a n i t o s
gritamos	ɡ ɾ i t ɐ m o s
grudadas	ɡ ɾ u d a d a s
guantanamo	ɡ w ɐ̃ t a n ɐ m o
gábor	ɡ a b o ɻ
handball	ɐ̃ d͡ʒ i b ɔ w
hanley	ɐ̃ l e j
haya	a j a
hemisférios	e m i s f ɛ ɾ i o s
herdamos	e ɻ d ɐ̃ m u s
hidratados	i d ɾ a t a d o s
hinode	i n ɔ d e
hipnotizada	i p i n o t͡ʃ i z a d a
holo	o l o
hosni	o z n i
iberoamericano	i b e ɾ o a m e ɾ i k ɐ n o
iff	i f
imo	i m o
implementos	ĩ p l e m ẽ t o s
impressionando	ĩ p ɾ e s i o n ɐ̃ d o
impressionaram	ĩ p ɾ e s i o n a ɾ ɐ̃ w̃
indigentes	ĩ d͡ʒ i ʒ ẽ t e s
infiltram	ĩ f i w t ɾ ɐ̃ w̃
influenciará	ĩ f l u ẽ s i a ɾ a
ingerida	ĩ ʒ e ɾ i d a
iniciaremos	i n i s i a ɾ e m o s
instruindo	ĩ s t ɾ u ĩ d o
intermédia	ĩ t e ɻ m ɛ d͡ʒ i ɐ
intuições	ĩ t u i s õ j̃ s
investigasse	ĩ v e s t͡ʃ i ɡ a s e
involuntários	ĩ v o l ũ t a ɾ i o s
isqueiros	i s k e j ɾ o s
iti	i t͡ʃ i
jamor	ʒ a m o ɻ
jessi	ʒ e s i
jiro	ʒ i ɾ o
jogarmos	ʒ o ɡ a ɻ m u s
jonatan	ʒ o n a t ɐ̃
journals	ʒ o w ɻ n a w s
julianna	ʒ u l i ɐ n a
kenton	k ẽ t õ
khadija	k a d͡ʒ i ʒ a
koi	k o j
kokoro	k o k o ɾ o
largues	l a ɻ ɡ i s
layton	l e j t õ
leandrinho	l e ɐ̃ d ɾ i ɲ o
leoas	l e o a s
lessem	l ɛ s ẽ j̃
leur	l e w ɻ
ligues	l i ɡ e s
lindy	l ĩ d͡ʒ i
loka	l ɔ k a
lovin	l o v ĩ
lábrea	l a b ɾ e a
machucadas	m a ʃ u k a d a s
machucá	m a ʃ u k a
manadas	m a n a d a s
mansos	m ɐ̃ s o s
maníaca	m a n i a k a
marchou	m a ɻ ʃ o
masa	m a z a
maxilares	m a k s i l a ɾ e s
measures	m e a z u ɾ e s
melrose	m e w ʁ ɔ z e
melódica	m e l ɔ d͡ʒ i k a
mensuráveis	m ẽ s u ɾ a v e j s
mentos	m ẽ t o s
microcefalia	m i k ɾ o s e f a l i a
midiáticas	m i d͡ʒ i a t͡ʃ i k a s
mifflin	m i f l ĩ
milénios	m i l ɛ n i o s
minimizam	m i n i m i z ɐ̃ w̃
mire	m i ɾ e
mirou	m i ɾ o
miró	m i ɾ ɔ
miu	m i w
modelação	m o d e l a s ɐ̃ w̃
mondlane	m õ d l ɐ n e
montanhosas	m õ t ɐ ɲ ɔ z a s
montesquieu	m õ t e s k i e w
morello	m o ɾ ɛ l o
motorizadas	m o t o ɾ i z a d a s
mre	m ɾ e
muddy	m u d͡ʒ i
mullins	m u l ĩ s
murada	m u ɾ a d a
mós	m ɔ j s
nablus	n a b l u j s
nagai	n a ɡ a j
narcisistas	n a ɻ s i z i s t ɐ s
nasc	n a s k
natiruts	n a t͡ʃ i ɾ u t͡ʃ i s
navalhas	n a v a ʎ a s
negociáveis	n e ɡ o s i a v e j s
neurociências	n e w ɾ o s i ẽ s i a s
neutraliza	n e w t ɾ a l i z a
niels	n i ɛ w s
nutritiva	n u t ɾ i t͡ʃ i v a
obrigo	o b ɾ i ɡ o
odeon	o d e õ
odiaria	o d͡ʒ i a ɾ i a
oki	o k i
oncinha	õ s i ɲ a
onn	õ
oportunas	o p o ɻ t ũ n ɐ s
ordeira	o ɻ d e j ɾ ɐ
orlov	o ɻ l ɔ v i
packers	p a k e ɻ s
pacotinho	p a k o t͡ʃ i ɲ o
palais	p a l a j s
parabenizá	p a ɾ a b e n i z a
paraquedistas	p a ɾ a k e d͡ʒ i s t a s
parisi	p a ɾ i z i
parodiando	p a ɾ o d͡ʒ i ɐ̃ d o
passionais	p a s i o n a j s
paternos	p a t ɛ ɻ n u s
patience	p a t͡ʃ i ẽ s e
paulinos	p a w l i n o s
paulistinha	p a w l i s t͡ʃ i ɲ a
pedissem	p e d͡ʒ i s ẽ j̃
pertenceram	p e ɻ t ẽ s e ɾ ɐ̃ w̃
pesqueiros	p e s k e j ɾ o s
peñarol	p e ɲ a ɾ ɔ w
philipe	f i l i p e
piaf	p i a f
picking	p i k ĩ
pilotou	p i l o t o
pleasant	p l e a z ɐ̃
polaris	p o l a ɾ i s
poluindo	p o l u ĩ d o
portou	p o ɻ t o
preguiçosas	p ɾ e ɡ i s ɔ z a s
presidential	p ɾ e z i d ẽ t͡ʃ i a w
pressao	p ɾ e s a w
preterido	p ɾ e t e ɾ i d o
prevalecente	p ɾ e v a l e s ẽ t e
prevaleceram	p ɾ e v a l e s e ɾ ɐ̃ w̃
previdenciária	p ɾ e v i d ẽ s i a ɾ i a
previnir	p ɾ e v i n i
privatizadas	p ɾ i v a t͡ʃ i z a d a s
profanação	p ɾ o f a n a s ɐ̃ w̃
psicodélica	p i s i k o d ɛ l i k a
quedinha	k e d͡ʒ i ɲ a
queremo	k e ɾ e m o
quereres	k e ɾ ɛ ɾ e s
questionarem	k e s t͡ʃ i o n a ɾ ẽ j̃
questionavam	k e s t͡ʃ i o n a v ɐ̃ w̃
quinzenais	k ĩ z e n a j s
quotes	k w ɔ t e s
rafaella	ʁ a f a ɛ l a
ratificaram	ʁ a t͡ʃ i f i k a ɾ ɐ̃ w̃
recomece	ʁ e k o m ɛ s e
refleti	ʁ e f l e t͡ʃ i
reiniciado	ʁ e j n i s i a d o
respeitei	ʁ e s p e j t e j
ressonâncias	ʁ e s o n ɐ̃ s i a s
restauradores	ʁ e s t a w ɾ a d o ɾ e s
ridicularizada	ʁ i d͡ʒ i k u l a ɾ i z a d a
ronin	ʁ o n ĩ
rosalba	ʁ o z a w b a
rosy	ʁ o z i
rotativas	ʁ o t a t͡ʃ i v a s
saladino	s a l a d͡ʒ i n o
sangramentos	s ɐ̃ ɡ ɾ a m ẽ t o s
sangrava	s ɐ̃ ɡ ɾ a v a
sayuri	s a j u ɾ i
sectária	s e k t a ɾ i a
secundaria	s e k ũ d a ɾ i a
selic	s e l i k
sentarem	s ẽ t a ɾ ẽ j̃
sentenciada	s ẽ t ẽ s i a d a
seropédica	s e ɾ o p ɛ d͡ʒ i k a
serrarias	s e ʁ a ɾ i a s
servicio	s e ɻ v i s i u
sette	s ɛ t e
sheng	ʃ ẽ ɡ e
shirin	ʃ i ɾ ĩ
silenciá	s i l ẽ s i a
silverman	s i w v e ɻ m ɐ̃
simulam	s i m u l ɐ̃ w̃
siza	s i z a
skates	i s k a t e s
sobrava	s o b ɾ a v a
sortes	s ɔ ɻ t͡ʃ i s
sortudas	s o ɻ t u d ɐ s
soyuz	s o j u j s
stressada	i s t ɾ e s a d a
sustentá	s u s t ẽ t a
tacitamente	t a s i t a m ẽ t e
taipas	t a j p a s
teflon	t e f l õ
tempestuosa	t ẽ p e s t u ɔ z a
terceirizada	t e ɻ s e j ɾ i z a d ɐ
teriamos	t e ɾ i ɐ m o s
termostato	t e ɻ m o s t a t u
tests	t ɛ s t͡ʃ i s
thurston	t u ɻ s t õ
tian	t͡ʃ i ɐ̃
tornadas	t o ɻ n a d ɐ s
trabalharemos	t ɾ a b a ʎ a ɾ e m o s
travagem	t ɾ a v a ʒ ẽ j̃
tricks	t ɾ i k i s
trigésima	t ɾ i ʒ ɛ z i m a
trofeu	t ɾ o f e w
trunfos	t ɾ ũ f o s
tte	t e t e
tumorais	t u m o ɾ a j s
unificados	u n i f i k a d o s
vaiada	v a j a d a
valentões	v a l ẽ t õ j̃ s
vedações	v e d a s õ j̃ s
verificarmos	v e ɾ i f i k a ɻ m u s
veronika	v e ɾ o n i k a
viajaria	v i a ʒ a ɾ i a
vinculando	v ĩ k u l ɐ̃ d o
vinganças	v ĩ ɡ ɐ̃ s a s
vingue	v ĩ ɡ e
visualizou	v i z u a l i z o
voltes	v ɔ w t e s
wills	w i w s
wim	w ĩ
winthrop	w ĩ t ɾ ɔ p
xica	ʃ i k a
zahar	z a a
zan	z ɐ̃
zapatero	z a p a t ɛ ɾ o
zema	z e m a
zurita	z u ɾ i t a
àrea	a ɾ e a
adaptá	a d a p i t a
administrava	a d͡ʒ i m i n i s t ɾ a v a
admitam	a d͡ʒ i m i t ɐ̃ w̃
advantage	a d͡ʒ i v ɐ̃ t a ʒ e
advindas	a d͡ʒ i v ĩ d a s
agregadores	a ɡ ɾ e ɡ a d o ɾ e s
agricola	a ɡ ɾ i k ɔ l a
ajustou	a ʒ u s t o
alaranjada	a l a ɾ ɐ̃ ʒ a d a
alcançaria	a w k ɐ̃ s a ɾ i a
aleatoriedade	a l e a t o ɾ i e d a d e
aleph	a l ɛ f
amanhecendo	a m ɐ ɲ e s ẽ d o
ameaçadoras	a m e a s a d o ɾ a s
amelie	a m e l i
anchorage	ɐ̃ ʃ o ɾ a ʒ e
andretti	ɐ̃ d ɾ e t͡ʃ i
antoinette	ɐ̃ t o j n ɛ t e
antónia	ɐ̃ t ɔ n i a
apegados	a p e ɡ a d o s
apoiasse	a p o j a s e
apontei	a p õ t e j
apossou	a p o s o
apreciaram	a p ɾ e s i a ɾ ɐ̃ w̃
apreenderam	a p ɾ e ẽ d e ɾ ɐ̃ w̃
apressados	a p ɾ e s a d o s
araque	a ɾ a k e
araucaria	a ɾ a w k a ɾ i a
armor	a ɻ m o ɻ
arrombando	a ʁ õ b ɐ̃ d o
assustava	a s u s t a v a
aterramento	a t e ʁ a m ẽ t o
atila	a t͡ʃ i l a
atribuíram	a t ɾ i b u i ɾ ɐ̃ w̃
atta	a t a
aumentasse	a w m ẽ t a s e
automotive	a w t o m o t͡ʃ i v e
bacharéis	b a ʃ a ɾ ɛ j s
barrando	b a ʁ ɐ̃ d o
bars	b a ɻ s
beberia	b e b e ɾ i a
benghazi	b ẽ ɡ a z i
bina	b i n a
boemia	b o e m i a
bonificação	b o n i f i k a s ɐ̃ w̃
bracho	b ɾ a ʃ o
briana	b ɾ i ɐ n a
brush	b ɾ u ʃ
bóias	b ɔ j a s
cabelereiro	k a b e l e ɾ e j ɾ o
cabeçalhos	k a b e s a ʎ o s
caifás	k a j f a j s
calcária	k a w k a ɾ i a
canadianos	k a n a d͡ʒ i ɐ n o s
candelabros	k ɐ̃ d e l a b ɾ o s
capra	k a p ɾ a
carimbos	k a ɾ ĩ b o s
carneirinho	k a ɻ n e j ɾ ĩ ɲ u
castilhos	k a s t͡ʃ i ʎ o s
charming	ʃ a ɻ m ĩ
chateadas	ʃ a t e a d a s
chilton	ʃ i w t õ
chinaglia	ʃ i n a ɡ l i a
ciara	s i a ɾ a
clue	k l u e
coalizões	k o a l i z õ j̃ s
codó	k o d ɔ
coletaram	k o l e t a ɾ ɐ̃ w̃
colocariam	k o l o k a ɾ i ɐ̃ w̃
colorações	k o l o ɾ a s õ j̃ s
coltrane	k o w t ɾ ɐ n e
comeca	k o m ɛ k a
conceituação	k õ s e j t u a s ɐ̃ w̃
confirmá	k õ f i ɻ m a
confrontá	k õ f ɾ õ t a
conlutas	k õ l u t a s
constrição	k õ s t ɾ i s ɐ̃ w̃
consumirem	k õ s u m i ɾ ẽ j̃
contendas	k õ t ẽ d a s
contraíram	k õ t ɾ a i ɾ ɐ̃ w̃
convoco	k õ v ɔ k o
corrigan	k o ʁ i ɡ ɐ̃
cosima	k o z i m a
credicard	k ɾ e d͡ʒ i k a ɻ
criarão	k ɾ i a ɾ ɐ̃ w̃
cultive	k u w t͡ʃ i v e
dachau	d a ʃ a w
dancinha	d ɐ̃ s i ɲ a
datadas	d a t a d a s
daya	d a j a
decima	d e s i m a
defasado	d e f a z a d o
defenders	d e f ẽ d e ɻ s
degola	d e ɡ ɔ l a
delúbio	d e l u b i o
demian	d e m i ɐ̃
demonstrativos	d e m õ s t ɾ a t͡ʃ i v o s
derrotadas	d e ʁ o t a d a s
desalojadas	d e z a l o ʒ a d a s
desanimou	d e z a n i m o
descartam	d e s k a ɻ t ɐ̃ w̃
descascando	d e s k a s k ɐ̃ d o
descobria	d e s k o b ɾ i a
descola	d e s k ɔ l a
desconfiei	d e s k õ f i e j
desconhecendo	d e s k o ɲ e s ẽ d o
desdobra	d e z d ɔ b ɾ a
desinteressantes	d e z ĩ t e ɾ e s ɐ̃ t e s
desmatamentos	d e z m a t a m ẽ t o s
despiste	d e s p i s t e
destruía	d e s t ɾ u i a
diabólicas	d͡ʒ i a b ɔ l i k a s
digitalizados	d͡ʒ i ʒ i t a l i z a d o s
dissolveu	d͡ʒ i s o w v e w
dollars	d o l a ɻ s
domesticados	d o m e s t͡ʃ i k a d o s
dunk	d ũ k e
durango	d u ɾ ɐ̃ ɡ o
edelman	e d e w m ɐ̃
efigênia	e f i ʒ e n i a
ega	ɛ ɡ a
elementais	e l e m ẽ t a j s
embargada	ĩ b a ɻ ɡ a d ɐ
encaminhe	ĩ k a m i ɲ e
encararam	ĩ k a ɾ a ɾ ɐ̃ w̃
enfiava	ĩ f i a v a
enfrentavam	ĩ f ɾ ẽ t a v ɐ̃ w̃
entediantes	ĩ t e d͡ʒ i ɐ̃ t e s
escoltada	e s k o w t a d a
escoltas	e s k ɔ w t a s
escorregadia	e s k o ʁ e ɡ a d͡ʒ i a
escravizada	e s k ɾ a v i z a d a
espelhada	e s p e ʎ a d a
espirituosa	e s p i ɾ i t u ɔ z a
espresso	e s p ɾ ɛ s o
esquecesse	e s k e s ɛ s e
estella	e s t ɛ l a
estragados	e s t ɾ a ɡ a d o s
eunucos	e w n u k o s
evander	e v ɐ̃ d e
evolutivos	e v o l u t͡ʃ i v o s
exageram	e z a ʒ e ɾ ɐ̃ w̃
excedido	e s e d͡ʒ i d o
farsas	f a ɻ s ɐ s
feminazi	f e m i n a z i
fenomeno	f e n o m e n o
ficcionais	f i k s i o n a j s
finlay	f ĩ l e j
fisioterapeutas	f i z i o t e ɾ a p e w t a s
florzinhas	f l o ɻ z ĩ ɲ ɐ s
flua	f l u a
formaturas	f o ɻ m a t u ɾ ɐ s
foxy	f ɔ k s i
fri	f ɾ i
furtados	f u ɻ t a d u s
gea	ʒ e a
geadas	ʒ e a d a s
genocídios	ʒ e n o s i d͡ʒ i o s
gerenciados	ʒ e ɾ ẽ s i a d o s
goianiense	ɡ o j a n i ẽ s e
golpeado	ɡ o w p e a d o
grasse	ɡ ɾ a s e
gravarem	ɡ ɾ a v a ɾ ẽ j̃
gri	ɡ ɾ i
hafez	a f e j s
haqqani	a k a n i
hebert	e b ɛ ɻ
herdados	e ɻ d a d u s
holográfico	o l o ɡ ɾ a f i k o
hutchinson	u t͡ʃ ĩ s õ
ideólogos	i d e ɔ l o ɡ o s
ilesos	i l e z o s
imparciais	ĩ p a ɻ s i a j s
incluo	ĩ k l u o
inconsequentes	ĩ k õ s e k ẽ t e s
instalador	ĩ s t a l a d o ɻ
instou	ĩ s t o
insultam	ĩ s u w t ɐ̃ w̃
intempéries	ĩ t ẽ p ɛ ɾ i e s
interiorização	ĩ t e ɾ i o ɾ i z a s ɐ̃ w̃
invadia	ĩ v a d͡ʒ i a
ipês	i p e j s
irromperam	i ʁ õ p e ɾ ɐ̃ w̃
isac	i z a k
itv	i t e v e
ivaí	i v a i
jacobi	ʒ a k o b i
jamison	ʒ a m i z õ
jazzy	ʒ a z i
jef	ʒ ɛ f
jipes	ʒ i p e s
jourdan	ʒ o w ɻ d ɐ̃
justificasse	ʒ u s t͡ʃ i f i k a s e
kaiowá	k a j o w a
karité	k a ɾ i t ɛ
karzai	k a ɻ z a j
keri	k e ɾ i
kkkkkkkkk	k e k e k e k e k e
kool	k u w
krusty	k ɾ u s t͡ʃ i
lah	l a
lari	l a ɾ i
lasse	l a s e
leya	l ɛ j a
liane	l i ɐ n e
linchado	l ĩ ʃ a d o
loi	l o j
lusitanos	l u z i t ɐ n o s
lívio	l i v i o
mandares	m ɐ̃ d a ɾ e s
mantovani	m ɐ̃ t o v a n i
materializado	m a t e ɾ i a l i z a d o
mattel	m a t ɛ w
maven	m a v ẽ j̃
mengele	m ẽ ʒ ɛ l e
metástases	m e t a s t a z e s
metódica	m e t ɔ d͡ʒ i k a
minna	m i n a
minutas	m i n u t a s
mitral	m i t ɾ a w
monsaraz	m õ s a ɾ a j s
monstruosas	m õ s t ɾ u ɔ z a s
morressem	m o ʁ ɛ s ẽ j̃
