af	a f
værdierne	v ɛ r d j ə r n ə
wrong	v r ɔ n ɡ
würtz	v y r t s
årstider	ɔ r s t iː d ə r
anger	a n ɡ ə r
arktiske	a r k t i s k ə
arrest	a r ə s t
assist	a s i s t
ave	aː v ə
bannere	b a n eː r ə
beirut	b a j r u t
bekender	b e k ɛ n ə r
belaster	b e l a s t ə r
beskyttelsen	b e s k ø t ə l s ə n
bestanden	b e s t a n ə n
betaget	b e t aː ɣ ə ð
betegne	b e t a j n ə
blinkende	b l e n k ə n ə
caféer	k a f eː ə r
close	k l oː s ə
collection	k ɔ l ɛ k s j oː n
corona	k o r oː n a
della	d ɛ l a
dof	d ɔ f
elbæk	ɛ l b ɛ k
fjerneste	f j ɛ r n ə s t ə
forlængede	f ɔ r l ɛ n ɡ ə ð ə
foroven	f ɔ r ɔ vˀ ə n
forskrækket	f ɔ r s k r ɛ k ə ð
fortaler	f ɔ r t aː l ə r
forvalter	f ɔ r v a l t ə r
frandsen	f r a n s ə n
garde	ɡ a r d ə
gense	ɡ ɛ n s ə
grimm	ɡ r e m
gyldige	ɡ y l d i ə
hevet	h eː v ə ð
hilste	h i l s t ə
horizon	h o r i s oː n
højrefløjen	h ø j r ə f l ø j ə n
indgriben	e n ɡ r iː b ə n
internettets	e n t ə r n ɛ t ə t s
invitationen	e n v i t a ɕ oˀ n ə n
jessen	j ɛ s ə n
joanna	j o a n a
kirby	k i r b yː
komitéen	k o m i t eː ə n
konvention	k ɔ n v ɛ n s j oː n
kortvarig	k ɔ r t v aː r i
kulturhistoriske	k u l t u r h i s t oː r i s k ə
landdistrikterne	l a n d i s t r e k t ə r n ə
ledede	l eː ð ə ð ə
leigh	l a jˀ
malerisk	m a l eː r i s k
mandarin	m a n d a r iː n
middelalder	m i d ə l a l ə r
minimere	m i n i m eː r ə
missilet	m i s i l eː t
modstanderne	m o ð s t a n ə r n ə
moss	m ɔ s
nico	n i k o
parallelle	p a r a l ɛ l ə
patron	p a t r oː n
politimester	p o l i t i m ɛ s t ə r
politistation	p o l i t i s t a ɕ oˀ n
powers	p ɔ w ə r s
producenterne	p r o d j u s ɛ n t ə r n ə
protokoller	p r o t o k ɔ l ə r
rotation	r o t a ɕ oˀ n
rumænske	r u m ɛː n s k ə
rygestop	r yː ə s t ɔ p
samsøe	s a m s øː ə
seriemorder	s e r i ə m o r d ə r
skabene	s k aː b ə n ə
skæbner	s k ɛː b n ə r
skælskør	s k ɛ l s k øː r
slaverne	s l a v ə r n ə
smilende	s m iː l ə n ə
spice	s p iː s ə
splid	s p l i ð
springet	s p r e n ɡ ə ð
startende	s t a r t ə n ə
stygge	s t y ɡ ə
tea	t eː a
transkønnede	t r a n s k œ n ə ð ə
tygge	t y ɡ ə
tyren	t yː r ə n
uddannes	u d a n ə s
udstillede	u d s t e l ə ð ə
unaturligt	u n a t uː r l i t
vagten	v a k t ə n
vestegnen	v ɛ s t a j n ə n
vestens	v ɛ s t ə n s
wang	v a n ɡ
åre	ɔː r ə
administrerer	a d m i n i s t r eː r ə r
ago	a ɡ o
antikviteter	a n t i k v i t eː t ə r
antoine	a n t o iː n ə
arver	a r v ə r
avengers	a v ɛ n ɡ ə r s
aya	a j a
bakket	b a k ə t
bale	b aː l ə
baller	b a l ə r
because	b e k oː s ə
befinde	b e f e n ə
begiver	b e ɡ iː v ə r
belyst	b e l ø s t
blokerede	b l o k ə r eː ð ə
bløder	b l øː ð ə r
bælter	b ɛ l t ə r
custom	k u s t ɔ m
ditlevsen	d i t l ɛ v s ə n
drages	d r aː ɣ ə s
dragten	d r a k t ə n
ecco	ɛ k o
edvard	e ð v a rˀ d
elin	e l iː n
folkelig	f ɔ l k ə l i
forstående	f ɔ r s t ɔː ə n ə
fortabt	f ɔ r t a p t
fuldmægtig	f u l m ɛ ɡ t i
fælden	f ɛ l ə n
gallerier	ɡ a l ə r iː ə r
gallery	ɡ a l ə r yː
gidsel	ɡ i s ə l
graders	ɡ r aː d ə r s
guden	ɡ uː d ə n
hella	h ɛ l a
henvendt	h ɛ n v ɛ n t
hustruen	h u s t r uː ə n
hyldet	h y l ə ð
idiotisk	i d i oː t i s k
ignorerede	i n o r eː r ə ð ə
indflydelsesrige	e n f l yː d ə l s ə s r iː ə
indstil	e n s t eː l
indstilles	e n s t e l ə s
indtræffer	e n t r ɛ f ə r
infektionen	e n f ɛ k s j oː n ə n
inkluderede	e n k l u d eː r ə ð ə
intervaller	e n t ə r v a l ə r
invadere	e n v a d eː r ə
jackpot	j a k p ɔ t
kendetegner	k ɛ n ə t a j n ə r
kiss	k i s
knyttes	k n ø t ə s
konkurrerende	k ɔ n k u r eː r ə n ə
kosten	k ɔ s t ə n
krigsførelse	k r iː s f øː r ə l s ə
lambert	l a m b ə r t
litterær	l i t ə r ɛː r
låste	l ɔ s t ə
mack	m a k
mamma	m a m a
mangfoldige	m a n ɡ f ɔ l d i ə
martini	m a r t i n iː
massakren	m a s a k r ə n
mclaren	m k l aː r ə n
misundelse	m i s o n ə l s ə
nikki	n e k i
niko	n i k o
optimal	ɔ p t i m aː l
organisatoriske	ɔ r ɡ a n i s a t oː r i s k ə
picnic	p i k n i k
prestigefyldte	p r ɛ s t i ə f y l t ə
psykologen	s y k o l oː ɡ ə n
puma	p uː m a
punch	p o n s j
racistiske	r a s i s t i s k ə
raketten	r a k ɛ t ə n
ranger	r a n ɡ ə r
realisme	r e a l i s m ə
reception	r ɛ s ɛ p s j oː n
reflekterer	r ɛ f l ɛ k t eː r ə r
reservation	r ɛ s ɛ r v a ɕ oˀ n
rigdomme	r iː d ɔ m ə
salsa	s a l s a
share	s j aː r ə
sing	s e n ɡ
skinnerne	s k e n ə r n ə
skrabe	s k r aː b ə
spasser	s p a s ə r
spirit	s p i r i t
spæde	s p ɛː ð ə
stimulere	s t i m u l eː r ə
stjerneskud	s t j ɛ r n ə s k u ð
strafbart	s t r a f b a r t
svanen	s v aː n ə n
tasterne	t a s t ə r n ə
tilføres	t e l f øː r ə s
tiltalende	t e l t aː l ə n ə
tolke	t ɔ l k ə
toms	t ɔ m s
trafikulykke	t r a f i k u l ø k ə
trolddom	t r ɔ l d ɔ m
trækfugle	t r ɛ k f uː l ə
trøste	t r ø s t ə
udstedte	u d s t ɛ t ə
uskadt	u s k a t
uvejr	u v a jˀ r
uvildig	u v i l d i
veksle	v ɛ k s l ə
vildere	v i l ə r ə
virum	v iː r ɔ m
værktøjet	v ɛ r k t ø j ə ð
walking	v a l k e n ɡ
zu	s uːˀ
åbenlys	ɔː b ə n l yː s
årsværk	ɔ r s v ɛ r k
årtiers	ɔ r t j ə r s
æret	ɛː r ə ð
øllet	ø l ə ð
adrenalin	a d r ə n a l iː n
affæren	a f ɛː r ə n
afrundet	a f r o n ə t
akse	a k s ə
akvarium	a k v aː r i ɔ m
alen	aː l ə n
aliens	a l j ɛ n s
alison	a l i s oː n
allison	a l i s oː n
angelina	a n ɡ ə l iː n a
appellere	a p ə l eː r ə
beholderen	b e h ɔ l d eː r ə n
behåret	b e h ɔː r ə ð
bjarke	b j a r k ə
boldspil	b ɔ l s p eː l
boxen	b ɔ k s ə n
brigitte	b r i ɡ i t ə
broderen	b r o d eː r ə n
brygger	b r ø ɡ ə r
byron	b y r oː n
cirkulære	s i r k u l ɛː r ə
conor	k o n oː r
cost	k ɔ s t
cotton	k ɔ t ɔ n
dani	d a n iː
danielle	d a n j ɛ l ə
dialekt	d i a l ɛ k t
drengens	d r ɛ n ɡ ə n s
drænet	d r ɛː n ə ð
dvale	d v aː l ə
dømmekraft	d œ m ə k r a f t
feng	f ɛ n ɡ
folkekirkens	f ɔ l k ə k i r k ə n s
formler	f ɔ r m l ə r
forsømte	f ɔ r s œ m t ə
fortryllende	f ɔ r t r ø l ə n ə
fravalg	f r a v a lˀ ɣ
fremskynde	f r ɛ m s k ø n ə
frugterne	f r o k t ə r n ə
fuldmåne	f u l m ɔː n ə
gestapo	ɡ e s t a p o
halo	h a l o
hjemmekamp	j ɛ m ə k a m p
hjørnerne	j œ r n ə r n ə
holden	h ɔ l ə n
holsten	h ɔ l s t ə n
hoover	h oː v ə r
humanistiske	h u m a n i s t i s k ə
hurley	h u r l i
hussein	h u s ə iː n
hvilede	v iː l ə ð ə
hyde	h yː d ə
icon	i k ɔ n
indsættelse	e n s ɛ t ə l s ə
interface	e n t ə r f aː s ə
irina	i r iː n a
jaguar	j a ɡ u aː r
jepsen	j ɛ p s ə n
josefine	j oː s ə f iː n ə
jule	j uː l ə
kapsejlads	k a p s a j l a s
kardashian	k a r d a s j aː n
kathrine	k a t r iː n ə
kitchen	k i t s j ə n
kjellerup	k j ɛ l ə r u p
kridt	k r i t
kåre	k ɔː r ə
label	l aː b ə l
lasten	l a s t ə n
lies	l iː s
linen	l iː n ə n
lundberg	l o n b ɛ r ɡ
lungekræft	l ɔ ŋ ə k r ɛ f t
lysene	l yː s ə n ə
lønnet	l œ n ə ð
macho	m a s j o
maguire	m a ɡ iː r ə
marchere	m a r s j eː r ə
margot	m a r ɡ ɔ t
matchet	m a t s j ɛ t
menige	m eː n i ə
mildere	m i l ə r ə
minna	m e n a
mødrene	m ø d r ə n ə
niall	n i a l
nikolai	n i k o l a j
nobel	n oː b ə l
noble	n oː b l ə
nys	n yː s
overdrive	ɔ v ə r d r iː v ə
pauline	p o l iː n ə
politiskolen	p o l i t i s k oː l ə n
poste	p ɔ s t ə
prioriteter	p r i o r i t eː t ə r
påbegyndes	p ɔː b ə ɡ ø n ə s
påstanden	p ɔ s t a n ə n
racist	r a s i s t
renses	r ɛ n s ə s
repertoire	r ɛ p ə r t w aː r ə
retmæssige	r ɛ t m ɛ s i ə
returnerer	r ɛ t u r n eː r ə r
rice	r iː s ə
rihanna	r i h a n a
rives	r iː v ə s
rubin	r u b iː n
rytmen	r ø t m ə n
sands	s a n s
santander	s a n t a n ə r
sexliv	s ɛ k s l iː v
sjældnere	s j ɛ l n eː r ə
skattelettelser	s k a t ə l ɛ t ə l s ə r
skorsten	s k ɔ r s t ə n
slukkede	s l o k ə ð ə
smerterne	s m ɛ r t ə r n ə
spekulationer	s p e k u l a ɕ oˀ n ə r
springvand	s p r e n ɡ v a n d
strandene	s t r a n ə n ə
stranger	s t r a n ɡ ə r
strejker	s t r a j k ə r
tilstod	t e l s t oː d
titus	t i t u s
tornado	t ɔ r n aː d o
tumblr	t o m b l r
tågen	t ɔː ɣ ə n
udtrykkes	u d t r ø k ə s
vic	v i k
værdsætte	v ɛ r s ɛ t ə
yards	j a r s
årigt	ɔ r e k t
admin	a d m iː n
adobe	a d oː b ə
afgrunden	a f ɡ r o n ə n
afsky	a f s k yː
afsæt	a f s ɛ t
aminosyrer	a m i n o s yː r ə r
anarki	a n a r k iː
anes	aː n ə s
arbejderen	a r b a j d eː r ə n
arvinger	a r v e n ɡ ə r
balkonen	b a l k oː n ə n
bavnehøj	b a v n ə h ø j
betegnelser	b e t a j n ə l s ə r
bibelske	b iː b ə l s k ə
bitterhed	b i t ə r h e ðˀ
busken	b u s k ə n
cards	k a r s
crone	k r oː n ə
dalby	d a l b yː
daphne	d a f n ə
dersom	d ɛ r s ɔ m
dominere	d o m i n eː r ə
drejes	d r a j ə s
dyrebare	d y r ə b aː r ə
dørs	d œ r s
elefanten	e l ə f a n t ə n
englene	ɛ n ɡ l eː n ə
fansene	f a n s ə n ə
forbruget	f ɔ r b r uː ə ð
forkælede	f ɔ r k ɛː l ə ð ə
fællesskaber	f ɛ l ə s s k aː b ə r
gemmes	ɡ ɛ m ə s
genstanden	ɡ ɛ n s t a n ə n
gerry	ɡ ɛ r i
gus	ɡ uː s
hei	h a jˀ
henvende	h ɛ n v ɛ n ə
his	h iː s
hårdest	h ɔ r d ə s t
imf	e m f
indikere	e n d i k eː r ə
jaja	j a j a
jubilæet	j u b i l ɛːˀ ə ð
kanye	k a n yː ə
knas	k n aː s
kolonner	k o l ɔ n ə r
kontroller	k ɔ n t r ɔ l ə r
kronprinsen	k r oː n p r ɛ n s ə n
kuppel	k o p ə l
kurator	k u r aː t ə r
ladt	l a t
lenny	l ɛ n i
ligeligt	l iː ə l i t
liker	l i k ə r
lit	l i t
livsform	l i v s f ɔ r m
mejeri	m a j ə r iː
mikroorganismer	m i k r o ɔ r ɡ a n i s m ə r
musikpris	m u s e k p r iː s
mustang	m u s t a n ɡ
optakten	ɔ p t a k t ə n
oral	o r aː l
orme	ɔ r m ə
overførslen	ɔ v ə r f œ r s l ə n
patterson	p a t ə r s oː n
provins	p r o v e n s
resident	r ɛ s i d ɛ n t
resort	r e s ɔ r t
rocker	r ɔ k ə r
route	r uː t ə
russeren	r u s eː r ə n
ræs	r ɛː s
ræven	r ɛː v ə n
salme	s a l m ə
sandsynlig	s a n s yː n l i
sangeren	s a n ɡ eː r ə n
schmeichel	s m a j s j ə l
script	s k r e p t
sibirien	s i b i r i ə n
skoles	s k oː l ə s
skrøbelig	s k r øː b ə l i
snehvide	s n eː v iː ð ə
sohn	s oː n
stauder	s t a v d ə r
stempler	s t ɛ m p l ə r
studietur	s t u d j ə t uː r
termisk	t ɛ r m i s k
tilføre	t e l f øː r ə
travle	t r a v l ə
trins	t r e n s
triumph	t r i ɔ m f
tvivle	t v i v l ə
tændes	t ɛ n ə s
tæver	t ɛː v ə r
uber	uː b ə r
ul	u l
urene	u r eː n ə
vestkyst	v ɛ s t k ø s t
værdige	v ɛ r d i ə
adopterede	a d ɔ p t eː r ə ð ə
aflæse	a f l ɛː s ə
afsætter	a f s ɛ t ə r
arkitekturen	a r k i t ɛ k t yː r ə n
arvingerne	a r v e n ɡ ə r n ə
atomer	a t oː m ə r
barack	b a r a k
begrave	b e ɡ r aː v ə
bitcoin	b i t k o iː n
bladets	b l aː d ə t s
blitz	b l e t s
boxer	b ɔ k s ə r
boyle	b ø j l ə
burma	b u r m a
carroll	k a r ɔ l
cheese	s j iː s ə
child	s j i lˀ
dash	d a s j
demente	d e m ɛ n t ə
dryppe	d r ø p ə
elskende	ɛ l s k ɛ n ə
energikilde	eː n ə r ɡ i k i l ə
englændere	ɛ n ɡ l ɛ n d ə r ə
faglært	f a ɣ l ɛ r t
fastsætter	f a s t s ɛ t ə r
fatale	f a t aː l ə
flammerne	f l a m ə r n ə
flat	f l a t
forlyder	f ɔ r l yː d ə r
formuer	f ɔ r m uː ə r
fre	f r eːˀ
fredens	f r eː ð ə n s
fremkalder	f r ɛ m k a l ə r
friste	f r e s t ə
grønsager	ɡ r œ n s aː ɡ ə r
hamlet	h a m l ə ð
hepper	h ɛ p ə r
herpes	h ɛ r p ə s
hestekræfter	h ɛ s t ə k r ɛ f t ə r
hicks	h e k s
hummer	h o m ə r
hypnose	h y p n oː s ə
hypotese	h y p o t eː s ə
hyrde	h y r d ə
håndholdt	h ɔ n h ɔ l t
håner	h ɔː n ə r
informerer	e n f ɔ r m eː r ə r
ingeborg	e n ɡ ə b ɔ r ɡ
intakte	e n t a k t ə
jenner	j ɛ n ə r
karneval	k a r n ə v aː l
katastrofale	k a t a s t r o f aː l ə
kendetegnende	k ɛ n ə t a j n ə n ə
klodens	k l oː d ə n s
kontinenter	k ɔ n t i n ɛ n t ə r
kristianstad	k r e s t j a n s t a ð
kroniske	k r oː n i s k ə
krydderi	k r y ð ə r iː
kulstof	k u l s t ɔ f
kung	k o n ɡ
kvæstelser	k v ɛ s t ə l s ə r
lester	l ɛ s t ə r
lock	l ɔ k
lori	l o r i
låsen	l ɔː s ə n
lægens	l ɛː ɣ ə n s
læren	l ɛː r ə n
løsgænger	l ø s ɡ ɛ n ɡ ə r
maximus	m a k s i m u s
mikrofonen	m i k r o f oː n ə n
nebraska	n e b r a s k a
nyrer	n yː r ə r
opkast	ɔ p k a s t
opstiller	ɔ p s t e l ə r
orkanen	ɔ r k aː n ə n
patenter	p a t ɛ n t ə r
pitt	p i t
programmere	p r o ɡ r a m eː r ə
prægede	p r ɛː ɣ ə ð ə
publikation	p u b l i k a ɕ oˀ n
påfaldende	p ɔ f a l ə n ə
range	r a n ɡ ə
resurser	r ɛ s u r s ə r
rost	r ɔ s t
rådne	r ɔ d n ə
salomon	s a l o m oː n
sangskriver	s a n ɡ s k r iː v ə r
sikrere	s e k r eː r ə
skeletter	s k e l ɛ t ə r
skoleåret	s k oː l ə ɔ r ə ð
smede	s m eː ð ə
smukfest	s m o k f ɛ s t
tacos	t a k oː s
tanja	t a n j a
totalitære	t o t a l i t ɛː r ə
trille	t r e l ə
trådene	t r ɔː ð ə n ə
tube	t uː b ə
udset	u d s ɛ t
ustabile	u s t a b iː l ə
vandløbet	v a n l øː b ə ð
vandstanden	v a n s t a n ə n
verbale	v ɛ r b aː l ə
yndigt	ø n d e ɡ t
adoption	a d ɔ p s j oː n
ads	a s
aktør	a k t øː r
aleppo	a l ɛ p o
arrestere	a r ə s t eː r ə
bambus	b a m b u s
bedømt	b e d œ m t
benævnes	b e n ɛ v n ə s
beregner	b e r a j n ə r
bestyrelser	b e s t yː r ə l s ə r
bevarelse	b e v aː r ə l s ə
børster	b œ r s t ə r
campingplads	k a m p e n ɡ p l a s
current	k u r ɛ n t
cyklede	s y k l eː ð ə
display	d i s p l æ j
doe	d oː ə
dækkende	d ɛ k ə n ə
electric	e l ɛ k t r i k
elevatoren	e l ə v a t oː r ə n
elsk	ɛ l s k
fastlægge	f a s t l ɛ ɡ ə
finanser	f i n a n s ə r
fiskede	f e s k ə ð ə
forhøjede	f ɔ r h ø j ə ð ə
forseglet	f ɔ r s a j l ə ð
forsket	f ɔ r s k ɛ t
forsæt	f ɔ r s ɛ t
frelst	f r ɛ l s t
fuldkorn	f u l k ɔ r n
garderobe	ɡ a r d ə r oː b ə
glædes	ɡ l ɛː ð ə s
hamburger	h a m b u r ɡ ə r
hole	h oː l ə
hunnen	h o n ə n
iaften	i a f t ə n
industrier	e n d u s t r iː ə r
installerede	e n s t a l eː r ə ð ə
inte	e n t ə
italian	i t a l j aː n
jenna	j ɛ n a
jong	j ɔ n ɡ
kande	k a n ə
kapitalismen	k a p i t a l i s m ə n
kommen	k ɔ m ə n
konges	k ɔ n ɡ ə s
konkurrenterne	k ɔ n k u r ə n t ɛ r n ə
kostskole	k ɔ s t s k oː l ə
kreativt	k r e a t i v t
kørslen	k ø r s l ə n
lapper	l a p ə r
laptop	l a p t ɔ p
less	l ɛ s
lidelsen	l iː ð ə l s ə n
lidenskabelig	l iː ð ə n s k aː b ə l i
lysår	l y s ɔ r
lågen	l ɔː ɣ ə n
maps	m a p s
markeres	m a r k eː r ə s
medvirkede	m e ð v e r k ə ð ə
mk	ɛ m k a
mønten	m ø n t ə n
naive	n a iː v ə
nervesystemet	n ɛ r v ə s y s t eː m ə ð
niche	n i s j ə
næsehorn	n ɛː s ə h ɔ r n
opbygger	ɔ p b ø ɡ ə r
overtagelsen	ɔ v ə r t aː ɣ ə l s ə n
pepper	p ɛ p ə r
plys	p l yː s
poetiske	p o eː t i s k ə
policy	p o l i s yː
psykoterapi	s y k o t ə r a p iː
puttede	p u t ə ð ə
rivers	r iː v ə r s
robotterne	r o b ɔ t ə r n ə
rue	r uː ə
samliv	s a m l iː v
sejlene	s a j l eː n ə
selma	s ɛ l m a
skiløb	s k i l øː b
skyldte	s k y l t ə
statskundskab	s t a t s k o n s k aː b
succeser	s u k s eː s ə r
synonym	s y n o n yː m
systemerne	s y s t ə m ɛ r n ə
sømil	s ø m iː l
tanks	t a n k s
termer	t ɛ r m ə r
tilnærmelsesvis	t e l n ɛ r m ə l s ə s v iː s
tiltaler	t e l t aː l ə r
torpedo	t ɔ r p eː d o
trane	t r aː n ə
trofæer	t r o f ɛː ə r
udryddelse	u d r ø d ə l s ə
undertrykt	o n ə r t r ø k t
vens	v ɛ n s
venskaber	v ɛ n s k aː b ə r
vermont	v ɛ r m ɔ n t
witch	v i t s j
æsken	ɛ s k ə n
øjenkontakt	ø j ə n k ɔ n t a k t
ølstykke	ø l s t ø k ə
afløse	a f l øː s ə
afspejle	a f s p a j l ə
alka	a l k a
amazon	a m a s oː n
ansigtsudtryk	a n s e k t s u d t r ø k
anspændt	a n s p ɛ n t
beatrice	b e a t r iː s ə
bleer	b l eː ə r
blindt	b l e n t
blokade	b l o k aː d ə
brikkerne	b r e k ə r n ə
burhan	b u r h aː n
burt	b u r t
cyklist	s y k l i s t
disc	d i s k
dolph	d ɔ l f
dækkene	d ɛ k ə n ə
eksistentielle	ɛ k s i s t ə n s j ɛ l ə
endeløse	ɛ n ə l øː s ə
esteban	ɛ s t ə b aː n
flokke	f l ɔ k ə
forsinkelsen	f ɔ r s e n k ə l s ə n
fortolkes	f ɔ r t ɔ l k ə s
fortrød	f ɔ r t r øː d
fotograferer	f o t o ɡ r a f eː r ə r
fremkaldt	f r ɛ m k a l t
fremsatte	f r ɛ m s a t ə
fysiologi	f y s i o l o ɡ iː
gandhi	ɡ a n h iː
gil	ɡ iː l
gilleleje	ɡ i l ə l a j ə
ginger	ɡ e n ɡ ə r
golfbane	ɡ ɔ l f b aː n ə
guitaren	ɡ i t aː r ə n
hacker	h a k ə r
hanson	h a n s ɔ n
harddisken	h a r d e s k ə n
håndteres	h ɔ n t eː r ə s
implicit	e m p l i s i t
important	e m p ɔ r t a n t
intellekt	e n t ə l ɛ k t
ivs	i vˀ s
jubler	j u b l ə r
kasino	k a s iː n o
katedralen	k a t ə d r aː l ə n
kidd	k i d
klemmer	k l ɛ m ə r
kuk	k o k
kvalifikation	k v a l i f i k a ɕ oˀ n
kår	k ɔːˀ r
lexi	l ɛ k s i
lokation	l o k a ɕ oˀ n
læner	l ɛː n ə r
lærdom	l ɛ r d ɔ m
mall	m a l
marty	m a r t yː
memorial	m e m o r i aː l
muse	m uː s ə
naser	n aː s ə r
nostalgi	n ɔ s t a l ɡ iː
nudler	n u d l ə r
nærværende	n ɛ r v ɛː r ə n ə
overhængende	ɔ v ə r h ɛ n ɡ ə n ə
pakhus	p a k h uː s
parasitter	p a r a s i t ə r
pentagon	p ɛ n t a ɡ ɔ n
pinden	p e n ə n
piske	p e s k ə
planlægges	p l a n l ɛ ɡ ə s
politibetjente	p o l i t i b e t j ɛ n t ə
portugisiske	p ɔ r t u ɡ iː s i s k ə
præsentationen	p r ɛ s ə n t a ɕ oˀ n ə n
publikums	p u b l i k ɔ m s
raoul	r a uː l
rebekka	r e b ɛ k a
reklamerer	r ɛ k l a m eː r ə r
reno	r eː n o
replik	r e p l e k
ringene	r e n ɡ ə n ə
rytmer	r ø t m ə r
sander	s a n ə r
sejrer	s a j r ə r
sektoren	s ɛ k t oː r ə n
selvsikker	s ɛ l s e k ə r
sete	s eː t ə
shelley	s j ɛ l i
sikkerhedssele	s e k ə r h e s ə l ə
simmons	s e m ɔ n s
skelnes	s k ɛ l n ə s
skywalker	s k y v a l k ə r
sladder	s l a d ə r
slikket	s l e k ə ð
sole	s oː l ə
solomon	s o l o m oː n
stafetten	s t a f ɛ t ə n
standby	s t a n b yː
stud	s t u d
stump	s t o m p
syltetøj	s y l t ə t ø j
sync	s ø n s
temple	t ɛ m p l ə
testosteron	t ɛ s t ɔ s t ə r oː n
than	t h a n
tilbøjelig	t e l b ø j ə l i
tilmeldte	t e l m ɛ l t ə
tilrettelagt	t e l r ɛ t ə l a ɡ t
troldmanden	t r ɔ l m a n ə n
udstrakt	u d s t r a k t
uformelle	u f ɔ r m ɛ l ə
ugler	uː l ə r
øvelsen	øː v ə l s ə n
abbott	a b ɔ t
aben	aː b ə n
afspejles	a f s p a j l ə s
aktieselskab	a k t iː s ə l s k aː b
appelsiner	a p ə l s iː n ə r
attraktion	a t r a k s j oː n
bizart	b i s a r t
blackjack	b l a k j a k
blege	b l a j ə
brands	b r a n s
bredeste	b r eː ð ə s t ə
brystkassen	b r ø s t k a s ə n
champ	s j a m p
checke	s j ɛ k ə
compton	k ɔ m p t ɔ n
cort	k ɔ r t
cube	k uː b ə
digtere	d e k t eː r ə
disco	d i s k o
distrikter	d i s t r e k t ə r
drabene	d r aː b ə n ə
elisa	e l iː s a
empati	ɛ m p a t iː
episk	eː p i s k
essentielle	ɛ s ə n s j ɛ l ə
fanny	f a n i
fiber	f iː b ə r
fliser	f l iː s ə r
forhandles	f ɔ r h a n l ə s
forlystelser	f ɔ r l ø s t ə l s ə r
formere	f ɔ r m eː r ə
formulere	f ɔ r m u l eː r ə
forsinker	f ɔ r s e n k ə r
för	f øːˀ r
gisp	ɡ i s p
gotta	ɡ ɔ t a
hakke	h a k ə
heights	h a j t s
helium	h eː l i ɔ m
hepatitis	h e p a t i t i s
hilst	h i l s t
hjorte	j ɔ r t ə
hore	h oː r ə
hunner	h o n ə r
hvervet	v ɛ r v ə ð
håndhæve	h ɔ n h ɛː v ə
indpas	e n p a s
indsendte	e n s ɛ n t ə
indspillede	e n s p e l ə ð ə
integrere	e n t ə ɡ r eː r ə
intimt	e n t e m t
iphones	i p h oː n ə s
joakim	j o a k iː m
julefrokosten	j uː l ə f r o k ɔ s t ə n
katastrofalt	k a t a s t r o f a l t
keep	k iː p
klaget	k l aː ɣ ə ð
koncepter	k ɔ n s ɛ p t ə r
konfrontere	k ɔ n f r ɔ n t eː r ə
korridor	k ɔ r i d ɔ r
kunnen	k o n ə n
kæmpestore	k ɛ m p ə s t oː r ə
lemon	l e m oː n
lyrik	l y r e k
mande	m a n ə
manus	m a n u s
mara	m a r a
matte	m a t ə
mutation	m u t a ɕ oˀ n
nic	n i k
nonner	n ɔ n ə r
norton	n ɔ r t ɔ n
nostalgisk	n ɔ s t a l ɡ i s k
notere	n o t eː r ə
omdannelse	ɔ m d a n ə l s ə
ophidsende	ɔ p h i d s ə n ə
overnatter	ɔ v ə r n a t ə r
patruljer	p a t r u l j ə r
persiske	p ɛ r s i s k ə
pinterest	p e n t ə r ɛ s t
planlæg	p l a n l ɛ ɡ
pops	p ɔ p s
præsidenter	p r ɛ s i d ɛ n t ə r
rabbit	r a b i t
rampe	r a m p ə
regnskov	r a j n s k ɔ v
riger	r iː ə r
ruin	r u iː n
safe	s aː f ə
savannah	s a v a n a
skjolde	s k j ɔ l ə
skræmte	s k r ɛ m t ə
skuddene	s k u d ə n ə
slugt	s l o k t
smartere	s m a r t eː r ə
souvenirs	s u v ə n iː r s
spiseforstyrrelser	s p iː s ə f ɔ r s t y r ə l s ə r
stjernetegn	s t j ɛ r n ə t a j n
stofskifte	s t ɔ f s k e f t ə
strakt	s t r a k t
strømmede	s t r œ m ə ð ə
stænger	s t ɛ n ɡ ə r
støvlerne	s t ø v l ə r n ə
sygepleje	s yː ə p l a j ə
syner	s yː n ə r
tiltrak	t e l t r a k
trænerne	t r ɛː n ə r n ə
turistattraktioner	t u r i s t a t r a k s j oː n ə r
tælles	t ɛ l ə s
ulig	uː l i
vandkanten	v a n k a n t ə n
vanilje	v a n i l j ə
varetaget	v aː r ə t aː ɣ ə ð
velvilje	v ɛ l v i l j ə
verdensberømte	v ɛ r d ə n s b e r œ m t ə
vulkanen	v o l k aː n ə n
warner	v a r n ə r
ærgrer	ɛ r ɡ r ə r
ømme	œ m ə
abbey	a b i
afskære	a f s k ɛː r ə
aktiviteten	a k t i v i t eː t ə n
albuen	a l b uː ə n
algoritmer	a l ɡ o r i t m ə r
artefakter	a r t ə f a k t ə r
belønnes	b e l œ n ə s
berit	b e r i t
beskrevne	b e s k r ɛ v n ə
bestemmelsen	b e s t ɛ m ə l s ə n
blikke	b l e k ə
brochure	b r ɔ s j uː r ə
brøler	b r øː l ə r
bumser	b o m s ə r
cadillac	k a d i l a k
danica	d a n i k a
dejen	d a j ə n
demi	d e m iː
derunder	d e r o n ə r
dirt	d i r t
dolphins	d ɔ l f e n s
draft	d r a f t
egyptisk	e ɡ y p t i s k
eksemplet	ɛ k s ɛ m p l ɛ t
fact	f a k t
fattet	f a t ə t
