ovat	o ʋ ɑ t
pelkurit	p e l k u r i t
pelottavin	p e l o tː ɑ ʋ i n
perukoilla	p e r u k o i̯ lː ɑˣ
peruskouluissa	p e r u s k o u̯ l u i̯ sː ɑ
peruskoulutuksen	p e r u s k o u̯ l u t u k s e n
perusteisiin	p e r u s t e i̯ s iː n
perustuvalla	p e r u s t u ʋ ɑ lː ɑ
pesuainetta	p e s u ɑ i̯ n e tː ɑ
pettäneen	p e tː æ n eː n
pidettävän	p i d e tː æ ʋ æ n
piilotettuna	p iː l o t e tː u n ɑ
pikkulapsia	p i kː u l ɑ p s i ɑ
pinot	p i n o t
pitempää	p i t e m p æː
pitkäaikaistyöttömät	p i t k æ ɑ i̯ k ɑ i̯ s t y ø̯ tː ø m æ t
pitävätkö	p i t æ ʋ æ t k ø
pohjoismaisessa	p o h j o i̯ s m ɑ i̯ s e sː ɑ
poiminut	p o i̯ m i n u t
poistat	p o i̯ s t ɑ t
poistettuja	p o i̯ s t e tː u j ɑ
polttoaineesta	p o l tː o ɑ i̯ n eː s t ɑ
porukoissa	p o r u k o i̯ sː ɑ
possen	p o sː e n
postimerkit	p o s t i m e r k i t
potentiaalisten	p o t e n t i ɑː l i s t e n
predatorsin	p r e d ɑ t o r s i n
prinsessat	p r i n s e sː ɑ t
prostituoitujen	p r o s t i t u o i̯ t u j e n
protokollaa	p r o t o k o lː ɑːˣ
pudottamalla	p u d o tː ɑ m ɑ lː ɑ
pudotuksen	p u d o t u k s e n
puheenvuoroa	p u h eː n ʋ u o̯ r o ɑ
pumput	p u m p u t
puolukat	p u o̯ l u k ɑ t
puolustajaksi	p u o̯ l u s t ɑ j ɑ k s i
puolustamiseksi	p u o̯ l u s t ɑ m i s e k s i
purkamalla	p u r k ɑ m ɑ lː ɑ
pysytellyt	p y s y t e lː y t
pysäköity	p y s æ k ø i̯ t y
pyöräilee	p y ø̯ r æ i̯ l eː
pyöräilyyn	p y ø̯ r æ i̯ l yː n
päivitteli	p æ i̯ ʋ i tː e l i
pärjäsin	p æ r j æ s i n
raiteet	r ɑ i̯ t eː t
rajalan	r ɑ j ɑ l ɑ n
rajapinnan	r ɑ j ɑ p i nː ɑ n
rajapyykin	r ɑ j ɑ p yː k i n
rajoituksen	r ɑ j o i̯ t u k s e n
rakennettavan	r ɑ k e nː e tː ɑ ʋ ɑ n
raphael	r ɑ p h ɑ e l
rasvahappojen	r ɑ s ʋ ɑ h ɑ pː o j e n
ratoksi	r ɑ t o k s i
raviradalla	r ɑ ʋ i r ɑ d ɑ lː ɑ
reedin	r eː d i n
rehuksi	r e h u k s i
revennyt	r e ʋ e nː y t
rikolliseen	r i k o lː i s eː n
rukajärven	r u k ɑ j æ r ʋ e n
rukkaset	r u kː ɑ s e t
ruokalan	r u o̯ k ɑ l ɑ n
ruumaan	r uː m ɑː n
saamistaan	s ɑː m i s t ɑː n
saarnan	s ɑː r n ɑ n
sademetsän	s ɑ d eˣ m e t s æ n
sairaille	s ɑ i̯ r ɑ i̯ lː eˣ
sairastuvalla	s ɑ i̯ r ɑ s t u ʋ ɑ lː ɑ
salaisena	s ɑ l ɑ i̯ s e n ɑ
sarjakuvassa	s ɑ r j ɑ k u ʋ ɑ sː ɑ
sattumaako	s ɑ tː u m ɑː k o
saunomaan	s ɑ u̯ n o m ɑː n
seksikkäät	s e k s i kː æː t
selvitykseen	s e l ʋ i t y k s eː n
september	s e p t e m b e r
seuraako	s e u̯ r ɑː k o
seuroista	s e u̯ r o i̯ s t ɑˣ
shellin	ʃ e lː i n
shift	ʃ i f t
sig	s i ɡ
sijoituksena	s i j o i̯ t u k s e n ɑ
sirun	s i r u n
sissit	s i sː i t
sitoutumisen	s i t o u̯ t u m i s e n
slovan	s l o ʋ ɑ n
soijan	s o i̯ j ɑ n
soitellut	s o i̯ t e lː u t
solmimaan	s o l m i m ɑː n
sonkajärven	s o ŋ k ɑ j æ r ʋ e n
sopusoinnussa	s o p u s o i̯ nː u sː ɑ
sovittanut	s o ʋ i tː ɑ n u t
spekuloimaan	s p e k u l o i̯ m ɑː n
stadionia	s t ɑ d i o n i ɑ
strip	s t r i p
subin	s u b i n
suhtauduttu	s u h t ɑ u̯ d u tː u
sujahti	s u j ɑ h t i
sukupuolella	s u k u p u o̯ l e lː ɑˣ
sunnien	s u nː i e n
suomenoja	s u o̯ m e n o j ɑ
suostuin	s u o̯ s t u i̯ n
surullisin	s u r u lː i s i n
suunnatussa	s uː nː ɑ t u sː ɑ
suuttuvat	s uː tː u ʋ ɑ t
synteettisen	s y n t eː tː i s e n
syntymästään	s y n t y m æ s t æː n
säätelyn	s æː t e l y n
taantumassa	t ɑː n t u m ɑ sː ɑ
taaperon	t ɑː p e r o n
tahoilla	t ɑ h o i̯ lː ɑˣ
taidoilla	t ɑ i̯ d o i̯ lː ɑˣ
taipumuksia	t ɑ i̯ p u m u k s i ɑ
taivasten	t ɑ i̯ ʋ ɑ s t e n
takashi	t ɑ k ɑ ʃ i
tallentavat	t ɑ lː e n t ɑ ʋ ɑ t
talvisodasta	t ɑ l ʋ i s o d ɑ s t ɑ
tanssimassa	t ɑ n sː i m ɑ sː ɑ
tarhaan	t ɑ r h ɑː n
tarjoilijana	t ɑ r j o i̯ l i j ɑ n ɑ
tarkastelemalla	t ɑ r k ɑ s t e l e m ɑ lː ɑ
tarkistettiin	t ɑ r k i s t e tː iː n
tarkoittaakin	t ɑ r k o i̯ tː ɑː k i n
tarkoittivat	t ɑ r k o i̯ tː i ʋ ɑ t
tarkotin	t ɑ r k o t i n
tasoittamaan	t ɑ s o i̯ tː ɑ m ɑː n
tavoiteltavaa	t ɑ ʋ o i̯ t e l t ɑ ʋ ɑː
tc	t eː s eː
tehdessäni	t e h d e sː æ n i
tekijöiksi	t e k i j ø i̯ k s i
term	t e r m
terminator	t e r m i n ɑ t o r
terveinä	t e r ʋ e i̯ n æ
terveyspalveluita	t e r ʋ e y s p ɑ l ʋ e l u i̯ t ɑ
tiedostoihin	t i e̯ d o s t o i̯ h i n
tilaajat	t i l ɑː j ɑ t
tirsk	t i r s k
tissiä	t i sː i æˣ
todistettua	t o d i s t e tː u ɑˣ
toiminnallisuutta	t o i̯ m i nː ɑ lː i s uː tː ɑ
toipumiseen	t o i̯ p u m i s eː n
toisissaan	t o i̯ s i sː ɑː n
tokyo	t o k y o
tosiasioihin	t o s i ɑ s i o i̯ h i n
transihmisten	t r ɑ n s i h m i s t e n
tub	t u b
tuhoamiseksi	t u h o ɑ m i s e k s i
tuijotin	t u i̯ j o t i n
tukin	t u k i n
tukun	t u k u n
tulevaksi	t u l eˣ ʋ ɑ k s i
tulonsiirroilla	t u l o n s iː rː o i̯ lː ɑˣ
tune	t u n eˣ
tuolille	t u o̯ l i lː eˣ
tuomioistuimeen	t u o̯ m i o i̯ s t u i̯ m eː n
tuotemerkkejä	t u o̯ t eˣ m e r kː e j æ
tuottamien	t u o̯ tː ɑ m i e̯ n
turvattua	t u r ʋ ɑ tː u ɑˣ
tutkimuslaitokset	t u t k i m u s l ɑ i̯ t o k s e t
tyhjiön	t y h j i ø n
tylypahkan	t y l y p ɑ h k ɑ n
tyylistään	t yː l i s t æː n
työehtosopimusta	t y ø̯ e h t o s o p i m u s t ɑ
työnantajana	t y ø̯ n ɑ n t ɑ j ɑ n ɑ
työvuoron	t y ø̯ ʋ u o̯ r o n
tähtäävän	t æ h t æː ʋ æ n
tähänkään	t æ h æ n k æː n
tällee	t æ lː eː
täst	t æ s t
törkeistä	t ø r k e i̯ s t æˣ
uhmaa	u h m ɑː
ulkoiseen	u l k o i̯ s eː n
ulkoministeriksi	u l k o m i n i s t e r i k s i
ulottuvuudessa	u l o tː u ʋ uː d e sː ɑ
unionille	u n i o n i lː eˣ
unique	u n i k eˣ
urakkaan	u r ɑ kː ɑː n
uskomuksen	u s k o m u k s e n
utsjoella	u t s j o e lː ɑˣ
uudistamiseksi	uː d i s t ɑ m i s e k s i
vaarallisiin	ʋ ɑː r ɑ lː i s iː n
vaarantamatta	ʋ ɑː r ɑ n t ɑ m ɑ tː ɑ
vadim	ʋ ɑ d i m
vaikutusvaltaisin	ʋ ɑ i̯ k u t u s ʋ ɑ l t ɑ i̯ s i n
vaisuksi	ʋ ɑ i̯ s u k s i
vakiintui	ʋ ɑ k iː n t u i̯
vakituisessa	ʋ ɑ k i t u i̯ s e sː ɑ
valikoimat	ʋ ɑ l i k o i̯ m ɑ t
valikoituja	ʋ ɑ l i k o i̯ t u j ɑ
valinnoissa	ʋ ɑ l i nː o i̯ sː ɑ
valitsemassa	ʋ ɑ l i t s e m ɑ sː ɑ
valmiiden	ʋ ɑ l m iː d e n
valmistajista	ʋ ɑ l m i s t ɑ j i s t ɑ
valmistamat	ʋ ɑ l m i s t ɑ m ɑ t
valtakunnallisten	ʋ ɑ l t ɑ k u nː ɑ lː i s t e n
valtuustoryhmän	ʋ ɑ l t uː s t o r y h m æ n
vaniljaa	ʋ ɑ n i l j ɑː
vapauttavan	ʋ ɑ p ɑ u tː ɑ ʋ ɑ n
varustukseen	ʋ ɑ r u s t u k s eː n
vastaili	ʋ ɑ s t ɑ i̯ l i
vastakkaiset	ʋ ɑ s t ɑ kː ɑ i̯ s e t
vastatuulessa	ʋ ɑ s t ɑ t uː l e sː ɑ
veistoksen	ʋ e i̯ s t o k s e n
verkkokoulutus	ʋ e r kː o k o u̯ l u t u s
viemärin	ʋ i e̯ m æ r i n
vieraskielisten	ʋ i e̯ r ɑ s k i e̯ l i s t e n
viestimään	ʋ i e̯ s t i m æː n
viimeistele	ʋ iː m e i̯ s t e l eˣ
villieläinten	ʋ i lː i e l æ i̯ n t e n
virtain	ʋ i r t ɑ i̯ n
vitsaili	ʋ i t s ɑ i̯ l i
voimakkaiden	ʋ o i̯ m ɑ kː ɑ i̯ d e n
vuosimallin	ʋ u o̯ s i m ɑ lː i n
vuotoja	ʋ u o̯ t o j ɑ
vuotuista	ʋ u o̯ t u i̯ s t ɑˣ
vähemmistöihin	ʋ æ h e mː i s t ø i̯ h i n
vähäisin	ʋ æ h æ i̯ s i n
väliajalla	ʋ æ l i ɑ j ɑ lː ɑ
välimaastoon	ʋ æ l i m ɑː s t oː n
vältettävä	ʋ æ l t e tː æ ʋ æ
wrightin	w r i x t i n
ydinvoimalla	y d i n ʋ o i̯ m ɑ lː ɑ
yhteistyömme	y h t e i̯ s t y ø̯ mː eˣ
yksityishenkilöitä	y k s i t y i̯ s h e ŋ k i l ø i̯ t æ
yleensähän	y l eː n s æ h æ n
yleisemminkin	y l e i̯ s e mː i ŋ k i n
yleistymisen	y l e i̯ s t y m i s e n
yrittämässä	y r i tː æ m æ sː æ
yrittämättä	y r i tː æ m æ tː æ
yrttien	y r tː i e n
zip	t s i p
zombien	t s o m b i e n
äärirajoille	æː r i r ɑ j o i̯ lː eˣ
åsten	o s t e n
ötökät	ø t ø k æ t
ahistaa	ɑ h i s t ɑːˣ
ahtaissa	ɑ h t ɑ i̯ sː ɑ
aiottiin	ɑ i̯ o tː iː n
aiottu	ɑ i̯ o tː u
aitaan	ɑ i̯ t ɑː n
ajatusmaailmaan	ɑ j ɑ t u s m ɑː i l m ɑː n
akselia	ɑ k s e l i ɑ
aktiivisin	ɑ k t iː ʋ i s i n
akulla	ɑ k u lː ɑ
alaisina	ɑ l ɑ i̯ s i n ɑ
aleksanterinkatu	ɑ l e k s ɑ n t e r i n k ɑ t u
aleksin	ɑ l e k s i n
alkoholistien	ɑ l k o h o l i s t i e̯ n
alkoholiveron	ɑ l k o h o l i ʋ e r o n
allekirjoittama	ɑ lː eˣ k i r j o i̯ tː ɑ m ɑ
aloihin	ɑ l o i̯ h i n
aluettaan	ɑ l u e tː ɑː n
analysoitiin	ɑ n ɑ l y s o i̯ t iː n
analysoitu	ɑ n ɑ l y s o i̯ t u
analyysejä	ɑ n ɑ l yː s e j æ
ant	ɑ n t
antaumuksella	ɑ n t ɑ u̯ m u k s e lː ɑˣ
argumentin	ɑ r ɡ u m e n t i n
argumenttisi	ɑ r ɡ u m e n tː i s i
arkussa	ɑ r k u sː ɑ
arvailua	ɑ r ʋ ɑ i̯ l u ɑˣ
arvoaan	ɑ r ʋ o ɑː n
arvoituksia	ɑ r ʋ o i̯ t u k s i ɑ
asentoja	ɑ s e n t o j ɑ
asiallisena	ɑ s i ɑ lː i s e n ɑ
astman	ɑ s t m ɑ n
autoilijalle	ɑ u̯ t o i̯ l i j ɑ lː eˣ
automaatteja	ɑ u̯ t o m ɑː tː e j ɑ
avomerellä	ɑ ʋ o m e r e lː æˣ
avustanut	ɑ ʋ u s t ɑ n u t
barker	b ɑ r k e r
benton	b e n t o n
bergin	b e r ɡ i n
bertram	b e r t r ɑ m
bilbao	b i l b ɑ o
björkman	b j ø r k m ɑ n
bling	b l i ŋ
blomberg	b l o m b e r ɡ
blunt	b l u n t
bussipysäkille	b u sː i p y s æ k i lː eˣ
carlon	k ɑ r l o n
caruna	k ɑ r u n ɑ
citroen	s i t r o e n
dallasiin	d ɑ lː ɑ s iː n
demonien	d e m o n i e n
diabeteksesta	d i ɑ b e t e k s e s t ɑ
didi	d i d i
edelliskaudella	e d e lː i s k ɑ u̯ d e lː ɑˣ
edellytyksin	e d e lː y t y k s i n
edustajiin	e d u s t ɑ j iː n
edustavaa	e d u s t ɑ ʋ ɑː
ehdoitta	e h d o i̯ tː ɑ
ehtiny	e h t i n y
ekaks	e k ɑ k s
ekologisia	e k o l o ɡ i s i ɑ
elvyttämään	e l ʋ y tː æ m æː n
eläessäni	e l æ e sː æ n i
elämästämme	e l æ m æ s t æ mː eˣ
emilie	e m i l i e̯
emmerdale	e mː e r d ɑ l eˣ
englannilla	e ŋ l ɑ nː i lː ɑ
ennustuksia	e nː u s t u k s i ɑ
epäonnistumiseen	e p æ o nː i s t u m i s eː n
eristi	e r i s t i
erkin	e r k i n
eroamisen	e r o ɑ m i s e n
eroavan	e r o ɑ ʋ ɑ n
esiintyjän	e s iː n t y j æ n
esityön	e s i t y ø̯ n
ettäkö	e tː æ k ø
etuosan	e t u o s ɑ n
eurovaalien	e u̯ r o ʋ ɑː l i e n
evidence	e ʋ i d e n s
fang	f ɑ ŋ
farm	f ɑ r m
gregg	ɡ r e ɡː
haamut	h ɑː m u t
haastettu	h ɑː s t e tː u
haavoittuneet	h ɑː ʋ o i̯ tː u n eː t
hakusanalla	h ɑ k u s ɑ n ɑ lː ɑ
hallinnollisen	h ɑ lː i nː o lː i s e n
halvimmalla	h ɑ l ʋ i mː ɑ lː ɑ
hanks	h ɑ ŋ k s
harkittava	h ɑ r k i tː ɑ ʋ ɑ
haru	h ɑ r u
haukan	h ɑ u̯ k ɑ n
haukea	h ɑ u̯ k e ɑ
hauskaksi	h ɑ u̯ s k ɑ k s i
heiluvat	h e i̯ l u ʋ ɑ t
heitätkö	h e i̯ t æ t k ø
henkilöstömäärä	h e ŋ k i l ø s t ø m æː r æ
hertha	h e r t h ɑ
herätän	h e r æ t æ n
hienouksia	h i e̯ n o u k s i ɑ
hiihdoissa	h iː h d o i̯ sː ɑ
hiljaiseen	h i l j ɑ i̯ s eː n
hiller	h i lː e r
hirviöiden	h i r ʋ i ø i̯ d e n
historic	h i s t o r i k
hitain	h i t ɑ i̯ n
homoliitot	h o m o l iː t o t
hub	h u b
huhuttu	h u h u tː u
huippukunnossa	h u i̯ pː u k u nː o sː ɑ
hukun	h u k u n
hung	h u ŋ
huumausaineita	h uː m ɑ u s ɑ i̯ n e i̯ t ɑ
hyväksymässä	h y ʋ æ k s y m æ sː æ
hyökkääjien	h y ø̯ kː æː j i e n
hämeenkyrössä	h æ m eː n k y r ø sː æ
icon	i k o n
ihanampaa	i h ɑ n ɑ m p ɑː
ihmemies	i h m eˣ m i e̯ s
iholta	i h o l t ɑ
ilmajoella	i l m ɑ j o e lː ɑˣ
ilmavoimissa	i l m ɑ ʋ o i̯ m i sː ɑ
ilmestyskirjan	i l m e s t y s k i r j ɑ n
iloiseen	i l o i̯ s eː n
iloitsevat	i l o i̯ t s e ʋ ɑ t
instituution	i n s t i t uː t i o n
instrumentteja	i n s t r u m e n tː e j ɑ
intohimoni	i n t o h i m o n i
isäntien	i s æ n t i e̯ n
ivar	i ʋ ɑ r
janitskinin	j ɑ n i t s k i n i n
jennerin	j e nː e r i n
jepa	j e p ɑ
jodin	j o d i n
johdolta	j o h d o l t ɑ
johtamat	j o h t ɑ m ɑ t
johtavaan	j o h t ɑ ʋ ɑː n
joman	j o m ɑ n
jonotettiin	j o n o t e tː iː n
jossiteltavaa	j o sː i t e l t ɑ ʋ ɑː
joutaisi	j o u̯ t ɑ i̯ s i
juhlasalissa	j u h l ɑ s ɑ l i sː ɑ
juhlisti	j u h l i s t iˣ
junamatkan	j u n ɑ m ɑ t k ɑ n
jussit	j u sː i t
jäbät	j æ b æ t
jämähtänyt	j æ m æ h t æ n y t
järjestelyyn	j æ r j e s t e l yː n
järjestämiä	j æ r j e s t æ m i æ
järkyttyneenä	j æ r k y tː y n eː n æ
jätkäsaaren	j æ t k æ s ɑː r e n
jäykkää	j æ y̯ kː æːˣ
kabulin	k ɑ b u l i n
kadotti	k ɑ d o tː i
kaivan	k ɑ i̯ ʋ ɑ n
kalasatamaan	k ɑ l ɑ s ɑ t ɑ m ɑː n
kalev	k ɑ l e ʋ
kalusteiden	k ɑ l u s t e i̯ d e n
kameroista	k ɑ m e r o i̯ s t ɑˣ
kamerunin	k ɑ m e r u n i n
kannaksella	k ɑ nː ɑ k s e lː ɑˣ
kantaisi	k ɑ n t ɑ i̯ s i
kantautuu	k ɑ n t ɑ u̯ t uː
kapteenille	k ɑ p t eː n i lː eˣ
kasataan	k ɑ s ɑ t ɑː n
kasvaneita	k ɑ s ʋ ɑ n e i̯ t ɑ
kasvattajat	k ɑ s ʋ ɑ tː ɑ j ɑ t
kasvukauden	k ɑ s ʋ u k ɑ u̯ d e n
katkeran	k ɑ t k e r ɑ n
katoksen	k ɑ t o k s e n
kattamiseen	k ɑ tː ɑ m i s eː n
kauhut	k ɑ u̯ h u t
kaupankäynnissä	k ɑ u̯ p ɑ n k æ y̯ nː i sː æ
kauppakeskukseen	k ɑ u̯ pː ɑ k e s k u k s eː n
kaupunginosasta	k ɑ u̯ p u ŋː i n o s ɑ s t ɑ
keksisin	k e k s i s i n
kesinä	k e s i n æ
keskiviikkoiltana	k e s k i ʋ iː kː o i̯ l t ɑ n ɑ
keskushermoston	k e s k u s h e r m o s t o n
keskuspuiston	k e s k u s p u i̯ s t o n
kesätöissä	k e s æ t ø i̯ sː æ
ketut	k e t u t
kieltäydyin	k i e̯ l t æ y̯ d y i̯ n
kierteeseen	k i e̯ r t eː s eː n
kiikarissa	k iː k ɑ r i sː ɑ
kiinnittyvät	k iː nː i tː y ʋ æ t
kiistellään	k iː s t e lː æː n
kiittämään	k iː tː æ m æː n
kirjalliseen	k i r j ɑ lː i s eː n
kirjoittamatta	k i r j o i̯ tː ɑ m ɑ tː ɑ
kirpputorilta	k i r pː u t o r i l t ɑ
klik	k l i k
klikkaat	k l i kː ɑː t
koalition	k o ɑ l i t i o n
kokemansa	k o k eˣ m ɑ n s ɑ
kokemäen	k o k e m æ e n
kokoiselle	k o k o i̯ s e lː eˣ
kokonaisina	k o k o n ɑ i̯ s i n ɑ
kokoonpanoissa	k o k oː n p ɑ n o i̯ sː ɑ
kollektiivista	k o lː e k t iː ʋ i s t ɑ
kolonialismin	k o l o n i ɑ l i s m i n
kopioidaan	k o p i o i̯ d ɑː n
korkeakoulututkintoa	k o r k e ɑ k o u̯ l u t u t k i n t o ɑ
koroilla	k o r o i̯ lː ɑˣ
koskettamaan	k o s k e tː ɑ m ɑː n
kouluaikoina	k o u̯ l u ɑ i̯ k o i̯ n ɑ
kovalle	k o ʋ ɑ lː eˣ
krohn	k r o h n
kuivatut	k u i̯ ʋ ɑ t u t
kulkijat	k u l k i j ɑ t
kuskiksi	k u s k i k s i
kustannuksissa	k u s t ɑ nː u k s i sː ɑ
kustantamaan	k u s t ɑ n t ɑ m ɑː n
kuubasta	k uː b ɑ s t ɑ
kuulutukset	k uː l u t u k s e t
kuuroille	k uː r o i̯ lː eˣ
kuutena	k uː t e n ɑ
kuvaile	k u ʋ ɑ i̯ l eˣ
kuvailivat	k u ʋ ɑ i̯ l i ʋ ɑ t
kuvattuja	k u ʋ ɑ tː u j ɑ
kuvituksia	k u ʋ i t u k s i ɑ
kärkölän	k æ r k ø l æ n
käsikirjoittajana	k æ s i k i r j o i̯ tː ɑ j ɑ n ɑ
käyttämäni	k æ y̯ tː æ m æ n i
käyttäytymistään	k æ y̯ tː æ y̯ t y m i s t æː n
käyttötarkoitukseen	k æ y̯ tː ø t ɑ r k o i̯ t u k s eː n
käytäntöihin	k æ y̯ t æ n t ø i̯ h i n
kölnissä	k ø l n i sː æ
laatikoiden	l ɑː t i k o i̯ d e n
laillisuutta	l ɑ i̯ lː i s uː tː ɑ
lakkaan	l ɑ kː ɑː n
lakkaisi	l ɑ kː ɑ i̯ s i
lamar	l ɑ m ɑ r
lapsuudestani	l ɑ p s uː d e s t ɑ n i
laskettavissa	l ɑ s k e tː ɑ ʋ i sː ɑ
lastina	l ɑ s t i n ɑ
latinot	l ɑ t i n o t
leikkien	l e i̯ kː i e n
leikkinyt	l e i̯ kː i n y t
leivonnaiset	l e i̯ ʋ o nː ɑ i̯ s e t
lennox	l e nː o k s
levität	l e ʋ i t æ t
liikemiehiä	l iː k eˣ m i e̯ h i æ
liikumme	l iː k u mː eˣ
liikuttamaan	l iː k u tː ɑ m ɑː n
liitetyn	l iː t eˣ t y n
limakalvojen	l i m ɑ k ɑ l ʋ o j e n
linkitetty	l i ŋ k i t e tː y
linkkasin	l i ŋ kː ɑ s i n
lissabonissa	l i sː ɑ b o n i sː ɑ
lisävarusteita	l i s æ ʋ ɑ r u s t e i̯ t ɑ
lompakosta	l o m p ɑ k o s t ɑ
lookin	l oː k i n
looks	l oː k s
luetteloa	l u e tː e l o ɑˣ
luihin	l u i̯ h i n
luovuteta	l u o̯ ʋ u t e t ɑˣ
lyhentämään	l y h e n t æ m æː n
lyhyiksi	l y h y i̯ k s i
lyhytaikaista	l y h y t ɑ i̯ k ɑ i̯ s t ɑˣ
lähtöruutuun	l æ h t ø r uː t uː n
lämmittämiseen	l æ mː i tː æ m i s eː n
läntisellä	l æ n t i s e lː æˣ
lääkehoidon	l æː k eˣ h o i̯ d o n
lääkärisi	l æː k æ r i s i
löytymiseen	l ø y̯ t y m i s eː n
löytymisen	l ø y̯ t y m i s e n
maakuntia	m ɑː k u n t i ɑ
maalatut	m ɑː l ɑ t u t
maanpinnalle	m ɑː n p i nː ɑ lː eˣ
maarianhaminassa	m ɑː r i ɑ n h ɑ m i n ɑ sː ɑ
mahdollistava	m ɑ h d o lː i s t ɑ ʋ ɑ
mainitsemaan	m ɑ i̯ n i t s e m ɑː n
maistraatin	m ɑ i̯ s t r ɑː t i n
maltalle	m ɑ l t ɑ lː eˣ
mamujen	m ɑ m u j e n
maradona	m ɑ r ɑ d o n ɑ
marinan	m ɑ r i n ɑ n
markkinoimaan	m ɑ r kː i n o i̯ m ɑː n
matkatavaroiden	m ɑ t k ɑ t ɑ ʋ ɑ r o i̯ d e n
maukkaan	m ɑ u̯ kː ɑː n
medialta	m e d i ɑ l t ɑ
mehuja	m e h u j ɑ
member	m e m b e r
menetykseen	m e n e t y k s eː n
mercer	m e r s e r
meriin	m e r iː n
merirosvoja	m e r i r o s ʋ o j ɑ
miellyttävät	m i e̯ lː y tː æ ʋ æ t
mikrofonia	m i k r o f o n i ɑ
miljoonassa	m i l j oː n ɑ sː ɑ
miljooniin	m i l j oː n iː n
milos	m i l o s
moden	m o d e n
moninaisia	m o n i n ɑ i̯ s i ɑ
muinaisessa	m u i̯ n ɑ i̯ s e sː ɑ
muistikuvaa	m u i̯ s t i k u ʋ ɑː
muistutuksia	m u i̯ s t u t u k s i ɑ
muotoilee	m u o̯ t o i̯ l eː
muotoista	m u o̯ t o i̯ s t ɑˣ
murhaamaan	m u r h ɑː m ɑː n
murtuvat	m u r t u ʋ ɑ t
muuttumiseen	m uː tː u m i s eː n
myrskyjen	m y r s k y j e n
myynnille	m yː nː i lː eˣ
määritelmään	m æː r i t e l m æː n
määrittelyn	m æː r i tː e l y n
määrittelyä	m æː r i tː e l y æˣ
naapurimaan	n ɑː p u r i m ɑː n
narahti	n ɑ r ɑ h t i
niemelän	n i e̯ m e l æ n
nilkkansa	n i l kː ɑ n s ɑ
nimeomaan	n i m e o m ɑː n
nimettömiä	n i m e tː ø m i æ
niskoilleen	n i s k o i̯ lː eː n
nivelten	n i ʋ e l t e n
nokassa	n o k ɑ sː ɑ
nordström	n o r d s t r ø m
näytteestä	n æ y̯ tː eː s t æˣ
näyttelemä	n æ y̯ tː e l e m æ
oc	o k
odotettava	o d o t e tː ɑ ʋ ɑ
ohitettu	o h i t e tː u
ohittaneet	o h i tː ɑ n eː t
ohjaavan	o h j ɑː ʋ ɑ n
ohjautuu	o h j ɑ u̯ t uː
oikeusministerin	o i̯ k e u s m i n i s t e r i n
ojennukseen	o j e nː u k s eː n
oletettavaa	o l e t e tː ɑ ʋ ɑː
oletpa	o l e t p ɑ
oletuksen	o l e t u k s e n
olitpa	o l i t p ɑ
olive	o l i ʋ eˣ
ollessamme	o lː e s s ɑ mː eˣ
omaksuu	o m ɑ k s uː
oppiakseen	o pː i ɑ k s eː n
oppitunnit	o pː i t u nː i t
ostarin	o s t ɑ r i n
ostavan	o s t ɑ ʋ ɑ n
otetuista	o t eˣ t u i̯ s t ɑˣ
ottaneensa	o tː ɑ n eː n s ɑ
ottelustaan	o tː e l u s t ɑː n
pahentavat	p ɑ h e n t ɑ ʋ ɑ t
paikallisvastustaja	p ɑ i̯ k ɑ lː i s ʋ ɑ s t u s t ɑ j ɑ
paistamista	p ɑ i̯ s t ɑ m i s t ɑ
palaudu	p ɑ l ɑ u̯ d u
palomiesten	p ɑ l o m i e̯ s t e n
palvelijan	p ɑ l ʋ e l i j ɑ n
palvelimella	p ɑ l ʋ e l i m e lː ɑˣ
panttivankia	p ɑ n tː i ʋ ɑ ŋ k i ɑ
pattijoen	p ɑ tː i j o e n
patty	p ɑ tː y
pauligin	p ɑ u̯ l i ɡ i n
pave	p ɑ ʋ eˣ
peilejä	p e i̯ l eˣ j æ
peittivät	p e i̯ tː i ʋ æ t
pekonin	p e k o n i n
pelaako	p e l ɑː k o
pelkäisin	p e l k æ i̯ s i n
perheeseensä	p e r h eː s eː n s æ
perhevapaiden	p e r h eˣ ʋ ɑ p ɑ i̯ d e n
peritä	p e r i t æˣ
perässäsi	p e r æ sː æ s i
pettämään	p e tː æ m æː n
pikkujouluihin	p i kː u j o u̯ l u i̯ h i n
pilkulta	p i l k u l t ɑ
pioneerit	p i o n eː r i t
pitkäaikaiset	p i t k æ ɑ i̯ k ɑ i̯ s e t
pittsburghissa	p i t s b u r ɡ h i sː ɑ
plug	p l u ɡ
pohdintoja	p o h d i n t o j ɑ
poliitikkoihin	p o l iː t i kː o i̯ h i n
pommittivat	p o mː i tː i ʋ ɑ t
ponit	p o n i t
poroa	p o r o ɑˣ
portal	p o r t ɑ l
porte	p o r t eˣ
postimerkin	p o s t i m e r k i n
process	p r o s e s
psykiatrisessa	p s y k i ɑ t r i s e sː ɑ
puhalletaan	p u h ɑ lː eˣ t ɑː n
puheena	p u h eː n ɑ
puhuiko	p u h u i̯ k o
puhuttavat	p u h u tː ɑ ʋ ɑ t
pull	p u lː
punaviinin	p u n ɑ ʋ iː n i n
puoliin	p u o̯ l iː n
purkivat	p u r k i ʋ ɑ t
puutteellisia	p uː tː eː lː i s i ɑ
puuttumalla	p uː tː u m ɑ lː ɑ
