bil	b íː l
mrs	m ə́ r s
nadure	n a d ùː r ɛ
najhitrejših	n á j x i t r ɛ́ː j ʃ i x
naključne	n a k l j ùː t͡ʃ n ɛ
napiši	n a p ìː ʃ i
napravila	n a p r a ʋ ìː l a
napreden	n a p r èː d ə n
načinih	n a t͡ʃ ìː n i x
nesposobnost	n ɛ s p ɔ s óː b n ɔ s t
nixon	n i k s óː n
nominalno	n ɔ m i n áː l n ɔ
nordijski	n ɔ r d íː j s k i
nosilna	n ɔ s íː l n a
oaza	ɔ àː z a
objavilo	ɔ b j a ʋ ìː l ɔ
obračanje	ɔ b r a t͡ʃ áː n j ɛ
obvezo	ɔ b ʋ èː z ɔ
občestvo	ɔ p t͡ʃ éː s t ʋ ɔ
odpadejo	ɔ t p a d ɛ́ː j ɔ
odstavka	ɔ t s t áː ʋ k a
odvil	ɔ d ʋ íː l
ogrinjalo	ɔ ɡ r i n j àː l ɔ
okuženo	ɔ k ùː ʒ ɛ n ɔ
olsen	ɔ̀ː ʋ s ə n
omarici	ɔ m a r ìː t͡s i
opisovali	ɔ p i s ɔ ʋ àː l i
opravkov	ɔ p r áː ʋ k ɔ ʋ
ostrimi	ɔ s t r ìː m i
osvaja	ɔ s ʋ áː j a
oto	ɔ̀ː t ɔ
označitev	ɔ z n a t͡ʃ íː t ə ʋ
očitnega	ɔ t͡ʃ íː t n ɛ ɡ a
panorama	p a n ɔ r áː m a
paprika	p àː p r i k a
partnerko	p a r t n éː r k ɔ
patra	p áː t r a
patty	p áː t t i
plakate	p l a k àː t ɛ
plaketa	p l a k éː t a
planinec	p l a n ìː n ə t͡s
plašče	p l áː ʃ t͡ʃ ɛ
plaž	p l áː ʃ
plese	p l èː s ɛ
pobegnejo	p ɔ b ɛ ɡ n ɛ́ː j ɔ
podjetnica	p ɔ d j éː t n i t͡s a
podmornici	p ɔ d m óː r n i t͡s i
podreti	p ɔ d r èː t i
pogaja	p ɔ ɡ áː j a
pohodniki	p ɔ x óː d n i k i
poklicnem	p ɔ k l ìː t͡s n ɛ m
pokra	p ɔ̀ː k r a
ponesreči	p ɔ n ɛ s r èː t͡ʃ i
pooblaščeni	p ɔ ɔ b l áː ʃ t͡ʃ ɛ n i
poroda	p ɔ r óː d a
posladek	p ɔ s l áː d ə k
poslovneža	p ɔ s l ɔ́ː ʋ n ɛ ʒ a
poslužuje	p ɔ s l u ʒ úː j ɛ
postaneta	p ɔ s t a n éː t a
povečevala	p ɔ ʋ ɛ t͡ʃ ɛ ʋ áː l a
pozdravimo	p ɔ z d r a ʋ ìː m ɔ
pravicam	p r a ʋ ìː t͡s a m
pravljične	p r a ʋ l j ìː t͡ʃ n ɛ
prednostno	p r ɛ d n óː s t n ɔ
predpostavk	p r ɛ t p ɔ s t áː ʋ k
pregrado	p r ɛ ɡ r àː d ɔ
prehranjevalne	p r ɛ x r a n j ɛ ʋ áː l n ɛ
prekmurski	p r ɛ k m úː r s k i
prekrškov	p r ɛ k ə́ r ʃ k ɔ ʋ
preoblikoval	p r ɛ ɔ b l i k ɔ ʋ áː l
preoblikovali	p r ɛ ɔ b l i k ɔ ʋ àː l i
preverjali	p r ɛ ʋ ɛ r j àː l i
preživetju	p r ɛ ʒ i ʋ éː t j u
prihajata	p r i x a j áː t a
princesi	p r i n t͡s èː s i
prispevku	p r i s p éː ʋ k u
prispodoba	p r i s p ɔ d óː b a
prizadetosti	p r i z a d ɛ t óː s t i
prizorišč	p r i z ɔ r ìː ʃ t͡ʃ
ptičev	p t ìː t͡ʃ ə ʋ
pub	p úː p
pustolovski	p u s t ɔ l ɔ́ː ʋ s k i
radikalni	r a d i k áː l n i
radioaktivnih	r a d i ɔ a k t íː ʋ n i x
radovan	r a d ɔ ʋ áː n
rajh	r áː j x
razdražljivost	r a z d r a ʒ l j ìː ʋ ɔ s t
razgradnje	r a z ɡ r áː d n j ɛ
razstavlja	r a s s t áː ʋ l j a
razumom	r a z ùː m ɔ m
referenca	r ɛ f ɛ r éː n t͡s a
reg	r éː k
reklam	r ɛ k l áː m
reorganizacijo	r ɛ ɔ r ɡ a n i z àː t͡s i j ɔ
replika	r ɛ p l ìː k a
resničnostni	r ɛ s n ìː t͡ʃ n ɔ s t n i
rešeni	r ɛ ʃ èː n i
rfid	ə r f íː t
ricky	r ìː t͡s k i
rojaka	r ɔ j àː k a
rokavi	r ɔ k àː ʋ i
romarski	r ɔ m áː r s k i
samoupravi	s a m ɔ u p r àː ʋ i
satelitsko	s a t ɛ l íː t s k ɔ
sedemnajstih	s ɛ d ɛ m n áː j s t i x
sestavne	s ɛ s t áː ʋ n ɛ
sibiriji	s i b ìː r i j i
simbolom	s i m b ɔ l óː m
simfoničnega	s i m f ɔ n ìː t͡ʃ n ɛ ɡ a
skladen	s k l àː d ə n
skrbeh	s k ə̀ r b ɛ x
skupnemu	s k ùː p n ɛ m u
sladilo	s l a d ìː l ɔ
slovnične	s l ɔ́ː ʋ n i t͡ʃ n ɛ
speljati	s p ɛ l j àː t i
sprejemljiv	s p r ɛ j ɛ m l j ìː ʋ
spremljata	s p r ɛ m l j áː t a
sprostil	s p r ɔ s t íː l
stanji	s t àː n j i
steroidi	s t ɛ r ɔ ìː d i
stili	s t ìː l i
stilom	s t ìː l ɔ m
stojim	s t ɔ j ìː m
stolnice	s t ɔ̀ː ʋ n i t͡s ɛ
stolnico	s t ɔ̀ː ʋ n i t͡s ɔ
stripe	s t r ìː p ɛ
strukturni	s t r u k t úː r n i
svaka	s ʋ àː k a
svežih	s ʋ èː ʒ i x
tajske	t áː j s k ɛ
tamkajšnja	t a m k áː j ʃ n j a
tamkajšnjo	t a m k áː j ʃ n j ɔ
tao	t áː ɔ
teklo	t ɛ̀ː k l ɔ
terminologijo	t ɛ r m i n ɔ l ɔ ɡ íː j ɔ
tiskalnik	t i s k áː l n i k
tkanino	t k a n ìː n ɔ
toplejših	t ɔ p l ɛ́ː j ʃ i x
toplotnih	t ɔ p l óː t n i x
torpeda	t ɔ r p éː d a
trajnega	t r áː j n ɛ ɡ a
trajnost	t r áː j n ɔ s t
transformacija	t r a n s f ɔ r m àː t͡s i j a
transportna	t r a n s p ɔ̀ː r t n a
tukajšnji	t u k áː j ʃ n j i
twin	t w íː n
umetnice	u m éː t n i t͡s ɛ
umsko	ùː m s k ɔ
universal	u n i ʋ ɛ r s áː l
urejala	u r ɛ j áː l a
utrujeno	u t r ùː j ɛ n ɔ
varnostnika	ʋ a r n óː s t n i k a
vdori	ʋ d òː r i
verni	ʋ èː r n i
vhodi	ʋ x òː d i
vidu	ʋ ìː d u
vijolična	ʋ i j ɔ l ìː t͡ʃ n a
virtualno	ʋ i r t u áː l n ɔ
višinska	ʋ i ʃ íː n s k a
vodnike	ʋ óː d n i k ɛ
vsakoletna	ʋ s a k ɔ l éː t n a
vstopilo	ʋ s t ɔ p ìː l ɔ
vzdevkom	ʋ z d ɛ́ː ʋ k ɔ m
vzdrževal	ʋ z d ə r ʒ ɛ ʋ áː l
vzgojni	ʋ z ɡ óː j n i
zadnjici	z áː d n j i t͡s i
zadosten	z a d óː s t ə n
zagotovite	z a ɡ ɔ t ɔ ʋ ìː t ɛ
zaprositi	z a p r ɔ s ìː t i
zastopnika	z a s t óː p n i k a
zasuk	z a s ùː k
zaustavili	z a u s t a ʋ ìː l i
začimba	z a t͡ʃ íː m b a
zdravstvenimi	z d r a ʋ s t ʋ ɛ n ìː m i
zlobec	z l ɔ̀ː b ə t͡s
zmanjševati	z m a n ʃ ɛ ʋ àː t i
zmorete	z m ɔ r èː t ɛ
znižali	z n i ʒ àː l i
zveste	z ʋ èː s t ɛ
četi	t͡ʃ èː t i
čitalnici	t͡ʃ i t áː l n i t͡s i
človečnosti	t͡ʃ l ɔ ʋ èː t͡ʃ n ɔ s t i
šivov	ʃ ìː ʋ ɔ ʋ
škodljivimi	ʃ k ɔ d l j ìː ʋ i m i
škuc	ʃ k ùː t͡s
štedilnik	ʃ t ɛ d íː l n i k
švicarska	ʃ ʋ i t͡s áː r s k a
abrahama	a b r a x áː m a
alarma	a l áː r m a
alonso	a l óː n s ɔ
animirane	a n i m i r áː n ɛ
anketa	a n k éː t a
ante	àː n t ɛ
antioksidantov	a n t i ɔ k s i d áː n t ɔ ʋ
arboretum	a r b ɔ r èː t u m
arturo	a r t ùː r ɔ
asi	àː s i
astme	àː s t m ɛ
avstralskih	a ʋ s t r áː l s k i x
barvilo	b a r ʋ ìː l ɔ
bean	b ɛ̀ː n
blagoslovi	b l a ɡ ɔ s l ɔ́ː ʋ i
bledo	b l èː d ɔ
boginjo	b ɔ ɡ ìː n j ɔ
breskve	b r èː s k ʋ ɛ
carolyn	t͡s a r ɔ l íː n
craiga	t͡s r àː i ɡ a
dajeta	d a j éː t a
dakota	d a k óː t a
dej	d ɛ́ː j
delujem	d ɛ l ùː j ə m
demos	d ɛ m óː s
detajle	d ɛ t áː j l ɛ
deževno	d ɛ ʒ éː ʋ n ɔ
dimenziji	d i m èː n z i j i
diplomacije	d i p l ɔ m àː t͡s i j ɛ
diplomanti	d i p l ɔ m áː n t i
diskurz	d i s k úː r s
divizijo	d i ʋ ìː z i j ɔ
dodajati	d ɔ d àː j a t i
dogajala	d ɔ ɡ a j áː l a
dopustili	d ɔ p u s t ìː l i
doživljali	d ɔ ʒ i ʋ l j àː l i
dražje	d r áː ʒ j ɛ
dvanajstimi	d ʋ a n áː j s t i m i
ekologijo	ɛ k ɔ l ɔ ɡ íː j ɔ
epizodo	ɛ p i z óː d ɔ
estetska	ɛ s t éː t s k a
evakuacija	ɛ ʋ a k u àː t͡s i j a
faktorje	f a k t óː r j ɛ
farmer	f àː r m ɛ r
fil	f íː l
folne	f ɔ̀ː ʋ n ɛ
fora	f óː r a
gorskimi	ɡ ɔ̀ː r s k i m i
gostinski	ɡ ɔ s t íː n s k i
gostinstvo	ɡ ɔ s t íː n s t ʋ ɔ
graditev	ɡ r a d ìː t ə ʋ
grape	ɡ r àː p ɛ
gripi	ɡ r ìː p i
gričih	ɡ r ìː t͡ʃ i x
habitat	x a b i t áː t
helios	x ɛ l i óː s
hladilne	x l a d íː l n ɛ
hrambo	x r àː m b ɔ
imetja	i m éː t j a
individualna	i n d i ʋ i d u áː l n a
informativni	i n f ɔ r m a t íː ʋ n i
interpretacij	i n t ɛ r p r ɛ t àː t͡s i j
intimna	i n t íː m n a
invazivne	i n ʋ a z íː ʋ n ɛ
irskega	i r s k éː ɡ a
izboljšani	i z b ɔ l ʃ àː n i
izboljševanje	i z b ɔ l ʃ ɛ ʋ áː n j ɛ
izgledali	i z ɡ l ɛ d àː l i
izniči	ìː z n i t͡ʃ i
izoblikovali	i z ɔ b l i k ɔ ʋ àː l i
izobraževala	i z ɔ b r a ʒ ɛ ʋ áː l a
izpada	i s p áː d a
izpeljano	i s p ɛ l j àː n ɔ
izpostavila	i s p ɔ s t a ʋ ìː l a
iščeta	i ʃ t͡ʃ éː t a
jamskih	j àː m s k i x
jesenska	j ɛ s éː n s k a
jevo	j èː ʋ ɔ
jugozahodno	j u ɡ ɔ z a x óː d n ɔ
juliana	j u l i áː n a
julijana	j u l i j áː n a
kadrovsko	k a d r ɔ́ː ʋ s k ɔ
kanalizacija	k a n a l i z àː t͡s i j a
karneval	k a r n ɛ ʋ áː l
kašlja	k áː ʃ l j a
kemijska	k ɛ m íː j s k a
kmeti	k m èː t i
knezov	k n èː z ɔ ʋ
kolesarstvu	k ɔ l ɛ s áː r s t ʋ u
komur	k ɔ m ùː r
koncila	k ɔ n t͡s ìː l a
kontaktni	k ɔ n t áː k t n i
konvencionalno	k ɔ n ʋ ɛ n t͡s i ɔ n áː l n ɔ
končanju	k ɔ n t͡ʃ áː n j u
koordinira	k ɔ ɔ r d i n ìː r a
kopenskih	k ɔ p èː n s k i x
kostanjevici	k ɔ s t a n j ɛ ʋ ìː t͡s i
kostni	k óː s t n i
kotih	k òː t i x
kotlino	k ɔ t l ìː n ɔ
kovčka	k ɔ́ː ʋ t͡ʃ k a
kozolec	k ɔ z óː l ə t͡s
krilom	k r ìː l ɔ m
kriminalcev	k r i m i n áː l t͡s ɛ ʋ
kriminalni	k r i m i n áː l n i
kršila	k ə r ʃ ìː l a
kuhajo	k ùː x a j ɔ
kupon	k u p óː n
kvalitetne	k ʋ a l i t éː t n ɛ
lahkotno	l a x k óː t n ɔ
laično	l àː i t͡ʃ n ɔ
lanski	l áː n s k i
legendarne	l ɛ ɡ ɛ n d áː r n ɛ
lesnih	l èː s n i x
lestve	l èː s t ʋ ɛ
lila	l ìː l a
lino	l ìː n ɔ
linus	l ìː n u s
machine	m a x ìː n ɛ
maksa	m áː k s a
marijina	m a r i j ìː n a
maskota	m a s k óː t a
materin	m a t ɛ r íː n
materinega	m a t ɛ r i n éː ɡ a
merilna	m ɛ r íː l n a
milica	m ìː l i t͡s a
mohameda	m ɔ x a m éː d a
mojstre	m óː j s t r ɛ
motorne	m ɔ t óː r n ɛ
možganskega	m ɔ ʒ ɡ áː n s k ɛ ɡ a
muza	m ùː z a
nagrobnik	n a ɡ r óː b n i k
najmlajših	n á j m l áː j ʃ i x
najstnikov	n á j s t n ìː k ɔ ʋ
naklona	n a k l óː n a
napadal	n a p a d áː l
naročnikov	n a r óː t͡ʃ n i k ɔ ʋ
naučim	n a ùː t͡ʃ i m
nema	n èː m a
nemoč	n ɛ m óː t͡ʃ
nenadni	n ɛ n áː d n i
nestabilno	n ɛ s t a b íː l n ɔ
nestabilnost	n ɛ s t a b íː l n ɔ s t
nezakonita	n ɛ z a k ɔ n ìː t a
obdani	ɔ b d àː n i
obiščeš	ɔ b ìː ʃ t͡ʃ ɛ ʃ
objavljala	ɔ b j a ʋ l j áː l a
obnovitvenih	ɔ b n ɔ ʋ ìː t ʋ ɛ n i x
obrazne	ɔ b r áː z n ɛ
oddali	ɔ d d àː l i
odlikoval	ɔ d l i k ɔ ʋ áː l
odložili	ɔ d l ɔ ʒ ìː l i
okužbami	ɔ k ùː ʒ b a m i
opcije	ɔ p t͡s íː j ɛ
osborne	ɔ z b óː r n ɛ
ova	ɔ̀ː ʋ a
ovi	ɔ̀ː ʋ i
ozdravi	ɔ z d r àː ʋ i
oznaki	ɔ z n àː k i
paradise	p a r a d ìː s ɛ
peruju	p ɛ r ùː j u
petino	p ɛ t ìː n ɔ
pire	p ìː r ɛ
piščančje	p i ʃ t͡ʃ áː n t͡ʃ j ɛ
plesnega	p l ɛ s n éː ɡ a
podvoji	p ɔ d ʋ óː j i
pognala	p ɔ ɡ n áː l a
pojmovanja	p ɔ j m ɔ ʋ áː n j a
pojmu	p ɔ̀ː j m u
polarni	p ɔ l áː r n i
pomerila	p ɔ m ɛ r ìː l a
pomorskih	p ɔ m óː r s k i x
poslovodja	p ɔ s l ɔ ʋ óː d j a
posodobili	p ɔ s ɔ d ɔ b ìː l i
potekata	p ɔ t ɛ k áː t a
potrudite	p ɔ t r u d ìː t ɛ
potujem	p ɔ t ùː j ə m
povrnili	p ɔ ʋ ə r n ìː l i
pozdravljamo	p ɔ z d r a ʋ l j àː m ɔ
prazgodovine	p r a z ɡ ɔ d ɔ ʋ ìː n ɛ
prebiral	p r ɛ b i r áː l
predhodnikom	p r ɛ d x óː d n i k ɔ m
predvidevala	p r ɛ d ʋ i d ɛ ʋ áː l a
prekrške	p r ɛ k ə́ r ʃ k ɛ
premajhne	p r ɛ m áː j x n ɛ
premajhno	p r ɛ m áː j x n ɔ
preobrata	p r ɛ ɔ b r áː t a
preobčutljivost	p r ɛ ɔ p t͡ʃ u t l j ìː ʋ ɔ s t
prepeva	p r ɛ p éː ʋ a
preprečile	p r ɛ p r ɛ t͡ʃ ìː l ɛ
presnova	p r ɛ s n ɔ́ː ʋ a
pretvorbe	p r ɛ t ʋ óː r b ɛ
preusmerili	p r ɛ u s m ɛ r ìː l i
preživiš	p r ɛ ʒ ìː ʋ i ʃ
preživljanje	p r ɛ ʒ i ʋ l j áː n j ɛ
pridige	p r i d ìː ɡ ɛ
prijem	p r i j éː m
priklicati	p r i k l ìː t͡s a t i
prinašala	p r i n a ʃ áː l a
priročnika	p r i r óː t͡ʃ n i k a
priskrbimo	p r i s k ə r b ìː m ɔ
prisluhnil	p r i s l ùː x n i l
pristajajo	p r i s t a j áː j ɔ
priznajo	p r i z n áː j ɔ
prodira	p r ɔ d ìː r a
profili	p r ɔ f ìː l i
promocijsko	p r ɔ m ɔ t͡s íː j s k ɔ
proračunom	p r ɔ r a t͡ʃ ùː n ɔ m
protagonista	p r ɔ t a ɡ ɔ n ìː s t a
ptico	p t ìː t͡s ɔ
ramos	r àː m ɔ s
rasizem	r a s ìː z ə m
razgovora	r a z ɡ ɔ ʋ óː r a
različnosti	r a z l ìː t͡ʃ n ɔ s t i
relacije	r ɛ l àː t͡s i j ɛ
reprodukcijo	r ɛ p r ɔ d ùː k t͡s i j ɔ
rf	ə́ r f
ritmom	r ìː t m ɔ m
rodbina	r ɔ d b ìː n a
rodno	r óː d n ɔ
rosalie	r ɔ s àː l i ɛ
rtvs	ə́ r t ʋ s
rufus	r u f úː s
ruma	r ùː m a
rute	r ùː t ɛ
sabrina	s a b r ìː n a
sanjala	s a n j áː l a
scenariji	s t͡s ɛ n a r íː j i
sekire	s ɛ k ìː r ɛ
selili	s ɛ l ìː l i
semenišče	s ɛ m ɛ n ìː ʃ t͡ʃ ɛ
sestavinah	s ɛ s t a ʋ ìː n a x
seti	s èː t i
sindikatu	s i n d i k áː t u
siru	s ìː r u
skorjo	s k ɔ̀ː r j ɔ
skrivna	s k r íː ʋ n a
slikarska	s l i k áː r s k a
slovničnih	s l ɔ́ː ʋ n i t͡ʃ n i x
smrad	s m r áː t
song	s óː n k
sora	s óː r a
sovražnih	s ɔ ʋ r áː ʒ n i x
sponzorji	s p ɔ n z óː r j i
sprevod	s p r ɛ ʋ óː t
stanoval	s t a n ɔ ʋ áː l
stranišču	s t r a n ìː ʃ t͡ʃ u
strežniku	s t r èː ʒ n i k u
striženje	s t r ìː ʒ ɛ n j ɛ
strukturah	s t r u k t úː r a x
svetila	s ʋ ɛ t ìː l a
svetovali	s ʋ ɛ t ɔ ʋ àː l i
tajnost	t áː j n ɔ s t
tajski	t áː j s k i
tekača	t ɛ k àː t͡ʃ a
tekmecem	t ɛ k m èː t͡s ə m
tekmovalke	t ɛ k m ɔ ʋ áː l k ɛ
timu	t ìː m u
toleranco	t ɔ l ɛ r áː n t͡s ɔ
trgovinskih	t ə r ɡ ɔ ʋ íː n s k i x
tvegajo	t ʋ ɛ ɡ áː j ɔ
ultimate	u l t i m áː t ɛ
umirali	u m i r àː l i
umrljivosti	u m ə r l j ìː ʋ ɔ s t i
uporabljenega	u p ɔ r a b l j ɛ n éː ɡ a
urejenosti	u r ɛ j ɛ n óː s t i
utemeljitvijo	u t ɛ m ɛ l j ìː t ʋ i j ɔ
uveljavljanja	u ʋ ɛ l j a ʋ l j áː n j a
vali	ʋ àː l i
vatikana	ʋ a t i k áː n a
važna	ʋ áː ʒ n a
velikonja	ʋ ɛ l i k óː n j a
velikonočno	ʋ ɛ l i k ɔ n óː t͡ʃ n ɔ
vertikalni	ʋ ɛ r t i k áː l n i
vinogradih	ʋ i n ɔ ɡ r àː d i x
vlažen	ʋ l àː ʒ ə n
voden	ʋ òː d ə n
vola	ʋ óː l a
vpišite	ʋ p ìː ʃ i t ɛ
vrlina	ʋ ə r l ìː n a
vsadek	ʋ s áː d ə k
vzdržljivosti	ʋ z d ə r ʒ l j ìː ʋ ɔ s t i
včerajšnje	ʋ t͡ʃ ɛ r áː j ʃ n j ɛ
vžiga	ʋ ʒ ìː ɡ a
zahtevni	z a x t éː ʋ n i
zakramenta	z a k r a m éː n t a
zaobljubo	z a ɔ b l j ùː b ɔ
zapuščenih	z a p ùː ʃ t͡ʃ ɛ n i x
zarodek	z a r óː d ə k
zasedi	z a s èː d i
zaselku	z a s éː l k u
zasliševanja	z a s l i ʃ ɛ ʋ áː n j a
zasliši	z a s l ìː ʃ i
zavladal	z a ʋ l a d áː l
začaran	z a t͡ʃ áː r a n
začetnikov	z a t͡ʃ éː t n i k ɔ ʋ
zbiralec	z b i r áː l ə t͡s
znanci	z n áː n t͡s i
čarobnega	t͡ʃ a r ɔ b n éː ɡ a
čistilna	t͡ʃ i s t íː l n a
človekovi	t͡ʃ l ɔ ʋ èː k ɔ ʋ i
čopiča	t͡ʃ ɔ p ìː t͡ʃ a
šanghaj	ʃ a n ɡ x áː j
šans	ʃ áː n s
škatlice	ʃ k áː t l i t͡s ɛ
šolskim	ʃ ɔ̀ː ʋ s k i m
špica	ʃ p ìː t͡s a
štima	ʃ t ìː m a
žag	ʒ áː k
žeje	ʒ ɛ̀ː j ɛ
želeni	ʒ ɛ l èː n i
železniškem	ʒ ɛ l èː z n i ʃ k ɛ m
abstraktne	a p s t r áː k t n ɛ
adamu	a d àː m u
agresivni	a ɡ r ɛ s íː ʋ n i
amber	àː m b ə r
ansamblov	a n s áː m b l ɔ ʋ
aranžmaji	a r a n ʒ m áː j i
atlanta	a t l áː n t a
avg	áː ʋ k
bale	b àː l ɛ
ball	b áː l
bančnih	b áː n t͡ʃ n i x
bedford	b ɛ̀ː t f ɔ r t
bojuje	b ɔ j ùː j ɛ
boksu	b óː k s u
borisu	b ɔ r ìː s u
brezžično	b r ɛ z ʒ ìː t͡ʃ n ɔ
celovca	t͡s ɛ l ɔ́ː ʋ t͡s a
cesarjem	t͡s ɛ s áː r j ɛ m
cikli	t͡s ìː k l i
compton	t͡s ɔ m p t óː n
crane	t͡s r àː n ɛ
davor	d àː ʋ ɔ r
delaj	d ɛ l áː j
demokratska	d ɛ m ɔ k r áː t s k a
deseta	d ɛ s éː t a
desetina	d ɛ s ɛ t ìː n a
development	d ɛ ʋ ɛ l ɔ p m éː n t
doktorica	d ɔ k t ɔ r ìː t͡s a
doli	d òː l i
emmo	ɛ̀ː m m ɔ
encima	ɛ n t͡s ìː m a
era	ɛ̀ː r a
erozijo	ɛ r ɔ z íː j ɔ
etap	ɛ t áː p
fari	f àː r i
farmacevtsko	f a r m a t͡s éː ʋ t s k ɔ
fest	f éː s t
fidel	f ìː d ə ʋ
figo	f ìː ɡ ɔ
figuro	f i ɡ ùː r ɔ
flisar	f l ìː s a r
fly	f l íː
gani	ɡ àː n i
gardo	ɡ àː r d ɔ
geografijo	ɡ ɛ ɔ ɡ r a f íː j ɔ
gigi	ɡ ìː ɡ i
gnečo	ɡ n èː t͡ʃ ɔ
gnojila	ɡ n ɔ j ìː l a
golaž	ɡ ɔ l áː ʃ
gorovje	ɡ ɔ r ɔ́ː ʋ j ɛ
gostoljubnost	ɡ ɔ s t ɔ l j ùː b n ɔ s t
gradbenimi	ɡ r a d b ɛ n ìː m i
gradivu	ɡ r a d ìː ʋ u
grapi	ɡ r àː p i
grozljivke	ɡ r ɔ z l j ìː ʋ k ɛ
help	x ɛ̀ː l p
herkul	x ɛ r k úː l
heroina	x ɛ r ɔ ìː n a
houstonu	x ɔ u s t óː n u
hujšanje	x úː j ʃ a n j ɛ
imetnik	i m éː t n i k
implementacija	i m p l ɛ m ɛ n t àː t͡s i j a
imunske	i m úː n s k ɛ
ing	íː n k
inž	íː n ʃ
islandijo	i s l àː n d i j ɔ
izdelovala	i z d ɛ l ɔ ʋ áː l a
izhodišču	i z x ɔ d ìː ʃ t͡ʃ u
izkaznica	i s k áː z n i t͡s a
izmislili	i z m i s l ìː l i
izračunih	i z r a t͡ʃ ùː n i x
izreče	i z r èː t͡ʃ ɛ
izstopata	i s s t ɔ p áː t a
izumi	i z ùː m i
izvidi	i z ʋ ìː d i
izvršna	i z ʋ ə́ r ʃ n a
jasnost	j àː s n ɔ s t
jeva	j èː ʋ a
jumbo	j ùː m b ɔ
kadrovski	k a d r ɔ́ː ʋ s k i
kakovostni	k a k ɔ ʋ óː s t n i
karolini	k a r ɔ l ìː n i
kavico	k a ʋ ìː t͡s ɔ
kitarista	k i t a r íː s t a
kitty	k íː t t i
kletka	k l éː t k a
koktajl	k ɔ k t áː j l
konicah	k ɔ n ìː t͡s a x
kož	k óː ʃ
krajinske	k r a j íː n s k ɛ
kratkotrajna	k r a t k ɔ t r áː j n a
kredita	k r ɛ d ìː t a
kure	k ùː r ɛ
laguna	l a ɡ ùː n a
lat	l áː t
left	l éː f t
levji	l èː ʋ j i
levkemijo	l ɛ ʋ k ɛ m íː j ɔ
levstik	l èː ʋ s t i k
lilije	l ìː l i j ɛ
limit	l ìː m i t
lip	l íː p
logični	l ɔ ɡ ìː t͡ʃ n i
lux	l úː k s
luz	l úː s
lučjo	l ùː t͡ʃ j ɔ
magnus	m a ɡ n úː s
medenice	m ɛ d ɛ n ìː t͡s ɛ
membrano	m ɛ m b r àː n ɔ
mentalne	m ɛ n t áː l n ɛ
ministrstev	m i n i s t ə́ r s t ə ʋ
ministrstvom	m i n i s t ə́ r s t ʋ ɔ m
mladoletni	m l a d ɔ l éː t n i
mogočnih	m ɔ ɡ óː t͡ʃ n i x
mota	m óː t a
motoričnih	m ɔ t ɔ r ìː t͡ʃ n i x
motornega	m ɔ t ɔ r n éː ɡ a
močnemu	m óː t͡ʃ n ɛ m u
možnimi	m óː ʒ n i m i
mrka	m ə̀ r k a
nabiral	n a b i r áː l
nadaljevanke	n a d a l j ɛ ʋ áː n k ɛ
nagovorila	n a ɡ ɔ ʋ ɔ r ìː l a
najdbo	n á j d b ɔ
nakladi	n a k l àː d i
nakopal	n a k ɔ p áː l
napaki	n a p àː k i
naraščajo	n a r a ʃ t͡ʃ áː j ɔ
naslovnica	n a s l ɔ́ː ʋ n i t͡s a
nemočno	n ɛ m óː t͡ʃ n ɔ
neskončnih	n ɛ s k óː n t͡ʃ n i x
nesmiselna	n ɛ s m i s éː l n a
nogometnem	n ɔ ɡ ɔ m éː t n ə m
nominirana	n ɔ m i n i r áː n a
nordijsko	n ɔ r d íː j s k ɔ
novomeške	n ɔ ʋ ɔ m éː ʃ k ɛ
obešen	ɔ b èː ʃ ə n
obmorsko	ɔ b m óː r s k ɔ
obojestransko	ɔ b ɔ j ɛ s t r áː n s k ɔ
obračati	ɔ b r a t͡ʃ àː t i
obupal	ɔ b u p áː l
obvestimo	ɔ b ʋ èː s t i m ɔ
obveščevalec	ɔ b ʋ ɛ ʃ t͡ʃ ɛ ʋ áː l ə t͡s
občutiš	ɔ p t͡ʃ ùː t i ʃ
odgovoru	ɔ d ɡ ɔ ʋ óː r u
odkupili	ɔ t k u p ìː l i
odlog	ɔ d l óː k
odlomke	ɔ d l óː m k ɛ
odmerjanje	ɔ d m ɛ r j àː n j ɛ
odrastejo	ɔ d r a s t ɛ́ː j ɔ
odrašča	ɔ d r áː ʃ t͡ʃ a
ognjišča	ɔ ɡ n j ìː ʃ t͡ʃ a
oklepaju	ɔ k l ɛ p áː j u
okužijo	ɔ k ùː ʒ i j ɔ
opaža	ɔ p áː ʒ a
opažanja	ɔ p a ʒ áː n j a
opažen	ɔ p áː ʒ ə n
opomore	ɔ p ɔ m óː r ɛ
orgazma	ɔ r ɡ áː z m a
osnovan	ɔ s n ɔ ʋ áː n
osredotočenost	ɔ s r ɛ d ɔ t óː t͡ʃ ɛ n ɔ s t
ovirala	ɔ ʋ i r áː l a
označiti	ɔ z n àː t͡ʃ i t i
padal	p a d áː l
palač	p a l àː t͡ʃ
parado	p a r àː d ɔ
parkirati	p a r k ìː r a t i
paste	p àː s t ɛ
personal	p ɛ r s ɔ n áː l
plameni	p l a m èː n i
planinah	p l a n ìː n a x
plavajoče	p l a ʋ a j óː t͡ʃ ɛ
plazma	p l áː z m a
plujejo	p l u j ɛ̀ː j ɔ
podira	p ɔ d ìː r a
pogostimi	p ɔ ɡ ɔ s t ìː m i
poletom	p ɔ l èː t ɔ m
