seg	s æ ɪ̯
revitalisere	r ɛ ʋ ɪ t a l ɪ s eː r ə
ropene	r uː p ə n ə
rural	r ʉ r ɑː l
russe	r ʉ sː ə
samfunnskontrakten	s a m f ʉ n s k ʊ n t r a k t n̩
sanntids	s a n t iː s
sari	s ɑː r ɪ
savannen	s a ʋ a nː n̩
scenisk	s eː n ɪ s k
sebastians	s ə b a s t ɪ a n s
sendemann	s ɛ n d ə m a n
sho	ʂ uː
sinket	s ɪ ŋ k ə
skattenivå	s k a tː ə n ɪ ʋ oː
skattereform	s k a tː ə r ə f ɔ r m
skiftene	ʃ ɪ f t n̩ ə
slap	ʂ l ɑː p
slaughter	ʂ l æ ʉ t ə r
slukkingen	ʂ l ʉ kː ɪ ŋ n̩
smiger	s m iː ɡ ə r
smultringer	s m ʉ l t r ɪ ŋ ə r
smyrna	s m yː ɳ a
sneller	s n ɛ lː ə r
socks	s ɔ k s
soup	s uː p
spennede	s p ɛ nː ə d ə
sponsede	s p u n s eː d ə
staken	s t ɑː k n̩
stemmegivningen	s t ɛ mː ə ɡ iː ʋ n ɪ ŋ n̩
stengning	s t ɛ ŋ n ɪ ŋ
stikkontakten	s t i k k u n t a k t n̩
stinson	s t ɪ n s uː n
støttegrupper	s t œ tː ə ɡ r ʉ pː ə r
tat	t ɑː t
telephone	t e l e f uː n e
tidigere	t iː d ɪ ɡ eː r ə
tifo	t iː f u
tobiassen	t uː b ɪ a sː n̩
tonya	t uː n j a
tortillas	t u ʈ ɪ lː ɑ s
treningskampene	t r eː n ɪ ŋ s k a m p ə n ə
tresnitt	t r e s n i t
truger	t r ʉː ɡ ə r
tsjad	t ʃ ɑː
tåen	t oː n̩
tønna	t œ nː ɑ
uavkortet	ʉ ɑː ʋ k ɔ ʁ t ə
udiskutable	ʉː d ɪ s k ʉ t ɑː b l ə
underarter	ʉ n d ə r ɑː ʁ t ə r
urfolket	ʉː r f ɔ l k ə
uråd	ʉː r oː
ustø	ʉː s t øː
utebli	ʉː t ə b l iː
uvirksom	ʉː ʋ ɪ r k s ɔ m
vanskelighet	ʋ ɑ n s k ə l ɪ h eː t
veksles	ʋ ɛ k s l ə s
vekslingen	ʋ ɛ k s l ɪ ŋ n̩
vrakene	ʋ r ɑː k ə n ə
våpensystem	ʋ oː p ə n s ʏ s t ɛ m
yokohama	j u k u h ɑː m a
zoomer	s uː m ə r
østersund	ø s t e ʂ ʉ n
abbs	a b s
advokatens	a d ʋ ʊ k a t ɛ n s
aktivisert	a k t ɪ ʋ ɪ s eː ʁ t
aktverdig	a k t ʋ æ ɖ ɪ
alina	ɑ l iː n ɑ
allmenngjøring	ɑ l m ɛ n j øː r ɪ ŋ
amygdala	a m ʏ ɡ d ɑː l a
andes	ɑ n d ə s
ansiktsmaske	ɑ n s ɪ k t s m ɑ s k ə
antikvarisk	ɑ n t ɪ k ʋ ɑː r ɪ s k
arkiverte	ɑ r k ɪ ʋ eː ʁ t ə
assyriske	a s yː r ɪ s k ə
auguste	æ ʉ ɡ ʉ s t ə
avgrensing	ɑː ʋ ɡ r ɛ n s ɪ ŋ
avløses	ɑː ʋ l øː s ə s
badstuen	b a d s t ʉː n̩
bakdører	b ɑː k d øː r ə r
bakketoppen	b a kː ə t ɔ pː n̩
barnetog	b ɑː ɳ ə t uː ɡ
barnett	b ɑː ɳ ɛ t
bebe	b eː b ə
bebygde	b ə b ʏ ɡ d ə
befolke	b ə f ɔ l k ə
bildende	b ɪ l d ə n d ə
bitrate	b ɪ t r ɑː t ə
blindsone	b l ɪ n s uː n ə
bodies	b uː d ɪ ə s
bombastisk	b ʊ m b a s t ɪ s k
bonnier	b ʊ n ɪ ə r
bq	b eː k oː
brystkasse	b r ʏ s t k a sː ə
budrunde	b ʉ d r ʉ n d ə
byområde	b yː ʊ m r oː d ə
conlan	k u n l ɑː n
dahlen	d ɑː l n̩
danene	d ɑː n ə n ə
dare	d ɑː r ə
distanserte	d ɪ s t a n s eː ʁ t ə
dividert	d ɪ ʋ ɪ d eː ʁ t
divisjons	d ɪ ʋ ɪ ʃ uː n s
divisjonslaget	d ɪ ʋ ɪ ʃ uː n s l ɑː ɡ ə
driverne	d r iː ʋ æ ɳ ə
drømmemannen	d r œ mː ə m a nː n̩
duper	d ʉː p ə r
ektemake	ɛ k t ə m ɑː k ə
ektheten	ɛ k t h eː t n̩
ekvivalente	ɛ k ʋ ɪ ʋ a l ɛ n t ə
eni	eː n ɪ
fanning	f a nː ɪ ŋ
fats	f a t s
ferdigmat	f æ ɖ ɪ m ɑː t
fido	f iː d u
fires	f iː r ə s
folkehøyskoler	f ɔ l k ə h œ ʏ s k uː l ə r
fordamping	f ɔ ɾ d ɑ m p ɪ ŋ
fordampning	f ɔ ɾ d ɑ m p n ɪ ŋ
fordringer	f ɔ ɾ d r ɪ ŋ ə r
formaning	f ɔ r m ɑː n ɪ ŋ
forskningsdagene	f ɔ ʂ k n ɪ ŋ s d ɑː ɡ ə n ə
forskningsetikk	f ɔ ʂ k n ɪ ŋ s ə t ɪ kː
forskrekkelse	f ɔ ʂ k r ɛ kː ə l s ə
forsterkningen	f ɔ ʂ t ɛ r k n ɪ ŋ n̩
frafallen	f r a f a lː n̩
fødende	f øː d ə n d ə
garantiene	ɡ a r a n t ɪ ə n ə
gauss	ɡ æ ʉ s
gjennomgangstema	j ɛ nː ɔ m ɡ a ŋ s t eː m a
goro	ɡ uː r u
grandiose	ɡ r ɑ n d ɪ uː s ə
greni	ɡ r eː n ɪ
grillede	ɡ r ɪ lː ə d ə
gullgravere	ɡ ʉ l ɡ r ɑː ʋ ə r ə
gypsy	j ʏ p s yː
halvfull	h a l f ʉ l
handelsfolk	h a n d ə l s f ɔ l k
handicappede	h a n d ɪ k a p ə d ə
hedemark	h eː d ə m ɑ r k
heer	h eː ə r
hengslet	h ɛ ŋ s l ə
hinte	h ɪ n t ə
hovedstasjonen	h uː ʋ ə d s t a ʃ uː n n̩
huang	h ʉ ɑ ŋ
hundreår	h ʉ n d r eː oː r
husmannsplasser	h ʉː s m a n s p l a sː ə r
hvalkjøtt	ʋ ɑː l ç œ t
hvar	ʋ ɑː r
hviledagen	ʋ iː l ə d ɑː ɡ n̩
infiltrerte	ɪ n f ɪ l t r eː ʁ t ə
innfor	ɪ nː f ɔ r
inngrodd	ɪ n ɡ r ɔ dː
innretter	ɪ nː r ɛ tː ə r
innvirke	ɪ nː ʋ ɪ r k ə
japaneren	j a p a n eː r n̩
jomar	j uː m ɑ r
kantar	k a n t a r
kaspiske	k a s p ɪ s k ə
keno	k eː n u
kinetisk	ç ɪ n eː t ɪ s k
kinosalen	ç ɪ n ʊ s ɑː l n̩
kjempemye	ç ɛ m p ə m yː ə
kjensel	ç ɛ ŋ s ə l
kjærringa	ç æ r ɪ ŋ a
kjørebane	ç øː r ə b ɑː n ə
klabb	k l ɑ b
klargjøres	k l ɑ r j øː r ə s
konjakken	k u n j a kː n̩
krøllene	k r œ lː ə n ə
kulminerer	k ʉ l m ɪ n eː r ə r
kvina	k ʋ iː n ɑ
kvinneyrker	k ʋ ɪ nː ə ʏ r k ə r
laine	l ɑ j n ə
lappet	l ɑ pː ə
lavtrykket	l ɑː ʋ t r ʏ kː ə
leieforhold	l æ ɪ ə f ɔ r h ɔ l
leves	l eː ʋ ə s
lindgrens	l ɪ n ɡ r ɛ n s
linene	l iː n ə n ə
lokaliseres	l ʊ k a l ɪ s eː r ə s
lorca	l ɔ r k ɑ
luren	l ʉː r n̩
luton	l ʉ t uː n
madigan	m ɑː d ɪ ɡ ɑː n
mantena	m a n t eː n a
medvedev	m eː d ʋ eː d eː v
mettes	m ɛ tː ə s
mimer	m iː m ə r
minority	m ɪ n ʊ r ɪ t yː
motstands	m uː t s t a n s
motstående	m uː t s t oː ə n d ə
mugger	m ʉ ɡː ə r
mullins	m ʉ lː ɪ n s
muskelceller	m ʉ s k ə l s ɛ lː ə r
målestasjon	m oː l ə s t a ʃ uː n
nakenbading	n ɑː k ə n b ɑː d ɪ ŋ
nettbrettet	n ɛ tː b r ɛ tː ə
nouri	n uː r ɪ
nyser	n yː s ə r
odeon	uː d ə uː n
oligarkene	uː l ɪ ɡ a r k ə n ə
oljene	ɔ l j ə n ə
omdirigerer	ɔ m d ɪ r ɪ ɡ eː r ə r
omgis	ɔ m j ɪ s
opptoget	ɔ p t uː ɡ ə
orr	ɔ rː
overbygg	oː ʋ ə r b ʏ ɡ
overkjørte	oː ʋ ə r ç øː ʁ t ə
padden	p a dː n̩
parseller	p a ʁ s ɛ lː ə r
pcp	p eː s eː p eː
pharmacy	f a r m a s iː
pippa	p ɪ pː ɑ
pittoreske	p ɪ tː ʊ r ɛ s k ə
plotter	p l ɔ tː ə r
politet	p ʊ l ɪ t eː t
pragmatisme	p r a ɡ m a t ɪ s m ə
prisme	p r ɪ s m ə
prodekan	p r uː d ə k ɑː n
pryce	p r yː s
purker	p ʉ r k ə r
påskeharen	p ɔ s k ə h ɑː r n̩
rakt	r a k t
ratingen	r ɑː t ɪ ŋ n̩
rettsprinsipper	r ɛ t s p r ɪ n s ɪ pː ə r
returoppgjøret	r ə t ʉː r ɔ p j øː r ə
riddick	r i d i k
riddle	r ɪ d l ə
rippe	r ɪ pː ə
ruver	r ʉː ʋ ə r
sabotørene	s a b ʊ t øː r ə n ə
saksområder	s a k s ɔ m r oː d ə r
salongene	s a l ɔ ŋ ə n ə
sandmoen	s a n m uː n̩
schmid	ʃ m iː
sevan	s eː ʋ ɑ n
skjendet	ʃ ɛ n d ə
skorpion	s k u r p ɪ uː n
skrøner	s k r øː n ə r
småsaker	s m oː s ɑː k ə r
spekkhoggere	s p ɛ k h ɔ ɡ ə r ə
spenna	s p ɛ nː ɑ
spiddet	s p ɪ dː ə
spjeldet	s p j ɛ l d ə
spyler	s p yː l ə r
steira	s t æ ɪ r a
stempling	s t ɛ m p l ɪ ŋ
stimulerte	s t ɪ m ʉ l eː ʁ t ə
stålplater	s t oː l p l ɑː t ə r
substrat	s ʉ b s t r ɑː t
sykmelding	s yː k m ɛ l d ɪ ŋ
syssel	s ʏ sː ə l
talemåte	t ɑː l ə m oː t ə
tapeten	t ɑ p eː t n̩
tilgjenglig	t ɪ l j ɛ ŋ l ɪ
tiltrengt	t ɪ l t r ɛ ŋ t
trusen	t r ʉː s n̩
tunnellen	t ʉ n ɛ lː n̩
turning	t ʉː ɳ ɪ ŋ
tæret	t æː r ə
ulønnsom	ʉː l œ n s ɔ m
undertittel	ʉ n d ə ʁ t ɪ tː ə l
undulat	ʉ n d ʉ l ɑː t
utholde	ʉː t h ɔ l d ə
uu	ʉː
vagle	ʋ ɑː ɡ l ə
velta	ʋ ɛ l t ɑ
vidden	ʋ ɪ dː n̩
viltnemnda	ʋ ɪ l t n ɛ m d a
vinteridrett	ʋ ɪ n t ə r ɪ d r ɛ t
virksomt	ʋ ɪ r k s ɔ m t
vokt	ʋ ɔ k t
vrt	ʋ r̩ t
våtmarker	ʋ oː t m ɑ r k ə r
yndig	² ʏ n d ɪ
ytterveggene	ʏ tː ə r ʋ ɛ ɡː ə n ə
åm	ɔ m
åsta	ɔ s t ɑ
ække	² æ kː ə
ahab	ɑ h ɑː b
albatros	ɑ l b ɑ t r uː s
allidrett	ɑ l ɪ d r ɛ t
ananda	a n a n d a
andakter	a n d a k t ə r
anglia	ɑ ŋ l j ɑ
anonymisere	a n ʊ n ʏ m ɪ s eː r ə
artistisk	a ʁ t ɪ s t ɪ s k
askeladd	ɑ s k ə l ɑ d
avbrutte	ɑː ʋ b r ʉ tː ə
avgrensninger	ɑː ʋ ɡ r ɛ n s n ɪ ŋ ə r
avgåtte	ɑː ʋ ɡ ɔ tː ə
avskjær	ɑː ʋ ʃ æː r
backhand	b a k h a n
badass	b a d a s
badeplassen	b ɑː d ə p l ɑ sː n̩
barnebyer	b ɑː ɳ ə b yː ə r
barnekor	b ɑː ɳ ə k uː r
bassam	b a s a m
bedende	b eː d ə n d ə
beleirede	b ə l æ ɪ r ə d ə
benjaminsen	b ɛ n j a m ɪ n s n̩
benji	b ɛ n j ɪ
bestialsk	b ə s t ɪ ɑː l s k
blas	b l ɑː s
blockbuster	b l ɔ k b ʉ s t ə r
brandi	b r ɑ n d ɪ
brecht	b r ɛ k t
briggen	b r ɪ ɡː n̩
brod	b r uː
bruktbutikk	b r ʉ k t b ʉ t i k
bufe	b ʉː f ə
bulter	b ʉ l t ə r
butts	b ʉ t s
båtbygger	b oː t b ʏ ɡ ə r
carlotta	k ɑː ɭ ɔ tː ɑ
carrera	k a r eː r a
corbin	k ɔ r b iː n
dagestad	d ɑː ɡ ə s t ɑː
dameklær	d ɑː m ə k l æː r
denn	d ɛ nː
digitaliseringen	d ɪ ɡ ɪ t a l ɪ s eː r ɪ ŋ n̩
disses	d ɪ sː ə s
distraherende	d ɪ s t r a h eː r ə n d ə
draps	d r ɑ p s
draugen	d r æ ʉ̯ ɡ n̩
dritte	d r ɪ tː ə
dyser	d yː s ə r
eders	eː d ə ʁ s
eierforhold	æ ɪ ə r f ɔ r h ɔ l
endetarm	ɛ n d ə t a r m
enna	ɛ nː ɑ
etser	ɛ t s ə r
evangelisering	e ʋ a ŋ ə l ɪ s eː r ɪ ŋ
famler	f a m l ə r
filmklubb	f ɪ l m k l ʉ b
finer	f iː n ə r
finnmarken	f ɪ nː m ɑ r k n̩
flerspråklige	f l æ ʂ p r oː k l ɪ ə
fogg	f ɔ ɡː
folkerettslige	f ɔ l k ə r ɛ t s l ɪ ə
formular	f ɔ r m ʉ l ɑː r
forringes	f ɔ rː ɪ ŋ ə s
forskningsgruppen	f ɔ ʂ k n ɪ ŋ s ɡ r ʉ pː n̩
forvisse	f ɔ r ʋ ɪ sː ə
funksjonsnivå	f ʉ ŋ k ʃ uː n s n ɪ ʋ oː
føyd	f œ ʏ̯
gangsti	ɡ ɑ ŋ s t ɪ
gassproduksjon	ɡ a s p r u d ʉ k ʃ uː n
giga	j iː ɡ a
glendale	ɡ l ɛ n d ɑː l ə
globalismen	ɡ l uː b a l ɪ s m n̩
grana	ɡ r ɑː n ɑ
greece	ɡ r iː s
grensevaktene	ɡ r ɛ n s ə ʋ a k t ə n ə
grensevakter	ɡ r ɛ n s ə ʋ a k t ə r
gråtass	ɡ r oː t a s
grønnerød	ɡ r œ nː ə r øː
grønningen	ɡ r œ nː ɪ ŋ n̩
haba	h ɑː b ɑ
heiste	h æ ɪ s t ə
helsedirektør	h ɛ l s ə d ɪ r ɛ k t øː r
henstilling	h ɛ n s t ɪ lː ɪ ŋ
hjemmesykepleie	j ɛ mː ə s yː k ə p l ɛ ɪː ə
hosle	h ʊ s l ə
huket	h ʉː k ə
hustler	h ʉ s t l ə r
hvilen	ʋ iː l n̩
hör	h øː r
hønsehuset	h œ n s ə h ʉː s ə
innbruddstyver	ɪ nː b r ʉ d s t yː ʋ ə r
innvidde	ɪ nː ʋ ɪ dː ə
inspiserte	ɪ n s p ɪ s eː ʁ t ə
integrerings	ɪ n t ə ɡ r eː r ɪ ŋ s
ise	iː s ə
jolson	j uː l s uː n
kaloriene	k a l uː r ɪ ə n ə
karteller	k a ʁ t ɛ lː ə r
kartleser	k a ʁ t l eː s ə r
kattungene	k a tː ʊ ŋ ə n ə
kenyon	k ɛ n j uː n
kiil	ç iː l
kiloen	ç iː l u n̩
kjønnsleppene	ç œ n s l ɛ pː ə n ə
kløen	k l øː n̩
knesset	k n ɛ sː ə
kobberet	k ɔ bː ə r ə
komtesse	k u m t ɛ sː ə
kongle	k ɔ ŋ l ə
kraftledninger	k r a f t l eː d n ɪ ŋ ə r
kristningen	k r ɪ s t n ɪ ŋ n̩
krysseren	k r ʏ sː ə r n̩
kystområder	ç ʏ s t ʊ m r oː d ə r
ladegrep	l ɑː d ə ɡ r eː p
lenser	l ɛ n s ə r
lettjente	l ɛ t j ɛ n t ə
likar	l iː k ɑ r
liva	l iː ʋ ɑ
lokkende	l ɔ kː ə n d ə
looper	l uː p ə r
lutfattige	l ʉː t f a t ɪ ə
lynette	l yː n ɛ tː ə
lønnsgapet	l œ n s ɡ ɑː p ə
malling	m ɑ lː ɪ ŋ
martinsson	m a ʁ t ɪ n s uː n
massakrene	m a s a k r ə n ə
medfanger	m eː d f ɑ ŋ ə r
melton	m ɛ l t uː n
midnattssol	m i d n a t s uː l
militser	m ɪ l ɪ t s ə r
militærbasen	m ɪ l ɪ t æː r b ɑː s n̩
nang	n ɑ ŋː
narkis	n ɑ r k iː s
navigasjonen	n a ʋ ɪ ɡ a ʃ uː n n̩
neue	n æ ʉ̯ ə
nyu	n yː ʉ
olden	ɔ l d n̩
ona	uː n a
partifelle	p a ʁ t ɪ f ɛ lː ə
paulette	p æ ʉ l ɛ tː ə
pessimisme	p ɛ sː ɪ m ɪ s m ə
postenligaen	p ɔ s t n̩ l ɪ ɡ ɑː n̩
potomac	p u t u m a k
prefer	p r eː f ə r
pressing	p r ɛ sː ɪ ŋ
printeren	p r ɪ n t eː r n̩
provisjoner	p r ʊ ʋ ɪ ʃ uː n ə r
prøyssisk	p r œ ʏ sː ɪ s k
publisiteten	p ʉ b l ɪ s ɪ t eː t n̩
pådriverne	p oː d r iː ʋ æ ɳ ə
rammebetingelsene	r a mː ə b eː t ɪ ŋ ə l s ə n ə
rasestandarden	r ɑː s ə s t a n d ɑː r n̩
rasta	r a s t a
refundere	r ə f ʉ n d eː r ə
reinsvoll	r æ j n s v ɔ l
relingen	r eː l ɪ ŋ n̩
relé	r ə l eː
remedier	r ə m eː d ɪ ə r
resiliens	r ɛ s ɪ l ɪ ɛ n s
resorts	r ə s u ʈ s
restart	r ə s t ɑː ʁ t
revitalisering	r ɛ ʋ ɪ t a l ɪ s eː r ɪ ŋ
rub	r ʉː b
rubel	r ʉː b ə l
røsten	r œ s t n̩
sammensmelting	s a mː ə n s m ɛ l t ɪ ŋ
sannidal	s a n ɪ d ɑː l
sev	s eː ʋ
sfærer	s f æː r ə r
sinding	s ɪ n d ɪ ŋ
skoleleder	s k uː l ə l eː d ə r
skoleområdet	s k uː l ə u m r oː d ə
skrapte	s k r ɑ p t ə
skreia	s k r æ ɪ a
skydekket	ʃ yː d ɛ kː ə
smekker	s m ɛ kː ə r
smit	s m iː t
sober	s uː b ə r
stables	s t ɑː b l ə s
strava	s t r ɑː ʋ ɑ
stønne	² s t œ nː ə
subsidiære	s ʉ b s ɪ d ɪ æː r ə
sucker	s ʉ kː ə r
sunkne	s ʉ ŋ k n ə
svekkelsen	s ʋ ɛ kː ə l s n̩
symaskinen	s y m a ʃ iː n n̩
tafatte	t a f a tː ə
takeda	t ɑː k ə d ɑ
tamilske	t ɑ m iː l s k ə
tatovere	t a t oː ʋ eː r ə
tegna	t æ ɪ̯ n ɑ
temperamentet	t ɛ m p ə r a m a ŋ ə
tick	t ɪ k
tilbaketrekkingen	t ɪ l b ɑː k ə t r ɛ kː ɪ ŋ n̩
tispen	t ɪ s p n̩
titulere	t ɪ t ʉ l eː r ə
tonelag	t uː n ə l ɑː ɡ
tribeca	t r iː b eː k a
tulipan	t ʉː l ɪ p ɑː n
tyvende	t yː ʋ ə n d ə
tørketiden	t œ r k ə t iː d n̩
tøs	t øː s
uhåndterlig	ʉː h ɔ n t ə ɾ l iː
urenhet	ʉː r ə n h eː t
utdanningssenter	ʉː t d a n ɪ ŋ s ɛ n t ə r
utenforliggende	ʉː t n̩ f ɔ ɾ l ɪ ɡː ə n d ə
utenlandstur	ʉː t n̩ l ɑ n s t ʉː r
utligner	ʉː t l ɪ ŋ n ə r
utrecht	ʉː t r ɛ k t
utrenskninger	ʉː t r ɛ n s k n ɪ ŋ ə r
utsendingen	ʉː t s ɛ n d ɪ ŋ n̩
vaflene	ʋ ɑ f l ə n ə
veksthus	ʋ ɛ k s t h ʉː s
vektløs	ʋ ɛ k t l øː s
vennskapene	ʋ ɛ n s k ɑː p ə n ə
viftene	ʋ ɪ f t n̩ ə
vinkelrett	ʋ ɪ ŋ k ə l r ɛ t
virkeligheter	ʋ ɪ r k ə l ɪ h eː t ə r
virkningsgraden	ʋ ɪ r k n ɪ ŋ s ɡ r ɑː d n̩
visdommens	ʋ iː s d ɔ m ɛ n s
våpenkontroll	ʋ oː p e n k u n t r o l
yrende	yː r ə n d ə
aalesunds	ɑː l ə s ʉ n s
abilene	ɑː b ɪ l ə n ə
absalom	a b s a l uː m
actress	a k t r ɛ s
adgangskort	a d ɡ a ŋ s k u ʈ
adios	ɑː d ɪ uː s
allmenningen	ɑ l m ɛ nː ɪ ŋ n̩
andra	ɑ n d r ɑ
ansiktshår	ɑ n s ɪ k t s h oː r
ard	ɑː r
arkimedes	ɑ r k ɪ m eː d ə s
asi	ɑː s ɪ
aspiranter	a s p ɪ r a n t ə r
assimilasjon	a s ɪ m ɪ l a ʃ uː n
atlaset	ɑː t l ɑː s ə
aviva	ɑ ʋ iː ʋ ɑ
avleggere	ɑː ʋ l ɛ ɡː ə r ə
bachelorgraden	b ɑ ʃ ə l ɔ r ɡ r ɑː d n̩
barndomsminner	b ɑː ɳ d ɔ m s m ɪ nː ə r
barnelegen	b ɑː ɳ ə l eː ɡ n̩
barnåler	b ɑː ɳ oː l ə r
beslaglegger	b ə s l ɑː ɡ l ɛ ɡ ə r
bevokte	b ə ʋ ɔ k t ə
bleken	b l eː k n̩
blekt	b l eː k t
blodrød	b l uː d r øː
blodrøde	b l uː d r øː d ə
bloggene	b l ɔ ɡː ə n ə
boknafjorden	b uː k n a f j uː r n̩
borrelås	b ɔ rː ə l oː s
broker	b r uː k ə r
brush	b r ʉ ʂ
brøker	b r øː k ə r
busstasjon	b ʉ s t a ʃ uː n
christies	k r ɪ s t ɪ ə s
chronic	k r uː n ɪ k
coupe	k uː p
cristin	k r ɪ s t iː n
cupens	k ʉ p ɛ n s
dekknavnet	d ɛ k n ɑ ʋ n ə
disputasen	d ɪ s p ʉ t ɑː s n̩
dobbeltdrap	d ɔ bː ə l d r ɑː p
donahue	d uː n a h ʉː ə
dou	d uː
dundre	d ʉ n d r ə
dytta	d ʏ tː ɑ
ema	eː m ɑ
eneboer	eː n ə b uː ə r
engines	ɛ ŋ ɪ n ə s
etpar	eː t p ɑː r
fartsgrensa	f a ʁ t s ɡ r ɛ n s a
fastlåste	f a s t l oː s t ə
faulkner	f æ ʉ l k n ə r
feltsykehus	f ɛ l t s yː k ə h ʉː s
filmkunst	f ɪ l m k ʉ n s t
finnmarkskysten	f ɪ nː m ɑ r k ʃ ʏ s t n̩
fjellområdet	f j ɛ lː ɔ m r oː d ə
flatmark	f l a t m a r k
floskler	f l ɔ s k l ə r
flytyper	f l yː t yː p ə r
folkrock	f ɔ l k r ɔ k
fontenehuset	f ʊ n t ə n ə h ʉː s ə
forbrennes	f ɔ r b r ɛ nː ə s
forbundsfeller	f ɔ r b ʉ n s f ɛ lː ə r
forlates	f ɔ ɾ l ɑː t ə s
formaninger	f ɔ r m ɑː n ɪ ŋ ə r
forvrenge	f ɔ r ʋ r ɛ ŋː ə
foton	f u t uː n
framskyndet	f r a m ʃ ʏ n d ə
franklins	f r ɑ ŋ k l ɪ n s
friidretts	f r iː d r ɛ t s
frostvæske	f r ʊ s t ʋ æ s k ə
frynser	f r ʏ n s ə r
fullendte	f ʉ lː ɛ n t ə
føk	f øː k
gab	ɡ ɑː b
galaksene	ɡ a l a k s ə n ə
garret	ɡ ɑ rː ə
gasskamrene	ɡ a s k a m r ə n ə
gisp	j ɪ s p
glassflasker	ɡ l ɑ s f l ɑ s k ə r
glove	ɡ l oː ʋ ə
golfspillere	ɡ ɔ l f s p ɪ lː ə r ə
gotaas	ɡ u t ɑː s
gullgraver	ɡ ʉ l ɡ r ɑː ʋ ə r
hasta	h a s t a
heddal	h ɛ d ɑː l
hegna	h æ ɪ̯ n ɑ
henga	h ɛ ŋ a
hensatt	h ɛ n s a t
hesse	h ɛ sː ə
hundesport	h ʉ n d ə s p u ʈ
hylsen	h ʏ l s n̩
ilder	ɪ l d ə r
imiterte	ɪ m ɪ t eː ʁ t ə
immigrerte	ɪ mː ɪ ɡ r eː ʁ t ə
indianeren	ɪ n d ɪ ɑː n ə r n̩
innhentes	ɪ nː h ɛ n t ə s
intill	ɪ n t ɪ l
intolerant	ɪ n t ʊ l ə r a n t
iona	j uː n a
ire	iː r ə
isadora	iː s a d uː r a
janson	j a n s uː n
jensdatter	j ɛ n s d a tː ə r
jordbruks	j uː r b r ʉ k s
jubelen	j ʉː b ə l n̩
karita	k ɑ r iː t ɑ
kirkemøte	ç ɪ r k ə m øː t ə
kløfter	k l œ f t ə r
kløktig	k l ø k t i
kløv	k l øː ʋ
knivblad	k n iː ʋ b l ɑː
kodes	k uː d ə s
kullene	k ʉ lː ə n ə
lagerbygg	l ɑː ɡ ə r b ʏ ɡ
latif	l ɑ t iː f
laurens	l æ ʉ r ɛ n s
legaliserte	l ɛ ɡ a l ɪ s eː ʁ t ə
legoland	l e ɡ u l a n
leieboeren	l æ ɪ ə b uː ə r n̩
libra	l iː b r a
lsu	l s ʉː
løyver	l œ ʏ̯ ʋ ə r
maratonløp	m a r a t uː n l øː p
margaretha	m a r ɡ a r eː t a
marinejeger	m ɑ r iː n ə j eː ɡ ə r
marple	m ɑ r p l ə
mildvær	m ɪ l v æː r
milli	m ɪ lː ɪ
millisekunder	m ɪ lː ɪ s ə k ʉ n d ə r
misligheter	m ɪ s l ɪ h eː t ə r
mongol	m ɔ ŋ ɡ uː l
munir	m ʉ n iː r
nasjonaliteten	n a ʃ ʊ n a l ɪ t eː t n̩
natasja	n a t a ʃ a
nec	n eː k
neeson	n eː s uː n
niss	n ɪ sː
nybakk	n yː b a k
obstruksjon	ɔ b s t r ʉ k ʃ uː n
orten	u ʈ n̩
overhuset	oː ʋ ə r h ʉː s ə
parrer	p a rː ə r
perleporten	p æː ɭ ə p u ʈ n̩
pero	p eː r u
pesticider	p ɛ s t ɪ s iː d ə r
pitts	p ɪ t s
polariseringen	p u l a r ɪ s eː r ɪ ŋ n̩
poolen	p uː l n̩
rackham	r a k h a m
rasering	r ɑ s eː r ɪ ŋ
reiseruten	r æ ɪ s ə r ʉː t n̩
rek	r eː k
renato	r ə n ɑː t ʊ
retningsgivende	r ɛ t n ɪ ŋ s j iː ʋ ə n d ə
rin	r iː n
rotløs	r uː t l øː s
rutebuss	r ʉː t ə b ʉ s
ruvende	r ʉː ʋ ə n d ə
rø	r øː
sabah	s ɑː b ɑ
sammensetting	s a mː ə n s ɛ tː ɪ ŋ
sertifiseringen	s ɛ ʁ t ɪ f ɪ s eː r ɪ ŋ n̩
sham	ʃ ɑ m
sikringene	s ɪ k r ɪ ŋ ə n ə
sitka	s ɪ t k a
skolegutt	s k uː l ə ɡ ʉ t
skriftlærde	s k r ɪ f t l æː r ə
skytere	ʃ yː t ə r ə
skålene	s k oː l ə n ə
slagverk	ʂ l ɑː ɡ ʋ æ r k
slektsnavnet	ʂ l ɛ k t s n a ʋ n ə
smeder	s m eː d ə r
snorres	s n ɔ rː ə s
snuff	s n ʉ f
sobel	s uː b ə l
soong	s uː ŋ
sop	s uː p
stengingen	s t ɛ ŋ ɪ ŋ n̩
stillegående	s t ɪ lː ə ɡ oː ə n d ə
strofer	s t r uː f ə r
stuarts	s t ʉ ɑ ʁ t s
styringa	s t yː r ɪ ŋ a
suppleres	s ʉ p l eː r ə s
svampen	s ʋ ɑ m p n̩
svev	s ʋ eː ʋ
svømmeren	s ʋ œ mː ə r n̩
sørfjorden	s øː r f j uː r n̩
teaterhøgskolen	t ɛ ɑː t ə r h øː ɡ s k uː l n̩
teknikeren	t ɛ k n ɪ k ə r n̩
tem	t ɛ m
terpe	t æ r p ə
tic	t iː k
togo	t uː ɡ u
treningene	t r eː n ɪ ŋ ə n ə
trones	t r uː n ə s
