ها	h ɒː
دوسته	d uː s t e̞
ذارن	z ɒː ɾ æ n
رهاش	ɾ æ h ɒː ʃ
رودهن	ɾ uː d æ h æ n
روراست	ɾ uː ɾ ɒː s t
ریکو	ɾ iː k o
زادگاهش	z ɒː d e̞ g ɒː h e̞ ʃ
زنجبیل	z æ n d͡ʒ æ b iː l
زیسته	z iː s t e̞
سازوکارهای	s ɒː z uː k ɒː ɾ e̞ iː
ساطع	s ɒː t e̞ ʔ
سانتافه	s ɒː n t ɒː f e̞
سانس	s ɒː n e̞ s
سایلنت	s ɒː j e̞ l æ n t
سرخپوست	s e̞ ɾ æ x p uː s t
سشوار	s e̞ ʃ æ v ɒː ɾ
سهمگین	s æ h m æ g iː n
سوءتفاهم	s uː ʔ æ t æ f ɒː h æ m
سوشا	s uː ʃ ɒː
سونیک	s uː n iː k
سوپرایز	s uː p æ ɾ ɒː j æ z
سيب	s iː b
سپاسگزار	s e̞ p ɒː s g o z ɒː ɾ
سیلیس	s iː l iː s
شله	ʃ o l e̞
شیپ	ʃ iː p
صارمی	s ɒː ɾ æ m iː
صداتو	s o d ɒː t o
صلابت	s æ l ɒː b æ t
صیقل	s iː ɢ æ l
طهارت	t æ h ɒː ɾ æ t
عبارتست	æ b ɒː ɾ t æ s t
عزيزان	æ z iː z ɒː n
عصیان	æ s j ɒː n
عکسه	æ k s e̞
غارتگر	ɢ ɒː ɾ t e̞ g æ ɾ
فرازمینی	f æ ɾ ɒː z m iː n iː
فریده	f æ ɾ iː d e̞
كاری	k ɒː ɾ iː
كشتار	k o ʃ t ɒː ɾ
كنندگان	k æ n æ n d e̞ g ɒː n
متشکر	m æ t e̞ ʃ k æ ɾ
محتواهای	m æ h t æ v ɒː h iː
محكوم	m æ h k uː m
مدرك	m æ d e̞ ɾ æ k
مديره	m æ d iː ɾ e̞
مرگت	m æ ɾ g æ t
مسئولی	m æ s ʔ uː l iː
مسلک	m æ s e̞ l e̞ k
معالج	m æ ʔ ɒː l e̞ d͡ʒ
مقارن	m æ ɢ ɒː ɾ æ n
ملاقاتی	m æ l ɒː ɢ ɒː t iː
میزی	m iː z iː
میکروسکوپی	m iː k o ɾ uː s k uː p iː
ناباوری	n ɒː b ɒː v æ ɾ iː
نافذ	n ɒː f æ z
نامتقارن	n ɒː m æ t æ ɢ ɒː ɾ æ n
نامربوط	n ɒː m o ɾ b uː t
ناگاه	n ɒː g ɒː h
نخوام	n æ x ɒː m
نذاشتن	n æ z ɒː ʃ t æ n
نعره	n æ ʔ ɾ e̞
نکردین	n æ k æ ɾ d iː n
نیازه	n æ j ɒː z e̞
هابز	h ɒː b e̞ z
هیروشیما	h iː ɾ uː ʃ iː m ɒː
واگر	v ɒː g æ ɾ
وایس	v ɒː j e̞ s
ودیعه	v æ d iː ʔ e̞
وضعشه	v æ z ʔ e̞ ʃ e̞
وضعم	v æ z ʔ æ m
يکديگر	j e̞ k d iː g æ ɾ
پاييز	p ɒː j iː z
پستون	p æ s t uː n
پسماندهای	p æ s m ɒː n d e̞ iː
پوکه	p uː k e̞
پیره	p iː ɾ e̞
پیمانکاران	p e̞ j m ɒː n k ɒː ɾ ɒː n
پیچش	p iː t͡ʃ e̞ ʃ
کارسون	k ɒː ɾ s uː n
کارپنتر	k ɒː ɾ p e̞ n t æ ɾ
کارگاهی	k ɒː ɾ g ɒː h iː
کاشیما	k ɒː ʃ iː m ɒː
کالوین	k ɒː l uː j æ n
کرام	k æ ɾ ɒː m
کست	k æ s t
کلاچ	k e̞ l ɒː t͡ʃ
گریان	g e̞ ɾ j ɒː n
گریخته	g o ɾ iː x t e̞
گستاخ	g o s t ɒː x
یدالله	j æ d ɒː l e̞ l e̞
یکدیگرند	j e̞ k d iː g æ ɾ æ n d
blood	b l uː d
آشیل	ɒː ʃ iː l
آفتابگردان	ɒː f t ɒː b e̞ g æ ɾ d ɒː n
آهی	ɒː h iː
آیس	ɒː j e̞ s
اتومات	æ t uː m ɒː t
اشر	æ ʃ o ɾ
اشو	æ ʃ uː
املاح	æ m l ɒː h
اوايل	æ v ɒː j e̞ l
ايتاليا	iː t ɒː l j ɒː
ایمیلی	iː m iː l iː
بازپس	b ɒː z p æ s
باسابقه	b ɒː s ɒː b e̞ ɢ e̞
بالشت	b ɒː l e̞ ʃ t
بحثش	b e̞ h e̞ s e̞ ʃ
برسونی	b e̞ ɾ e̞ s uː n iː
برمیگردن	b æ ɾ m iː g æ ɾ d æ n
بوبو	b uː b uː
بوسيله	b uː s iː l e̞
بگذاريد	b e̞ g o z ɒː ɾ iː d
تحریمی	t æ h ɾ iː m iː
تحصيلات	t æ h s iː l ɒː t
توانش	t æ v ɒː n e̞ ʃ
تومورهای	t uː m uː ɾ e̞ iː
جانانه	d͡ʒ ɒː n ɒː n e̞
جمیل	d͡ʒ æ m iː l
جوآن	d͡ʒ uː ɒː n
جیش	d͡ʒ iː ʃ
حلیم	h æ l iː m
خرافه	x æ ɾ ɒː f e̞
خوندمش	x o n d æ m e̞ ʃ
دادش	d ɒː d e̞ ʃ
داستانو	d ɒː s t ɒː n o
دستهای	d æ s t e̞ iː
دونا	d uː n ɒː
دوپامین	d uː p ɒː m iː n
دیرالزور	d iː ɾ ɒː l z o ɾ
دیزلی	d iː z æ l iː
دینداری	d iː j ɒː n d ɒː ɾ iː
رشتخوار	ɾ e̞ ʃ t æ x ɒː ɾ
رعیتی	ɾ æ ʔ iː t iː
روحانیان	ɾ uː h ɒː n j ɒː n
روشنش	ɾ uː ʃ e̞ n e̞ ʃ
زم	z æ m
زيباست	z iː b ɒː s t
ساروج	s ɒː ɾ uː d͡ʒ
سازيم	s ɒː z iː m
سب	s æ b
سجادیه	s e̞ d͡ʒ ɒː d iː j e̞
سرودن	s o ɾ uː d æ n
سلجوقی	s æ l d͡ʒ uː ɢ iː
سوئیسی	s uː ʔ iː s iː
شهد	ʃ æ h æ d
شورولت	ʃ uː ɾ uː l æ t
شوقی	ʃ uː ɢ iː
شکوهمند	ʃ e̞ k uː h æ m æ n d
صحافی	s æ h ɒː f iː
عطفی	æ t æ f iː
عنبر	æ n b æ ɾ
غیرایرانی	ɢ iː ɾ ɒː j ɾ ɒː n iː
فاو	f ɒː v
فایو	f ɒː j o
فرداش	f æ ɾ d ɒː ʃ
فزونی	f o z uː n iː
فوریت	f uː ɾ iː t
فیک	f iː k
قرنها	ɢ æ ɾ n æ h ɒː
لاجرم	l ɒː d͡ʒ æ ɾ æ m
لایی	l ɒː j iː
لغوی	l æ ɢ v iː
لهم	l æ h æ m
لوییز	l uː j iː z
مابه	m ɒː b e̞
مالدیو	m ɒː l d iː j o
متالیکا	m æ t ɒː l iː k ɒː
متدین	m æ t æ d iː n
مجیک	m æ d͡ʒ iː k
مغزه	m æ ɢ z e̞
مقعدی	m æ ɢ ʔ æ d iː
منظورمو	m æ n z uː ɾ æ m o
منیژه	m æ n iː ʒ e̞
موازنه	m æ v ɒː z n e̞
موثری	m uː s æ ɾ iː
موزيك	m uː z iː k
میزانی	m iː z ɒː n iː
نشاني	n e̞ ʃ ɒː n iː
نگاهي	n æ g ɒː h iː
همکارام	h æ m k ɒː ɾ ɒː m
هنجار	h æ n d͡ʒ ɒː ɾ
وردی	v æ ɾ d iː
وهمه	v æ h m e̞
ویسی	v iː s iː
پرافتخار	p æ ɾ o f t x ɒː ɾ
پررنگی	p æ ɾ ɾ æ n g iː
پیشوایان	p iː ʃ æ v ɒː j ɒː n
چشاش	t͡ʃ e̞ ʃ ɒː ʃ
چهارمی	t͡ʃ æ h ɒː ɾ æ m iː
کاستا	k ɒː s t ɒː
کامبوج	k ɒː m b uː d͡ʒ
کدورت	k o d uː ɾ æ t
کرامات	k æ ɾ ɒː m ɒː t
کردمش	k æ ɾ d æ m e̞ ʃ
کردنو	k æ ɾ d æ n o
کروی	k e̞ ɾ æ v iː
گرفتنه	g e̞ ɾ e̞ f t æ n e̞
گشاده	g o ʃ ɒː d e̞
گودمن	g uː d æ m æ n
گورکن	g uː ɾ k æ n
گیشه	g iː ʃ e̞
ex	ɛ k s
iron	iː ɾ ɔ n
led	l e̞ d
آبریز	ɒː b e̞ ɾ iː z
آزادیبخش	ɒː z ɒː d iː b æ x ʃ
آصف	ɒː s o f
ابروی	æ b ɾ æ v iː
امراض	æ m ɾ ɒː z
اموات	æ m v ɒː t
اموی	æ m uː j
انکه	æ n k e̞
اونهایی	o n æ h ɒː j iː
اوی	o j
بابامه	b ɒː b ɒː m e̞
بارداري	b ɒː ɾ d ɒː ɾ iː
بازیچه	b ɒː z iː t͡ʃ e̞
باما	b ɒː m ɒː
بايستي	b ɒː j e̞ s t iː
برار	b e̞ ɾ ɒː ɾ
بردارین	b æ ɾ d ɒː ɾ iː n
بفرستین	b e̞ f e̞ ɾ e̞ s t iː n
بویر	b e̞ v iː ɾ
بیکینی	b iː k iː n iː
تاکيد	t ɒː k iː d
تدی	t æ d iː
ترفندهای	t æ ɾ f æ n d e̞ iː
تروخدا	t o ɾ uː x æ d ɒː
تفصیلی	t æ f s iː l iː
جاشه	d͡ʒ ɒː ʃ e̞
جامون	d͡ʒ ɒː m uː n
جانداران	d͡ʒ ɒː n d ɒː ɾ ɒː n
جهانگرد	d͡ʒ æ h ɒː n g æ ɾ æ d
جهنمه	d͡ʒ æ h n æ m e̞
حائل	h ɒː ʔ e̞ l
حالیش	h ɒː l iː ʃ
حقته	h æ ɢ t e̞
خردادماه	x æ ɾ d ɒː d æ m ɒː h
خس	x o s
دادنت	d ɒː d æ n t
داوید	d ɒː v iː d
دردسره	d æ ɾ d æ s o ɾ e̞
درستکار	d e̞ ɾ e̞ s t e̞ k ɒː ɾ
دهباشی	d æ h b ɒː ʃ iː
دودمان	d uː d æ m ɒː n
دوشس	d uː ʃ æ s
دونین	d uː n iː n
رادان	ɾ ɒː d ɒː n
رایلی	ɾ ɒː j e̞ l iː
روزگاران	ɾ uː z g ɒː ɾ ɒː n
رياضي	ɾ æ j ɒː z iː
ریسه	ɾ iː s e̞
زبونت	z o b uː n æ t
زرگری	z æ ɾ g æ ɾ iː
زنیکه	z æ n iː k e̞
زوار	z æ v ɒː ɾ
زودي	z uː d iː
زیبائی	z iː b ɒː ʔ iː
سزایی	s e̞ z ɒː j iː
سلایق	s æ l ɒː j æ ɢ
سینوس	s iː n uː s
شالوده	ʃ ɒː l uː d e̞
شعبانی	ʃ e̞ ʔ b ɒː n iː
شفای	ʃ o f ɒː j
شنيدم	ʃ e̞ n iː d æ m
شیما	ʃ iː m ɒː
صداست	s e̞ d ɒː s t
عمال	æ m ɒː l
غنا	ɢ æ n ɒː
فايده	f ɒː j æ d e̞
فرسایشی	f æ ɾ s ɒː j e̞ ʃ iː
فقیری	f æ ɢ iː ɾ iː
قلمه	ɢ æ l m e̞
قهری	ɢ æ h ɾ iː
كارخانه	k ɒː ɾ x ɒː n e̞
لارس	l ɒː ɾ e̞ s
لالی	l ɒː l iː
لعنتت	l æ ʔ n t æ t
لوری	l uː ɾ iː
لپه	l æ p e̞
محکمتر	m æ h k æ m t æ ɾ
مخمصه	m æ x æ m s e̞
مطمعن	m æ t m æ ʔ æ n
معاونین	m æ ʔ ɒː v æ n iː n
ملازم	m æ l ɒː z æ m
مهرزاد	m æ h æ ɾ z ɒː d
موردنیاز	m o ɾ d æ n j ɒː z
موسویان	m uː s uː j ɒː n
ميگيرم	m iː g iː ɾ æ m
مینای	m iː n ɒː j
نابالغ	n ɒː b ɒː l æ ɢ
نجاتش	n æ d͡ʒ ɒː t e̞ ʃ
نجاتی	n æ d͡ʒ ɒː t iː
نخاله	n æ x ɒː l e̞
ندیدمت	n æ d iː d æ m æ t
نظرتان	n æ z æ ɾ t ɒː n
نمردن	n æ m o ɾ d æ n
نگرانش	n æ g e̞ ɾ ɒː n e̞ ʃ
نیام	n æ j ɒː m
هالیدی	h ɒː l iː d iː
هله	h e̞ l e̞
هنجارهای	h æ n d͡ʒ ɒː ɾ e̞ iː
وسطه	v æ s t e̞
وغیره	v æ ɢ iː ɾ e̞
وقتایی	v æ ɢ t ɒː j iː
ولمون	v æ l m uː n
پانل	p ɒː n e̞ l
پرتال	p æ ɾ t ɒː l
چاي	t͡ʃ ɒː j
چسبیدن	t͡ʃ æ s b iː d æ n
ژانگ	ʒ ɒː n g
ژوزف	ʒ uː z o f
کاظمین	k ɒː z m iː n
کامبت	k ɒː m b æ t
کرافت	k æ ɾ ɒː f t
کردستانی	k æ ɾ d æ s t ɒː n iː
کرديم	k æ ɾ d iː m
کروموزوم	k o ɾ uː m uː z uː m
کریستالی	k æ ɾ iː s t ɒː l iː
کشتارهای	k o ʃ t ɒː ɾ e̞ iː
کنندس	k æ n æ n d æ s
گاومیش	g ɒː v æ m iː ʃ
گاوه	g ɒː v e̞
گذاشتین	g o z ɒː ʃ t iː n
گوچی	g uː t͡ʃ iː
یعقوبی	j ɒː ɢ uː b iː
یول	j o l
team	t iː m
آخرم	ɒː x æ ɾ æ m
آرامستان	ɒː ɾ ɒː m e̞ s t ɒː n
اخوت	æ x o t
ارض	æ ɾ z
امدم	æ m d æ m
انان	æ n ɒː n
ايراد	iː ɾ ɒː d
بازرگاني	b ɒː z ɾ e̞ g ɒː n iː
بازکن	b ɒː z k æ n
بخوابین	b e̞ x ɒː b iː n
برادرا	b æ ɾ ɒː d æ ɾ ɒː
برمن	b e̞ ɾ æ m æ n
بزرگواری	b e̞ z æ ɾ g o v ɒː ɾ iː
بشرویه	b e̞ ʃ o ɾ uː j e̞
بشما	b e̞ ʃ o m ɒː
بفهمونم	b e̞ f æ h m uː n æ m
بلوکه	b e̞ l uː k e̞
بورگ	b e̞ v æ ɾ g
بیخ	b iː x
تالبوت	t ɒː l b uː t
تناوب	t æ n ɒː v æ b
توئی	t uː ʔ iː
توسان	t uː s ɒː n
تپانچه	t æ p ɒː n t͡ʃ e̞
تکاب	t e̞ k ɒː b
تکوین	t e̞ k uː j æ n
جدیه	d͡ʒ æ d iː j e̞
حزن	h e̞ z æ n
خالصه	x ɒː l s e̞
خانگي	x ɒː n g iː
خرفت	x æ ɾ o f t
خرمای	x æ ɾ m ɒː j
خروش	x o ɾ uː ʃ
خروپف	x o ɾ uː p o f
خلاصی	x æ l ɒː s iː
خورخه	x o ɾ x e̞
خونخوار	x o n x ɒː ɾ
دامپروری	d ɒː m p æ ɾ v æ ɾ iː
دخترانی	d æ x t æ ɾ ɒː n iː
درازا	d æ ɾ ɒː z ɒː
درتاریخ	d æ ɾ t ɒː ɾ iː x
دستورهای	d æ s t uː ɾ e̞ iː
دستیاران	d æ s t j ɒː ɾ ɒː n
رايانه	ɾ ɒː j ɒː n e̞
رحمتش	ɾ æ h m æ t e̞ ʃ
رواق	ɾ æ v ɒː ɢ
روبن	ɾ uː b æ n
روزو	ɾ uː z o
زه	z e̞
زیباسازی	z iː b ɒː s ɒː z iː
زیورآلات	z iː v æ ɾ ɒː l ɒː t
سجادی	s e̞ d͡ʒ ɒː d iː
سرخرگ	s æ ɾ x æ ɾ g
سروتونین	s o ɾ uː t uː n iː n
سنگه	s æ n g e̞
سنگي	s æ n g iː
سوچی	s uː t͡ʃ iː
سیس	s iː s
سیفی	s iː f iː
شانست	ʃ ɒː n e̞ s t
شرلی	ʃ o ɾ l iː
شنگول	ʃ e̞ n g uː l
صبای	s æ b ɒː j
صدهزار	s æ d æ h z ɒː ɾ
صفتی	s o f t iː
طحال	t æ h ɒː l
عبا	æ b ɒː
عجین	æ d͡ʒ iː n
فاک	f ɒː k
فرضیات	f æ ɾ z iː j ɒː t
فهمیدین	f æ h m iː d iː n
فوتی	f uː t iː
قرارگرفتن	ɢ æ ɾ ɒː ɾ g e̞ ɾ e̞ f t æ n
قرب	ɢ æ ɾ b
قصدش	ɢ æ s d æ ʃ
ماحصل	m ɒː h e̞ s e̞ l
ماره	m ɒː ɾ e̞
مالت	m ɒː l æ t
مانیا	m ɒː n j ɒː
مایلم	m ɒː j e̞ l æ m
متفقین	m æ t æ f ɢ iː n
متواضع	m æ t æ v ɒː z e̞ ʔ
محاسن	m æ h ɒː s æ n
مخاطرات	m æ x ɒː t e̞ ɾ ɒː t
ملغی	m æ l æ ɢ iː
مناقشات	m æ n ɒː ɢ e̞ ʃ ɒː t
مکینتاش	m æ k iː n t ɒː ʃ
میترسن	m iː t æ ɾ s æ n
میسازه	m iː s ɒː z e̞
نارس	n ɒː ɾ e̞ s
ناصرخسرو	n ɒː s e̞ ɾ æ x s o ɾ o
ناقلا	n ɒː ɢ æ l ɒː
نخوای	n æ x ɒː j
ندین	n æ d iː n
نشيني	n e̞ ʃ iː n iː
نعوظ	n æ ʔ uː z
نفقه	n æ f æ ɢ e̞
هاپر	h ɒː p o ɾ
همخونه	h æ m x o n e̞
همستر	h æ m s e̞ t o ɾ
هوافضا	h æ v ɒː f z ɒː
هیراد	h iː ɾ ɒː d
واگیر	v ɒː g iː ɾ
ورونیکا	v o ɾ uː n iː k ɒː
وصی	v æ s iː
پسوریازیس	p æ s uː ɾ j ɒː z iː s
چاد	t͡ʃ ɒː d
چیت	t͡ʃ iː t
کاردینال	k ɒː ɾ d iː n ɒː l
کاستلو	k ɒː s t e̞ l o
کتونی	k o t uː n iː
کوس	k uː s
کیرم	k iː ɾ æ m
گذاشتمش	g o z ɒː ʃ t æ m e̞ ʃ
گرانترین	g e̞ ɾ ɒː n t æ ɾ iː n
گيرنده	g iː ɾ æ n d e̞
یانی	j ɒː n iː
sun	s uː n
vol	v o l
آجی	ɒː d͡ʒ iː
آشغالی	ɒː ʃ o ɢ ɒː l iː
آيت	ɒː j æ t
اردنی	æ ɾ d æ n iː
ارنستو	æ ɾ n æ s t o
اشك	æ ʃ k
الم	ɒː l æ m
الي	ɒː l iː
الین	ɒː l iː n
امبر	æ m b æ ɾ
امه	æ m e̞
ایرانگردی	iː ɾ ɒː n g æ ɾ d iː
باتوم	b ɒː t uː m
بازشناسی	b ɒː z ʃ e̞ n ɒː s iː
بالام	b ɒː l ɒː m
بخونیم	b e̞ x o n iː m
بذا	b e̞ z ɒː
بسيج	b e̞ s iː d͡ʒ
بولی	b uː l iː
بچت	b e̞ t͡ʃ æ t
تايم	t ɒː j æ m
تراوش	t æ ɾ ɒː v e̞ ʃ
ترسه	t æ ɾ s e̞
تركيه	t æ ɾ k iː j e̞
تمهیدات	t æ m h iː d ɒː t
تکاپو	t e̞ k ɒː p uː
تگرگ	t e̞ g æ ɾ g
جاسم	d͡ʒ ɒː s æ m
جاشوا	d͡ʒ ɒː ʃ æ v ɒː
جايگزين	d͡ʒ ɒː j g o z iː n
جسته	d͡ʒ o s t e̞
جهالت	d͡ʒ æ h ɒː l æ t
جهنده	d͡ʒ æ h æ n d e̞
حسابداري	h e̞ s ɒː b e̞ d ɒː ɾ iː
خدايي	x æ d ɒː j iː
خشخاش	x o ʃ x ɒː ʃ
خیرخواه	x iː ɾ x ɒː h
دارالفنون	d ɒː ɾ ɒː l e̞ f n æ v æ n
دستاشو	d æ s t ɒː ʃ o
دهنمون	d æ h n æ m uː n
دوساله	d uː s ɒː l e̞
دومه	d uː m e̞
رؤیت	ɾ æ ʔ iː t
رفتین	ɾ o f t iː n
رنک	ɾ æ n k
رهاسازی	ɾ æ h ɒː s ɒː z iː
روابطی	ɾ æ v ɒː b e̞ t iː
روبل	ɾ uː b æ l
روحي	ɾ uː h iː
روندهای	ɾ æ v æ n d e̞ iː
زلیخا	z æ l iː x ɒː
سازماني	s ɒː z m ɒː n iː
سخاوت	s o x ɒː v æ t
سروآباد	s o ɾ uː ɒː b ɒː d
سنگینه	s æ n g iː n e̞
سوران	s uː ɾ ɒː n
سیرم	s iː ɾ æ m
شوفاژ	ʃ uː f ɒː ʒ
شوهری	ʃ uː h æ ɾ iː
شیلنگ	ʃ iː l æ n g
صباحی	s æ b ɒː h iː
صدوقی	s o d uː ɢ iː
صندوقدار	s æ n d uː ɢ d ɒː ɾ
ضربدر	z æ ɾ b e̞ d æ ɾ
طبرستان	t æ b e̞ ɾ e̞ s t ɒː n
طبعی	t æ b ʔ iː
عراقچی	æ ɾ ɒː ɢ t͡ʃ iː
فایلهای	f ɒː j e̞ l e̞ iː
قرضی	ɢ æ ɾ z iː
كنی	k æ n iː
ماهیتابه	m ɒː h iː t ɒː b e̞
محاکم	m æ h ɒː k æ m
مخالفتی	m æ x ɒː l e̞ f t iː
مریخی	m æ ɾ iː x iː
معارفه	m æ ʔ ɒː ɾ e̞ f e̞
ملیتی	m æ l iː t iː
ملیکا	m æ l iː k ɒː
مهستی	m æ h æ s t iː
ميخواستم	m iː x ɒː s t æ m
مکررا	m æ k æ ɾ ɾ ɒː
میاییم	m iː ɒː j iː m
ناآگاهی	n ɒː ɒː g ɒː h iː
نرماشیر	n æ ɾ æ m ɒː ʃ iː ɾ
نروژی	n æ ɾ uː ʒ iː
نظرمون	n æ z æ ɾ m uː n
نویر	n æ v iː ɾ
هریسون	h æ ɾ iː s uː n
هولم	h uː l æ m
ویلر	v iː l æ ɾ
پار	p ɒː ɾ
پارازیت	p ɒː ɾ ɒː z iː t
پاشه	p ɒː ʃ e̞
پروپاگاندا	p æ ɾ uː p ɒː g ɒː n d ɒː
پشتت	p o ʃ t æ t
پوشيده	p uː ʃ iː d e̞
پيچ	p iː t͡ʃ
چونان	t͡ʃ uː n ɒː n
ژوراسیک	ʒ uː ɾ ɒː s iː k
کاسبان	k ɒː s b ɒː n
کالاهایی	k ɒː l ɒː h ɒː j iː
کاک	k ɒː k
کمدین	k æ m d iː n
کوبایی	k uː b ɒː j iː
کیکی	k iː k iː
گلر	g o l æ ɾ
گوگولی	g uː g uː l iː
یوان	j æ v ɒː n
یوز	j o z
club	k l uː b
talk	t a l k
test	t ɛ s t
آئینی	ɒː ʔ iː n iː
آدمیت	ɒː d æ m iː t
آرامشی	ɒː ɾ ɒː m e̞ ʃ iː
آريا	ɒː ɾ j ɒː
آشی	ɒː ʃ iː
آهنربا	ɒː h æ n ɾ æ b ɒː
افکنده	ɒː f k æ n d e̞
امیال	æ m j ɒː l
انگیزش	æ n g iː z e̞ ʃ
اوائل	æ v ɒː ʔ e̞ l
اوخ	o x
اولد	o l æ d
ايميل	iː m iː l
بالاترين	b ɒː l ɒː t o ɾ iː n
براه	b e̞ ɾ ɒː h
برشته	b e̞ ɾ e̞ ʃ t e̞
برنگرده	b æ ɾ n æ g æ ɾ d e̞
بسترهای	b e̞ s e̞ t o ɾ e̞ iː
بومي	b uː m iː
بينم	b iː n æ m
تابلویی	t ɒː b e̞ l uː j iː
تحویلش	t æ h v iː l e̞ ʃ
ترسوندن	t æ ɾ s uː n d æ n
تميز	t æ m iː z
تمیزی	t æ m iː z iː
تهمینه	t æ h m iː n e̞
تکاور	t e̞ k ɒː v æ ɾ
جانشان	d͡ʒ ɒː n e̞ ʃ ɒː n
جلگه	d͡ʒ æ l g e̞
جهشی	d͡ʒ æ h ʃ iː
حرکتش	h æ ɾ k e̞ t e̞ ʃ
حوت	h o t
خا	x ɒː
خليج	x æ l iː d͡ʒ
خوبین	x o b iː n
درعا	d æ ɾ ʔ ɒː
دقیقتر	d æ ɢ iː ɢ t æ ɾ
دهل	d æ h e̞ l
دهي	d æ h iː
دوستانت	d uː s t ɒː n æ t
دوچندان	d uː t͡ʃ æ n d ɒː n
ذارم	z ɒː ɾ æ m
رئیسم	ɾ æ ʔ iː s æ m
راستت	ɾ ɒː s t æ t
رشادت	ɾ e̞ ʃ ɒː d æ t
رنگي	ɾ æ n g iː
روبیک	ɾ uː b iː k
روحان	ɾ uː h ɒː n
روحيه	ɾ uː h iː j e̞
ریزان	ɾ iː z ɒː n
زدنم	z æ d æ n æ m
زندگیتو	z æ n d æ g iː t o
زوریخ	z uː ɾ iː x
زیور	z iː v æ ɾ
سبوس	s o b uː s
سراپا	s o ɾ ɒː p ɒː
سربازا	s æ ɾ b ɒː z ɒː
سرداب	s o ɾ d ɒː b
سرها	s o ɾ h ɒː
سليقه	s æ l iː ɢ e̞
سمیر	s æ m iː ɾ
سوراخی	s uː ɾ ɒː x iː
سوسکه	s uː s k e̞
سيم	s iː m
سکویی	s e̞ k uː j iː
شاهانه	ʃ ɒː h ɒː n e̞
شرش	ʃ e̞ ɾ e̞ ʃ
شكايت	ʃ e̞ k ɒː j æ t
شگرفی	ʃ e̞ g e̞ ɾ e̞ f iː
صریحا	s æ ɾ iː h ɒː
صوفیه	s uː f iː j e̞
طهرانی	t æ h ɾ ɒː n iː
علا	æ l ɒː
عليرضا	æ l iː ɾ z ɒː
عيب	e̞ j b
غنای	ɢ æ n ɒː j
فایروال	f ɒː j ɾ æ v ɒː l
فرهمند	f æ ɾ h æ m æ n d
فشردن	f e̞ ʃ o ɾ d æ n
فلاورجان	f æ l ɒː v æ ɾ d͡ʒ ɒː n
قابلی	ɢ ɒː b e̞ l iː
قدمگاه	ɢ æ d m æ g ɒː h
قطعش	ɢ e̞ t ʔ e̞ ʃ
قوچ	ɢ uː t͡ʃ
كفش	k o f ʃ
لازمم	l ɒː z m æ m
مائو	m ɒː ʔ o
ماش	m ɒː ʃ
مامانمو	m ɒː m ɒː n æ m uː
ماهش	m ɒː h e̞ ʃ
ماژیک	m ɒː ʒ iː k
مبالغه	m æ b ɒː l æ ɢ e̞
متضرر	m æ t æ z ɾ æ ɾ
متقارن	m æ t æ ɢ ɒː ɾ æ n
مجبورت	m æ d͡ʒ b uː ɾ æ t
محیا	m æ h j ɒː
مذاكره	m æ z ɒː k e̞ ɾ e̞
مساوات	m æ s ɒː v ɒː t
منصوره	m æ n s uː ɾ e̞
ميکند	m iː k æ n æ d
میابد	m æ j ɒː b æ d
ناروتو	n ɒː ɾ uː t o
نفرم	n æ f æ ɾ æ m
نفله	n æ f æ l e̞
نمیگن	n e̞ m iː g æ n
هاپکینز	h ɒː p o k iː n z
هرلحظه	h æ ɾ l æ h z e̞
هيجان	h iː d͡ʒ ɒː n
وارثان	v ɒː ɾ e̞ s ɒː n
والایی	v ɒː l ɒː j iː
واله	v ɒː l e̞
ورزیدن	v æ ɾ z iː d æ n
وقتیه	v æ ɢ t iː j e̞
يابد	j ɒː b æ d
پایک	p ɒː j e̞ k
پرتوی	p æ ɾ t æ v iː
پرهزینه	p æ ɾ h æ z iː n e̞
پرگار	p æ ɾ g ɒː ɾ
پلات	p æ l ɒː t
پنچر	p e̞ n t͡ʃ æ ɾ
پنکیک	p e̞ n k iː k
پولاک	p uː l ɒː k
پونی	p uː n iː
پیچک	p iː t͡ʃ e̞ k
چشونه	t͡ʃ e̞ ʃ uː n e̞
چندساله	t͡ʃ æ n d e̞ s ɒː l e̞
چهاردانگه	t͡ʃ æ h ɒː ɾ d ɒː n æ g e̞
کالین	k ɒː l iː n
کاپوت	k ɒː p uː t
کتایون	k e̞ t ɒː j o n
کنارشون	k e̞ n ɒː ɾ e̞ ʃ o n
گرگور	g æ ɾ g uː ɾ
گرگی	g æ ɾ g iː
گزارشگری	g o z ɒː ɾ e̞ ʃ g æ ɾ iː
گلوش	g o l uː ʃ
گلوگاه	g o l uː g ɒː h
گورخر	g uː ɾ x æ ɾ
گي	g iː
گیجی	g iː d͡ʒ iː
یر	j æ ɾ
یل	j e̞ l
یم	j æ m
یووه	j o v e̞
moon	m uː n
very	v e̞ ɾ iː
آدینه	ɒː d iː n e̞
آزمايشگاه	ɒː z m ɒː j e̞ ʃ g ɒː h
آسونی	ɒː s uː n iː
آمريکايي	ɒː m o ɾ iː k ɒː j iː
ابي	æ b iː
اصلش	æ s l e̞ ʃ
افتر	o f t æ ɾ
افراز	æ f ɾ ɒː z
الیسون	ɒː l iː s uː n
الینا	ɒː l iː n ɒː
انگشتت	æ n g æ ʃ t æ t
اينستاگرام	iː n e̞ s t ɒː g e̞ ɾ ɒː m
ایزوگام	iː z uː g ɒː m
