the	t eː
migraties	m i ɣ r aː s i s
mindert	m ɪ n d ə r t
misdaadonderzoek	m ɪ s d aː t ɔ n d ə r z u k
missed	m ɪ s ə t
mobiliteitsbeleid	m oː b i l i t ɛ i̯ t s b ə l ɛ i̯ t
monopolist	m oː n oː p oː l ɪ s t
monstrans	m ɔ n s t r ɑ n s
monuta	m oː n y t aː
moppert	m ɔ p ə r t
morelli	m oː r ɛ l i
motorrijbewijs	m oː t ɔ r r ɛ i̯ b ə ʋ ɛ i̯ s
movers	m oː v ə r s
murders	m ʏ r d ə r s
museumkaart	m y z eː ʏ m k aː r t
myne	m i n ə
mysteryland	m ɪ s t ə r i l ɑ n t
naamplaatjes	n aː m p l aː t j ə s
naamvallen	n aː m v ɑ l ə
nageltjes	n aː ɣ ə l t j ə s
narcisse	n ɑ r s ɪ s ə
narren	n ɑ r ə
natuurliefhebber	n aː t yː r l i f ɦ ɛ b ə r
neely	n eː l i
neten	n eː t ə
nevi	n eː v i
nicklas	n ɪ k l ɑ s
nieuwbouwwoning	n i u̯ b ɑ u̯ ʋ oː n ɪ ŋ
nouwen	n ɑ u̯ ə
noviomagus	n oː v i oː m aː ɣ ʏ s
odell	oː d ɛ l
offenbach	ɔ f ə b ɑ x
offering	ɔ f ə r ɪ ŋ
olmen	ɔ l m ə
oltmans	ɔ l t m ɑ n s
omme	ɔ m ə
omspringen	ɔ m s p r ɪ ŋ ə
omzetdaling	ɔ m z ɛ d aː l ɪ ŋ
onacceptabele	ɔ n ɑ k s ɛ p t aː b ə l ə
onbedwingbare	ɔ n b ə d ʋ ɪ ŋ b aː r ə
onbeschrijfelijke	ɔ n b ə s x r ɛ i̯ f ə l ə k ə
onderzoekscentra	ɔ n d ə r z u k s ɛ n t r aː
oneffenheden	ɔ n ɛ f ə n ɦ eː d ə
onge	ɔ ŋ ə
ongehoorzame	ɔ ŋ ɣ ə ɦ oː r z aː m ə
onsterfelijken	ɔ n s t ɛ r f ə l ə k ə
onsympathiek	ɔ n s ɪ m p aː t i k
onthoofdingen	ɔ n t ɦ oː f d ɪ ŋ ə
ontkoppel	ɔ n t k ɔ p ə l
ontmaskerde	ɔ n t m ɑ s k ə r d ə
oogartsen	oː x ɑ r t s ə
opat	oː p ɑ t
opgaves	ɔ p x aː v ə s
ophoud	ɔ p ɦ ɑ u̯ t
opmerkelijkste	ɔ p m ɛ r k ə l ə k s t ə
opricht	ɔ p r ɪ x t
optimaliseert	ɔ p t i m aː l i z eː r t
orientale	oː r i n t aː l ə
orinoco	oː r i n oː k oː
oudheidkamer	ɑ u̯ t ɦ ɛ i̯ t k aː m ə r
overgeleverde	oː v ə r ɣ ə l eː v ə r d ə
pagoda	p aː ɣ oː d aː
passievolle	p ɑ s i v ɔ l ə
pediatrie	p eː d i aː t r i
pella	p ɛ l aː
peumans	p øː m ɑ n s
phat	f ɑ t
pinter	p ɪ n t ə r
pioenrozen	p i u n r oː z ə
platenzaken	p l aː t ə n z aː k ə
platjes	p l ɑ t j ə s
pluimage	p l œ y̯ m aː ʒ ə
politieambtenaar	p oː l i s i ɑ m p t ə n aː r
polling	p ɔ l ɪ ŋ
pondjes	p ɔ n t j ə s
poppenspel	p ɔ p ə n s p ɛ l
popronde	p ɔ p r ɔ n d ə
poulain	p u l eː n
praktijkboek	p r ɑ k t ɛ i̯ k b u k
prefrontale	p r eː f r ɔ n t aː l ə
presser	p r ɛ s ə r
privécollecties	p r i v eː k ɔ l ɛ k s i s
promes	p r oː m ɛ s
putting	p ʏ t ɪ ŋ
pyama	p i aː m aː
quatro	k ʋ aː t r oː
quizmaster	k ʋ ɪ z m ɑ s t ə r
quoten	k ʋ oː t ə
raadpleegbaar	r aː t p l eː x b aː r
rapp	r ɑ p
rashad	r ɑ s ɦ ɑ t
recuperatie	r eː k y p ə r aː s i
regenbanden	r eː ɣ ə b ɑ n d ə
regrets	r eː ɣ r ɛ t s
reilen	r ɛ i̯ l ə
reiss	r ɛ i̯ s
rekte	r ɛ k t ə
rienstra	r i n s t r aː
rineke	r i n eː k ə
roetfilter	r u t f ɪ l t ə r
roodbeen	r oː t b eː n
rotting	r ɔ t ɪ ŋ
rurale	r y r aː l ə
rushmore	r ʏ ʃ m oː r ə
sacks	s ɑ k s
saeco	s eː k oː
salar	s aː l ɑ r
salih	s aː l i
sanremo	s ɑ n r eː m oː
satanisch	s aː t aː n i s
saz	s ɑ z
scat	s k ɑ t
schadelijkheid	s x aː d ə l ə k ɦ ɛ i̯ t
schiffer	s x ɪ f ə r
schooljongen	s x oː l j ɔ ŋ ə
schoonheidsproducten	s x oː n ɦ ɛ i̯ t s p r oː d ʏ k t ə
schotwond	s x ɔ t ʋ ɔ n t
schuiling	s x œ y̯ l ɪ ŋ
semesters	s ə m ɛ s t ə r s
sensualiteit	s ɛ n z y aː l i t ɛ i̯ t
shannen	ʃ ɑ n ə
shells	ʃ ɛ l s
sherrif	ʃ ɛ r ɪ f
siebel	s i b ə l
sink	s ɪ ŋ k
sinkel	s ɪ ŋ k ə l
skybox	s k i b ɔ k s
slavenhandelaren	s l aː v ə n ɦ ɑ n d ə l aː r ə
sleuteloverdracht	s l øː t ə l oː v ə r d r ɑ x t
slokt	s l ɔ k t
slotscène	s l ɔ t s ɛː n ə
sluiers	s l œ y̯ ə r s
smashing	s m ɑ ʃ ɪ ŋ
smeedt	s m eː t
smeerboel	s m eː r b u l
smiddags	s m ɪ d ɑ x s
sneeuwvrij	s n eː u̯ v r ɛ i̯
solingen	s oː l ɪ ŋ ə
specter	s p ɛ k t ə r
speedster	s p eː t s t ə r
speelplekken	s p eː l p l ɛ k ə
spekman	s p ɛ k m ɑ n
sportbonden	s p ɔ r t b ɔ n d ə
starkey	s t ɑ r k i
startplek	s t ɑ r t p l ɛ k
steendorp	s t eː n d ɔ r p
steengoede	s t eː n ɣ u d ə
stemmige	s t ɛ m ə ɣ ə
sterns	s t ɛ r n s
stewie	s t eː ʋ i
steyr	s t ɛ i̯ r
stinson	s t ɪ n s ɔ n
stippellijn	s t ɪ p ə l ɛ i̯ n
stockman	s t ɔ k m ɑ n
stolen	s t oː l ə
stormwind	s t ɔ r m ʋ ɪ n t
stowe	s t oː ʋ ə
stringer	s t r ɪ ŋ ə r
strukton	s t r ʏ k t ɔ n
supergezellig	s y p ə r ɣ ə z ɛ l ə x
supers	s y p ə r s
synchrone	s ɪ n x r oː n ə
sytze	s ɪ t s ə
taf	t ɑ f
tallulah	t ɑ l y l aː
teddyberen	t ɛ d i b eː r ə
teekeningen	t eː k ə n ɪ ŋ ə
tengels	t ɛ ŋ ə l s
tennisles	t ɛ n ɪ s l ɛ s
tensen	t ɛ n s ə
terplekke	t ɛ r p l ɛ k ə
terugleggen	t ə r ʏ x l ɛ ɣ ə
testvluchten	t ɛ s t f l ʏ x t ə
textiles	t ɛ k s t i l ɛ s
theaterprijs	t eː aː t ə r p r ɛ i̯ s
thermale	t ɛ r m aː l ə
thorax	t oː r ɑ k s
threesome	t r eː s oː m ə
tigris	t i ɣ r ɪ s
tijdnood	t ɛ i̯ t n oː t
tinta	t ɪ n t aː
tintelingen	t ɪ n t ə l ɪ ŋ ə
toller	t ɔ l ə r
topmerken	t ɔ p m ɛ r k ə
topproduct	t ɔ p r oː d ʏ k t
totti	t ɔ t i
tove	t oː v ə
toverspreuken	t oː v ə r s p r øː k ə
toxines	t ɔ k s i n ɛ s
traveling	t r aː v ə l ɪ ŋ
traviata	t r aː v i aː t aː
tremor	t r eː m ɔ r
treurende	t r øː r ə n d ə
twijfelend	t ʋ ɛ i̯ f ə l ə n t
uitgelichte	œ y̯ t x ə l ɪ x t ə
uitlaatsysteem	œ y̯ t l aː t s i s t eː m
uitmakend	œ y̯ t m aː k ə n t
uitnemen	œ y̯ t n eː m ə
uitschuifbare	œ y̯ t s x œ y̯ f b aː r ə
uitwisselingsprogramma	œ y̯ t ʋ ɪ s ə l ɪ ŋ s p r oː ɣ r ɑ m aː
ula	y l aː
usability	y z aː b i l i t i
usage	y z aː ʒ ə
useful	y z ə f ʏ l
valles	v ɑ l ə s
vcr	v eː s eː ɛ r
velthoven	v ɛ l t ɦ oː v ə
vereffend	v ə r ɛ f ə n t
verfilmingen	v ə r f ɪ l m ɪ ŋ ə
vergapen	v ə r ɣ aː p ə
vergokt	v ə r ɣ ɔ k t
verkeershinder	v ə r k eː r s ɦ ɪ n d ə r
verminkingen	v ə r m ɪ ŋ k ɪ ŋ ə
vermommingen	v ə r m ɔ m ɪ ŋ ə
verstraeten	v ə r s t r aː t ə
verzekeringswezen	v ə r z eː k ə r ɪ ŋ s ʋ eː z ə
villers	v ɪ l ə r s
vissenkom	v ɪ s ə k ɔ m
visuals	v i z y ɑ l s
vleierij	v l ɛ i̯ ə r ɛ i̯
vlp	v eː ɛ l p eː
voetballerij	v u t b ɑ l ə r ɛ i̯
voetbalsters	v u t b ɑ l s t ə r s
volgestopt	v ɔ l ɣ ə s t ɔ p t
volhardt	v ɔ l ɦ ɑ r t
vollen	v ɔ l ə
voorstadium	v oː r s t aː d i ʏ m
voortbewogen	v oː r t b ə ʋ oː ɣ ə
vreugdevol	v r øː x d ə v ɔ l
vriendlief	v r i n t l i f
vrijwilligerscentrale	v r ɛ i̯ ʋ ɪ l ə ɣ ə r s ɛ n t r aː l ə
vrolijks	v r oː l ə k s
vrouwenkoor	v r ɑ u̯ ə k oː r
wandelnetwerk	ʋ ɑ n d ə l n ɛ t ʋ ɛ r k
warenhuisketen	ʋ aː r ə n ɦ œ y̯ s k eː t ə
warlock	ʋ ɑ r l ɔ k
wendel	ʋ ɛ n d ə l
wereldbekerfinale	ʋ eː r ə l t b ə k ɛ r f i n aː l ə
wereldfaam	ʋ eː r ə l t f aː m
wereldtoneel	ʋ eː r ə l t oː n eː l
westbury	ʋ ɛ s t b yː r i
wetsartikelen	ʋ ɛ t s ɑ r t i k ə l ə
whiting	ʋ i t ɪ ŋ
wijnhandel	ʋ ɛ i̯ n ɦ ɑ n d ə l
windsurfer	ʋ ɪ n t s ʏ r f ə r
woningtoezicht	ʋ oː n ɪ ŋ t u z ɪ x t
worstelden	ʋ ɔ r s t ɛ l d ə
zaailingen	z aː i̯ l ɪ ŋ ə
zakenmannen	z aː k ə m ɑ n ə
zelfbedachte	z ɛ l f b ə d ɑ x t ə
zinspeelt	z ɪ n s p eː l t
zm	z ɛ m
zoekwerk	z u k ʋ ɛ r k
zomerzon	z oː m ə r z ɔ n
zorgbehoefte	z ɔ r x b ə ɦ u f t ə
zoé	z oː eː
zwaaiden	z ʋ aː i̯ d ə
aaliyah	aː l i j aː
aarhus	aː r ɦ ʏ s
aartje	aː r t j ə
abbie	ɑ b i
achtigen	ɑ x t ə ɣ ə
adapters	aː d ɑ p t ə r s
additional	ɑ d i ʃ oː n ɑ l
afgetuigd	ɑ f x ə t œ y̯ x t
afslagen	ɑ f s l aː ɣ ə
afsplitsingen	ɑ f s p l ɪ t s ɪ ŋ ə
afviel	ɑ f i l
agüero	aː ɣ y eː r oː
ahrend	aː r ə n t
alexanders	aː l ɛ k s ɑ n d ə r s
allach	ɑ l ɑ x
allroad	ɑ l r oː t
ambtenarenapparaat	ɑ m p t ə n aː r ə n ɑ p aː r aː t
amoureuze	aː m u r øː z ə
amphion	ɑ m f i ɔ n
anekdotisch	aː n ɛ k d oː t i s
anglia	ɑ ŋ l i aː
ansichten	ɑ n s ɪ x t ə
applicatiebeheer	ɑ p l i k aː s i b ə ɦ eː r
arabella	aː r aː b ɛ l aː
arash	aː r ɑ ʃ
arianne	aː r i ɑ n ə
arjuna	ɑ r j y n aː
armenian	ɑ r m eː n i ɑ n
arriba	ɑ r i b aː
atheense	aː t eː n s ə
autobedrijven	oː t oː b ə d r ɛ i̯ v ə
avion	aː v i ɔ n
awa	aː ʋ aː
ayurvedische	aː j ʏ r v eː d i s ə
babydoll	b eː b i d ɔ l
babyspullen	b eː b i s p ʏ l ə
bada	b aː d aː
baliemedewerker	b aː l i m eː d ə ʋ ɛ r k ə r
barabbas	b aː r ɑ b ɑ s
barrymore	b ɑ r i m oː r ə
basso	b ɑ s oː
batenanalyse	b aː t ə n aː n aː l iː z ə
bedrijfsinformatie	b ə d r ɛ i̯ f s ɪ n f ɔ r m aː s i
beeren	b eː r ə
behendige	b ə ɦ ɛ n d ə ɣ ə
belande	b ə l ɑ n d ə
belastingaanslag	b ə l ɑ s t ɪ ŋ aː n s l ɑ x
beleidsnota	b ə l ɛ i̯ t s n oː t aː
bellator	b ɛ l aː t ɔ r
bemachtigt	b ə m ɑ x t ə x t
benedenwoning	b ə n eː d ə n ʋ oː n ɪ ŋ
beoordelingsgesprek	b ə oː r d eː l ɪ ŋ s x ə s p r ɛ k
bergrede	b ɛ r x r eː d ə
bespioneert	b ə s p i oː n eː r t
betoond	b ə t oː n t
bezoldigd	b ə z ɔ l d ə x t
bijeengehouden	b ɛ i̯ eː n ɣ ə ɦ ɑ u̯ d ə
bijgetankt	b ɛ i̯ ɣ ə t ɑ ŋ k t
bijvoeglijke	b ɛ i̯ v u x l ə k ə
binnekort	b ɪ n ə k ɔ r t
binnengesmokkeld	b ɪ n ə n ɣ ə s m ɔ k ə l t
bioritme	b i oː r ɪ t m ə
bivakmutsen	b i v ɑ k m ʏ t s ə
blantyre	b l ɑ n t iː r ə
blenders	b l ɛ n d ə r s
bodewes	b oː d ə ʋ ɛ s
boekstart	b u k s t ɑ r t
boerma	b u r m aː
boheemse	b oː ɦ eː m s ə
bola	b oː l aː
bondt	b ɔ n t
bosse	b ɔ s ə
bosstraat	b ɔ s t r aː t
bost	b ɔ s t
bouwfonds	b ɑ u̯ f ɔ n t s
bovenstuk	b oː v ə n s t ʏ k
brac	b r ɑ k
brc	b eː ɛ r s eː
brugklassen	b r ʏ x k l ɑ s ə
buffa	b ʏ f aː
bultruggen	b ʏ l t r ʏ ɣ ə
bunk	b ʏ ŋ k
burgerbeweging	b ʏ r ɣ ə r b ə ʋ eː ɣ ɪ ŋ
cadier	k aː d iː r
cadiz	k aː d ɪ s
cambodjanen	k ɑ m b ɔ t j aː n ə
carri	k ɑ r i
catshuis	k ɑ t s ɦ œ y̯ s
ccb	s eː s eː b eː
celebrate	s eː l ə b r aː t ə
clima	k l i m aː
cone	k oː n ə
contemplatie	k ɔ n t ɛ m p l aː s i
contracts	k ɔ n t r ɑ k t s
coppa	k ɔ p aː
coronado	k oː r oː n aː d oː
correcter	k ɔ r ɛ k t ə r
coördinerende	k oː ɔ r d i n eː r ə n d ə
crispin	k r ɪ s p ɪ n
crows	k r ɑ u̯ s
cub	k ʏ p
dagaanbieding	d aː ɣ aː n b i d ɪ ŋ
dagpauwoog	d ɑ x p ɑ u̯ oː x
dagtrip	d ɑ x t r ɪ p
deelstra	d eː l s t r aː
defiance	d eː f i ɑ n s ə
dekamarkt	d eː k aː m ɑ r k t
dickson	d ɪ k s ɔ n
dierenweide	d iː r ə n ʋ ɛ i̯ d ə
divided	d i v i d ɛ t
docos	d oː k ɔ s
doktersassistent	d ɔ k t ə r s ɑ s ɪ s t ɛ n t
donors	d oː n ɔ r s
doodskisten	d oː t s k ɪ s t ə
doorgehaald	d oː r ɣ ə ɦ aː l t
doña	d oː n j aː
draagmoederschap	d r aː x m u d ə r s x ɑ p
drieen	d r i eː n
driemaandelijks	d r i m aː n d ə l ə k s
driestar	d r i s t ɑ r
dro	d r oː
dronkers	d r ɔ ŋ k ə r s
druktechniek	d r ʏ k t ɛ x n i k
duyn	d œ y̯ n
ebolavirus	eː b oː l aː v iː r ʏ s
echtelieden	ɛ x t ə l i d ə
eembrugge	eː m b r ʏ ɣ ə
eere	eː r ə
eisenberg	ɛ i̯ s ə b ɛ r x
elina	eː l i n aː
emm	ɛ m
energietechniek	eː n ə r ɣ i t ɛ x n i k
enhanced	ɛ n ɦ ɑ n s t
entreeprijs	ɛ n t r eː p r ɛ i̯ s
ergonomische	ɛ r ɣ oː n oː m i s ə
erskine	ɛ r s k i n ə
faes	f aː s
famiglia	f aː m i ɣ l i aː
fara	f aː r aː
farmington	f ɑ r m ɪ ŋ t ɔ n
fdr	ɛ f d eː ɛ r
federaties	f eː d ə r aː s i s
fester	f ɛ s t ə r
fett	f ɛ t
fide	f i d ə
filatelie	f i l aː t eː l i
flicka	f l ɪ k aː
flixbus	f l ɪ k s b ʏ s
floret	f l oː r ɛ t
fonkel	f ɔ ŋ k ə l
francais	f r ɑ ŋ k ɛː
frenzy	f r ɛ n z i
fulda	f ʏ l d aː
funke	f ʏ ŋ k ə
gaba	ɣ aː b aː
gedrapeerd	ɣ ə d r aː p eː r t
geheugenkaarten	ɣ ə ɦ øː ɣ ə k aː r t ə
gehoorzaamde	ɣ ə ɦ oː r z aː m d ə
gekalmeerd	ɣ ə k ɑ l m eː r t
gekapte	ɣ ə k ɑ p t ə
gemarineerde	ɣ ə m aː r i n eː r d ə
gendarme	ɣ ɛ n d ɑ r m ə
genova	ɣ ə n oː v aː
geput	ɣ ə p ʏ t
gesproeid	ɣ ə s p r u i̯ t
gestichte	ɣ ə s t ɪ x t ə
gestild	ɣ ə s t ɪ l t
geurend	ɣ øː r ə n t
gevalideerde	ɣ ə v aː l i d eː r d ə
gezondheidsbeleid	ɣ ə z ɔ n t ɦ ɛ i̯ t s b ə l ɛ i̯ t
geüniformeerde	ɣ ə y n i f ɔ r m eː r d ə
glasheldere	ɣ l ɑ s ɦ ɛ l d ə r ə
glorietijd	ɣ l oː r i t ɛ i̯ t
glunderen	ɣ l ʏ n d ə r ə
gow	ɣ oː
grensgebieden	ɣ r ɛ n s x ə b i d ə
grieperig	ɣ r i p ə r ə x
grimsby	ɣ r ɪ m s b i
groenere	ɣ r u n eː r ə
groeninge	ɣ r u n ɪ ŋ ə
grondlaag	ɣ r ɔ n t l aː x
grootbanken	ɣ r oː t b ɑ ŋ k ə
groothuizen	ɣ r oː t ɦ œ y̯ z ə
grootmeesters	ɣ r oː t m eː s t ə r s
grunts	ɣ r ʏ n t s
hangop	ɦ ɑ ŋ ɔ p
hanley	ɦ ɑ n l ɛ i̯
hanse	ɦ ɑ n s ə
hardwick	ɦ ɑ r t ʋ ɪ k
hasbro	ɦ ɑ s b r oː
hast	ɦ ɑ s t
hdl	ɦ aː d eː ɛ l
heerma	ɦ eː r m aː
henoch	ɦ eː n ɔ x
herlings	ɦ ɛ r l ɪ ŋ s
hesh	ɦ ɛ ʃ
hessels	ɦ ɛ s ə l s
heuglijke	ɦ øː x l ə k ə
hevigste	ɦ eː v ə x s t ə
hofkens	ɦ ɔ f k ə n s
hoofdbrekens	ɦ oː f t b r eː k ə n s
hoopen	ɦ oː p ə
hotties	ɦ ɔ t i s
housekeeping	ɦ ɑ u̯ s ə k eː p ɪ ŋ
huizenkopers	ɦ œ y̯ z ə k oː p ə r s
huldigt	ɦ ʏ l d ə x t
humeurig	ɦ y m øː r ə x
huston	ɦ ʏ s t ɔ n
huurmarkt	ɦ yː r m ɑ r k t
hyman	ɦ i m ɑ n
ijskristallen	ɛ i̯ s k r ɪ s t ɑ l ə
ijspaleis	ɛ i̯ s p aː l ɛ i̯ s
ijzerwaren	ɛ i̯ z ə r ʋ aː r ə
illuminatie	i l y m i n aː s i
importeer	ɪ m p ɔ r t eː r
importheffingen	ɪ m p ɔ r t ɦ ɛ f ɪ ŋ ə
inden	ɪ n d ə
indians	ɪ n d i ɑ n s
infantiele	ɪ n f ɑ n s i l ə
infectiepreventie	ɪ n f ɛ k s i p r eː v ɛ n s i
ingewonnen	ɪ n ɣ ə ʋ ɔ n ə
inkoopprijs	ɪ n k oː p r ɛ i̯ s
installatiebranche	ɪ n s t ɑ l aː s i b r ɑ n ʃ ə
instromers	ɪ n s t r oː m ə r s
instructievideo	ɪ n s t r ʏ k s i v i d eː oː
intiemer	ɪ n t i m ə r
inventarissen	ɪ n v ɛ n t aː r ɪ s ə
jaarkaart	j aː r k aː r t
jambo	j ɑ m b oː
janusz	j aː n ʏ s
jeddah	j ɛ d aː
jetset	j ɛ t s ɛ t
jeugdlid	j øː x t l ɪ t
jeugdtrainers	j øː x t r eː n ə r s
joséphine	j oː z eː f i n ə
jumps	j ʏ m p s
jörgensen	j œ r ɣ ə n s ə
kah	k aː
kaler	k aː l ə r
kampement	k ɑ m p ə m ɛ n t
kanter	k ɑ n t ə r
kereltjes	k eː r ə l t j ə s
kerkleden	k ɛ r k l eː d ə
keukenzout	k øː k ə n z ɑ u̯ t
keuzegids	k øː z ə ɣ ɪ t s
keuzemogelijkheden	k øː z ə m oː ɣ ə l ə k ɦ eː d ə
kidsclub	k ɪ t s k l ʏ p
kinderalimentatie	k ɪ n d ə r aː l i m ɛ n t aː s i
kippers	k ɪ p ə r s
kiwa	k i ʋ aː
klantenbinding	k l ɑ n t ə b ɪ n d ɪ ŋ
kloeke	k l u k ə
koens	k u n s
koffiebranderij	k ɔ f i b r ɑ n d ə r ɛ i̯
kokkie	k ɔ k i
kongolo	k ɔ ŋ ɣ oː l oː
kraamkliniek	k r aː m k l i n i k
krachtpatsers	k r ɑ x t p ɑ t s ə r s
krast	k r ɑ s t
kristalhelder	k r ɪ s t ɑ l ɦ ɛ l d ə r
krotten	k r ɔ t ə
kuststreek	k ʏ s t s t r eː k
landschapsfotografie	l ɑ n t s x ɑ p s f oː t oː ɣ r aː f i
larenstein	l aː r ə n s t ɛ i̯ n
leerroute	l eː r u t ə
lengten	l ɛ ŋ t ə
liefdesliedjes	l i f d ə s l i t j ə s
lievelingseten	l i v ə l ɪ ŋ s eː t ə
ligamenten	l i ɣ aː m ɛ n t ə
liguster	l i ɣ ʏ s t ə r
lisserbroek	l ɪ s ə r b r u k
lobbywerk	l ɔ b i ʋ ɛ r k
longue	l ɔ ŋ ə
loskomt	l ɔ s k ɔ m t
loterijen	l oː t ə r ɛ i̯ ə
luchttransport	l ʏ x t r ɑ n s p ɔ r t
luyckx	l œ y̯ k s
lübeck	l y b ɛ k
madrigalen	m aː d r i ɣ aː l ə
makassar	m aː k ɑ s ɑ r
malayalam	m aː l aː j aː l ɑ m
mancha	m ɑ n ʃ aː
mandel	m ɑ n d ə l
mannix	m ɑ n ɪ k s
markiezen	m ɑ r k i z ə
marquee	m ɑ r k eː
mateusz	m aː t øː s
mayne	m eː n ə
mcfarland	m ə k f ɑ r l ɑ n t
mcmillan	m ə k m ɪ l ɑ n
mec	m ɛ k
meegezogen	m eː ɣ ə z oː ɣ ə
meepakken	m eː p ɑ k ə
meerendeel	m eː r ə d eː l
megane	m eː ɣ aː n ə
megumi	m eː ɣ y m i
melting	m ɛ l t ɪ ŋ
mensenhanden	m ɛ n s ə n ɦ ɑ n d ə
merovingische	m eː r oː v ɪ ŋ i s ə
methodologische	m eː t oː d oː l oː ɣ i s ə
mickie	m ɪ k i
miyazaki	m i j aː z aː k i
mobieler	m oː b i l ə r
moerman	m u r m ɑ n
mondain	m ɔ n d eː n
mondde	m ɔ n d ə
montessorischool	m ɔ n t ɛ s oː r i s x oː l
morato	m oː r aː t oː
mord	m ɔ r t
mormoonse	m ɔ r m oː n s ə
motorclubs	m oː t ɔ r k l ʏ p s
mulholland	m ʏ l ɦ ɔ l ɑ n t
mullins	m ʏ l ɪ n s
muziekcafé	m y z i k aː f eː
muziekkorps	m y z i k ɔ r p s
nagerechten	n aː ɣ ə r ɛ x t ə
nagetrokken	n aː ɣ ə t r ɔ k ə
neergelaten	n eː r ɣ ə l aː t ə
neertellen	n eː r t ɛ l ə
netbeheer	n ɛ t b ə ɦ eː r
nietigheid	n i t ə x ɦ ɛ i̯ t
nji	ɛ n j i
nobelprijswinnaars	n oː b ə l p r ɛ i̯ s ʋ ɪ n aː r s
notebooks	n oː t ə b oː k s
nout	n ɑ u̯ t
nusa	n y z aː
often	ɔ f t ə
ogilvy	oː ɣ ɪ l v i
ojo	oː j oː
okan	oː k ɑ n
omhooggevallen	ɔ m ɦ oː x ə v ɑ l ə
omnisport	ɔ m n ɪ s p ɔ r t
ondekt	ɔ n d ɛ k t
onderwijsorganisatie	ɔ n d ə r ʋ ɛ i̯ s ɔ r ɣ aː n i z aː s i
onderzetters	ɔ n d ə r z ɛ t ə r s
onfrisse	ɔ n f r ɪ s ə
onnoemelijk	ɔ n u m ə l ə k
ontdekkingsreizen	ɔ n t d ɛ k ɪ ŋ s r ɛ i̯ z ə
ontfermde	ɔ n t f ɛ r m d ə
ontheemde	ɔ n t ɦ eː m d ə
onthoofdt	ɔ n t ɦ oː f t
ontstopper	ɔ n t s t ɔ p ə r
ontwikkelingsfase	ɔ n t ʋ ɪ k ə l ɪ ŋ s f aː z ə
onverlet	ɔ n v ə r l ɛ t
oostenwind	oː s t ə n ʋ ɪ n t
opkamer	ɔ p k aː m ə r
oppositieleden	ɔ p oː z i s i l eː d ə
opspelen	ɔ p s p eː l ə
orcs	ɔ r k s
organisatietalent	ɔ r ɣ aː n i z aː s i t aː l ɛ n t
outbound	ɑ u̯ t b ɑ u̯ n t
overtuigden	oː v ə r t œ y̯ x d ə
paaz	p aː z
paladin	p aː l aː d ɪ n
pann	p ɑ n
panoramische	p aː n oː r aː m i s ə
pantserwagens	p ɑ n t s ə r ʋ aː ɣ ə n s
parkeerhulp	p ɑ r k eː r ɦ ʏ l p
partijbureau	p ɑ r t ɛ i̯ b y r oː
patatten	p aː t ɑ t ə
peretti	p ə r ɛ t i
perquin	p ɛ r k ʋ ɪ n
perso	p ɛ r s oː
personnel	p ɛ r s ɔ n ə l
pettersson	p ɛ t ə r s ɔ n
picardie	p i k ɑ r d i
picker	p ɪ k ə r
pickett	p ɪ k ɛ t
pijnpunten	p ɛ i̯ n p ʏ n t ə
pinch	p ɪ n ʃ
pinedo	p i n eː d oː
pinkie	p ɪ ŋ k i
pintjes	p ɪ n t j ə s
planckendael	p l ɑ ŋ k ə d aː l
poc	p ɔ k
polina	p oː l i n aː
politierechtbank	p oː l i s i r ɛ x t b ɑ ŋ k
pollution	p ɔ l y ʃ ɔ n
pommes	p ɔ m ə s
pootafdrukken	p oː t ɑ f d r ʏ k ə
popquiz	p ɔ p k ʋ ɪ s
poznan	p ɔ z n ɑ n
practical	p r ɑ k t i k ɑ l
precaire	p r eː k ɛː r ə
productiemedewerkers	p r oː d ʏ k s i m eː d ə ʋ ɛ r k ə r s
profileerde	p r oː f i l eː r d ə
projectmedewerker	p r oː j ɛ k t m eː d ə ʋ ɛ r k ə r
promoter	p r oː m oː t ə r
pulau	p y l oː
quarks	k ʋ ɑ r k s
quickly	k ʋ ɪ k l i
rading	r aː d ɪ ŋ
rantsoenen	r ɑ n t s u n ə
rasse	r ɑ s ə
rdc	ɛ r d eː s eː
rechtelijke	r ɛ x t ə l ə k ə
rechtsopvolger	r ɛ x t s ɔ p f ɔ l ɣ ə r
rechtsvorm	r ɛ x t s f ɔ r m
reciteren	r eː s i t eː r ə
reclamespotjes	r eː k l aː m ə s p ɔ t j ə s
rectoren	r ɛ k t oː r ə
regelaars	r eː ɣ ə l aː r s
registeren	r eː ɣ ɪ s t ə r ə
reglementair	r eː ɣ l ə m ɛ n t ɛː r
reinoud	r ɛ i̯ n ɑ u̯ t
rekenrente	r eː k ə n r ɛ n t ə
repository	r eː p oː z i t oː r i
resulteerden	r eː z ʏ l t eː r d ə
revolt	r eː v ɔ l t
rhett	r ɛ t
rijkswegen	r ɛ i̯ k s ʋ eː ɣ ə
rijnsburgse	r ɛ i̯ n s b ʏ r x s ə
risicobeheer	r i z i k oː b ə ɦ eː r
rivierduinen	r i v iː r d œ y̯ n ə
roch	r ɔ x
rolstoelvriendelijk	r ɔ l s t u l v r i n d ə l ə k
romances	r oː m ɑ n s ɛ s
rooskleurige	r oː s k l øː r ə ɣ ə
roto	r oː t oː
rumoerig	r y m u r ə x
saka	s aː k aː
salta	s ɑ l t aː
