að	aː ð
dúfur	t uː v ʏ r
efnistök	ɛ p n ɪ s t œː k
einkageiranum	e i ŋ k a c e iː r a n ʏ m
eintölu	e i n tʰ œː l ʏ
ekrur	ɛː k r ʏ r
eldgosa	ɛ l t k ɔː s a
embættisprófi	ɛ m p a i h t ɪ s p r o uː v ɪ
engilbert	e i ɲ c ɪ l p ɛ r̥ t
ennið	ɛ nː ɪ ð
environmental	ɛ n v ɪː r ɔ n m ɛ n̥ t aː l
eplum	ɛ h p l ʏ m
erfðagreiningar	ɛ r v ð a k r e iː n i ŋ k a r
eyfirðinga	e iː v ɪ r ð i ŋ k a
eyjólfi	e iː j o u l v ɪ
eyrað	e iː r a ð
eyðast	e iː ð a s t
farga	f a r k a
farsælt	f a r̥ s a i l̥ t
fasisma	f aː s ɪ s m a
fegurri	f ɛː ɣ ʏ rː ɪ
feldman	f ɛ l t m aː n
ferðalaga	f ɛ r ð a l aː ɣ a
ferðalangar	f ɛ r ð a l a u ŋ k a r
fingurna	f i ŋ k ʏ r t n a
fiskistofna	f ɪ s c ɪ s t ɔ p n a
fjármálaráðuneytisins	f j a u r m a uː l a r a uː ð ʏ n e iː t ɪ s ɪ n s
fjármálaþjónustu	f j a u r m a uː l a θ j o uː n ʏ s t ʏ
fjölmennt	f j œ l m ɛ n̥ t
flakki	f l a h c ɪ
flettir	f l ɛ h t ɪ r
flóttamannabúðum	f l o u h t a m a nː a p uː ð ʏ m
forstöðumenn	f ɔ r̥ s t œː ð ʏ m ɛ nː
forsætis	f ɔ r̥ s a iː t ɪ s
framfærslu	f r a m f a i r̥ s t l ʏ
framkvæmdaraðili	f r a m kʰ v a i m t a r aː ð ɪ l ɪ
framkvæmdinni	f r a m kʰ v a i m t ɪ nː ɪ
frelsarans	f r ɛ l s a r a n s
frumleg	f r ʏ m l ɛː ɣ
fuglunum	f ʏ k l ʏ n ʏ m
fullgilda	f ʏ t l c ɪ l t a
fullkominni	f ʏ t l̥ kʰ ɔː m ɪ nː ɪ
fyrirskipun	f ɪː r ɪ r s c ɪː p ʏ n
fyrirvörum	f ɪː r ɪ r v œː r ʏ m
fæðingarorlofi	f a iː ð i ŋ k a r ɔ r l ɔː v ɪ
félagsfælni	f j ɛː l a x s f a i t n ɪ
félagsstarfi	f j ɛː l a x s s t a r v ɪ
fí	f iː
fórnarlömbin	f o u r t n a r l œ m p ɪ n
føroysk	f œː r ɔ i s k
gagns	k a k n s
gagnsæi	k a k n s a iː j ɪ
gail	k a iː l
gamanmynd	k aː m a n m ɪ n t
geislameðferð	c e i s t l a m ɛ ð f ɛ r ð
gellir	c ɛ t l ɪ r
georgs	c ɛː ɔ r k s
geysis	c e iː s ɪ s
geðlyf	c ɛ ð l ɪː v
gilið	c ɪː l ɪ ð
gimsteinum	c ɪ m s t e iː n ʏ m
glötuð	k l œː t ʏ ð
grafarholti	k r aː v a r h ɔ l̥ t ɪ
greið	k r e iː ð
greiðan	k r e iː ð a n
gráan	k r a uː a n
grænlendingar	k r a i n l ɛ n t i ŋ k a r
grímsvötn	k r i m s v œ h t n
gríðarstór	k r iː ð a r s t o uː r
grófari	k r o uː v a r ɪ
gunnlaugssyni	k ʏ nː l ø y x s s ɪː n ɪ
guðbjargar	k v ʏ ð p j a r k a r
guðsþjónustu	k v ʏ ð s θ j o uː n ʏ s t ʏ
guðsþjónustur	k v ʏ ð s θ j o uː n ʏ s t ʏ r
gys	c ɪː s
gæsku	c a i s k ʏ
hallærislegt	h a t l a iː r ɪ s t l ɛ x t
hefðar	h ɛ v ð a r
heilbrigðismál	h e i l p r ɪ ɣ ð ɪ s m a uː l
heildarinnar	h e i l t a r ɪ nː a r
heildstætt	h e i l t s t a i h t
heimaleik	h e iː m a l e iː k
heimaleiki	h e iː m a l e iː c ɪ
heimsendi	h e i m s ɛ n t ɪ
hernaðar	h ɛ r t n aː ð a r
hetti	h ɛ h t ɪ
hjaltadóttir	ç a l̥ t a t o u h t ɪ r
hjálma	ç a u l m a
hjónabandinu	ç o uː n a p a n t ɪː n ʏ
hlemmi	l̥ ɛ mː ɪ
hlutafélagi	l̥ ʏː t a f j ɛː l aː j ɪ
hlýnunar	l̥ iː n ʏ n a r
hogarth	h ɔː ɣ a r̥ t
hraunsins	r̥ ø y n s ɪ n s
hreinna	r̥ e i t n a
hreins	r̥ e i n s
hudgens	h ʏ t c ɛ n s
hugleikin	h ʏ ɣ l e iː c ɪ n
hugræna	h ʏ ɣ r a iː n a
hugrún	h ʏ ɣ r uː n
hvolp	kʰ v ɔ l̥ p
hvorir	kʰ v ɔː r ɪ r
hvíldartíma	xʷ i l t a r tʰ iː m a
hybrid	h ɪː p r ɪ t
hyggur	h ɪ kː ʏ r
háskólaráðs	h a uː s k o uː l a r a u ð s
hátækni	h a uː tʰ a i h k n ɪ
hæfilega	h a iː v ɪ l ɛː ɣ a
hækkaðir	h a i h k a ð ɪ r
höfundinum	h œː v ʏ n t ɪ n ʏ m
húsakynnum	h uː s a cʰ ɪ nː ʏ m
húsgögnin	h uː s k œ k n ɪ n
indian	ɪ n t ɪ aː n
ingileif	i ɲ c ɪ l e iː v
ingunni	i ŋ k ʏ nː ɪ
ingólf	i ŋ k o u l v
innheimt	ɪ nː h e i m̥ t
innkomu	ɪ n kʰ ɔː m ʏ
innlifun	ɪ nː l ɪː v ʏ n
isla	ɪ s t l a
iðu	ɪː ð ʏ
jafnri	j a p n r ɪ
japönskum	j aː pʰ œ n s k ʏ m
jes	j ɛː s
kafbáta	kʰ a v p a uː t a
kaffihúsum	kʰ a fː ɪ h uː s ʏ m
karlalið	kʰ a r t l a l ɪː ð
kato	kʰ aː t ɔ
katrina	kʰ aː t r ɪː n a
kaíró	kʰ a iː r o uː
kirby	cʰ ɪ r p ɪ
kjósi	cʰ o uː s ɪ
klassískar	kʰ l a sː i s k a r
kleinur	kʰ l e iː n ʏ r
klæðnaði	kʰ l a i ð n aː ð ɪ
klósettinu	kʰ l o uː s ɛ h t ɪ n ʏ
klúbbar	kʰ l u pː a r
komur	kʰ ɔː m ʏ r
konráðsdóttir	kʰ ɔ n r a u ð s t o u h t ɪ r
konsert	kʰ ɔ n s ɛ r̥ t
konungsríkið	kʰ ɔː n u ŋ k s r iː c ɪ ð
krónuna	kʰ r o uː n ʏ n a
kunnar	kʰ ʏ nː a r
kveðin	kʰ v ɛː ð ɪ n
kvikmyndamiðstöð	kʰ v ɪː k m ɪ n t a m ɪ ð s t œː ð
kvikmyndar	kʰ v ɪː k m ɪ n t a r
kvæðum	kʰ v a iː ð ʏ m
kylfingur	cʰ ɪ l v i ŋ k ʏ r
kyrru	cʰ ɪ rː ʏ
kápunni	kʰ a uː pʰ ʏ nː ɪ
kælir	cʰ a iː l ɪ r
kælt	cʰ a i l̥ t
kærð	cʰ a i r ð
kærðu	cʰ a i r ð ʏ
könnuð	kʰ œ nː ʏ ð
lagasetning	l aː ɣ a s ɛ h t n i ŋ k
lamba	l a m p a
landeigandi	l a n t e iː ɣ a n t ɪ
landnámsöld	l a n t n a u m s œ l t
lau	l ø yː
laufum	l ø yː v ʏ m
laðast	l aː ð a s t
leikhópnum	l e iː k h o u h p n ʏ m
leiknis	l e i h k n ɪ s
leiðarenda	l e iː ð a r ɛ n t a
leland	l ɛː l a n t
lestarstöðinni	l ɛ s t a r s t œː ð ɪ nː ɪ
lifrin	l ɪ v r ɪː n
liljur	l ɪ l j ʏ r
listrænum	l ɪ s t r a iː n ʏ m
ljúfan	l j uː v a n
loftsins	l ɔ f t s ɪ n s
lokapróf	l ɔː k a pʰ r o uː v
losaði	l ɔː s aː ð ɪ
lyftum	l ɪ f t ʏ m
lánsfé	l a u n s f j ɛː
lánveitandi	l a u n v e iː t a n t ɪ
látast	l a uː tʰ a s t
læknað	l a i h k n a ð
lærdóm	l a i r t o uː m
lífsgæðum	l i v s c a iː ð ʏ m
líkneski	l iː k n ɛ s c ɪ
manga	m a u ŋ k a
mangó	m a u ŋ k o uː
mannverur	m a nː v ɛː r ʏ r
matarins	m aː t a r ɪ n s
matvöru	m aː t v œː r ʏ
meginefni	m e iː j ɪ n ɛ p n ɪ
meistaranámi	m e i s t a r a n a uː m ɪ
meisturum	m e i s t ʏ r ʏ m
menningarlíf	m ɛ nː i ŋ k a r l iː v
menntamálaráðuneytis	m ɛ n̥ t a m a uː l a r a uː ð ʏ n e iː t ɪ s
meðferðis	m ɛ ð f ɛ r ð ɪ s
meðmæli	m ɛ ð m a iː l ɪ
millum	m ɪ t l ʏ m
miðvikudögum	m ɪ ð v ɪː k ʏ t œː ɣ ʏ m
mogensen	m ɔː c ɛ n s ɛ n
moira	m ɔ iː r a
morning	m ɔ r t n i ŋ k
musterinu	m ʏ s t ɛː r ɪː n ʏ
myndunar	m ɪ n t ʏ n a r
myrkurs	m ɪ r̥ k ʏ r̥ s
málefnið	m a uː l ɛ p n ɪ ð
mígreni	m iː k r ɛː n ɪ
mótandi	m o uː tʰ a n t ɪ
músum	m uː s ʏ m
nagar	n aː ɣ a r
nauðganir	n ø y ð k aː n ɪ r
neon	n ɛː ɔ n
námskeiði	n a u m s c e iː ð ɪ
nægjanleg	n a iː j a n l ɛː ɣ
næringar	n a iː r i ŋ k a r
nóttum	n o u h t ʏ m
nöp	n œː p
nýbura	n iː p ʏː r a
nýliðun	n iː l ɪː ð ʏ n
nýrnabilun	n i r t n a p ɪː l ʏ n
opnari	ɔ h p n a r ɪ
orlofs	ɔ r l ɔ f s
orra	ɔ rː a
orðfæri	ɔ r ð f a iː r ɪ
persónulegur	pʰ ɛ r̥ s o uː n ʏ l ɛː ɣ ʏ r
prentsmiðju	pʰ r ɛ n̥ t s m ɪ ð j ʏ
pólitískrar	pʰ o uː l ɪ tʰ i s k r aː r
póstþjónustu	pʰ o u s t θ j o uː n ʏ s t ʏ
rafverktaka	r a v v ɛ r̥ k tʰ aː k a
rakastig	r aː k a s t ɪː ɣ
rammar	r a mː a r
rangárþings	r a u ŋ k a u r θ i ŋ k s
raunveruleiki	r ø y n v ɛː r ʏ l e iː c ɪ
raðar	r aː ð a r
reiner	r e iː n ɛ r
reiss	r e i sː
reru	r ɛː r ʏ
reykhólahrepps	r e iː k h o uː l a r̥ ɛ h p s
rift	r ɪ f t
réttláta	r j ɛ h t l a uː t a
ríkissjóð	r iː c ɪ s s j o uː ð
róbertsdóttir	r o uː p ɛ r̥ t s t o u h t ɪ r
rýrnun	r i r t n ʏ n
saddams	s a tː a m s
sakborningur	s aː k p ɔ r t n i ŋ k ʏ r
saklausum	s aː k l ø yː s ʏ m
sambandsríkisins	s a m p a n t s r iː c ɪ s ɪ n s
samdir	s a m t ɪ r
samhæft	s a m h a i f t
samkvæmi	s a m kʰ v a iː m ɪ
samkynhneigður	s a m cʰ ɪ n n̥ e i ɣ ð ʏ r
samræmingu	s a m r a iː m i ŋ k ʏ
samþætting	s a m θ a i h t i ŋ k
saunders	s ø y n t ɛ r̥ s
scotty	s k ɔ h t ɪ
seðlum	s ɛ ð l ʏ m
siðan	s ɪː ð a n
siðferðislega	s ɪ ð f ɛ r ð ɪ s l ɛː ɣ a
sjer	s j ɛː r
sjálfboðaliði	s j a u l v p ɔː ð a l ɪː ð ɪ
sjávarfangi	s j a uː v a r f a u ɲ c ɪ
skepnurnar	s c ɛ h p n ʏ r t n a r
skeytt	s c e i h t
skiltum	s c ɪ l̥ t ʏ m
skilvirkari	s c ɪ l v ɪ r̥ k a r ɪ
skjölunum	s c œː l ʏ n ʏ m
skriflegar	s k r ɪ v l ɛː ɣ a r
skráðum	s k r a uː ð ʏ m
skrúfur	s k r uː v ʏ r
skuldbinda	s k ʏ l t p ɪ n t a
skynjunar	s c ɪ n j ʏ n a r
skáru	s k a uː r ʏ
skólastjórar	s k o uː l a s t j o uː r a r
skúlptúra	s k u l̥ p tʰ uː r a
skýringa	s c iː r i ŋ k a
slökkviliðsmenn	s t l œ h k v ɪː l ɪ ð s m ɛ nː
smokka	s m ɔ h k a
sogast	s ɔː ɣ a s t
sopa	s ɔː p a
sparisjóðs	s p aː r ɪ s j o u ð s
spilltur	s p ɪ l̥ t ʏ r
stakt	s t a x t
stangir	s t a u ɲ c ɪ r
starfsframa	s t a r v s f r aː m a
starfsráðgjöf	s t a r v s r a u ð c œː v
starfsári	s t a r v s a uː r ɪ
stattu	s t a h t ʏ
steiktum	s t e i x t ʏ m
steinarnir	s t e iː n a r t n ɪ r
sterkra	s t ɛ r̥ k r a
steðja	s t ɛ ð j a
stjórnlagaráð	s t j o u r t n l aː ɣ a r a uː ð
straums	s t r ø y m s
streymi	s t r e iː m ɪ
streymt	s t r e i m̥ t
stuðlaberg	s t ʏ ð l a p ɛ r k
styrkingu	s t ɪ r̥ c i ŋ k ʏ
stígar	s t iː ɣ a r
stöðvaður	s t œ ð v aː ð ʏ r
summers	s ʏ mː ɛ r̥ s
sveiflu	s v e i p l ʏ
sveinbjörnsdóttir	s v e i n p j œ r t n s t o u h t ɪ r
svikara	s v ɪː k a r a
svipan	s v ɪː p a n
svöl	s v œː l
syrpu	s ɪ r̥ p ʏ
syðsta	s ɪ ð s t a
sáttmálar	s a u h t m a uː l a r
sígilda	s iː j ɪ l t a
síðri	s i ð r ɪ
síðumúla	s iː ð ʏ m uː l a
síðust	s iː ð ʏ s t
sóknarmaður	s o u h k n a r m aː ð ʏ r
sólveigar	s o u l v e iː ɣ a r
söguhetjan	s œː ɣ ʏ h ɛː t j a n
sögulok	s œː ɣ ʏ l ɔː k
söngnum	s ø y ŋ k n ʏ m
sýkla	s i h k l a
sýnast	s iː n a s t
sýslumannsins	s i s t l ʏ m a nː s ɪ n s
thorn	tʰ ɔ r t ⁽ʰ ⁾ n
tilbeiðslu	tʰ ɪ l p e i ð s t l ʏ
tilboðið	tʰ ɪ l p ɔː ð ɪ ð
tilbúningur	tʰ ɪ l p uː n i ŋ k ʏ r
tilnefning	tʰ ɪ l n ɛ p n i ŋ k
tindastóls	tʰ ɪ n t a s t o u l s
tjónið	tʰ j o uː n ɪ ð
tjóns	tʰ j o u n s
togurum	tʰ ɔː ɣ ʏ r ʏ m
traustadóttir	tʰ r ø y s t a t o u h t ɪ r
traustari	tʰ r ø y s t a r ɪ
trudy	tʰ r ʏː t ɪ
trölli	tʰ r œ t l ɪ
tæri	tʰ a iː r ɪ
tætlur	tʰ a i h t l ʏ r
tímasetningu	tʰ iː m a s ɛ h t n i ŋ k ʏ
tómarúmi	tʰ o uː m a r uː m ɪ
tómata	tʰ o uː m aː t a
tönnunum	tʰ œ nː ʏ n ʏ m
túlkar	tʰ u l̥ k a r
ufsa	ʏ f s a
umbreytir	ʏ m p r e iː t ɪ r
undanþegnir	ʏ n t a n θ ɛ k n ɪ r
undirstöðum	ʏ n t ɪ r s t œː ð ʏ m
ungmennum	u ŋ k m ɛ nː ʏ m
uv	ʏː v
vafasöm	v aː v a s œː m
vandamálinu	v a n t a m a uː l ɪː n ʏ
varðveittur	v a r ð v e i h t ʏ r
vað	v aː ð
vefmyndavél	v ɛ v m ɪ n t a v j ɛː l
veggfóður	v ɛ kː f o uː ð ʏ r
vegleg	v ɛ ɣ l ɛː ɣ
veikan	v e iː k a n
veiðir	v e iː ð ɪ r
verkfæra	v ɛ r̥ k f a iː r a
verkir	v ɛ r̥ c ɪ r
verkjum	v ɛ r̥ c ʏ m
verndum	v ɛ r n t ʏ m
veðráttu	v ɛ ð r a u h t ʏ
vilborgu	v ɪ l p ɔ r k ʏ
vinnustofur	v ɪ nː ʏ s t ɔː v ʏ r
virkin	v ɪ r̥ c ɪ n
viðamiklar	v ɪː ð a m ɪ h k l a r
viðaukum	v ɪː ð ø yː k ʏ m
viðmælendur	v ɪ ð m a iː l ɛ n t ʏ r
viðskiptablaðið	v ɪ ð s c ɪ f t a p l aː ð ɪ ð
viðureignar	v ɪː ð ʏ r e i k n a r
vonleysi	v ɔ n l e iː s ɪ
væg	v a iː ɣ
vélstjóra	v j ɛ l s t j o uː r a
víga	v iː ɣ a
víðis	v iː ð ɪ s
víðtæku	v i ð tʰ a iː k ʏ
works	v ɔ r̥ k s
yfirfæra	ɪː v ɪ r f a iː r a
yfirsterkari	ɪː v ɪ r̥ s t ɛ r̥ k a r ɪ
yorker	j ɔ r̥ c ɛ r
ábata	a uː p aː t a
áhrifamestu	a uː r̥ ɪː v a m ɛ s t ʏ
áhyggjufull	a uː h ɪ cː ʏ f ʏ t l
ákvörðunina	a uː kʰ v œ r ð ʏ n ɪː n a
álegg	a uː l ɛ kː
áreita	a uː r e iː t a
árgangar	a u r k a u ŋ k a r
árgerði	a u r c ɛ r ð ɪ
ársfundi	a u r̥ s f ʏ n t ɪ
árásargirni	a uː r a uː s a r c ɪ r t n ɪ
ávinnings	a uː v ɪ nː i ŋ k s
ávísanir	a uː v iː s aː n ɪ r
áþekk	a uː θ ɛ h k
étnir	j ɛ h t n ɪ r
íhaldsmenn	iː h a l t s m ɛ nː
íshokkí	iː s h ɔ h c i
íslendingarnir	i s t l ɛ n t i ŋ k a r t n ɪ r
íslendings	i s t l ɛ n t i ŋ k s
óbeina	o uː p e iː n a
ódýrar	o uː t iː r a r
ógnandi	o u k n a n t ɪ
óhefðbundnum	o uː h ɛ v ð p ʏ n t n ʏ m
óhjákvæmilegt	o uː ç a uː kʰ v a iː m ɪ l ɛ x t
ólafsvíkur	o uː l a v s v iː k ʏ r
ónýtt	o uː n i h t
óvenjulegur	o uː v ɛ n j ʏ l ɛː ɣ ʏ r
ökumanna	œː k ʏ m a nː a
örin	œː r ɪ n
úthlutar	uː t l̥ ʏː t a r
útsvar	uː t s v aː r
þakkað	θ a h k a ð
þarfa	θ a r v a
þjappað	θ j a h p a ð
þjálfi	θ j a u l v ɪ
þjón	θ j o uː n
þjóðarframleiðslu	θ j o uː ð a r f r a m l e i ð s t l ʏ
þjóðkirkja	θ j o u ð cʰ ɪ r̥ c a
þokkabót	θ ɔ h k a p o uː t
þroskuð	θ r ɔ s k ʏ ð
þunnu	θ ʏ nː ʏ
þvera	θ v ɛː r a
þvermáli	θ v ɛ r m a uː l ɪ
þéttist	θ j ɛ h t ɪ s t
afkvæmum	a v kʰ v a iː m ʏ m
aðgreining	a ð k r e iː n i ŋ k
aðskildar	a ð s c ɪ l t a r
bachelor	p aː x ɛː l ɔ r
bakkafirði	p a h k a f ɪ r ð ɪ
berjist	p ɛ r j ɪ s t
blæðir	p l a iː ð ɪ r
borholum	p ɔː r h ɔː l ʏ m
bragðs	p r a ɣ ð s
brestir	p r ɛ s t ɪ r
brúarinnar	p r uː a r ɪ nː a r
bylgjum	p ɪ l c ʏ m
bókmenntafræðingur	p o uː k m ɛ n̥ t a f r a iː ð i ŋ k ʏ r
conte	kʰ ɔ n̥ t ɛ
danakonungs	t aː n a kʰ ɔː n u ŋ k s
dreifðust	t r e i v ð ʏ s t
dulkóðun	t ʏ l̥ kʰ o uː ð ʏ n
dúkkur	t u h k ʏ r
dýragarðurinn	t iː r a k a r ð ʏ r ɪ nː
eiríksdóttur	e iː r i k s t o u h t ʏ r
endurminningar	ɛ n t ʏ r m ɪ nː i ŋ k a r
ermarnar	ɛ r m a r t n a r
fallegasti	f a t l ɛ ɣ a s t ɪ
feitir	f e iː t ɪ r
femínismi	f ɛː m iː n ɪ s m ɪ
fjölmennir	f j œ l m ɛ nː ɪ r
fjöður	f j œː ð ʏ r
formlegrar	f ɔ r m l ɛ ɣ r a r
fornminjar	f ɔ r t n m ɪ n j a r
franklín	f r a u ŋ̊ kʰ l iː n
frábæri	f r a uː p a iː r ɪ
fuglanna	f ʏ ɣ l a nː a
fylgjenda	f ɪ l c ɛ n t a
fyrirbæra	f ɪː r ɪ r p a iː r a
fyrirmæla	f ɪː r ɪ r m a iː l a
fágun	f a uː ʏ n
fánum	f a uː n ʏ m
fátítt	f a uː tʰ i h t
fæðir	f a iː ð ɪ r
féllust	f j ɛ t l ʏ s t
grafarvogs	k r aː v a r v ɔ k s
greipum	k r e iː p ʏ m
guns	k ʏ n s
guðfræðingar	k v ʏ ð f r a iː ð i ŋ k a r
gýs	c iː s
haldir	h a l t ɪ r
handviss	h a n t v ɪ sː
heimildamyndir	h e iː m ɪ l t a m ɪ n t ɪ r
heimskulegt	h e i m s k ʏ l ɛ x t
hentu	h ɛ n̥ t ʏ
herferðin	h ɛ r v ɛ r ð ɪ n
hertz	h ɛ r̥ t s
hestbak	h ɛ s t p aː k
hornstrandir	h ɔ r t n s t r a n t ɪ r
hrafnagili	r̥ a p n a c ɪː l ɪ
hraðað	r̥ aː ð a ð
hægrimenn	h a i ɣ r ɪ m ɛ nː
hópfimleikum	h o uː p f ɪ m l e iː k ʏ m
illviðri	ɪ t l v ɪ ð r ɪ
jakarta	j aː kʰ a r̥ t a
jósep	j o uː s ɛː p
jökuls	j œː k ʏ l s
koju	kʰ ɔ iː ʏ
kuldann	kʰ ʏ l t a nː
kvittanir	kʰ v ɪ h t a n ɪ r
kvöldum	kʰ v œ l t ʏ m
kólnandi	kʰ o u l n a n t ɪ
kýrin	cʰ iː r ɪ n
landamerki	l a n t a m ɛ r̥ c ɪ
lasin	l aː s ɪ n
leyfist	l e iː v ɪ s t
lim	l ɪː m
litist	l ɪː t ɪ s t
lol	l ɔː l
lyftiduft	l ɪ f t ɪ t ʏ f t
lyftist	l ɪ f t ɪ s t
lífmassa	l i v m a sː a
mag	m aː ɣ
mali	m aː l ɪ
maradona	m aː r a t ɔː n a
meginland	m e iː j ɪ n l a n t
merk	m ɛ r̥ k
miðstýringu	m ɪ ð s t iː r i ŋ k ʏ
notaðist	n ɔː t a ð ɪ s t
nyrsta	n ɪ r̥ s t a
nálgist	n a u l c ɪ s t
orkneyjum	ɔ r̥ k n e iː j ʏ m
por	pʰ ɔː r
próteina	pʰ r o uː tʰ e iː n a
ride	r ɪː t ɛ
runnum	r ʏ nː ʏ m
réttina	r j ɛ h t ɪ n a
rólegir	r o uː l e iː j ɪ r
rökkva	r œ h k v a
setningunni	s ɛ h t n i ŋ k ʏ nː ɪ
sigli	s ɪ k l ɪ
sitthvorum	s ɪ h t kʰ v ɔː r ʏ m
skagafjörð	s k aː ɣ a f j œ r ð
skagafjörður	s k aː ɣ a f j œ r ð ʏ r
skalanum	s k aː l a n ʏ m
smiðir	s m ɪː ð ɪ r
smárra	s m a u rː a
spaða	s p aː ð a
spegilmynd	s p e iː j ɪ l m ɪ n t
spennuna	s p ɛ nː ʏ n a
spýta	s p iː t a
stalli	s t a t l ɪ
steinda	s t e i n t a
stelpnanna	s t ɛ l̥ p n a nː a
stígnum	s t i k n ʏ m
stórslys	s t o u r̥ s t l ɪː s
stöðugra	s t œː ð ʏ k r a
syndanna	s ɪ n t a nː a
sæbraut	s a iː p r ø yː t
sérhæfði	s j ɛː r h a i v ð ɪ
sýkinga	s iː c i ŋ k a
sýrur	s iː r ʏ r
tenór	tʰ ɛː n o uː r
tungumáls	tʰ u ŋ k ʏ m a u l s
tíundu	tʰ iː j ʏ n t ʏ
undarlegum	ʏ n t a r l ɛː ɣ ʏ m
upprisa	ʏ h p r ɪː s a
veggjunum	v ɛ cː ʏ n ʏ m
vek	v ɛː k
vinurinn	v ɪː n ʏ r ɪ nː
viðskiptabann	v ɪ ð s c ɪ f t a p a nː
viðureignir	v ɪː ð ʏ r e i k n ɪ r
vísindalegu	v iː s ɪ n t a l ɛː ɣ ʏ
wind	v ɪ n t
ynnu	ɪ nː ʏ
ólífuolía	o uː l iː v ʏ ɔː l i j a
útfyrir	uː t f ɪː r ɪ r
þorbjarnar	θ ɔ r p j a r t n a r
þurrkaðar	θ ʏ r̥ k aː ð a r
þéttar	θ j ɛ h t a r
afturhvarf	a f t ʏ r kʰ v a r v
alfreðs	a l v r ɛ ð s
algarve	a l k a r v ɛː
amerískir	aː m ɛː r i s c ɪ r
andóf	a n t o uː v
appelsínusafa	a h p ɛ l s iː n ʏ s aː v a
arnarhóli	a r t n a r h o uː l ɪ
arnórs	a r t n o u r̥ s
atkins	aː t cʰ ɪ n s
auf	ø yː v
beinbrot	p e i n p r ɔː t
belga	p ɛ l k a
berlusconi	p ɛ r t l ʏ s k ɔː n ɪ
biblíu	p ɪ p l iː j ʏ
blanka	p l a u ŋ̊ k a
blaðagrein	p l aː ð a k r e iː n
blokkinni	p l ɔ h c ɪ nː ɪ
blökkumenn	p l œ h k ʏ m ɛ nː
boca	p ɔː k a
brenndum	p r ɛ n t ʏ m
bretarnir	p r ɛː tʰ a r t n ɪ r
brúnan	p r uː n a n
byrjið	p ɪ r j ɪ ð
bátunum	p a uː t ʏ n ʏ m
bækling	p a i h k l i ŋ k
capitol	kʰ aː p ɪ tʰ ɔː l
carolina	kʰ aː r ɔ l ɪː n a
carr	kʰ a rː
cent	s ɛ n̥ t
christ	kʰ r ɪ s t
clint	kʰ l ɪ n̥ t
cost	kʰ ɔ s t
dansinum	t a n s ɪː n ʏ m
dauðvona	t ø y ð v ɔː n a
dekra	t ɛː k r a
dre	t r ɛː
drekkt	t r ɛ x t
dvelst	t v ɛ l s t
dátar	t a uː t a r
edwin	ɛː t v ɪː n
eftirrétti	ɛ f t ɪ r r j ɛ h t ɪ
eiffel	e i fː ɛ l
eldsins	ɛ l t s ɪ n s
englendingum	e i ŋ k l ɛ n t i ŋ k ʏ m
enskar	ɛ n s k a r
evrópumenn	ɛ v r o uː p ʏ m ɛ nː
evrópuþjóða	ɛ v r o uː p ʏ θ j o uː ð a
farsímar	f a r̥ s iː m a r
ferðamannastaði	f ɛ r ð a m a nː a s t aː ð ɪ
films	f ɪ l m s
fisksins	f ɪ s k s ɪ n s
fjárins	f j a uː r ɪ n s
fjölmiðlaumfjöllun	f j œ l m ɪ ð l ø y m f j œ t l ʏ n
fjörið	f j œː r ɪ ð
flautu	f l ø yː t ʏ
flugan	f l ʏː ɣ a n
flugmanna	f l ʏ ɣ m a nː a
flugumýri	f l ʏː ɣ ʏ m iː r ɪ
flutningaskip	f l ʏ h t n i ŋ k a s c ɪː p
fo	f ɔː
fraus	f r ø yː s
froska	f r ɔ s k a
fríar	f r iː j a r
fullvissu	f ʏ t l v ɪ sː ʏ
fylkið	f ɪ l̥ c ɪ ð
fálka	f a u l̥ k a
fæðan	f a iː ð a n
fóstbræður	f o u s t p r a iː ð ʏ r
fýlu	f iː l ʏ
gagnárás	k a k n a uː r a uː s
gangstéttum	k a u ŋ k s t j ɛ h t ʏ m
geggjaður	c ɛ cː a ð ʏ r
geimfara	c e i m f aː r a
gestsdóttir	c ɛ s t s t o u h t ɪ r
gjafa	c aː v a
gjörgæslu	c œ r c a i s t l ʏ
glampandi	k l a m̥ p a n t ɪ
glæpamanna	k l a iː p a m a nː a
glæsilegan	k l a iː s ɪ l ɛː ɣ a n
glösum	k l œː s ʏ m
greifa	k r e iː v a
grimmi	k r ɪ mː ɪ
grænmetisætur	k r a i n m ɛː t ɪ s a iː t ʏ r
grískur	k r i s k ʏ r
gullni	k ʏ t l n ɪ
göldrum	k œ l t r ʏ m
hair	h a iː r
halanum	h aː l a n ʏ m
hallgrími	h a t l k r iː m ɪ
handtók	h a n t tʰ o uː k
hanks	h a u ŋ̊ k s
hari	h aː r ɪ
harla	h a r t l a
hausverk	h ø yː s v ɛ r̥ k
hawk	h a uː k
heilsuhæli	h e i l s ʏ h a iː l ɪ
heilsunni	h e i l s ʏ nː ɪ
heimahöfn	h e iː m a h œ p n
heimildirnar	h e iː m ɪ l t ɪ r t n a r
heinrich	h e i n r ɪ ç
heldri	h ɛ l t r ɪ
hernám	h ɛ r t n a uː m
herrans	h ɛ rː a n s
hitaeiningar	h ɪː t a e iː n i ŋ k a r
hljóðlega	l̥ j o u ð l ɛː ɣ a
hlutföllin	l̥ ʏː t f œ t l ɪ n
hlutnum	l̥ ʏ h t n ʏ m
