finns	f ɪ n s
folkhemmets	²f 'ɔ l k h ɛ m ɛ t s
forskas	²f 'ɔ ɕ k a s
fosterfamilj	²f 'ʊ s t ɛ r f a m ɪ l j
fullbordan	²f 'ɵ l b uː d a n
färdigbyggt	²f 'ɛː d ɪ ɡ b ʏ ɡ t
färdigspelad	²f 'ɛː d ɪ ɡ s p eː l a d
föd	f øː d
förhandsvisningen	²f 'øː r h a n d s v iː s n ɪ ŋ ɛ n
förkunnelse	f œ r k 'ɵ n ɛ l s ɛ
förmätet	f œ r m 'ɛː t ɛ t
förpackade	f œ r p 'a k a d ɛ
försona	f œ ɕ 'uː n a
förträngning	f œ t r 'ɛ ŋ n ɪ ŋ
gag	ɡ ɑː ɡ
gamlas	²ɡ 'a m l a s
genomsnittlige	²j 'eː n ɔ m s n ɪ t l ɪ ɡ ɛ
gnällspik	²ɡ n 'ɛ l s p iː k
grundström	²ɡ r 'ɵ n d s t r œ m
gäckar	²j 'ɛ k a r
halvblod	²h 'a l v b l uː d
handlägger	²h 'a n d l ɛ ɡ ɛ r
hemlighetsfull	²h 'ɛ m l ɪ ɡ h eː t s f ɵ l
hickman	²h 'ɪ k m a n
hjullastare	²j 'ɵ l a s t a r ɛ
häxmästaren	²h 'ɛ k s m ɛ s t a r ɛ n
ibu	ɪ b 'ʉː
imponerades	ɪ m p ʊ n 'eː r a d ɛ s
inbillad	²'ɪ n b ɪ l a d
inlärda	²'ɪ n l ɛː d a
islay	ɪ s l 'ɛ j
jobbdagen	²j 'ɔ b d ɑː ɡ ɛ n
jordbrukspolitik	²j 'uː d b r ʉː k s p ʊ l ɪ t iː k
jublande	²j 'ʉː b l a n d ɛ
jugge	²j 'ɵ ɡ ɛ
jämshög	²j 'ɛ m s h øː ɡ
jätteliten	²j 'ɛ t ɛ l iː t ɛ n
karesuando	k a r ɛ s ɵ 'a n d ʊ
klämdes	²k l 'ɛ m d ɛ s
kontrollrummet	²k ɔ n t r 'ɔ l r ɵ m ɛ t
korrumpera	k ɔ r ɵ m p 'eː r a
korvspad	²k 'ɔ r v s p ɑː d
krabban	²k r 'a b a n
kringlan	²k r 'ɪ ŋ l a n
kroppsbesiktning	²k r 'ɔ p s b ɛ s ɪ k t n ɪ ŋ
kryssningar	²k r 'ʏ s n ɪ ŋ a r
krystade	²k r 'ʏ s t a d ɛ
kuksugare	²k 'ʉː k s ʉː ɡ a r ɛ
kulisser	k ɵ l 'ɪ s ɛ r
kvällsdopp	²k v 'ɛ l s d ɔ p
kvällskurs	²k v 'ɛ l s k ɵ ɕ
källvatten	²ɕ 'ɛ l v a t ɛ n
köken	²ɕ 'øː k ɛ n
lagrådets	²l 'ɑː ɡ r oː d ɛ t s
landmassa	²l 'a n d m a s a
layer	l 'ɛ j ɛ r
ljumsken	²j 'ɵ m s k ɛ n
lustgården	²l 'ɵ s t ɡ oː d ɛ n
långlopp	²l 'ɔ ŋ l ɔ p
lörd	l øː d
medföljde	²m 'eː d f œ l j d ɛ
meteoriten	m ɛ t ɛ ʊ r 'iː t ɛ n
mjölksyran	²m j 'œ l k s yː r a n
munsår	²m 'ɵ n s oː r
mystiker	m 'ʏ s t ɪ k ɛ r
mångfaldigt	²m 'ɔ ŋ f a l d ɪ k t
mörkgröna	²m 'œ r k ɡ r øː n a
nedskriven	²n 'eː d s k r iː v ɛ n
noas	n ʊ 'ɑː s
nämnvärda	²n 'ɛ m n v ɛː d a
olägenheter	²'uː l ɛː ɡ ɛ n h eː t ɛ r
omärkt	²'uː m a r k t
optimering	ɔ p t ɪ m 'eː r ɪ ŋ
paddock	²p 'a d ɔ k
paxa	²p 'a k s a
prefabricerade	p r ɛ f a b r ɪ s 'eː r a d ɛ
pretto	²p r 'ɛ t ʊ
prickiga	²p r 'ɪ k ɪ ɡ a
pros	p r uː s
pyttelite	²p 'ʏ t ɛ l iː t ɛ
rands	r a n d s
redigerades	r ɛ d ɪ ɧ 'eː r a d ɛ s
reparerad	r ɛ p a r 'eː r a d
rite	²r 'iː t ɛ
romansen	r ʊ m 'a n s ɛ n
rännstenen	²r 'ɛ n s t eː n ɛ n
rättfärdigade	²r 'ɛ t f ɛː d ɪ ɡ a d ɛ
sammanhållna	²s 'a m a n h ɔ l n a
sjuklighet	²ɧ 'ʉː k l ɪ ɡ h eː t
sjösatt	²ɧ 'øː s a t
sjöstaden	²ɧ 'øː s t ɑː d ɛ n
skojiga	²s k 'ɔ j ɪ ɡ a
skottskadade	²s k 'ɔ t s k ɑː d a d ɛ
skrollar	²s k r 'ɔ l a r
skydden	²ɧ 'ʏ d ɛ n
slutprov	²s l 'ʉː t p r uː v
soffläge	²s 'ɔ f l ɛː ɡ ɛ
spelling	²s p 'ɛ l ɪ ŋ
springpojkar	²s p r 'ɪ ŋ p ɔ j k a r
stadigare	²s t 'ɑː d ɪ ɡ a r ɛ
starksprit	²s t 'a r k s p r iː t
steninge	²s t 'eː n ɪ ŋ ɛ
stenlund	²s t 'eː n l ɵ n d
stiftas	²s t 'ɪ f t a s
storstadsområden	²s t 'uː ɕ t ɑː d s ɔ m r oː d ɛ n
stympade	²s t 'ʏ m p a d ɛ
stånga	²s t 'ɔ ŋ a
sydsidan	²s 'yː d s iː d a n
särspel	²s 'ɛː ɕ p eː l
sågad	²s 'oː ɡ a d
söktryck	²s 'øː k t r ʏ k
tillsatts	²t 'ɪ l s a t s
tillse	²t 'ɪ l s ɛ
trips	t r ɪ p s
truckförare	²t r 'ɵ k f øː r a r ɛ
tundran	²t 'ɵ n d r a n
uff	ɵ f
underhållna	²'ɵ n d ɛ r h ɔ l n a
upplysningstiden	²'ɵ p l yː s n ɪ ŋ s t iː d ɛ n
upplåter	²'ɵ p l oː t ɛ r
ural	²'ʉː r ɑː l
utandning	²'ʉː t a n d n ɪ ŋ
utomjordingen	²'ʉː t ɔ m j uː d ɪ ŋ ɛ n
vapensköld	²v 'ɑː p ɛ n ɧ œ l d
vinkelrätt	²v 'ɪ ŋ k ɛ l r ɛ t
vitmålad	²v 'iː t m oː l a d
växlas	²v 'ɛ k s l a s
vårdnadsbidrag	²v 'oː d n a d s b iː d r ɑː ɡ
walks	v a l k s
wickström	²v 'ɪ k s t r œ m
yviga	²'yː v ɪ ɡ a
åkomman	²'oː k ɔ m a n
överkänslighet	²'øː v ɛ r ɕ ɛ n s l ɪ ɡ h eː t
överlämnande	²'øː v ɛ l ɛ m n a n d ɛ
överskattas	²'øː v ɛ ɕ k a t a s
övertydligt	²'øː v ɛ t yː d l ɪ k t
abi	a b 'iː
amanuens	a m a n ɵ 'ɛ n s
amira	a m 'iː r a
anarkistisk	a n a r k 'ɪ s t ɪ s k
ansenliga	²'a n s eː n l ɪ ɡ a
anvisade	²'a n v iː s a d ɛ
arvingen	²'a r v ɪ ŋ ɛ n
asociala	a s ʊ s ɪ 'ɑː l a
automobil	a ʊ t ʊ m ʊ b 'iː l
barnomsorgen	²b 'ɑː n ɔ m s ɔ r j ɛ n
basin	b a s 'iː n
bedrövade	b ɛ d r 'øː v a d ɛ
befallt	b ɛ f 'a l t
befästningar	b ɛ f 'ɛ s t n ɪ ŋ a r
bestyckade	b ɛ s t 'ʏ k a d ɛ
betalningsanmärkning	²b ɛ t 'ɑː l n ɪ ŋ s a n m a r k n ɪ ŋ
bibehålls	²b 'iː b ɛ h ɔ l s
bildskärmar	²b 'ɪ l d ɧ a r m a r
blinkning	²b l 'ɪ ŋ k n ɪ ŋ
blitz	b l ɪ t s
bombdåden	²b 'ɔ m b d oː d ɛ n
bomberjacka	²b 'ɔ m b ɛ r j a k a
brotta	²b r 'ɔ t a
brottningen	²b r 'ɔ t n ɪ ŋ ɛ n
byggår	²b 'ʏ ɡ oː r
bödlar	²b 'øː d l a r
chatham	²ɕ 'ɑː t h a m
coliseum	k ʊ l ɪ s 'eː ɵ m
comp	k ɔ m p
cons	k ɔ n s
dalahästen	²d 'ɑː l a h ɛ s t ɛ n
desertörer	d ɛ s a t 'øː r ɛ r
dramaturgi	d r a m a t ɵ r ɡ 'iː
dux	d ɵ k s
eftertänksamhet	²'ɛ f t ɛ t ɛ ŋ k s a m h eː t
eldriven	²'ɛ l d r iː v ɛ n
enkelspåriga	²'ɛ ŋ k ɛ l s p oː r ɪ ɡ a
essän	ɛ s 'ɛː n
exploateras	ɛ k s p l ʊ a t 'eː r a s
fastslås	²f 'a s t s l oː s
ficktjuvar	²f 'ɪ k ɕ ʉː v a r
firm	f ɪ r m
flagstaff	²f l 'ɑː ɡ s t a f
fotfolket	²f 'uː t f ɔ l k ɛ t
frihetlig	²f r 'iː h eː t l ɪ ɡ
fräna	²f r 'ɛː n a
fräter	f r 'ɛː t ɛ r
fyndigheter	²f 'ʏ n d ɪ ɡ h eː t ɛ r
färgsättningen	²f 'ɛ r j s ɛ t n ɪ ŋ ɛ n
fördömas	f œ d 'œ m a s
föregåtts	²f 'øː r ɛ ɡ ɔ t s
förgänglighet	f œ r j 'ɛ ŋ l ɪ ɡ h eː t
förvrider	f œ r v r 'iː d ɛ r
galileen	ɡ a l ɪ l 'eː ɛ n
generalförsamlingen	²j ɛ n ɛ r 'ɑː l f œ ɕ a m l ɪ ŋ ɛ n
genomslaget	²j 'eː n ɔ m s l ɑː ɡ ɛ t
gimme	²j 'ɪ m ɛ
glasburk	²ɡ l 'ɑː s b ɵ r k
glasfönster	²ɡ l 'ɑː s f œ n s t ɛ r
grönvall	²ɡ r 'øː n v a l
guldsmed	²ɡ 'ɵ l d s m eː d
gångvägen	²ɡ 'ɔ ŋ v ɛː ɡ ɛ n
hemmasittare	²h 'ɛ m a s ɪ t a r ɛ
hines	h ɪ n 'eː s
hog	h uː ɡ
hugin	h ɵ ɡ 'iː n
humorist	h ɵ m ʊ r 'ɪ s t
hyllinge	²h 'ʏ l ɪ ŋ ɛ
häckla	²h 'ɛ k l a
hägn	h ɛ ŋ n
hämmas	²h 'ɛ m a s
ingreppen	²'ɪ n ɡ r ɛ p ɛ n
inköpen	²'ɪ n ɕ øː p ɛ n
instinkten	²'ɪ n s t ɪ ŋ k t ɛ n
intoleranta	ɪ n t ʊ l ɛ r 'a n t a
jordgubbssylt	²j 'uː d ɡ ɵ b s ʏ l t
judi	j 'ʉː d ɪ
kapsyler	k a p s 'yː l ɛ r
klättrande	²k l 'ɛ t r a n d ɛ
klådan	²k l 'oː d a n
knarkade	²k n 'a r k a d ɛ
kriskommunikation	k r ɪ s k ɔ m ɵ n ɪ k a ɧ 'uː n
kvinnofrågor	²k v 'ɪ n ʊ f r oː ɡ ʊ r
kökskniv	²ɕ 'øː k s k n iː v
latar	²l 'ɑː t a r
liberalisering	l ɪ b ɛ r a l ɪ s 'eː r ɪ ŋ
luftstrupen	²l 'ɵ f t s t r ʉː p ɛ n
lungsjukdom	²l 'ɵ ŋ ɧ ʉː k d ʊ m
lungsot	²l 'ɵ ŋ s uː t
lyriskt	l 'yː r ɪ s k t
mandelmassan	²m 'a n d ɛ l m a s a n
manövreras	m a n œ v r 'eː r a s
matlagningsgrädde	²m 'ɑː t l ɑː ɡ n ɪ ŋ s ɡ r ɛ d ɛ
maven	²m 'ɑː v ɛ n
mirre	²m 'ɪ r ɛ
mittgången	²m 'ɪ t ɡ ɔ ŋ ɛ n
måltavlan	²m 'oː l t ɑː v l a n
mödravård	²m 'øː d r a v oː d
möp	m øː p
nattningen	²n 'a t n ɪ ŋ ɛ n
nedsatta	²n 'eː d s a t a
neve	²n 'eː v ɛ
nyhetsförmedlare	²n 'yː h eː t s f œ r m eː d l a r ɛ
nätade	²n 'ɛː t a d ɛ
oförrätter	²'uː f œ r ɛ t ɛ r
ojämnheter	²'uː j ɛ m n h eː t ɛ r
otippade	²'uː t ɪ p a d ɛ
parliament	p a l ɪ a m 'ɛ n t
persontåg	²p a ɕ 'uː n t oː ɡ
polismästaren	²p ʊ l 'iː s m ɛ s t a r ɛ n
posse	²p 'ɔ s ɛ
predikanter	p r ɛ d ɪ k 'a n t ɛ r
presidente	p r ɛ s ɪ d 'ɛ n t ɛ
primera	p r ɪ m 'eː r a
rappade	²r 'a p a d ɛ
reformerad	r ɛ f ɔ r m 'eː r a d
revolutionerade	r ɛ v ʊ l ɵ ɧ ʊ n 'eː r a d ɛ
rumtiden	²r 'ɵ m t iː d ɛ n
rådmansgatan	²r 'oː d m a n s ɡ ɑː t a n
rönte	²r 'œ n t ɛ
sadlade	²s 'ɑː d l a d ɛ
samhällsfara	²s 'a m h ɛ l s f ɑː r a
sammankoppling	²s 'a m a n k ɔ p l ɪ ŋ
saratoga	²s 'ɑː r a t uː ɡ a
satar	²s 'ɑː t a r
självmorden	²ɧ 'ɛ l v m uː d ɛ n
skeppsvarv	²ɧ 'ɛ p s v a r v
skotskt	s k ɔ t s k t
skyddsvärda	²ɧ 'ʏ d s v ɛː d a
skynket	²ɧ 'ʏ ŋ k ɛ t
slagkraftig	²s l 'ɑː ɡ k r a f t ɪ ɡ
slutledningsförmåga	²s l 'ʉː t l eː d n ɪ ŋ s f œ r m oː ɡ a
snedvriden	²s n 'eː d v r iː d ɛ n
sonys	s ʊ n 'yː s
sources	s ʊ ɕ 'eː s
sparsamhet	²s p 'ɑː ɕ a m h eː t
spökhistoria	²s p 'øː k h ɪ s t uː r ɪ a
spöregnar	²s p 'øː r ɛ ŋ n a r
stalkar	²s t 'a l k a r
stelhet	²s t 'eː l h eː t
stänkare	²s t 'ɛ ŋ k a r ɛ
sävar	²s 'ɛː v a r
tafsen	²t 'a f s ɛ n
taktkänsla	²t 'a k t ɕ ɛ n s l a
tankas	²t 'a ŋ k a s
tantra	²t 'a n t r a
televisions	t ɛ l ɛ v ɪ ɧ 'uː n s
tillfångatas	²t 'ɪ l f ɔ ŋ a t a s
tjänaren	²ɕ 'ɛː n a r ɛ n
trampas	²t r 'a m p a s
trode	²t r 'uː d ɛ
tråk	t r oː k
twix	t v ɪ k s
tärnsjö	²t 'ɛː n ɧ øː
undervåningen	²'ɵ n d ɛ r v oː n ɪ ŋ ɛ n
uppsåtligt	²'ɵ p s oː t l ɪ k t
ursprungsfolk	²'ʉː ɕ p r ɵ ŋ s f ɔ l k
urvattna	²'ʉː r v a t n a
utbrotten	²'ʉː t b r ɔ t ɛ n
uteställen	²'ʉː t ɛ s t ɛ l ɛ n
utfarten	²'ʉː t f ɑː t ɛ n
utplånad	²'ʉː t p l oː n a d
uttagningar	²'ʉː t ɑː ɡ n ɪ ŋ a r
uttrycksfulla	²'ʉː t r ʏ k s f ɵ l a
utövning	²'ʉː t øː v n ɪ ŋ
varningstext	²v 'ɑː n ɪ ŋ s t ɛ k s t
veken	²v 'eː k ɛ n
vindkraftverken	²v 'ɪ n d k r a f t v a r k ɛ n
vårdboende	²v 'oː d b uː ɛ n d ɛ
wald	v a l d
ämnesområde	²'ɛ m n ɛ s ɔ m r oː d ɛ
ängslighet	²'ɛ ŋ s l ɪ ɡ h eː t
åtföljande	²'oː t f œ l j a n d ɛ
åtgången	²'oː t ɡ ɔ ŋ ɛ n
övernattade	²'øː v ɛ n a t a d ɛ
allsmäktiga	²'a l s m ɛ k t ɪ ɡ a
anfallande	²'a n f a l a n d ɛ
anförare	²'a n f øː r a r ɛ
arbetsutskott	²'a r b eː t s ʉː t s k ɔ t
asllani	a s l a n 'iː
avsluten	²'ɑː v s l ʉː t ɛ n
bala	²b 'ɑː l a
barnarbetare	²b 'ɑː n a r b eː t a r ɛ
besköts	b ɛ ɧ 'œ t s
billgren	²b 'ɪ l ɡ r eː n
bilskrot	²b 'iː l s k r uː t
bollstanäs	²b 'ɔ l s t a n ɛː s
buena	b ɵ 'eː n a
bullrigt	²b 'ɵ l r ɪ k t
böjningen	²b 'œ j n ɪ ŋ ɛ n
dive	²d 'iː v ɛ
dutta	²d 'ɵ t a
eftersatta	²'ɛ f t ɛ ɕ a t a
elastiskt	ɛ l 'a s t ɪ s k t
enfärgade	²'eː n f a r j a d ɛ
entydiga	²'eː n t yː d ɪ ɡ a
ersättningsbuss	²'eː ɕ ɛ t n ɪ ŋ s b ɵ s
fallskärmshoppning	²f 'a l ɧ a r m s h ɔ p n ɪ ŋ
fiendskap	²f 'iː ɛ n d s k ɑː p
fjodor	²f j 'uː d ʊ r
fjollan	²f j 'ɔ l a n
fluffigt	²f l 'ɵ f ɪ k t
fogelström	²f 'uː ɡ ɛ l s t r œ m
franskans	²f r 'a n s k a n s
frågeställaren	²f r 'oː ɡ ɛ s t ɛ l a r ɛ n
färdigställandet	²f 'ɛː d ɪ ɡ s t ɛ l a n d ɛ t
föraktad	f œ r 'a k t a d
fördubblade	f œ d 'ɵ b l a d ɛ
företagsledning	²f 'øː r ɛ t ɑː ɡ s l eː d n ɪ ŋ
författande	f œ r f 'a t a n d ɛ
förstatligande	f œ ɕ t 'ɑː t l ɪ ɡ a n d ɛ
förstöring	f œ ɕ t 'øː r ɪ ŋ
förteckningar	f œ t 'ɛ k n ɪ ŋ a r
förvärrat	f œ r v 'ɛ r a t
förärats	f œ r 'ɛː r a t s
grasse	²ɡ r 'a s ɛ
grundstenen	²ɡ r 'ɵ n d s t eː n ɛ n
grundämnet	²ɡ r 'ɵ n d ɛ m n ɛ t
gruvdriften	²ɡ r 'ʉː v d r ɪ f t ɛ n
gräddas	²ɡ r 'ɛ d a s
grönskande	²ɡ r 'œ n s k a n d ɛ
halvmaran	²h 'a l v m ɑː r a n
handa	²h 'a n d a
hjorden	²j 'uː d ɛ n
hudens	h ɵ d 'ɛ n s
hundred	²h 'ɵ n d r eː d
hårväxt	²h 'oː r v ɛ k s t
inaktivitet	ɪ n a k t ɪ v ɪ t 'eː t
incitamenten	ɪ n s ɪ t a m 'ɛ n t ɛ n
industrialismen	ɪ n d ɵ s t r ɪ a l 'ɪ s m ɛ n
inrättningen	²'ɪ n r ɛ t n ɪ ŋ ɛ n
integraler	ɪ n t ɛ ɡ r 'ɑː l ɛ r
inviter	ɪ n v 'iː t ɛ r
juckar	²j 'ɵ k a r
jäsningen	²j 'ɛː s n ɪ ŋ ɛ n
klubbmärket	²k l 'ɵ b m a r k ɛ t
knuffad	²k n 'ɵ f a d
komparativ	k ɔ m p a r a t 'iː v
komprimering	k ɔ m p r ɪ m 'eː r ɪ ŋ
kransen	²k r 'a n s ɛ n
kristenheten	²k r 'ɪ s t ɛ n h eː t ɛ n
kulturpris	²k ɵ l t 'ʉː r p r iː s
kurvig	²k 'ɵ r v ɪ ɡ
kvicken	²k v 'ɪ k ɛ n
lamp	l a m p
lanes	l a n 'eː s
ledningsmål	²l 'eː d n ɪ ŋ s m oː l
lisp	l ɪ s p
livsuppgift	²l 'ɪ f s ɵ p j ɪ f t
loggboken	²l 'ɔ ɡ b uː k ɛ n
lossade	²l 'ɔ s a d ɛ
luftvägar	²l 'ɵ f t v ɛː ɡ a r
läkemedelsföretaget	²l 'ɛː k ɛ m eː d ɛ l s f øː r ɛ t ɑː ɡ ɛ t
marinera	m a r ɪ n 'eː r a
medelhavsområdet	²m 'eː d ɛ l h ɑː v s ɔ m r oː d ɛ t
mobbaren	²m 'ɔ b a r ɛ n
mobiliseras	m ʊ b ɪ l ɪ s 'eː r a s
målbilder	²m 'oː l b ɪ l d ɛ r
måltidsdryck	²m 'oː l t iː d s d r ʏ k
nallebjörn	²n 'a l ɛ b j øː n
nets	n ɛ t s
nogsamt	²n 'uː ɡ s a m t
normativ	n ɔ r m a t 'iː v
olagligheter	²'uː l ɑː ɡ l ɪ ɡ h eː t ɛ r
omgärdas	²'ɔ m j ɛː d a s
otillräcklighet	²'uː t ɪ l r ɛ k l ɪ ɡ h eː t
oumbärliga	²'uː ɵ m b ɛː l ɪ ɡ a
outtröttligt	²'uː ʉː t r œ t l ɪ k t
pannrum	²p 'a n r ɵ m
papperstidningar	²p 'a p ɛ ɕ t iː d n ɪ ŋ a r
parkerings	p a r k 'eː r ɪ ŋ s
pedaler	p ɛ d 'ɑː l ɛ r
persiennen	p a ɕ ɪ 'ɛ n ɛ n
pillren	²p 'ɪ l r eː n
plastigt	²p l 'a s t ɪ k t
polismyndigheter	²p ʊ l 'iː s m ʏ n d ɪ ɡ h eː t ɛ r
primal	p r ɪ m 'ɑː l
protestantisk	p r ʊ t ɛ s t 'a n t ɪ s k
pudla	²p 'ʉː d l a
ravi	r a v 'iː
reviret	r ɛ v ɪ r 'eː t
riksmötets	²r 'ɪ k s m øː t ɛ t s
rivningar	²r 'iː v n ɪ ŋ a r
räcken	²r 'ɛ k ɛ n
samhällsliv	²s 'a m h ɛ l s l iː v
samhällsskikt	²s 'a m h ɛ l s ɧ ɪ k t
samlingsplatsen	²s 'a m l ɪ ŋ s p l a t s ɛ n
sexualdrift	²s ɛ k s ɵ 'ɑː l d r ɪ f t
sippar	²s 'ɪ p a r
självstyret	²ɧ 'ɛ l v s t yː r ɛ t
skikten	²ɧ 'ɪ k t ɛ n
skolfrånvaro	²s k 'uː l f r oː n v ɑː r ʊ
skonare	²s k 'uː n a r ɛ
skyltningen	²ɧ 'ʏ l t n ɪ ŋ ɛ n
slumrade	²s l 'ɵ m r a d ɛ
slutspurt	²s l 'ʉː t s p ɵ t
smaksättning	²s m 'ɑː k s ɛ t n ɪ ŋ
snöpligt	²s n 'øː p l ɪ k t
sockerlag	²s 'ɔ k ɛ l ɑː ɡ
sommarspelen	²s 'ɔ m a ɕ p eː l ɛ n
sommras	²s 'ɔ m r a s
soy	s ɔ j
tabben	²t 'a b ɛ n
tillagda	²t 'ɪ l a ɡ d a
tjänstgöringen	²ɕ 'ɛ n s t j øː r ɪ ŋ ɛ n
trafikljusen	²t r a f 'iː k j ʉː s ɛ n
trösten	²t r 'œ s t ɛ n
tänkesätt	²t 'ɛ ŋ k ɛ s ɛ t
unde	²'ɵ n d ɛ
underarm	²'ɵ n d ɛ r a r m
ungdomligt	²'ɵ ŋ d ʊ m l ɪ k t
uppslaget	²'ɵ p s l ɑː ɡ ɛ t
uppteckningar	²'ɵ p t ɛ k n ɪ ŋ a r
ursprungslandet	²'ʉː ɕ p r ɵ ŋ s l a n d ɛ t
utskickade	²'ʉː t ɧ ɪ k a d ɛ
utspätt	²'ʉː t s p ɛ t
vallgatan	²v 'a l ɡ ɑː t a n
vallsta	²v 'a l s t a
valsa	²v 'a l s a
varmluft	²v 'a r m l ɵ f t
videoband	²v 'iː d ɛ ʊ b a n d
vindeln	²v 'ɪ n d ɛ l n
vrår	v r oː r
vågskålen	²v 'oː ɡ s k oː l ɛ n
våldtäktskulturen	²v 'ɔ l d t ɛ k t s k ɵ l t ʉː r ɛ n
westlund	²v 'ɛ s t l ɵ n d
widstrand	²v 'iː d s t r a n d
winn	v ɪ n
änderna	²'ɛ n d ɛ n a
ålderskontroll	²'ɔ l d ɛ ɕ k ɔ n t r ɔ l
ång	ɔ ŋ
åstorps	²'oː s t ɔ r p s
åstrand	²'oː s t r a n d
åtföljd	²'oː t f œ l j d
översiktlig	²'øː v ɛ ɕ ɪ k t l ɪ ɡ
aggressionen	a ɡ r ɛ ɧ 'uː n ɛ n
aktat	a k t 'ɑː t
aristokratin	a r ɪ s t ʊ k r a t 'iː n
armbrytning	²'a r m b r yː t n ɪ ŋ
assimilerade	a s ɪ m ɪ l 'eː r a d ɛ
avigsidan	²'ɑː v ɪ ɡ s iː d a n
avrundas	²'ɑː v r ɵ n d a s
babbar	²b 'a b a r
besökas	b ɛ s 'øː k a s
bid	b iː d
bip	b iː p
blixtrande	²b l 'ɪ k s t r a n d ɛ
blodvärden	²b l 'uː d v ɛː d ɛ n
bottenlös	²b 'ɔ t ɛ n l øː s
boxa	²b 'ʊ k s a
breddade	²b r 'ɛ d a d ɛ
burna	²b 'ʉː n a
byggplatsen	²b 'ʏ ɡ p l a t s ɛ n
böt	b øː t
castello	k a s t 'ɛ l ʊ
coo	k uː
cupid	k ɵ p 'iː d
degraderas	d ɛ ɡ r a d 'eː r a s
degradering	d ɛ ɡ r a d 'eː r ɪ ŋ
demonstreras	d ɛ m ɔ n s t r 'eː r a s
dillen	²d 'ɪ l ɛ n
djävulska	²j 'ɛː v ɵ l s k a
durant	d ɵ r 'a n t
eldningsförbudet	²'ɛ l d n ɪ ŋ s f œ r b ʉː d ɛ t
ethereum	ɛ t h ɛ r 'eː ɵ m
fantaster	f a n t 'a s t ɛ r
farligheter	²f 'ɑː l ɪ ɡ h eː t ɛ r
fattighuset	²f 'a t ɪ ɡ h ʉː s ɛ t
faxa	²f 'a k s a
filmduken	²f 'ɪ l m d ʉː k ɛ n
flaggdag	²f l 'a ɡ d ɑː ɡ
fock	f ɔ k
folkliv	²f 'ɔ l k l iː v
forskningsfusk	²f 'ɔ ɕ k n ɪ ŋ s f ɵ s k
fullvärdigt	²f 'ɵ l v ɛː d ɪ k t
föreskrivet	²f 'øː r ɛ s k r iː v ɛ t
föreslaget	²f 'øː r ɛ s l ɑː ɡ ɛ t
förmaningar	f œ r m 'ɑː n ɪ ŋ a r
gaddafi	ɡ a d a f 'iː
gradvisa	²ɡ r 'ɑː d v iː s a
grappa	²ɡ r 'a p a
gruvbolag	²ɡ r 'ʉː v b uː l ɑː ɡ
gångbanan	²ɡ 'ɔ ŋ b ɑː n a n
gåtfull	²ɡ 'oː t f ɵ l
halling	²h 'a l ɪ ŋ
handdator	²h 'a n d ɑː t ʊ r
hellboy	²h 'ɛ l b ɔ j
hemlighåller	²h 'ɛ m l ɪ ɡ h ɔ l ɛ r
hemlock	²h 'ɛ m l ɔ k
hemming	²h 'ɛ m ɪ ŋ
himmelsfärd	²h 'ɪ m ɛ l s f ɛː d
hojar	²h 'ɔ j a r
hova	²h 'uː v a
hustaken	²h 'ʉː s t ɑː k ɛ n
huvudfrågan	²h 'ʉː v ɵ d f r oː ɡ a n
huvudämnet	²h 'ʉː v ɵ d ɛ m n ɛ t
hämmade	²h 'ɛ m a d ɛ
högländerna	²h 'øː ɡ l ɛ n d ɛ n a
högskolas	²h 'øː ɡ s k uː l a s
infekteras	ɪ n f ɛ k t 'eː r a s
inlämningen	²'ɪ n l ɛ m n ɪ ŋ ɛ n
jämbördiga	²j 'ɛ m b øː d ɪ ɡ a
kallsvettig	²k 'a l s v ɛ t ɪ ɡ
knivhugger	²k n 'iː v h ɵ ɡ ɛ r
knud	k n ʉː d
kokhet	²k 'uː k h eː t
konståkare	²k 'ɔ n s t oː k a r ɛ
krueger	k r ɵ 'eː ɡ ɛ r
kryddiga	²k r 'ʏ d ɪ ɡ a
kungahusets	²k 'ɵ ŋ a h ʉː s ɛ t s
kärnämnen	²ɕ 'ɛː n ɛ m n ɛ n
köksfönster	²ɕ 'øː k s f œ n s t ɛ r
köpcentra	²ɕ 'øː p s ɛ n t r a
lagbygge	²l 'ɑː ɡ b ʏ ɡ ɛ
lethal	²l 'eː t h ɑː l
likriktning	²l 'iː k r ɪ k t n ɪ ŋ
livfulla	²l 'iː v f ɵ l a
lockelse	²l 'ɔ k ɛ l s ɛ
longhorn	²l 'ɔ ŋ h uː n
lovell	l ʊ v 'ɛ l
luftförsvar	²l 'ɵ f t f œ ɕ v ɑː r
lundborg	²l 'ɵ n d b ɔ r j
manon	m a n 'uː n
medarbetaren	²m 'eː d a r b eː t a r ɛ n
memento	m ɛ m 'ɛ n t ʊ
mendel	²m 'ɛ n d ɛ l
methods	²m 'eː t h ʊ t s
missbrukaren	²m 'ɪ s b r ʉː k a r ɛ n
mobiloperatör	m ʊ b ɪ l ʊ p ɛ r a t 'øː r
mollusker	²m 'ɔ l ɵ s k ɛ r
morgonrocken	²m 'ɔ r ɡ ɔ n r ɔ k ɛ n
multipliceras	m ɵ l t ɪ p l ɪ s 'eː r a s
månadsavgift	²m 'oː n a d s ɑː v j ɪ f t
naturvärden	²n a t 'ʉː r v ɛː d ɛ n
nordborna	²n 'uː d b uː n a
notting	²n 'ɔ t ɪ ŋ
