to	t ɔ
vnímal	v ɲ iː m a l
vnímaný	v ɲ iː m a n iː
vojenskou	v ɔ j e n s k ɔ v
voľnosť	v ɔ ʎ n ɔ s c
vrcholových	v r̩ x ɔ l ɔ v iː x
vrátenie	v r aː c e ɲ ɪ̯ e
vtáci	f t aː t͡s i
vyberali	v i b e r a ʎ i
vydavateľom	v i d a v a c e ʎ ɔ m
vykonajte	v i k ɔ n a j c e
vymenovať	v i m e n ɔ v a c
vypadá	v i p a d aː
vyrovnaný	v i r ɔ v n a n iː
vyzdvihne	v i z d v i ɦ ɲ e
vzrastu	v z r a s t u
vírusové	v iː r u s ɔ v eː
výkonnej	v iː k ɔ n ɲ e j
výrazného	v iː r a z n eː ɦ ɔ
výrobným	v iː r ɔ b n iː m
výskyte	v iː s k i c e
výsluchu	v iː s l u x u
výučbe	v iː u d͡ʒ b e
včelár	f t͡ʃ e l aː r
webstránke	v e p s t r aː n k e
zakúpené	z a k uː p e n eː
zameranej	z a m e r a ɲ e j
zanikli	z a ɲ i k ʎ i
zapája	z a p aː j a
zasadaní	z a s a d a ɲ iː
zatmenie	z a t m e ɲ ɪ̯ e
zdravých	z d r a v iː x
zhodný	z ɦ ɔ d n iː
zhromaždením	z ɦ r ɔ m a ʒ ɟ e ɲ iː m
zimou	z i m ɔ v
zip	z i p
zmiznúť	z m i z n uː c
zmätený	z m æ c e n iː
značkami	z n a t͡ʃ k a m i
znenia	z ɲ e ɲ ɪ̯ a
zostavili	z ɔ s t a v i ʎ i
zradu	z r a d u
zrodil	z r ɔ ɟ i l
zviesť	z v ɪ̯ e s c
záhad	z aː ɦ a t
zákaze	z aː k a z e
zúfalý	z uː f a l iː
únosu	uː n ɔ s u
úspešnejší	uː s p e ʃ ɲ e j ʃ iː
ústia	uː s c ɪ̯ a
útočníci	uː t ɔ t͡ʃ ɲ iː t͡s i
útulok	uː t u l ɔ k
úzku	uː s k u
úľava	uː ʎ a v a
čaty	t͡ʃ a t i
čelnej	t͡ʃ e l ɲ e j
čes	t͡ʃ e s
čiastkových	t͡ʃ ɪ̯ a s t k ɔ v iː x
čine	t͡ʃ i ɲ e
čipy	t͡ʃ i p i
čistota	t͡ʃ i s t ɔ t a
črevné	t͡ʃ r e v n eː
čítaním	t͡ʃ iː t a ɲ iː m
ľudovou	ʎ u d ɔ v ɔ v
ľúbi	ʎ uː b i
šamorín	ʃ a m ɔ r iː n
širšia	ʃ i r ʃ ɪ̯ a
španielskych	ʃ p a ɲ ɪ̯ e l s k i x
štítov	ʃ c iː t ɔ v
ťahov	c a ɦ ɔ v
železničnou	ʒ e ʎ e z ɲ i t͡ʃ n ɔ v
žijúceho	ʒ i j uː t͡s e ɦ ɔ
žijúcim	ʒ i j uː t͡s i m
životopisy	ʒ i v ɔ t ɔ p i s i
žánri	ʒ aː n r i
admirála	a d m i r aː l a
aktom	a k t ɔ m
alfredo	a l f r e d ɔ
ao	a ɔ
architektonickej	a r x i c e k t ɔ ɲ i t͡s k e j
areálom	a r e aː l ɔ m
arriva	a rː i v a
arthura	a r d ɦ u r a
bariéra	b a r i eː r a
bariéru	b a r i eː r u
baterku	b a c e r k u
benátok	b e n aː t ɔ k
bezdrôtové	b e z d r u̯ ɔ t ɔ v eː
blbosti	b l̩ b ɔ s c i
blesky	b ʎ e s k i
bodový	b ɔ d ɔ v iː
bolia	b ɔ ʎ ɪ̯ a
bowl	b ɔ v l̩
boyd	b ɔ j t
bratranca	b r a t r a n t͡s a
brezna	b r e z n a
budovaním	b u d ɔ v a ɲ iː m
burger	b u r ɡ e r
bystricu	b i s t r i t͡s u
bábiku	b aː b i k u
básnikov	b aː s ɲ i k ɔ v
cargo	t͡s a r ɡ ɔ
celosvetové	t͡s e l ɔ s v e t ɔ v eː
change	x a n ɡ e
charakteristikou	x a r a k t e r i s t i k ɔ v
chirurgickej	x i r u r ɡ i t͡s k e j
chladu	x l a d u
chystala	x i s t a l a
civilných	t͡s i v i l n iː x
cu	t͡s u
cyklistiky	t͡s i k ʎ i s c i k i
delíme	ɟ e ʎ iː m e
desaťkrát	ɟ e s a c k r aː t
devon	ɟ e v ɔ n
dixon	ɟ i k s ɔ n
dobyť	d ɔ b i c
dodaných	d ɔ d a n iː x
doktori	d ɔ k t ɔ r i
dopadom	d ɔ p a d ɔ m
doris	d ɔ r i s
dotkli	d ɔ t k ʎ i
dracula	d r a t͡s u l a
dunlop	d u n l ɔ p
dylana	d i l a n a
dynamic	d i n a m i t͡s
dynamických	d i n a m i t͡s k iː x
ecav	e t͡s a v
efektívnosti	e f e k c iː v n ɔ s c i
egyptskej	e ɡ i p t͡s k e j
elektronickú	e l e k t r ɔ ɲ i t͡s k uː
esprit	e s p r i t
estate	e s t a c e
estetiku	e s c e t i k u
extrémny	e k s t r eː m n i
fabrika	f a b r i k a
farebnú	f a r e b n uː
firemné	f i r e m n eː
fotografom	f ɔ t ɔ ɡ r a f ɔ m
funkčnosti	f u n k t͡ʃ n ɔ s c i
garda	ɡ a r d a
generuje	ɡ e ɲ e r u j e
genetika	ɡ e n e t i k a
gram	ɡ r a m
guličky	ɡ u ʎ i t͡ʃ k i
gus	ɡ u s
génu	ɡ eː n u
hlasové	ɦ l a s ɔ v eː
hmle	ɦ m ʎ e
hmly	ɦ m l i
hnačky	ɦ n a t͡ʃ k i
hockey	ɦ ɔ t͡s k e i
hraničný	ɦ r a ɲ i t͡ʃ n iː
hraničí	ɦ r a ɲ i t͡ʃ iː
hrušky	ɦ r u ʃ k i
hádzali	ɦ aː d͡z a ʎ i
hádže	ɦ aː d͡ʒ e
hámre	ɦ aː m r e
ideológiu	i d e ɔ l ɔː ɡ i u
indikuje	i n d i k u j e
integrity	i n t e ɡ r i t i
intenzite	i n t e n z i c e
ivy	i v i
jared	j a r e t
jasným	j a s n iː m
javia	j a v ɪ̯ a
jazerách	j a z e r aː x
juhozápadnej	j u ɦ ɔ z aː p a d ɲ e j
keni	k e ɲ i
kladivom	k l a ɟ i v ɔ m
knižná	k ɲ i ʒ n aː
kolík	k ɔ ʎ iː k
komiksy	k ɔ m i k s i
konečníka	k ɔ ɲ e t͡ʃ ɲ iː k a
kontroverzné	k ɔ n t r ɔ v e r z n eː
konverzáciu	k ɔ n v e r z aː t͡s i u
kosovo	k ɔ s ɔ v ɔ
kovovej	k ɔ v ɔ v e j
kožené	k ɔ ʒ e n eː
kráv	k r aː v
krížov	k r iː ʒ ɔ v
kvarteto	k v a r c e t ɔ
kysucou	k i s u t͡s ɔ v
ladenie	l a ɟ e ɲ ɪ̯ e
latinský	l a c i n s k iː
legendárnej	ʎ e ɡ e n d aː r ɲ e j
litera	ʎ i c e r a
litvy	ʎ i t v i
maličká	m a ʎ i t͡ʃ k aː
manželské	m a n ʒ e l s k eː
marseille	m a r s e i ʎ e
mesačných	m e s a t͡ʃ n iː x
metod	m e t ɔ t
michalovi	m i x a l ɔ v i
mieril	m ɪ̯ e r i l
milovanie	m i l ɔ v a ɲ ɪ̯ e
minas	m i n a s
minerálnej	m i ɲ e r aː l ɲ e j
misu	m i s u
mocných	m ɔ t͡s n iː x
modernejšie	m ɔ ɟ e r ɲ e j ʃ ɪ̯ e
mokrá	m ɔ k r aː
monsieur	m ɔ n s ɪ̯ e u r
mrak	m r a k
muníciu	m u ɲ iː t͡s i u
myslením	m i s ʎ e ɲ iː m
myšlienkové	m i ʃ ʎ ɪ̯ e n k ɔ v eː
médiu	m eː d i u
nadmorská	n a d m ɔ r s k aː
nahradená	n a ɦ r a ɟ e n aː
nakrátko	n a k r aː t k ɔ
nebál	ɲ e b aː l
nedochádzalo	ɲ e d ɔ x aː d͡z a l ɔ
nedostalo	ɲ e d ɔ s t a l ɔ
nenormálne	ɲ e n ɔ r m aː l ɲ e
nenávisťou	ɲ e n aː v i s c ɔ v
nepochopili	ɲ e p ɔ x ɔ p i ʎ i
nepomôžu	ɲ e p ɔ m u̯ ɔ ʒ u
nepovedali	ɲ e p ɔ v e d a ʎ i
neprejde	ɲ e p r e j ɟ e
nerozumel	ɲ e r ɔ z u m e l
neskoršieho	ɲ e s k ɔ r ʃ ɪ̯ e ɦ ɔ
nespravodlivé	ɲ e s p r a v ɔ d ʎ i v eː
nevyhnutnosť	ɲ e v i ɦ n u t n ɔ s c
nezačala	ɲ e z a t͡ʃ a l a
niektorú	ɲ ɪ̯ e k t ɔ r uː
niesu	ɲ ɪ̯ e s u
niesú	ɲ ɪ̯ e s uː
nitrou	ɲ i t r ɔ v
normálnom	n ɔ r m aː l n ɔ m
nositeľa	n ɔ s i c e ʎ a
nádherných	n aː d ɦ e r n iː x
nádoru	n aː d ɔ r u
núdzový	n uː d͡z ɔ v iː
obdržali	ɔ b d r̩ ʒ a ʎ i
objavený	ɔ b j a v e n iː
obmedzenej	ɔ b m e d͡z e ɲ e j
odlišnú	ɔ d ʎ i ʃ n uː
odmietali	ɔ d m ɪ̯ e t a ʎ i
odoberá	ɔ d ɔ b e r aː
odporúčaní	ɔ t p ɔ r uː t͡ʃ a ɲ iː
oltári	ɔ l t aː r i
opravený	ɔ p r a v e n iː
organizačných	ɔ r ɡ a ɲ i z a t͡ʃ n iː x
osvedčil	ɔ s v e t͡ʃː i l
otvorím	ɔ t v ɔ r iː m
otvárame	ɔ t v aː r a m e
otáčanie	ɔ t aː t͡ʃ a ɲ ɪ̯ e
ozdobné	ɔ z d ɔ b n eː
oznámi	ɔ z n aː m i
oznámilo	ɔ z n aː m i l ɔ
pacientka	p a t͡s ɪ̯ e n t k a
partizánskej	p a r t i z aː n s k e j
pavúkov	p a v uː k ɔ v
percentá	p e r t͡s e n t aː
philadelphii	f i l a ɟ e l f i i
pierko	p ɪ̯ e r k ɔ
pivom	p i v ɔ m
platenia	p l a c e ɲ ɪ̯ a
platinum	p l a c i n u m
plotom	p l ɔ t ɔ m
plotu	p l ɔ t u
plošina	p l ɔ ʃ i n a
plutvy	p l u t v i
plynový	p l i n ɔ v iː
pocítil	p ɔ t͡s iː c i l
podobní	p ɔ d ɔ b ɲ iː
podozrivo	p ɔ d ɔ z r i v ɔ
podunajskej	p ɔ d u n a j s k e j
pohyblivosť	p ɔ ɦ i b ʎ i v ɔ s c
pokuty	p ɔ k u t i
poltár	p ɔ l t aː r
pomalá	p ɔ m a l aː
ponúknite	p ɔ n uː k ɲ i c e
popracovať	p ɔ p r a t͡s ɔ v a c
porade	p ɔ r a ɟ e
porotu	p ɔ r ɔ t u
portfólio	p ɔ r t f ɔː ʎ i ɔ
poslednému	p ɔ s ʎ e d n eː m u
postihla	p ɔ s c i ɦ l a
potu	p ɔ t u
povedalo	p ɔ v e d a l ɔ
pozemských	p ɔ z e m s k iː x
pozorovali	p ɔ z ɔ r ɔ v a ʎ i
počká	p ɔ t͡ʃ k aː
poškodili	p ɔ ʃ k ɔ ɟ i ʎ i
požití	p ɔ ʒ i c iː
pracovnou	p r a t͡s ɔ v n ɔ v
pravdivosti	p r a v ɟ i v ɔ s c i
pravdivá	p r a v ɟ i v aː
preberajú	p r e b e r a j uː
predchádzali	p r e t x aː d͡z a ʎ i
prednostne	p r e d n ɔ s t ɲ e
prednými	p r e d n iː m i
predvádza	p r e d v aː d͡z a
predĺžením	p r e d l̩ː ʒ e ɲ iː m
prehlásil	p r e ɦ l aː s i l
preháňať	p r e ɦ aː ɲ a c
premenou	p r e m e n ɔ v
presile	p r e s i ʎ e
presuňte	p r e s u ɲ c e
previedol	p r e v ɪ̯ e d ɔ l
prevodom	p r e v ɔ d ɔ m
priehrada	p r ɪ̯ e ɦ r a d a
priestorového	p r ɪ̯ e s t ɔ r ɔ v eː ɦ ɔ
priestorový	p r ɪ̯ e s t ɔ r ɔ v iː
primátorom	p r i m aː t ɔ r ɔ m
princípmi	p r i n t͡s iː p m i
priviedlo	p r i v ɪ̯ e d l ɔ
programový	p r ɔ ɡ r a m ɔ v iː
právnikom	p r aː v ɲ i k ɔ m
príbehoch	p r iː b e ɦ ɔ x
prípadnej	p r iː p a d ɲ e j
prípravkov	p r iː p r a v k ɔ v
príťažlivý	p r iː c a ʒ ʎ i v iː
putina	p u c i n a
pušku	p u ʃ k u
pálenie	p aː ʎ e ɲ ɪ̯ e
pútnik	p uː t ɲ i k
quick	k i t͡s k
rangers	r a n ɡ e r s
ranom	r a n ɔ m
regiojet	r e ɡ i ɔ j e t
relevantné	r e ʎ e v a n t n eː
renesančný	r e ɲ e s a n t͡ʃ n iː
reproduktory	r e p r ɔ d u k t ɔ r i
režisérov	r e ʒ i s eː r ɔ v
robertom	r ɔ b e r t ɔ m
rozdielny	r ɔ z ɟ ɪ̯ e l n i
rozlišuje	r ɔ z ʎ i ʃ u j e
rozpis	r ɔ s p i s
rozpustiť	r ɔ s p u s c i c
rozumiete	r ɔ z u m ɪ̯ e c e
rozširujú	r ɔ s ʃ i r u j uː
ručičiek	r u t͡ʃ i t͡ʃ ɪ̯ e k
rytierom	r i c ɪ̯ e r ɔ m
rás	r aː s
sacharidov	s a x a r i d ɔ v
said	s a i t
save	s a v e
schváliť	s x v aː ʎ i c
seth	s e t
shadow	ʃ a d ɔ v
shield	ʃ ɪ̯ e l t
skúter	s k uː c e r
slabší	s l a p ʃ iː
slobodným	s l ɔ b ɔ d n iː m
smerovania	s m e r ɔ v a ɲ ɪ̯ a
sokola	s ɔ k ɔ l a
spokojne	s p ɔ k ɔ j ɲ e
spolupracovníkmi	s p ɔ l u p r a t͡s ɔ v ɲ iː k m i
spočívala	s p ɔ t͡ʃ iː v a l a
spravodajských	s p r a v ɔ d a j s k iː x
spájali	s p aː j a ʎ i
spätný	s p æ t n iː
stajne	s t a j ɲ e
starostlivosťou	s t a r ɔ s t ʎ i v ɔ s c ɔ v
starovekých	s t a r ɔ v e k iː x
starému	s t a r eː m u
strhnúť	s t r̩ ɦ n uː c
stropom	s t r ɔ p ɔ m
stupnici	s t u p ɲ i t͡s i
stým	s t iː m
svitu	s v i t u
svojími	s v ɔ j iː m i
syd	s i t
súmraku	s uː m r a k u
súrodencami	s uː r ɔ ɟ e n t͡s a m i
súvisiaci	s uː v i s ɪ̯ a t͡s i
tanieri	t a ɲ ɪ̯ e r i
tara	t a r a
technikov	c e x ɲ i k ɔ v
tekutý	c e k u t iː
tempa	c e m p a
tenkých	c e n k iː x
tex	c e k s
tichej	c i x e j
titan	c i t a n
tmu	t m u
topoľčian	t ɔ p ɔ ʎ t͡ʃ ɪ̯ a n
trent	t r e n t
trestať	t r e s t a c
trpíte	t r̩ p iː c e
tušil	t u ʃ i l
tvorivá	t v ɔ r i v aː
ubytovať	u b i t ɔ v a c
uf	u f
umývanie	u m iː v a ɲ ɪ̯ e
užívali	u ʒ iː v a ʎ i
užívaní	u ʒ iː v a ɲ iː
varení	v a r e ɲ iː
vedomé	v e d ɔ m eː
verné	v e r n eː
vestu	v e s t u
vezmete	v e z m e c e
veľrýb	v e ʎ r iː p
viazať	v ɪ̯ a z a c
viditeľnosť	v i ɟ i c e ʎ n ɔ s c
vodorovne	v ɔ d ɔ r ɔ v ɲ e
vrtuľníky	v r̩ t u ʎ ɲ iː k i
vrásky	v r aː s k i
vybraní	v i b r a ɲ iː
vydáme	v i d aː m e
vyhľadávať	v i ɦ ʎ a d aː v a c
vypukla	v i p u k l a
vypustil	v i p u s c i l
vyriešila	v i r ɪ̯ e ʃ i l a
vyslaný	v i s l a n iː
vytrvalosť	v i t r̩ v a l ɔ s c
využilo	v i u ʒ i l ɔ
vyviesť	v i v ɪ̯ e s c
vyznáva	v i z n aː v a
vyšetrovať	v i ʃ e t r ɔ v a c
vzrušujúci	v z r u ʃ u j uː t͡s i
vášňou	v aː ʃ ɲ ɔ v
výbušnín	v iː b u ʃ ɲ iː n
výfukových	v iː f u k ɔ v iː x
výmysel	v iː m i s e l
výpomoc	v iː p ɔ m ɔ t͡s
výstrel	v iː s t r e l
welcome	v e l t͡s ɔ m e
zabudnete	z a b u d ɲ e c e
zachovaných	z a x ɔ v a n iː x
zadať	z a d a c
zakázala	z a k aː z a l a
zamestnanosť	z a m e s t n a n ɔ s c
zaniklo	z a ɲ i k l ɔ
zapríčinené	z a p r iː t͡ʃ i ɲ e n eː
zarobili	z a r ɔ b i ʎ i
zaručí	z a r u t͡ʃ iː
zastupiteľstve	z a s t u p i c e ʎ s t v e
zaznamenalo	z a z n a m e n a l ɔ
zdolala	z d ɔ l a l a
zdravotníctve	z d r a v ɔ t ɲ iː t͡s t v e
zmluvných	z m l u v n iː x
zostavená	z ɔ s t a v e n aː
zošit	z ɔ ʃ i t
zraneného	z r a ɲ e n eː ɦ ɔ
zubára	z u b aː r a
zvesti	z v e s c i
zvláštnosťou	z v l aː ʃ t n ɔ s c ɔ v
zvolenia	z v ɔ ʎ e ɲ ɪ̯ a
zásobníka	z aː s ɔ b ɲ iː k a
zástup	z aː s t u p
zúfalá	z uː f a l aː
údolím	uː d ɔ ʎ iː m
účinkovania	uː t͡ʃ i n k ɔ v a ɲ ɪ̯ a
čchi	t͡ʃ x i
čelili	t͡ʃ e ʎ i ʎ i
číselné	t͡ʃ iː s e l n eː
škále	ʃ k aː ʎ e
štandardnú	ʃ t a n d a r d n uː
štúrova	ʃ t uː r ɔ v a
štýlovo	ʃ t iː l ɔ v ɔ
železničný	ʒ e ʎ e z ɲ i t͡ʃ n iː
adekvátne	a ɟ e k v aː t ɲ e
akira	a k i r a
ami	a m i
analytické	a n a l i c i t͡s k eː
animované	a ɲ i m ɔ v a n eː
apoštoli	a p ɔ ʃ t ɔ ʎ i
archívov	a r x iː v ɔ v
asociáciou	a s ɔ t͡s i aː t͡s i ɔ v
aspektom	a s p e k t ɔ m
atómy	a t ɔː m i
automatickým	a u t ɔ m a c i t͡s k iː m
automobilové	a u t ɔ m ɔ b i l ɔ v eː
balkáne	b a l k aː ɲ e
bam	b a m
banks	b a n k s
barov	b a r ɔ v
bed	b e t
blahoželáme	b l a ɦ ɔ ʒ e l aː m e
bleskom	b ʎ e s k ɔ m
bláznivý	b l aː z ɲ i v iː
bobule	b ɔ b u ʎ e
bohatší	b ɔ ɦ a t͡ʃː iː
bory	b ɔ r i
bočná	b ɔ t͡ʃ n aː
brankárov	b r a n k aː r ɔ v
bratislavským	b r a c i s l a v s k iː m
brick	b r i t͡s k
brigádny	b r i ɡ aː d n i
buzz	b u sː
cechu	t͡s e x u
cell	t͡s e lː
centrami	t͡s e n t r a m i
cení	t͡s e ɲ iː
ceruzky	t͡s e r u s k i
chalanmi	x a l a n m i
chen	x e n
chief	x ɪ̯ e f
chodníkom	x ɔ d ɲ iː k ɔ m
chorváti	x ɔ r v aː c i
chorvátskeho	x ɔ r v aː t͡s k e ɦ ɔ
chránenom	x r aː ɲ e n ɔ m
chránila	x r aː ɲ i l a
cievnych	t͡s ɪ̯ e v n i x
civic	t͡s i v i t͡s
clarke	t͡s l a r k e
clayton	t͡s l e j t ɔ n
colt	t͡s ɔ l t
crossover	t͡s r ɔ sː ɔ v e r
cvičím	t͡s v i t͡ʃ iː m
davom	d a v ɔ m
depresívne	ɟ e p r e s iː v ɲ e
detičky	ɟ e c i t͡ʃ k i
diplomatických	ɟ i p l ɔ m a c i t͡s k iː x
dirk	ɟ i r k
displeje	ɟ i s p ʎ e j e
dlhoročné	d l̩ ɦ ɔ r ɔ t͡ʃ n eː
dohodla	d ɔ ɦ ɔ d l a
dojazd	d ɔ j a s t
dokumentujú	d ɔ k u m e n t u j uː
doménou	d ɔ m eː n ɔ v
donúti	d ɔ n uː c i
doprovod	d ɔ p r ɔ v ɔ t
dostatočnej	d ɔ s t a t ɔ t͡ʃ ɲ e j
dostávate	d ɔ s t aː v a c e
dotykový	d ɔ t i k ɔ v iː
dočasnú	d ɔ t͡ʃ a s n uː
dráme	d r aː m e
duševný	d u ʃ e v n iː
dámou	d aː m ɔ v
dátového	d aː t ɔ v eː ɦ ɔ
dávalo	d aː v a l ɔ
dôstojnosti	d u̯ ɔ s t ɔ j n ɔ s c i
egídia	e ɡ iː d i a
ekonómovia	e k ɔ n ɔː m ɔ v ɪ̯ a
elitu	e l i t u
erbu	e r b u
erp	e r p
expozíciou	e k s p ɔ z iː t͡s i ɔ v
ezra	e z r a
fabio	f a b i ɔ
false	f a l s e
farmácie	f a r m aː t͡s i̯ ɛ
fascinujúci	f a s t͡s i n u j uː t͡s i
field	f ɪ̯ e l t
filmovým	f i l m ɔ v iː m
filtrov	f i l t r ɔ v
financované	f i n a n t͡s ɔ v a n eː
finančnom	f i n a n t͡ʃ n ɔ m
finálnej	f i n aː l ɲ e j
fl	f l̩
flóra	f l ɔː r a
forbes	f ɔ r b e s
fotografa	f ɔ t ɔ ɡ r a f a
fuj	f u j
gaga	ɡ a ɡ a
galileo	ɡ a ʎ i ʎ e ɔ
gender	ɡ e n ɟ e r
ginger	ɡ i n ɡ e r
grafe	ɡ r a f e
graves	ɡ r a v e s
het	ɦ e t
histórií	ɦ i s t ɔː r i iː
hlasovalo	ɦ l a s ɔ v a l ɔ
horolezcov	ɦ ɔ r ɔ ʎ e s t͡s ɔ v
hostinu	ɦ ɔ s c i n u
hrdosti	ɦ r̩ d ɔ s c i
hromadná	ɦ r ɔ m a d n aː
hrúbke	ɦ r uː p k e
huta	ɦ u t a
hybridné	ɦ i b r i d n eː
ikarus	i k a r u s
indexom	i n d e k s ɔ m
indických	i n ɟ i t͡s k iː x
individuálneho	i n d i v i d u aː l ɲ e ɦ ɔ
individuálnu	i n d i v i d u aː l n u
informáciou	i n f ɔ r m aː t͡s i ɔ v
intenzívneho	i n t e n z iː v ɲ e ɦ ɔ
intuícia	i n t u iː t͡s i a
inštitútom	i n ʃ c i t uː t ɔ m
istými	i s t iː m i
jedinečnosť	j e ɟ i ɲ e t͡ʃ n ɔ s c
ježišu	j e ʒ i ʃ u
jiřího	j i ʃ iː ɦ ɔ
jpeg	j p e k
juliette	j u ʎ ɪ̯ e tː e
kanálmi	k a n aː l m i
karoséria	k a r ɔ s eː r i a
kiež	k ɪ̯ e ʃ
klasicky	k l a s i t͡s k i
kniežaťa	k ɲ ɪ̯ e ʒ a c a
kokos	k ɔ k ɔ s
kolégium	k ɔ l eː ɡ i u m
konečnou	k ɔ ɲ e t͡ʃ n ɔ v
kontrolné	k ɔ n t r ɔ l n eː
konvoj	k ɔ n v ɔ j
konštatuje	k ɔ n ʃ t a t u j e
koľkých	k ɔ ʎ k iː x
košicami	k ɔ ʃ i t͡s a m i
kras	k r a s
kriminality	k r i m i n a l i t i
kryl	k r i l
krásnym	k r aː s n i m
kúpnej	k uː p ɲ e j
kúrie	k uː r ɪ̯ e
laboratórnych	l a b ɔ r a t ɔː r n i x
lance	l a n t͡s e
laptop	l a p t ɔ p
laserový	l a s e r ɔ v iː
lewisa	ʎ e v i s a
loga	l ɔ ɡ a
logom	l ɔ ɡ ɔ m
láka	l aː k a
magazíne	m a ɡ a z iː ɲ e
marine	m a r i ɲ e
masovo	m a s ɔ v ɔ
meder	m e ɟ e r
medze	m e d͡z e
medzeru	m e d͡z e r u
meníme	m e ɲ iː m e
metropole	m e t r ɔ p ɔ ʎ e
mierna	m ɪ̯ e r n a
miestnemu	m ɪ̯ e s t ɲ e m u
milwaukee	m i l v a u k eː
minimálnym	m i ɲ i m aː l n i m
mladíka	m l a ɟ iː k a
mobilom	m ɔ b i l ɔ m
monty	m ɔ n t i
motýľov	m ɔ t iː ʎ ɔ v
nadaný	n a d a n iː
nahrávaní	n a ɦ r aː v a ɲ iː
nahrávke	n a ɦ r aː v k e
najmladších	n a j m l a t͡ʃː iː x
najvyššími	n a j v i ʃː iː m i
napadnuté	n a p a d n u t eː
napájané	n a p aː j a n eː
nasledovníkov	n a s ʎ e d ɔ v ɲ iː k ɔ v
natáčaní	n a t aː t͡ʃ a ɲ iː
naučíš	n a u t͡ʃ iː ʃ
navy	n a v i
načasovanie	n a t͡ʃ a s ɔ v a ɲ ɪ̯ e
nebeskej	ɲ e b e s k e j
nebezpečného	ɲ e b e s p e t͡ʃ n eː ɦ ɔ
nebezpečným	ɲ e b e s p e t͡ʃ n iː m
nedostatočný	ɲ e d ɔ s t a t ɔ t͡ʃ n iː
neistý	ɲ e i s t iː
nepovedia	ɲ e p ɔ v e ɟ ɪ̯ a
nepravidelné	ɲ e p r a v i ɟ e l n eː
neskoré	ɲ e s k ɔ r eː
netušili	ɲ e t u ʃ i ʎ i
nevyšla	ɲ e v i ʃ l a
nexus	ɲ e k s u s
nezamestnaných	ɲ e z a m e s t n a n iː x
nezískal	ɲ e z iː s k a l
nicky	ɲ i t͡s k i
niekoľkonásobne	ɲ ɪ̯ e k ɔ ʎ k ɔ n aː s ɔ b ɲ e
normou	n ɔ r m ɔ v
nácvik	n aː t͡s v i k
nálože	n aː l ɔ ʒ e
návrhár	n aː v r̩ ɦ aː r
obchádza	ɔ p x aː d͡z a
obciam	ɔ p t͡s ɪ̯ a m
obdobné	ɔ b d ɔ b n eː
obhajoby	ɔ b ɦ a j ɔ b i
objavov	ɔ b j a v ɔ v
objektívy	ɔ b j e k c iː v i
obkľúčili	ɔ p k ʎ uː t͡ʃ i ʎ i
obnovení	ɔ b n ɔ v e ɲ iː
obnovil	ɔ b n ɔ v i l
obrábanie	ɔ b r aː b a ɲ ɪ̯ e
obsadenia	ɔ p s a ɟ e ɲ ɪ̯ a
obávajú	ɔ b aː v a j uː
občianskou	ɔ p t͡ʃ ɪ̯ a n s k ɔ v
odbornou	ɔ d b ɔ r n ɔ v
odchádzame	ɔ t x aː d͡z a m e
oddávna	ɔ dː aː v n a
odhalená	ɔ d ɦ a ʎ e n aː
odozva	ɔ d ɔ z v a
odvahou	ɔ d v a ɦ ɔ v
odvádzať	ɔ d v aː d͡z a c
odvážna	ɔ d v aː ʒ n a
og	ɔ k
ohiu	ɔ ɦ ɪ̯ u
omietky	ɔ m ɪ̯ e t k i
opatreniami	ɔ p a t r e ɲ ɪ̯ a m i
opatrovateľka	ɔ p a t r ɔ v a c e ʎ k a
opačné	ɔ p a t͡ʃ n eː
opozičných	ɔ p ɔ z i t͡ʃ n iː x
opustení	ɔ p u s c e ɲ iː
ostatného	ɔ s t a t n eː ɦ ɔ
osvedčenie	ɔ s v e t͡ʃː e ɲ ɪ̯ e
otáčať	ɔ t aː t͡ʃ a c
ovládla	ɔ v l aː d l a
oválne	ɔ v aː l ɲ e
ozajstné	ɔ z a j s t n eː
oznámení	ɔ z n aː m e ɲ iː
ošípaných	ɔ ʃ iː p a n iː x
paige	p a i ɡ e
palcový	p a l t͡s ɔ v iː
palicu	p a ʎ i t͡s u
paniku	p a ɲ i k u
papieroch	p a p ɪ̯ e r ɔ x
parná	p a r n aː
pastieri	p a s c ɪ̯ e r i
patriot	p a t r i ɔ t
pavilón	p a v i l ɔː n
pevnými	p e v n iː m i
pečenie	p e t͡ʃ e ɲ ɪ̯ e
pijeme	p i j e m e
pko	p k ɔ
platba	p l a d b a
plodmi	p l ɔ d m i
plánovanú	p l aː n ɔ v a n uː
plášťom	p l aː ʃ c ɔ m
pochádzala	p ɔ x aː d͡z a l a
podnikových	p ɔ d ɲ i k ɔ v iː x
podporovateľov	p ɔ t p ɔ r ɔ v a c e ʎ ɔ v
podpísaní	p ɔ t p iː s a ɲ iː
podvedomie	p ɔ d v e d ɔ m ɪ̯ e
pohľadávok	p ɔ ɦ ʎ a d aː v ɔ k
poistné	p ɔ i s t n eː
pokladom	p ɔ k l a d ɔ m
pomaličky	p ɔ m a ʎ i t͡ʃ k i
pomstu	p ɔ m s t u
ponúkala	p ɔ n uː k a l a
popravu	p ɔ p r a v u
popriať	p ɔ p r ɪ̯ a c
poprosila	p ɔ p r ɔ s i l a
portrétov	p ɔ r t r eː t ɔ v
posedenie	p ɔ s e ɟ e ɲ ɪ̯ e
