אבל	a v a l
בהתרסקות	b e h i t ʁ a s k u t
בידיך	b i d i χ
ביק	b i k
במיתולוגיה	b e m i t u l o ɡ j a
בסירוב	b e s i ʁ u v
בריאותם	b ʁ i u t e m
בשרוול	b i ʃ ʁ a v e l
בתביעת	b i t b i a t
בתול	b a t u l
בתשלומי	b i t ʃ a l u m i
גודווין	ɡ o d v i n
גולי	ɡ o l i
גרטי	ɡ a ʁ t i
דהנה	d a h a n a
דהרי	d a h a ʁ i
דחא	d a χ a
דידן	d i d e n
האדמירל	h e e d m i ʁ e l
האיטית	h e i t i t
האתרוג	h e e t ʁ u ɡ
הבהירים	h i v h i ʁ i m
הבלוז	h i v l u z
הגלילית	h i ɡ l i l i t
הדום	h a d u m
הדרכונים	h i d ʁ a χ o n i m
הוסב	h o s e v
הזנת	h i z n e t
הטמונה	h i t m o n a
הטעון	h i t o n
היברידי	h i b ʁ i d i
היון	h i j o n
היזמים	h i z m i m
היס	h i s
הישירות	h i ʃ i ʁ u t
הכבאים	h i χ b a i m
הכשרתם	h i χ ʃ a ʁ t e m
המחקרי	h i m χ a k a ʁ i
המתאם	h i m t a m
המתגלה	h i m t a ɡ l a
הנוי	h a n u j
הנחקרים	h i n χ a k a ʁ i m
הנחתה	h i n χ a t a
הסביבתית	h i s b i v t i t
הסגולי	h i s ɡ o l i
הסדק	h i s d e k
הסדרתי	h i s d e ʁ t i
הספל	h i s p e l
הפירמידות	h i f i ʁ m i d u t
הצטערתי	h i t͡s t a ʁ t i
הציניות	h i t͡s i n j u t
הצלקת	h i t͡s l e k e t
הצרעה	h i t͡s ʁ a a
הקינות	h i k i n u t
הקשבת	h i k ʃ e v e t
הקתולי	h i k t u l i
הרגישים	h i ʁ ɡ i ʃ i m
הרחבים	h i ʁ χ a v i m
הריקות	h a ʁ i k u t
הרמיוני	h i ʁ m j o n i
השבתה	h i ʃ b a t a
השתרע	h i ʃ t a ʁ a
התאונות	h i t o n u t
התנה	h i t n a
התרחקות	h i t ʁ a χ k u t
ואיבד	v e i v e d
והוצא	v e h u t͡s a
והעמידה	v e e m i d a
וזכור	v i z k o ʁ
וזמרת	v i z m e ʁ e t
וחילוניים	v e χ i l o n j i m
וחתימה	v a χ t i m a
ויוה	v i v a
ולאף	v a l a f
ולילות	v e l i l u t
ומשנת	v i m ʃ e n e t
ומתקן	v i m t k a n
ונחיה	v i n χ i j a
וקנאה	v a k n a
ורמות	v a ʁ m u t
ורשימת	v a ʁ ʃ i m e t
ושמאלה	v i ʃ m a l a
זירא	z i ʁ a
חבוש	χ a v u ʃ
חיסולו	χ i s u l u
חישב	χ i ʃ e v
חסומים	χ a s u m i m
חסותה	χ a s u t a
חקק	χ a k a k
חשבוניות	χ a ʃ b o n j u t
טולי	t o l i
טיפשי	t i p ʃ i
יחסינו	j a χ s i n u
יכ	j a χ
ינוח	j a n u a χ
ינחם	j a n χ a m
יתגשם	j i t ɡ e ʃ e m
כיכב	k i χ e v
כסה	k a s a
כרוכות	k ʁ u χ u t
לדימוי	l a d i m u j
לדר	l a d a ʁ
להוריש	l e h o ʁ i ʃ
להניב	l a h a n i v
לזמנו	l i z m a n u
לטירת	l a t i ʁ e t
ליהי	l i h i
למסד	l i m s e d
למסירת	l i m s i ʁ e t
לנמנם	l i n m a n a m
לנתוני	l i n t o n i
לפרקליטות	l i p ʁ a k l i t u t
לשבירת	l i ʃ b i ʁ e t
לתמורה	l i t m u ʁ a
לתקנון	l i t k a n o n
מגדילים	m a ɡ d i l i m
מדות	m a d u t
מותאמות	m o t a m u t
מזנק	m i z n e k
מחבריי	m a χ b a ʁ a j
מחרוזות	m a χ ʁ u z u t
מיוצאי	m i j u t͡s a j
מיחידות	m i χ i d u t
מיעט	m i a t
מיצירות	m i t͡s i ʁ u t
מיקומים	m i k u m i m
מלחינים	m a l χ i n i m
מלשן	m a l ʃ a n
ממנים	m a m a n i m
מנגל	m i n ɡ e l
מסיח	m a s i a χ
מסקנותיה	m a s k a n u t j a
מעילי	m e i l i
מעמ	m a a m
מקיי	m a k a j
מקסיקנית	m a k s i k a n i t
מרחיקה	m a ʁ χ i k a
מרמזים	m a ʁ m a z i m
משפ	m a ʃ a f
מתאבל	m i t a b e l
מתפרנסים	m i t p a ʁ n a s i m
נגמרות	n i ɡ m a ʁ u t
נטיעה	n i t i a
נימק	n i m e k
נלקחים	n i l k a χ i m
נשללה	n i ʃ l a l a
סופגניות	s o f ɡ a n j u t
סינתטי	s i n t a t i
סירבתי	s i ʁ b a t i
סירים	s i ʁ i m
עדותם	a d u t e m
עורכות	o ʁ χ u t
עלילתי	a l i l t i
עמיתיהם	a m i t j a m
עצירים	a t͡s i ʁ i m
עקבותיהם	a k b u t j a m
עקיצות	a k i t͡s u t
ערמונים	a ʁ m o n i m
ערר	a ʁ a ʁ
עתודות	a t u d u t
עתון	a t o n
פיננסים	p i n a n s i m
פיסקה	p i s k a
פיקדון	p i k d o n
פליאה	p l i a
צבור	t͡s a v u ʁ
צובה	t͡s o v a
צוער	t͡s o a ʁ
צורכים	t͡s o ʁ χ i m
צמחוניים	t͡s a m χ o n a j i m
קבין	k a v i n
קובו	k o v o
קונדומים	k o n d u m i m
קיימברידג	k a j i m b ʁ i d e ɡ
קרוהן	k a ʁ v a n
רוגל	ʁ o ɡ e l
רוזמרי	ʁ o z m a ʁ i
רומה	ʁ o m a
רומיים	ʁ o m a j i m
שהאם	ʃ a h a m
שהעתיד	ʃ e e t i d
שהתגורר	ʃ e h i t ɡ o ʁ e ʁ
שומנים	ʃ o m a n i m
שינקין	ʃ i n k i n
שיפוע	ʃ i p u a
שלגי	ʃ a l a ɡ i
שמוצאו	ʃ m u t͡s a u
שמעתה	ʃ i m a t a
שמציגים	ʃ i m t͡s i ɡ i m
שנטען	ʃ i n t a n
שנתקל	ʃ i n t a k e l
שעזרה	ʃ a a z a ʁ a
שריטה	ʃ ʁ i t a
ששינתה	ʃ ʃ i n t a
שתספר	ʃ i t s p e ʁ
תגלי	t a ɡ l i
תגע	t a ɡ a
תוס	t o s
תימא	t i m a
תסמוך	t a s m u χ
תתקדם	t i t k a d e m
did	d i d
ep	e p
gun	ɡ u n
while	w i l e
אביהו	a v i h u
אדוקים	a d u k i m
אובחנו	o v χ a n u
אווזים	a v a z i m
אלאור	a l o ʁ
אנחה	a n a χ a
אפורות	a f u ʁ u t
אקטואליים	a k t u a l a j i m
אתל	a t a l
בדוחק	b a d u χ a k
בהיגיון	b e h i ɡ j o n
ביסודה	b i s u d a
ביצענו	b i t͡s a n u
בישובים	b i ʃ u v i m
בלחיצה	b a l χ i t͡s a
בלס	b a l a s
בניקוי	b e n i k o j
בעשן	b a a ʃ a n
בקלי	b a k l i
ברגן	b a ʁ ɡ a n
ברות	b a ʁ u t
ברקו	b a ʁ a k o
ברקיע	b a ʁ k i a
בשיש	b e ʃ i ʃ
בשקרים	b i ʃ k a ʁ i m
גבירתי	ɡ v i ʁ t i
גראנט	ɡ a ʁ a n t
גריר	ɡ ʁ i ʁ
דבלין	d a v l i n
דיזינגוף	d i z i n ɡ o f
דקיק	d k i k
דרבן	d a ʁ b a n
דרן	d a ʁ a n
האמנו	h e e m a n u
האמפרי	h e e m p a ʁ i
הגרילה	h i ɡ ʁ i l a
ההדדי	h e h a d e d i
ההורמון	h e h o ʁ m o n
הודאות	h o d a u t
הוקדשה	h o k d e ʃ a
הזימון	h i z i m o n
הזמינים	h i z m i n i m
החתומים	h i χ t u m i m
הטביעו	h i t b i u
הטלסקופ	h i t l a s k o f
היומיומיים	h i j u m j o m a j i m
הילי	h i l i
היר	h i ʁ
היתושים	h i t u ʃ i m
הכותבת	h i χ u t e v e t
המאיר	h i m i ʁ
המחסנים	h i m χ a s a n i m
המעידות	h i m i d u t
המשאלות	h i m ʃ a l u t
המשכיל	h i m ʃ k i l
המתיחה	h i m t i χ a
הנהנה	h i n h a n a
הציפורן	h i t͡s i p o ʁ a n
הקטנטן	h i k t a n t a n
הקריטי	h i k ʁ i t i
הרסט	h i ʁ s e t
השדר	h i ʃ d e ʁ
השחתת	h i ʃ χ a t e t
השיפוטי	h i ʃ i p u t i
השכילו	h i ʃ k i l u
השתיה	h i ʃ t j a
התגרות	h i t ɡ a ʁ u t
התדרדרות	h i t d a ʁ d a ʁ u t
התוודה	h i t v a d a
התחזות	h i t χ a z u t
התייחסויות	h i t j a χ s u j u t
התמרון	h i t m a ʁ o n
התעסקות	h i t a s k u t
התפרצה	h i t p a ʁ t͡s a
התקני	h i t k a n i
ודה	v a d a
ודיבור	v e d i b u ʁ
והועבר	v e h o a v e ʁ
והערים	v e e ʁ i m
ויגיעו	v i ɡ i u
וידועים	v i d u i m
ויטאל	v i t a l
ויעילה	v i i l a
ולילי	v e l i l i
וליצירת	v e l i t͡s i ʁ e t
ומספקת	v i m s p e k e t
ומפורסם	v i m p o ʁ s e m
ועמוקה	v e a m u k a
וקשים	v a k ʃ i m
ושיח	v e ʃ i a χ
ושמנים	v i ʃ m a n i m
ותפקיד	v i t p a k i d
ותשוקה	v i t ʃ u k a
זריף	z a ʁ i f
חדשותי	χ a d a ʃ u t i
חומד	χ o m e d
חטאיו	χ a t a j u
חידוד	χ i d u d
חיימוביץ	χ a j m u v i t͡s
חילקה	χ i l k a
חלוצית	χ a l u t͡s i t
חמרה	χ a m a ʁ a
חסינים	χ a s i n i m
טבור	t a v u ʁ
טווין	t a v i n
טוטאלית	t o t a l i t
טורקית	t o ʁ k i t
טיפין	t i p i n
טיק	t i k
טרחתי	t a ʁ a χ t i
טרקלין	t a ʁ k a l i n
יבנאל	j a v n a e l
יגנו	j a ɡ a n u
ידליק	j a d l i k
יוצאו	j o t͡s a u
יחוש	j a χ u ʃ
ייצוגי	j i t͡s u ɡ i
כהנה	k a h a n a
כוחנו	k o χ a n u
כיב	k i v
כמצופה	k a m t͡s u f a
כרכי	k a ʁ k i
לאחותה	l e a χ u t a
להשתוות	l e h i ʃ t a v e t
לודג	l o d e ɡ
לוועידת	l a v i d e t
ליכולות	l i χ u l u t
למזונות	l i m z o n u t
לעיניו	l a i n j u
לצער	l i t͡s a ʁ
לקווים	l a k v i m
לקחי	l a k χ i
לשחקנית	l i ʃ χ a k a n i t
לשליש	l i ʃ l i ʃ
לשעבד	l i ʃ a v e d
מגב	m a ɡ a v
מהיסוד	m e h i s u d
מוזג	m u z a ɡ
מופרע	m o f ʁ a
מחלתה	m a χ l a t a
מחפשי	m a χ p a ʃ i
מחשבתית	m a χ ʃ a v t i t
מטפלות	m i t p a l u t
מיאו	m i u
מיג	m i ɡ
מיקל	m i k e l
מלגזה	m a l ɡ a z a
ממעט	m a m a t
ממקסיקו	m a m k a s i k o
מסלע	m a s l a
מסקרה	m i s k a ʁ a
מסתוריות	m a s t o ʁ j u t
מעייפות	m a a j a f u t
מען	m a a n
מצ	m a t͡s
מקווין	m a k v i n
מרחיקת	m a ʁ χ i k e t
משעתיים	m i ʃ a t a j i m
מתאבק	m i t a b e k
נבא	n a v a
נבצר	n i v t͡s a ʁ
נהי	n a h i
נודר	n o d e ʁ
נזיד	n i z i d
ניבא	n i b a
ניגונים	n i ɡ o n i m
ניה	n i j a
ניהיה	n i h i j a
נימי	n i m i
נצנצים	n i t͡s n a t͡s i m
נקמות	n i k m u t
נשענים	n i ʃ a n i m
סביל	s a v i l
סיבובי	s i b u v i
סילבי	s i l b i
סיריוס	s i ʁ j o s
עדאלה	a d a l a
עיונית	i j o n i t
פאו	p a u
פגיון	p a ɡ j o n
פורמליים	p o ʁ m a l a j i m
פילם	p i l e m
פיקודי	p i k u d i
פלילים	p l i l i m
ציפר	t͡s i p e ʁ
צלילות	t͡s a l i l u t
קדשי	k a d a ʃ i
קונלי	k o n a l i
קידוד	k i d u d
קליר	k a l i ʁ
קנז	k a n a z
ראשיד	ʁ e ʃ i d
רדודים	ʁ a d u d i m
רווית	ʁ a v i t
רוחאני	ʁ o χ a n i
רוממה	ʁ o m a m a
רמזתי	ʁ a m z a t i
שביים	ʃ a v a j i m
שדנו	ʃ a d a n u
שחשו	ʃ a χ ʃ u
שיגרתי	ʃ i ɡ ʁ a t i
שיוצרת	ʃ i j u t͡s a ʁ a t
שיפנה	ʃ i p a n a
שיצאנו	ʃ i t͡s a n u
שירגיש	ʃ i ʁ ɡ i ʃ
שמבוססת	ʃ i m b o s e s e t
שמיום	ʃ i m j u m
שמקיים	ʃ i m k a j i m
תסמיני	t a s m i n i
beat	b e a t
stars	s t a r s
table	t a b l e
united	u n i t e d
אובחנה	o v χ a n a
אוטיס	o t i s
אולסן	o l s a n
איחרה	i χ a ʁ a
איטיות	i t j u t
אילמת	i l e m e t
אינס	i n e s
אישומים	i ʃ u m i m
אמית	a m i t
אספות	a s p u t
אפלות	a f l u t
ארגונו	a ʁ ɡ o n u
בגפו	b a ɡ a f u
בהצלחת	b e h i t͡s l a χ e t
בהקצאת	b e h i k t͡s a t
בחביות	b a χ a v j u t
בחשיפת	b a χ ʃ i f e t
ביבוא	b i b u
בילוש	b i l u ʃ
בלמי	b a l a m i
בניזרי	b e n i z a ʁ i
בנימיני	b e n i m i n i
בנפילה	b e n e f i l a
בעיירת	b a a j a ʁ e t
בענינים	b a a n i n i m
ברכבי	b a ʁ k a v i
בשמיעה	b i ʃ m i a
בשפתם	b i ʃ p a t e m
בתצוגת	b i t t͡s u ɡ e t
גבישי	ɡ v i ʃ i
גורלית	ɡ o ʁ l i t
גילון	ɡ i l o n
גימיק	ɡ i m i k
גירשו	ɡ i ʁ ʃ u
גננות	ɡ a n a n u t
דוגלת	d o ɡ e l e t
דוחקים	d o χ a k i m
דוכין	d o χ i n
דולה	d o l a
דעלמא	d a a l m a
האילנות	h e i l a n u t
האינסוף	h e i n s u f
האנרכיסטים	h e e n ʁ e χ i s t i m
הגיחה	h i ɡ i χ a
הגירת	h i ɡ i ʁ e t
הגנוזות	h i ɡ n u z u t
ההאשמה	h e e ʃ e m a
ההעדפה	h e e d e f a
ההשתלה	h e h i ʃ t e l a
הוז	h o z
החנקן	h i χ n e k a n
הטיפה	h i t i f a
הטיפולית	h i t i p u l i t
הטעינה	h i t i n a
הטרידה	h i t ʁ i d a
הלוע	h a l u a
המאסף	h i m a s e f
המזעזע	h i m z a z a
המזרקה	h i m z a ʁ k a
המעכב	h i m a χ e v
המפורטות	h i m p o ʁ t u t
המפרסם	h i m p a ʁ s e m
המרינה	h i m ʁ i n a
המשאלה	h i m ʃ a l a
המתיר	h i m t i ʁ
המתקשר	h i m t a k ʃ e ʁ
הנגוע	h i n ɡ u a
הנדיבה	h i n d i v a
הסברנו	h i s b ʁ a n u
הסגרה	h i s ɡ a ʁ a
הסילון	h i s i l o n
הסתפקה	h i s t a p e k a
העיפו	h e i f u
הפיסול	h i f i s u l
הפלאים	h i f l a i m
הציות	h i t͡s j u t
הקובני	h i k o v a n i
הקיפה	h i k i f a
הקיצור	h i k i t͡s o ʁ
הרצת	h i ʁ t͡s e t
השגויה	h i ʃ ɡ u j a
השוותה	h i ʃ v a t a
השיעים	h i ʃ i i m
השיפוצים	h i ʃ i p u t͡s i m
השרביט	h i ʃ ʁ a b i t
השתל	h i ʃ t e l
התיישנות	h i t j a ʃ a n u t
התמימה	h i t m i m a
התעסק	h i t a s e k
ואילן	v e i l e n
ואימון	v e i m o n
וורשה	v a ʁ ʃ a
ויסטה	v i s t a
וישים	v i ʃ i m
ומציל	v i m t͡s i l
ומשונות	v i m ʃ o n u t
וניצל	v e n i t͡s e l
ונס	v a n a s
ורגישות	v a ʁ ɡ i ʃ u t
חזותיים	χ a z u t a j i m
חיבקה	χ i b k a
חלליות	χ a l a l j u t
חסכונות	χ a s k o n u t
חציתי	χ a t͡s i t i
טריניטי	t ʁ i n i t i
יגון	j a ɡ o n
יישמר	j i ʃ m e ʁ
יכללו	j a χ l a l u
יעמיד	j a a m i d
יקנעם	j a k n a a m
ככול	k a χ u l
כלאו	k a l a u
כמנצח	k a m a n t͡s a χ
כמרכיב	k a m a ʁ k i v
כרונולוגית	k ʁ o n o l o ɡ i t
כשיטה	k ʃ i t a
לאחיה	l e a χ j a
להבעיר	l e h a v i ʁ
להטמיע	l e h i t m i a
להיכתב	l e h i χ t e v
להתארגנות	l e h i t a ʁ ɡ a n u t
להתמוטט	l e h i t m u t e t
להתנקות	l e h i t n a k u t
לטחון	l i t χ o n
ליצורים	l i t͡s u ʁ i m
ליריב	l i ʁ i v
לישב	l i ʃ e v
למדתם	l i m d a t e m
למענק	l i m a n e k
למתנה	l i m t a n a
לנאמנות	l i n a m a n u t
לעיקרון	l e i k a ʁ o n
לצנן	l a t͡s n a n
לרעב	l a ʁ a v
לשבתות	l i ʃ b a t u t
לתקרה	l i t k a ʁ a
מדאגה	m a d a ɡ a
מהיהדות	m e h i h a d u t
מזדהים	m i z d a h i m
מחשיבה	m a χ ʃ i v a
מיובשים	m i j u v ʃ i m
מיומנת	m i j u m e n t
מעסקי	m a a s k i
מפיה	m a f j a
מקסיקנים	m a k s i k a n i m
מרדית	m a ʁ d i t
מרכיבה	m a ʁ k i v a
משגעים	m i ʃ ɡ a i m
משמחים	m i ʃ m a χ i m
מתחזים	m i t χ a z i m
מתפנה	m i t p a n a
נחגוג	n a χ ɡ u ɡ
ניחוחות	n i χ u χ u t
נייס	n a j a s
נימול	n i m u l
ניראת	n i ʁ a t
נצחיים	n i t͡s χ a j i m
נתקף	n i t k e f
סגי	s a ɡ i
סטורי	s t u ʁ i
סטייקים	s t a j a k i m
סייגים	s a j a ɡ i m
סמו	s a m u
עגומה	a ɡ u m a
עלא	a l a
ענב	a n a v
ענייניו	a n j a n j u
עסיסית	a s i s i t
עקשנית	a k ʃ a n i t
ערלה	a ʁ l a
פוך	p o χ
פידבק	p i d b e k
פיזר	p i z e ʁ
פירסינג	p i ʁ s i ŋ ɡ
פרם	p a ʁ a m
צבאם	t͡s a v a m
קולטני	k o l t a n i
קונטיקט	k o n t i k t
קטוע	k a t u a
קידומת	k i d u m e t
קישואים	k i ʃ u i m
קרקוב	k a ʁ k o v
קשרה	k a ʃ a ʁ a
רוצי	ʁ o t͡s i
רחמנים	ʁ a χ m a n i m
שאישר	ʃ e i ʃ e ʁ
שאלתך	ʃ e e l t e χ
שגילם	ʃ ɡ i l e m
שדחה	ʃ a d χ a
שהוריהם	ʃ e h o ʁ j a m
שהותקנו	ʃ e h o t k a n u
שורשיה	ʃ o ʁ ʃ i j a
שינים	ʃ i n i m
שלוח	ʃ a l u a χ
שמאיים	ʃ a m a j i m
שמרנים	ʃ i m ʁ a n i m
שנופל	ʃ n o f e l
שקו	ʃ a k o
שקלי	ʃ a k l i
שרותים	ʃ a ʁ u t i m
ששילמה	ʃ ʃ i l m a
תבליט	t a v l i t
תוססת	t o s e s e t
תמוהה	t a m u h a
land	l a n d
said	s a i d
ta	t a
van	v a n
wi	w i
אא	a
אביהן	a v j a n
אגר	a ɡ a ʁ
אגרסיביות	a ɡ ʁ a s i v j u t
אהבתנו	a h a v t a n u
אופוריה	o f o ʁ j a
אחח	a χ a χ
איגודי	i ɡ u d i
איילים	a j a l i m
אליזה	a l i z a
אמנותיות	a m n u t j u t
אנריקה	a n ʁ i k a
אספיק	a s p i k
ארחיב	a ʁ χ i v
אשחק	a ʃ χ a k
בארבי	b e a ʁ b i
בבוליביה	b e v u l i v j a
בורגר	b o ʁ ɡ e ʁ
בחבורת	b a χ b u ʁ e t
בחד	b a χ a d
בחירתה	b e χ i ʁ t a
בידידות	b i d i d u t
ביליארד	b i l i a ʁ d
בפיך	b e f i χ
בריטיש	b ʁ i t i ʃ
גומה	ɡ o m a
גידים	ɡ i d i m
גריל	ɡ ʁ i l
דיווה	d i v a
דילוג	d i l u ɡ
דליפה	d l i f a
דרישותיו	d ʁ i ʃ u t j u
האמוניה	h e e m o n j a
האפוד	h e e f u d
הבבלים	h i v b e l i m
הבדוי	h i v d u j
הבעירה	h i v i ʁ a
הגדות	h i ɡ d u t
הדקים	h i d k i m
ההתמדה	h e h i t m e d a
הובהר	h o v a ʁ
הוס	h o s
הוקרן	h o k ʁ a n
הורדות	h o ʁ d u t
הזעירים	h i z i ʁ i m
הזרקה	h i z ʁ a k a
הידור	h i d u ʁ
הינן	h i n e n
היצירתית	h i t͡s i ʁ t i t
הכינויים	h i χ i n u j i m
הכנסתם	h i χ n e s t e m
הכנענים	h i χ n a a n i m
הלמן	h i l m e n
הלעג	h i l a ɡ
המאחד	h i m a χ e d
המגיש	h i m ɡ i ʃ
המרובה	h i m ʁ u v a
המתנקשים	h i m t a n k e ʃ i m
המתפלל	h i m t a p l e l
הנחמה	h i n χ a m a
הנייה	h i n j a
הספורטיבית	h i s p o ʁ t i v i t
העתידה	e e t i d a
הפיזיות	h i f i z j u t
הפלשתינאי	h i f l e ʃ t i n a j
הצפרדעים	h i t͡s p a ʁ d a i m
הקרי	h i k ʁ i
הקרס	h i k ʁ e s
הרגיע	h i ʁ ɡ i a
השאריות	h i ʃ a ʁ j u t
השוויצרי	h i ʃ v i t͡s a ʁ i
השמימה	h i ʃ m i m a
השקע	h i ʃ k a
השתחררה	h i ʃ t a χ ʁ a ʁ a
התאווה	h i t a v a
התאמן	h i t a m e n
התברואה	h i t b a ʁ u a
ואכזרי	v e a χ z a ʁ i
ובידו	v e v i d u
וההצלה	v e h a t͡s e l a
וויילס	v a j l a s
וזיהוי	v i z j a h u j
וחסידות	v a χ s i d u t
ויעלו	v i a l u
וישלם	v i ʃ l e m
ולוחות	v a l u χ u t
ומפעל	v i m p a a l
ומשני	v i m ʃ a n i
וקלי	v a k l i
זיגלר	z i ɡ l a ʁ
זייף	z a j a f
זימה	z i m a
חבה	χ a v a
חובט	χ o v e t
חזנים	χ a z a n i m
חיליק	χ i l i k
חליפי	χ a l i f i
חרמש	χ a ʁ m a ʃ
חרשים	χ a ʁ ʃ i m
טיראן	t i ʁ a n
ידיעתם	j a d i a t e m
יוטל	j o t e l
יחפה	j a χ a f a
ילידים	j a l i d i m
ימח	j a m a χ
ימכר	j i m k e ʁ
ימנו	j a m a n u
יעריך	j a a ʁ i χ
יראי	j a ʁ a j
יתמלא	j i t m a l a
יתערב	j i t a ʁ e v
כמקצוע	k a m a k t͡s u a
כפו	k a f u
לדרכם	l i d ʁ a χ e m
לזנק	l i z n e k
לחלשים	l a χ l a ʃ i m
לייצוב	l a j t͡s o v
לכיבוי	l e χ i b u j
לכרסם	l i χ ʁ a s e m
ללוד	l a l u d
לעצירה	l e a t͡s i ʁ a
לצליל	l i t͡s l i l
לצרכיהם	l i t͡s ʁ a χ j a m
לקרנות	l i k ʁ a n u t
לשבי	l i ʃ b i
לתארים	l i t a ʁ i m
מאמני	m e a m a n i
מגדוד	m a ɡ d u d
מהקצה	m e a k t͡s a
מולן	m o l a n
מזעזעים	m i z a z a i m
מחטא	m a χ t a
מחליקים	m a χ l i k i m
מטפטף	m i t p a t e f
מיגרנה	m i ɡ ʁ a n a
מיצה	m i t͡s a
מיקרוסקופ	m i k ʁ o s k o f
מיש	m i ʃ
מיתת	m i t e t
מלבוא	m a l b u
ממפעל	m i m p a a l
ממקרה	m a m k a ʁ a
ממקרי	m a m k a ʁ i
מנתקת	m i n t e k e t
מפצה	m a f t͡s a
מקדימות	m a k d i m u t
מקפיץ	m a k p i t͡s
מרדוק	m a ʁ d u k
מתחמי	m i t χ a m i
נבלים	n i v l i m
נגנז	n i ɡ n e z
נגררים	n i ɡ ʁ a ʁ i m
נובו	n o v o
נכרי	n i χ ʁ i
נצרות	n i t͡s ʁ u t
נשבעים	n i ʃ b a i m
נתקעו	n i t k a u
סארי	s e a ʁ i
סדריק	s a d ʁ i k
סופני	s o f a n i
סוק	s o k
סטר	s a t a ʁ
סמליות	s a m a l j u t
סתימות	s t i m u t
עלאא	a l a
עפיפונים	a f i p o n i m
עצבית	a t͡s b i t
פדיה	p a d j a
פורעים	p o ʁ a i m
פרדסים	p a ʁ d e s i m
פרייה	p ʁ i j a
פשיסטית	p ʃ i s t i t
קאס	k a a s
קוליים	k o l a j i m
קוסט	k o s t
קמיר	k a m i ʁ
קמץ	k a m a t͡s
קפצת	k a f a t͡s a t
קצבי	k a t͡s a v i
קרנף	k a ʁ n e f
קשי	k a ʃ i
רדומים	ʁ a d u m i m
רווה	ʁ a v a
רונאל	ʁ o n a e l
רכסים	ʁ a χ s i m
רמזורים	ʁ a m z u ʁ i m
שבעקבותיה	ʃ a v a k v u t j a
שברוסיה	ʃ a v ʁ o s j a
שגה	ʃ a ɡ a
שמרנו	ʃ i m ʁ a n u
שמתואר	ʃ i m t u a ʁ
שמתרחשת	ʃ i m t a ʁ χ e ʃ e t
שנגעו	ʃ i n ɡ a u
שניכנס	ʃ n i χ n e s
שנסגר	ʃ i n s e ɡ e ʁ
שנפסק	ʃ i n p a s e k
שנשרף	ʃ i n ʃ a ʁ e f
שריקי	ʃ ʁ i k i
שרע	ʃ a ʁ a
תאימות	t e i m u t
תגי	t a ɡ i
תזהה	t i z h a
תלושי	t a l u ʃ i
תלמודו	t a l m u d u
תמציתי	t a m t͡s i t i
seven	s e v e n
son	s o n
ya	j a
אבידר	a v i d e ʁ
אדיבות	a d i v u t
אדידס	a d i d e s
איראניות	i ʁ a n j u t
אלקיך	a l k i χ
אמתין	a m t i n
אנגלס	a ŋ ɡ l a s
אנדראה	a n d a ʁ a
אנלוגיה	a n l u ɡ j a
אפגש	a f ɡ e ʃ
אפלו	a f l u
אקדמאי	a k d a m a j
אקזוטי	a k z u t i
ארביב	a ʁ b i v
ארורה	a ʁ u ʁ a
ארקין	a ʁ k i n
באיפון	b e e f o n
