deus	d ew s
alca	ɐw k ɐ
alegrai	ɐ l e ɡ ɾ ɐj
almirantes	ɐw m i ɾ ɐ̃ t ʃ i s
andarão	ɐ̃ d ɐ ɾ ɐ̃w̃
andámos	ɐ̃ d ɐ m u s
angelicais	ɐ̃ ʒ e l i k ɐj s
antropológicas	ɐ̃ t ɾ o p o l ɔ ʒ i k ɐ s
apalaches	ɐ p ɐ l ɐ ʃ i s
aparecemos	ɐ p ɐ ɾ e s ẽ m u s
aperfeiçoaram	ɐ p e ɹ f ej s o ɐ ɾ ɐ̃w̃
apimentadas	ɐ p ĩ m ẽ t ɐ d ɐ s
apontamos	ɐ p õ t ɐ̃ m u s
apostem	ɐ p o s t ẽj̃
apraz	ɐ p ɾ ɐj s
apresentarei	ɐ p ɾ e z ẽ t ɐ ɾ ej
arnaut	ɐ ʁ n ɐw t ʃ
arrependerá	ɐ ʁ e p ẽ d e ɾ ɐ
arábias	ɐ ɾ ɐ b i ɐ s
asf	ɐ s f
asics	ɐ z i k s
aspa	ɐ s p ɐ
assediadas	ɐ s e d ʒ i ɐ d ɐ s
assimétricos	ɐ s ĩ m ɛ t ɾ i k u s
assintomático	ɐ s ĩ t o m ɐ t ʃ i k u
assovio	ɐ s o v i u
atacariam	ɐ t ɐ k ɐ ɾ i ɐ̃w̃
atravessará	ɐ t ɾ ɐ v e s ɐ ɾ ɐ
atribulado	ɐ t ɾ i b u l ɐ d u
aumentarmos	ɐ ũ m ẽ t ɐ ʁ m u s
avançará	ɐ v ɐ̃ s ɐ ɾ ɐ
avifauna	ɐ v i f ɐ ũ n ɐ
avisaremos	ɐ v i z ɐ ɾ ẽ m u s
azhar	ɐ ʒ ɐ ɹ
bacilos	b ɐ s i l u s
bagunçados	b ɐ ɡ ũ s ɐ d u s
balaclava	b ɐ l ɐ k l ɐ v ɐ
balançada	b ɐ l ɐ̃ s ɐ d ɐ
baldy	b ɐw d ʒ i
balin	b ɐ l ĩ
barga	b ɐ ʁ ɡ ɐ
barrington	b ɐ ʁ ĩ ɡ t õ
barrinhas	b ɐ ʁ ĩ ɲ ɐ s
bdo	b d u
belgica	b ew ʒ i k ɐ
belongs	b e l õ ɡ s
benfeitoria	b ẽ f ej t o ɾ i ɐ
bennington	b ẽ n ĩ ɡ t õ
benoît	b e n o i t ʃ
benvinda	b ẽ v ĩ d ɐ
binding	b ĩ d ʒ ĩ ɡ
bizantinos	b i z ɐ̃ t ʃ ĩ n u s
blat	b l ɐ t ʃ
boanoite	b o ɐ n oj t ʃ i
boicota	b oj k o t ɐ
boitatá	b oj t ɐ t ɐ
boquetes	b o k e t ʃ i s
borlas	b o ɹ l ɐ s
botica	b o t ʃ i k ɐ
brawn	b ɾ ɐw n
brichta	b ɾ i ʃ t ɐ
brigade	b ɾ i ɡ ɐ d ʒ i
bugio	b u ʒ i u
burden	b u ʁ d ẽ
buço	b u s u
cacheada	k ɐ ʃ e ɐ d ɐ
caiçaras	k ɐj s ɐ ɾ ɐ s
camerlengo	k ɐ m e ɹ l ẽ ɡ u
camil	k ɐ m iw
carles	k ɐ ɹ l i s
carlsen	k ɐ ɹ w s ẽ
carreia	k ɐ ʁ ej ɐ
castelhana	k ɐ s t e ʎ ɐ̃ n ɐ
castigam	k ɐ s t ʃ i ɡ ɐ̃w̃
catalunya	k ɐ t ɐ l ũ j ɐ
cateteres	k ɐ t e t e ɾ i s
cavern	k ɐ v e ʁ n
caçá	k ɐ s ɐ
cegado	s e ɡ ɐ d u
cerol	s e ɾ ɔ w
cervejeira	s e ʁ v e ʒ ej ɾ ɐ
chamarão	ʃ ɐ m ɐ ɾ ɐ̃w̃
chapin	ʃ ɐ p ĩ
chinook	ʃ ĩ n o o k
chorasse	ʃ o ɾ ɐ s i
chrono	ʃ ɾ õ n u
cinemax	s ĩ n e m ɐ k s
ciática	s i ɐ t ʃ i k ɐ
clichés	k l i ʃ ɛ s
cobrei	k o b ɾ ej
coincidencia	k o ĩ s i d ẽ s i ɐ
collants	k ow l ɐ̃ t ʃ s
comporto	k õ p o ɹ t u
comprarmos	k õ p ɾ ɐ ʁ m u s
concilio	k õ s i l i u
conclusao	k õ k l u z ɐw
concurseiro	k õ k u ɹ s ej ɾ u
condon	k õ d õ
configuradas	k õ f i ɡ u ɾ ɐ d ɐ s
confiscação	k õ f i s k ɐ s ɐ̃w̃
cong	k õ ɡ
congelação	k õ ʒ e l ɐ s ɐ̃w̃
conhe	k õ ɲ i
conheca	k o ɲ e k ɐ
consertados	k õ s e ɹ t ɐ d u s
constrangedores	k õ s t ɾ ɐ̃ ʒ e d o ɾ i s
contactados	k õ t ɐ k t ɐ d u s
contagiando	k õ t ɐ ʒ i ɐ̃ d u
conterrânea	k õ t e ʁ ɐ̃ n e ɐ
conviction	k õ v i k t ʃ i õ
correlacionar	k o ʁ e l ɐ s i o n ɐ ɹ
costs	k o s t ʃ s
criaturinhas	k ɾ i ɐ t u ɾ ĩ ɲ ɐ s
criptas	k ɾ i p t ɐ s
crossovers	k ɾ o s o v e ɹ s
cto	k t u
curativa	k u ɾ ɐ t ʃ i v ɐ
cursiva	k u ɹ s i v ɐ
curtinhas	k u ɹ t ʃ ĩ ɲ ɐ s
curzon	k u ʁ z õ
cuz	k uj s
céptico	s ɛ p t ʃ i k u
dak	d ɐ k
davison	d ɐ v i z õ
deals	d e ɐw s
debata	d e b ɐ t ɐ
debaterem	d e b ɐ t e ɾ ẽj̃
decai	d e k ɐj
defend	d e f ẽ d ʒ
delevingne	d e l e v ĩ ɡ n i
delight	d e l i ɡ t ʃ
delimitados	d e l ĩ m i t ɐ d u s
denunciantes	d e n ũ s i ɐ̃ t ʃ i s
depositamos	d e p o z i t ɐ̃ m u s
desacelerando	d e z ɐ s e l e ɾ ɐ̃ d u
descarregados	d e s k ɐ ʁ e ɡ ɐ d u s
described	d e s k ɾ i b e d ʒ
desencorajado	d e z ẽ k o ɾ ɐ ʒ ɐ d u
desistirá	d e z i s t ʃ i ɾ ɐ
detenham	d e t ẽ ɲ ɐ̃w̃
detonados	d e t o n ɐ d u s
devorá	d e v o ɾ ɐ
diaspora	d ʒ i ɐ s p o ɾ ɐ
difamatória	d ʒ i f ɐ m ɐ t ɔ ɾ i ɐ
diferenciações	d ʒ i f e ɾ ẽ s i ɐ s õj̃ s
dilsinho	d ʒ iw s ĩ ɲ u
dinha	d ʒ ĩ ɲ ɐ
diocleciano	d ʒ i o k l e s i ɐ̃ n u
diorama	d ʒ i o ɾ ɐ̃ m ɐ
direcao	d ʒ i ɾ e k ɐw
disfrutar	d ʒ i s f ɾ u t ɐ ɹ
disléxico	d ʒ i s l ɛ k s i k u
dispneia	d ʒ i s p n ej ɐ
dite	d ʒ i t ʃ i
divertidíssimo	d ʒ i v e ɹ t ʃ i d i s ĩ m u
dle	d l i
dmca	d ʒ m k ɐ
dobragem	d o b ɾ ɐ ʒ ẽj̃
donghae	d õ ɡ ɐj
dà	d ɐ
ebb	e b b
efetuam	e f e t u ɐ̃w̃
efémero	e f ɛ m e ɾ u
eletricos	e l e t ɾ i k u s
eletrificada	e l e t ɾ i f i k ɐ d ɐ
eletrólito	e l e t ɾ ɔ l i t u
eliminarem	e l ĩ m ĩ n ɐ ɾ ẽj̃
ellos	ɛw l u s
elric	ew ɾ i k
embarcarem	ẽ b ɐ ɹ k ɐ ɾ ẽj̃
emboscar	ẽ b o s k ɐ ɹ
empilhamento	ẽ p i ʎ ɐ m ẽ t u
empoderadas	ẽ p o d e ɾ ɐ d ɐ s
enaltecido	e n ɐw t e s i d u
encarcerada	ẽ k ɐ ɹ s e ɾ ɐ d ɐ
encostam	ẽ k o s t ɐ̃w̃
endoidou	ẽ d oj d ow
eneas	e n e ɐ s
energizado	e n e ʁ ʒ i z ɐ d u
enfase	ẽ f ɐ z i
enfiadas	ẽ f i ɐ d ɐ s
enfurecendo	ẽ f u ɾ e s ẽ d u
engaja	ẽ ɡ ɐ ʒ ɐ
enlaces	ẽ l ɐ s i s
enologia	e n o l o ʒ i ɐ
entendamos	ẽ t ẽ d ɐ̃ m u s
enterre	ẽ t e ʁ i
entranha	ẽ t ɾ ɐ̃ ɲ ɐ
epiphany	e p i f ɐ̃ i
ergui	e ʁ ɡ j
escavadores	e s k ɐ v ɐ d o ɾ i s
escrotal	e s k ɾ o t ɐw
esf	e s f
esgotei	e z ɡ o t ej
esmeraldino	e z m e ɾ ɐw d ʒ ĩ n u
espirituosos	e s p i ɾ i t u o z u s
esquecível	e s k e s i v ew
estaba	e s t ɐ b ɐ
estabilizadora	e s t ɐ b i l i z ɐ d o ɾ ɐ
estiano	e s t ʃ i ɐ̃ n u
estirado	e s t ʃ i ɾ ɐ d u
estrogénio	e s t ɾ o ʒ ɛ n i u
estrôncio	e s t ɾ õ s i u
estupram	e s t u p ɾ ɐ̃w̃
etelvina	e t ew v ĩ n ɐ
etfs	e t ʃ f s
excellent	e s s ew l ẽ t ʃ
exelente	e z e l ẽ t ʃ i
experimentarem	e s p e ɾ ĩ m ẽ t ɐ ɾ ẽj̃
eyeliner	ej e l ĩ n e ɹ
fabia	f ɐ b i ɐ
falaciosa	f ɐ l ɐ s i ɔ z ɐ
faleiros	f ɐ l ej ɾ u s
feather	f e ɐ t e ɹ
feminazis	f e m ĩ n ɐ z i j s
fermi	f e ʁ m i
finalizamos	f ĩ n ɐ l i z ɐ̃ m u s
flagras	f l ɐ ɡ ɾ ɐ s
flutuou	f l u t u ow
fluírem	f l u i ɾ ẽj̃
foggy	f o ɡ ɡ i
fonema	f o n ẽ m ɐ
fonologia	f o n o l o ʒ i ɐ
forester	f o ɾ e s t e ɹ
formigando	f o ʁ m i ɡ ɐ̃ d u
frankel	f ɾ ɐ̃ k ɛw
froy	f ɾ o i
fuba	f u b ɐ
fuhrman	f u ʁ m ɐ̃
fundamentados	f ũ d ɐ m ẽ t ɐ d u s
furg	f u ʁ ɡ
fíbula	f i b u l ɐ
fóton	f ɔ t õ
gaeco	ɡ ɐj k u
ganhares	ɡ ɐ ɲ ɐ ɾ i s
ganímedes	ɡ ɐ n i m e d ʒ i s
gatuno	ɡ ɐ t ũ n u
geert	ʒ e e ɹ t ʃ
geist	ʒ ej s t ʃ
genitálias	ʒ e n i t ɐ l i ɐ s
geotecnia	ʒ e o t e k n i ɐ
geria	ʒ e ɾ i ɐ
geuvânio	ʒ ew v ɐ̃ n i u
ghosh	ɡ o ʃ
goody	ɡ o o d ʒ i
granjeiro	ɡ ɾ ɐ̃ ʒ ej ɾ u
grelhador	ɡ ɾ e ʎ ɐ d o ɹ
gremlins	ɡ ɾ ẽ l ĩ s
grilagem	ɡ ɾ i l ɐ ʒ ẽj̃
gtr	ɡ t ɹ
guardians	ɡ w ɐ ʁ d ʒ i ɐ̃ s
habits	ɐ b i t ʃ s
hales	ɐ l i s
harwood	ɐ ɹ w o o d ʒ
headlines	e ɐ d l ĩ n i s
heaton	e ɐ t õ
hennessey	ẽ n e s e i
hep	e p
heterogêneas	e t e ɾ o ʒ e n e ɐ s
hipnotismo	i p n o t ʃ i z m u
hipnotizador	i p n o t ʃ i z ɐ d o ɹ
hitomi	i t o m i
holístico	o l i s t ʃ i k u
huguinho	u ɡ ĩ ɲ u
humanizada	ũ m ɐ n i z ɐ d ɐ
humilham	ũ m i ʎ ɐ̃w̃
humphries	ũ f ɾ i i s
hustler	u s t l e ɹ
hw	w
iana	i ɐ̃ n ɐ
identificavam	i d ẽ t ʃ i f i k ɐ v ɐ̃w̃
imobiliza	ĩ m o b i l i z ɐ
impressionadas	ĩ p ɾ e s i o n ɐ d ɐ s
incorrectamente	ĩ k o ʁ e k t ɐ m ẽ t ʃ i
incrustada	ĩ k ɾ u s t ɐ d ɐ
indigena	ĩ d ʒ i ʒ ẽ n ɐ
infesta	ĩ f e s t ɐ
insaturados	ĩ s ɐ t u ɾ ɐ d u s
inspecionado	ĩ s p e s i o n ɐ d u
intentos	ĩ t ẽ t u s
interagia	ĩ t e ɾ ɐ ʒ i ɐ
interestelares	ĩ t e ɾ e s t e l ɐ ɾ i s
intersecções	ĩ t e ɹ s e k s õj̃ s
invejosas	ĩ v e ʒ ɔ z ɐ s
investigavam	ĩ v e s t ʃ i ɡ ɐ v ɐ̃w̃
irmas	i ʁ m ɐ s
itil	i t ʃ iw
iver	i v e ɹ
jabba	ʒ ɐ b b ɐ
jamón	ʒ ɐ m ɔ n
jemima	ʒ e m ĩ m ɐ
jer	ʒ e ɹ
joaninhas	ʒ o ɐ n ĩ ɲ ɐ s
juramentada	ʒ u ɾ ɐ m ẽ t ɐ d ɐ
justi	ʒ u s t ʃ i
kalu	k ɐ l u
kantar	k ɐ̃ t ɐ ɹ
kasia	k ɐ z i ɐ
kettle	k e t ʃ t l i
khimki	k ĩ k i
koe	k o i
krieg	k ɾ i e ɡ
lacrimogéneo	l ɐ k ɾ ĩ m o ʒ ɛ n e u
lagostim	l ɐ ɡ o s t ʃ ĩ
laicidade	l ɐj s i d ɐ d ʒ i
lançaremos	l ɐ̃ s ɐ ɾ ẽ m u s
leech	l e e ʃ
lermos	l e ʁ m u s
liceus	l i s ew s
linces	l ĩ s i s
lindinhos	l ĩ d ʒ ĩ ɲ u s
livi	l i v i
lmfao	w m f ɐw
lorenzoni	l o ɾ ẽ z o n i
lynette	w i n e t ʃ t ʃ i
lícitas	l i s i t ɐ s
machê	m ɐ ʃ e
mair	m ɐj ɹ
majestosos	m ɐ ʒ e s t o z u s
maks	m ɐ k s
maltratava	m ɐw t ɾ ɐ t ɐ v ɐ
manchinhas	m ɐ̃ ʃ ĩ ɲ ɐ s
marcie	m ɐ ɹ s i
marituba	m ɐ ɾ i t u b ɐ
marthe	m ɐ ɹ t i
martirizado	m ɐ ɹ t ʃ i ɾ i z ɐ d u
matriculei	m ɐ t ɾ i k u l ej
mcintyre	m s ĩ t ʃ i ɾ i
menas	m ẽ n ɐ s
menin	m e n ĩ
mep	m e p
mestiçagem	m e s t ʃ i s ɐ ʒ ẽj̃
meteres	m e t e ɾ i s
metodicamente	m e t o d ʒ i k ɐ m ẽ t ʃ i
mickael	m i k k ɐ ɛw
mineralização	m ĩ n e ɾ ɐ l i z ɐ s ɐ̃w̃
miopatia	m i o p ɐ t ʃ i ɐ
miseria	m i z e ɾ i ɐ
monjas	m õ ʒ ɐ s
mordechai	m o ʁ d e ʃ ɐj
mortensen	m o ɹ t ẽ s ẽ
motorhead	m o t o ʁ e ɐ d ʒ
movesse	m o v e s i
mumuzinho	m ũ m u z ĩ ɲ u
munik	m ũ n i k
mutano	m u t ɐ̃ n u
mê	m e
naboo	n ɐ b o u
namaste	n ɐ m ɐ s t ʃ i
naty	n ɐ t ʃ i
nebulização	n e b u l i z ɐ s ɐ̃w̃
neem	n e ẽj̃
ninfetinha	n ĩ f e t ʃ ĩ ɲ ɐ
nts	n t ʃ s
numb	n ũ b
népia	n ɛ p i ɐ
obituários	o b i t u ɐ ɾ i u s
obteremos	o b t e ɾ ẽ m u s
odilo	o d ʒ i l u
olimpianos	o l ĩ p i ɐ̃ n u s
olo	o l u
ombre	õ b ɾ i
omnia	õ n i ɐ
oneplus	o n e p l uj s
opposite	o p p o z i t ʃ i
opt	o p t ʃ
opçoes	o p s o i s
oquê	o k e
ordinariamente	o ʁ d ʒ ĩ n ɐ ɾ i ɐ m ẽ t ʃ i
otc	o t ʃ k
otimas	o t ʃ ĩ m ɐ s
otter	o t ʃ t e ɹ
outorgados	ow t o ʁ ɡ ɐ d u s
overlord	o v e ɹ l o ʁ d ʒ
pads	p ɐ d ʒ s
paineis	p ɐ ĩ n ej s
pantheon	p ɐ̃ t e õ
parvoíce	p ɐ ʁ v o i s i
passante	p ɐ s ɐ̃ t ʃ i
passarinha	p ɐ s ɐ ɾ ĩ ɲ ɐ
passeamos	p ɐ s e ɐ̃ m u s
passed	p ɐ s e d ʒ
pattie	p ɐ t ʃ t ʃ i
pauzudo	p ɐw z u d u
paí	p ɐ i
peitudas	p ej t u d ɐ s
pensadora	p ẽ s ɐ d o ɾ ɐ
penálti	p e n ɐw t ʃ i
performou	p e ɹ f o ʁ m ow
perseguirem	p e ɹ s e ɡ j ɾ ẽj̃
pertencerá	p e ɹ t ẽ s e ɾ ɐ
pervertidas	p e ʁ v e ɹ t ʃ i d ɐ s
petar	p e t ɐ ɹ
picon	p i k õ
pilhagens	p i ʎ ɐ ʒ ẽ s
pirapetinga	p i ɾ ɐ p e t ʃ ĩ ɡ ɐ
pisarem	p i z ɐ ɾ ẽj̃
planeio	p l ɐ n ej u
plaqueta	p l ɐ k e t ɐ
plasmáticas	p l ɐ z m ɐ t ʃ i k ɐ s
pluviosidade	p l u v i o z i d ɐ d ʒ i
pne	p n i
poderosíssima	p o d e ɾ o z i s ĩ m ɐ
polimerização	p o l ĩ m e ɾ i z ɐ s ɐ̃w̃
pomona	p o m õ n ɐ
pozinho	p o z ĩ ɲ u
preenchi	p ɾ e ẽ ʃ i
prescrevem	p ɾ e s k ɾ e v ẽj̃
primrose	p ɾ ĩ ɾ o z i
profundeza	p ɾ o f ũ d e z ɐ
projécteis	p ɾ o ʒ ɛ k t ej s
provedoras	p ɾ o v e d o ɾ ɐ s
prussiana	p ɾ u s i ɐ̃ n ɐ
pujante	p u ʒ ɐ̃ t ʃ i
purificadores	p u ɾ i f i k ɐ d o ɾ i s
pã	p ɐ̃
pólipo	p ɔ l i p u
quart	k w ɐ ɹ t ʃ
quetzal	k e t ʃ z ɐw
raglan	ʁ ɐ ɡ l ɐ̃
rayne	ʁ ɐ i n i
reativou	ʁ e ɐ t ʃ i v ow
recetor	ʁ e s e t o ɹ
recompensando	ʁ e k õ p ẽ s ɐ̃ d u
recordada	ʁ e k o ʁ d ɐ d ɐ
regaço	ʁ e ɡ ɐ s u
rejeitem	ʁ e ʒ ej t ẽj̃
relacionavam	ʁ e l ɐ s i o n ɐ v ɐ̃w̃
renasci	ʁ e n ɐ s i
renewal	ʁ e n ew ɐw
renânia	ʁ e n ɐ̃ n i ɐ
repressora	ʁ e p ɾ e s o ɾ ɐ
requeira	ʁ e k ej ɾ ɐ
respeitarão	ʁ e s p ej t ɐ ɾ ɐ̃w̃
ressonante	ʁ e s o n ɐ̃ t ʃ i
restaurants	ʁ e s t ɐw ɾ ɐ̃ t ʃ s
revo	ʁ e v u
revoir	ʁ e v oj ɹ
rezado	ʁ e z ɐ d u
roadshow	ʁ o ɐ d ʒ ʃ ow
robins	ʁ o b ĩ s
rodamos	ʁ o d ɐ̃ m u s
rodinei	ʁ o d ʒ ĩ n ej
roncos	ʁ õ k u s
roose	ʁ o o z i
rotacional	ʁ o t ɐ s i o n ɐw
rotta	ʁ o t ʃ t ɐ
rovai	ʁ o v ɐj
ruffato	ʁ u f f ɐ t u
ruschi	ʁ u s ʃ i
sacrifice	s ɐ k ɾ i f i s i
sahar	s ɐ ɐ ɹ
salter	s ɐw t e ɹ
saltimbancos	s ɐw t ʃ ĩ b ɐ̃ k u s
sangro	s ɐ̃ ɡ ɾ u
secava	s e k ɐ v ɐ
seiscentas	s ej s ẽ t ɐ s
selectiva	s e l e k t ʃ i v ɐ
sellars	s ew l ɐ ɹ s
sequinha	s e k ĩ ɲ ɐ
shlomo	ʃ l õ m u
siebert	s i e b e ɹ t ʃ
signatária	s i ɡ n ɐ t ɐ ɾ i ɐ
silábica	s i l ɐ b i k ɐ
simetrias	s ĩ m e t ɾ i ɐ s
sincroniza	s ĩ k ɾ o n i z ɐ
sli	s l i
smtown	s m t ow n
smtp	s m t ʃ p
snatch	s n ɐ t ʃ ʃ
snr	s n ɹ
socks	s o k k s
solidifica	s o l i d ʒ i f i k ɐ
somme	s õ m i
sossegados	s o s e ɡ ɐ d u s
spicer	s p i s e ɹ
sps	s p s
stavropol	s t ɐ v ɾ o p ɔ w
stoney	s t õ n e i
streptococcus	s t ɾ e p t o k o k k uj s
struck	s t ɾ u k k
subestimem	s u b e s t ʃ ĩ m ẽj̃
submit	s u b m i t ʃ
succession	s u k s e s i õ
sugestivos	s u ʒ e s t ʃ i v u s
sumol	s ũ m ɔ w
superpop	s u p e ɹ p o p
sweets	s w e e t ʃ s
sérica	s ɛ ɾ i k ɐ
síndroma	s ĩ d ɾ o m ɐ
sómente	s ɔ m ẽ t ʃ i
takeo	t ɐ k e u
talude	t ɐ l u d ʒ i
tarragona	t ɐ ʁ ɐ ɡ õ n ɐ
tdp	t ʃ d ʒ p
teal	t e ɐw
tecnicos	t e k n i k u s
tells	t ew w s
temaki	t e m ɐ k i
tentaste	t ẽ t ɐ s t ʃ i
termópilas	t e ʁ m ɔ p i l ɐ s
thee	t e i
thesis	t e z i j s
tiamina	t ʃ i ɐ m ĩ n ɐ
timbaland	t ʃ ĩ b ɐ l ɐ̃ d ʒ
timida	t ʃ ĩ m i d ɐ
toalhinha	t o ɐ ʎ ĩ ɲ ɐ
tocantinópolis	t o k ɐ̃ t ʃ ĩ n ɔ p o l i s
tomes	t õ m i s
tonny	t õ n i
torçam	t o ɹ s ɐ̃w̃
toth	t o t ʃ
tozé	t o z ɛ
transcendeu	t ɾ ɐ̃ s ẽ d ew
transdução	t ɾ ɐ̃ z d u s ɐ̃w̃
transmito	t ɾ ɐ̃ z m i t u
transversalmente	t ɾ ɐ̃ z v e ɹ s ɐw m ẽ t ʃ i
trapper	t ɾ ɐ p p e ɹ
traíras	t ɾ ɐ i ɾ ɐ s
trc	t ɹ k
treblinka	t ɾ e b l ĩ k ɐ
trincado	t ɾ ĩ k ɐ d u
tufões	t u f õj̃ s
tup	t u p
tvcom	t ʃ v k õ
táctil	t ɐ k t ʃ iw
uca	u k ɐ
ufac	u f ɐ k
uftm	u f t ʃ m
ug	u ɡ
ulna	u w n ɐ
updated	u p d ɐ t e d ʒ
usui	u z uj
utf	u t ʃ f
utilizáveis	u t ʃ i l i z ɐ v ej s
valens	v ɐ l ẽ s
valid	v ɐ l i d ʒ
varzea	v ɐ ʁ z e ɐ
vca	v k ɐ
velhotes	v e ʎ o t ʃ i s
velociraptor	v e l o s i ɾ ɐ p t o ɹ
villani	v iw l ɐ n i
vitorianos	v i t o ɾ i ɐ̃ n u s
voamos	v o ɐ̃ m u s
voicemail	v oj s e m ɐj w
wahda	w ɐ d ɐ
weyland	w e i l ɐ̃ d ʒ
whedon	w e d õ
whiting	w i t ʃ ĩ ɡ
windy	w ĩ d ʒ i
wreck	w ɾ e k k
xiismo	ʃ i i z m u
yasmine	j ɐ z m ĩ n i
yau	j ɐw
yôga	j o ɡ ɐ
zana	z ɐ̃ n ɐ
zanon	z ɐ n õ
zin	z ĩ
zodiaco	z o d ʒ i ɐ k u
ções	s õj̃ s
ababa	ɐ b ɐ b ɐ
abruzzi	ɐ b ɾ u z z i
abusem	ɐ b u z ẽj̃
acab	ɐ k ɐ b
acertem	ɐ s e ɹ t ẽj̃
acetilcolina	ɐ s e t ʃ iw k o l ĩ n ɐ
acharei	ɐ ʃ ɐ ɾ ej
acolhemos	ɐ k o ʎ ẽ m u s
acumuladores	ɐ k ũ m u l ɐ d o ɾ i s
acurácia	ɐ k u ɾ ɐ s i ɐ
adeline	ɐ d e l ĩ n i
adem	ɐ d ẽj̃
adin	ɐ d ʒ ĩ
adélio	ɐ d ɛ l i u
aesa	ɐj z ɐ
afd	ɐ f d ʒ
afternoon	ɐ f t e ʁ n o õ
aglutinador	ɐ ɡ l u t ʃ ĩ n ɐ d o ɹ
agonias	ɐ ɡ o n i ɐ s
agoniza	ɐ ɡ o n i z ɐ
aguarela	ɐ ɡ w ɐ ɾ ɛ l ɐ
alcide	ɐw s i d ʒ i
aleijados	ɐ l ej ʒ ɐ d u s
alemao	ɐ l e m ɐw
alguien	ɐw ɡ j ẽ
algébricas	ɐw ʒ ɛ b ɾ i k ɐ s
alim	ɐ l ĩ
allegri	ɐw l e ɡ ɾ i
alvinho	ɐw v ĩ ɲ u
amendoeira	ɐ m ẽ d o ej ɾ ɐ
amigues	ɐ m i ɡ i s
amperes	ɐ̃ p e ɾ i s
analice	ɐ n ɐ l i s i
antiterrorista	ɐ̃ t ʃ i t e ʁ o ɾ i s t ɐ
antonius	ɐ̃ t o n iw s
anunciador	ɐ n ũ s i ɐ d o ɹ
apareceste	ɐ p ɐ ɾ e s e s t ʃ i
apoiariam	ɐ p oj ɐ ɾ i ɐ̃w̃
appreciation	ɐ p p ɾ e s i ɐ t ʃ i õ
apre	ɐ p ɾ i
apreendendo	ɐ p ɾ e ẽ d ẽ d u
aprendessem	ɐ p ɾ ẽ d e s ẽj̃
aquella	ɐ k ɛw l ɐ
architects	ɐ ɹ ʃ i t e k t ʃ s
arguments	ɐ ʁ ɡ ũ m ẽ t ʃ s
ariadna	ɐ ɾ i ɐ d ʒ n ɐ
aritméticas	ɐ ɾ i t ʃ m ɛ t ʃ i k ɐ s
arkin	ɐ ɹ k ĩ
arnês	ɐ ʁ n e s
arrancá	ɐ ʁ ɐ̃ k ɐ
arrebatada	ɐ ʁ e b ɐ t ɐ d ɐ
arriscamos	ɐ ʁ i s k ɐ̃ m u s
arruamentos	ɐ ʁ u ɐ m ẽ t u s
artmed	ɐ ɹ t ʃ m e d ʒ
artrose	ɐ ɹ t ɾ o z i
arwen	ɐ ɹ w ẽ
assentava	ɐ s ẽ t ɐ v ɐ
assistirei	ɐ s i s t ʃ i ɾ ej
associei	ɐ s o s i ej
atanásio	ɐ t ɐ n ɐ z i u
atlantica	ɐ t l ɐ̃ t ʃ i k ɐ
atordoados	ɐ t o ʁ d o ɐ d u s
atormentava	ɐ t o ʁ m ẽ t ɐ v ɐ
atravessados	ɐ t ɾ ɐ v e s ɐ d u s
audacity	ɐw d ɐ s i t ʃ i
audazes	ɐw d ɐ z i s
auri	ɐw ɾ i
autografados	ɐw t o ɡ ɾ ɐ f ɐ d u s
autografo	ɐw t o ɡ ɾ ɐ f u
automation	ɐw t o m ɐ t ʃ i õ
avintes	ɐ v ĩ t ʃ i s
ayman	ɐ i m ɐ̃
açucarada	ɐ s u k ɐ ɾ ɐ d ɐ
babys	b ɐ b i s
bactericida	b ɐ k t e ɾ i s i d ɐ
bakshi	b ɐ k ʃ i
bambis	b ɐ̃ b i j s
barley	b ɐ ɹ l e i
barrica	b ɐ ʁ i k ɐ
bastion	b ɐ s t ʃ i õ
bava	b ɐ v ɐ
bdc	b d ʒ k
beckwith	b e k k w i t ʃ
bergmann	b e ʁ ɡ m ɐ̃ n
berreiro	b e ʁ ej ɾ u
bets	b e t ʃ s
beviláqua	b e v i l ɐ k w ɐ
bigodudo	b i ɡ o d u d u
bilionárias	b i l i o n ɐ ɾ i ɐ s
birnbaum	b i ʁ n b ɐ ũ
biópsias	b i ɔ p s i ɐ s
bloomfield	b l o õ f i ew d ʒ
bolsonaristas	b ow s o n ɐ ɾ i s t ɐ s
bombardier	b õ b ɐ ʁ d ʒ i e ɹ
bombeira	b õ b ej ɾ ɐ
borracho	b o ʁ ɐ ʃ u
borralho	b o ʁ ɐ ʎ u
bosley	b o s l e i
brom	b ɾ õ
brâmanes	b ɾ ɐ̃ m ɐ n i s
bundona	b ũ d õ n ɐ
burj	b u ʁ ʒ
bélicas	b ɛ l i k ɐ s
bípedes	b i p e d ʒ i s
cabreúva	k ɐ b ɾ e u v ɐ
caer	k ɐj ɹ
caldeirões	k ɐw d ej ɾ õj̃ s
callan	k ɐw l ɐ̃
calores	k ɐ l o ɾ i s
cantadores	k ɐ̃ t ɐ d o ɾ i s
capelli	k ɐ p ew l i
capturarem	k ɐ p t u ɾ ɐ ɾ ẽj̃
caral	k ɐ ɾ ɐw
carcinomas	k ɐ ɹ s ĩ n õ m ɐ s
carminho	k ɐ ʁ m ĩ ɲ u
castigadas	k ɐ s t ʃ i ɡ ɐ d ɐ s
cativado	k ɐ t ʃ i v ɐ d u
