अ	ɐ
भट्ट	bʱ ɐ ʈ ʈ ɐ
भट्टार	bʱ ɐ ʈ ʈ ɑː ɾ ɐ
भण्टाकी	bʱ ɐ ɳ ʈ ɑː k iː
भण्डाकी	bʱ ɐ ɳ ɖ ɑː k iː
भद्र	bʱ ɐ d ɾ ɐ́
भद्रकाली	bʱ ɐ d ɾ ɐ́ k ɑː l iː
भद्रपदा	bʱ ɐ d ɾ ɐ p ɐ d ɑː
भद्रा	bʱ ɐ d ɾ ɑ́ː
भनक्ति	bʱ ɐ n ɐ́ k t i
भनति	bʱ ɐ n̪ ɐ t̪ i
भन्दताम्	bʱ ɐ n d ɐ t ɑː m
भय	bʱ ɐ j ɐ
भयंकर	bʱ ɐ j ɐ ŋ k ɐ ɾ ɐ
भयङ्कर	bʱ ɐ j ɐ ŋ k ɐ ɾ ɐ
भयते	bʱ ɐ j ɐ t̪ eː
भर	bʱ ɐ ɾ ɐ
भरण	bʱ ɐ ɾ ɐ ɳ ɐ
भरणी	bʱ ɐ ɾ ɐ ɳ iː
भरत	bʱ ɐ ɾ ɐ t ɐ́
भरति	bʱ ɐ ɾ ɐ t̪ i
भरतु	bʱ ɐ ɾ ɐ t u
भरत्	bʱ ɐ ɾ ɐ t̪
भरद्वाज	bʱ ɐ ɾ ɐ d ʋ ɑ́ː d͡ʑ ɐ
भरस्	bʱ ɐ ɾ ɐ s̪
भरिष	bʱ ɐ ɾ i ʂ ɐ
भरिष्यति	bʱ ɐ ɾ i ʂ j ɐ t i
भरीमन्	bʱ ɐ ɾ iː m ɐ n̪
भरु	bʱ ɐ ɾ u
भरुकच्छ	bʱ ɐ ɾ u k ɐ t̪ t͡ɕʰ ɐ
भर्क्ष्यति	bʱ ɐ ɾ k ʂ j ɐ t̪ i
भर्ग	bʱ ɐ ɾ ɡ ɐ
भर्गस्	bʱ ɐ ɾ ɡ ɐ s̪
भर्जयति	bʱ ɐ ɾ d͡ʑ ɐ j ɐ t i
भर्जित	bʱ ɐ ɾ d͡ʑ i t ɐ
भर्ता	bʱ ɐ ɾ t̪ ɑː
भर्तृ	bʱ ɐ ɾ t ŕ̩
भर्त्री	bʱ ɐ ɾ t ɾ íː
भर्त्सक	bʱ ɐ ɾ t s ɐ k ɐ
भर्त्सन	bʱ ɐ ɾ t s ɐ n ɐ
भर्त्सना	bʱ ɐ ɾ t s ɐ n ɑː
भर्त्स्	bʱ ɐ ɾ t s
भर्मन्	bʱ ɐ ɾ m ɐ n̪
भर्व्	bʱ ɐ ɾ ʋ
भल्	bʱ ɐ l
भल्ल	bʱ ɐ l l ɐ́
भल्लाक	bʱ ɐ l l ɑː k ɐ
भल्लात	bʱ ɐ l l ɑː t ɐ
भल्लातक	bʱ ɐ l l ɑː t ɐ k ɐ
भल्लूक	bʱ ɐ l l uː k ɐ
भवतस्	bʱ ɐ ʋ ɐ t ɐ s
भवतात्	bʱ ɐ ʋ ɐ t ɑː t
भवति	bʱ ɐ ʋ ɐ t̪ i
भवती	bʱ ɐ ʋ ɐ t̪ iː
भवतु	bʱ ɐ ʋ ɐ t u
भवत्	bʱ ɐ ʋ ɐ t̪
भवथ	bʱ ɐ ʋ ɐ tʰ ɐ
भवथस्	bʱ ɐ ʋ ɐ tʰ ɐ s
भवन	bʱ ɐ ʋ ɐ n̪ ɐ
भवन्ति	bʱ ɐ ʋ ɐ n t i
भवसि	bʱ ɐ ʋ ɐ s i
भवानि	bʱ ɐ ʋ ɑː n̪ i
भवानी	bʱ ɐ ʋ ɑː n iː
भवान्	bʱ ɐ ʋ ɑː n̪
भवामस्	bʱ ɐ ʋ ɑː m ɐ s
भवामि	bʱ ɐ ʋ ɑː m i
भवावस्	bʱ ɐ ʋ ɑː ʋ ɐ s
भवितव्य	bʱ ɐ ʋ i t ɐ ʋ j ɐ
भविन्	bʱ ɐ ʋ i n
भविष्य	bʱ ɐ ʋ i ʂ j ɐ
भविष्यति	bʱ ɐ ʋ i ʂ j ɐ t i
भविष्यत्	bʱ ɐ ʋ i ʂ j ɐ t̪
भविष्यसि	bʱ ɐ ʋ i ʂ j ɐ s i
भविष्यामि	bʱ ɐ ʋ i ʂ j ɑː m i
भवै	bʱ ɐ ʋ ɑ j
भव्य	bʱ ɐ ʋ j ɐ
भशिरा	bʱ ɐ ɕ i ɾ ɑː
भस्	bʱ ɐ s
भस्त्रा	bʱ ɐ s̪ t̪ ɾ ɑː
भस्त्री	bʱ ɐ s̪ t̪ ɾ iː
भस्म	bʱ ɐ s m ɐ
भस्मन्	bʱ ɐ s̪ m ɐ n̪
भा	bʱ ɑː
भाग	bʱ ɑː ɡ ɐ
भागवत	bʱ ɑː ɡ ɐ ʋ ɐ t ɐ
भागा	bʱ ɑː ɡ ɑː
भागीरथी	bʱ ɑː ɡ iː ɾ ɐ t̪ʰ iː
भाजन	bʱ ɑː d͡ʑ ɐ n̪ ɐ
भाजयति	bʱ ɑː d͡ʑ ɐ j ɐ t̪ i
भाटक	bʱ ɑː ʈ ɐ k ɐ
भाण्ड	bʱ ɑː ɳ ɖ ɐ
भाण्डागार	bʱ ɑː ɳ ɖ ɑː ɡ ɑː ɾ ɐ
भाण्डार	bʱ ɑː ɳ ɖ ɑː ɾ ɐ
भाति	bʱ ɑː t̪ i
भाद्र	bʱ ɑː d ɾ ɐ
भाद्रपद	bʱ ɑː d ɾ ɐ p ɐ d ɐ
भान	bʱ ɑː n̪ ɐ
भानु	bʱ ɑː n ú
भानुमत्	bʱ ɑː n u m ɐ́ t
भानुवार	bʱ ɑː n u ʋ ɑː ɾ ɐ
भाम	bʱ ɑː m ɐ
भार	bʱ ɑː ɾ ɐ
भारत	bʱ ɑː ɾ ɐ t̪ ɐ
भारतखण्ड	bʱ ɑː ɾ ɐ t ɐ kʰ ɐ ɳ ɖ ɐ
भारतवर्ष	bʱ ɑː ɾ ɐ t ɐ ʋ ɐ ɾ ʂ ɐ
भारद्वाज	bʱ ɑː ɾ ɐ d ʋ ɑː d͡ʑ ɐ
भारयति	bʱ ɑː ɾ ɐ j ɐ t̪ i
भारिक	bʱ ɑː ɾ i k ɐ
भारिन्	bʱ ɑː ɾ i n
भारी	bʱ ɑː ɾ iː
भार्गव	bʱ ɑː ɾ ɡ ɐ ʋ ɐ
भार्मन्	bʱ ɑː ɾ m ɐ n̪
भार्या	bʱ ɑː ɾ j ɑː
भाल	bʱ ɑː l ɐ
भालयते	bʱ ɑː l ɐ j ɐ t ɐ j
भाव	bʱ ɑː ʋ ɐ
भावगम्भीरम्	bʱ ɑː ʋ ɐ ɡ ɐ m bʱ iː ɾ ɐ m
भावज्ञा	bʱ ɑː ʋ ɐ d͡ʑ ɲ ɑː
भावयति	bʱ ɑː ʋ ɐ j ɐ t i
भावि	bʱ ɑː ʋ i
भावित	bʱ ɑː ʋ i t ɐ
भाविन्	bʱ ɑː ʋ i n
भाव्य	bʱ ɑː ʋ j ɐ
भाषते	bʱ ɑː ʂ ɐ t̪ eː
भाषा	bʱ ɑː ʂ ɑː
भाषास्	bʱ ɑː ʂ ɑː s
भाष्	bʱ ɑː ʂ
भास	bʱ ɑː s ɐ
भास्	bʱ ɐ́ ɐ s
भास्वर	bʱ ɑː s ʋ ɐ ɾ ɐ́
भिक्षति	bʱ i k ʂ ɐ t̪ i
भिक्षा	bʱ i k ʂ ɑː
भिक्षु	bʱ i k ʂ u
भिक्षुणी	bʱ i k ʂ u ɳ iː
भिक्ष्	bʱ i k ʂ
भिण्डा	bʱ i ɳ ɖ ɑː
भित्त	bʱ i t t ɐ
भित्ति	bʱ i t t í
भिद्	bʱ i d̪
भिनत्ति	bʱ i n ɐ́ t t i
भिन्न	bʱ i n n ɐ́
भिषक्	bʱ i ʂ ɐ k
भिषक्ति	bʱ i ʂ ɐ k t̪ i
भिषज्	bʱ i ʂ ɐ d͡ʑ
भी	bʱ iː
भीत	bʱ iː t ɐ́
भीति	bʱ iː t i
भीम	bʱ iː m ɐ
भीरु	bʱ iː ɾ u
भीषण	bʱ iː ʂ ɐ ɳ ɐ
भीष्म	bʱ iː ʂ m ɐ
भुःखार	bʱ u h kʰ ɑː ɾ ɐ
भुग्न	bʱ u ɡ n ɐ
भुज	bʱ u d͡ʑ ɐ
भुजंग	bʱ u d͡ʑ ɐ ŋ ɡ ɐ
भुज्	bʱ u d͡ʑ
भुनक्ति	bʱ u n ɐ́ k t i
भुरति	bʱ u ɾ ɐ t̪ i
भुर्	bʱ u ɾ
भुर्वन्	bʱ u ɾ ʋ ɐ n̪
भुवन	bʱ u ʋ ɐ n̪ ɐ
भुवर्	bʱ u ʋ ɐ ɾ
भुवस्	bʱ u ʋ ɐ s̪
भू	bʱ uː
भूकम्प	bʱ uː k ɐ m p ɐ
भूकर्बुदारक	bʱ uː k ɐ ɾ b u d̪ ɑː ɾ ɐ k ɐ
भूगोल	bʱ uː ɡ oː l̪ ɐ
भूत	bʱ uː t ɐ́
भूतकेश	bʱ uː t̪ ɐ k eː ɕ ɐ
भूतपति	bʱ uː t ɐ p ɐ́ t i
भूतयज्ञ	bʱ uː t ɐ j ɐ d͡ʑ ɲ ɐ
भूतल	bʱ uː t ɐ l ɐ
भूति	bʱ uː t i
भूतेश्वर	bʱ uː t̪ eː ɕ ʋ ɐ ɾ ɐ
भूप	bʱ uː p ɐ
भूपति	bʱ uː p ɐ t̪ i
भूपाल	bʱ uː p ɑː l̪ ɐ
भूभाग	bʱ uː bʱ ɑː ɡ ɐ
भूमन्	bʱ uː m ɐ n̪
भूमि	bʱ uː m i
भूमिपुत्र	bʱ uː m i p u t̪ ɾ ɐ
भूयते	bʱ uː j ɐ t ɐ j
भूयध्वे	bʱ uː j ɐ dʱ ʋ ɐ j
भूयन्ते	bʱ uː j ɐ n t ɐ j
भूयसे	bʱ uː j ɐ s ɐ j
भूयात्	bʱ uː j ɑː t̪
भूयामहे	bʱ uː j ɑː m ɐ ɦ eː
भूयावहे	bʱ uː j ɑː ʋ ɐ ɦ eː
भूये	bʱ uː j eː
भूयेते	bʱ uː j eː t̪ eː
भूयेथे	bʱ uː j eː t̪ʰ eː
भूरि	bʱ uː ɾ i
भूर्ज	bʱ uː ɾ d͡ʑ ɐ
भूर्जपत्त्र	bʱ uː ɾ d͡ʑ ɐ p ɐ t̪ t̪ ɾ ɐ
भूषण	bʱ uː ʂ ɐ ɳ ɐ
भूष्	bʱ uː ʂ
भृ	bʱ r̩
भृगु	bʱ r̩ ɡ u
भृगुवार	bʱ r̩ ɡ u ʋ ɑː ɾ ɐ
भृङ्गराज	bʱ r̩ ŋ ɡ ɐ ɾ ɑː d͡ʑ ɐ
भृङ्गार	bʱ r̩ ŋ ɡ ɑː ɾ ɐ
भृज्जति	bʱ r̩ d d͡ʑ ɐ́ t i
भृत	bʱ r̩ t ɐ́
भृति	bʱ r̩ t í
भृत्य	bʱ r̩ t j ɐ
भृष्ट	bʱ r̩ ʂ ʈ ɐ
भृष्टि	bʱ r̩ ʂ ʈ i
भेक	bʱ eː k ɐ
भेजे	bʱ eː d͡ʑ eː
भेड	bʱ eː ɖ ɐ
भेड्र	bʱ eː ɖ ɾ ɐ
भेद	bʱ eː d̪ ɐ
भेदति	bʱ eː d̪ ɐ t̪ i
भेरी	bʱ eː ɾ iː
भेषज	bʱ eː ʂ ɐ d͡ʑ ɐ
भेषज्य	bʱ eː ʂ ɐ d͡ʑ j ɐ
भैरव	bʱ ɑ j ɾ ɐ ʋ ɐ
भैरवी	bʱ ɑ j ɾ ɐ ʋ iː
भैषज्य	bʱ ɑ j ʂ ɐ d͡ʑ j ɐ
भोक्तुः	bʱ oː k t̪ u h
भोक्तृ	bʱ oː k t̪ r̩
भोग	bʱ oː ɡ ɐ
भोग्य	bʱ oː ɡ j ɐ
भोजन	bʱ oː d͡ʑ ɐ n̪ ɐ
भोट	bʱ oː ʈ ɐ
भोटान्त	bʱ oː ʈ ɑː n̪ t̪ ɐ
भोलानाथ	bʱ oː l̪ ɑː n̪ ɑː t̪ʰ ɐ
भोष	bʱ oː ʂ ɐ
भोष​	bʱ oː ʂ ɐ
भोस्	bʱ oː s̪
भौम	bʱ ɑ w m ɐ
भौमवार	bʱ ɑ w m ɐ ʋ ɑː ɾ ɐ
भौमिक	bʱ ɑ w m i k ɐ
भ्रंश	bʱ ɾ ɐ̃ ɕ ɐ
भ्रंशते	bʱ ɾ ɐ̃ ɕ ɐ t̪ eː
भ्रंश्	bʱ ɾ ɐ̃ ɕ
भ्रज्ज्	bʱ ɾ ɐ d d͡ʑ
भ्रमण	bʱ ɾ ɐ m ɐ ɳ ɐ
भ्रमति	bʱ ɾ ɐ m ɐ t̪ i
भ्रमर	bʱ ɾ ɐ m ɐ ɾ ɐ
भ्रमितुम्	bʱ ɾ ɐ m i t u m
भ्रमित्वा	bʱ ɾ ɐ m i t ʋ ɑː
भ्रमिष्यति	bʱ ɾ ɐ m i ʂ j ɐ t i
भ्रम्	bʱ ɾ ɐ m
भ्रष्ट्र	bʱ ɾ ɐ ʂ ʈ ɾ ɐ
भ्राज्	bʱ ɾ ɑː d͡ʑ
भ्राता	bʱ ɾ ɑː t̪ ɑː
भ्रातृ	bʱ ɾ ɑː t̪ r̩
भ्रातृक	bʱ ɾ ɑː t r̩ k ɐ
भ्रातृज	bʱ ɾ ɑː t r̩ d͡ʑ ɐ
भ्रातृत्व	bʱ ɾ ɑː t r̩ t ʋ ɐ
भ्रातृदत्त	bʱ ɾ ɑː t r̩ d ɐ t t ɐ
भ्रातृद्वितीया	bʱ ɾ ɑː t r̩ d ʋ i t iː j ɑː
भ्रातृपुत्र	bʱ ɾ ɑː t r̩ p u t ɾ ɐ
भ्रातृभाण्ड	bʱ ɾ ɑː t r̩ bʱ ɑː ɳ ɖ ɐ
भ्रातृवधू	bʱ ɾ ɑː t r̩ ʋ ɐ dʱ uː
भ्रातृव्य	bʱ ɾ ɑː t̪ r̩ ʋ j ɐ
भ्रातृश्वशुर	bʱ ɾ ɑː t r̩ ɕ ʋ ɐ ɕ u ɾ ɐ
भ्रातृहत्या	bʱ ɾ ɑː t r̩ ɦ ɐ t j ɑː
भ्रात्र	bʱ ɾ ɑː t ɾ ɐ́
भ्रान्त	bʱ ɾ ɑː n t ɐ́
भ्रान्ति	bʱ ɾ ɑː n t i
भ्रान्तुम्	bʱ ɾ ɑː n t u m
भ्रान्त्वा	bʱ ɾ ɑː n t ʋ ɑː
भ्राष्ट्र	bʱ ɾ ɑː ʂ ʈ ɾ ɐ
भ्रियात्	bʱ ɾ i j ɑː t̪
भ्रू	bʱ ɾ uː
भ्रूण	bʱ ɾ uː ɳ ɐ
म	m ɐ
मकक	m ɐ k ɐ k ɐ
मकर	m ɐ k ɐ ɾ ɐ
मक्षा	m ɐ k ʂ ɑː
मक्षिका	m ɐ k ʂ i k ɑː
मक्षिकामल	m ɐ k ʂ i k ɑː m ɐ l ɐ
मक्षू	m ɐ k ʂ uː
मक्ष्	m ɐ k ʂ
मगध	m ɐ ɡ ɐ d̪ʱ ɐ
मग्न	m ɐ ɡ n ɐ́
मघ	m ɐ ɡʱ ɐ
मघवन्	m ɐ ɡʱ ɐ ʋ ɐ n̪
मघा	m ɐ ɡʱ ɑː
मङ्गल	m ɐ ŋ ɡ ɐ l ɐ́
मङ्गलवार	m ɐ ŋ ɡ ɐ l̪ ɐ ʋ ɑː ɾ ɐ
मच्	m ɐ t͡ɕ
मच्छ	m ɐ t̪ t͡ɕʰ ɐ
मज्जति	m ɐ d̪ d͡ʑ ɐ t̪ i
मज्जन्	m ɐ d d͡ʑ ɐ́ n
मज्जस्	m ɐ d d͡ʑ ɐ s
मज्जा	m ɐ d d͡ʑ ɑ́ː
मज्ज्	m ɐ d d͡ʑ
मञ्च	m ɐ ɲ t͡ɕ ɐ
मञ्जिष्ठा	m ɐ ɲ d͡ʑ i ʂ ʈʰ ɑː
मञ्जुश्री	m ɐ ɲ d͡ʑ u ɕ ɾ iː
मञ्जुषा	m ɐ ɲ d͡ʑ u ʂ ɑː
मञ्जूषा	m ɐ ɲ d͡ʑ uː ʂ ɑː
मटची	m ɐ ʈ ɐ t͡ɕ iː
मटती	m ɐ ʈ ɐ t iː
मठ	m ɐ ʈʰ ɐ
मठग्राम	m ɐ ʈʰ ɐ ɡ ɾ ɑː m ɐ
मणि	m ɐ ɳ i
मणिकार	m ɐ ɳ i k ɑː ɾ ɐ
मणिबन्ध	m ɐ ɳ i b ɐ n dʱ ɐ
मणिमेखल	m ɐ ɳ i m eː kʰ ɐ l̪ ɐ
मण्ड	m ɐ ɳ ɖ ɐ
मण्डप	m ɐ ɳ ɖ ɐ p ɐ
मण्डल	m ɐ ɳ ɖ ɐ l̪ ɐ
मण्डलिका	m ɐ ɳ ɖ ɐ l i k ɑː
मण्डूक	m ɐ ɳ ɖ uː k ɐ
मत	m ɐ t ɐ́
मति	m ɐ t̪ i
मतिभ्रम	m ɐ t̪ i bʱ ɾ ɐ m ɐ
मत्	m ɐ t̪
मत्कुण	m ɐ t̪ k u ɳ ɐ
मत्त	m ɐ t t ɐ́
मत्तस्	m ɐ t t ɐ́ s
मत्तेभ	m ɐ t t ɐ j bʱ ɐ
मत्तेभविक्रीडित	m ɐ t t ɐ j bʱ ɐ ʋ i k ɾ iː ɖ i t ɐ
मत्सर	m ɐ t s ɐ ɾ ɐ́
मत्स्य	m ɐ t̪ s̪ j ɐ
मत्स्यगन्धा	m ɐ t s j ɐ ɡ ɐ n dʱ ɑː
मत्स्याद्	m ɐ t s j ɑ́ː d
मथुरा	m ɐ tʰ u ɾ ɑː
मथ्	m ɐ tʰ
मद	m ɐ d ɐ
मदन	m ɐ d̪ ɐ n̪ ɐ
मदनाङ्कुश	m ɐ d ɐ n ɑː ŋ k u ɕ ɐ
मदिर	m ɐ d i ɾ ɐ́
मदिरा	m ɐ d i ɾ ɑː
मद्	m ɐ d
मद्गु	m ɐ d ɡ ú
मद्य	m ɐ d̪ j ɐ
मद्यपान	m ɐ d̪ j ɐ p ɑː n̪ ɐ
मद्यसार	m ɐ d̪ j ɐ s̪ ɑː ɾ ɐ
मधु	m ɐ d̪ʱ u
मधुकाण्ड	m ɐ d̪ʱ u k ɑː ɳ ɖ ɐ
मधुच्छन्दस्	m ɐ dʱ u t t͡ɕʰ ɐ́ n d ɐ s
मधुर	m ɐ dʱ u ɾ ɐ
मधुरेण	m ɐ dʱ u ɾ ɐ j ɳ ɐ
मधुलिह्	m ɐ dʱ u l i ɦ
मधूक	m ɐ dʱ uː k ɐ
मध्य	m ɐ d̪ʱ j ɐ
मध्यम	m ɐ dʱ j ɐ m ɐ
मध्यमपुरुष	m ɐ d̪ʱ j ɐ m ɐ p u ɾ u ʂ ɐ
मध्यस्थ	m ɐ d̪ʱ j ɐ s̪ t̪ʰ ɐ
मध्याह्न	m ɐ dʱ j ɑː ɦ n ɐ
मध्वद्	m ɐ dʱ ʋ ɐ́ d
मनति	m ɐ n ɐ t i
मनन	m ɐ n ɐ́ n ɐ
मनसा	m ɐ n ɐ s ɑː
मनस्	m ɐ n̪ ɐ s̪
मनस्ताप	m ɐ n ɐ s t ɑː p ɐ
मनस्विन्	m ɐ n ɐ s ʋ í n
मना	m ɐ n ɑ́ː
मनाक्	m ɐ n ɑ́ː k
मनित	m ɐ n i t ɐ
मनु	m ɐ n̪ u
मनुष्य	m ɐ n u ʂ í j ɐ
मनुष्ययज्ञ	m ɐ n u ʂ i j ɐ j ɐ d͡ʑ ɲ ɐ́
मनुस्	m ɐ n̪ u s̪
मनेत्	m ɐ n ɐ j t
मनोगत	m ɐ n ɐ w ɡ ɐ t ɐ
मनोगतानि	m ɐ n ɐ w ɡ ɐ t ɑː n i
मनोज	m ɐ n ɐ w d͡ʑ ɐ
मनोतृ	m ɐ n ɐ́ w t r̩
मनोहर	m ɐ n̪ oː ɦ ɐ ɾ ɐ
मन्	m ɐ n
मन्तु	m ɐ n̪ t̪ u
मन्तृ	m ɐ n t ŕ̩
मन्त्र	m ɐ n̪ t̪ ɾ ɐ
मन्त्रालय	m ɐ n̪ t̪ ɾ ɑː l̪ ɐ j ɐ
मन्त्रिणी	m ɐ n t ɾ i ɳ iː
मन्त्रिन्	m ɐ n t ɾ í n
मन्त्री	m ɐ n t ɾ iː
मन्थ	m ɐ n tʰ ɐ
मन्द	m ɐ n d ɐ
मन्दताम्	m ɐ n d ɐ t ɑː m
मन्दर	m ɐ n̪ d̪ ɐ ɾ ɐ
मन्दार	m ɐ n̪ d̪ ɑː ɾ ɐ
मन्दिर	m ɐ n̪ d̪ i ɾ ɐ
मन्दिरम्	m ɐ n̪ d̪ i ɾ ɐ m
मन्दुरा	m ɐ n d u ɾ ɑː
मन्द्	m ɐ n d
मन्मथ	m ɐ n̪ m ɐ t̪ʰ ɐ
मन्मन्	m ɐ n̪ m ɐ n̪
मन्यते	m ɐ n̪ j ɐ t̪ eː
मन्यमान	m ɐ n j ɐ m ɑː n ɐ
मन्या	m ɐ n̪ j ɑː
मन्यु	m ɐ n j ú
मम	m ɐ m ɐ
ममता	m ɐ m ɐ t ɑː
ममार	m ɐ m ɑː ɾ ɐ
ममार्ज	m ɐ m ɑː ɾ d͡ʑ ɐ
मम्नौ	m ɐ m n ɑː w
मयट	m ɐ j ɐ ʈ ɐ
मयस्	m ɐ j ɐ s̪
मया	m ɐ j ɑː
मयि	m ɐ j i
मयूख	m ɐ j uː kʰ ɐ
मयूर	m ɐ j uː ɾ ɐ
मर	m ɐ ɾ ɐ
मरकत	m ɐ ɾ ɐ k ɐ t̪ ɐ
मरण	m ɐ ɾ ɐ ɳ ɐ
मरति	m ɐ ɾ ɐ t̪ i
मरते	m ɐ ɾ ɐ t̪ eː
मरिच	m ɐ ɾ i t͡ɕ ɐ
मरीच	m ɐ ɾ iː t͡ɕ ɐ
मरीचि	m ɐ ɾ iː t͡ɕ i
मरीयमि	m ɐ ɾ iː j ɐ m i
मरीयमिपुत्र	m ɐ ɾ iː j ɐ m i p u t̪ ɾ ɐ
मरु	m ɐ ɾ u
मरुत्	m ɐ ɾ u t̪
मरुद्वृधा	m ɐ ɾ u d ʋ r̩ dʱ ɑ́ː
मरुभूमि	m ɐ ɾ u bʱ uː m i
मरुस्थली	m ɐ ɾ u s tʰ ɐ l iː
मर्	m ɐ ɾ
मर्कट	m ɐ ɾ k ɐ ʈ ɐ
मर्चयति	m ɐ ɾ t͡ɕ ɐ j ɐ t̪ i
मर्त	m ɐ ɾ t̪ ɐ
मर्त्य	m ɐ ɾ t̪ j ɐ
मर्द	m ɐ ɾ d ɐ
मर्दति	m ɐ ɾ d̪ ɐ t̪ i
मर्दन	m ɐ ɾ d ɐ n ɐ
मर्मन्	m ɐ ɾ m ɐ n̪
मर्मर	m ɐ ɾ m ɐ ɾ ɐ
मर्य	m ɐ ɾ j ɐ
मर्यादा	m ɐ ɾ j ɑː d̪ ɑː
मल	m ɐ l̪ ɐ
मलन	m ɐ l ɐ n ɐ
मलपृष्ठ	m ɐ l ɐ p r̩ ʂ ʈʰ ɐ
मलय	m ɐ l̪ ɐ j ɐ
मलयाळम्	m ɐ l̪ ɐ j ɑː ɭ̆ ɐ m
मलि	m ɐ l i
मलिक	m ɐ l̪ i k ɐ
मलिन	m ɐ l i n ɐ
मलीयस्	m ɐ l iː j ɐ s
मल्	m ɐ l
मल्ल	m ɐ l l ɐ
मल्लि	m ɐ l l i
मल्लिका	m ɐ l l i k ɑː
मल्ल्	m ɐ l l
मल्ह	m ɐ l ɦ ɐ́
मवते	m ɐ ʋ ɐ t ɐ j
मव्	m ɐ ʋ
मव्य्	m ɐ ʋ j
मश	m ɐ ɕ ɐ
मशक	m ɐ ɕ ɐ k ɐ
मषि	m ɐ ʂ i
मषिपात्र	m ɐ ʂ i p ɑː t ɾ ɐ
मषी	m ɐ ʂ iː
मषीपात्र	m ɐ ʂ iː p ɑː t̪ ɾ ɐ
मसि	m ɐ s̪ i
मसिपात्र	m ɐ s i p ɑː t ɾ ɐ
मसी	m ɐ s iː
मसीपात्र	m ɐ s̪ iː p ɑː t̪ ɾ ɐ
मस्	m ɐ s
मस्जिद	m ɐ s̪ d͡ʑ i d̪ ɐ
मस्त	m ɐ s̪ t̪ ɐ
मस्तक	m ɐ s̪ t̪ ɐ k ɐ
मस्तिष्क	m ɐ s t í ʂ k ɐ
मस्तु	m ɐ s̪ t̪ u
मह	m ɐ ɦ ɐ
महत्	m ɐ ɦ ɐ t̪
महत्त्व	m ɐ ɦ ɐ t t ʋ ɐ
महर्द्धिक	m ɐ ɦ ɐ ɾ d dʱ i k ɐ
महर्षि	m ɐ ɦ ɐ ɾ ʂ i
महस्	m ɐ ɦ ɐ s̪
महा	m ɐ ɦ ɑː
महाकवि	m ɐ ɦ ɑː k ɐ ʋ i
महाकाल	m ɐ ɦ ɑː k ɑː l ɐ
महाकाली	m ɐ ɦ ɑː k ɑː l iː
महाकाव्य	m ɐ ɦ ɑː k ɑː ʋ j ɐ
महागज	m ɐ ɦ ɑː ɡ ɐ d͡ʑ ɐ
महाजनपद	m ɐ ɦ ɑː d͡ʑ ɐ n ɐ p ɐ d ɐ́
महात्मन्	m ɐ ɦ ɑː t m ɐ n
महादेव	m ɐ ɦ ɑː d ɐ j ʋ ɐ́
महान्	m ɐ ɦ ɑː n
महापद्म	m ɐ ɦ ɑː p ɐ d m ɐ
महाप्राण	m ɐ ɦ ɑː p ɾ ɑː ɳ ɐ
महाबल	m ɐ ɦ ɑː b ɐ l̪ ɐ
महाभारत	m ɐ ɦ ɑː bʱ ɑː ɾ ɐ t̪ ɐ
महाभारतम्	m ɐ ɦ ɑː bʱ ɑː ɾ ɐ t ɐ m
महाभारतस्	m ɐ ɦ ɑː bʱ ɑː ɾ ɐ t̪ ɐ s̪
महामात्र	m ɐ ɦ ɑː m ɑː t ɾ ɐ
महायान	m ɐ ɦ ɑː j ɑː n̪ ɐ
महायुद्ध	m ɐ ɦ ɑː j u d dʱ ɐ
महाराजन्	m ɐ ɦ ɑː ɾ ɑː d͡ʑ ɐ n̪
महाराष्ट्र	m ɐ ɦ ɑː ɾ ɑː ʂ ʈ ɾ ɐ
महार्घ	m ɐ ɦ ɑː ɾ ɡʱ ɐ
महार्णव	m ɐ ɦ ɑː ɾ ɳ ɐ ʋ ɐ
महावीर	m ɐ ɦ ɑː ʋ iː ɾ ɐ
महित्व	m ɐ ɦ i t ʋ ɐ́
महिमन्	m ɐ ɦ i m ɐ n̪
महिला	m ɐ ɦ i l ɑ́ː
महिष	m ɐ ɦ i ʂ ɐ
महिष्ठ	m ɐ ɦ i ʂ ʈʰ ɐ
महीयस्	m ɐ ɦ iː j ɐ s̪
महीरजस्	m ɐ ɦ iː ɾ ɐ d͡ʑ ɐ s̪
महेन्द्र	m ɐ ɦ eː n̪ d̪ ɾ ɐ
महेश	m ɐ ɦ eː ɕ ɐ
महेश्वर	m ɐ ɦ eː ɕ ʋ ɐ ɾ ɐ
मह्	m ɐ ɦ
मह्यम्	m ɐ ɦ j ɐ m
मा	m ɑː
मांस	m ɑ̃ː s ɐ́
मांसम्	m ɑ̃ː s ɐ́ m
मांसौदन	m ɑ̃ː s ɑː w d ɐ́ n ɐ
मांस्	m ɑ̃ː s
माकन्द	m ɑː k ɐ n d ɐ
माकिस्	m ɑː k i s̪
माघ	m ɑː ɡʱ ɐ
माङ्गलिक	m ɑː ŋ ɡ ɐ l i k ɐ
माचल	m ɑː t͡ɕ ɐ l ɐ
माणिक्य	m ɑː ɳ i k j ɐ
माण्डलिक	m ɑː ɳ ɖ ɐ l i k ɐ
मातरम्	m ɑː t ɐ́ ɾ ɐ m
माता	m ɑː t ɑː
मातापिता	m ɑː t ɑː p i t ɑː
मातुःष्वसृ	m ɑː t u h ʂ ʋ ɐ s r̩
मातुल	m ɑː t u l ɐ
