ͷ	t͡s
πότερε	p o t e r e
πότεροι	p o t e r i
πότερον	p o t e r o n
πότερος	p o t e r o s
πότιμος	p o t i m o s
πότμον	p o t m o n
πότμος	p o t m o s
πότνα	p o t n a
πότνια	p o t n i a
πότνιαι	p o t n i e
πότνιαν	p o t n i a n
πότος	p o t o s
πύανος	p i a n o s
πύγαργος	p i ɣ a r ɣ o s
πύγελα	p i ʝ e l a
πύδνα	p i ð n a
πύδναν	p i ð n a n
πύελος	p i e l o s
πύθηαι	p i θ i e
πύθομαι	p i θ o m e
πύθω	p i θ o
πύθων	p i θ o n
πύκα	p i k a
πύκνα	p i k n a
πύκτης	p i k t i s
πύλαι	p i l e
πύλαις	p i l e s
πύλας	p i l a s
πύλη	p i l i
πύλην	p i l i n
πύλης	p i l i s
πύλιγξ	p i l i ŋ k s
πύλιος	p i l i o s
πύλον	p i l o n
πύλονδε	p i l o n d e
πύλος	p i l o s
πύλου	p i l u
πύλῃ	p i l i
πύλῃς	p i l i s
πύλῃσι	p i l i s i
πύλῃσιν	p i l i s i n
πύλῳ	p i l o
πύματον	p i m a t o n
πύματος	p i m a t o s
πύνδαξ	p i n d a k s
πύξ	p i k s
πύξαι	p i k s e
πύξινος	p i k s i n o s
πύξος	p i k s o s
πύον	p i o n
πύραμος	p i r a m o s
πύρασος	p i r a s o s
πύραυνος	p i r a v n o s
πύργε	p i r ʝ e
πύργοι	p i r ʝ i
πύργοιν	p i r ʝ i n
πύργοις	p i r ʝ i s
πύργον	p i r ɣ o n
πύργος	p i r ɣ o s
πύργου	p i r ɣ u
πύργους	p i r ɣ u s
πύργω	p i r ɣ o
πύργων	p i r ɣ o n
πύργῳ	p i r ɣ o
πύρδαλον	p i r ð a l o n
πύρεθρον	p i r e θ r o n
πύρινος	p i r i n o s
πύρνον	p i r n o n
πύρνος	p i r n o s
πύρρα	p i r a
πύρρος	p i r o s
πύρωσις	p i r o s i s
πύσσαχος	p i s a x o s
πύστεις	p i s t i s
πύστις	p i s t i s
πώ	p o
πώγων	p o ɡ o n
πώγωνας	p o ɡ o n a s
πώγωνος	p o ɡ o n o s
πώεα	p o e a
πώλει	p o l i
πώλης	p o l e̝ s
πώλησις	p o l e̝ s i s
πώλησον	p o l e̝ s o n
πώνω	p o n o
πώποτ'	p o p o t
πώποτε	p o p o t e
πώρινος	p o r i n o s
πώς	p o s
πᾶγος	p a ɣ o s
πᾶν	p a n
πᾶνα	p a n a
πᾶς	p a s
πᾶσ'	p a s
πᾶσα	p a s a
πᾶσαι	p a s e
πᾶσαν	p a s a n
πᾶσι	p a s i
πᾶσιν	p a s i n
πᾶχυς	p a kʰ y s
πῃ	p e̝
πῆγμα	p e̝ ɡ m a
πῆμα	p e̝ m a
πῆμος	p e̝ m o s
πῆνος	p e̝ n o s
πῆξε	p e̝ k s e
πῆξεν	p e̝ k s e n
πῆξις	p e̝ k s i s
πῆχυν	p e̝ kʰ y n
πῆχυς	p e̝ kʰ y s
πῇ	p e̝
πῖ	p i
πῖδαξ	p i d a k s
πῖλος	p i l o s
πῖνε	p i n e
πῖπτεν	p i p t e n
πῖπτον	p i p t o n
πῖσα	p i s a
πῖσος	p i s o s
πῦρ	p i r
πῶλος	p o l o s
πῶμα	p o m a
πῶρος	p o r o s
πῶς	p o s
πῶϋ	p o i
σά	s a
σάβανον	s a b a n o n
σάββας	s a b b a s
σάββατον	s a b b a t o n
σάγαρις	s a ɡ a r i s
σάγγαρον	s a ŋ ɡ a r o n
σάγμα	s a ɡ m a
σάγος	s a ɡ o s
σάγουρον	s a ɡ u r o n
σάγρα	s a ɡ r a
σάδοκος	s a d o k o s
σάκε'	s a c e
σάκεα	s a c e a
σάκει	s a c i
σάκεος	s a c e o s
σάκεσιν	s a c e s i n
σάκεσσι	s a c e s i
σάκευς	s a c e f s
σάκεϊ	s a c e i
σάκης	s a c i s
σάκκινος	s a c i n o s
σάκκος	s a k k o s
σάκος	s a k o s
σάκτας	s a k t a s
σάκχαρ	s a k kʰ a r
σάκχαρις	s a k kʰ a r i s
σάκχαρον	s a k kʰ a r o n
σάλαξ	s a l a k s
σάλβιος	s a l b i o s
σάλη	s a l e̝
σάλιος	s a l i o s
σάλος	s a l o s
σάλπη	s a l p e̝
σάλπιγγος	s a l p i ŋ ɡ o s
σάλπιγξ	s a l p i ŋ k s
σάμαξ	s a m a k s
σάμβαλον	s a m b a l o n
σάμη	s a m e̝
σάμιοι	s a m i i
σάμιον	s a m i o n
σάμιος	s a m i o s
σάμον	s a m o n
σάμος	s a m o s
σάμου	s a m u
σάμψουχον	s a m p s u kʰ o n
σάμῃ	s a m e̝
σάμῳ	s a m o
σάνδαλον	s a n d a l o n
σάνδανον	s a n d a n o n
σάνδανος	s a n d a n o s
σάνδυξ	s a n d i k s
σάνη	s a n e̝
σάννας	s a n a s
σάνταλον	s a n d a l o n
σάος	s a o s
σάπειρες	s a p i r e s
σάπιθος	s a p i tʰ o s
σάπφειρος	s a p f i r o s
σάπων	s a p o n
σάρα	s a r a
σάραβος	s a r a b o s
σάραπις	s a r a p i s
σάργαλος	s a r ɡ a l o s
σάρδεις	s a r d i s
σάρδιες	s a r d i e s
σάρδιον	s a r d i o n
σάρεπτα	s a r e p t a
σάρισα	s a r i s a
σάρκα	s a r k a
σάρκας	s a r k a s
σάρκες	s a r c e s
σάρκεσσι	s a r c e s i
σάρκινος	s a r c i n o s
σάρνος	s a r n o s
σάρξ	s a r k s
σάρον	s a r o n
σάρος	s a r o s
σάρρα	s a r a
σάρτη	s a r t e̝
σάς	s a s
σάταλα	s a t a l a
σάτον	s a t o n
σάτρα	s a t r a
σάτραι	s a t r e
σάττα	s a t a
σάττω	s a t o
σάτυρος	s a t i r o s
σάφα	s a f a
σάω	s a o
σάϊς	s a i s
σέ	s e
σέβας	s e b a s
σέβασις	s e b a s i s
σέβομαι	s e b o m ɛ
σέβω	s e b o
σέθεν	s e tʰ e n
σέλαγος	s e l a ɡ o s
σέλας	s e l a s
σέλαχος	s e l a kʰ o s
σέλγη	s e l ɡ e̝
σέλευκος	s e l e f k o s
σέλινα	s e l i n a
σέλινον	s e l i n o n
σέλμα	s e l m a
σέμελος	s e m e l o s
σέντιος	s e n d i o s
σέξτος	s e k s t o s
σέο	s e o
σέραπις	s e r a p i s
σέρβιος	s e r b i o s
σέργιος	s e r ɡ i o s
σέρις	s e r i s
σέριφος	s e r i f o s
σέρρειον	s e r i o n
σέρφος	s e r f o s
σέσελις	s e s e l i s
σέσιλος	s e s i l o s
σέσοψ	s e s o p s
σέσυφος	s e s i f o s
σέσωστρις	s e s o s t r i s
σή	s e̝
σήθ	s e̝ tʰ
σήθω	s e̝ tʰ o
σήκωμα	s e̝ k o m a
σήμ	s e̝ m
σήματ'	s e̝ m a t
σήματα	s e̝ m a t a
σήματε	s e̝ m a t e
σήματι	s e̝ m a t i
σήμερον	s e̝ m e r o n
σήν	s e̝ n
σήπειν	s e̝ p i n
σήπιον	s e̝ p i o n
σήπω	s e̝ p o
σήρ	s e̝ r
σήραμβος	s e̝ r a m b o s
σής	s e̝ s
σήσαμον	s e̝ s a m o n
σήστιος	s e̝ s t i o s
σίαλον	s i a l o n
σίαλος	s i a l o s
σίβυλλα	s i b y l l a
σίγα	s i ɡ a
σίγγος	s i ŋ ɡ o s
σίγειον	s i ɡ i o n
σίγλος	s i ɡ l o s
σίγμα	s i ɡ m a
σίγνιον	s i ɡ n i o n
σίγνον	s i ɡ n o n
σίδαιον	s i d ɛ o n
σίδαρος	s i d a r o s
σίδη	s i d e̝
σίδηρον	s i d e̝ r o n
σίδηρος	s i d e̝ r o s
σίδιον	s i d i o n
σίδριμνον	s i d r i m n o n
σίδυμα	s i d y m a
σίελος	s i e l o s
σίζω	s i z o
σίκας	s i k a s
σίκερα	s i c e r a
σίκινος	s i c i n o s
σίκυος	s i c i o s
σίλα	s i l a
σίλαν	s i l a n
σίλας	s i l a s
σίλβη	s i l b e̝
σίλβιον	s i l b i o n
σίλλυβον	s i l i v o n
σίλουρος	s i l u r o s
σίλφη	s i l f i
σίλφιον	s i l f i o n
σίλᾳ	s i l a
σίμβλος	s i m b l o s
σίμων	s i m o n
σίναπι	s i n a p i
σίνδοι	s i n d i
σίνδος	s i n d o s
σίνθος	s i n tʰ o s
σίνις	s i n i s
σίννακα	s i n a k a
σίνομαι	s i n o m e
σίντης	s i n d i s
σίνων	s i n o n
σίον	s i o n
σίπυδνος	s i p i ð n o s
σίπυλος	s i p i l o s
σίραιον	s i r e o n
σίραμφος	s i r a m f o s
σίρωμος	s i r o m o s
σίσαρον	s i s a r o n
σίσυρνα	s i s i r n a
σίσυς	s i s i s
σίσυφος	s i s i f o s
σίτινος	s i t i n o s
σίτλα	s i t l a
σίτοιν	s i t i n
σίτοιο	s i t i o
σίτοις	s i t i s
σίτοισι	s i t i s i
σίτοισιν	s i t i s i n
σίτοιϊν	s i t i i n
σίτοο	s i t o o
σίτου	s i t u
σίττη	s i t i
σίττυβος	s i t i v o s
σίτω	s i t o
σίτων	s i t o n
σίτῳ	s i t o
σίφνος	s i f n o s
σίφων	s i f o n
σαΐτης	s a i t e̝ s
σαί	s e
σαίνω	s e n o
σαίρω	s e r o
σαβάζιος	s a b a z i o s
σαβάζω	s a b a z o
σαβακός	s a b a k o s
σαβαώθ	s a b a o tʰ
σαββατισμός	s a b b a t i z m o s
σαβῖνος	s a b i n o s
σαγάπηνον	s a ɡ a p e̝ n o n
σαγάρτιοι	s a ɡ a r t i y
σαγή	s a ɡ e̝
σαγήνη	s a ɡ e̝ n e̝
σαγαλασσός	s a ɡ a l a s s o s
σαγγάδης	s a ŋ ɡ a d e̝ s
σαγγάριος	s a ŋ ɡ a r i o s
σαγηνευτής	s a ɡ e̝ n e ʍ t e̝ s
σαγηνεύω	s a ɡ e̝ n e w o
σαγηνοβόλος	s a ɡ e̝ n o b o l o s
σαγματοπασμαγάδια	s a ɣ m a t o p a z m a ɣ a ð i a
σαγύριον	s a ɡ y r i o n
σαδδουκαῖος	s a ð u c e o s
σαδυάττης	s a d y a t t e̝ s
σαθρός	s a tʰ r o s
σαιπρός	s a i̯ p r ó s
σαιταφάρνης	s a i̯ t a pʰ á r n ɛː s
σακέεσσι	s a c e e s i
σακέεσσιν	s a c e e s i n
σακέων	s a c e o n
σακαραῦκαι	s a k a r a f c e
σακκοπήρα	s a k k o p e̝ r a
σακχάρου	s a k kʰ a r u
σακχυφάντης	s a k kʰ y pʰ a n t e̝ s
σαλάμβη	s a l a m b e̝
σαλαγή	s a l a ɡ e̝
σαλαμάνδρα	s a l a m a n d r a
σαλαμίς	s a l a m i s
σαλαμινία	s a l a m i n i a
σαλαμῖνι	s a l a m i n i
σαλγανεύς	s a l ɡ a n e ʍ s
σαλεύω	s a l e v o
σαλμωνεύς	s a l m o n e f s
σαλμύδησος	s a l m i ð i s o s
σαλομών	s a l o m o n
σαλούστιος	s a l u s t i o s
σαλωμών	s a l o m o n
σαλώνιος	s a l o n i o s
σαμάρεια	s a m a r i a
σαμίην	s a m i e̝ n
σαμίοις	s a m i i s
σαμίοισι	s a m i i s i
σαμίου	s a m i u
σαμίους	s a m i u s
σαμίων	s a m i o n
σαμίῳ	s a m i o
σαμαΐας	s a m a i a s
σαμαίνω	s a m e n o
σαμαρίτης	s a m a r i t e̝ s
σαμαρείτης	s a m a r i t e̝ s
σαμβύκη	s a m b i c i
σαμοθρᾴκη	s a m o tʰ r a k e̝
σαμουήλ	s a m u i l
σαμψήρα	s a m p s e̝ r a
σαμψούχινος	s a m p s u kʰ i n o s
σαμψών	s a m p s o n
σαμόθρᾳξ	s a m o tʰ r a k s
σαμόσατα	s a m o s a t a
σανίδα	s a n i d a
σανίδας	s a n i d a s
σανίδες	s a n i d e s
σανίς	s a n i s
σαναχάριβος	s a n a kʰ a r i b o s
σανδάκη	s a n d a c i
σανδάλιον	s a n d a l i o n
σανδαλίσκος	s a n d a l i s k o s
σανδαλοθήκη	s a n d a l o tʰ e̝ k e̝
σανδαράκη	s a n d a r a c i
σανδαράκινος	s a n d a r a c i n o s
σανδαράχη	s a n d a r a kʰ e̝
σανδροκόττου	s a n d r o k o t t u
σανδρόκοττος	s a n d r o k o t o s
σανδύκινος	s a n d i c i n o s
σαντάλινος	s a n d a l i n o s
σαοφρόνεσι	s a o f r o n e s i
σαοφρόνεσιν	s a o f r o n e s i n
σαοφρόνεσσι	s a o f r o n e s i
σαοφρόνεσσιν	s a o f r o n e s i n
σαοφρόνοιν	s a o f r o n i n
σαοφρόνοιϊν	s a o f r o n i i n
σαοφρόνων	s a o f r o n o n
σαούλ	s a u l
σαοῖ	s a i
σαοῦς	s a u s
σαπάνα	s a p a n a
σαπέρδης	s a p e r d e̝ s
σαπαῖοι	s a p e i
σαπρά	s a p r a
σαπρία	s a p r i a
σαπρός	s a p r o s
σαπφείρινος	s a p f i r i n o s
σαπφώ	s a p f o
σαπώρης	s a p o r i s
σαράβαρα	s a r a b a r a
σαράγγαι	s a r a ŋ ɡ ɛ
σαρακηνός	s a r a c i n o s
σαραόστος	s a r a o s t o s
σαργάνη	s a r ɡ a n e̝
σαργαραυσηνή	s a r ɡ a r a u̯ s ɛː n ɛ̌ː
σαργός	s a r ɡ o s
σαργῖνος	s a r ɡ i n o s
σαρδάνιος	s a r d a n i o s
σαρδανάπαλλος	s a r d a n a p a l l o s
σαρδανάπαλος	s a r d a n a p a l o s
σαρδική	s a r d i k e̝
σαρδόνυξ	s a r d o n y k s
σαρδώ	s a r d o
σαρκάζω	s a r k a z o
σαρκί	s a r c i
σαρκασμός	s a r k a z m o s
σαρκοκήλη	s a r k o c i l i
σαρκοκηλικός	s a r k o c i l i k o s
σαρκοκόλλα	s a r k o k o l a
σαρκολαβίς	s a r k o l a b i s
σαρκοφάγος	s a r k o f a ɣ o s
σαρκόμφαλον	s a r k o m f a l o n
σαρκόπυον	s a r k o p i o n
σαρκός	s a r k o s
σαρκώδης	s a r k o d e̝ s
σαρκῶν	s a r k o n
σαρματία	s a r m a t i a
σαρμός	s a r m o s
σαρξί	s a r k s i
σαρξίν	s a r k s i n
σαρπηδόνα	s a r p e̝ d o n a
σαρπηδόνος	s a r p e̝ d o n o s
σαρπηδών	s a r p e̝ d o n
σαρωνίς	s a r o n i s
σαρωνικός	s a r o n i k o s
σαστήρ	s a s t e̝ r
σατάν	s a t a n
σατάσπης	s a t a s p e̝ s
σατίνη	s a t i n e̝
σατανᾶς	s a t a n a s
σαταρίς	s a t a r i s
σατιβαρζάνης	s a t i b a r z a n e̝ s
σατνιόεις	s a t n i o i s
σατράκης	s a t r a c i s
σατράπης	s a t r a p e̝ s
σατραπεία	s a t r a p i a
σατταγύδαι	s a t a ʝ i ð e
σατυρίασις	s a t i r i a s i s
σατυρίησις	s a t i r i i s i s
σατυρίσκος	s a t i r i s k o s
σατόρνινος	s a t o r n i n o s
σατύριον	s a t i r i o n
σατᾶν	s a t a n
σαυκρόν	s a f k r o n
σαυκός	s a f k o s
σαυνίτης	s a u̯ n ǐː t ɛː s
σαυρίτης	s a u̯ r ǐː t ɛː s
σαυροκτόνος	s a u̯ r o k t ó n o s
σαυρομάτης	s a u̯ r o m á t ɛː s
σαυρωτήρ	s a u̯ r ɔː t ɛ̌ː r
σαυτήν	s a f t i n
σαυτόν	s a f t o n
σαυτῆς	s a f t i s
σαυτῇ	s a f t i
σαυτῷ	s a f t o
σαφές	s a f e s
σαφέσι	s a f e s i
σαφέσιν	s a f e s i n
σαφέστατα	s a f e s t a t a
σαφέστατος	s a f e s t a t o s
σαφής	s a f i s
σαφεστάτη	s a f e s t a t i
σαφεῖ	s a f i
σαφεῖς	s a f i s
σαφοῦς	s a f u s
σαφῆ	s a f i
σαφῶν	s a f o n
σαφῶς	s a f o s
σαόφρον	s a o f r o n
σαόφρονα	s a o f r o n a
σαόφρονας	s a o f r o n a s
σαόφρονε	s a o f r o n e
σαόφρονες	s a o f r o n e s
σαόφρονι	s a o f r o n i
σαόφρονος	s a o f r o n o s
σαόφροσι	s a o f r o s i
σαόφροσιν	s a o f r o s i n
σαόφρων	s a o f r o n
σαόω	s a o o
σαύνιον	s a v n i o n
σαύρα	s a v r a
σαύροιν	s a v r i n
σαύροις	s a v r i s
σαύρου	s a v r u
σαύρους	s a v r u s
σαύρω	s a v r o
σαύρων	s a v r o n
σαύρῳ	s a v r o
σαώ	s a o
σαώσομεν	s a o s o m e n
σαώτερα	s a o t e r a
σαώτεροι	s a o t e r i
σαώτερος	s a o t e r o s
σαῖς	s e s
σαῦλος	s a v l o s
σαῦρε	s a v r e
σαῦροι	s a v r i
σαῦρον	s a v r o n
σαῦρος	s a v r o s
σαῦσαξ	s a f s a k s
σαῶ	s a o
σαῷ	s a o
σβέννυμι	z b e n n y m i
σε	s e
σείει	s i i
σείειν	s i i n
σείεις	s i i s
σείεσθαι	s i e s tʰ ɛ
σείεται	s i e t e
σείοι	s i i
σείοις	s i i s
σείομαι	s i o m e
σείονται	s i o n d e
σείουσα	s i u s a
σείουσι	s i u s i
σείουσιν	s i u s i n
σείριος	s i r i o s
σείσει	s i s i
σείσουσι	s i s u s i
σείσουσιν	s i s u s i n
σείστροις	s i s t r i s
σείστρου	s i s t r u
σείσω	s i s o
σείσων	s i s o n
σείω	s i o
σείων	s i o n
σεαυτήν	s e a f t i n
σεαυτόν	s e a f t o n
σεαυτῆς	s e a f t i s
σεαυτῇ	s e a f t i
σεαυτῷ	s e a f t o
σεβάζομαι	s e b a z o m ɛ
σεβάστεια	s e b a s t i a
σεβένινος	s e b e n i n o s
σεβένιον	s e b e n i o n
σεβέννυτος	s e b e n n y t o s
σεβίζω	s e b i z o
σεβαστιανός	s e b a s t i a n o s
σεβαστοκράτωρ	s e v a s t o k r a t o r
σεβαστός	s e b a s t o s
σειληνός	s eː l ɛː n ó s
σειρά	s eː r ǎː
σειρέω	s eː r é ɔː
σειρήν	s eː r ɛ̌ː n
σειρήνων	s eː r ɛ̌ː n ɔː n
σεισμοί	s eː z m ǒ i̯
σεισμούς	s eː z m ǔː s
σεισμοῖς	s eː z m ô i̯ s
σεισμοῦ	s eː z m ûː
σεισμόν	s eː z m ó n
σεισμός	s eː z m ó s
σεισμῶν	s eː z m ɔ̂ː n
σεισμῷ	s eː z m ɔ̂ː i̯
σειόμενον	s eː ó m e n o n
σειόμενος	s eː ó m e n o s
σειών	s i o n
σελάτης	s e l a t e̝ s
σελήναις	s e l e̝ n ɛ s
σελήνας	s e l e̝ n a s
σελήνη	s e l e̝ n e̝
σελήνην	s e l e̝ n e̝ n
σελήνης	s e l e̝ n e̝ s
σελήνῃ	s e l e̝ n e̝
σελίαρ	s e l i a r
σελίνινος	s e l i n i n o s
σελίνοιν	s e l i n i n
σελίνοις	s e l i n i s
σελίνου	s e l i n u
σελίνω	s e l i n o
σελίνων	s e l i n o n
σελίνῳ	s e l i n o
σελίς	s e l i s
σελαναία	s e l a n e a
σελευκίδης	s e l e f c i ð i s
σελευκεύς	s e l e f c e f s
σελεύκεια	s e l e f c i a
σεληνίτης	s e l e̝ n i t e̝ s
σεληναίη	s e l e̝ n ɛ e̝
σεληνιακός	s e l e̝ n i a k o s
σεληνῶν	s e l e̝ n o n
σελινοῦς	s e l i n u s
σελινῖτις	s i d e̝ r i t i s
σελλήεις	s e l i i s
σελλήεντος	s e l i e n d o s
σελλασία	s e l a s i a
σελῆναι	s e l e̝ n ɛ
σεμέλη	s e m e l e̝
σεμίδαλις	s e m i d a l i s
σεμίραμις	s e m i r a m i s
σεμεΐ	s e m e i
σεμνάς	s e m n a s
σεμνήν	s e m n e̝ n
σεμναί	s e m n e
σεμναῖν	s e m n e n
σεμναῖς	s e m n e s
σεμνολογία	s e m n o l o ɡ i a
σεμνοῖν	s e m n i n
σεμνοῖς	s e m n i s
σεμνοῦ	s e m n u
σεμνόν	s e m n o n
σεμνός	s e m n o s
σεμνώ	s e m n o
σεμνῆς	s e m n e̝ s
σεμνῇ	s e m n e̝
σεμνῶν	s e m n o n
σεμνῷ	s e m n o
σεμπρώνιος	s e m b r o n i o s
σενέκας	s e n e k a s
σενδούκη	s e n d u c i
σεπτέμβριε	s e p t e m b r i e
σεπτέμβριοι	s e p t e m b r i i
σεπτέμβριος	s e p t e m b r i o s
σεπτίμιος	s e p t i m i o s
σεπτεμβρίου	s e p t e m b r i u
σεπτεμβρίους	s e p t e m b r i u s
σεπτεμβρίων	s e p t e m b r i o n
σεπτός	s e p t o s
σεράφ	s e r a f
σεραπιάς	s e r a p i a s
σεραστερή	s e r a s t e r e̝
