achab	aː k a b
trespas	t r ɛ s p a s
tresse	t r ɛ s
tressen	t r ɛ s ə n
tressour	t r ɛ s i u̯ r
trest	t r ɛ s t
trestel	t r ɛ s t ə l
tretys	t r ɛː t iː s
trevet	t r i v ɛ t
trewe	t r i u̯
trewely	t r i u̯ l iː
trey	t r æ i̯
triasandri	t r iː a s a n d a l iː
tribe	t r iː b
tribune	t r i b i u̯ n
trice	t r iː s
tridel	t i r d ə l
trine	t r iː n
trinite	t r i n i t eː
trip	t r i p
tripe	t r iː p
tripet	t r i p ɛ t
trippen	t r i p ə n
trippere	t r i p ə r
trippyng	t r i p i n ɡ
trogh	t r ɔ u̯ x
trokel	t r ɔ k ə l
trollen	t r ɔ l ə n
trome	t r oː m
trompour	t r u m p u r
tronchoun	t r u n s u n
trone	t r oː n
tronen	t r oː n ə n
tronke	t r u n k
trouble	t r u b l ə
troublen	t r u b l ə n
troublous	t r u b l u s
troubly	t r u b l iː
trouse	t r uː s
troute	t r u x t
trouthe	t r i u̯ ð
trumpe	t r u m p
trumpen	t r u m p ə n
trumpet	t r u m p i t
trussen	t r u s ə n
trust	t r u s t
trynen	t r i n ə n
tryppe	t r i p
tryppingly	t r i p i n ɡ l iː
tubbe	t u b
tuggen	t u ɡ ə n
tuken	t u k ə n
tukere	t u k ə r
tulk	t u l k
tumblen	t u m b l ə n
tumour	t i u̯ m u r
tunne	t u n
turf	t u r f
turmeryte	t u r m ə r i t
turnepe	t u r n eː p
tuschy	t u ʃ iː
tusk	t u k s
tusky	t u s k iː
tuskyd	t u s k i d
tusshe	t u ʃ
twelf	t w ɛ l f
twelfte	t w œ f t
twentithe	t w ɛ n t i ð
tweye	t w e i̯
tweyfold	t w æ i̯ f ɔː l d
tweyne	t w æ i̯ n
twie	t w iː
twifold	t w i f ɔː l d
twig	t w i ɡ
twist	t w i s t
twisten	t w i s t ə n
two	t w aː
twofold	t w oː f ɔː l d
twyn	t w iː n
twynen	t w iː n ə n
twyx	t w i k s
tydy	t iː d iː
tyght	t i x t
tygre	t eː ɡ ə r
tylle	t i l
tyllyng	t i l i n ɡ
tylman	t i l m a n
tyme	t i m
tymeful	t iː m f u l
tymely	t iː m l iː
tymen	t iː m ə n
tyn	t i n
tynen	t iː n ə n
tynkere	t i n k ə r
tyraundise	t i r a n d i s
tyraunt	t i r a n t
tyrauntly	t i r a n d l iː t ʃ
tyrauntrie	t i r a n r iː
udder	u d ə r
umbeclosen	i m b ə k l ɔː z ə n
umbedelven	u m b e d e l v e n
umbefolden	u m b e f ɔː l d e n
umbegon	u m b e ɡ ɔː n
umbelappen	u m b e l ɑ p p e n
umbeloken	u m b e l ɔː k e n
unbuxom	u n b u k s u m
unchaungeable	u n t͡ʃ a u̯ n d͡ʒ aː b ə l
uncle	u n k l ə
unde	u n d
undedly	u n d ɛ d l iː
undedlynesse	u n d ɛ d l iː n ɛ s
underdelven	u n d ə r d ɛ l v ə n
understonden	u n d ə r s t a n d ə n
undisposicioun	u n d i s p ɔ z i s i uː n
undressen	u n d r ɛ s ə n
unfrendly	u n f r eː n d l iː
unhelpen	u n h ɛ l p ə n
unhoneste	u n ɔ n ɛ s t
unhonestly	u n ɔ n ɛ s t l iː
unicorne	i u̯ n i k ɔ r n
universal	i u̯ n i v ɛ r s a l
universalite	i u̯ n i v ɛ r s a l i t eː
universally	i u̯ n i v ɛ r s a l iː
universe	i u̯ n i v ɛ r s
universite	i u̯ n i v ɛ r s i t eː
unk	u n k
unker	u n k ə r
unkynde	u n k eː n d
unkyndehede	u n k iː n d h ɛ̝ː d
unkyndely	u n k i n d l iː
unkyndenesse	u n k iː n d n ɛ s
unlovely	u n l u v l i t͡ʃ
unmaken	u n m aː k ə n
unnen	u n ə n
unserchable	u n s ɛ r t͡ʃ aː b ə l
unstedefast	u n s t ɛ d f a s t
unstedefastnesse	u n s t ɛ d f a s t n ɛ s
unweder	u n w ɛ d ə r
unwisdom	u n w i z d oː m
up	u p
upbreiden	u p b r æ i̯ d ə n
upholden	u p h aː l d
upon	u p ɔ n
ure	i u̯ r
us	u s
usen	i u̯ z ə n
usual	i u̯ z i u̯ a l
utilite	i u̯ t i l i t eː
utmost	uː t m ɔː s t
vale	v aː l
valen	v aː l ə n
valeye	v a l æ i̯
value	v a l i u̯
vambrace	v a m b r aː s
vapour	v a p uː r
vapouren	v a p uː r ə n
vapourynge	v a p uː r i n ɡ
vassal	v a s a l
vaute	v a u̯ t
vauten	v a u̯ t ə n
vavasour	v a v ə s u r
veel	v ɛ l
veine	v æ i̯ n
veir	v æ i̯ r
velvet	v ɛ l v ɛ t
vendage	v i n d aː d͡ʒ
venerie	v ɛ n ɛ r iː
venisoun	v ɛ n i z u n
venquysshen	v ɛ n k u s ə n
venu	v ɛ n i u̯
venym	v ɛ n i m
venymen	v ɛ n i m ə n
venymous	v ɛ n i m u s
venymoushede	v ɛ n i m u s h ɛ̝ː d
venymously	v ɛ n i m u s l iː
venymouste	v ɛ n i m u s t eː
venymynge	v ɛ n i m i n ɡ
verbe	v ɛ r b
verder	v ɛ r d eː r
verdit	v ɛ r d i t
verdure	v ɛ r d i u̯ r
verjus	v ɛ r d ʒ i s
vermyn	v ɛ r m i n
vernage	v ɛ r n aː d͡ʒ
verraily	v ɛ r i l iː
verray	v ɛ r æ i̯
vers	f ɛ r s
verset	v ɛ r s ɛ t
versicle	v ɛ r s i k l ə
versifien	v ɛ r s i f iː ə n
versifiour	v ɛ r s i f iː u r
vert	v ɛ r t
vertu	v i r t i u̯
vertual	v i r t i u̯ a l
vertually	v i r t i u̯ a l iː
vertules	v ɛ r t i u̯ l ɛ s
vertuous	v ɛ r t i u̯ u s
vertuously	v ɛ r t i u̯ u s l iː
vertuousnesse	v ɛ r t i u̯ u s n ɛ s
verveyne	v ɛ r v æ i̯ n
vespertyne	v ɛ s p ə r t iː n
vessel	v ɛ s ə l
vesselling	v ɛ s ə l i n ɡ
vesselment	v ɛ s ə l m ɛ n t
vewe	v i u̯
vewer	v i u̯ ə r
vexacioun	v ɛ k s aː s i uː n
vexen	v ɛ k s ə n
vexynge	v ɛ k s i n ɡ
vice	v iː s
viciate	v iː s i aː t
vicious	v i s i uː s
viciously	v i s i uː s l iː
viciousnesse	v i s i u s n ɛ s
vilein	v i l æ i̯ n
vine	v iː n
viniter	v i n i t eː r
viniterie	v i n i t r iː
vinous	v iː n u s
violence	v i ə l ɛ n s
violent	v i ə l ɛ n t
violently	v i ə l ɛ n t l iː
violet	v iː ɔ l ɛ t
visioun	v i z j u n
vitaile	v i t æ i̯ l
vitailen	v i t i l ə n
vitailler	v i t æ i̯ l eː r
vitaillyng	v i t æ i̯ l i n ɡ
vntil	u n t i l
volvelle	v ɔ l v ɛ l
vowel	v uː ɛ l
voys	v oː s
voysen	v u i̯ s ə n
vulgare	v u l ɡ a r
vynegre	v i n ɛ ɡ r ə
vyner	v iː n ə r
vynet	v i n ɛ t
vyneȝerd	v iː n j a r d
vynolent	v iː n ɔ l ɛ n t
vynour	v iː n u r
vyntener	v i n t i n eː r
vyny	v iː n iː
wacche	w a t͡ʃ
wacchen	w a t͡ʃ ə n
waden	w a d ə n
wafre	w aː f r ə
wafrer	w aː f r eː r
wafroun	w aː f r u n
wage	w aː d ʒ
wagen	w aː d ʒ ə n
waiten	w æ i̯ t ə n
waith	w aː θ
wajour	w aː d͡ʒ u r
wake	w aː k
waken	w aː k ə n
waknen	w a k n ə n
wale	w aː l
walen	w aː l ə n
walet	w a l i t
walk	w a l k
walken	w a l k ə n
walkere	w a l k ə r
walkirie	w a l k i r iː
walmore	w a l m ɔː r
walnote	w a l n oː t
walwen	w a l w ə n
walwort	w a l w u r t
wandren	w a n d r iː
wankel	w a n k ə l
wanten	w a n t ə n
wantynge	w a n t i n ɡ
warderobe	w a r d r ɔː b
waren	w aː r ə n
warenne	w a r æ i̯ n
warenner	w a r n eː r
warisoun	w a r i s u n
warlok	w a r l ɔ k
warm	w a r m
warnen	w a r n ə n
warnestore	w a r n i s t oː r
warnestoren	w a r n i s t oː r ə n
warnisoun	w a r n i z u n
warnysshen	w a r n i s ə n
warp	w a r p
warte	w a r t
warysshen	w a r i s ə n
warþe	w a r θ
wasp	w a s p
wasshe	w a ʃ
wasshen	w a ʃ ə n
wasshere	w a ʃ ə r
wasshynge	w a ʃ i n ɡ
wast	w a s t
wastel	w a s t ə l
wasten	w a s t ə n
wastful	w a s t f u l
wastite	w aː s t i t eː
wastour	w a s t u r
wastyne	w a s t i n
watelen	w a t ə l ə n
water	w a t ə r
waterles	w a t ə r l ɛ s
wath	w a θ
wathely	w ɑː ð l iː
waven	w aː v ə n
waveren	w a v r ə n
waverynge	w aː v r i n ɡ
wawe	w a u̯
wawen	w a u̯ ə n
wawy	w a u̯ iː
wawynge	w a u̯ i n ɡ
wax	w a k s
waxen	w a k s ə n
waxynge	w a k s i n ɡ
waylen	w æ i̯ l ə n
waymenten	w æ i̯ m ɛ n t ə n
waymentynge	w æ i̯ m ɛ n t i n ɡ
wayn	w æ i̯ n
waynen	w æ i̯ n ə n
waynscot	w æ i̯ n s k ɔ t
waytynge	w æ i̯ t i n ɡ
we	w eː
web	w ɛ b
webbe	w ɛ b
webben	w ɛ b ə n
webbere	w ɛ b ə r
webbestere	w ɛ b s t r ə
webbynge	w ɛ b i n ɡ
weblome	w ɛ b l oː m
wecchen	w ɛ t͡ʃ ə n
wedden	w ɛ d ə n
weddynge	w ɛ d i n ɡ
weder	w ɛ d ə r
wefte	w ɛ f t
wegge	w ɛ d͡ʒ
weght	w i x t
weif	w æ i̯ f
weke	w eː k
wel	w eː l
welcome	w i l k u m
weleful	w ɛː l f u l
welefulnesse	w ɛː l f u l n ɛ s
welk	w i l k
welken	w ɛ l k ə n
welkne	w a l k n ə
welle	w a l
welthe	w ɛ l θ
welthy	w ɛ l ð iː
wely	w ɛː l iː
wenche	w ɛ n t͡ʃ
wepen	p n
wepenles	w eː p ə n l ɛ̝ː s
wepman	w a p m a n
wepynge	w eː p i n ɡ
wer	w ɛ r
werde	w eː r d
were	w ɛ r
weren	w ɛ r n
werk	w a r k
wermode	w u r m ɔ d
wernen	w a r n ə n
werpen	w a r p ə n
werpynge	w a r p i n ɡ
werre	w a r
werrely	w a r l iː
werren	w ɛ r ə n
werreour	w ɛ r i u r
werreyen	w ɛ r i ə n
werrour	w a r u r
werrynge	w a r i n ɡ
wery	w eː r iː
wesele	w ɛ z ə l
west	w ɛ s t
weste	w eː s t
westen	w eː s t ə n
westerne	w ɛ s t ə r n
westward	w ɛ s t w a r d
wet	w ɛ t
wevel	w eː v ə l
weven	w ɛ̝ː v ə n
wevere	w ɛː v ə r
wevynge	w ɛː v i n ɡ
wey	w æ i̯
weybrede	w æ i̯ b r ɔ̝ː d
weyen	w æ i̯ ə n
weyk	w æ i̯ k
weyken	w æ i̯ k ə n
weykenesse	w æ i̯ k n ɛ s
weykly	w æ i̯ k l iː
weyven	w aː v ə n
whal	h w a l
whanne	h w a n
wharf	h w a r f
wharfage	h w a r f aː d͡ʒ
what	w a t
whate	h w aː t
whel	h w eː l
whelbarwe	h w eː l b a r w ə
whele	h w ɛ̞ː l
whelen	h w eː l ə n
whelere	h w eː l ə r
whelmen	h w ɛ l m ə n
whelp	h w ɛ l p
whelpen	h w ɛ l p ə n
whelpynge	h w ɛ l p i n ɡ
whelwryghte	h w eː l w r i x t
whelyn	h w ɛ̞ː l ə n
wher	h w ɛ r
wheston	h w ɛ s t ɑː n
whete	h w ɛ̝ː t
wheten	h w ɛ̝ː t ə n
whetten	h w ɛ t ə n
whettynge	h w ɛ t i n ɡ
whey	h w æ i̯
which	h w i t͡ʃ
whider	h w i d ə r
whit	h w iː t
who	h oː
whom	h w a m
whos	h w aː s
whyle	h w iː l
whynen	h w iː n ə n
whynne	h w i n
whyrlegygge	h w i r l ɡ i ɡ
whytel	h w iː t ə l
whæm	h w a m
wicche	w eː t͡ʃ
wicchecraft	w i t͡ʃ k r a f t
wicchen	w i t͡ʃ ə n
wight	h w i x t
wikke	w i k
wikked	w i k ɛ d
wikkednesse	w i k i d n ɛ s
wilde	w iː l d
wildely	w iː l d l iː
wildernesse	w i l d ə r n ɛ s
wile	w iː l
wimplen	w i m p l ə n
win	w i n
winberie	w i n b ɛ r iː
wine	w i n
winge	w i n ɡ
winnen	w i n ə n
winter	w i n t ə r
wipen	w iː p ə n
wisdom	w i z d oː m
wisen	w iː s
wisshen	w i ʃ ə n
wit	w i t
wite	w iː t
withclosen	w i θ k l ɔː z e n
withdelen	w i θ d ɛː l e n
wiver	w iː v ə r
wiþ	w i ð
wiþerwine	w i ð ə r w i n
wlak	w l a k
wlank	w l a n k
wlispen	l i p s ə n
wlite	w l i t
wliti	w l i t iː
woclic	w ɑː k l iː k
wocnesse	w ɑː k n ɛ s
wode	w oː d
wodebynde	w oː d b i n d
wodeward	w oː d ə w a r d
woke	w ɑː k
woken	w ɑː k ə n
wold	w aː l d
wolf	w u l f
wolk	w ɔ l k
wolle	w u l
wolled	w u l i d
wollemongere	w u l m ɔ n ɡ ə r
wollen	w u l ə n
wolward	w u l w a r d
wombe	w aː m
wombed	w ɔː m b i d
womman	w i m a n
wommanles	w u m a n l ɛ s
wommanly	w u m a n l iː
wommanyssh	w u m a n i ʃ
wonder	w u n d ə r
wonderfully	w u n d ə r f u l iː
wont	w ɔ n t
wop	w oː p
wor	w ɔː r
worchen	w i r k
word	w oː r d
worden	w oː r d ə n
wordy	w oː r d iː
world	w a r l d
worlderiche	w u r l d r i t͡ʃ
worldly	w u r d l iː
worm	w i r m
worse	w a r s
worsen	w u r s ə n
worst	w a r s t
worstede	w u r s t ɛ d
wort	w i r t
worthy	w u r ð iː
wosen	w oː z ə n
wothe	w ɑː ð
wowe	w ɔ u̯
wraw	w r a u̯
wrawen	w r a u̯ ə n
wrek	w r ɛ k
wrench	w r ɛ n k
wrenchen	w r ɛ n k ə n
wrengðe	w r ɛ n ɡ ð
wrenne	w r a n
wrid	w r iː d
wrist	w i r s t
writen	w r iː t ə n
writer	w r iː t ə r
writhen	w r iː ð ə n
writhyng	w r iː ð i n ɡ
wrong	r ɔ n ɡ
wrongful	r ɔ n ɡ f u l
wrongfully	r ɔ n ɡ f u l iː
wrot	w r oː t
wroten	w r oː t ə n
wrotynge	w r oː t i n ɡ
wrynge	w r i n ɡ
wryngen	w r i n ɡ ə n
wryngynge	w r i n ɡ i n ɡ
wye	w e i̯
wyf	w iː f
wyfle	w i f l ə
wyfles	w iː f l ɛ s
wyfly	w iː f l iː
wyke	w eː k
wykeday	w eː k d æ i̯
wykely	w eː k l iː
wylow	w i l i u̯
wymble	w i m b ə l
wympel	w i m p ə l
wyn	w iː n
wyncen	w i n s ə n
wynche	w i n t͡ʃ
wynd	w i n d
wynde	w i n d
wynden	w i n d ə n
wynder	w i n d ə r
wyndmylne	w i n d m i l
wyndowe	w i n d ɔ u̯
wyndrawer	w iː n d r a u̯ ə r
wyndronken	w iː n d r u n k
wyndwen	w i n d i u̯ ə n
wyndwyng	w i n d w i n ɡ
wyndynge	w i n d i n ɡ
wynken	w i n k ə n
wynly	w i n l i t͡ʃ
wynne	w i n
wynnere	w i n ə r
wynnyng	w i n i n ɡ
wynsom	w i n s u m
wyny	w iː n iː
wynyng	w i n i n ɡ
wys	w iː s
wyspe	w i p s
wytword	w i t w oː r d
wyver	w iː v ə r
wæstm	w a s t ə m
yarken	j a r k ə n
yarn	j a r n
yarwe	j a r i u̯
ydel	iː d ə l
ydelly	iː d ə l i t͡ʃ
ydelnesse	iː d ə l n ɛ s
ydelschipe	iː d ə l ʃ i p
ydiote	i d i ɔ t
ydolatrer	iː d ɔ l a t r ə r
ydolatrie	iː d ɔ l a t r iː
ydole	iː d ɔ l
ye	iː
yekesters	j ɛː k s t ɛ r s
yel	j ɛ l
yelke	j ɔ l k
yellen	j ɔ l ə n
yellynge	j ɔ l i n ɡ
yelm	j ɛ l m
yelow	j a l uː
yelpere	j ɛ l p ə r
yelpinge	j ɛ l p i n ɡ
yelte	j ɛ l t
yeman	j eː m a n
yeme	j eː m
yemen	j eː m ə n
yerd	j a r d
yest	j ɛ s t
yesterday	j i s t ə r d æ i
yesternyght	j i s t ə r n i x t
yevel	eː v ə l
yexen	j ɛ k s ə n
yeyen	j e i̯
yifte	j i f t
yis	j i s
yit	j i t
yiven	j eː v ə n
yle	iː l ə
ylich	i l iː k
yliche	i l iː k
ymage	i m aː d͡ʒ
ymagen	i m aː d͡ʒ ə n
ymageour	i m a d͡ʒ u r
ymagerie	i m aː d͡ʒ ə r iː
ymaginable	i m a d͡ʒ i n aː b l ə
ymaginacioun	i m a d͡ʒ i n aː s i uː n
ymagynatif	i m a d͡ʒ i n a t i f
ymagynen	i m a d͡ʒ i n ə n
ymagynynge	i m a d͡ʒ i n i n ɡ
ymne	i m
ympe	i m p
ympen	i m p ə n
ynche	i n t͡ʃ
ynke	i n k
ynkhorn	i n k h ɔ r n
ynogh	i n oː x
ynowe	i n i u̯
yok	j ɔ k
yoken	j ɔ k ə n
yol	j oː l
yon	j ɔ n
yondbreden	j ɔ n d b r ɛː d e n
yondfaren	j ɔ n d f aː r ə n
yong	j i n ɡ
yonghede	j u n ɡ h ɛ̝ː d
yongly	j u n ɡ l i t͡ʃ
yongthe	j i n k θ
your	j i u̯ r
youres	j i u̯ r i s
yourself	j uː r s ɛ l f
youthe	j i u̯
youthhede	j u θ h ɛ̝ː d
yow	i u̯
yrchoun	h i r t͡ʃ u n
ythe	iː ð
yvel	eː v ə l
yvele	eː v ə l
yvelen	eː v l ə n
yvelnesse	i v ə l n ɛ s
yvory	iː v u i̯ r iː
ywar	i w aː r
zele	z ɛː l
ærfeðnesse	a r v ə ð n ɛ s
þe	d
þei	ð æ i̯
þeir	ð æ i̯ r
þeiren	ð æ i̯ r ə n
þeires	ð æ i̯ r ə s
þem	ð æ i̯ m
þes	ð eː s
þester	θ eː s t ə r
þesternesse	θ eː s t ə r n ɛ s
þestren	θ eː s t r ə n
þestri	θ eː s t r iː
þi	d
þin	d
þis	t
þou	d
þringe	θ r i n ɡ
þristen	θ r i s t ə n
þus	ð u s
ȝek	j ɛː k
ȝelp	j ɛ l p
ȝelpen	j ɛ l p ə n
ȝerde	j a r d
ȝit	j i t
