-al	a l
malorusko	m a l o r u s k o
malostranský	m a l o s t r a n s k iː
malotraktor	m a l o t r a k t o r
malovat	m a l o v a t
malovinař	m a l o v ɪ n a r̝
malovinaře	m a l o v ɪ n a r̝ ɛ
malovinařem	m a l o v ɪ n a r̝ ɛ m
malovinaři	m a l o v ɪ n a r̝ ɪ
malovinařovi	m a l o v ɪ n a r̝ o v ɪ
malovinařích	m a l o v ɪ n a r̝ iː x
malovinařů	m a l o v ɪ n a r̝ uː
malovinařům	m a l o v ɪ n a r̝ uː m
malpa	m a l p a
malta	m a l t a
maltsky	m a l t͡s k ɪ
maltský	m a l t͡s k iː
malus	m a l u s
malvazinka	m a l v a z ɪ n k a
malvíny	m a l v iː n ɪ
malá	m a l aː
malárie	m a l aː r ɪ j ɛ
malátný	m a l aː t n iː
malé	m a l ɛː
malého	m a l ɛː ɦ o
malému	m a l ɛː m u
malí	m a l iː
malík	m a l iː k
malíček	m a l iː t͡ʃ ɛ k
malíř	m a l iː r̝
malířka	m a l iː r̝ k a
malířský	m a l iː r̝ s k iː
malířství	m a l iː r̝ s t v iː
malířův	m a l iː r̝ uː f
malý	m a l iː
malých	m a l iː x
malým	m a l iː m
malými	m a l iː m ɪ
malše	m a l ʃ ɛ
malťan	m a l c a n
malťanka	m a l c a n k a
mamb	m a m p
mamba	m a m b a
mambo	m a m b o
mambu	m a m b u
mamby	m a m b ɪ
mambě	m a m b j ɛ
mami	m a m ɪ
mamila	m a m ɪ l a
maminečka	m a m ɪ n ɛ t͡ʃ k a
maminka	m a m ɪ n k a
mamič	m a m ɪ t͡ʃ
mamografie	m a m o ɡ r a f ɪ ɛ
mamon	m a m o n
mamut	m a m u t
mamutí	m a m u c iː
mamzér	m a m z ɛː r
mamá	m a m aː
man	m a n
mana	m a n a
managua	m a n a ɡ u a
manala	m a n a l a
manažer	m a n a ʒ ɛ r
manažerské	m a n a ʒ ɛ r s k ɛː
manažerův	m a n a ʒ ɛ r uː f
manchester	m ɛ n t͡ʃ ɛ s t r
manchesterský	m ɛ n t͡ʃ ɛ s t r s k iː
manchesteru	m ɛ n t͡ʃ ɛ s t r u
mandarince	m a n d a r ɪ n t͡s ɛ
mandarinek	m a n d a r ɪ n ɛ k
mandarinka	m a n d a r ɪ n k a
mandarinkami	m a n d a r ɪ n k a m ɪ
mandarinko	m a n d a r ɪ n k o
mandarinkou	m a n d a r ɪ n k ou̯
mandarinkový	m a n d a r ɪ n k o v iː
mandarinku	m a n d a r ɪ n k u
mandarinky	m a n d a r ɪ n k ɪ
mandarinkách	m a n d a r ɪ n k aː x
mandarinkám	m a n d a r ɪ n k aː m
mandel	m a n d ɛ l
mandelinka	m a n d ɛ l ɪ n k a
mandibula	m a n d ɪ b u l a
mandibulární	m a n d ɪ b u l aː r ɲ iː
mandl	m a n d l
mandle	m a n d l ɛ
mandlovat	m a n d l o v a t
mandlovna	m a n d l o v n a
mandlování	m a n d l o v aː ɲ iː
mandlový	m a n d l o v iː
mandolína	m a n d o l iː n a
mandáty	m a n d aː t ɪ
mandžuský	m a n d͡ʒ u s k iː
mane	m a n ɛ
manech	m a n ɛ x
manekýnka	m a n ɛ k iː n k a
manem	m a n ɛ m
mang	m a n k
mangabej	m a n ɡ a b ɛ j
mangan	m a n ɡ a n
manganový	m a n ɡ a n o v iː
mango	m a n ɡ o
mangold	m a n ɡ o l t
mangrove	m a n ɡ r o v ɛ
mangusta	m a n ɡ u s t a
manhattan	m ɛ n ɦ ɛ t n
manhattanský	m ɛ n ɦ ɛ t ɛ n s k iː
mani	m a ɲ ɪ
maniakální	m a n ɪ j a k aː l ɲ iː
manifest	m a n ɪ f ɛ s t
manifestace	m a n ɪ f ɛ s t a t͡s ɛ
manifestem	m a n ɪ f ɛ s t ɛ m
manila	m a n ɪ l a
manilský	m a ɲ ɪ l s k iː
manily	m a n ɪ l ɪ
manitoba	m a n ɪ t o b a
mank	m a n k
mankař	m a n k a r̝
manko	m a n k o
mano	m a n o
manovi	m a n o v ɪ
manovy	m a n o v ɪ
manové	m a n o v ɛː
mansionář	m a n s ɪ o n aː r̝
mansky	m a n s k ɪ
mantila	m a n t ɪ l a
mantinel	m a n t ɪ n ɛ l
mantra	m a n t r a
mantrou	m a n t r ou̯
manu	m a n u
manufaktura	m a n u f a k t u r a
manufakturní	m a n u f a k t u r ɲ iː
manuál	m a n u aː l
manuální	m a n u aː l ɲ iː
many	m a n ɪ
manáma	m a n aː m a
manéž	m a n ɛː ʃ
maník	m a ɲ iː k
maně	m a ɲ ɛ
manšestr	m a n ʃ ɛ s t r
manšestrový	m a n ʃ ɛ s t r o v iː
manů	m a n uː
manům	m a n uː m
manův	m a n uː f
manžel	m a n ʒ ɛ l
manželce	m a n ʒ ɛ l t͡s ɛ
manželka	m a n ʒ ɛ l k a
manželkou	m a n ʒ ɛ l k ou̯
manželský	m a n ʒ ɛ l s k iː
manželství	m a n ʒ ɛ l s t v iː
manželé	m a n ʒ ɛ l ɛː
manželčin	m a n ʒ ɛ l t͡ʃ ɪ n
manželův	m a n ʒ ɛ l uː f
maoismus	m a o ɪ z m u s
maoizmus	m a o ɪ z m u s
maorsky	m a o r s k ɪ
map	m a p
mapa	m a p a
mapovala	m a p o v a l a
mapovat	m a p o v a t
mapový	m a p o v iː
mapuje	m a p u j ɛ
maputo	m a p u t o
mapám	m a p aː m
mar	m a r
mara	m a r a
marabut	m a r a b u t
marami	m a r a m ɪ
marathon	m a r a t o n
marathón	m a r a t oː n
maraton	m a r a t o n
maratonkyně	m a r a t o n k ɪ ɲ ɛ
maratonský	m a r a t o n s k iː
maratónský	m a r a t oː n s k iː
marcela	m a r t͡s ɛ l a
marcipán	m a r t͡s ɪ p aː n
marcipánový	m a r t͡s ɪ p aː n o v iː
marek	m a r ɛ k
mareš	m a r ɛ ʃ
marešová	m a r ɛ ʃ o v aː
margarín	m a r ɡ a r iː n
margarínový	m a r ɡ a r iː n o v iː
marginální	m a r ɡ ɪ n aː l ɲ iː
maria	m a r ɪ j a
marie	m a r ɪ j ɛ
mariehamn	m a r ɪ ɛ ɦ a m n
marihuana	m a r ɪ ɦ u a n a
marihuanou	m a r ɪ ɦ u a n ou̯
marihuanu	m a r ɪ ɦ u a n u
marika	m a r ɪ k a
marinovaný	m a r ɪ n o v a n iː
marinování	m a r ɪ n o v aː ɲ iː
marioneta	m a r ɪ o n ɛ t a
mariánský	m a r ɪ j aː n s k iː
mariáš	m a r ɪ j aː ʃ
marjánka	m a r j aː n k a
mark	m a r k
marka	m a r k a
markantně	m a r k a n t ɲ ɛ
markazit	m a r k a z ɪ t
market	m a r k ɛ t
marketing	m a r k ɛ t ɪ n k
markovátko	m a r k o v aː t k o
markrabství	m a r k r a p s t v iː
markrabě	m a r k r a b j ɛ
markytánka	m a r k ɪ t aː n k a
markéta	m a r k ɛː t a
markýza	m a r k iː z a
markův	m a r k uː f
marmeláda	m a r m ɛ l aː d a
marmeládový	m a r m ɛ l aː d o v iː
marmyška	m a r m ɪ ʃ k a
marnost	m a r n o s t
marný	m a r n iː
marně	m a r ɲ ɛ
marocký	m a r o t͡s k iː
marod	m a r o t
marodit	m a r o ɟ ɪ t
maroko	m a r o k o
marota	m a r o t a
maročan	m a r o t͡ʃ a n
maročanka	m a r o t͡ʃ a n k a
marrakéš	m a r a k ɛː ʃ
mars	m a r s
marseille	m a r s ɛ j
mart	m a r t
marta	m a r t a
marte	m a r t ɛ
martinek	m a r c ɪ n ɛ k
martinka	m a r c ɪ n k a
martinková	m a r c ɪ n k o v aː
martino	m a r c ɪ n o
martinská	m a r c ɪ n s k aː
martinů	m a r c ɪ n uː
martinův	m a r c ɪ n uː f
marto	m a r t o
martu	m a r t u
martínek	m a r c iː n ɛ k
martě	m a r c ɛ
maruška	m a r u ʃ k a
marxismus	m a r k s ɪ z m u s
marxista	m a r k s ɪ s t a
marxistce	m a r k s ɪ s t t͡s ɛ
marxistek	m a r k s ɪ s t ɛ k
marxistický	m a r k s ɪ s c ɪ t͡s k iː
marxistka	m a r k s ɪ s t k a
marxizmus	m a r k s ɪ z m u s
marxleninistce	m a r k s l ɛ ɲ ɪ n ɪ s t t͡s ɛ
marxleninistek	m a r k s l ɛ ɲ ɪ n ɪ s t ɛ k
maryland	m ɛ r ɪ l ɛ n t
maryčka	m a r ɪ t͡ʃ k a
marína	m a r iː n a
marš	m a r ʃ
maršalština	m a r ʃ a l ʃ c ɪ n a
maršbatalión	m a r ʒ b a t a l ɪ oː n
maršbaťák	m a r ʒ b a c aː k
marše	m a r ʃ ɛ
marškumpačce	m a r ʃ k u m p a t͡ʃ t͡s ɛ
marškumpačku	m a r ʃ k u m p a t͡ʃ k u
maršálsky	m a r ʃ aː l s k ɪ
maršálština	m a r ʃ aː l ʃ c ɪ n a
marťan	m a r c a n
marťanka	m a r c a n k a
mas	m a s
masa	m a s a
masakr	m a s a k r
masaryk	m a s a r ɪ k
masarykovský	m a s a r ɪ k o f s k iː
masarykovštější	m a s a r ɪ k o f ʃ c ɛ j ʃ iː
masarykův	m a s a r ɪ k uː f
masaryčka	m a s a r ɪ t͡ʃ k a
masařka	m a s a r̝ k a
masařík	m a s a r̝ iː k
mase	m a s ɛ
masek	m a s ɛ k
maser	m ɛ j z r
masivní	m a s ɪ v ɲ iː
masivnímu	m a s ɪ v ɲ iː m u
maska	m a s k a
maskat	m a s k a t
masko	m a s k o
masky	m a s k ɪ
maskérně	m a s k ɛː r ɲ ɛ
maslinka	m a s l ɪ n k a
maslénka	m a s l ɛː n k a
masna	m a s n a
masnica	m a s ɲ ɪ t͡s a
maso	m a s o
masokombinát	m a s o k o m b ɪ n aː t
masopust	m a s o p u s t
masové	m a s o v ɛː
masový	m a s o v iː
masožravec	m a s o ʒ r a v ɛ t͡s
masožravka	m a s o ʒ r a v k a
masožravý	m a s o ʒ r a v iː
mass	m a s
massa	m a s a
massachusetts	m ɛ s ɛ t͡ʃ uː s ɛ t͡s
massivní	m a s ɪ v ɲ iː
mast	m a s t
mastek	m a s t ɛ k
mastitida	m a s t ɪ t ɪ d a m a s t ɪ t iː d a
mastička	m a s c ɪ t͡ʃ k a
mastný	m a s t n iː
mastodont	m a s t o d o n t
masturbace	m a s t u r b a t͡s ɛ
masturbovaly	m a s t u r b o v a l ɪ
masturbovat	m a s t u r b o v a t
masu	m a s u
masy	m a s ɪ
masák	m a s aː k
masáž	m a s aː ʃ
masážní	m a s aː ʒ ɲ iː
masér	m a s ɛː r
masérka	m a s ɛː r k a
masérský	m a s ɛː r s k iː
masérův	m a s ɛː r uː f
masírovat	m a s iː r o v a t
masívní	m a s iː v ɲ iː
mat	m a t
mata	m a t a
mate	m a t ɛ
matech	m a t ɛ x
matek	m a t ɛ k
matem	m a t ɛ m
matematicko-statistický	m a t ɛ m a t ɪ t͡s k o s t a t ɪ s t ɪ t͡s k iː
matematický	m a t ɛ m a t ɪ t͡s k iː
matematik	m a t ɛ m a t ɪ k
matematika	m a t ɛ m a t ɪ k a
matematiku	m a t ɛ m a t ɪ k u
matematiky	m a t ɛ m a t ɪ k ɪ
matematička	m a t ɛ m a t ɪ t͡ʃ k a
mateník	m a t ɛ ɲ iː k
materialismus	m a t ɛ r ɪ a l ɪ z m u s
materializmus	m a t ɛ r ɪ a l ɪ z m u s
materiál	m a t ɛ r ɪ aː l
materiální	m a t ɛ r ɪ aː l ɲ iː
materiálu	m a t ɛ r ɪ j aː l u
materiálů	m a t ɛ r ɪ j aː l uː
mates	m a t ɛ s
mateřské	m a t ɛ r̝ s k ɛː
mateřský	m a t ɛ r̝ s k iː
mateří	m a t ɛ r̝ iː
mateřídouška	m a t ɛ r̝ iː d ou̯ ʃ k a
mateřština	m a t ɛ r̝ ʃ c ɪ n a
matfyz	m a t f ɪ s
matfyzák	m a t f ɪ z aː k
matika	m a t ɪ k a
matikář	m a t ɪ k aː r̝
matikářka	m a t ɪ k aː r̝ k a
matiné	m a t ɪ n ɛː
matička	m a c ɪ t͡ʃ k a
matka	m a t k a
matkami	m a t k a m ɪ
matkovrah	m a t k o v r a x
matku	m a t k u
matky	m a t k ɪ
matkám	m a t k aː m
matnice	m a t ɲ ɪ t͡s ɛ
matný	m a t n iː
matolina	m a t o l ɪ n a
matonoha	m a t o n o ɦ a
matou	m a t ou̯
matouš	m a t ou̯ ʃ
matoušek	m a t o u ʃ ɛ k
matriarchát	m a t r ɪ j a r x aː t
matrika	m a t r ɪ k a
matrjoška	m a t r j o ʃ k a
mattonka	m a t o n k a
matu	m a t u
matura	m a t u r a
maturit	m a t u r ɪ t
maturita	m a t u r ɪ t a
maturitní	m a t u r ɪ t ɲ iː
maturitu	m a t u r ɪ t u
maturity	m a t u r ɪ t ɪ
maturitám	m a t u r ɪ t aː m
maturitě	m a t u r ɪ c ɛ
maturiťák	m a t u r ɪ c aː k
maturák	m a t u r aː k
maty	m a t ɪ
matysová	m a t ɪ s o v aː
matyáš	m a t ɪ aː ʃ
maté	m a t ɛː
matčin	m a t t͡ʃ ɪ n
matěj	m a c ɛ j
matějův	m a c ɛ j uː f
matů	m a t uː
matům	m a t uː m
mauricijský	m au̯ r ɪ t͡s ɪ j s k iː
mauricius	m au̯ r ɪ t͡s ɪ u s
mauritánie	m au̯ r ɪ t aː n ɪ j ɛ
max	m a k s
maxila	m a k s ɪ l a
maxilární	m a k s ɪ l aː r ɲ iː
maxim	m a k s ɪ m
maxima	m a k s ɪ m a
maximum	m a k s ɪ m u m
maximální	m a k s ɪ m aː l ɲ iː
maximálně	m a k s ɪ m aː l ɲ ɛ
may	m aː j m ɛ j
mayovka	m aː j o f k a
mayovou	m ɛ j o v ou̯
mayová	m ɛ j o v aː
mayský	m aː j s k iː
mazal	m a z a l
mazat	m a z a t
mazavka	m a z a f k a
mazlíček	m a z l iː t͡ʃ ɛ k
mazur	m a z u r
mazurka	m a z u r k a
mazuření	m a z u r̝ ɛ ɲ iː
mazák	m a z aː k
mač	m a t͡ʃ
mačeta	m a t͡ʃ ɛ t a
mačetami	m a t͡ʃ ɛ t a m ɪ
mačetový	m a t͡ʃ ɛ t o v iː
mačka	m a t͡ʃ k a
mačkat	m a t͡ʃ k a t
mačkati	m a t͡ʃ k a c ɪ
mačky	m a t͡ʃ k ɪ
mačká	m a t͡ʃ k aː
mačkám	m a t͡ʃ k aː m
maďar	m a ɟ a r
maďarizace	m a ɟ a r ɪ z a t͡s ɛ
maďarka	m a ɟ a r k a
maďaron	m a ɟ a r o n
maďarska	m a ɟ a r s k a
maďarsko	m a ɟ a r s k o
maďarsku	m a ɟ a r s k u
maďarsky	m a ɟ a r s k ɪ
maďarský	m a ɟ a r s k iː
maďarština	m a ɟ a r ʃ c ɪ n a
maňkoš	m a ɲ k o ʃ
mař	m a r̝
mařenka	m a r̝ ɛ n k a
mařit	m a r̝ ɪ t
mařík	m a r̝ iː k
maříková	m a r̝ iː k o v aː
maříš	m a r̝ iː ʃ
maříž	m a r̝ iː ʃ
mašek	m a ʃ ɛ k
mašin	m a ʃ ɪ n
mašina	m a ʃ ɪ n a
mašinami	m a ʃ ɪ n a m ɪ
mašinfíra	m a ʃ ɪ n f iː r a
mašino	m a ʃ ɪ n o
mašinou	m a ʃ ɪ n ou̯
mašinu	m a ʃ ɪ n u
mašiny	m a ʃ ɪ n ɪ
mašinách	m a ʃ ɪ n aː x
mašinám	m a ʃ ɪ n aː m
mašině	m a ʃ ɪ ɲ ɛ
maškar	m a ʃ k a r
maškara	m a ʃ k a r a
mašle	m a ʃ l ɛ
mašlička	m a ʃ l ɪ t͡ʃ k a
maštal	m a ʃ t a l
mašín	m a ʃ iː n
mašína	m a ʃ iː n a
mašíne	m a ʃ iː n ɛ
mašíny	m a ʃ iː n ɪ
mašínů	m a ʃ iː n uː
mašínův	m a ʃ iː n uː f
mať	m a c
mažoretka	m a ʒ o r ɛ t k a
mdlý	m d l iː
mdž	m d ʒ
meandr	m ɛ a n d r
mech	m ɛ x
mechanický	m ɛ x a n ɪ t͡s k iː
mechanik	m ɛ x a n ɪ k
mechanika	m ɛ x a n ɪ k a
mechanisace	m ɛ x a n ɪ z a t͡s ɛ
mechanismus	m ɛ x a n ɪ z m u s
mechanizace	m ɛ x a n ɪ z a t͡s ɛ
mechanizovaného	m ɛ x a n ɪ z o v a n ɛː ɦ o
mecheche	m ɛ x ɛ x ɛ
mechem	m ɛ x ɛ m
mechov	m ɛ x o f
mechovák	m ɛ x o v aː k
mechový	m ɛ x o v iː
med	m ɛ t
medaile	m ɛ d a j l ɛ
medailista	m ɛ d a j l ɪ s t a
medailová	m ɛ d a j l o v aː
medailér	m ɛ d a j l ɛː r
medard	m ɛ d a r t
medem	m ɛ d ɛ m
media	m ɛ d ɪ j a
medicinman	m ɛ d ɪ t͡s iː n m a n
medicína	m ɛ d ɪ t͡s iː n a
medicínský	m ɛ d ɪ t͡s iː n s k iː
medii	m ɛ d ɪ j ɪ
medik	m ɛ d ɪ k
medikův	m ɛ d ɪ k uː f
medina	m ɛ d ɪ n a
mediolan	m ɛ d ɪ j o l a n
mediteránní	m ɛ d ɪ t ɛ r aː ɲ iː
medium	m ɛ d ɪ j u m
mediální	m ɛ d ɪ j aː l ɲ iː
mediálnímu	m ɛ d ɪ j aː l ɲ iː m u
medička	m ɛ d ɪ t͡ʃ k a
medle	m ɛ d l ɛ
medník	m ɛ d ɲ iː k
medovina	m ɛ d o v ɪ n a
medovka	m ɛ d o f k a
medovnice	m ɛ d o v ɲ ɪ t͡s ɛ
medovník	m ɛ d o v ɲ iː k
medový	m ɛ d o v iː
medresa	m ɛ d r ɛ s a
medu	m ɛ d u
medulární	m ɛ d u l aː r ɲ iː
medusa	m ɛ d uː z a
meduňka	m ɛ d u ɲ k a
medvídek	m ɛ d v iː d ɛ k
medvídě	m ɛ d v iː ɟ ɛ
medvěd	m ɛ d v j ɛ t
medvědi	m ɛ d v j ɛ ɟ ɪ
medvědice	m ɛ d v j ɛ ɟ ɪ t s ɛ
medvědinec	m ɛ d v j ɛ ɟ ɪ n ɛ t͡s
medvědobijka	m ɛ d v j ɛ d o b ɪ j k a
medvědář	m ɛ d v j ɛ d aː r̝
medvědí	m ɛ d v j ɛ ɟ iː
medák	m ɛ d aː k
medína	m ɛ d iː n a
medúza	m ɛ d uː z a
mega-	m ɛ ɡ a
megabillboard	m ɛ ɡ a b ɪ l b o r t
megabyte	m ɛ ɡ a b a j t
megafonu	m ɛ ɡ a f o n u
megagram	m ɛ ɡ a ɡ r a m
megatuna	m ɛ ɡ a t u n a
megera	m ɛ ɡ ɛ r a
meitnerium	m a j t n ɛ r ɪ j u m
meióza	m ɛ j oː z a
mejlka	m ɛ j l k a
mejlovat	m ɛ j l o v a t
mejt	m ɛ ɪ t
mekat	m ɛ k a t
mekati	m ɛ k a c ɪ
mekka	m ɛ k a
mekáč	m ɛ k aː t͡ʃ
mel	m ɛ l
mela	m ɛ l a
melancholickej	m ɛ l a n x o l ɪ t͡s k ɛ j
melancholický	m ɛ l a n x o l ɪ t͡s k iː
melancholie	m ɛ l a n x o l ɪ j ɛ
melancholik	m ɛ l a n x o l ɪ k
melanický	m ɛ l a n ɪ t͡s k iː
melanin	m ɛ l a n ɪ n
melanocyt	m ɛ l a n o t s ɪ t
melanom	m ɛ l a n o m
melanésanka	m ɛ l a n ɛː s a n k a
melanésie	m ɛ l a n ɛː z ɪ j ɛ
melasa	m ɛ l a s a
melatonin	m ɛ l a t o n ɪ n m ɛ l a t o n iː n
melbourne	m ɛ l b ɛ r n
meldonium	m ɛ l d o n ɪ j u m
mele	m ɛ l ɛ
melem	m ɛ l ɛ m
melichar	m ɛ l ɪ x a r
melicharův	m ɛ l ɪ x a r uː f
melilla	m ɛ l ɪ l a m ɛ l ɪ l j a
meliorace	m ɛ l ɪ j o r a t͡s ɛ
melnický	m ɛ l ɲ ɪ t͡s k iː
melo	m ɛ l o
melodie	m ɛ l o d ɪ j ɛ
meloman	m ɛ l o m a n
melouch	m ɛ l ou̯ x
meloun	m ɛ l ou̯ n
melounový	m ɛ l ou̯ n o v iː
melt	m ɛ l t
melta	m ɛ l t a
melu	m ɛ l u
mem	m ɛ m
memem	m ɛ m ɛ m
memento	m ɛ m ɛ n t o
memorandum	m ɛ m o r a n d u m
memorovat	m ɛ m o r o v a t
memoáry	m ɛ m o aː r ɪ
memphis	m ɛ m f ɪ s
mendel	m ɛ n d l
mendelevium	m ɛ n d ɛ l ɛ v ɪ j u m
mendelovy	m ɛ n d l o v ɪ
mendelův	m ɛ n d l uː f
mendělevium	m ɛ n ɟ ɛ l ɛ v ɪ j u m
meningeom	m ɛ n ɪ n ɡ ɛ o m
meningitida	m ɛ n ɪ n ɡ ɪ t ɪ d a m ɛ n ɪ n ɡ ɪ t iː d a
menopauza	m ɛ n o p au̯ z a
menora	m ɛ n o r a
menorca	m ɛ n o r k a
menses	m ɛ n z ɛ s
menstruace	m ɛ n s t r u a t͡s ɛ
menstruační	m ɛ n s t r u a t͡ʃ ɲ iː
mentál	m ɛ n t aː l
mentální	m ɛ n t aː l ɲ iː
menu	m ɛ n u m ɛ n ɪ
menza	m ɛ n z a
menáž	m ɛ n aː ʃ
menóra	m ɛ n oː r a
menšin	m ɛ n ʃ ɪ n
menšina	m ɛ n ʃ ɪ n a
menšinové	m ɛ n ʃ ɪ n o v ɛː
menšinový	m ɛ n ʃ ɪ n o v iː
menšinu	m ɛ n ʃ ɪ n u
menší	m ɛ n ʃ iː
menším	m ɛ n ʃ iː m
menšími	m ɛ n ʃ iː m ɪ
merenda	m ɛ r ɛ n d a
meresjev	m ɛ r ɛ s j ɛ f
meridián	m ɛ r ɪ d ɪ j aː n
meridiánový	m ɛ r ɪ d ɪ j aː n o v iː
merkantilismus	m ɛ r k a n t ɪ l ɪ z m u s
merkantilizmus	m ɛ r k a n t ɪ l ɪ z m u s
merkelovou	m ɛ r k l o v ou̯ m ɛ r k ɛ l o v ou̯
merkelová	m ɛ r k ɛ l o v aː
merkelové	m ɛ r k l o v ɛː m ɛ r k ɛ l o v ɛː
merkur	m ɛ r k u r
meruna	m ɛ r u n a
meruněk	m ɛ r u ɲ ɛ k
meruňce	m ɛ r u ɲ t͡s ɛ
meruňka	m ɛ r u ɲ k a
meruňkami	m ɛ r u ɲ k a m ɪ
meruňko	m ɛ r u ɲ k o
meruňkou	m ɛ r u ɲ k ou̯
meruňkovice	m ɛ r u ɲ k o v ɪ t͡s ɛ
meruňková	m ɛ r u ɲ k o v aː
meruňkový	m ɛ r u ɲ k o v iː
meruňku	m ɛ r u ɲ k u
meruňky	m ɛ r u ɲ k a
meruňkách	m ɛ r u ɲ k aː x
meruňkám	m ɛ r u ɲ k aː m
mes	m ɛ s
mesa	m ɛ s a
mesapština	m ɛ s a p ʃ c ɪ n a
mesiáš	m ɛ s ɪ j aː ʃ
messapština	m ɛ s a p ʃ c ɪ n a
mest	m ɛ s t
mestic	m ɛ s t ɪ t͡s
mesároš	m ɛ s aː r o ʃ
met	m ɛ t
meta	m ɛ t a
metabolismu	m ɛ t a b o l ɪ z m u
metadon	m ɛ t a d o n
metadonem	m ɛ t a d o n ɛ m
metadonové	m ɛ t a d o n o v ɛː
metadonový	m ɛ t a d o n o v iː
metadonu	m ɛ t a d o n u
metafora	m ɛ t a f o r a
metafyzika	m ɛ t a f ɪ z ɪ k a
metajazyk	m ɛ t a j a z ɪ k
metajazykový	m ɛ t a j a z ɪ k o v iː
metal	m ɛ t a l
metamer	m ɛ t a m ɛ r
metan	m ɛ t a n
metanal	m ɛ t a n a l
metanol	m ɛ t a n o l
metanolem	m ɛ t a n o l ɛ m
metanolová	m ɛ t a n o l o v aː
metanolové	m ɛ t a n o l o v ɛː
metaplazie	m ɛ t a p l a z ɪ j ɛ
metař	m ɛ t a r̝
metařka	m ɛ t a r̝ k a
mete	m ɛ t ɛ
metelice	m ɛ t ɛ l ɪ t͡s ɛ
metem	m ɛ t ɛ m
meteor	m ɛ t ɛ o r
meteorický	m ɛ t ɛ o r ɪ t͡s k iː
meteorit	m ɛ t ɛ o r ɪ t
meteoroid	m ɛ t ɛ o r o ɪ t
meteorolog	m ɛ t ɛ o r o l o k
meteorologická	m ɛ t ɛ o r o l o ɡ ɪ t͡s k aː
meteorologický	m ɛ t ɛ o r o l o ɡ ɪ t͡s k iː
meteorologických	m ɛ t ɛ o r o l o ɡ ɪ t͡s k iː x
meteorologie	m ɛ t ɛ o r o l o ɡ ɪ j ɛ
meteorologové	m ɛ t ɛ o r o l o ɡ o v ɛː
meteoroložka	m ɛ t ɛ o r o l o ʃ k a
methan	m ɛ t a n
metlatý	m ɛ t l a t iː
metod	m ɛ t o t
metoda	m ɛ t o d a
metodický	m ɛ t o d ɪ t͡s k iː
metodika	m ɛ t o d ɪ k a
metodiku	m ɛ t o d ɪ k u
metodiky	m ɛ t o d ɪ k ɪ
metodu	m ɛ t o d u
metody	m ɛ t o d ɪ
metoděj	m ɛ t o ɟ ɛ j
metou	m ɛ t ou̯
metr	m ɛ t r
metrem	m ɛ t r ɛ m
metresa	m ɛ t r ɛ s a
metrický	m ɛ t r ɪ t͡s k iː
metro	m ɛ t r o
metrologický	m ɛ t r o l o ɡ ɪ t͡s k iː
metrologie	m ɛ t r o l o ɡ ɪ ɛ
metronom	m ɛ t r o n o m
metropole	m ɛ t r o p o l ɛ
metropolemi	m ɛ t r o p o l ɛ m ɪ
metropoli	m ɛ t r o p o l ɪ
metrová	m ɛ t r o v aː
metrový	m ɛ t r o v iː
metru	m ɛ t r u
metrák	m ɛ t r aː k
metrů	m ɛ t r uː
metu	m ɛ t u
metuje	m ɛ t u j ɛ
mety	m ɛ t ɪ
metyl	m ɛ t ɪ l
metylalkohol	m ɛ t ɪ l a l k o ɦ o l
metál	m ɛ t aː l
metám	m ɛ t aː m
metě	m ɛ c ɛ
mexický	m ɛ k s ɪ t͡s k iː
mexika	m ɛ k s ɪ k a
mexikem	m ɛ k s ɪ k ɛ m
mexiko	m ɛ k s ɪ k o
mexiku	m ɛ k s ɪ k u
mexičan	m ɛ k s ɪ t͡ʃ a n
mexičanka	m ɛ k s ɪ t͡ʃ a n k a
mez	m ɛ s
meza	m ɛ z a
mezanin	m ɛ z a n ɪ n m ɛ z a ɲ ɪ n
mezd	m ɛ s t
meze	m ɛ z ɛ
mezek	m ɛ z ɛ k
mezera	m ɛ z ɛ r a
mezerník	m ɛ z ɛ r ɲ iː k
mezi	m ɛ z ɪ
mezikontinentální	m ɛ z ɪ k o n t ɪ n ɛ n t aː l ɲ iː
mezikontinentálních	m ɛ z ɪ k o n t ɪ n ɛ n t aː l ɲ iː x
meziměstskou	m ɛ z ɪ m ɲ ɛ s t͡s k ou̯
mezinárodní	m ɛ z ɪ n aː r o d ɲ iː
mezinárodního	m ɛ z ɪ n aː r o d ɲ iː ɦ o
mezipřistání	m ɛ z ɪ p r̝ ɪ s t aː ɲ iː
mezipřímá	m ɛ z ɪ p r̝ iː m aː
meziročně	m ɛ z ɪ r o t͡ʃ ɲ ɛ
mezislovce	m ɛ z ɪ s l o f t͡s ɛ
mezitím	m ɛ z ɪ c iː m
meziválečný	m ɛ z ɪ v aː l ɛ t͡ʃ n iː
mezizubní	m ɛ z ɪ z u b ɲ iː
mezižeberní	m ɛ z ɪ ʒ ɛ b ɛ r ɲ iː
mezník	m ɛ z ɲ iː k
mezníková	m ɛ z ɲ iː k o v aː
mezníkův	m ɛ z ɲ iː k uː f
mezoamerika	m ɛ z o a m ɛ r ɪ k a
mezofilní	m ɛ z o f ɪ l ɲ iː
mezofyl	m ɛ z o f ɪ l
mezofyt	m ɛ z o f ɪ t
mezopauza	m ɛ z o p au̯ z a
mezopotámie	m ɛ z o p o t aː m ɪ ɛ
mezosféra	m ɛ z o s f ɛː r a
