на	n a
рамона	r a m ɔ n a
ринзі	r i n z i
росава	r ɔ s a v a
русским	r ʊ s s k i m
сава	s a v a
скакав	s k a k a v
скиба	s k i b a
смішних	s m i ɕ n i x
спритно	s p r i t n o
страж	s t r a ʒ
стрибають	s t r i b a j u tʲ
тана	t a n a
томпсона	t ɔ m p s ɔ n a
фаворитом	f a v ɔ r i t ɔ m
форсаж	f ɔ r s a ʒ
хара	x a r a
хустку	x ʊ s t k ʊ
щастю	ɕ a s tʲ u
яра	j a r a
awesome	ɑː w ɛ s oː m ɛ
began	b ɛ ɡ ɑː n
col	d͡ʒ o l
ends	ɛ n d s
flame	f l ɑː m ɛ
label	l ɑː b ɛ l
lan	l ɑː n
member	m ɛ m b ɛ ɾ
stem	s t ɛ m
thread	θ ɾ ɛ ɑː d
ашан	a ɕ a n
барабаш	b a r a b a ɕ
бех	b ɛ x
бомбою	b ɔ m b ɔ j u
даян	d a j a n
джамалу	d͡ʒ a m a ɮ u
доку	d ɔ k u
ельф	j ɛ l ɪ f
заявник	z a j a v n i k
здохни	z d ɔ x n i
кароліни	k a r ɔ l i n i
кликали	k l i k a l i
клік	k l i k
клінт	k l i n t
коржі	k ɔ r ʒ i
кримнаш	k r i m n a ɕ
лате	l a tʲ ɛ
лизогуб	l i z ɔ ɡ u b
мантія	m a n tʲ i j a
монахом	m ɔ n a x ɔ m
мідних	m i d n i x
нави	n a vʲ i
огидних	ɔ ɡ i d n i x
паркова	p a r k ɔ v a
подобалися	p ɔ d ɔ b a l i s j a
попик	p ɔ p i k
послід	p ɔ s l i d
пшик	p ɕ i k
рабам	r a b a m
риски	r i s k i
ротань	r ɔ t a nʲ
скороход	s k ɔ r ɔ x ɔ d
сімсот	s i m s ɔ t
торкання	t ɔ r k a n nʲ a
тыс	t i s
фабриках	f a b r i k a x
фінансист	f i n a n s i s t
харк	x a r k
хулігана	x ʊ ɮʲ ɣ a n a
цифровими	t͡sʰ i f r ɔ v i m i
шанобливо	ɕ a n ɔ b l i v ɔ
ant	ɑ n t
bloom	b l uː m
destroy	d ɛ s t ɾ ɔ j
lane	l ɑː n ɛ
sent	s ɛ n t
ux	ʊ x
афродіта	a f r ɔ d i t a
брем	b rʲ ɛ m
брока	b r ɔ k a
грифа	ɡ r i f a
грошів	ɡ r ɔ ɕ i v
делу	d ɛ l u
дет	d ɛ t
донському	d ɔ n s ɪ k ɔ m u
допису	d ɔ p i s u
дослід	d ɔ s l i d
задньою	z a d nʲ ɔ j u
згорання	z ɡ ɔ r a n nʲ a
комиссия	k ɔ m i s s i j a
коника	k ɔ n i k a
корану	k ɔ r a n u
коханими	k ɔ x a n i m i
личко	l i t͡ʃ k ɔ
манн	m a n
мерс	m ɛ r s
многие	m n ɔ ɡ i j ɛ
моем	m ɔ j ɛ m
моргу	m ɔ r ɡ u
мус	m ʊ s
мілоша	m i l ɔ ɕ a
мінор	m i n ɔ r
наполіг	n a p ɔ l i ɡ
нари	n a r i
народная	n a r ɔ d n a j a
негараздів	n ɛ ɡ a r a z d i v
обідали	ɔ b i d a l i
овер	ɔ ʋ ɛ r
панько	p a nʲ k ɔ
погонь	p ɔ ɡ ɔ nʲ
помила	p ɔ m i l a
порок	p ɔ r ɔ k
посадовою	p ɔ s a d ɔ v ɔ j u
приходимо	p r i x ɔ d i m ɔ
радах	r a d a x
рожко	r ɔ ʒ k ɔ
розважали	r ɔ z v a ʒ a l i
романишин	r ɔ m a n i ɕ i n
рудими	r ʊ d i m i
саба	s a b a
самара	s a m a r a
саркофагу	s a r k ɔ f a ɣ u
скромним	s k r ɔ m n i m
сімок	s i m ɔ k
фіш	f i ʃ
ціпок	t͡sʰ i p ɔ k
часова	t͡ɕ a s ɔ v a
яя	j a j a
agent	ɑ ɡ ɛ n t
bio	b i o
bonus	b oː n ʊ s
dem	d ɛ m
elf	ɛ l f
er	æ ɾ
olx	o l x
places	p l ɑː d͡ʒ ɛ s
por	p o ɾ
бабай	b a b ɛː
баг	b a ɡ
беном	b ɛ n ɔ m
бескиди	b ɛ s k i d i
боргом	b ɔ r ɡ ɔ m
герби	ɡ ɛ r b i
гро	ɡ r ɔ
гум	ɡ ʊ m
добору	d ɔ b ɔ r u
донато	d ɔ n a t ɔ
забивай	z a b i v ɛː
замкова	z a m k ɔ v a
золи	z ɔ l i
казармі	k a z a r m
кароліно	k a r ɔ l i n o
комору	k ɔ m ɔ r u
корзину	k ɔ r z i n u
кради	k r a d i
крилатих	k r i ɮ a tʲ i x
марною	m a r n ɔ j u
мокрих	m ɔ k r i x
морозивом	m ɔ r ɔ z i v ɔ m
нод	n ɔ d
опік	ɔ p i k
пенс	p ɛ n s
посмішок	p ɔ s m i ɕ ɔ k
прикрили	p r i k r i l i
принцу	p r i n t͡sʰ u
проростання	p r ɔ r ɔ s t a n nʲ a
підносять	p i d n ɔ s j a tʲ
рах	r a x
розм	r ɔ z m
смішить	s m i ɕ i tʲ
сніп	s n i p
спазм	s p a z m
типі	t i p i
тотальною	t ɔ t a lʲ n ɔ j u
трасою	t r a s ɔ j u
фап	f a p
фашиста	f a ɕ i s t a
хадсон	x a d s ɔ n
хмарою	x m a r ɔ j u
цеї	t͡sʰ ɛ j
daf	d ɑː f
hitler	h ɪ t l ɛ ɾ
pas	p ɑ s
waters	w ɑː t ɛ ɾ s
аграрною	a ɡ r a r n ɔ j u
акорд	a k ɔ r d
амазон	a m a z ɔ n
базы	b a z i
бейн	b ɛ j n
бора	b ɔ r a
босу	b ɔ s u
бригадами	b r i ɣ a d a m i
бридж	b r i d͡ʒ
гамно	ɡ a m n o
гар	ɡ a r
гербі	ɡ ɛ r b i
грин	ɡ r i n
грозою	ɡ r ɔ z ɔ j u
дара	d a r a
джимом	d͡ʒ i m ɔ m
джипа	d͡ʒ i p a
дідусю	d i d u s j u
жит	ʒ i t
забайкалля	z a b ɛː k a ɮː j a
забитим	z a b i tʲ i m
знімку	z n i m k u
кацапською	k a t͡sʰ a p sʲ k ɔ j u
мазок	m a z ɔ k
мандарин	m a n d a r i n
міка	m i k a
невістку	n ɛ v i s t k u
оксиди	ɔ k s i d i
осипа	ɔ s i p a
отцю	ɔ t t͡sʰ j u
паз	p a z
папок	p a p ɔ k
придбало	p r i d b a l o
приладом	p r i ɮ a d ɔ m
протона	p r ɔ t ɔ n a
психоз	p s i x ɔ z
піднятою	p i d nʲ a t ɔ j u
раздел	r a z dʲ ɛ l
розбирали	r ɔ z b i r a l i
сана	s a n a
сердись	s ɛ r d i s ɪ
тарантіно	t a r a n tʰ i n o
тривозі	t r i v ɔ z i
троху	t r ɔ x u
химия	x i m i j a
чабан	t͡ɕ a b a n
шишок	ɕ i ɕ ɔ k
ярина	j a r i n a
felt	f ɛ l t
links	l ɪ ŋ k s
амфора	a m f ɔ r a
баком	b a k ɔ m
бомбили	b ɔ m b i l i
гара	ɡ a r a
гризуни	ɡ r i z u n i
гримить	ɡ r i m i tʲ
джерзі	d͡ʒ ɛ r z i
допоміжними	d ɔ p ɔ m i ʒ n i m i
епос	j ɛ p ɔ s
жа	ʒ a
забивають	z a b i v a j u tʲ
забыли	z a b i ɮ i
залежними	z a lʲ ɛ ʑ n i m i
зліпити	z ɫ i p i tʲ i
калаша	k a ɮ a ɕ a
касько	k a sʲ k ɔ
кидай	k i d ɛː
кличком	k l i t͡ʃ k ɔ m
космодром	k ɔ s m ɔ d r ɔ m
крат	k r a t
краяни	k r a j a n i
лисоня	l i s ɔ nʲ a
мадрида	m a d r i d a
мари	m a r i
мах	m a x
мес	m ɛ s
моторні	m ɔ t ɔ r n i
намальована	n a m a ɮʲ ɔ v a n a
наявну	n a j a v n u
невиїзд	n ɛ v i j ɛ z d
нтн	n t ə n
обидно	ɔ b i d n o
опанас	ɔ p a n a s
орать	ɔ r a tʲ
остальное	ɔ s t a lʲ n ɔ j ɛ
паст	p a s t
побори	p ɔ b ɔ r i
пожежею	p ɔ ʒ ɛ ʒ ɛ j u
поранило	p ɔ r a n i l o
породах	p ɔ r ɔ d a x
правописом	p r a v ɔ p i s ɔ m
примусом	p r i m u s ɔ m
пристойну	p r i s t ɔ j n u
промисли	p r ɔ m i s l i
пронос	p r ɔ n o s
прянощами	p rʲ a n ɔ ɕ t͡ɕ a m i
піддано	p i d d a n o
пізню	p i z nʲ u
сандармох	s a n d a r m ɔ x
столиць	s t ɔ l i t͡sʲ
таборами	t a b ɔ r a m i
тампон	t a m p ɔ n
топаз	t ɔ p a z
хани	x a n i
чарку	t͡ɕ a r k u
begin	b ɛ ɡ ɪ n
cam	d͡ʒ ɑː m
pa	p ɑː
saved	s ɑː v ɛ d
term	t ɛ ɾ m
арміями	a r m i j a m i
байди	b ɛː d i
белу	b ɛ l u
бернс	b ɛ r n s
грона	ɡ r ɔ n a
дурну	d ʊ r n ʊ
забавка	z a b a w̜ k a
запад	z a p a d
заплати	z a p ɮ a tʲ i
зразкове	z r a z k ɔ vʲ ɛ
ина	i n a
капу	k a p u
кидання	k i d a n nʲ a
кир	k i r
кнопкою	k n ɔ p k ɔ j u
кокон	k ɔ k ɔ n
литвою	l i t v ɔ j u
маман	m a m a n
масах	m a s a x
машинам	m a ɕ i n a m
модною	m ɔ d n ɔ j u
модою	m ɔ d ɔ j u
мізерну	m i z ɛ r n u
мік	m i k
наземними	n a z ɛ m n i m i
наполягаю	n a p ɔ ɮʲ a ɣ a j u
неви	n ɛ v i
неволю	n ɛ v ɔ l j u
пацюк	p a t͡sʰ j u k
подавала	p ɔ d a v a l a
позичили	p ɔ z i t͡ɕ i l i
покину	p ɔ k i n u
помахом	p ɔ m a x ɔ m
помісну	p ɔ m i s n u
потопу	p ɔ t ɔ p u
походила	p ɔ x ɔ d i l a
прозових	p r ɔ z ɔ v i x
промка	p r ɔ m k a
проходом	p r ɔ x ɔ d ɔ m
птаху	p t a x u
підари	p i d a r i
роба	r ɔ b a
салатом	s a ɮ a t ɔ m
симбіоз	s i m b j ɔ z
соната	s ɔ n a t a
стокгольм	s t ɔ k ɡ ɔ lʲ ɪ m
тодішнім	t ɔ d i ɕ n i m
транзитний	t r a n z i t n iː
фамилия	f a m i l i j a
фанатизм	f a n a tʲ i z m
фразы	f r a z i
хахаха	x a x a x a
христова	x r i s t ɔ v a
чана	t͡ɕ a n a
чарльзом	t͡ɕ a r ɮʲ z ɔ m
шокована	ɕ ɔ k ɔ v a n a
helicopter	h ɛ l ɪ d͡ʒ ɔ p t ɛ ɾ
saw	s ɑː w
shark	ʃ ɑ ɾ k
terminal	t ɛ ɾ m ɪ n ɑː l
анонси	a n ɔ n s i
арма	a r m a
аромати	a r ɔ m a tʲ i
балкан	b a ɮ k a n
босом	b ɔ s ɔ m
брус	b r ʊ s
гною	ɡ n ɔ j u
гросу	ɡ r ɔ s u
дизельним	d i z ɛ l ɪ n i m
досi	d ɔ s i
жабка	ʒ a b k a
захисними	z a x i s n i m i
змiни	z m i n i
карна	k a r n a
кирил	k i r i l
комбайни	k ɔ m b ɛː n i
корабли	k ɔ r a b l i
косино	k ɔ s i n o
кросу	k r ɔ s u
макензі	m a kʲ ɛ n z i
меді	m ɛ d i
мінами	m i n a m i
нашім	n a ɕ i m
нашіх	n a ɕ i x
неделю	n ɛ d ɛ l j u
недо	n ɛ d ɔ
пала	p a ɮ a
пиздиш	p i z d i ɕ
пиздота	p i z d ɔ t a
питну	p i t n u
питомих	p i t ɔ m i x
подорожні	p ɔ d ɔ r ɔ ʑ n i
понятих	p ɔ nʲ a tʲ i x
постава	p ɔ s t a v a
протони	p r ɔ t ɔ n i
радили	r a d i l i
расову	r a s ɔ v u
рогами	r ɔ ɡ a m i
розкриють	r ɔ z k r i j u tʲ
руль	r ʊ lʲ
сапсан	s a p s a n
сараю	s a r a j u
сарказмом	s a r k a z m ɔ m
сирих	s i r i x
соболь	s ɔ b ɔ lʲ
сракою	s r a k ɔ j u
стоимость	s t ɔ j i m ɔ s tʲ
трапези	t r a pʲ ɛ z i
фразі	f r a z i
часову	t͡ɕ a s ɔ v u
ips	ɪ p s
nas	n ɑː s
pages	p ɑː ɡ ɛ s
trusted	t ɾ ʊ s t ɛ d
versus	v ɛ ɾ s ʊ s
аппу	a p p u
афери	a fʲ ɛ r i
безвізом	b ɛ z ʋ i z ɔ m
бене	b ɛ n ɛ
беню	b ɛ n j u
гарет	ɡ a rʲ ɛ t
гофмана	ɡ ɔ f m a n a
дарк	d a r k
ддт	d ə d t
дикун	d i k u n
дирку	d i r k u
дозі	d ɔ z i
дрозда	d r ɔ z d a
епохою	j ɛ p ɔ x ɔ j u
жака	ʒ a k a
заданим	z a d a n i m
задану	z a d a n u
засипати	z a s i p a tʲ i
зроду	z r ɔ d u
казус	k a z u s
каролін	k a r ɔ l i n
каскаду	k a s k a d u
книжковим	k n i ʒ k ɔ v i m
кокос	k ɔ k ɔ s
колісник	k ɔ l i s n i k
кривою	k r i v ɔ j u
лижні	l i ʒ n i
магате	m a ɣ a tʲ ɛ
машино	m a ɕ i n o
машины	m a ɕ i n i
мег	m ɛ ɡ
модниць	m ɔ d n i t͡sʲ
мокрая	m ɔ k r a j a
момо	m ɔ m ɔ
міністрам	m i n i s t r a m
містянам	m i s tʲ a n a m
насосна	n a s ɔ s n a
ниркова	n i r k ɔ v a
носок	n ɔ s ɔ k
органы	ɔ r ɡ a n i
подиву	p ɔ d i v u
покажут	p ɔ k a ʒ u t
поливали	p ɔ l i v a l i
помимо	p ɔ m i m ɔ
понтон	p ɔ n t ɔ n
похмурим	p ɔ x m ʊ r i m
пригнали	p r i ɡ n a l i
придатним	p r i d a t n i m
прими	p r i m i
пробку	p r ɔ b k u
прогнозами	p r ɔ ɡ n ɔ z a m i
прокол	p r ɔ k ɔ l
пропонований	p r ɔ p ɔ n ɔ v a n iː
родная	r ɔ d n a j a
розкопали	r ɔ z k ɔ p a l i
розірвали	r ɔ z i r v a l i
сибири	s i b i r i
скликана	s k l i k a n a
строгим	s t r ɔ ɡ i m
филип	f i l i p
фінську	f i n s ɪ k u
халід	x a ɮ i d
цинізму	t͡sʰ i n i z m u
adult	ɑː d ʊ l t
bye	b j ɛ
dna	d n ɑː
lake	l ɑː k ɛ
байрона	b ɛː r ɔ n a
балан	b a ɮ a n
бич	b i t͡ʃ
божко	b ɔ ʒ k ɔ
бомжа	b ɔ m ʒ a
гарвард	ɡ a r v a r t
гранью	ɡ r a nʲ j u
гришин	ɡ r i ɕ i n
грозами	ɡ r ɔ z a m i
даму	d a m u
дани	d a n i
джоджо	d͡ʒ ɔ d͡ʒ ɔ
дикою	d i k ɔ j u
дозволимо	d ɔ z ʋ ɔ l i m ɔ
еден	j ɛ d ɛ n
емігранта	j ɛ m i ɡ r a n t a
жену	ʒ ɛ n u
заохотити	z a ɔ x ɔ tʲ i tʲ i
запевняв	z a pʲ ɛ v nʲ a v
зарва	z a r v a
засновану	z a s n ɔ v a n u
збивають	z b i v a j u tʲ
звозили	z ʋ ɔ z i l i
идей	i d ɛ j
карбон	k a r b ɔ n
касет	k a s ɛ t
киевские	k i j ɛ v s k i j ɛ
контроля	k ɔ n t r ɔ lʲ a
кранами	k r a n a m i
мaють	m ɑ j u tʲ
мез	m ɛ z
монополіста	m ɔ n ɔ p ɔ l i s t a
мостова	m ɔ s t ɔ v a
наверху	n a vʲ ɛ r x u
напрямкам	n a p rʲ a m k a m
невського	n ɛ v s ɪ k ɔ ɡ ɔ
офис	ɔ f i s
папугу	p a p u ɣ u
пепе	p ɛ p ɛ
питому	p i t ɔ m u
пограбовано	p ɔ ɡ r a b ɔ v a n o
полиць	p ɔ l i t͡sʲ
помпа	p ɔ m p a
поправити	p ɔ p r a vʲ i tʲ i
похмурих	p ɔ x m ʊ r i x
придатною	p r i d a t n ɔ j u
прихильно	p r i x i lʲ n o
ракова	r a k ɔ v a
рамок	r a m ɔ k
рашн	r a ɕ n
робер	r ɔ b ɛ r
рогозіна	r ɔ ɡ ɔ z i n a
ротову	r ɔ t ɔ v u
рэд	r e d
скликано	s k l i k a n o
тарифних	t a r i f n i x
тихше	t i x ʃ ɛ
хмелю	x m ɛ l j u
христя	x r i s tʲ a
шанована	ɕ a n ɔ v a n a
яніною	j a n i n ɔ j u
af	ɑ f
av	ɑː v
bet	b ɛ t
casa	d͡ʒ ɑː s ɑ
fresh	f ɾ ɛ ʃ
nsa	n s ɑː
shame	ʃ ɑː m ɛ
sites	s ɪ t ɛ s
wave	w ɑː v ɛ
абзацу	a b z a t͡sʰ u
альп	a ɮʲ p
аналогове	a n a l ɔ ɡ ɔ vʲ ɛ
баладу	b a ɮ a d u
борн	b ɔ r n
гессе	ɡ ɛ s s ɛ
гон	ɡ ɔ n
доставимо	d ɔ s t a vʲ i m ɔ
доходам	d ɔ x ɔ d a m
дізнання	d i z n a n nʲ a
жираф	ʒ i r a f
заразити	z a r a z i tʲ i
земною	z ɛ m n ɔ j u
кобила	k ɔ b i l a
кодами	k ɔ d a m i
козаком	k ɔ z a k ɔ m
криша	k r i ɕ a
макі	m a kʲ
мандатом	m a n d a t ɔ m
масони	m a s ɔ n i
місцину	m i s t͡sʰ i n u
наказі	n a k a z i
наносити	n a n ɔ s i tʲ i
ндо	n d ɔ
німих	n i m i x
оцтом	ɔ t͡sʰ t ɔ m
панораму	p a n ɔ r a m u
платина	p ɮ a tʲ i n a
показами	p ɔ k a z a m i
посприяв	p ɔ s p r i j a v
прикрасою	p r i k r a s ɔ j u
припали	p r i p a l i
продажах	p r ɔ d a ʒ a x
проклятих	p r ɔ k lʲ a tʲ i x
проходимо	p r ɔ x ɔ d i m ɔ
пінту	p i n t u
рамками	r a m k a m i
ротою	r ɔ t ɔ j u
смітники	s m i t n i k i
сортом	s ɔ r t ɔ m
споживанням	s p ɔ ʑ i v a n nʲ a m
стеж	s tʲ ɛ ʒ
талмуд	t a ɮ m ʊ d
тратить	t r a tʲ i tʲ
тривалою	t r i v a l ɔ j u
умх	ʊ m x
фондами	f ɔ n d a m i
хvii	x v iː
цифрою	t͡sʰ i f r ɔ j u
criminal	d͡ʒ ɾ ɪ m ɪ n ɑː l
male	m ɑː l ɛ
meyer	m ɛ j ɛ ɾ
patriot	p ɑ t ɾ i o t
ral	r ɑː l
амосова	a m ɔ s ɔ v a
афган	a f ɡ a n
барв	b a r v
бергер	b ɛ r ɡ ɛ r
бішоп	b i ʃ ɔ p
горана	ɡ ɔ r a n a
даниною	d a n i n ɔ j u
джорджу	d͡ʒ ɔ r d͡ʒ u
доходом	d ɔ x ɔ d ɔ m
забою	z a b ɔ j u
завозити	z a v ɔ z i tʲ i
заразу	z a r a z u
звезды	z ʋ ɛ z d i
зміню	z m i n j u
известный	i z ʋ ɛ s t n iː
иногда	i n ɔ ɡ d a
итоги	i t ɔ ɡ i
йоб	j ɔ b
кафедрах	k a fʲ ɛ d r a x
килимами	k i l i m a m i
концтаборах	k ɔ n t͡sʰ t a b ɔ r a x
махмуд	m a x m ʊ d
мину	m i n u
міфами	m i f a m i
наданою	n a d a n ɔ j u
насип	n a s i p
ниж	n i ʒ
осяяння	ɔ s j a j a n nʲ a
партою	p a r tʰ ɔ j u
пасько	p a sʲ k ɔ
посох	p ɔ s ɔ x
потрошку	p ɔ t r ɔ ɕ k u
пошана	p ɔ ɕ a n a
правка	p r a w k a
призми	p r i z m i
приказу	p r i k a z u
прод	p r ɔ d
пройдіть	p r ɔ j d i tʲ
протока	p r ɔ t ɔ k a
пскова	p s k ɔ v a
робсон	r ɔ b s ɔ n
розбору	r ɔ z b ɔ r u
розставання	r ɔ z s t a v a n nʲ a
рокка	r ɔ k k a
ронні	r ɔ n n i
смішним	s m i ɕ n i m
стопами	s t ɔ p a m i
тода	t ɔ d a
тритон	t r i t ɔ n
фасадом	f a s a d ɔ m
цахес	t͡sʰ a xʲ ɛ s
чень	t͡ɕ ɛ n ɪ
яні	j a n i
mama	m ɑː m ɑ
sha	ʃ ɑː
sigma	s ɪ ɡ m ɑː
stan	s t ɑː n
unlimited	ʊ n l ɪ m ɪ t ɛ d
waves	w ɑː v ɛ s
zen	z ɛ n
ампер	a m pʲ ɛ r
амура	a m ʊ r a
аф	a f
ботан	b ɔ t a n
далай	d a ɮ ɛː
дафна	d a f n a
джамал	d͡ʒ a m a ɮ
динамика	d i n a m i k a
елтона	j ɛ l t ɔ n a
ескорт	j ɛ s k ɔ r t
живо	ʒ i v o
жизні	ʒ i z n i
зазнати	z a z n a tʲ i
залежною	z a lʲ ɛ ʑ n ɔ j u
заморозили	z a m ɔ r ɔ z i l i
зарядний	z a rʲ a d n iː
казкар	k a z k a r
комбо	k ɔ m b ɔ
констанс	k ɔ n s t a n s
крыму	k r i m u
масть	m a s tʲ
махал	m a x a ɮ
махом	m a x ɔ m
мишею	m i ɕ ɛ j u
мітку	m i t k u
мітлою	m i t l ɔ j u
наду	n a d u
наркоз	n a r k ɔ z
національ	n a t͡sʰ j ɔ n a lʲ
нормана	n ɔ r m a n a
образить	ɔ b r a z i tʲ
оес	ɔ j ɛ s
орних	ɔ r n i x
пав	p a w
палас	p a ɮ a s
палацовий	p a ɮ a t͡sʰ ɔ v iː
паролів	p a r ɔ l i v
пароха	p a r ɔ x a
поминальна	p ɔ m i n a lʲ n a
помирав	p ɔ m i r a v
потвор	p ɔ t v ɔ r
поштовим	p ɔ ɕ t ɔ v i m
пригодах	p r i ɡ ɔ d a x
риску	r i s k u
рогозін	r ɔ ɡ ɔ z i n
родами	r ɔ d a m i
розпадом	r ɔ z p a d ɔ m
розростання	r ɔ z r ɔ s t a n nʲ a
садовому	s a d ɔ v ɔ m u
саморозвитку	s a m ɔ r ɔ z v i t k u
сахар	s a x a r
синдроми	s i n d r ɔ m i
строкових	s t r ɔ k ɔ v i x
сімон	s i m ɔ n
такую	t a k u j u
тн	t ə n
томаша	t ɔ m a ɕ a
трапезу	t r a pʲ ɛ z u
финансы	f i n a n s i
хоробро	x ɔ r ɔ b r ɔ
часта	t͡ɕ a s t a
этап	e t a p
bag	b ɑː ɡ
dawn	d ɑː w n
entry	ɛ n t ɾ i
fake	f ɑː k ɛ
female	f ɛ m ɑː l ɛ
pm	p eː m
pt	p i t
sand	s ɑ n d
submit	s ʊ b m ɪ t
subtitles	s ʊ b t ɪ t l ɛ s
азбесту	a z bʲ ɛ s t u
ара	a r a
баранина	b a r a n i n a
батяра	b a tʲ a r a
бейтс	b ɛ j t s
бенду	b ɛ n d u
боні	b ɔ n i
бродами	b r ɔ d a m i
джанні	d͡ʒ a n n i
доказали	d ɔ k a z a l i
допоміжним	d ɔ p ɔ m i ʒ n i m
дроздова	d r ɔ z d ɔ v a
еег	j ɛ j ɛ ɡ
жаном	ʒ a n ɔ m
жебраки	ʒ ɛ b r a k i
зака	z a k a
залягають	z a ɮʲ a ɣ a j u tʲ
засипку	z a s i p k u
земним	z ɛ m n i m
зи	z i
змінну	z m i n n u
карбону	k a r b ɔ n ʊ
кира	k i r a
кобри	k ɔ b r i
кра	k r a
крикун	k r i k u n
липка	l i p k a
листу	l i s t u
майданах	m ɛː d a n a x
насінин	n a s i n i n
нинішнім	n i n i ɕ n i m
обсе	ɔ b s ɛ
одинаково	ɔ d i n a k ɔ v ɔ
палають	p a ɮ a j u tʲ
подорожах	p ɔ d ɔ r ɔ ʑ a x
позах	p ɔ z a x
показниках	p ɔ k a z n i k a x
попадаю	p ɔ p a d a j u
порядною	p ɔ rʲ a d n ɔ j u
приказку	p r i k a z k u
прово	p r ɔ v ɔ
проникали	p r ɔ n i k a l i
піб	p i b
піднімаю	p i d n i m a j u
