iš	i ʃ
kreditoriams	k r e d i t o r j a m s
kuklios	k u k l i o s
kultu	k u l t u
kuponus	k u p o n u s
kūju	k uː j u
kūrybiniu	k uː r i b i n j u
leopoldo	l e o p o l d o
libanas	l i b a n a s
libis	l i b i s
literatūriniu	l i t e r a t uː r i n j u
lupti	l u p t i
lynch	l i n t͡ʃ
magna	m a ɲ ɲ a
maximum	m a k s i m u m
meda	m e d a
mergytę	m e r ɡ i t ɛ
mess	m ɛ s
metmenys	m e t m e n i s
metropolis	m e t r o p o l i s
metukų	m e t u k o
mineralus	m i n ə ʀ a l u s
minimum	m i n i m u m
monarcho	m o n a r k o
mylintys	m i l i n t i s
nada	n a d a
nedomino	n e d o m i n o
negirdėtų	n e ɡ i r d i t o
nelikti	n e l i k t i
nenusipirksi	n e n u z i p i r k s i
nepraras	n e p r a r a s
nesiderina	n e z i d e r i n a
nesipriešino	n e z i p r i e ʃ i n o
nesustos	n e z u s t o s
neturintį	n e t u r i n t i
nustatymus	n u s t a t i m u s
nutyli	n u t i l i
nuvirto	n u v i r t o
ono	o n o
ori	o r i
ostijos	o s t i j o s
ostino	o s t i n o
pasidalins	p a z i d a l i n s
pelekus	p e l e k u s
perprato	p e r p r a t o
persodinimo	p e r s o d i n i m o
pervežimus	p e r v e ʒ i m u s
peters	p e t e ʀ s
piktinosi	p i k t i n o s i
pine	p i n e
pokylio	p o k i l j o
poligono	p o l i ɡ o n o
ponams	p o n a m s
pratimo	p r a t i m o
primatas	p r i m a t a s
priminkite	p r i m i n k i t e
priprato	p r i p r a t o
pripratę	p r i p r a t ɛ
prisirišę	p r i z i r i ʃ ɛ
priverstinį	p r i v e r s t i n i
progresavimo	p r o ɡ r e z a v i m o
publishing	p u b l i ʃ i ŋ
pulku	p u l k u
pull	p u l
pušimis	p u ʃ i m i s
pylos	p i l o s
rabino	r a b i n o
realijų	r e a l i j o
renaldo	r e n a l d o
renatos	r e n a t o s
rinksis	r i ŋ k s i s
rush	ʁ u ʃ
serena	s e ʀ e n a
serviso	s e r v i z o
sind	s i n d
skubos	s k u b o s
skėčiu	s k i t͡ʃ i u
sono	s o n o
specialiems	s p e t͡ʃ a l j ɛ m s
spekuliacijos	s p e k u l j a t͡ʃ i j o s
spiritu	s p i r i t u
springfildo	s p r i ŋ f i l d o
stiklus	s t i k l u s
stručio	s t r u t͡ʃ j o
stulpu	s t u l p u
sudužus	s u d u ʒ u s
susprogdinta	s u s p r o ɡ d i n t a
sučiupo	s u t͡ʃ i u p o
svetimkūnis	z v e t i m k uː n i s
sūrius	s uː r i u s
telefonijos	t e l e f o n i j o s
temptis	t ɛ m p t i s
tes	t e s
teturi	t e t u r i
tobulu	t o b u l u
tobulus	t o b u l u s
tokyo	t o k j o
trentas	t r e n t a s
trolis	t r o l i s
tropinis	t r o p i n i s
trąšomis	t r ɔ n ʃ o m i s
until	u n t i l
uždarant	u ʒ d a ʀ a n t
vekselio	v e k s e l j o
vertintų	v e r t i n t o
vidiniam	v i d i n j a m
vinčis	v i n t͡ʃ i s
viršijus	v i r ʃ i j u s
visit	v i z i t
volis	v o l i s
vyčiu	v i t͡ʃ i u
ye	j e
čerčilio	t͡ʃ e r t͡ʃ i l j o
šefildo	ʃ e f i l d o
šerdyje	ʃ e ʁ d i j ə
šneku	ʃ n e k u
šoninį	ʃ o n i n i
šovinį	ʃ o v i n i
štuthofo	ʃ t u t h o f o
šventinis	ʃ v e n t i n i s
šventumo	ʃ v e n t u m o
šūkius	ʃ uː k i u s
žemutinio	ʒ e m u t i n j o
žymeklį	ʒ i m e k l i
žyminio	ʒ i m i n j o
apgadinta	a p ɡ a d i n t a
ariana	a r j a n a
belmonto	b e l m o n t o
būčys	b uː t͡ʃ i s
demokratinį	d e m o k r a t i n i
dilbio	d i l b j o
dukstynos	d u k s t i n o s
dusios	d u z j o s
emos	e m o s
felix	f e l i k s
filipinus	f i l i p i n u s
garsinio	ɡ a r s i n j o
gintra	ɡ i n t r a
globalinio	ɡ l o b a l i n j o
gruntinis	ɡ r u n t i n i s
igor	i ɡ o r
išplitimo	i ʃ p l i t i m o
keliukų	k e l i u k o
kilni	k i l n i
kodak	k o d a k
mokinti	m o k i n t i
nebuvimu	n e b u v i m u
nušoko	n u ʃ o k o
pranyko	p r a n i k o
priestato	p r i e s t a t o
skersinį	s k e r s i n i
skridimo	s k r i d i m o
telkėsi	t e l k i s i
testu	t e s t u
verčiu	v e r t͡ʃ i u
vestuvinio	v e s t u v i n j o
šnipo	ʃ n i p o
žūt	ʒ uː t
abitūros	a b i t uː r o s
advaita	a d v a i t a
aliona	a l j o n a
baldams	b a l d a m s
bega	b e ɡ a
beprotiško	b e p r o t i ʃ k o
besidomintys	b e z i d o m i n t i s
bills	b i l s
brasta	b r a s t a
cukrinio	k u k r i n j o
dalykinis	d a l i k i n i s
dedi	d e d i
derinio	d e r i n j o
dičkis	d i t͡ʃ k i s
dvejeto	d v e j e t o
džei	d͡ʒ ɛ i̯
epitetų	e p i t e t o
fobijos	f o b i j o s
fri	f r i
fukušimos	f u k u ʃ i m o s
git	ɡ i t
gol	ɡ o l
gorila	ɡ o r i l a
grindinį	ɡ r i n d i n i
hanibalo	h a n i b a l o
identity	i d ɛ n t i t i
imtuvus	i m t u v u s
inteligentas	i n t e l i d͡ʒ ɛ n t a s
iptv	i p t e f
išdidi	i ʃ d i d i
iškeliant	i ʃ k e l j a n t
išvežimo	i ʃ v e ʒ i m o
išvykose	i ʃ v i k o s e
kilis	k i l i s
kontraceptikų	k o n t r a t͡ʃ ɛ p t i k o
laterano	l a t e r a n o
libido	l i b i d o
liongino	l i o n d͡ʒ i n o
mariano	m a r j a n o
medžioklinis	m e d ʒ i o k l i n i s
memorial	m e m o r j a l
metodams	m e t o d a m s
milžinus	m i l ʒ i n u s
nagevičius	n a d͡ʒ e v i t͡ʃ i u s
nebutu	n e b u t u
nežinojimo	n e ʒ i n o j i m o
nitro	n i t r o
nukritimo	n u k r i t i m o
oui	u i
paciu	p a t͡ʃ u
patricia	p a t r i t͡ʃ a
permatomi	p e r m a t o m i
playa	p l a j a
polish	p o l i ʃ
poliso	p o l i z o
precedento	p r e t͡ʃ e d ɛ n t o
priskirtini	p r i s k i r t i n i
procesoriumi	p r o t͡ʃ e z o r j u m i
pub	p u p
racionalios	r a t͡ʃ o n a l j o s
rifas	r i f a s
rikos	r i k o s
safety	s a f e t i
seleno	s e l e n o
selenos	s e l e n o s
senolio	s e n o l j o
sodrios	s o d r i o s
subtilu	s u p t i l u
supra	s u p r a
talentingo	t a l e n t i ŋ ɡ o
temperamento	t e m p e r a m e n t o
teva	t e v a
till	t i l
tolkino	t o l k i n o
turistinį	t u r i s t i n i
urbanistinio	u r b a n i s t i n j o
užlipęs	u ʒ l i p ɛ n s
užpildu	u ʃ p i l d u
vykite	v i k i t e
šaknims	ʃ a k n i m s
šk	ʃ k
švelniomis	ʃ v e l n j o m i s
agitavo	a d͡ʒ i t a v o
atom	a t o m
bendrinis	b e n d r i n i s
benutiktų	b e n u t i k t o
beprotybę	b e p r o t i b ɛ
besidomintiems	b e z i d o m i n t iː m s
britus	b r i t u s
bulvytes	b u l v i t e s
būtinybei	b uː t i n i b ɛ i̯
civil	t͡ʃ i v i l
debeto	d e b e t o
demonstravimo	d e m o n s t r a v i m o
dengtu	d e ŋ t u
dešinys	d e ʃ i n i s
disc	d i s k
dvejoti	d v e j o t i
ekonomikų	e k o n o m i k o
elitinio	e l i t i n j o
eso	e z o
ewa	e w a
flinto	f l i n t o
frederika	f r e d e r i k a
geniali	d͡ʒ e n j a l i
ideologinio	i d e o l o d͡ʒ i n j o
individams	i n d i v i d a m s
ispanams	i s p a n a m s
jukos	j u k o s
jūms	j uː m s
kiosko	k i o s k o
klinikinę	k l i n i k i n ɛ
kontūrų	k o n t uː r oː
kulno	k u l n o
kup	k u p
kąsnis	k ɔ n s n i s
lapes	l a p e s
materiali	m a t e r j a l i
mechaniniam	m e ʃ a n i n j a m
merfis	m ɛ r f i s
merida	m e r i d a
metalinę	m e t a l i n ɛ
mobiliu	m o b i l j u
moteriškumo	m o t e r i ʃ k u m o
motyvu	m o t i v u
neabejotina	n e a b e j o t i n a
negydant	n e ɡ i d a n t
nenešioju	n e n e ʃ j o j u
neoficiali	n e o f i t͡ʃ a l i
nesimatys	n e z i m a t i s
nesutikus	n e z u t i k u s
netolygus	n e t o l i ɡ u s
nevilis	n e v i l i s
nusistatymo	n u z i s t a t i m o
nusišypsos	n u z i ʃ i p s o s
organinio	o r ɡ a n i n j o
oršos	o r ʃ o s
pervažos	p e r v a ʒ o s
plintanti	p l i n t a n t i
plyš	p l i ʃ
pobūvį	p o b uː v i
pokylis	p o k i l i s
potencialius	p o t e n t͡ʃ a l j u s
pradiniam	p r a d i n j a m
profiliu	p r o f i l j u
proginis	p r o d͡ʒ i n i s
racionali	r a t͡ʃ o n a l i
ribotu	r i b o t u
robotams	ʁ o b o t a m s
sic	s i k
sinchroninis	s i n k r o n i n i s
skolinimo	s k o l i n i m o
solidų	s o l i d o
stefan	s t e f a n
stick	s t i k
sugrius	s u ɡ r i u s
sutvirtintos	s u t v i r t i n t o s
tcp	t e s e p e
tekilos	t e k i l o s
tra	t r a
užtemimo	u ʃ t e m i m o
vagies	v a ʒ i s
veiklūs	v ɛ i̯ k l uː s
vilnonis	v i l n o n i s
vir	v i r
yoga	j o ɡ a
čekiu	t͡ʃ e k j u
alimentus	a l i m e n t u s
blažys	b l a ʒ i s
bulg	b u l k
byloms	b i l ɔ m s
būs	b uː s
daly	d a l i
degiklį	d e ɡ i k l i
delphi	d e l f i
etnografinę	e t n o ɡ r a f i n ɛ
gabalis	ɡ a b a l i s
grafitas	ɡ r a f i t a s
ing	i ŋ
inta	i n t a
ipa	i p a
išdidumo	i ʃ d i d u m o
išmokote	i ʃ m o k o t e
lilo	l i l o
luku	l u k u
meteorų	m e t e o r o
molinis	m o l i n i s
motorinę	m o t o r i n ɛ
nusilpus	n u z i l p u s
nusipirktų	n u z i p i r k t o
oak	o a k
operavo	o p e r a v o
pascal	p a s k a l
pomirtinio	p o m i r t i n j o
rubino	r u b i n o
senesnį	s e n e s n i
spyris	s p i r i s
stovite	s t o v i t e
sunitų	s u n i t o
sutrumpino	s u t r u m p i n o
teptis	t e p t i s
tirpimo	t i r p i m o
toledo	t o l e d o
viduriniojo	v i d u r i n j o j o
vitulskis	v i t u l s k i s
vive	v i v e
šventyklose	ʃ v e n t i k l o s e
žilionis	ʒ i l j o n i s
žinojom	ʒ i n o j o m
žodelis	ʒ o d e l i s
agregatus	a ɡ r e ɡ a t u s
amigo	a m i ɡ o
ananaso	a n a n a z o
animals	a n i m a l s
aptarta	a p t a r t a
begalinį	b e ɡ a l i n i
belis	b e l i s
belovežo	b e l o v e ʒ o
bibliogr	b i b l j ɔ ɡ r
bilį	b i l i
bosko	b o s k o
bukos	b u k o s
christiano	k r i s t j a n o
davidu	d a v i d u
deganti	d e ɡ a n t i
delnų	d e l n o
destrukcijos	d e s t r u k t͡ʃ i j o s
didiko	d i d i k o
domus	d o m u s
dubajų	d u b a j o
ebolos	e b o l o s
edith	e d i t
emulsijos	e m u l s i j o s
fix	f i k s
flynn	f l i n
fonu	f o n u
gos	ɡ o s
grafiti	ɡ r a f i t i
gurevičius	ɡ u r e v i t͡ʃ i u s
hetitų	h e t i t o
hub	h u p
imkit	i m k i t
imtos	i m t o s
intro	i n t r o
iškilusius	i ʃ k i l u z i u s
kiškį	k i ʃ k i
klimo	k l i m o
komiškų	k o m i ʃ k o
kopomis	k o p o m i s
kultiniu	k u l t i n j u
kvidičo	k v i d i t͡ʃ o
lisabona	l i z a b o n a
lituanicos	l i t u a n i k o s
llti	l t i
lopšiu	l o p ʃ i u
lubomis	l u b o m i s
mens	m ɛ n s
metodistų	m e t o d i s t o
mečys	m e t͡ʃ i s
mirsi	m i r s i
mončio	m o n t͡ʃ j o
nenumato	n e n u m a t o
neparodyti	n e p a r o d i t i
neviršijo	n e v i r ʃ i j o
nusinešti	n u z i n e ʃ t i
nusuko	n u z u k o
omni	o m n i
otomo	o t o m o
ovario	o v a r j o
pagyrimo	p a ɡ i r i m o
pagyvina	p a ɡ i v i n a
pax	p a k s
pedagogu	p e d a ɡ o ɡ u
petrulio	p e t r u l j o
pigmentacijos	p i ɡ m e n t a t͡ʃ i j o s
pintos	p i n t o s
piti	p i t i
pomirtinį	p o m i r t i n i
potenciali	p o t e n t͡ʃ a l i
prioriteto	p r i o r i t e t o
repetavo	r e p e t a v o
rimšos	r i m ʃ o s
ronio	r o n j o
scenarijumi	ʃ e n a r i j u m i
singlus	s i ŋ l u s
sisteminti	s i s t e m i n t i
ski	s k i
smulkiojo	z m u l k j o j o
specifikos	s p e t͡ʃ i f i k o s
stiprinimu	s t i p r i n i m u
sugundyti	s u ɡ u n d i t i
sunerimusi	s u n e r i m u z i
technikumo	t e k n i k u m o
tikę	t i k ɛ
tools	t oː l s
umberto	u m b ɛ r t o
vilio	v i l j o
vilnensis	v i l n ɛ n s i s
vitae	v i t a e
čempionams	t͡ʃ ɛ m p j o n a m s
švilpuko	ʃ v i l p u k o
ženklinimo	ʒ e n k l i n i m o
žvejojo	ʒ v e j o j o
