на	n a
свадебная	s ʋ a dʲ ɛ b n a j a
сверхновой	s ʋ ɛ r x n ɔ ʋ ɔ j
свите	s ʋ i tʲ ɛ
сгоряча	s ɡ ɔ rʲ a t͡ɕʰ a
сельскими	s ɛ l ɪ s k i m i
сенатом	s ɛ n a t ɔ m
сериями	s ɛ r i j a m i
синагогу	s i n a ɡ ɔ ɡ u
сис	s i s
смятение	s mʲ a tʲ ɛ n i j ɛ
снилась	s n i l a sʲ
собору	s ɔ b ɔ r u
согласованные	s ɔ ɡ l a s ɔ ʋ a n n i j ɛ
сохраню	s ɔ x r a nʲ u
соя	s ɔ j a
спросу	s p r ɔ s u
столетней	s t ɔ lʲ ɛ t n ɛ j
судну	s u d n u
сухость	s u x ɔ s tʲ
тo	t o
тесная	tʲ ɛ s n a j a
тортом	t ɔ r t ɔ m
требующая	t rʲ ɛ b u j u ɕ t͡ɕ a j a
тронуть	t r ɔ n u tʲ
трофим	t r ɔ f i m
труппой	t r u p p ɔ j
тупость	t u p ɔ s tʲ
тщательнее	t ɕ a tʲ ɛ lʲ nʲ ɛ j ɛ
ударяет	u d a rʲ a j ɛ t
умны	u m n i
уронить	u r ɔ n i tʲ
усилием	u s i l i j ɛ m
ускорению	u s k ɔ rʲ ɛ n i j u
фатима	f a tʲ i m a
финансах	f i n a n s a x
финишную	f i n i ɕ n u j u
хаки	x a kʲ
честную	t͡ɕ ɛ s t n u j u
чеченский	t͡ɕ ɛ t͡ɕ ɛ n s k i j
эрику	e r i k u
этель	e tʲ ɛ lʲ ɪ
юз	j u z
яра	j a r a
dans	d a n s
dirty	d i r t i
excel	e k s t͡ʃ e l
expo	e k s p o
file	f i l e
gmbh	ɡ e m b e
graphics	ɡ r a f i k s
hope	h o p e
isis	i s i s
joe	d͡ʒ o e
mount	m a u n t
move	m o v e
og	o ɡ
purple	p u r p l e
resident	r e s i d e n t
running	r u n i ŋ
step	s t e p
studios	s t u d i o s
ts	t s
tt	t e t e
uh	u h
августина	a w̜ k u s tʲ i n a
анахайм	a n a x ɛː m
бабий	b a b iː
башмаки	b a ɕ m a kʲ
белкин	b ɛ l k i n
бинарных	b i n a r n i x
блоха	b l ɔ x a
блохина	b l ɔ x i n a
блузка	b l u z k a
боди	b ɔ d i
божественных	b ɔ ʑ ɛ s t ʋ ɛ n n i x
бразды	b r a z d i
брэдбери	b r e d bʲ ɛ r i
будние	b u d n i j ɛ
буряты	b u rʲ a tʲ i
вбить	ʋ b i tʲ
вдохновить	ʋ d ɔ x n ɔ ʋ i tʲ
венков	ʋ ɛ n k ɔ ʋ
версты	ʋ ɛ r s t i
верхнему	ʋ ɛ r x n ɛ m u
видимый	ʋ i d i m i j
внушать	ʋ n u ɕ a tʲ
воениздат	ʋ ɔ j ɛ n i z d a t
всесоюзных	ʋ s ɛ s ɔ j u z n i x
выть	ʋ i tʲ
гришина	ɡ r i ɕ i n a
грызуны	ɡ r i z u n i
двины	d ʋ i n i
дебютного	d ɛ b j u t n o ɡ o
денди	d ɛ n d i
дичи	d i t͡ɕ i
догола	d ɔ ɡ ɔ l a
догонит	d ɔ ɡ ɔ n i t
допуская	d ɔ p u s k a j a
дочернее	d ɔ t͡ɕ ɛ r n ɛ j ɛ
еше	j ɛ ɕ ɛ
заинтересовано	z a j i n tʲ ɛ rʲ ɛ s ɔ ʋ a n o
замеры	z a mʲ ɛ r i
запускаем	z a p u s k a j ɛ m
затронет	z a tʰ r ɔ nʲ ɛ t
зорин	z ɔ r i n
зубные	z u b n i j ɛ
изданная	i z d a n n a j a
испр	i s p r
йорком	j ɔ r k ɔ m
караганда	k a r a ɣ a n d a
карамзин	k a r a m z i n
кеша	kʲ ɛ ɕ a
киса	k i s a
комментируют	k ɔ m mʲ ɛ n tʲ i r u j u t
компот	k ɔ m p ɔ t
кончаю	k ɔ n t͡ɕ a j u
конюшню	k ɔ nʲ u ɕ nʲ u
копа	k ɔ p a
косые	k ɔ s i j ɛ
крупу	k r u p u
либеральным	l i b ɛ r a ɮʲ n i m
лим	l i m
лишая	l i ɕ a j a
лысая	l i s a j a
махмуда	m a x m u d a
методично	m ɛ t ɔ d i t͡ɕ n o
миле	m i lʲ ɛ
мицубиси	m i t͡sʰ u b i s i
мишу	m i ɕ u
мочить	m ɔ t͡ɕ i tʲ
мрачных	m r a t͡ɕʰ n i x
мундире	m u n d i rʲ ɛ
наберу	n a bʲ ɛ r u
начатой	n a t͡ɕ a tʰ ɔ j
нда	n d a
несем	n ɛ s ɛ m
нещадно	n ɛ ɕ t͡ɕ a d n o
нищего	n i ɕ t͡ɕ ɛ ɡ ɔ
новеньких	n ɔ ʋ ɛ n ɪ k i x
ноет	n ɔ j ɛ t
номерные	n ɔ m ɛ r n i j ɛ
носорога	n ɔ s ɔ r ɔ ɡ a
ограда	ɔ ɡ r a d a
огромна	ɔ ɡ r ɔ m n a
одолжение	ɔ d ɔ l ʑ ɛ n i j ɛ
опоздания	ɔ p ɔ z d a n i j a
опросам	ɔ p r ɔ s a m
ортега	ɔ r tʲ ɛ ɡ a
освоением	ɔ s ʋ ɔ j ɛ n i j ɛ m
отвергнуть	ɔ t ʋ ɛ r ɡ n u tʲ
откуп	o t k u p
отменяют	ɔ t mʲ ɛ nʲ a j u t
отработке	ɔ t r a b ɔ t kʲ ɛ
очистные	ɔ t͡ɕ i s t n i j ɛ
пад	p a d
пикапа	p i k a p a
питерских	p i tʲ ɛ r s k i x
плазма	p l a z m a
плесенью	p lʲ ɛ s ɛ n ɪ j u
плуг	p l u ɡ
подведения	p ɔ d ʋ ɛ d ɛ n i j a
подниму	p ɔ d n i m u
подняло	p ɔ d nʲ a l o
подпольная	p ɔ d p ɔ lʲ n a j a
подпрограммы	p ɔ d p r ɔ ɡ r a m m i
покладая	p ɔ k l a d a j a
полагаясь	p ɔ l a ɡ a j a sʲ
полёты	p ɔ lʲ ɔ t i
помещать	p ɔ mʲ ɛ ɕ t͡ɕ a tʲ
попрощалась	p ɔ p r ɔ ɕ t͡ɕ a l a sʲ
поселили	p ɔ s ɛ l i l i
поступке	p ɔ s t u p kʲ ɛ
посёлке	p ɔ s j ɔ l kʲ ɛ
потекли	p ɔ tʲ ɛ k l i
потолку	p ɔ t ɔ l k u
похожем	p ɔ x ɔ ʑ ɛ m
почерка	p ɔ t͡ɕ ɛ r k a
почитали	p ɔ t͡ɕ i t a l i
пояснение	p ɔ j a s n ɛ n i j ɛ
присудил	p r i s u d i l
проведенном	p r ɔ ʋ ɛ d ɛ n n o m
пятому	pʲ a t ɔ m u
радара	r a d a r a
разряды	r a z rʲ a d i
рассказано	r a s k a z a n o
римскую	r i m s k u j u
ритмом	r i t m ɔ m
рифму	r i f m u
сарказма	s a r k a z m a
свекрови	s ʋ ɛ k r ɔ ʋ i
светским	s ʋ ɛ t s k i m
свистит	s ʋ i s tʲ i t
сдаю	s d a j u
сердись	s ɛ r d i s ɪ
сибирскую	s i b i r s k u j u
сида	s i d a
сифилис	s i f i l i s
сия	s i j a
складной	s k l a d n ɔ j
сланцы	s ɮ a n t͡sʰ i
смотре	s m ɔ t rʲ ɛ
сносу	s n ɔ s u
соке	s ɔ kʲ ɛ
сор	s ɔ r
сора	s ɔ r a
стра	s t r a
ступор	s t u p ɔ r
сульфат	s u ɮʲ f a t
суфле	s u f lʲ ɛ
сыграю	s i ɡ r a j u
татарам	t a tʰ a r a m
терминале	tʲ ɛ r m i n a lʲ ɛ
токе	t ɔ kʲ ɛ
тотальная	t ɔ t a lʲ n a j a
тронули	t r ɔ n u lʲ i
тропинке	t r ɔ p i n kʲ ɛ
тюменские	tʲ u mʲ ɛ n s k i j ɛ
тёмно	tʲ ɔ m n o
убегаю	u bʲ ɛ ɡ a j u
убегая	u bʲ ɛ ɡ a j a
уганды	u ɣ a n d i
университетские	u n i ʋ ɛ r s i tʲ ɛ t s k i j ɛ
упомянут	u p ɔ mʲ a n u t
упустите	u p u s tʲ i tʲ ɛ
уфсин	u f s i n
уэльс	u e ɮʲ s
флинна	f l i n n a
хаммонд	x a m m ɔ n d
хищные	x i ɕ t͡ɕ n i j ɛ
хопа	x ɔ p a
ххi	x i
чует	t͡ɕ u j ɛ t
чэнь	t͡ɕ e nʲ
эз	e z
эмиссия	e m i s s i j a
юморист	j u m ɔ r i s t
яблоня	j a b l ɔ nʲ a
яшина	j a ɕ i n a
adam	a d a m
april	a p r i l
does	d o e s
error	e r o r
false	f a l s e
infinity	i n f i n i t i
kind	k i n d
map	m a p
motorsport	m o t o r s p o r t
mvp	ɛ m v e p e
nova	n o v a
pain	p a i n
ram	r a m
rockstar	r o k s t a r
rosso	r o s o
yu	j u
аграрно	a ɡ r a r n o
ае	a j
баг	b a ɡ
баркли	b a r k l i
белкина	b ɛ l k i n a
берти	b ɛ r tʲ i
босфор	b ɔ s f ɔ r
брандт	b r a n d t
брюшка	b rʲ u ɕ k a
бума	b u m a
вандализм	ʋ a n d a ɮ i z m
велике	ʋ ɛ l i kʲ ɛ
верона	ʋ ɛ r o n a
визитная	ʋ i z i t n a j a
водяная	ʋ ɔ dʲ a n a j a
воинским	ʋ ɔ j i n s k i m
восклицает	ʋ ɔ s k l i t͡sʰ ɑ j ɛ t
выводах	ʋ i ʋ ɔ d a x
голое	ɡ ɔ l ɔ j ɛ
горда	ɡ ɔ r d a
гордыня	ɡ ɔ r d i nʲ a
грозой	ɡ r ɔ z ɔ j
гука	ɡ u k a
гущин	ɡ u ɕ i n
даррена	d a r rʲ ɛ n a
двигателях	d ʋ i ɡ a tʲ ɛ ɮʲ a x
дворянское	d ʋ ɔ rʲ a n s k ɔ j ɛ
денни	d ɛ n n i
десятым	d ɛ s j a t i m
джеку	d͡ʒ ɛ k u
дышите	d i ɕ i tʲ ɛ
заработают	z a r a b ɔ tʰ a j u t
здешний	z dʲ ɛ ɕ n i j
знаниях	z n a n i j a x
знатоком	z n a tʰ ɔ k ɔ m
золя	z ɔ lʲ a
зураб	z u r a b
июню	j u nʲ u
кад	k a d
казус	k a z u s
кампаниях	k a m p a n i j a x
катать	k a tʰ a tʲ
кер	kʲ ɛ r
кланы	k l a n i
клеща	k lʲ ɛ ɕ t͡ɕ a
клона	k l ɔ n a
клопп	k l ɔ p p
клык	k l i k
когурё	k ɔ ɡ u rʲ ɔ
кожаную	k ɔ ʑ a n u j u
коляда	k ɔ lʲ a d a
комод	k ɔ m ɔ d
коррозия	k ɔ r r ɔ z i j a
корё	k ɔ rʲ ɔ
кошкин	k ɔ ɕ k i n
кро	k r ɔ
крымскую	k r i m s k u j u
кубанские	k u b a n s kʲ i j ɛ
лагранжа	l a ɡ r a n d͡ʑ a
лии	l i j
марихуаной	m a r i x u a n ɔ j
мебельной	m ɛ b ɛ l ɪ n ɔ j
мег	m ɛ ɡ
мем	m ɛ m
мис	m i s
молить	m ɔ l i tʲ
морозу	m ɔ r ɔ z u
мэ	m e
напрасны	n a p r a s n i
ненароком	n ɛ n a r ɔ k ɔ m
ненужного	n ɛ n u ʑ n o ɡ o
низшие	n i z ɕ i j ɛ
никона	n i k ɔ n a
ниш	n i ɕ
носим	n ɔ s i m
обращала	ɔ b r a ɕ t͡ɕ a l a
оглашения	ɔ ɡ l a ɕ ɛ n i j a
оглы	ɔ ɡ l i
ожиданием	ɔ ʑ i d a n i j ɛ m
оргии	ɔ r ɡ i j
орк	ɔ r k
ответная	ɔ t ʋʲ ɛ t n a j a
отпускаю	ɔ t p u s k a j u
пинать	p i n a tʲ
плесени	p lʲ ɛ s ɛ n i
плоскими	p l ɔ s k i m i
плутона	p l u t ɔ n a
погибшем	p ɔ ɡ i b ɕ ɛ m
погрома	p ɔ ɡ r ɔ m a
подкупить	p ɔ d k u p i tʲ
подлые	p ɔ d l i j ɛ
подменить	p ɔ d mʲ ɛ n i tʲ
пожрать	p ɔ ʑ r a tʲ
поймёте	p ɔ j mʲ ɔ tʲ ɛ
поклонская	p ɔ k l ɔ n s k a j a
покроет	p ɔ k r ɔ j ɛ t
положениях	p ɔ l ɔ ʑ ɛ n i j a x
полюсу	p ɔ lʲ u s u
помру	p ɔ m r u
премиями	p rʲ ɛ m i j a m i
пригласит	p r i ɡ l a s i t
придумана	p r i d u m a n a
принимающая	p r i n i m a j u ɕ t͡ɕ a j a
притеснения	p r i tʲ ɛ s n ɛ n i j a
продолжительные	p r ɔ d ɔ l ʑ i tʲ ɛ l ɪ n i j ɛ
пролете	p r ɔ lʲ ɛ tʲ ɛ
промахи	p r ɔ m a xʲ
протока	p r ɔ t ɔ k a
прочная	p r ɔ t͡ɕ n a j a
психологией	p s i x ɔ l ɔ ɡ i j ɛ j
разобраны	r a z ɔ b r a n i
рискну	r i s k n u
роем	r ɔ j ɛ m
рональда	r ɔ n a ɮʲ d a
рояле	r ɔ j a lʲ ɛ
рудных	r u d n i x
ручаюсь	r u t͡ɕ a j u sʲ
ручную	r u t͡ɕ n u j u
рюкзаки	rʲ u k z a kʲ
рёбра	rʲ ɔ b r a
свинцом	s ʋ i n t͡sʰ ɔ m
седова	s ɛ d ɔ ʋ ɑ
селигер	s ɛ l i ɡ ɛ r
сени	s ɛ n i
сименс	s i m ɛ n s
скрыла	s k r i ɮ a
скучаем	s k u t͡ɕ a j ɛ m
стремитесь	s t rʲ ɛ m i tʲ ɛ s ɪ
строгую	s t r ɔ ɡ u j u
струю	s t r u j u
струя	s t r u j a
ступино	s t u p i n o
сумо	s u m ɔ
сундука	s u n d u k a
сунуть	s u n u tʲ
съедают	s j ɛ d a j u t
съедобные	s j ɛ d ɔ b n i j ɛ
сызрани	s i z r a n i
тверскую	t ʋ ɛ r s k u j u
трудам	t r u d a m
убой	u b ɔ j
удобны	u d ɔ b n i
удобными	u d ɔ b n i m i
ука	u k a
умную	u m n u j u
упадёт	u p a dʲ ɔ t
фермерские	f ɛ r m ɛ r s k i j ɛ
финалы	f i n a l i
хиросимы	x i r ɔ s i m i
хрупкой	x r u p k ɔ j
чун	t͡ɕ u n
шань	ɕ a nʲ
шерстяные	ɕ ɛ r s tʲ a n i j ɛ
шьют	ɕ j u t
ямато	j a m a tʰ ɔ
японо	j a p ɔ n o
ясную	j a s n u j u
cook	k u k
glory	ɡ l o r i
hip	h i p
int	i n t
listen	l i s t e n
mountain	m a u n t a i n
pl	p e l
put	p u t
soc	s o k
tanks	t a n k s
td	t e d e
аббаса	a b b a s a
азиатская	a z i̯ aː tʰ s k a j a
анализируют	a n a ɮ i z i r u j u t
анкет	a ŋ kʲ ɛ t
бамбука	b a m b u k a
банана	b a n a n a
баталии	b a tʰ a ɮ i j
батуте	b a tʰ u tʲ ɛ
бесшумно	b ɛ s ɕ u m n o
бийске	b i j s kʲ ɛ
бинт	b i n t
блузку	b l u z k u
бобра	b ɔ b r a
бодрость	b ɔ d r ɔ s tʲ
бодрый	b ɔ d r i j
бойфренда	b ɔ j f rʲ ɛ n d a
брэнд	b r e n d
буль	b u lʲ
буфер	b u fʲ ɛ r
бёрд	b j ɔ r d
вертикальным	ʋ ɛ r tʰ i k a lʲ n i m
верховенство	ʋ ɛ r x ɔ ʋ ɛ n s t ʋ ɔ
веселыми	ʋ ɛ s ɛ l i m i
видным	ʋ i d n i m
винных	ʋ i n n i x
возбуждены	ʋ ɔ z b u ʑ d͡ʑ ɛ n i
возросшей	ʋ ɔ z r ɔ s ɕ ɛ j
воскрешения	ʋ ɔ s k rʲ ɛ ɕ ɛ n i j a
восхищает	ʋ ɔ s x i ɕ t͡ɕ a j ɛ t
вредного	ʋ rʲ ɛ d n o ɡ o
всестороннее	ʋ s ɛ s t ɔ r ɔ n n ɛ j ɛ
вывеской	ʋ i ʋ ɛ s k ɔ j
вырубка	ʋ i r u p k a
вышке	ʋ i ɕ kʲ ɛ
гар	ɡ a r
гибких	ɡ i p kʲ i x
гнуть	ɡ n u tʲ
гоблин	ɡ ɔ b l i n
голодающих	ɡ ɔ l ɔ d a j u ɕ t͡ɕ i x
гусар	ɡ u s a r
гэ	ɡ e
джареда	d͡ʑ a rʲ ɛ d a
дзержинск	d͡z ɛ r ʑ i n s k
дикарь	d i k ɑ rʲ
дорожит	d ɔ r ɔ ʑ i t
дымка	d i m k a
еа	j ɛ a
задаюсь	z a d a j u sʲ
законная	z a k ɔ n n a j a
замять	z a mʲ a tʲ
заторы	z a tʰ ɔ r i
захара	z a x a r a
зола	z ɔ l a
иден	i d ɛ n
иерархию	j ɛ r a r x i j u
изогнутые	i z ɔ ɡ n u t i j ɛ
ирландские	i r ɮ a n d s k i j ɛ
ирма	j i r m a
каб	k a b
казахские	k a z a x s kʲ i j ɛ
казней	k a z nʲ ɛ j
камерной	k a mʲ ɛ r n ɔ j
канны	k a n n i
карандаша	k a r a n d a ɕ a
кард	k a r d
кобзона	k ɔ b z ɔ n a
кобры	k ɔ b r i
комиссару	k ɔ m i s s a r u
котята	k ɔ tʲ a tʲ a
крохотные	k r ɔ x ɔ t n i j ɛ
ктото	k t ɔ t ɔ
кэша	k e ɕ a
ленинское	l ɛ n i n s k ɔ j ɛ
лирику	l i r i k u
лопастей	l ɔ p a s tʲ ɛ j
лопнуло	l ɔ p n u l o
мансийский	m a n s iː s k iː
мантия	m a n tʲ i j a
мессу	m ɛ s s u
метре	m ɛ t rʲ ɛ
мии	m i j
минни	m i n n i
митрохин	m i t r ɔ x i n
множественном	m n ɔ ʑ ɛ s t ʋ ɛ n n o m
множественных	m n ɔ ʑ ɛ s t ʋ ɛ n n i x
мос	m ɔ s
мякоти	mʲ a k ɔ tʲ i
нo	n o
назначал	n a z n a t͡ɕ a l
накроет	n a k r ɔ j ɛ t
наполнять	n a p ɔ l nʲ a tʲ
насилуют	n a s i ɮ u j u t
находкой	n a x ɔ d k ɔ j
нежную	n ɛ ʑ n u j u
нелогично	n ɛ l ɔ ɡ i t͡ɕ n o
нюанс	nʲ u a n s
нянька	nʲ a nʲ k a
обложкой	ɔ b l ɔ ʑ k ɔ j
облучение	ɔ b l u t͡ɕ ɛ n i j ɛ
огласки	ɔ ɡ l a s kʲ
осилить	ɔ s i l i tʲ
ослаб	ɔ s l a b
отведены	ɔ t ʋ ɛ d ɛ n i
отрицала	ɔ t r i t͡sʰ a l a
пачино	p a t͡ɕ i n o
пенсиях	pʲ ɛ n s i j a x
пинки	p i n k i
плед	p lʲ ɛ d
пли	p l i
повешение	p ɔ ʋ ɛ ɕ ɛ n i j ɛ
погасил	p ɔ ɡ a s i l
поданы	p ɔ d a n i
подбодрить	p ɔ d b ɔ d r i tʲ
пожарах	p ɔ ʑ a r a x
полоцк	p ɔ l ɔ t͡sʰ k
потрясающих	p ɔ t rʲ a s a j u ɕ t͡ɕ i x
почитание	p ɔ t͡ɕ i t a n i j ɛ
поясах	p ɔ j a s a x
прибить	p r i b i tʲ
прибоя	p r i b ɔ j a
пригодна	p r i ɡ ɔ d n a
принт	p r i n t
пробах	p r ɔ b a x
пробыть	p r ɔ b i tʲ
продлит	p r ɔ d l i t
продолжите	p r ɔ d ɔ l ʑ i tʲ ɛ
проследил	p r ɔ s lʲ ɛ d i l
прохладным	p r ɔ x ɮ a d n i m
прощаюсь	p r ɔ ɕ t͡ɕ a j u sʲ
раздвоение	r a z d ʋ ɔ j ɛ n i j ɛ
ранением	r a nʲ ɛ n i j ɛ m
расходных	r a s x ɔ d n i x
романтику	r ɔ m a n tʲ i k u
ромашка	r ɔ m a ɕ k a
румынская	r u m i n s k a j a
русые	r u s i j ɛ
сванидзе	s ʋ a n i d͡z ɛ
свечами	s ʋ ɛ t͡ɕ ɑ m i
сводные	s ʋ ɔ d n i j ɛ
сдохну	s d ɔ x n u
сидр	s i d r
символизируют	s i m ʋ ɔ l i z i r u j u t
сиропа	s i r ɔ p a
склепе	s k lʲ ɛ pʲ ɛ
скучное	s k u t͡ɕ n ɔ j ɛ
словесность	s l ɔ ʋ ɛ s n o s tʲ
слыша	s l i ɕ a
соберите	s ɔ b ɛ r i tʲ ɛ
сообщ	s oː b ɕ
сопряжено	s ɔ p rʲ a ʑ ɛ n o
социум	s ɔ t͡sʲ u m
сочная	s ɔ t͡ɕ n a j a
союзное	s ɔ j u z n ɔ j ɛ
сраная	s r a n a j a
ссуд	s s u d
стечению	s tʲ ɛ t͡ɕ ɛ n i j u
сухари	s u x a rʲ
схожесть	s x ɔ ʑ ɛ s tʲ
танкист	t a ŋ kʲ i s t
таскал	t a s k a l
тащи	t a ɕ i
таять	t a j a tʲ
томография	t ɔ m ɔ ɡ r a f i j a
торс	t ɔ r s
трап	t r a p
трент	t rʲ ɛ n t
троса	t r ɔ s a
тяжбы	tʲ a ʒ b i
угрозам	u ɡ r ɔ z a m
узле	u z lʲ ɛ
уй	u i
умению	u mʲ ɛ n i j u
усика	u s i k a
учебником	u t͡ɕ ɛ b n i k ɔ m
учреждено	u t͡ɕ rʲ ɛ ʑ d͡ʑ ɛ n o
уэбб	u e b b
финанс	f i n a n s
фискальной	f i s k a lʲ n ɔ j
флориду	f l ɔ r i d u
фонтане	f ɔ n t a nʲ ɛ
франсис	f r a n s i s
фридмана	f r i d m a n a
хаббард	x a b b a r t
храбрым	x r a b r i m
чаэс	t͡ɕ a e s
чело	t͡ɕ ɛ l o
чугун	t͡ɕ u ɣ u n
этно	e t n o
bugatti	b u ɡ a t t i
california	k a l i f o r n i a
christian	k r i s t i a n
else	e l s e
hop	h o p
israel	i s r a e l
messenger	m e s e n d͡ʒ e r
omega	o m e ɡ a
ro	r o
spin	s p i n
vuitton	v u i t t o n
wo	w o
абд	a b d
абрахам	a b r a x a m
адские	a d s kʲ i j ɛ
анд	a n d
антенной	a n tʲ ɛ n n ɔ j
банальной	b a n a ɮʲ n ɔ j
бассейну	b a s s ɛ j n u
бату	b a tʰ u
башир	b a ɕ i r
блаттер	b l a tʲ tʲ ɛ r
богатом	b ɔ ɡ a t ɔ m
бочках	b ɔ t͡ɕ k a x
боярская	b ɔ j a r s k a j a
брачных	b r a t͡ɕʰ n i x
буклет	b u k lʲ ɛ t
бурным	b u r n i m
бытом	b i t ɔ m
васин	ʋ a s i n
весеннем	ʋ ɛ s ɛ n n ɛ m
вкладу	w̜ k l a d u
вн	ʋ ə n
вождем	ʋ ɔ ʑ d͡ʑ ɛ m
возьмись	ʋ ɔ z ɪ m i s ɪ
вони	ʋ ɔ n i
всплески	ʋ s p lʲ ɛ s k i
вывозу	ʋ i ʋ ɔ z u
выездная	ʋ i j ɛ z d n a j a
выкупе	ʋ i k u pʲ ɛ
выс	ʋ i s
высланы	ʋ i s l a n i
вэнь	ʋ e nʲ
гарсии	ɡ a r s i j
гидрология	ɡ i d r ɔ l ɔ ɡ i j a
горести	ɡ ɔ rʲ ɛ s tʲ i
гробнице	ɡ r ɔ b n i t͡sʲ ɛ
гуда	ɡ u d a
домашку	d ɔ m a ɕ k u
допустимая	d ɔ p u s tʲ i m a j a
дорожить	d ɔ r ɔ ʑ i tʲ
дудку	d u d k u
дун	d u n
дурным	d u r n i m
дышим	d i ɕ i m
ех	j ɛ x
ецб	j ɛ t͡sʰ b
забираем	z a b i r a j ɛ m
заметнее	z a mʲ ɛ t nʲ ɛ j ɛ
избранием	i z b r a n i j ɛ m
имперских	i m pʲ ɛ r s k i x
йонас	j ɔ n a s
казанские	k a z a n s kʲ i j ɛ
камням	k a m nʲ a m
катаясь	k a tʰ a j a sʲ
катюши	k a tʲ u ɕ i
кают	k a j u t
кина	k i n a
клубная	k l u b n a j a
козни	k ɔ z n i
колода	k ɔ l ɔ d a
колю	k ɔ lʲ u
колёс	k ɔ lʲ ɔ s
комара	k ɔ m a r a
компетентность	k ɔ m pʲ ɛ tʲ ɛ n t n o s tʲ
конюшня	k ɔ nʲ u ɕ nʲ a
корн	k ɔ r n
кофейни	k ɔ f ɛ j n i
красотку	k r a s ɔ t k u
крахмал	k r a x m a ɮ
крымскому	k r i m s k ɔ m u
кура	k u r a
кэ	k e
лабораторная	l a b ɔ r a tʰ ɔ r n a j a
лаз	l a z
леня	l ɛ n j a
линды	l i n d i
литер	l i tʲ ɛ r
мазепа	m a z ɛ p a
масоны	m a s ɔ n i
машей	m a ɕ ɛ j
мельнице	m ɛ l ɪ n i t͡sʲ ɛ
минин	m i n i n
мозес	m ɔ z ɛ s
мокрыми	m ɔ k r i m i
мом	m ɔ m
муниципалитете	m u n i t͡sʰ i p a l i tʲ ɛ tʲ ɛ
мухина	m u x i n a
мэл	m e ɮ
нагорно	n a ɡ ɔ r n o
наручниках	n a r u t͡ɕʰ n i k a x
нарядах	n a rʲ a d a x
насте	n a s tʲ ɛ
начавший	n a t͡ɕ a w̜ ɕ iː
недалеком	n ɛ d a lʲ ɛ k ɔ m
недельного	n ɛ d ɛ l ɪ n o ɡ ɔ
недомогание	n ɛ d ɔ m ɔ ɡ a n i j ɛ
некоем	n ɛ k ɔ j ɛ m
ницца	n i t͡sʰ a
номинала	n ɔ m i n a l a
нюх	nʲ u x
обезьяной	ɔ b ɛ z ɪ j a n ɔ j
обзорная	ɔ b z ɔ r n a j a
обогнали	ɔ b ɔ ɡ n a l i
объездной	ɔ b j ɛ z d n ɔ j
огласку	ɔ ɡ l a s k u
озон	ɔ z ɔ n
оклады	ɔ k l a d i
